5740_97610_000000_000000	"A Merry Christmas to us all, my dears.	"A Merry Christmas to us all, my dears.	false	0	2.79	30.134298
5740_97610_000010_000001	Papa never stays away on Christmas," says Kitty, looking up into her mother's face for an echo to her words.	Papa never stays away on Christmas," says Kitty, looking up into her mother's face for an echo to her words.	true	217.55	224.08	25
5740_97610_000010_000002	Instead she sees something very like tears in her mother's eyes.	Instead she sees something very like tears in her mother's eyes.	true	224.27	227.86	23.861252
5740_97610_000011_000000	"Oh, mamma, don't you think he'll come?"	"Oh, mamma, don't you think he'll come?"	true	228.11	230.65	21.85905
5740_97610_000012_000000	"He will come if he possibly can," says Mrs. Tracy; "and if he cannot, we will keep Christmas whenever dear papa does come home."	"He will come if he possibly can," says mrs Tracy; "and if he cannot, we will keep Christmas whenever dear papa does come home."	false	231.47	241.18	23.85916
5740_97610_000013_000000	"It won't be half so nice," said Kitty, "nothing's so nice as REALLY Christmas, and how's Kriss Kringle going to know about it if we change the day?"	"It won't be half so nice," said Kitty, "nothing's so nice as REALLY Christmas, and how's Kriss Kringle going to know about it if we change the day?"	false	242.18	251.35	21.70486
5740_97610_000014_000000	"We'll let him come just the same, and if he brings anything for papa we can put it away for him."	"We'll let him come just the same, and if he brings anything for papa we can put it away for him."	true	251.96	258.19	21.873232
5740_97610_000015_000000	This plan, still, seemed a poor one to Miss Kitty, who went to her bed in a sober mood that night, and was heard telling her dear dollie, Martha Washington, that "wars were mis'able, and that when she married she should have a man who kept a candy-shop for a husband, and not a soldier--no, Martha, not even if he's as nice as papa!" As Martha made no objection to this little arrangement, being an obedient child, they were both soon fast asleep.	This plan, still, seemed a poor one to Miss Kitty, who went to her bed in a sober mood that night, and was heard telling her dear dollie, Martha Washington, that "wars were mis'able, and that when she married she should have a man who kept a candy shop for a husband, and not a soldier-no, Martha, not even if he's as nice as papa!" As Martha made no objection to this little arrangement, being an obedient child, they were both soon fast asleep.	false	258.8	287.38	21.302134
5740_97610_000015_000001	The days of that cold winter of 1776 wore on; so cold it was that the sufferings of the soldiers were great, their bleeding feet often leaving marks on the pure white snow over which they marched.	The days of that cold winter of seventeen seventy six wore on; so cold it was that the sufferings of the soldiers were great, their bleeding feet often leaving marks on the pure white snow over which they marched.	true	287.69	300.61	22.530907
5740_97610_000015_000002	As Christmas drew near there was a feeling among the patriots that some blow was about to be struck; but what it was, and from whence they knew not; and, better than all, the British had no idea that any strong blow could come from Washington's army, weak and out of heart, as they thought, after being chased through Jersey by Cornwallis.	As Christmas drew near there was a feeling among the patriots that some blow was about to be struck; but what it was, and from whence they knew not; and, better than all, the British had no idea that any strong blow could come from Washington's army, weak and out of heart, as they thought, after being chased through Jersey by Cornwallis.	false	300.92	323.23	21.475494
5740_97610_000016_000000	Mrs. Tracy looked anxiously each day for news of the husband and father only a few miles away, yet so separated by the river and the enemy's troops that they seemed like a hundred.	mrs Tracy looked anxiously each day for news of the husband and father only a few miles away, yet so separated by the river and the enemy's troops that they seemed like a hundred.	true	323.81	334.9	21
5740_97610_000016_000001	Christmas Eve came, but brought with it few rejoicings.	Christmas Eve came, but brought with it few rejoicings.	true	335.27	339.4	24.166275
5740_97610_000016_000002	The hearts of the people were too sad to be taken up with merrymaking, although the Hessian soldiers in the town, good-natured Germans, who only fought the Americans because they were paid for it, gave themselves up to the feasting and revelry.	The hearts of the people were too sad to be taken up with merrymaking, although the Hessian soldiers in the town, good-natured Germans, who only fought the Americans because they were paid for it, gave themselves up to the feasting and revelry.	false	339.59	353.44	23.886639
5740_97610_000017_000000	"Shall we hang up our stockings?" asked Kitty, in rather a doleful voice.	"Shall we hang up our stockings?" asked Kitty, in rather a doleful voice.	false	354.11	358	21.699867
5740_97610_000018_000000	"Yes," said her mother, "Santa Claus won't forget you, I am sure, although he has been kept pretty busy looking after the soldiers this winter."	"Yes," said her mother, "Santa Claus won't forget you, I am sure, although he has been kept pretty busy looking after the soldiers this winter."	true	358.46	365.77	20.938986
5740_97610_000019_000000	"Which side is he on?" asked Harry.	"Which side is he on?" asked Harry.	true	366.47	368.56	21
5740_97610_000020_000000	"The right side, of course," said Mrs. Tracy, which was the most sensible answer she could possibly have given.	"The right side, of course," said mrs Tracy, which was the most sensible answer she could possibly have given.	true	369.2	375.13	22.871996
5740_97610_000020_000001	So:	So:	true	375.5	376.215	18.61542
5740_97610_000021_000000	"The stockings were hung by the chimney with care, In hopes that St. Nicholas soon would be there."	"The stockings were hung by the chimney with care, In hopes that saint Nicholas soon would be there."	true	376.215	382.18	24.779665
5740_97610_000022_000000	Two little rosy faces lay fast asleep upon the pillow when the good old soul came dashing over the roof about one o'clock, and after filling each stocking with red apples, and leaving a cornucopia of sugar-plums for each child, he turned for a moment to look at the sleeping faces, for St. Nicholas has a tender spot in his great big heart for a soldier's children.	Two little rosy faces lay fast asleep upon the pillow when the good old soul came dashing over the roof about one o'clock, and after filling each stocking with red apples, and leaving a cornucopia of sugar plums for each child, he turned for a moment to look at the sleeping faces, for saint Nicholas has a tender spot in his great big heart for a soldier's children.	true	382.55	404.53	23.548138
5740_97610_000022_000001	Then, remembering many other small folks waiting for him all over the land, he sprang up the chimney and was away in a trice.	Then, remembering many other small folks waiting for him all over the land, he sprang up the chimney and was away in a trice.	true	404.72	413.26	23.526918
5740_97610_000023_000000	Santa Claus, in the form of Mrs. Tracy's farmer brother, brought her a splendid turkey; but because the Hessians were uncommonly fond of turkey, it came hidden under a load of wood.	Santa Claus, in the form of mrs Tracy's farmer brother, brought her a splendid turkey; but because the Hessians were uncommonly fond of turkey, it came hidden under a load of wood.	true	413.81	425.74	21.275269
5740_97610_000023_000001	Harry was very fond of turkey, too, as well as of all other good things; but when his mother said, "It's such a fine bird, it seems too bad to eat it without father," Harry cried out, "Yes, keep it for papa!" and Kitty, joining in the chorus, the vote was unanimous, and the turkey was hung away to await the return of the good soldier, although it seemed strange, as Kitty told Martha Washington, "to have no papa and no turkey on Christmas Day."	Harry was very fond of turkey, too, as well as of all other good things; but when his mother said, "It's such a fine bird, it seems too bad to eat it without father," Harry cried out, "Yes, keep it for papa!" and Kitty, joining in the chorus, the vote was unanimous, and the turkey was hung away to await the return of the good soldier, although it seemed strange, as Kitty told Martha Washington, "to have no papa and no turkey on Christmas Day."	true	426.17	455.65	23.880163
5740_97610_000024_000000	The day passed and night came, cold with a steady fall of rain and sleet.	The day passed and night came, cold with a steady fall of rain and sleet.	true	456.38	461.41	23.423426
5740_97610_000024_000001	Kitty prayed that her "dear papa might not be out in the storm, and that he might come home and wear his beautiful blue stockings"; "And eat his turkey," said Harry's sleepy voice; after which they were soon in the land of dreams.	Kitty prayed that her "dear papa might not be out in the storm, and that he might come home and wear his beautiful blue stockings"; "And eat his turkey," said Harry's sleepy voice; after which they were soon in the land of dreams.	true	461.54	474.49	22
5740_97610_000024_000002	Toward morning the good people in Bordentown were suddenly aroused by firing in the distance, which became more and more distinct as the day wore on.	Toward morning the good people in Bordentown were suddenly aroused by firing in the distance, which became more and more distinct as the day wore on.	true	474.59	483.82	20.683525
5740_97610_000024_000003	There was great excitement in the town; men and women gathered together in little groups in the streets to wonder what it was all about, and neighbours came dropping into Mrs. Tracy's parlour, all day long, one after the other, to say what they thought of the firing.	There was great excitement in the town; men and women gathered together in little groups in the streets to wonder what it was all about, and neighbours came dropping into mrs Tracy's parlour, all day long, one after the other, to say what they thought of the firing.	true	484.37	499.78	21.279844
5740_97610_000024_000004	In the evening there came a body of Hessians flying into the town, to say that General Washington had surprised the British at Trenton, early that morning, and completely routed them, which so frightened the Hessians in Bordentown that they left without the slightest ceremony.	In the evening there came a body of Hessians flying into the town, to say that General Washington had surprised the British at Trenton, early that morning, and completely routed them, which so frightened the Hessians in Bordentown that they left without the slightest ceremony.	true	500.21	515.65	21.088285
5740_97610_000025_000000	It was a joyful hour to the good town people when the red-jackets turned their backs on them, thinking every moment that the patriot army would be after them.	It was a joyful hour to the good town people when the red jackets turned their backs on them, thinking every moment that the patriot army would be after them.	true	515.99	524.71	24.06452
5740_97610_000025_000001	Indeed, it seemed as if wonders would never cease that day, for while rejoicings were still loud, over the departure of the enemy, there came a knock at Mrs. Tracy's door, and while she was wondering whether she dared open it, it was pushed ajar, and a tall soldier entered.	Indeed, it seemed as if wonders would never cease that day, for while rejoicings were still loud, over the departure of the enemy, there came a knock at mrs Tracy's door, and while she was wondering whether she dared open it, it was pushed ajar, and a tall soldier entered.	true	524.81	542.68	21.999619
5740_97610_000025_000002	What a scream of delight greeted that soldier, and how Kitty and Harry danced about him and clung to his knees, while Mrs. Tracy drew him toward the warm blaze, and helped him off with his damp cloak!	What a scream of delight greeted that soldier, and how Kitty and Harry danced about him and clung to his knees, while mrs Tracy drew him toward the warm blaze, and helped him off with his damp cloak!	false	542.93	554.92	21.899979
5740_97610_000026_000000	Cold and tired Captain Tracy was, after a night's march in the streets and a day's fighting; but he was not too weary to smile at the dear faces around him, or to pat Kitty's head when she brought his warm stockings and would put them on the tired feet, herself.	Cold and tired Captain Tracy was, after a night's march in the streets and a day's fighting; but he was not too weary to smile at the dear faces around him, or to pat Kitty's head when she brought his warm stockings and would put them on the tired feet, herself.	true	555.14	571.51	22
5740_97610_000027_000000	Suddenly there was a sharp, quick bark outside the door.	Suddenly there was a sharp, quick bark outside the door.	true	571.64	575.71	22.067448
5740_97610_000027_000001	"What's that?" cried Harry.	"What's that?" cried Harry.	true	575.75	577.36	23.750004
5740_97610_000028_000000	"Oh, I forgot.	"Oh, I forgot.	true	577.61	578.92	27.325928
5740_97610_000028_000001	Open the door.	Open the door.	true	578.99	580.18	27.128403
5740_97610_000028_000002	Here, Fido, Fido!"	Here, Fido, Fido!"	true	580.4	582.67	22.832542
5740_97610_000029_000000	Into the room there sprang a beautiful little King Charles spaniel, white, with tan spots, and ears of the longest, softest, and silkiest.	Into the room there sprang a beautiful little King Charles spaniel, white, with tan spots, and ears of the longest, softest, and silkiest.	true	582.89	591.31	21
5740_97610_000030_000000	"What a little dear!" exclaimed Kitty; "where did it come from?"	"What a little dear!" exclaimed Kitty; "where did it come from?"	false	591.71	595.75	19.349876
5740_97610_000031_000000	"From the battle of Trenton," said her father.	"From the battle of Trenton," said her father.	true	596.3	598.69	21.127012
5740_97610_000031_000001	"His poor master was shot.	"His poor master was shot.	true	598.79	600.64	21.66216
5740_97610_000031_000002	After the red-coats had turned their backs, and I was hurrying along one of the streets where the fight had been the fiercest, I heard a low groan, and, turning, saw a British officer lying among a number of slain.	After the red coats had turned their backs, and I was hurrying along one of the streets where the fight had been the fiercest, I heard a low groan, and, turning, saw a British officer lying among a number of slain.	false	600.74	612.79	20.378014
5740_97610_000031_000003	I raised his head; he begged for some water, which I brought him, and bending down my ear I heard him whisper, 'Dying--last battle--say a prayer.' He tried to follow me in the words of a prayer, and then, taking my hand, laid it on something soft and warm, nestling close up to his breast--it was this little dog.	I raised his head; he begged for some water, which I brought him, and bending down my ear I heard him whisper, 'Dying-last battle-say a prayer.' He tried to follow me in the words of a prayer, and then, taking my hand, laid it on something soft and warm, nestling close up to his breast-it was this little dog.	false	612.89	634.2	20.390104
5740_97610_000031_000004	The gentleman--for he was a real gentleman--gasped out, 'Take care of my poor Fido; good-night,' and was gone.	The gentleman-for he was a real gentleman-gasped out, 'Take care of my poor Fido; good night,' and was gone.	true	634.2	643.6	22.175243
5740_97610_000031_000005	It was as much as I could do to get the little creature away from his dead master; he clung to him as if he loved him better than life. You'll take care of him, won't you, children?	It was as much as I could do to get the little creature away from his dead master; he clung to him as if he loved him better than life. You'll take care of him, won't you, children?	false	644.57	654.58	24.233294
5740_97610_000031_000006	I brought him home to you, for a Christmas present."	I brought him home to you, for a Christmas present."	false	654.71	657.7	22.816189
5740_97610_000032_000000	"Pretty little Fido," said Kitty, taking the soft, curly creature in her arms; "I think it's the best present in the world, and to-morrow is to be real Christmas, because you are home, papa."	"Pretty little Fido," said Kitty, taking the soft, curly creature in her arms; "I think it's the best present in the world, and to morrow is to be real Christmas, because you are home, papa."	true	658.19	669.31	21.04185
5740_97610_000033_000000	"And we'll eat the turkey," said Harry, "and shellbarks, lots of them, that I saved for you.	"And we'll eat the turkey," said Harry, "and shellbarks, lots of them, that I saved for you.	false	669.83	675.34	23.778795
5740_97610_000033_000001	What a good time we'll have!	What a good time we'll have!	true	675.41	677.13	23.659485
5740_97610_000033_000002	And oh, papa, don't go to war any more, but stay at home, with mother and Kitty and Fido and me."	And oh, papa, don't go to war any more, but stay at home, with mother and Kitty and Fido and me."	false	677.13	683.05	23
5740_97610_000034_000000	"What would become of our country if we should all do that, my little man?	"What would become of our country if we should all do that, my little man?	true	683.42	687.28	21
5740_97610_000034_000001	It was a good day's work that we did this Christmas, getting the army all across the river so quickly and quietly that we surprised the enemy, and gained a victory, with the loss of few men."	It was a good day's work that we did this Christmas, getting the army all across the river so quickly and quietly that we surprised the enemy, and gained a victory, with the loss of few men."	true	687.8	699.12	21.279314
5740_97610_000035_000000	Thus it was that some of the good people of 1776 spent their Christmas, that their children and grandchildren might spend many of them as citizens of a free nation.	Thus it was that some of the good people of seventeen seventy six spent their Christmas, that their children and grandchildren might spend many of them as citizens of a free nation.	false	699.12	725.73	20.430359
