1283_136983_000001_000000	Chapter 2.	Chapter two.
1283_136983_000037_000000	"He," indicating the corpse on the floor, "said, 'I got here first.' Does that mean Kane was pursuing him here?" And as the Wolf nodded impatiently the other turned to the chests with chattering haste.	"He," indicating the corpse on the floor, "said, 'I got here first.' Does that mean Kane was pursuing him here?" And as the Wolf nodded impatiently the other turned to the chests with chattering haste.
1283_136983_000039_000000	The chests were empty, their treasure lying in a shimmering mass upon the bloodstained floor.	The chests were empty, their treasure lying in a shimmering mass upon the bloodstained floor.
1283_136983_000039_000001	The Wolf stopped and listened.	The Wolf stopped and listened.
1283_136983_000039_000002	Outside was silence.	Outside was silence.
1283_136983_000039_000003	There was no moon, and Le Loup's keen imagination pictured the dark slayer, Solomon Kane, gliding through the blackness, a shadow among shadows.	There was no moon, and Le Loup's keen imagination pictured the dark slayer, Solomon Kane, gliding through the blackness, a shadow among shadows.
1283_136983_000039_000004	He grinned crookedly; this time the Englishman would be foiled.	He grinned crookedly; this time the Englishman would be foiled.
1283_136983_000040_000000	"There is a chest yet unopened," said he, pointing.	"There is a chest yet unopened," said he, pointing.
1283_136983_000041_000000	The Rat, with a muttered exclamation of surprize, bent over the chest indicated.	The Rat, with a muttered exclamation of surprize, bent over the chest indicated.
1283_136983_000041_000001	With a single, catlike motion, the Wolf sprang upon him, sheathing his dagger to the hilt in the Rat's back, between the shoulders.	With a single, catlike motion, the Wolf sprang upon him, sheathing his dagger to the hilt in the Rat's back, between the shoulders.
1283_136983_000041_000002	The Rat sagged to the floor without a sound.	The Rat sagged to the floor without a sound.
1283_136983_000042_000000	"Why divide the treasure two ways?" murmured Le Loup, wiping his blade upon the dead man's doublet.	"Why divide the treasure two ways?" murmured Le Loup, wiping his blade upon the dead man's doublet.
1283_136983_000042_000001	"Now for La Mon."	"Now for La mon"
1283_136983_000043_000000	He stepped toward the door; then stopped and shrank back.	He stepped toward the door; then stopped and shrank back.
1283_136983_000045_000000	A tall man, as tall as Le Loup he was, clad in black from head to foot, in plain, close-fitting garments that somehow suited the somber face.	A tall man, as tall as Le Loup he was, clad in black from head to foot, in plain, close fitting garments that somehow suited the somber face.
1283_136983_000045_000001	Long arms and broad shoulders betokened the swordsman, as plainly as the long rapier in his hand.	Long arms and broad shoulders betokened the swordsman, as plainly as the long rapier in his hand.
1283_136983_000045_000003	A kind of dark pallor lent him a ghostly appearance in the uncertain light, an effect heightened by the satanic darkness of his lowering brows.	A kind of dark pallor lent him a ghostly appearance in the uncertain light, an effect heightened by the satanic darkness of his lowering brows.
1283_136983_000045_000004	Eyes, large, deep-set and unblinking, fixed their gaze upon the bandit, and looking into them, Le Loup was unable to decide what color they were.	Eyes, large, deep set and unblinking, fixed their gaze upon the bandit, and looking into them, Le Loup was unable to decide what color they were.
1283_136983_000045_000005	Strangely, the mephistophelean trend of the lower features was offset by a high, broad forehead, though this was partly hidden by a featherless hat.	Strangely, the mephistophelean trend of the lower features was offset by a high, broad forehead, though this was partly hidden by a featherless hat.
1283_136983_000046_000000	That forehead marked the dreamer, the idealist, the introvert, just as the eyes and the thin, straight nose betrayed the fanatic.	That forehead marked the dreamer, the idealist, the introvert, just as the eyes and the thin, straight nose betrayed the fanatic.
1283_136983_000046_000001	An observer would have been struck by the eyes of the two men who stood there, facing each other.	An observer would have been struck by the eyes of the two men who stood there, facing each other.
1283_136983_000046_000002	Eyes of both betokened untold deeps of power, but there the resemblance ceased.	Eyes of both betokened untold deeps of power, but there the resemblance ceased.
1283_136983_000048_000000	The eyes of the man in black, on the other hand, deep-set and staring from under prominent brows, were cold but deep; gazing into them, one had the impression of looking into countless fathoms of ice.	The eyes of the man in black, on the other hand, deep set and staring from under prominent brows, were cold but deep; gazing into them, one had the impression of looking into countless fathoms of ice.
1283_136983_000049_000000	Now the eyes clashed, and the Wolf, who was used to being feared, felt a strange coolness on his spine.	Now the eyes clashed, and the Wolf, who was used to being feared, felt a strange coolness on his spine.
1283_136983_000049_000001	The sensation was new to him--a new thrill to one who lived for thrills, and he laughed suddenly.	The sensation was new to him-a new thrill to one who lived for thrills, and he laughed suddenly.
1283_136983_000051_000000	"I am Solomon Kane." The voice was resonant and powerful.	"I am Solomon Kane." The voice was resonant and powerful.
1283_136983_000051_000001	"Are you prepared to meet your God?"	"Are you prepared to meet your God?"
1283_136983_000053_000000	"No doubt I stated my inquiry wrongly," Kane said grimly.	"No doubt I stated my inquiry wrongly," Kane said grimly.
1283_136983_000053_000001	"I will change it: Are you prepared to meet your master, the Devil?"	"I will change it: Are you prepared to meet your master, the Devil?"
1283_136983_000057_000000	"Your last question is easily answered, sir," Kane replied.	"Your last question is easily answered, sir," Kane replied.
1283_136983_000057_000001	"I myself had the tale spread that the hermit possessed a store of gold, knowing that would draw your scum as carrion draws vultures.	"I myself had the tale spread that the hermit possessed a store of gold, knowing that would draw your scum as carrion draws vultures.
1283_136983_000057_000002	For days and nights I have watched the hut, and tonight, when I saw your villains coming, I warned the hermit, and together we went among the trees back of the hut.	For days and nights I have watched the hut, and tonight, when I saw your villains coming, I warned the hermit, and together we went among the trees back of the hut.
1283_136983_000057_000003	Then, when the rogues were inside, I struck flint and steel to the train I had laid, and flame ran through the trees like a red snake until it reached the powder I had placed beneath the hut floor.	Then, when the rogues were inside, I struck flint and steel to the train I had laid, and flame ran through the trees like a red snake until it reached the powder I had placed beneath the hut floor.
1283_136983_000057_000004	Then the hut and thirteen sinners went to Hell in a great roar of flame and smoke.	Then the hut and thirteen sinners went to Hell in a great roar of flame and smoke.
1283_136983_000057_000005	True, one escaped, but him I had slain in the forest had not I stumbled and fallen upon a broken root, which gave him time to elude me."	True, one escaped, but him I had slain in the forest had not I stumbled and fallen upon a broken root, which gave him time to elude me."
1283_136983_000058_000001	Yet tell me this: Why have you followed me as a wolf follows deer?"	Yet tell me this: Why have you followed me as a wolf follows deer?"
1283_136983_000059_000001	You know the details better than I. There was a girl there, a mere child, who, hoping to escape your lust, fled up the valley; but you, you jackal of Hell, you caught her and left her, violated and dying.	You know the details better than i There was a girl there, a mere child, who, hoping to escape your lust, fled up the valley; but you, you jackal of Hell, you caught her and left her, violated and dying.
1283_136983_000059_000002	I found her there, and above her dead form I made up my mind to hunt you down and kill you."	I found her there, and above her dead form I made up my mind to hunt you down and kill you."
1283_136983_000060_000001	"Yes, I remember the wench.	"Yes, I remember the wench.
1283_136983_000061_000000	"Le Loup, take care!" Kane exclaimed, a terrible menace in his voice, "I have never yet done a man to death by torture, but by God, sir, you tempt me!"	"Le Loup, take care!" Kane exclaimed, a terrible menace in his voice, "I have never yet done a man to death by torture, but by God, sir, you tempt me!"
1283_136983_000062_000000	The tone, and more especially the unexpected oath, coming as it did from Kane, slightly sobered Le Loup; his eyes narrowed and his hand moved toward his rapier.	The tone, and more especially the unexpected oath, coming as it did from Kane, slightly sobered Le Loup; his eyes narrowed and his hand moved toward his rapier.
1283_136983_000062_000001	The air was tense for an instant; then the Wolf relaxed elaborately.	The air was tense for an instant; then the Wolf relaxed elaborately.
1283_136983_000063_000000	"Who was the girl?" he asked idly.	"Who was the girl?" he asked idly.
1283_136983_000063_000001	"Your wife?"	"Your wife?"
1283_136983_000066_000000	"That, sir, is my own affair; it is sufficient that I do so."	"That, sir, is my own affair; it is sufficient that I do so."
1283_136983_000067_000000	Kane could not have explained, even to himself, nor did he ever seek an explanation within himself.	Kane could not have explained, even to himself, nor did he ever seek an explanation within himself.
1283_136983_000067_000001	A true fanatic, his promptings were reasons enough for his actions.	A true fanatic, his promptings were reasons enough for his actions.
1283_136983_000068_000001	There on the floor is the equivalent to an emperor's ransom.	There on the floor is the equivalent to an emperor's ransom.
1283_136983_000069_000000	Kane leaned forward, a terrible brooding threat growing in his cold eyes.	Kane leaned forward, a terrible brooding threat growing in his cold eyes.
1283_136983_000069_000001	He seemed like a great condor about to launch himself upon his victim.	He seemed like a great condor about to launch himself upon his victim.
1283_136983_000070_000000	"Sir, do you assume me to be as great a villain as yourself?"	"Sir, do you assume me to be as great a villain as yourself?"
1283_136983_000071_000000	Suddenly Le Loup threw back his head, his eyes dancing and leaping with a wild mockery and a kind of insane recklessness.	Suddenly Le Loup threw back his head, his eyes dancing and leaping with a wild mockery and a kind of insane recklessness.
1283_136983_000071_000001	His shout of laughter sent the echoes flying.	His shout of laughter sent the echoes flying.
1283_136983_000072_000001	No, you fool, I do not class you with myself!	No, you fool, I do not class you with myself!
1283_136983_000073_000000	"Shades of death!	"Shades of death!
1283_136983_000073_000001	Shall I waste time in parleying with this base scoundrel!" Kane snarled in a voice suddenly blood-thirsting, and his lean frame flashed forward like a bent bow suddenly released.	Shall I waste time in parleying with this base scoundrel!" Kane snarled in a voice suddenly blood thirsting, and his lean frame flashed forward like a bent bow suddenly released.
1283_136983_000074_000000	At the same instant Le Loup with a wild laugh bounded backward with a movement as swift as Kane's.	At the same instant Le Loup with a wild laugh bounded backward with a movement as swift as Kane's.
1283_136983_000074_000001	His timing was perfect; his back- flung hands struck the table and hurled it aside, plunging the cave into darkness as the candle toppled and went out.	His timing was perfect; his back flung hands struck the table and hurled it aside, plunging the cave into darkness as the candle toppled and went out.
1283_136983_000075_000000	Kane's rapier sang like an arrow in the dark as he thrust blindly and ferociously.	Kane's rapier sang like an arrow in the dark as he thrust blindly and ferociously.
1283_136983_000076_000001	The taunt came from somewhere in front of him, but Kane, plunging toward the sound with the savage fury of baffled wrath, caromed against a blank wall that did not yield to his blow.	The taunt came from somewhere in front of him, but Kane, plunging toward the sound with the savage fury of baffled wrath, caromed against a blank wall that did not yield to his blow.
1283_136983_000076_000002	From somewhere seemed to come an echo of a mocking laugh.	From somewhere seemed to come an echo of a mocking laugh.
