3368_170950_000003_000000	Where, then, is justice, and where is injustice, and in what part of the State did they spring up?	Where, then, is justice, and where is injustice, and in what part of the State did they spring up?
3368_170950_000036_000000	And the higher the duties of the guardian, I said, the more time, and skill, and art, and application will be needed by him?	And the higher the duties of the guardian, I said, the more time, and skill, and art, and application will be needed by him?
3368_170950_000037_000000	No doubt, he replied.	No doubt, he replied.
3368_170950_000038_000000	Will he not also require natural aptitude for his calling?	Will he not also require natural aptitude for his calling?
3368_170950_000039_000000	Certainly.	Certainly.
3368_170950_000040_000000	Then it will be our duty to select, if we can, natures which are fitted for the task of guarding the city?	Then it will be our duty to select, if we can, natures which are fitted for the task of guarding the city?
3368_170950_000041_000000	It will.	It will.
3368_170950_000042_000000	And the selection will be no easy matter, I said; but we must be brave and do our best.	And the selection will be no easy matter, I said; but we must be brave and do our best.
3368_170950_000043_000000	We must.	We must.
3368_170950_000044_000000	Is not the noble youth very like a well-bred dog in respect of guarding and watching?	Is not the noble youth very like a well bred dog in respect of guarding and watching?
3368_170950_000045_000000	What do you mean?	What do you mean?
3368_170950_000046_000000	I mean that both of them ought to be quick to see, and swift to overtake the enemy when they see him; and strong too if, when they have caught him, they have to fight with him.	I mean that both of them ought to be quick to see, and swift to overtake the enemy when they see him; and strong too if, when they have caught him, they have to fight with him.
3368_170950_000047_000000	All these qualities, he replied, will certainly be required by them.	All these qualities, he replied, will certainly be required by them.
3368_170950_000048_000000	Well, and your guardian must be brave if he is to fight well?	Well, and your guardian must be brave if he is to fight well?
3368_170950_000050_000000	And is he likely to be brave who has no spirit, whether horse or dog or any other animal?	And is he likely to be brave who has no spirit, whether horse or dog or any other animal?
3368_170950_000051_000000	I have.	I have.
3368_170950_000053_000000	True.	True.
3368_170950_000055_000000	Yes.	Yes.
3368_170950_000057_000000	A difficulty by no means easy to overcome, he replied.	A difficulty by no means easy to overcome, he replied.
3368_170950_000058_000000	Whereas, I said, they ought to be dangerous to their enemies, and gentle to their friends; if not, they will destroy themselves without waiting for their enemies to destroy them.	Whereas, I said, they ought to be dangerous to their enemies, and gentle to their friends; if not, they will destroy themselves without waiting for their enemies to destroy them.
3368_170950_000059_000000	True, he said.	True, he said.
3368_170950_000060_000000	What is to be done then?	What is to be done then?
3368_170950_000060_000001	I said; how shall we find a gentle nature which has also a great spirit, for the one is the contradiction of the other?	I said; how shall we find a gentle nature which has also a great spirit, for the one is the contradiction of the other?
3368_170950_000061_000000	True.	True.
3368_170950_000063_000000	I am afraid that what you say is true, he replied.	I am afraid that what you say is true, he replied.
3368_170950_000064_000000	Here feeling perplexed I began to think over what had preceded.--My friend, I said, no wonder that we are in a perplexity; for we have lost sight of the image which we had before us.	Here feeling perplexed I began to think over what had preceded.--My friend, I said, no wonder that we are in a perplexity; for we have lost sight of the image which we had before us.
3368_170950_000065_000001	he said.	he said.
3368_170950_000068_000000	Many animals, I replied, furnish examples of them; our friend the dog is a very good one: you know that well-bred dogs are perfectly gentle to their familiars and acquaintances, and the reverse to strangers.	Many animals, I replied, furnish examples of them; our friend the dog is a very good one: you know that well bred dogs are perfectly gentle to their familiars and acquaintances, and the reverse to strangers.
3368_170950_000069_000000	Yes, I know.	Yes, I know.
3368_170950_000071_000000	Certainly not.	Certainly not.
3368_170950_000072_000000	Would not he who is fitted to be a guardian, besides the spirited nature, need to have the qualities of a philosopher?	Would not he who is fitted to be a guardian, besides the spirited nature, need to have the qualities of a philosopher?
3368_170950_000073_000000	I do not apprehend your meaning.	I do not apprehend your meaning.
3368_170950_000074_000000	The trait of which I am speaking, I replied, may be also seen in the dog, and is remarkable in the animal.	The trait of which I am speaking, I replied, may be also seen in the dog, and is remarkable in the animal.
3368_170950_000075_000000	What trait?	What trait?
3368_170950_000076_000000	Why, a dog, whenever he sees a stranger, is angry; when an acquaintance, he welcomes him, although the one has never done him any harm, nor the other any good.	Why, a dog, whenever he sees a stranger, is angry; when an acquaintance, he welcomes him, although the one has never done him any harm, nor the other any good.
3368_170950_000076_000001	Did this never strike you as curious?	Did this never strike you as curious?
3368_170950_000077_000000	The matter never struck me before; but I quite recognise the truth of your remark.	The matter never struck me before; but I quite recognise the truth of your remark.
3368_170950_000078_000000	And surely this instinct of the dog is very charming;--your dog is a true philosopher.	And surely this instinct of the dog is very charming;--your dog is a true philosopher.
3368_170950_000079_000000	Why?	Why?
3368_170950_000080_000000	Why, because he distinguishes the face of a friend and of an enemy only by the criterion of knowing and not knowing.	Why, because he distinguishes the face of a friend and of an enemy only by the criterion of knowing and not knowing.
3368_170950_000080_000001	And must not an animal be a lover of learning who determines what he likes and dislikes by the test of knowledge and ignorance?	And must not an animal be a lover of learning who determines what he likes and dislikes by the test of knowledge and ignorance?
3368_170950_000081_000000	Most assuredly.	Most assuredly.
3368_170950_000082_000000	And is not the love of learning the love of wisdom, which is philosophy?	And is not the love of learning the love of wisdom, which is philosophy?
3368_170950_000083_000000	They are the same, he replied.	They are the same, he replied.
3368_170950_000084_000000	And may we not say confidently of man also, that he who is likely to be gentle to his friends and acquaintances, must by nature be a lover of wisdom and knowledge?	And may we not say confidently of man also, that he who is likely to be gentle to his friends and acquaintances, must by nature be a lover of wisdom and knowledge?
3368_170950_000085_000000	That we may safely affirm.	That we may safely affirm.
3368_170950_000087_000000	Undoubtedly.	Undoubtedly.
3368_170950_000088_000000	Then we have found the desired natures; and now that we have found them, how are they to be reared and educated?	Then we have found the desired natures; and now that we have found them, how are they to be reared and educated?
3368_170950_000089_000000	Adeimantus thought that the enquiry would be of great service to us.	Adeimantus thought that the enquiry would be of great service to us.
3368_170950_000090_000000	Then, I said, my dear friend, the task must not be given up, even if somewhat long.	Then, I said, my dear friend, the task must not be given up, even if somewhat long.
3368_170950_000091_000000	Certainly not.	Certainly not.
