3368_170950_000000_000000	Yes.	Yes.	false	0	0.39	-20
3368_170950_000061_000000	True.	True.	true	503.99	504.82	23.963844
3368_170950_000062_000000	He will not be a good guardian who is wanting in either of these two qualities; and yet the combination of them appears to be impossible; and hence we must infer that to be a good guardian is impossible.	He will not be a good guardian who is wanting in either of these two qualities; and yet the combination of them appears to be impossible; and hence we must infer that to be a good guardian is impossible.	false	505.19	515.56	22.441021
3368_170950_000063_000000	I am afraid that what you say is true, he replied.	I am afraid that what you say is true, he replied.	true	516.08	518.74	20.170666
3368_170950_000064_000000	Here feeling perplexed I began to think over what had preceded.--My friend, I said, no wonder that we are in a perplexity; for we have lost sight of the image which we had before us.	Here feeling perplexed I began to think over what had preceded.--My friend, I said, no wonder that we are in a perplexity; for we have lost sight of the image which we had before us.	true	519.23	529.42	22.933954
3368_170950_000065_000000	What do you mean?	What do you mean?	true	529.67	530.34	14.978869
3368_170950_000065_000001	he said.	he said.	true	530.34	531.07	24.897213
3368_170950_000066_000000	I mean to say that there do exist natures gifted with those opposite qualities.	I mean to say that there do exist natures gifted with those opposite qualities.	false	531.68	535.87	22.398666
3368_170950_000067_000000	And where do you find them?	And where do you find them?	false	536.27	537.52	22.596458
3368_170950_000068_000000	Many animals, I replied, furnish examples of them; our friend the dog is a very good one: you know that well-bred dogs are perfectly gentle to their familiars and acquaintances, and the reverse to strangers.	Many animals, I replied, furnish examples of them; our friend the dog is a very good one: you know that well bred dogs are perfectly gentle to their familiars and acquaintances, and the reverse to strangers.	true	537.53	548.89	21.576836
3368_170950_000069_000000	Yes, I know.	Yes, I know.	true	549.14	550.18	25.567434
3368_170950_000070_000000	Then there is nothing impossible or out of the order of nature in our finding a guardian who has a similar combination of qualities?	Then there is nothing impossible or out of the order of nature in our finding a guardian who has a similar combination of qualities?	true	550.79	556.72	19
3368_170950_000071_000000	Certainly not.	Certainly not.	true	557.03	558.19	24.564053
3368_170950_000072_000000	Would not he who is fitted to be a guardian, besides the spirited nature, need to have the qualities of a philosopher?	Would not he who is fitted to be a guardian, besides the spirited nature, need to have the qualities of a philosopher?	true	558.68	564.67	20.809967
3368_170950_000073_000000	I do not apprehend your meaning.	I do not apprehend your meaning.	true	565.16	566.83	24.689829
3368_170950_000074_000000	The trait of which I am speaking, I replied, may be also seen in the dog, and is remarkable in the animal.	The trait of which I am speaking, I replied, may be also seen in the dog, and is remarkable in the animal.	true	567.74	573.85	21.889324
3368_170950_000075_000000	What trait?	What trait?	true	574.31	575.26	26.112423
3368_170950_000076_000000	Why, a dog, whenever he sees a stranger, is angry; when an acquaintance, he welcomes him, although the one has never done him any harm, nor the other any good.	Why, a dog, whenever he sees a stranger, is angry; when an acquaintance, he welcomes him, although the one has never done him any harm, nor the other any good.	true	575.33	584.68	21.598715
3368_170950_000076_000001	Did this never strike you as curious?	Did this never strike you as curious?	true	585.02	586.96	27.114908
3368_170950_000077_000000	The matter never struck me before; but I quite recognise the truth of your remark.	The matter never struck me before; but I quite recognise the truth of your remark.	true	587.63	592.06	24.656212
3368_170950_000078_000000	And surely this instinct of the dog is very charming;--your dog is a true philosopher.	And surely this instinct of the dog is very charming;--your dog is a true philosopher.	true	592.85	598.39	21.420374
3368_170950_000079_000000	Why?	Why?	true	598.61	599.35	26.793497
3368_170950_000080_000000	Why, because he distinguishes the face of a friend and of an enemy only by the criterion of knowing and not knowing.	Why, because he distinguishes the face of a friend and of an enemy only by the criterion of knowing and not knowing.	true	599.48	605.8	23.776016
3368_170950_000080_000001	And must not an animal be a lover of learning who determines what he likes and dislikes by the test of knowledge and ignorance?	And must not an animal be a lover of learning who determines what he likes and dislikes by the test of knowledge and ignorance?	true	606.14	612.25	20
3368_170950_000081_000000	Most assuredly.	Most assuredly.	true	612.86	614.08	22.587612
3368_170950_000082_000000	And is not the love of learning the love of wisdom, which is philosophy?	And is not the love of learning the love of wisdom, which is philosophy?	true	614.45	617.95	23.840649
3368_170950_000083_000000	They are the same, he replied.	They are the same, he replied.	true	618.17	620.05	21.50263
3368_170950_000084_000000	And may we not say confidently of man also, that he who is likely to be gentle to his friends and acquaintances, must by nature be a lover of wisdom and knowledge?	And may we not say confidently of man also, that he who is likely to be gentle to his friends and acquaintances, must by nature be a lover of wisdom and knowledge?	true	620.48	629.53	21.255793
3368_170950_000085_000000	That we may safely affirm.	That we may safely affirm.	true	629.75	631.6	25.206812
3368_170950_000086_000000	Then he who is to be a really good and noble guardian of the State will require to unite in himself philosophy and spirit and swiftness and strength?	Then he who is to be a really good and noble guardian of the State will require to unite in himself philosophy and spirit and swiftness and strength?	false	632.21	640.27	23.292292
3368_170950_000087_000000	Undoubtedly.	Undoubtedly.	true	640.28	641.32	23.389925
3368_170950_000088_000000	Then we have found the desired natures; and now that we have found them, how are they to be reared and educated?	Then we have found the desired natures; and now that we have found them, how are they to be reared and educated?	true	642.08	648.4	23.30866
3368_170950_000088_000001	Is not this an enquiry which may be expected to throw light on the greater enquiry which is our final end--How do justice and injustice grow up in States? for we do not want either to omit what is to the point or to draw out the argument to an inconvenient length.	Is not this an enquiry which may be expected to throw light on the greater enquiry which is our final end-How do justice and injustice grow up in States? for we do not want either to omit what is to the point or to draw out the argument to an inconvenient length.	false	648.71	662.805	23.185577
3368_170950_000089_000000	Adeimantus thought that the enquiry would be of great service to us.	Adeimantus thought that the enquiry would be of great service to us.	true	662.805	666.46	24.211218
3368_170950_000090_000000	Then, I said, my dear friend, the task must not be given up, even if somewhat long.	Then, I said, my dear friend, the task must not be given up, even if somewhat long.	true	666.77	671.68	23.772535
3368_170950_000091_000000	Certainly not.	Certainly not.	true	671.96	673.08	23.231369
3368_170950_000092_000000	Come then, and let us pass a leisure hour in story-telling, and our story shall be the education of our heroes.	Come then, and let us pass a leisure hour in story telling, and our story shall be the education of our heroes.	false	673.08	681.36	24.548208
3368_170950_000093_000000	By all means.	By all means.	false	681.36	682.71	-20
