4945_29090_000001_000000	CHAPTER IX.	CHAPTER nine.
4945_29090_000006_000001	Sellers, and had been discouraged to note that the Colonel's bill of fare was falling off both in quantity and quality--a sign, he feared, that the lacking ingredient in the eye-water still remained undiscovered--though Sellers always explained that these changes in the family diet had been ordered by the doctor, or suggested by some new scientific work the Colonel had stumbled upon.	Sellers, and had been discouraged to note that the Colonel's bill of fare was falling off both in quantity and quality-a sign, he feared, that the lacking ingredient in the eye water still remained undiscovered-though Sellers always explained that these changes in the family diet had been ordered by the doctor, or suggested by some new scientific work the Colonel had stumbled upon.
4945_29090_000006_000002	But it always turned out that the lacking ingredient was still lacking--though it always appeared, at the same time, that the Colonel was right on its heels.	But it always turned out that the lacking ingredient was still lacking-though it always appeared, at the same time, that the Colonel was right on its heels.
4945_29090_000007_000000	Every time the Colonel came into the real estate office Washington's heart bounded and his eyes lighted with hope, but it always turned out that the Colonel was merely on the scent of some vast, undefined landed speculation--although he was customarily able to say that he was nearer to the all-necessary ingredient than ever, and could almost name the hour when success would dawn.	Every time the Colonel came into the real estate office Washington's heart bounded and his eyes lighted with hope, but it always turned out that the Colonel was merely on the scent of some vast, undefined landed speculation-although he was customarily able to say that he was nearer to the all necessary ingredient than ever, and could almost name the hour when success would dawn.
4945_29090_000007_000001	And then Washington's heart would sink again and a sigh would tell when it touched bottom.	And then Washington's heart would sink again and a sigh would tell when it touched bottom.
4945_29090_000008_000001	It was thought best that Washington should come home.	It was thought best that Washington should come home.
4945_29090_000009_000000	All the way home he nursed his woe and exalted it.	All the way home he nursed his woe and exalted it.
4945_29090_000009_000001	He pictured himself as she must be picturing him: a noble, struggling young spirit persecuted by misfortune, but bravely and patiently waiting in the shadow of a dread calamity and preparing to meet the blow as became one who was all too used to hard fortune and the pitiless buffetings of fate.	He pictured himself as she must be picturing him: a noble, struggling young spirit persecuted by misfortune, but bravely and patiently waiting in the shadow of a dread calamity and preparing to meet the blow as became one who was all too used to hard fortune and the pitiless buffetings of fate.
4945_29090_000009_000002	These thoughts made him weep, and weep more broken-heartedly than ever; and he wished that she could see his sufferings now.	These thoughts made him weep, and weep more broken heartedly than ever; and he wished that she could see his sufferings now.
4945_29090_000010_000000	There was nothing significant in the fact that Louise, dreamy and distraught, stood at her bedroom bureau that night, scribbling "Washington" here and there over a sheet of paper.	There was nothing significant in the fact that Louise, dreamy and distraught, stood at her bedroom bureau that night, scribbling "Washington" here and there over a sheet of paper.
4945_29090_000010_000001	But there was something significant in the fact that she scratched the word out every time she wrote it; examined the erasure critically to see if anybody could guess at what the word had been; then buried it under a maze of obliterating lines; and finally, as if still unsatisfied, burned the paper.	But there was something significant in the fact that she scratched the word out every time she wrote it; examined the erasure critically to see if anybody could guess at what the word had been; then buried it under a maze of obliterating lines; and finally, as if still unsatisfied, burned the paper.
4945_29090_000011_000001	The darkened room, the labored breathing and occasional moanings of the patient, the tip-toeing of the attendants and their whispered consultations, were full of sad meaning.	The darkened room, the labored breathing and occasional moanings of the patient, the tip toeing of the attendants and their whispered consultations, were full of sad meaning.
4945_29090_000011_000002	For three or four nights Mrs. Hawkins and Laura had been watching by the bedside; Clay had arrived, preceding Washington by one day, and he was now added to the corps of watchers.	For three or four nights mrs Hawkins and Laura had been watching by the bedside; Clay had arrived, preceding Washington by one day, and he was now added to the corps of watchers.
4945_29090_000011_000003	Mr. Hawkins would have none but these three, though neighborly assistance was offered by old friends.	mr Hawkins would have none but these three, though neighborly assistance was offered by old friends.
4945_29090_000011_000004	From this time forth three-hour watches were instituted, and day and night the watchers kept their vigils.	From this time forth three hour watches were instituted, and day and night the watchers kept their vigils.
4945_29090_000011_000005	By degrees Laura and her mother began to show wear, but neither of them would yield a minute of their tasks to Clay.	By degrees Laura and her mother began to show wear, but neither of them would yield a minute of their tasks to Clay.
4945_29090_000011_000007	And, he had noticed, also, that when midnight struck, the patient turned his eyes toward the door, with an expectancy in them which presently grew into a longing but brightened into contentment as soon as the door opened and Laura appeared.	And, he had noticed, also, that when midnight struck, the patient turned his eyes toward the door, with an expectancy in them which presently grew into a longing but brightened into contentment as soon as the door opened and Laura appeared.
4945_29090_000011_000008	And he did not need Laura's rebuke when he heard his father say:	And he did not need Laura's rebuke when he heard his father say:
4945_29090_000012_000000	"Clay is good, and you are tired, poor child; but I wanted you so."	"Clay is good, and you are tired, poor child; but I wanted you so."
4945_29090_000013_000000	"Clay is not good, father--he did not call me.	"Clay is not good, father-he did not call me.
4945_29090_000013_000001	I would not have treated him so.	I would not have treated him so.
4945_29090_000013_000002	How could you do it, Clay?"	How could you do it, Clay?"
4945_29090_000015_000001	It was a wintry one. The darkness gathered, the snow was falling, the wind wailed plaintively about the house or shook it with fitful gusts.	It was a wintry one. The darkness gathered, the snow was falling, the wind wailed plaintively about the house or shook it with fitful gusts.
4945_29090_000016_000001	Hawkins roused out of a doze, looked about him and was evidently trying to speak.	Hawkins roused out of a doze, looked about him and was evidently trying to speak.
4945_29090_000016_000002	Instantly Laura lifted his head and in a failing voice he said, while something of the old light shone in his eyes:	Instantly Laura lifted his head and in a failing voice he said, while something of the old light shone in his eyes:
4945_29090_000017_000000	"Wife--children--come nearer--nearer.	"Wife-children-come nearer-nearer.
4945_29090_000017_000001	The darkness grows.	The darkness grows.
4945_29090_000017_000002	Let me see you all, once more."	Let me see you all, once more."
4945_29090_000019_000000	"I am leaving you in cruel poverty.	"I am leaving you in cruel poverty.
4945_29090_000019_000001	I have been--so foolish--so short-sighted.	I have been-so foolish-so short sighted.
4945_29090_000019_000002	But courage!	But courage!
4945_29090_000019_000003	A better day is--is coming.	A better day is-is coming.
4945_29090_000019_000005	Be wary.	Be wary.
4945_29090_000019_000006	There is wealth stored up for you there--wealth that is boundless!	There is wealth stored up for you there-wealth that is boundless!
4945_29090_000019_000007	The children shall hold up their heads with the best in the land, yet.	The children shall hold up their heads with the best in the land, yet.
4945_29090_000019_000008	Where are the papers?--Have you got the papers safe?	Where are the papers?--Have you got the papers safe?
4945_29090_000019_000009	Show them--show them to me!"	Show them-show them to me!"
4945_29090_000020_000000	Under his strong excitement his voice had gathered power and his last sentences were spoken with scarcely a perceptible halt or hindrance. With an effort he had raised himself almost without assistance to a sitting posture.	Under his strong excitement his voice had gathered power and his last sentences were spoken with scarcely a perceptible halt or hindrance. With an effort he had raised himself almost without assistance to a sitting posture.
4945_29090_000020_000001	But now the fire faded out of his eyes and he fell back exhausted.	But now the fire faded out of his eyes and he fell back exhausted.
4945_29090_000020_000002	The papers were brought and held before him, and the answering smile that flitted across his face showed that he was satisfied.	The papers were brought and held before him, and the answering smile that flitted across his face showed that he was satisfied.
4945_29090_000020_000003	He closed his eyes, and the signs of approaching dissolution multiplied rapidly.	He closed his eyes, and the signs of approaching dissolution multiplied rapidly.
4945_29090_000020_000004	He lay almost motionless for a little while, then suddenly partly raised his head and looked about him as one who peers into a dim uncertain light.	He lay almost motionless for a little while, then suddenly partly raised his head and looked about him as one who peers into a dim uncertain light.
4945_29090_000020_000005	He muttered:	He muttered:
4945_29090_000021_000000	"Gone?	"Gone?
4945_29090_000021_000001	No--I see you--still.	No-I see you-still.
4945_29090_000021_000003	But you are--safe.	But you are-safe.
4945_29090_000022_000001	The emaciated fingers began to pick at the coverlet, a fatal sign.	The emaciated fingers began to pick at the coverlet, a fatal sign.
4945_29090_000022_000002	After a time there were no sounds but the cries of the mourners within and the gusty turmoil of the wind without.	After a time there were no sounds but the cries of the mourners within and the gusty turmoil of the wind without.
4945_29090_000022_000004	Then she closed the dead eyes, and crossed the hands upon the breast; after a season, she kissed the forehead reverently, drew the sheet up over the face, and then walked apart and sat down with the look of one who is done with life and has no further interest in its joys and sorrows, its hopes or its ambitions.	Then she closed the dead eyes, and crossed the hands upon the breast; after a season, she kissed the forehead reverently, drew the sheet up over the face, and then walked apart and sat down with the look of one who is done with life and has no further interest in its joys and sorrows, its hopes or its ambitions.
