7140_72212_000001_000000	CHAPTER TWENTY-SEVENTH.	CHAPTER TWENTY SEVENTH.
7140_72212_000039_000000	"But you are not going to die just yet," returned the doctor, with assumed gayety; "and home and mother will do wonders for you."	"But you are not going to die just yet," returned the doctor, with assumed gayety; "and home and mother will do wonders for you."
7140_72212_000040_000000	"Dr. King," and the blue eyes looked up calmly and steadily into the physician's face, "please tell me exactly what you think of my case.	"dr King," and the blue eyes looked up calmly and steadily into the physician's face, "please tell me exactly what you think of my case.
7140_72212_000040_000001	Is there any hope of recovery?"	Is there any hope of recovery?"
7140_72212_000041_000000	"You may improve very much: I think you will when you get home; and, though there is little hope of the entire recovery of your former health and strength, you may live for years."	"You may improve very much: I think you will when you get home; and, though there is little hope of the entire recovery of your former health and strength, you may live for years."
7140_72212_000042_000000	"But it is likely I shall not live another year?	"But it is likely I shall not live another year?
7140_72212_000042_000001	do not be afraid to say so: I should rather welcome the news.	do not be afraid to say so: I should rather welcome the news.
7140_72212_000043_000000	"Yes; I--I think you are nearing home, my dear boy; the land where 'the inhabitant shall not say, I am sick.'"	"Yes; I-I think you are nearing home, my dear boy; the land where 'the inhabitant shall not say, I am sick.'"
7140_72212_000045_000000	A moment's silence, and Harold said, "Thank you.	A moment's silence, and Harold said, "Thank you.
7140_72212_000046_000000	"But don't forget that there is still a possibility of recuperation; while there's life there's hope."	"But don't forget that there is still a possibility of recuperation; while there's life there's hope."
7140_72212_000048_000000	The doctor passed on to another patient, and Harold was again left to the companionship of his own thoughts.	The doctor passed on to another patient, and Harold was again left to the companionship of his own thoughts.
7140_72212_000048_000001	But not for long; they were presently broken in upon by the appearance of May with a very bright face.	But not for long; they were presently broken in upon by the appearance of May with a very bright face.
7140_72212_000049_000000	"See!" she cried joyously, holding up a package; "letters from home, and Naples too.	"See!" she cried joyously, holding up a package; "letters from home, and Naples too.
7140_72212_000049_000001	Rose writes to mamma, and she has enclosed the letter for our benefit."	Rose writes to mamma, and she has enclosed the letter for our benefit."
7140_72212_000050_000000	"Then let us enjoy it together.	"Then let us enjoy it together.
7140_72212_000050_000002	My eyes are rather weak, you know, and I see the ink is pale."	My eyes are rather weak, you know, and I see the ink is pale."
7140_72212_000051_000000	"But mamma's note to you?"	"But mamma's note to you?"
7140_72212_000052_000000	"Can wait its turn.	"Can wait its turn.
7140_72212_000052_000001	I always like to keep the best till the last."	I always like to keep the best till the last."
7140_72212_000053_000000	Harold hardly acknowledged to himself that he was very eager to hear news from Elsie; even more than to read the loving words from his mother's pen.	Harold hardly acknowledged to himself that he was very eager to hear news from Elsie; even more than to read the loving words from his mother's pen.
7140_72212_000055_000000	After speaking of some other matters, Rose went on: "But I have kept my greatest piece till now.	After speaking of some other matters, Rose went on: "But I have kept my greatest piece till now.
7140_72212_000055_000001	Our family is growing; we have another grandson who arrived about two weeks ago; Harold Allison Travilla by name.	Our family is growing; we have another grandson who arrived about two weeks ago; Harold Allison Travilla by name.
7140_72212_000056_000001	My husband and I are growing quite patriarchal.	My husband and I are growing quite patriarchal.
7140_72212_000057_000000	"Elsie is the loveliest and the best of mothers, perfectly devoted to her children; so patient and so tender, so loving and gentle, and yet so firm. Mr. Travilla and she are of one mind in regard to their training, requiring as prompt and cheerful obedience as Horace always has; yet exceedingly indulgent wherever indulgence can do no harm.	"Elsie is the loveliest and the best of mothers, perfectly devoted to her children; so patient and so tender, so loving and gentle, and yet so firm. mr Travilla and she are of one mind in regard to their training, requiring as prompt and cheerful obedience as Horace always has; yet exceedingly indulgent wherever indulgence can do no harm.
7140_72212_000058_000000	"Tell our Harold--my poor dear brother--that we hope his name-child will be an honor to him."	"Tell our Harold-my poor dear brother-that we hope his name child will be an honor to him."
7140_72212_000059_000000	"Are you not pleased?" asked May, pausing to look up at him.	"Are you not pleased?" asked May, pausing to look up at him.
7140_72212_000062_000000	May had left the room, and Harold lay languid and weak upon his cot.	May had left the room, and Harold lay languid and weak upon his cot.
7140_72212_000062_000001	A Confederate officer, occupying the next, addressed him, rousing him out of the reverie into which he had fallen.	A Confederate officer, occupying the next, addressed him, rousing him out of the reverie into which he had fallen.
7140_72212_000063_000000	"Excuse me, sir, but I could not help hearing some parts of the letter read aloud by the lady--your sister, I believe----"	"Excuse me, sir, but I could not help hearing some parts of the letter read aloud by the lady-your sister, I believe----"
7140_72212_000064_000000	"Yes.	"Yes.
7140_72212_000064_000002	"So no need for apologies."	"So no need for apologies."
7140_72212_000065_000000	"But there is something else.	"But there is something else.
7140_72212_000066_000000	"Yes; knew and loved him!" exclaimed Harold, raising himself on his elbow, and turning a keenly interested, questioning gaze upon the stranger.	"Yes; knew and loved him!" exclaimed Harold, raising himself on his elbow, and turning a keenly interested, questioning gaze upon the stranger.
7140_72212_000067_000000	"Then it is, it must be the same family," said the latter, half to himself, half to Harold.	"Then it is, it must be the same family," said the latter, half to himself, half to Harold.
7140_72212_000068_000000	"Same as what, sir?"	"Same as what, sir?"
7140_72212_000069_000002	Will you, sir, take charge of it, and see that it reaches the lady's hands?"	Will you, sir, take charge of it, and see that it reaches the lady's hands?"
7140_72212_000070_000000	"With pleasure.	"With pleasure.
7140_72212_000072_000000	"Yes; the uncle a trifle younger than the niece."	"Yes; the uncle a trifle younger than the niece."
7140_72212_000073_000000	"Dinsmore and I were together almost constantly during the last six months of his life, and became very intimate.	"Dinsmore and I were together almost constantly during the last six months of his life, and became very intimate.
7140_72212_000073_000001	My haversack, Smith, if you please," addressing a nurse.	My haversack, Smith, if you please," addressing a nurse.
7140_72212_000074_000000	It was brought, opened, and a small package taken from it and given to Harold.	It was brought, opened, and a small package taken from it and given to Harold.
