7398_98876_000000_000000	I effected all this without any other medicinal aid, or without resorting to an operation.	I effected all this without any other medicinal aid, or without resorting to an operation.	false	0	0.78	100
7398_98876_000003_000009	832: redness and swelling in front of the neck, swelling of the glands.	eight hundred thirty two: redness and swelling in front of the neck, swelling of the glands.	false	131.36	136.06	22.949957
7398_98876_000003_000010	833: swelling of the cervical glands on the injured side. 836: tension on the right side of the nape of the neck, below and back of the ear.	eight hundred thirty three: swelling of the cervical glands on the injured side. eight hundred thirty six: tension on the right side of the nape of the neck, below and back of the ear.	false	136.07	145.81	24.301395
7398_98876_000003_000011	897, 898: itching and burning of the dorsum of the hand and of the knuckles and first phalanges; cracking of the skin here and there; itching and chapping of the hand and lower lip."	eight hundred ninety seven, eight hundred ninety eight: itching and burning of the dorsum of the hand and of the knuckles and first phalanges; cracking of the skin here and there; itching and chapping of the hand and lower lip."	false	145.97	157.815	23.627747
7398_98876_000004_000000	If we add to these symptoms the above enumerated cerebral symptoms, the typhoid alteration of the internal mucous membrane of the whole alimentary canal and of the respiratory organs, the disorganizing and paralyzing action upon the blood and nerves, the inclination to dropsical effusion, the affection of the cervical glands with tendency to suppuration, the appearance of otorrh[oe]a,--we have a group of symptoms which resemble very accurately the prevailing type of epidemic scarlatina.	If we add to these symptoms the above enumerated cerebral symptoms, the typhoid alteration of the internal mucous membrane of the whole alimentary canal and of the respiratory organs, the disorganizing and paralyzing action upon the blood and nerves, the inclination to dropsical effusion, the affection of the cervical glands with tendency to suppuration, the appearance of otorrh[oe]a,--we have a group of symptoms which resemble very accurately the prevailing type of epidemic scarlatina.	false	157.815	188.86	21.564215
7398_98876_000004_000001	I know, from abundant experience, that the hom[oe]opathic law has been brilliantly confirmed in this disease.	I know, from abundant experience, that the hom[oe]opathic law has been brilliantly confirmed in this disease.	false	188.93	195.01	18
7398_98876_000004_000002	Thanks to the curative powers of Apis, scarlatina has ceased to be a scourge to childhood.	Thanks to the curative powers of Apis, scarlatina has ceased to be a scourge to childhood.	true	195.44	200.53	24.799398
7398_98876_000004_000003	The dangers to which children were usually exposed in scarlatina, have dwindled down to one, which fortunately is a comparatively rare phenomenon.	The dangers to which children were usually exposed in scarlatina, have dwindled down to one, which fortunately is a comparatively rare phenomenon.	true	200.66	209.13	22.019787
7398_98876_000004_000004	It is only where the scarlet-fever poison acts at the outset with so much intensity, that the brain becomes paralyzed at once, and the disease must necessarily terminate fatally, that no remedy has as yet been discovered.	It is only where the scarlet fever poison acts at the outset with so much intensity, that the brain becomes paralyzed at once, and the disease must necessarily terminate fatally, that no remedy has as yet been discovered.	false	209.13	221.94	21.577747
7398_98876_000004_000005	In all other cases, unless some strange mishap should interfere, the physician, who is familiar with Apis, need not fear any untoward results in his treatment of scarlatina.	In all other cases, unless some strange mishap should interfere, the physician, who is familiar with Apis, need not fear any untoward results in his treatment of scarlatina.	true	221.94	232.24	20.846638
7398_98876_000005_000000	In all lighter cases, where the disease sets in less tumultuously, and runs a mild course, it is proper, as soon as the disease has fairly broken out, to give a globule of Apis 30, and to watch the effects of this dose without interference.	In all lighter cases, where the disease sets in less tumultuously, and runs a mild course, it is proper, as soon as the disease has fairly broken out, to give a globule of Apis thirty, and to watch the effects of this dose without interference.	true	232.4	246.25	23.0906
7398_98876_000005_000001	The immediate consequence of this proceeding, is to bring the eruption out in a few hours, all over the skin, with abatement of the fever and general perspiration, after which the eruption runs its course in a few days, with a progressive feeling of convalescence, the epidermis peels off from the third to the fifth day, and, at the latest, to the seventh day, with cessation of the fever, so that the process of desquamation is generally terminated within the next seven days, after _which the patient may be fairly said to be convalescent, and the patient may be said to be absolutely freed from all danger of consecutive diseases_.	The immediate consequence of this proceeding, is to bring the eruption out in a few hours, all over the skin, with abatement of the fever and general perspiration, after which the eruption runs its course in a few days, with a progressive feeling of convalescence, the epidermis peels off from the third to the fifth day, and, at the latest, to the seventh day, with cessation of the fever, so that the process of desquamation is generally terminated within the next seven days, after underscore which the patient may be fairly said to be convalescent, and the patient may be said to be absolutely freed from all danger of consecutive diseases underscore.	false	246.5	280.44	20
7398_98876_000006_000000	The same result is obtained by nature in cases of mild scarlatina, without the interference of art.	The same result is obtained by nature in cases of mild scarlatina, without the interference of art.	false	280.44	285.94	20
7398_98876_000006_000001	But the experience which I have had an opportunity of making during my long official employment as district-physician, has convinced me that Nature accomplishes her end far more easily, more speedily and satisfactorily, if assisted by art in accordance with the law of hom[oe]opathy.	But the experience which I have had an opportunity of making during my long official employment as district physician, has convinced me that Nature accomplishes her end far more easily, more speedily and satisfactorily, if assisted by art in accordance with the law of hom[oe]opathy.	false	286.07	302.415	21.409649
7398_98876_000006_000002	The sequelae especially are rendered less dangerous by this means.	The sequelae especially are rendered less dangerous by this means.	true	302.415	306.43	25.407347
7398_98876_000007_000000	But if the disease sets in with a considerable degree of intensity at the very outset, and the fever continues without abatement, it is advisable to keep up a medicinal impression by repeating the dose.	But if the disease sets in with a considerable degree of intensity at the very outset, and the fever continues without abatement, it is advisable to keep up a medicinal impression by repeating the dose.	false	306.5	316.845	14
7398_98876_000007_000001	To this end we dissolve a globule of Apis 30, in seven dessert-spoonfuls of water, by shaking the solution vigorously in a corked vial, and giving a dessert-spoonful every three, six, or twelve hours as the case may require.	To this end we dissolve a globule of Apis thirty, in seven dessert spoonfuls of water, by shaking the solution vigorously in a corked vial, and giving a dessert spoonful every three, six, or twelve hours as the case may require.	true	316.845	330.01	20
7398_98876_000007_000002	In all ordinary cases a single solution of this kind sufficed to subdue the fever and to secure a favorable termination of the disease.	In all ordinary cases a single solution of this kind sufficed to subdue the fever and to secure a favorable termination of the disease.	false	330.08	338.41	21.265255
7398_98876_000008_000000	The struggle between disease and medicine assumes a far different form, if the morbific poison has penetrated the organism more deeply; if a process of disorganization has already developed itself in the intestinal mucous membrane, and if the alteration of the sanguineous fluid, which is an inherent accompaniment of such a disorganizing process, has depressed the nervous activity to such a degree that typhus, or paralysis of the brain or lungs seems unavoidable, as may be inferred from the bright-red tongue, which is thickly studded with eruptive vesicles, and speedily becomes excoriated, fissured and covered with aphthae; by a copious discharge of thick, white, bloody and fetid mucus from the nose; by the swelling and induration of the parotid glands, increasing difficulty of deglutition; sensitiveness of the abdomen to pressure; badly-colored, slimy, bloody diarrh[oe]a; scanty emissions of turbid, red, painful urine; accelerated and labored breathing; loss of consciousness; delirium; sopor; convulsions; trembling of the limbs; appearance as if the patient were lying in his bed in a state of fainting; the skin is at times burning, hot and dry; at others it feels like parchment, cooler; at others again, hot and cool together in spots; the fever increases with changing pulse, and is more constant; in short, all the symptoms, although developing themselves less rapidly, show that a fatal termination becomes more and more probable.	The struggle between disease and medicine assumes a far different form, if the morbific poison has penetrated the organism more deeply; if a process of disorganization has already developed itself in the intestinal mucous membrane, and if the alteration of the sanguineous fluid, which is an inherent accompaniment of such a disorganizing process, has depressed the nervous activity to such a degree that typhus, or paralysis of the brain or lungs seems unavoidable, as may be inferred from the bright red tongue, which is thickly studded with eruptive vesicles, and speedily becomes excoriated, fissured and covered with aphthae; by a copious discharge of thick, white, bloody and fetid mucus from the nose; by the swelling and induration of the parotid glands, increasing difficulty of deglutition; sensitiveness of the abdomen to pressure; badly colored, slimy, bloody diarrhea[oe]a; scanty emissions of turbid, red, painful urine; accelerated and labored breathing; loss of consciousness; delirium; sopor; convulsions; trembling of the limbs; appearance as if the patient were lying in his bed in a state of fainting; the skin is at times burning, hot and dry; at others it feels like parchment, cooler; at others again, hot and cool together in spots; the fever increases with changing pulse, and is more constant; in short, all the symptoms, although developing themselves less rapidly, show that a fatal termination becomes more and more probable.	false	338.48	429.88	22.184828
7398_98876_000008_000001	In such a case it is above all things necessary to saturate the organism with Apis.	In such a case it is above all things necessary to saturate the organism with Apis.	false	429.95	434.98	21.007484
7398_98876_000008_000002	If there is much fever, this result is best accomplished by means of alternate doses of Aconite and Apis, a few drops of the third potency, shaken together with twelve tablespoonfuls of water, each drug by itself, the dose to be repeated every hour; and if the temperature is rather depressed, by giving Apis without the Aconite, a tablespoonful every hour or two hours.	If there is much fever, this result is best accomplished by means of alternate doses of Aconite and Apis, a few drops of the third potency, shaken together with twelve tablespoonfuls of water, each drug by itself, the dose to be repeated every hour; and if the temperature is rather depressed, by giving Apis without the Aconite, a tablespoonful every hour or two hours.	false	435.2	458.73	23.346594
7398_98876_000008_000003	In favorable cases the fever becomes more remittent within one to three days; a moderate and pleasant perspiration breaks out all over the skin; the sleep becomes calm and natural, and the typhoid symptoms abate.	In favorable cases the fever becomes more remittent within one to three days; a moderate and pleasant perspiration breaks out all over the skin; the sleep becomes calm and natural, and the typhoid symptoms abate.	false	458.73	471.36	23.048325
7398_98876_000008_000004	If this change takes place, it is proper to exhibit Apis in a more dynamic form, in order to assimilate it more harmoniously to the newly awakened reactive power of the organism.	If this change takes place, it is proper to exhibit Apis in a more dynamic form, in order to assimilate it more harmoniously to the newly awakened reactive power of the organism.	true	471.36	481.36	20.828123
7398_98876_000008_000005	To this end we dissolve a few globules of Apis 30 in seven dessert-spoonfuls of water, giving a dessert-spoonful morning and evening, and we continue this treatment, until the symptoms of typhoid angina have gradually abated, the tongue has been healed, the normal desire for food has returned, and the digestive functions go on regularly; after which the natural reaction of the organism, assisted by careful diet, will be found sufficient to complete the cure.	To this end we dissolve a few globules of Apis thirty in seven dessert spoonfuls of water, giving a dessert spoonful morning and evening, and we continue this treatment, until the symptoms of typhoid angina have gradually abated, the tongue has been healed, the normal desire for food has returned, and the digestive functions go on regularly; after which the natural reaction of the organism, assisted by careful diet, will be found sufficient to complete the cure.	true	481.37	507.52	21.557375
7398_98876_000008_000006	If no improvement sets in after Apis has been used for three days, we may rest assured that a psoric miasm is in the way of a cure, which requires to be combated with some anti-psoric remedy.	If no improvement sets in after Apis has been used for three days, we may rest assured that a psoric miasm is in the way of a cure, which requires to be combated with some anti psoric remedy.	true	507.59	518.86	22.304028
7398_98876_000008_000007	I have generally found Kali carbonicum efficient, of which I gave one globule thirty on the fourth day of the treatment, permitting it to act uninterruptedly from one to three days, according as the disease was more or less acute, after which I again exhibited Apis in the manner previously indicated.	I have generally found Kali carbonicum efficient, of which I gave one globule thirty on the fourth day of the treatment, permitting it to act uninterruptedly from one to three days, according as the disease was more or less acute, after which I again exhibited Apis in the manner previously indicated.	false	519.08	536.02	22.463917
7398_98876_000008_000008	In this way I succeeded in developing the curative powers of Apis, so that in a few days a gradual improvement, however slight, became perceptible to the careful observer.	In this way I succeeded in developing the curative powers of Apis, so that in a few days a gradual improvement, however slight, became perceptible to the careful observer.	true	536.3	546.82	21.932499
7398_98876_000008_000009	As soon as the improvement is well marked, all repetition of the medicine should cease, and the natural reaction of the organism should be permitted to complete the cure.	As soon as the improvement is well marked, all repetition of the medicine should cease, and the natural reaction of the organism should be permitted to complete the cure.	true	546.86	556.27	21.170935
7398_98876_000008_000010	Any one who is acquainted with the action of the Kali, must know that it continues without being interrupted by Apis.	Any one who is acquainted with the action of the Kali, must know that it continues without being interrupted by Apis.	false	556.4	562.81	18
7398_98876_000008_000011	An invaluable blessing of Nature!	An invaluable blessing of Nature!	true	562.88	565.09	22.770859
7398_98876_000009_000000	This proceeding is crowned with the desired results; the convalescence is shorter and easier, and there is less danger of serious sequelae, which, according to all experience, are so common in complicated cases of scarlatina, otorrh[oe]a and suppuration of the parotid glands are generally avoided under this treatment without any other aid, or, if it is impossible to avert such changes, they generally come to a speedy and safe end.	This proceeding is crowned with the desired results; the convalescence is shorter and easier, and there is less danger of serious sequelae, which, according to all experience, are so common in complicated cases of scarlatina, otorrh[oe]a and suppuration of the parotid glands are generally avoided under this treatment without any other aid, or, if it is impossible to avert such changes, they generally come to a speedy and safe end.	false	565.25	590.38	21.540173
7398_98876_000009_000001	This treatment likewise keeps off dropsy and its dangers.	This treatment likewise keeps off dropsy and its dangers.	true	590.51	594.12	22.383707
7398_98876_000010_000000	In cases where the secretion of _black urine_ shows that the liver is deeply involved in the disease, Apis is powerless.	In cases where the secretion of underscore black urine underscore shows that the liver is deeply involved in the disease, Apis is powerless.	false	594.12	602.11	22.136852
7398_98876_000010_000001	These are the only exceptions to the curative power of this drug.	These are the only exceptions to the curative power of this drug.	true	602.51	606.285	22.324495
7398_98876_000010_000002	Here we are told by our law of cure, that the sphere of Lachesis commences.	Here we are told by our law of cure, that the sphere of Lachesis commences.	true	606.285	610.18	20
7398_98876_000010_000003	We give one or two globules of Lachesis 30 in seven dessert-spoonfuls of water, a dessert-spoonful every twelve hours, and in acute cases every three hours; and the good effects of the medicine must seem miraculous to one who is not accustomed to this mode of treating diseases.	We give one or two globules of Lachesis thirty in seven dessert spoonfuls of water, a dessert spoonful every twelve hours, and in acute cases every three hours; and the good effects of the medicine must seem miraculous to one who is not accustomed to this mode of treating diseases.	false	610.28	626.38	21.993929
7398_98876_000010_000004	Already in a few hours the patient becomes tranquil, showing that the process of disorganization has been arrested; the improvement continues from hour to hour; the sleep becomes more tranquil; the cutaneous secretions, and those of the bowels and kidneys, become more active; after the lapse of one, or at most two days, the urine begins to look clearer and lighter-colored, and in about three days a return of the natural color of the urine shows that the functions of the liver are restored to their normal standard; the patient is able to do without any further medical treatment, and the natural reaction of the vital forces will be found sufficient to effect a cure.	Already in a few hours the patient becomes tranquil, showing that the process of disorganization has been arrested; the improvement continues from hour to hour; the sleep becomes more tranquil; the cutaneous secretions, and those of the bowels and kidneys, become more active; after the lapse of one, or at most two days, the urine begins to look clearer and lighter colored, and in about three days a return of the natural color of the urine shows that the functions of the liver are restored to their normal standard; the patient is able to do without any further medical treatment, and the natural reaction of the vital forces will be found sufficient to effect a cure.	false	626.6	679.08	21.428396
