2229_152842_000000_000000	"Where are the sunrays gone?" I cried.	"Where are the sunrays gone?" I cried.	false	0	0.15	11
2229_152842_000008_000000	The wooden chamber was just as when first I saw it, the mirror dimly reflecting everything before it.	The wooden chamber was just as when first I saw it, the mirror dimly reflecting everything before it.	true	136.76	142.72	16
2229_152842_000008_000001	It was nearly noon, and the sun would be a little higher than when first I came: I must raise the hood a little, and adjust the mirrors accordingly!	It was nearly noon, and the sun would be a little higher than when first I came: I must raise the hood a little, and adjust the mirrors accordingly!	true	143.42	152.05	18.87472
2229_152842_000008_000002	If I had but been in time to see Mr. Raven do it!	If I had but been in time to see mr Raven do it!	true	152.9	156.34	19.866388
2229_152842_000009_000000	I pulled the chains, and let the light fall on the first mirror. I turned then to the other: there were the shapes of the former vision--distinguishable indeed, but tremulous like a landscape in a pool ruffled by "a small pipling wind!" I touched the glass; it was impermeable.	I pulled the chains, and let the light fall on the first mirror. I turned then to the other: there were the shapes of the former vision-distinguishable indeed, but tremulous like a landscape in a pool ruffled by "a small pipling wind!" I touched the glass; it was impermeable.	true	157.73	177.19	18.2865
2229_152842_000010_000000	Suspecting polarisation as the thing required, I shifted and shifted the mirrors, changing their relation, until at last, in a great degree, so far as I was concerned, by chance, things came right between them, and I saw the mountains blue and steady and clear.	Suspecting polarisation as the thing required, I shifted and shifted the mirrors, changing their relation, until at last, in a great degree, so far as I was concerned, by chance, things came right between them, and I saw the mountains blue and steady and clear.	true	179.03	195.37	17
2229_152842_000010_000001	I stepped forward, and my feet were among the heather.	I stepped forward, and my feet were among the heather.	true	196.43	200.5	18.478844
2229_152842_000011_000000	All I knew of the way to the cottage was that we had gone through a pine-forest.	All I knew of the way to the cottage was that we had gone through a pine forest.	true	202.34	206.56	15
2229_152842_000011_000001	I passed through many thickets and several small fir-woods, continually fancying afresh that I recognised something of the country; but I had come upon no forest, and now the sun was near the horizon, and the air had begun to grow chill with the coming winter, when, to my delight, I saw a little black object coming toward me: it was indeed the raven!	I passed through many thickets and several small fir woods, continually fancying afresh that I recognised something of the country; but I had come upon no forest, and now the sun was near the horizon, and the air had begun to grow chill with the coming winter, when, to my delight, I saw a little black object coming toward me: it was indeed the raven!	true	206.87	228.85	17.537212
2229_152842_000012_000000	I hastened to meet him.	I hastened to meet him.	true	229.79	231.34	19.16477
2229_152842_000013_000000	"I beg your pardon, sir, for my rudeness last night," I said.	"I beg your pardon, sir, for my rudeness last night," I said.	true	232.19	235.63	12
2229_152842_000013_000001	"Will you take me with you now?	"Will you take me with you now?	true	235.85	237.61	23.173386
2229_152842_000013_000002	I heartily confess I do not deserve it."	I heartily confess I do not deserve it."	true	237.68	240.04	15.934905
2229_152842_000014_000000	"Ah!" he returned, and looked up.	"Ah!" he returned, and looked up.	true	241.34	243.64	21.914715
2229_152842_000014_000001	Then, after a brief pause, "My wife does not expect you to-night," he said.	Then, after a brief pause, "My wife does not expect you to night," he said.	true	243.89	249.135	19.468441
2229_152842_000014_000002	"She regrets that we at all encouraged your staying last week."	"She regrets that we at all encouraged your staying last week."	true	249.135	252.64	18.014189
2229_152842_000015_000000	"Take me to her that I may tell her how sorry I am," I begged humbly.	"Take me to her that I may tell her how sorry I am," I begged humbly.	true	254.12	258.04	14
2229_152842_000016_000000	"It is of no use," he answered.	"It is of no use," he answered.	true	258.53	260.38	18.986542
2229_152842_000016_000001	"Your night was not come then, or you would not have left us.	"Your night was not come then, or you would not have left us.	true	260.75	264.07	16
2229_152842_000016_000002	It is not come now, and I cannot show you the way.	It is not come now, and I cannot show you the way.	true	264.62	267.37	18
2229_152842_000016_000003	The dead were rejoicing under their daisies--they all lie among the roots of the flowers of heaven--at the thought of your delight when the winter should be past, and the morning with its birds come: ere you left them, they shivered in their beds.	The dead were rejoicing under their daisies-they all lie among the roots of the flowers of heaven-at the thought of your delight when the winter should be past, and the morning with its birds come: ere you left them, they shivered in their beds.	true	267.83	282.01	18.519794
2229_152842_000016_000004	When the spring of the universe arrives,--but that cannot be for ages yet! how many, I do not know--and do not care to know."	When the spring of the universe arrives,--but that cannot be for ages yet! how many, I do not know-and do not care to know."	true	282.86	290.11	19.590778
2229_152842_000017_000000	"Tell me one thing, I beg of you, Mr. Raven: is my father with you?	"Tell me one thing, I beg of you, mr Raven: is my father with you?	true	291.41	295.51	14
2229_152842_000017_000001	Have you seen him since he left the world?"	Have you seen him since he left the world?"	true	295.79	298.24	18.523195
2229_152842_000018_000000	"Yes; he is with us, fast asleep.	"Yes; he is with us, fast asleep.	true	299.33	303.1	19.563017
2229_152842_000018_000001	That was he you saw with his arm on the coverlet, his hand half closed."	That was he you saw with his arm on the coverlet, his hand half closed."	true	303.53	308.38	18.190653
2229_152842_000019_000000	"Why did you not tell me?	"Why did you not tell me?	true	309.35	310.75	18
2229_152842_000019_000001	That I should have been so near him, and not know!"	That I should have been so near him, and not know!"	true	311.09	313.87	11
2229_152842_000020_000000	"And turn your back on him!" corrected the raven.	"And turn your back on him!" corrected the raven.	true	314.48	317.29	18.71356
2229_152842_000021_000000	"I would have lain down at once had I known!"	"I would have lain down at once had I known!"	true	317.99	320.17	17.806133
2229_152842_000022_000000	"I doubt it.	"I doubt it.	true	321.02	322	22.239025
2229_152842_000022_000001	Had you been ready to lie down, you would have known him!--Old Sir Up'ard," he went on, "and your twice great-grandfather, both are up and away long ago.	Had you been ready to lie down, you would have known him!--Old Sir Up'ard," he went on, "and your twice great grandfather, both are up and away long ago.	false	322.55	331.81	20.262445
2229_152842_000022_000002	Your great-grandfather has been with us for many a year; I think he will soon begin to stir.	Your great grandfather has been with us for many a year; I think he will soon begin to stir.	true	332.42	338.38	18.086187
2229_152842_000022_000003	You saw him last night, though of course you did not know him."	You saw him last night, though of course you did not know him."	true	339.59	342.82	19.705952
2229_152842_000023_000000	"Why OF COURSE?"	"Why OF COURSE?"	true	343.31	344.77	18.816223
2229_152842_000024_000000	"Because he is so much nearer waking than you.	"Because he is so much nearer waking than you.	true	345.05	347.68	19.600426
2229_152842_000024_000001	No one who will not sleep can ever wake."	No one who will not sleep can ever wake."	true	348.05	350.71	20.974407
2229_152842_000025_000000	"I do not at all understand you!"	"I do not at all understand you!"	true	351.77	353.8	20.627499
2229_152842_000026_000000	"You turned away, and would not understand!" I held my peace.--But if I did not say something, he would go!	"You turned away, and would not understand!" I held my peace.--But if I did not say something, he would go!	true	354.44	360.97	19.56291
2229_152842_000027_000000	"And my grandfather--is he also with you?" I asked.	"And my grandfather-is he also with you?" I asked.	true	361.7	365.29	18
2229_152842_000028_000000	"No; he is still in the Evil Wood, fighting the dead."	"No; he is still in the Evil Wood, fighting the dead."	true	366.17	370.03	21.397865
2229_152842_000029_000000	"Where is the Evil Wood, that I may find him?"	"Where is the Evil Wood, that I may find him?"	true	371.39	373.93	16.777689
2229_152842_000030_000000	"You will not find him; but you will hardly miss the wood.	"You will not find him; but you will hardly miss the wood.	true	374.87	378.1	22.633858
2229_152842_000030_000001	It is the place where those who will not sleep, wake up at night, to kill their dead and bury them."	It is the place where those who will not sleep, wake up at night, to kill their dead and bury them."	true	378.2	384.52	19.41999
2229_152842_000031_000000	"I cannot understand you!"	"I cannot understand you!"	true	385.64	387.52	20
2229_152842_000032_000000	"Naturally not.	"Naturally not.	true	389.15	390.22	23.937222
2229_152842_000032_000001	Neither do I understand you; I can read neither your heart nor your face.	Neither do I understand you; I can read neither your heart nor your face.	true	390.26	395.26	19.093565
2229_152842_000032_000002	When my wife and I do not understand our children, it is because there is not enough of them to be understood.	When my wife and I do not understand our children, it is because there is not enough of them to be understood.	true	395.78	401.41	16
2229_152842_000032_000003	God alone can understand foolishness."	God alone can understand foolishness."	true	401.84	404.44	18.190178
2229_152842_000033_000000	"Then," I said, feeling naked and very worthless, "will you be so good as show me the nearest way home?	"Then," I said, feeling naked and very worthless, "will you be so good as show me the nearest way home?	false	406.07	412.99	16
2229_152842_000033_000001	There are more ways than one, I know, for I have gone by two already."	There are more ways than one, I know, for I have gone by two already."	true	413.39	417.88	11
2229_152842_000034_000000	"There are indeed many ways."	"There are indeed many ways."	true	419.3	421.06	15.197149
2229_152842_000035_000000	"Tell me, please, how to recognise the nearest."	"Tell me, please, how to recognise the nearest."	true	421.91	424.99	21.632029
2229_152842_000036_000000	"I cannot," answered the raven; "you and I use the same words with different meanings.	"I cannot," answered the raven; "you and I use the same words with different meanings.	true	425.93	431.2	18
2229_152842_000036_000001	We are often unable to tell people what they NEED to know, because they WANT to know something else, and would therefore only misunderstand what we said.	We are often unable to tell people what they NEED to know, because they WANT to know something else, and would therefore only misunderstand what we said.	true	431.51	440.17	15
2229_152842_000036_000002	Home is ever so far away in the palm of your hand, and how to get there it is of no use to tell you.	Home is ever so far away in the palm of your hand, and how to get there it is of no use to tell you.	true	440.9	447.55	19.288692
2229_152842_000036_000003	But you will get there; you must get there; you have to get there.	But you will get there; you must get there; you have to get there.	true	448.07	452.11	22.218227
2229_152842_000036_000004	Everybody who is not at home, has to go home.	Everybody who is not at home, has to go home.	true	452.36	455.95	20.42725
2229_152842_000036_000005	You thought you were at home where I found you: if that had been your home, you could not have left it.	You thought you were at home where I found you: if that had been your home, you could not have left it.	true	456.41	461.44	19.731712
2229_152842_000036_000006	Nobody can leave home.	Nobody can leave home.	true	461.9	463.365	18.212599
2229_152842_000036_000007	And nobody ever was or ever will be at home without having gone there."	And nobody ever was or ever will be at home without having gone there."	true	463.365	467.92	17
2229_152842_000037_000000	"Enigma treading on enigma!" I exclaimed.	"Enigma treading on enigma!" I exclaimed.	true	469.46	472.05	8
2229_152842_000037_000001	"I did not come here to be asked riddles."	"I did not come here to be asked riddles."	true	472.05	474.4	15
2229_152842_000038_000000	"No; but you came, and found the riddles waiting for you!	"No; but you came, and found the riddles waiting for you!	true	475.52	479.08	19.793493
2229_152842_000038_000001	Indeed you are yourself the only riddle.	Indeed you are yourself the only riddle.	true	479.33	481.87	17
2229_152842_000038_000002	What you call riddles are truths, and seem riddles because you are not true."	What you call riddles are truths, and seem riddles because you are not true."	true	482.21	487.63	18.63597
2229_152842_000039_000000	"Worse and worse!" I cried.	"Worse and worse!" I cried.	true	488.03	490.36	22.621853
2229_152842_000040_000000	"And you MUST answer the riddles!" he continued.	"And you MUST answer the riddles!" he continued.	true	490.91	493.455	15
2229_152842_000040_000001	"They will go on asking themselves until you understand yourself.	"They will go on asking themselves until you understand yourself.	true	493.455	497.02	13
2229_152842_000040_000002	The universe is a riddle trying to get out, and you are holding your door hard against it."	The universe is a riddle trying to get out, and you are holding your door hard against it."	true	497.09	502.51	16
2229_152842_000041_000000	"Will you not in pity tell me what I am to do--where I must go?"	"Will you not in pity tell me what I am to do-where I must go?"	true	503.15	507.97	19
2229_152842_000042_000000	"How should I tell YOUR to-do, or the way to it?"	"How should I tell YOUR to do, or the way to it?"	true	508.91	512.29	17
2229_152842_000043_000000	"If I am not to go home, at least direct me to some of my kind."	"If I am not to go home, at least direct me to some of my kind."	true	513.32	517.99	20.496239
2229_152842_000044_000000	"I do not know of any.	"I do not know of any.	true	518.9	520.24	18.18917
2229_152842_000044_000001	The beings most like you are in that direction."	The beings most like you are in that direction."	true	520.91	524.41	19.486326
2229_152842_000045_000000	He pointed with his beak.	He pointed with his beak.	true	525.38	526.99	19.314638
2229_152842_000045_000001	I could see nothing but the setting sun, which blinded me.	I could see nothing but the setting sun, which blinded me.	true	527.36	530.5	16
2229_152842_000046_000000	"Well," I said bitterly, "I cannot help feeling hardly treated--taken from my home, abandoned in a strange world, and refused instruction as to where I am to go or what I am to do!"	"Well," I said bitterly, "I cannot help feeling hardly treated-taken from my home, abandoned in a strange world, and refused instruction as to where I am to go or what I am to do!"	true	531.77	543.04	16
2229_152842_000047_000000	"You forget," said the raven, "that, when I brought you and you declined my hospitality, you reached what you call home in safety: now you are come of yourself!	"You forget," said the raven, "that, when I brought you and you declined my hospitality, you reached what you call home in safety: now you are come of yourself!	true	543.92	554.77	20.285301
2229_152842_000047_000001	Good night."	Good night."	true	555.32	556.18	20.026041
2229_152842_000048_000000	He turned and walked slowly away, with his beak toward the ground.	He turned and walked slowly away, with his beak toward the ground.	true	557.75	561.58	20.861023
2229_152842_000048_000001	I stood dazed.	I stood dazed.	true	562.01	563.83	21.578186
2229_152842_000048_000002	It was true I had come of myself, but had I not come with intent of atonement?	It was true I had come of myself, but had I not come with intent of atonement?	true	564.17	569.02	15
2229_152842_000048_000003	My heart was sore, and in my brain was neither quest nor purpose, hope nor desire.	My heart was sore, and in my brain was neither quest nor purpose, hope nor desire.	true	569.42	575.74	19
2229_152842_000048_000004	I gazed after the raven, and would have followed him, but felt it useless.	I gazed after the raven, and would have followed him, but felt it useless.	true	576.26	580.9	18.162247
2229_152842_000049_000000	All at once he pounced on a spot, throwing the whole weight of his body on his bill, and for some moments dug vigorously.	All at once he pounced on a spot, throwing the whole weight of his body on his bill, and for some moments dug vigorously.	true	582.74	590.53	19.470219
2229_152842_000049_000001	Then with a flutter of his wings he threw back his head, and something shot from his bill, cast high in the air.	Then with a flutter of his wings he threw back his head, and something shot from his bill, cast high in the air.	true	591.23	598.24	16
2229_152842_000049_000002	That moment the sun set, and the air at once grew very dusk, but the something opened into a soft radiance, and came pulsing toward me like a fire-fly, but with a much larger and a yellower light. It flew over my head.	That moment the sun set, and the air at once grew very dusk, but the something opened into a soft radiance, and came pulsing toward me like a fire fly, but with a much larger and a yellower light. It flew over my head.	true	598.97	614.92	17.72396
2229_152842_000049_000003	I turned and followed it.	I turned and followed it.	true	615.92	617.95	17.831766
2229_152842_000050_000000	Here I interrupt my narrative to remark that it involves a constant struggle to say what cannot be said with even an approach to precision, the things recorded being, in their nature and in that of the creatures concerned in them, so inexpressibly different from any possible events of this economy, that I can present them only by giving, in the forms and language of life in this world, the modes in which they affected me--not the things themselves, but the feelings they woke in me.	Here I interrupt my narrative to remark that it involves a constant struggle to say what cannot be said with even an approach to precision, the things recorded being, in their nature and in that of the creatures concerned in them, so inexpressibly different from any possible events of this economy, that I can present them only by giving, in the forms and language of life in this world, the modes in which they affected me-not the things themselves, but the feelings they woke in me.	true	620.33	650.65	16
2229_152842_000050_000001	Even this much, however, I do with a continuous and abiding sense of failure, finding it impossible to present more than one phase of a multitudinously complicated significance, or one concentric sphere of a graduated embodiment.	Even this much, however, I do with a continuous and abiding sense of failure, finding it impossible to present more than one phase of a multitudinously complicated significance, or one concentric sphere of a graduated embodiment.	true	652.19	667.09	16
2229_152842_000050_000002	A single thing would sometimes seem to be and mean many things, with an uncertain identity at the heart of them, which kept constantly altering their look.	A single thing would sometimes seem to be and mean many things, with an uncertain identity at the heart of them, which kept constantly altering their look.	true	667.67	678.1	17
2229_152842_000050_000003	I am indeed often driven to set down what I know to be but a clumsy and doubtful representation of the mere feeling aimed at, none of the communicating media of this world being fit to convey it, in its peculiar strangeness, with even an approach to clearness or certainty.	I am indeed often driven to set down what I know to be but a clumsy and doubtful representation of the mere feeling aimed at, none of the communicating media of this world being fit to convey it, in its peculiar strangeness, with even an approach to clearness or certainty.	true	678.74	695.5	16
2229_152842_000050_000004	Even to one who knew the region better than myself, I should have no assurance of transmitting the reality of my experience in it.	Even to one who knew the region better than myself, I should have no assurance of transmitting the reality of my experience in it.	true	696.35	703.21	12
2229_152842_000050_000005	While without a doubt, for instance, that I was actually regarding a scene of activity, I might be, at the same moment, in my consciousness aware that I was perusing a metaphysical argument.	While without a doubt, for instance, that I was actually regarding a scene of activity, I might be, at the same moment, in my consciousness aware that I was perusing a metaphysical argument.	false	704.09	728.28	18.47833
