8138_287657_000000_000000	SUNDRY ARRIVALS IN 1859.	SUNDRY ARRIVALS IN eighteen fifty nine.	true	20.88	23.58	20.943998
8138_287657_000004_000003	"He was a spare-made man, with a red head and quick temper: he would go off in a flurry like a flash of powder, and would behave shamefully towards the slaves when in these fits of passion." His wife, however, Caroline confessed was of a different temper, and was a pretty good kind of a woman.	"He was a spare made man, with a red head and quick temper: he would go off in a flurry like a flash of powder, and would behave shamefully towards the slaves when in these fits of passion." His wife, however, Caroline confessed was of a different temper, and was a pretty good kind of a woman.	false	164.15	182.08	21.112259
8138_287657_000004_000004	If he had been anything like his wife in disposition, most likely Caroline would have remained in bondage.	If he had been anything like his wife in disposition, most likely Caroline would have remained in bondage.	true	182.3	188.47	19.823753
8138_287657_000004_000005	Fortunately, Caroline was a single woman.	Fortunately, Caroline was a single woman.	true	188.81	191.475	21.841997
8138_287657_000004_000006	She left her mother.	She left her mother.	true	191.475	192.91	19.991709
8138_287657_000005_000000	Levin Holden, having been sold only a few weeks prior to his escape, was so affected by the change which awaited him, that he was irresistibly led to seek the Underground Rail Road.	Levin Holden, having been sold only a few weeks prior to his escape, was so affected by the change which awaited him, that he was irresistibly led to seek the Underground Rail Road.	true	193.31	204.58	19.929836
8138_287657_000005_000001	Previous to being sold he was under a master by the name of Jonathan Bailey, who followed farming in the neighborhood of Laurel, Delaware, and, as a master, was considered a moderate man--was also well to do in the world; but the new master he could not endure, as he had already let the secret out that Levin was to be sent South.	Previous to being sold he was under a master by the name of Jonathan Bailey, who followed farming in the neighborhood of Laurel, Delaware, and, as a master, was considered a moderate man-was also well to do in the world; but the new master he could not endure, as he had already let the secret out that Levin was to be sent South.	true	204.74	225.49	21.76227
8138_287657_000005_000002	Levin had a perfect horror of a more Southern latitude; he made up his mind that he would try his luck for Canada.	Levin had a perfect horror of a more Southern latitude; he made up his mind that he would try his luck for Canada.	true	225.89	232.69	17.777151
8138_287657_000005_000003	Levin was a man of twenty-seven years of age, smart, dark color, and of a good size for all sorts of work.	Levin was a man of twenty seven years of age, smart, dark color, and of a good size for all sorts of work.	false	232.79	239.86	21.3284
8138_287657_000006_000000	William James Conner, his wife, child, and four brothers came next.	William james Conner, his wife, child, and four brothers came next.	true	240.11	244.87	21.448349
8138_287657_000006_000001	The brothers were hale-looking fellows, and would have commanded high prices in any market South of Mason and Dixon's Line.	The brothers were hale looking fellows, and would have commanded high prices in any market South of Mason and Dixon's Line.	true	244.97	252.28	18.877605
8138_287657_000006_000002	It was said, that they were the property of Kendall Major Lewis, who lived near Laurel, Delaware.	It was said, that they were the property of Kendall Major Lewis, who lived near Laurel, Delaware.	true	252.53	258.07	19.164116
8138_287657_000006_000003	It was known, however, that he never had any deed from the Almighty, but oppressed them without any just right so to do; they were perfectly justifiable in leaving Kendall Major Lewis, and all his sympathizers, to take care of themselves as best they could.	It was known, however, that he never had any deed from the Almighty, but oppressed them without any just right so to do; they were perfectly justifiable in leaving Kendall Major Lewis, and all his sympathizers, to take care of themselves as best they could.	false	258.35	274.03	19.947523
8138_287657_000007_000000	No very serious charges were made against Lewis, but on the contrary they said, that he had been looked upon as a "moderate slave-holder;" they also said, that "he had been a member of the Methodist Episcopal Church for fifty years, and stood high in that body." Furthermore they stated, that he sold slaves occasionally.	No very serious charges were made against Lewis, but on the contrary they said, that he had been looked upon as a "moderate slave holder;" they also said, that "he had been a member of the Methodist Episcopal Church for fifty years, and stood high in that body." Furthermore they stated, that he sold slaves occasionally.	true	274.49	294.4	21.18197
8138_287657_000007_000001	Eight had been sold by him some time before this party escaped (two of them to Georgia); besides William James had been sold and barely found opportunity to escape.	Eight had been sold by him some time before this party escaped (two of them to Georgia); besides William james had been sold and barely found opportunity to escape.	true	294.53	305.19	20.919785
8138_287657_000007_000002	Wm. James, Major Lewis, Dennis Betts, Peter, and Lazarus, with the wife and child of the former, not only found themselves stripped from day to day of their hard earnings, but fearful forebodings of the auction-block were ever uppermost in their minds.	w m. james, Major Lewis, Dennis Betts, peter, and Lazarus, with the wife and child of the former, not only found themselves stripped from day to day of their hard earnings, but fearful forebodings of the auction block were ever uppermost in their minds.	false	305.19	321.22	20.825266
8138_287657_000007_000003	While they spoke of Lewis as "moderate," etc., they all said that he allowed no privileges to his slaves.	While they spoke of Lewis as "moderate," etc, they all said that he allowed no privileges to his slaves.	true	321.44	327.64	19.824955
8138_287657_000008_000000	Richard Williams gave a full account of himself, but only a meagre report was recorded.	Richard Williams gave a full account of himself, but only a meagre report was recorded.	true	327.98	333.73	20.600706
8138_287657_000008_000001	He said that he came from Richmond, and left because he was on the point of being sold by John A. Smith, who owned him.	He said that he came from Richmond, and left because he was on the point of being sold by john a Smith, who owned him.	true	333.8	341.14	20.193514
8138_287657_000008_000002	He gave Smith credit for being a tolerable fair kind of a slave-holder, but added, that "his wife was a notoriously hard woman;" she had made a very deep impression on Richard's mind by her treatment of him.	He gave Smith credit for being a tolerable fair kind of a slave holder, but added, that "his wife was a notoriously hard woman;" she had made a very deep impression on Richard's mind by her treatment of him.	true	341.45	354.1	20.619394
8138_287657_000008_000003	In finding himself on free ground, however, with cheering prospects ahead, he did not stop to brood over the ills that he had suffered, but rejoiced heartily.	In finding himself on free ground, however, with cheering prospects ahead, he did not stop to brood over the ills that he had suffered, but rejoiced heartily.	true	354.35	363.88	20.13316
8138_287657_000008_000004	He left his wife, Julia, who was free.	He left his wife, Julia, who was free.	true	364.01	366.73	23.147814
8138_287657_000009_000000	Sydney Hopkins and Henry Wheeler.	Sydney Hopkins and Henry Wheeler.	true	367.04	369.43	19.794046
8138_287657_000009_000001	These young men made their way out of Slavery together.	These young men made their way out of Slavery together.	true	369.71	372.94	19.790684
8138_287657_000009_000002	While Sydney lives he will forever regard Jacob Hoag, of Havre-de-Grace, as the person who cheated him out of himself, and prevented him from becoming enlightened and educated.	While Sydney lives he will forever regard Jacob Hoag, of Havre de Grace, as the person who cheated him out of himself, and prevented him from becoming enlightened and educated.	false	373.1	385.06	20.748486
8138_287657_000010_000000	Henry, his companion, was also from Havre De Grace.	Henry, his companion, was also from Havre De Grace.	false	385.4	389.23	22.023556
8138_287657_000010_000001	He had had trouble with a man by the name of Amos Barnes, or in other words Barnes claimed to own him, just as he owned a horse or a mule, and daily controlled him in about the same manner that he would manage the animals above alluded to.	He had had trouble with a man by the name of amos Barnes, or in other words Barnes claimed to own him, just as he owned a horse or a mule, and daily controlled him in about the same manner that he would manage the animals above alluded to.	false	389.36	403.99	20.950665
8138_287657_000010_000002	Henry could find no justification for such treatment.	Henry could find no justification for such treatment.	true	404.39	407.83	21.374119
8138_287657_000010_000003	He suffered greatly under the said Barnes, and finally his eyes were open to see that there was an Underground Rail Road for the benefit of all such slavery-sick souls as himself.	He suffered greatly under the said Barnes, and finally his eyes were open to see that there was an Underground Rail Road for the benefit of all such slavery sick souls as himself.	true	407.9	418.81	20.421432
8138_287657_000010_000004	So he got a ticket as soon as possible, and came through without accident, leaving Amos Barnes to do the best he could for a living.	So he got a ticket as soon as possible, and came through without accident, leaving amos Barnes to do the best he could for a living.	true	419.12	426.67	21.02952
8138_287657_000010_000005	This candidate for Canada was twenty-one years of age, and a likely-looking boy.	This candidate for Canada was twenty one years of age, and a likely looking boy.	true	426.95	432.07	20.867928
8138_287657_000011_000000	Joseph Henry Hill.	Joseph Henry Hill.	true	432.47	434.14	21.569862
8138_287657_000011_000001	The spirit of freedom in this passenger was truly the "one idea" notion.	The spirit of freedom in this passenger was truly the "one idea" notion.	true	434.57	439.23	21.182613
8138_287657_000011_000002	At the age of twenty-eight his purpose to free himself by escaping on the Underground Rail Road was successfully carried into effect, although not without difficulty.	At the age of twenty eight his purpose to free himself by escaping on the Underground Rail Road was successfully carried into effect, although not without difficulty.	false	439.23	449.29	20.80268
8138_287657_000011_000003	Joseph was a fair specimen of a man physically and mentally, could read and write, and thereby keep the run of matters of interest on the Slavery question.	Joseph was a fair specimen of a man physically and mentally, could read and write, and thereby keep the run of matters of interest on the Slavery question.	true	449.51	458.59	20.274626
8138_287657_000012_000000	James Thomas, Jr., a tobacco merchant, in Richmond, had Joe down in his ledger as a marketable piece of property, or a handy machine to save labor, and make money.	james Thomas junior, a tobacco merchant, in Richmond, had Joe down in his ledger as a marketable piece of property, or a handy machine to save labor, and make money.	true	459.14	470.53	20.878962
8138_287657_000012_000001	To Joe's great joy he heard the sound of the Underground Rail Road bell in Richmond,--had a satisfactory interview with the conductor,--received a favorable response, and was soon a traveler on his way to Canada.	To Joe's great joy he heard the sound of the Underground Rail Road bell in Richmond,--had a satisfactory interview with the conductor,--received a favorable response, and was soon a traveler on his way to Canada.	true	470.81	483.19	20.542337
8138_287657_000012_000002	He left his mother, a free woman, and two sisters in chains.	He left his mother, a free woman, and two sisters in chains.	true	483.35	487.45	21.277262
8138_287657_000012_000003	He had been sold twice, but he never meant to be sold again.	He had been sold twice, but he never meant to be sold again.	true	487.52	491.29	20.713995
8138_287657_000013_000000	ARRIVAL FROM RICHMOND, 1859.	ARRIVAL FROM RICHMOND, eighteen fifty nine.	true	491.9	495	22.14016
8138_287657_000014_000000	CORNELIUS HENRY JOHNSON.	CORNELIUS HENRY JOHNSON.	true	495	496.93	19.18634
8138_287657_000014_000001	FACE CANADA-WARD FOR YEARS.	FACE CANADA WARD FOR YEARS.	true	497.09	499.75	20.158194
8138_287657_000015_000000	Quite an agreeable interview took place between Cornelius and the Committee.	Quite an agreeable interview took place between Cornelius and the Committee.	true	500.12	504.58	20.534008
8138_287657_000015_000001	He gave his experience of Slavery pretty fully, and the Committee enlightened him as to the workings of the Underground Rail Road, the value of freedom, and the safety of Canada as a refuge.	He gave his experience of Slavery pretty fully, and the Committee enlightened him as to the workings of the Underground Rail Road, the value of freedom, and the safety of Canada as a refuge.	true	504.68	515.98	20.436928
8138_287657_000016_000000	Cornelius was a single man, thirty-six years of age, full black, medium size, and intelligent.	Cornelius was a single man, thirty six years of age, full black, medium size, and intelligent.	true	516.44	523.09	19.38522
8138_287657_000016_000001	He stated that he had had his face set toward Canada for a long while.	He stated that he had had his face set toward Canada for a long while.	false	523.25	527.8	19.702627
8138_287657_000016_000002	Three times he had made an effort to get out of the prison-house.	Three times he had made an effort to get out of the prison house.	true	528.08	531.46	19.513298
8138_287657_000016_000003	"Within the last four or five years, times have gone pretty hard with me.	"Within the last four or five years, times have gone pretty hard with me.	true	531.68	535.84	21.309322
8138_287657_000016_000004	My mistress, Mrs. Mary F. Price, had lately put me in charge of her brother, Samuel M. Bailey, a tobacco merchant of Richmond.	My mistress, mrs Mary f Price, had lately put me in charge of her brother, Samuel m Bailey, a tobacco merchant of Richmond.	true	535.91	544.48	21.70832
8138_287657_000016_000005	Both believed in nothing as they did in Slavery; they would sooner see a black man dead than free.	Both believed in nothing as they did in Slavery; they would sooner see a black man dead than free.	true	544.61	550.72	20.758987
8138_287657_000016_000006	They were about second class in society.	They were about second class in society.	true	551.12	553.78	17.974817
8138_287657_000016_000007	He and his sister own well on to one hundred head, though within the last few years he has been thinning off the number by sale.	He and his sister own well on to one hundred head, though within the last few years he has been thinning off the number by sale.	true	554	561.67	21.453999
8138_287657_000016_000008	I was allowed one dollar a week for my board; one dollar is the usual allowance for slaves in my situation.	I was allowed one dollar a week for my board; one dollar is the usual allowance for slaves in my situation.	true	562.01	568.72	19.420551
8138_287657_000016_000009	On Christmas week he allowed me no board money, but made me a present of seventy-five cents; my mistress added twenty-five cents, which was the extent of their liberality.	On Christmas week he allowed me no board money, but made me a present of seventy five cents; my mistress added twenty five cents, which was the extent of their liberality.	true	569.12	579.64	20.911182
8138_287657_000016_000010	I was well cared for.	I was well cared for.	true	580.04	581.67	21.692984
8138_287657_000016_000011	When the slaves got sick he doctored them himself, he was too stingy to employ a physician.	When the slaves got sick he doctored them himself, he was too stingy to employ a physician.	false	581.67	587.05	20.246807
8138_287657_000016_000012	If they did not get well as soon as he thought they should, he would order them to their work, and if they did not go he would beat them.	If they did not get well as soon as he thought they should, he would order them to their work, and if they did not go he would beat them.	true	587.48	594.73	21.246086
8138_287657_000016_000013	My cousin was badly beat last year in the presence of his wife, and he was right sick.	My cousin was badly beat last year in the presence of his wife, and he was right sick.	true	594.86	600.01	20.092016
8138_287657_000016_000014	Mr. Bailey was a member of St. James' church, on Fifth street, and my mistress was a communicant of the First Baptist church on Broad Street.	mr Bailey was a member of st James' church, on Fifth street, and my mistress was a communicant of the First Baptist church on Broad Street.	false	600.02	608.25	20.339924
8138_287657_000016_000015	She let on to be very good."	She let on to be very good."	true	608.25	610.24	20.504248
8138_287657_000017_000000	"I am one of a family of sixteen; my mother and eleven sisters and brothers are now living; some have been sold to Alabama, and some to Tennessee, the rest are held in Richmond.	"I am one of a family of sixteen; my mother and eleven sisters and brothers are now living; some have been sold to Alabama, and some to Tennessee, the rest are held in Richmond.	true	610.28	620.95	19.90415
8138_287657_000017_000001	My mother is now old, but is still in the service of Bailey.	My mother is now old, but is still in the service of Bailey.	true	621.11	624.79	21.47144
8138_287657_000017_000002	He promised to take care of her in her old age, and not compel her to labor, so she is only required to cook and wash for a dozen slaves.	He promised to take care of her in her old age, and not compel her to labor, so she is only required to cook and wash for a dozen slaves.	true	624.92	633.52	21.436192
8138_287657_000017_000003	This they consider a great favor to the old 'grandmother.' It was only a year ago he cursed her and threatened her with a flogging.	This they consider a great favor to the old 'grandmother.' It was only a year ago he cursed her and threatened her with a flogging.	false	633.74	641.38	20.117237
8138_287657_000017_000004	I left for nothing else but because I was dissatisfied with Slavery.	I left for nothing else but because I was dissatisfied with Slavery.	true	641.54	646.09	19.753313
8138_287657_000017_000005	The threats of my master caused me to reflect on the North and South.	The threats of my master caused me to reflect on the North and South.	true	646.28	650.29	19.614124
8138_287657_000017_000006	I had an idea that I was not to die in Slavery.	I had an idea that I was not to die in Slavery.	true	650.45	653.71	19.496819
8138_287657_000017_000007	I believed that God would assist me if I would try.	I believed that God would assist me if I would try.	true	653.93	657.01	21.124672
8138_287657_000017_000008	I then made up my mind to put my case in the hands of God, and start for the Underground Rail Road.	I then made up my mind to put my case in the hands of God, and start for the Underground Rail Road.	true	657.26	663.61	20.402859
8138_287657_000017_000009	I bade good-bye to the old tobacco factory on Seventh street, and the First African Baptist church on Broad street (where he belonged), where I had so often heard the minister preach 'servants obey your masters;' also to the slave pens, chain-gangs, and a cruel master and mistress, all of which I hoped to leave forever.	I bade good bye to the old tobacco factory on Seventh street, and the First African Baptist church on Broad street (where he belonged), where I had so often heard the minister preach 'servants obey your masters;' also to the slave pens, chain gangs, and a cruel master and mistress, all of which I hoped to leave forever.	false	663.83	683.44	20.332857
8138_287657_000017_000010	But to bid good-bye to my old mother in chains, was no easy job, and if my desire for freedom had not been as strong as my desire for life itself, I could never have stood it; but I felt that I could do her no good; could not help her if I staid.	But to bid good bye to my old mother in chains, was no easy job, and if my desire for freedom had not been as strong as my desire for life itself, I could never have stood it; but I felt that I could do her no good; could not help her if I staid.	true	683.75	698.92	20.599712
8138_287657_000017_000011	As I was often threatened by my master, with the auction-block, I felt I must give up all and escape for my life."	As I was often threatened by my master, with the auction block, I felt I must give up all and escape for my life."	true	699.02	706.15	20.758701
8138_287657_000018_000000	Such was substantially the story of Cornelius Henry Johnson.	Such was substantially the story of Cornelius Henry Johnson.	true	706.19	710.14	18.396923
8138_287657_000018_000001	He talked for an hour as one inspired, and as none but fugitive slaves could talk.	He talked for an hour as one inspired, and as none but fugitive slaves could talk.	true	710.3	715.59	19.72287
8138_287657_000019_000000	ARRIVAL FROM DELAWARE, 1858.	ARRIVAL FROM DELAWARE, eighteen fifty eight.	false	715.59	722.79	17.227411
