1552_140651_000000_000000	DHAMMAPADA	DHAMMAPADA	true	4.89	5.92	17.05925
1552_140651_000016_000001	The evil-doer mourns in this world, and he mourns in the next; he mourns in both.	The evil doer mourns in this world, and he mourns in the next; he mourns in both.	true	219.18	224.11	11
1552_140651_000016_000002	He mourns and suffers when he sees the evil of his own work.	He mourns and suffers when he sees the evil of his own work.	true	224.33	227.85	8
1552_140651_000017_000000	16.	sixteen.	false	227.85	229.95	0
1552_140651_000017_000001	The virtuous man delights in this world, and he delights in the next; he delights in both.	The virtuous man delights in this world, and he delights in the next; he delights in both.	true	229.95	236.44	19.2698
1552_140651_000017_000002	He delights and rejoices, when he sees the purity of his own work.	He delights and rejoices, when he sees the purity of his own work.	true	236.9	241.14	11
1552_140651_000018_000000	17.	seventeen.	false	241.14	243.69	-20
1552_140651_000018_000001	The evil-doer suffers in this world, and he suffers in the next; he suffers in both.	The evil doer suffers in this world, and he suffers in the next; he suffers in both.	true	243.69	250.15	16
1552_140651_000018_000002	He suffers when he thinks of the evil he has done; he suffers more when going on the evil path.	He suffers when he thinks of the evil he has done; he suffers more when going on the evil path.	true	250.97	257.58	16.710215
1552_140651_000019_000000	18.	eighteen.	false	257.58	260.19	-20
1552_140651_000019_000001	The virtuous man is happy in this world, and he is happy in the next; he is happy in both.	The virtuous man is happy in this world, and he is happy in the next; he is happy in both.	true	260.19	266.29	13
1552_140651_000019_000002	He is happy when he thinks of the good he has done; he is still more happy when going on the good path.	He is happy when he thinks of the good he has done; he is still more happy when going on the good path.	true	267.17	273.57	16.018293
1552_140651_000020_000000	19.	nineteen.	false	273.57	276.69	-1
1552_140651_000020_000001	The thoughtless man, even if he can recite a large portion (of the law), but is not a doer of it, has no share in the priesthood, but is like a cowherd counting the cows of others.	The thoughtless man, even if he can recite a large portion (of the law), but is not a doer of it, has no share in the priesthood, but is like a cowherd counting the cows of others.	true	276.69	288.06	15
1552_140651_000021_000000	20.	twenty.	false	288.06	290.49	-1
1552_140651_000021_000001	The follower of the law, even if he can recite only a small portion (of the law), but, having forsaken passion and hatred and foolishness, possesses true knowledge and serenity of mind, he, caring for nothing in this world or that to come, has indeed a share in the priesthood.	The follower of the law, even if he can recite only a small portion (of the law), but, having forsaken passion and hatred and foolishness, possesses true knowledge and serenity of mind, he, caring for nothing in this world or that to come, has indeed a share in the priesthood.	true	290.49	312.46	18
1552_140651_000022_000000	Chapter II.	Chapter two.	true	317.03	319.21	15
1552_140651_000022_000001	On Earnestness	On Earnestness	true	319.4	320.61	13
1552_140651_000023_000000	21.	twenty one.	false	320.61	324.51	5
1552_140651_000023_000001	Earnestness is the path of immortality (Nirvana), thoughtlessness the path of death.	Earnestness is the path of immortality (Nirvana), thoughtlessness the path of death.	false	324.51	333.67	15.965404
1552_140651_000023_000002	Those who are in earnest do not die, those who are thoughtless are as if dead already.	Those who are in earnest do not die, those who are thoughtless are as if dead already.	true	334.76	340.65	16
1552_140651_000024_000000	22.	twenty two.	false	340.65	343.23	-20
1552_140651_000024_000001	Those who are advanced in earnestness, having understood this clearly, delight in earnestness, and rejoice in the knowledge of the Ariyas (the elect).	Those who are advanced in earnestness, having understood this clearly, delight in earnestness, and rejoice in the knowledge of the Ariyas (the elect).	true	343.23	353.64	14
1552_140651_000025_000000	23.	twenty three.	false	353.64	356.1	-7
1552_140651_000025_000001	These wise people, meditative, steady, always possessed of strong powers, attain to Nirvana, the highest happiness.	These wise people, meditative, steady, always possessed of strong powers, attain to Nirvana, the highest happiness.	true	356.1	365.37	16
1552_140651_000026_000000	24.	twenty four.	false	365.37	367.56	-2
1552_140651_000026_000001	If an earnest person has roused himself, if he is not forgetful, if his deeds are pure, if he acts with consideration, if he restrains himself, and lives according to law,--then his glory will increase.	If an earnest person has roused himself, if he is not forgetful, if his deeds are pure, if he acts with consideration, if he restrains himself, and lives according to law,--then his glory will increase.	true	367.56	380.7	14
1552_140651_000027_000000	25.	twenty five.	false	380.7	382.68	-7
1552_140651_000027_000001	By rousing himself, by earnestness, by restraint and control, the wise man may make for himself an island which no flood can overwhelm.	By rousing himself, by earnestness, by restraint and control, the wise man may make for himself an island which no flood can overwhelm.	true	382.68	391.23	12
1552_140651_000028_000000	26.	twenty six.	false	391.23	393.3	-20
1552_140651_000028_000001	Fools follow after vanity, men of evil wisdom.	Fools follow after vanity, men of evil wisdom.	true	393.3	396.73	17.594439
1552_140651_000028_000002	The wise man keeps earnestness as his best jewel.	The wise man keeps earnestness as his best jewel.	true	397.4	401.04	17
1552_140651_000029_000000	27.	twenty seven.	false	401.04	403.02	4
1552_140651_000029_000001	Follow not after vanity, nor after the enjoyment of love and lust! He who is earnest and meditative, obtains ample joy.	Follow not after vanity, nor after the enjoyment of love and lust! He who is earnest and meditative, obtains ample joy.	true	403.02	415.32	17.31377
1552_140651_000030_000000	28.	twenty eight.	false	415.32	416.58	-20
1552_140651_000030_000001	When the learned man drives away vanity by earnestness, he, the wise, climbing the terraced heights of wisdom, looks down upon the fools, serene he looks upon the toiling crowd, as one that stands on a mountain looks down upon them that stand upon the plain.	When the learned man drives away vanity by earnestness, he, the wise, climbing the terraced heights of wisdom, looks down upon the fools, serene he looks upon the toiling crowd, as one that stands on a mountain looks down upon them that stand upon the plain.	false	416.58	434.34	12
1552_140651_000031_000000	29.	twenty nine.	false	434.34	438.15	0
1552_140651_000031_000001	Earnest among the thoughtless, awake among the sleepers, the wise man advances like a racer, leaving behind the hack.	Earnest among the thoughtless, awake among the sleepers, the wise man advances like a racer, leaving behind the hack.	true	438.15	447.6	14
1552_140651_000032_000000	30.	thirty.	false	447.6	450.93	-1
1552_140651_000032_000001	By earnestness did Maghavan (Indra) rise to the lordship of the gods.	By earnestness did Maghavan (Indra) rise to the lordship of the gods.	true	450.93	455.74	16
1552_140651_000032_000002	People praise earnestness; thoughtlessness is always blamed.	People praise earnestness; thoughtlessness is always blamed.	true	456.26	461.64	18.194712
1552_140651_000033_000000	31.	thirty one.	false	461.64	463.41	-20
1552_140651_000033_000001	A Bhikshu (mendicant) who delights in earnestness, who looks with fear on thoughtlessness, moves about like fire, burning all his fetters, small or large.	A Bhikshu (mendicant) who delights in earnestness, who looks with fear on thoughtlessness, moves about like fire, burning all his fetters, small or large.	true	463.41	474.03	12
1552_140651_000034_000000	32.	thirty two.	false	474.03	475.56	-2
1552_140651_000034_000001	A Bhikshu (mendicant) who delights in reflection, who looks with fear on thoughtlessness, cannot fall away (from his perfect state)--he is close upon Nirvana.	A Bhikshu (mendicant) who delights in reflection, who looks with fear on thoughtlessness, cannot fall away (from his perfect state)--he is close upon Nirvana.	false	475.56	491.68	18.242405
1552_140651_000035_000000	Chapter III.	Chapter three.	true	492.14	493.27	17.47972
1552_140651_000035_000001	Thought	Thought	true	493.94	494.64	14
1552_140651_000036_000000	33.	thirty three.	false	494.64	497.58	-4
1552_140651_000036_000001	As a fletcher makes straight his arrow, a wise man makes straight his trembling and unsteady thought, which is difficult to guard, difficult to hold back.	As a fletcher makes straight his arrow, a wise man makes straight his trembling and unsteady thought, which is difficult to guard, difficult to hold back.	true	497.58	508.47	16
1552_140651_000037_000000	34.	thirty four.	false	508.47	511.11	-1
1552_140651_000037_000001	As a fish taken from his watery home and thrown on dry ground, our thought trembles all over in order to escape the dominion of Mara (the tempter).	As a fish taken from his watery home and thrown on dry ground, our thought trembles all over in order to escape the dominion of Mara (the tempter).	true	511.11	519.72	12
1552_140651_000038_000000	35.	thirty five.	false	519.72	522.24	-5
1552_140651_000038_000001	It is good to tame the mind, which is difficult to hold in and flighty, rushing wherever it listeth; a tamed mind brings happiness.	It is good to tame the mind, which is difficult to hold in and flighty, rushing wherever it listeth; a tamed mind brings happiness.	true	522.24	531.93	16
1552_140651_000039_000000	36.	thirty six.	false	531.93	534.33	3
1552_140651_000039_000001	Let the wise man guard his thoughts, for they are difficult to perceive, very artful, and they rush wherever they list: thoughts well guarded bring happiness.	Let the wise man guard his thoughts, for they are difficult to perceive, very artful, and they rush wherever they list: thoughts well guarded bring happiness.	true	534.33	544.95	19.70308
1552_140651_000040_000000	37.	thirty seven.	false	544.95	547.11	0
1552_140651_000040_000001	Those who bridle their mind which travels far, moves about alone, is without a body, and hides in the chamber (of the heart), will be free from the bonds of Mara (the tempter).	Those who bridle their mind which travels far, moves about alone, is without a body, and hides in the chamber (of the heart), will be free from the bonds of Mara (the tempter).	true	547.11	559.35	17
1552_140651_000041_000000	38.	thirty eight.	false	559.35	561.81	-1
1552_140651_000041_000001	If a man's thoughts are unsteady, if he does not know the true law, if his peace of mind is troubled, his knowledge will never be perfect.	If a man's thoughts are unsteady, if he does not know the true law, if his peace of mind is troubled, his knowledge will never be perfect.	true	561.81	569.97	12
1552_140651_000042_000000	39.	thirty nine.	false	569.97	572.82	-3
1552_140651_000042_000001	If a man's thoughts are not dissipated, if his mind is not perplexed, if he has ceased to think of good or evil, then there is no fear for him while he is watchful.	If a man's thoughts are not dissipated, if his mind is not perplexed, if he has ceased to think of good or evil, then there is no fear for him while he is watchful.	true	572.82	582.84	14
1552_140651_000043_000000	40.	forty.	false	582.84	585.45	-20
1552_140651_000043_000001	Knowing that this body is (fragile) like a jar, and making this thought firm like a fortress, one should attack Mara (the tempter) with the weapon of knowledge, one should watch him when conquered, and should never rest.	Knowing that this body is (fragile) like a jar, and making this thought firm like a fortress, one should attack Mara (the tempter) with the weapon of knowledge, one should watch him when conquered, and should never rest.	true	585.45	602.13	18.084705
1552_140651_000044_000000	41.	forty one.	false	602.13	602.43	-20
1552_140651_000044_000001	Before long, alas!	Before long, alas!	true	602.43	604.57	18.488354
1552_140651_000044_000002	this body will lie on the earth, despised, without understanding, like a useless log.	this body will lie on the earth, despised, without understanding, like a useless log.	true	604.85	612.63	17
1552_140651_000045_000000	42.	forty two.	false	612.63	616.2	-1
1552_140651_000045_000001	Whatever a hater may do to a hater, or an enemy to an enemy, a wrongly-directed mind will do us greater mischief.	Whatever a hater may do to a hater, or an enemy to an enemy, a wrongly directed mind will do us greater mischief.	true	616.2	624.87	16
1552_140651_000046_000000	43.	forty three.	false	624.87	626.37	-20
1552_140651_000046_000001	Not a mother, not a father will do so much, nor any other relative; a well-directed mind will do us greater service.	Not a mother, not a father will do so much, nor any other relative; a well directed mind will do us greater service.	true	626.37	637.78	18.71547
1552_140651_000047_000000	Chapter IV.	Chapter four.	true	643.76	644.92	17.334553
1552_140651_000047_000001	Flowers	Flowers	true	645.38	649.32	15.05938
1552_140651_000048_000000	44.	forty four.	false	649.32	649.89	-20
1552_140651_000048_000001	Who shall overcome this earth, and the world of Yama (the lord of the departed), and the world of the gods?	Who shall overcome this earth, and the world of Yama (the lord of the departed), and the world of the gods?	true	649.89	656.86	15
1552_140651_000048_000002	Who shall find out the plainly shown path of virtue, as a clever man finds out the (right) flower?	Who shall find out the plainly shown path of virtue, as a clever man finds out the (right) flower?	true	658.13	664.86	17.920567
1552_140651_000049_000000	45.	forty five.	false	664.86	667.92	-6
1552_140651_000049_000001	The disciple will overcome the earth, and the world of Yama, and the world of the gods.	The disciple will overcome the earth, and the world of Yama, and the world of the gods.	true	667.92	673.66	13
1552_140651_000049_000002	The disciple will find out the plainly shown path of virtue, as a clever man finds out the (right) flower.	The disciple will find out the plainly shown path of virtue, as a clever man finds out the (right) flower.	true	675.74	683.73	18.987171
1552_140651_000050_000000	46.	forty six.	false	683.73	686.4	-1
1552_140651_000050_000001	He who knows that this body is like froth, and has learnt that it is as unsubstantial as a mirage, will break the flower-pointed arrow of Mara, and never see the king of death.	He who knows that this body is like froth, and has learnt that it is as unsubstantial as a mirage, will break the flower pointed arrow of Mara, and never see the king of death.	false	686.4	699.51	15
1552_140651_000051_000000	47.	forty seven.	false	699.51	702.24	-20
1552_140651_000051_000001	Death carries off a man who is gathering flowers and whose mind is distracted, as a flood carries off a sleeping village.	Death carries off a man who is gathering flowers and whose mind is distracted, as a flood carries off a sleeping village.	true	702.24	709.8	11
1552_140651_000052_000000	48.	forty eight.	false	709.8	710.82	-14
1552_140651_000052_000001	Death subdues a man who is gathering flowers, and whose mind is distracted, before he is satiated in his pleasures.	Death subdues a man who is gathering flowers, and whose mind is distracted, before he is satiated in his pleasures.	true	710.82	717.9	10
1552_140651_000053_000000	49.	forty nine.	false	717.9	720.15	-1
1552_140651_000053_000001	As the bee collects nectar and departs without injuring the flower, or its colour or scent, so let a sage dwell in his village.	As the bee collects nectar and departs without injuring the flower, or its colour or scent, so let a sage dwell in his village.	true	720.15	729.33	20.615917
1552_140651_000054_000000	50.	fifty.	false	729.33	731.91	-20
1552_140651_000054_000001	Not the perversities of others, not their sins of commission or omission, but his own misdeeds and negligences should a sage take notice of.	Not the perversities of others, not their sins of commission or omission, but his own misdeeds and negligences should a sage take notice of.	true	731.91	741.45	15
1552_140651_000055_000000	51.	fifty one.	false	741.45	743.88	-20
1552_140651_000055_000001	Like a beautiful flower, full of colour, but without scent, are the fine but fruitless words of him who does not act accordingly.	Like a beautiful flower, full of colour, but without scent, are the fine but fruitless words of him who does not act accordingly.	true	743.88	751.41	14
1552_140651_000056_000000	52.	fifty two.	false	751.41	753.39	-20
1552_140651_000056_000001	But, like a beautiful flower, full of colour and full of scent, are the fine and fruitful words of him who acts accordingly.	But, like a beautiful flower, full of colour and full of scent, are the fine and fruitful words of him who acts accordingly.	true	753.39	765.99	19.220299
1552_140651_000057_000000	53.	fifty three.	false	765.99	766.95	-20
1552_140651_000057_000001	As many kinds of wreaths can be made from a heap of flowers, so many good things may be achieved by a mortal when once he is born.	As many kinds of wreaths can be made from a heap of flowers, so many good things may be achieved by a mortal when once he is born.	true	766.95	775.62	11
1552_140651_000058_000000	54.	fifty four.	false	775.62	778.53	-6
1552_140651_000058_000001	The scent of flowers does not travel against the wind, nor (that of) sandal-wood, or of Tagara and Mallika flowers; but the odour of good people travels even against the wind; a good man pervades every place.	The scent of flowers does not travel against the wind, nor (that of) sandal wood, or of Tagara and Mallika flowers; but the odour of good people travels even against the wind; a good man pervades every place.	true	778.53	794.13	19
1552_140651_000059_000000	55.	fifty five.	false	794.13	797.25	-1
1552_140651_000059_000001	Sandal-wood or Tagara, a lotus-flower, or a Vassiki, among these sorts of perfumes, the perfume of virtue is unsurpassed.	Sandal wood or Tagara, a lotus flower, or a Vassiki, among these sorts of perfumes, the perfume of virtue is unsurpassed.	true	797.25	807.03	14
1552_140651_000060_000000	56.	fifty six.	false	807.03	809.85	-20
1552_140651_000060_000001	Mean is the scent that comes from Tagara and sandal-wood;--the perfume of those who possess virtue rises up to the gods as the highest.	Mean is the scent that comes from Tagara and sandal wood;--the perfume of those who possess virtue rises up to the gods as the highest.	true	809.85	819.36	13
1552_140651_000061_000000	57.	fifty seven.	false	819.36	822.24	-20
1552_140651_000061_000001	Of the people who possess these virtues, who live without thoughtlessness, and who are emancipated through true knowledge, Mara, the tempter, never finds the way.	Of the people who possess these virtues, who live without thoughtlessness, and who are emancipated through true knowledge, Mara, the tempter, never finds the way.	true	822.24	831.54	13
1552_140651_000062_000000	58, 59.	fifty eight, fifty nine.	false	831.54	835.35	-8
1552_140651_000062_000001	As on a heap of rubbish cast upon the highway the lily will grow full of sweet perfume and delight, thus the disciple of the truly enlightened Buddha shines forth by his knowledge among those who are like rubbish, among the people that walk in darkness.	As on a heap of rubbish cast upon the highway the lily will grow full of sweet perfume and delight, thus the disciple of the truly enlightened Buddha shines forth by his knowledge among those who are like rubbish, among the people that walk in darkness.	false	835.35	869.88	18.225176
