6918_47541_000000_000000	"Non uxor salvum te vult, non filius, omnes Vicini oderunt,"------	"Non u x o r salvum te vult, non filius, omnes Vicini oderunt,"------	false	0	1.23	21.248796
6918_47541_000003_000003	So the same nature urgeth a man to love his parents, ([4588]_dii me pater omnes oderint, ni te magis quam oculos amem meos!_) and this love cannot be dissolved, as Tully holds, [4589]"without detestable offence:" but much more God's commandment, which enjoins a filial love, and an obedience in this kind.	So the same nature urgeth a man to love his parents, ([four thousand five hundred eighty eight]underscore d i i me pater omnes oderint, ni te magis quam oculos a m e m m e o s!underscore) and this love cannot be dissolved, as Tully holds, [four thousand five hundred eighty nine]"without detestable offence:" but much more God's commandment, which enjoins a filial love, and an obedience in this kind.	false	158.33	183.75	22.189587
6918_47541_000003_000004	[4590]"The love of brethren is great, and like an arch of stones, where if one be displaced, all comes down," no love so forcible and strong, honest, to the combination of which, nature, fortune, virtue, happily concur; yet this love comes short of it.	[four thousand five hundred ninety]"The love of brethren is great, and like an arch of stones, where if one be displaced, all comes down," no love so forcible and strong, honest, to the combination of which, nature, fortune, virtue, happily concur; yet this love comes short of it.	false	183.75	203.34	22.985785
6918_47541_000003_000005	[4591]_Dulce et decorum pro patria mori_, [4592]it cannot be expressed, what a deal of charity that one name of country contains.	[four thousand five hundred ninety one]underscore Dulce et decorum pro patria mori underscore, [four thousand five hundred ninety two]it cannot be expressed, what a deal of charity that one name of country contains.	false	203.34	214.2	21.153214
6918_47541_000003_000006	_Amor laudis et patriae pro stipendio est_; the Decii did _se devovere_, Horatii, Curii, Scaevola, Regulus, Codrus, sacrifice themselves for their country's peace and good.	underscore Amor laudis et patriae pro stipendio est underscore; the Decii did underscore se devovere underscore, Horatii, Curii, Scaevola, Regulus, Codrus, sacrifice themselves for their country's peace and good.	false	214.2	230.88	24.164057
6918_47541_000004_000000	[4593] "Una dies Fabios ad bellum miserat omnes, Ad bellum missos perdidit una dies."	[four thousand five hundred ninety three] "Una dies Fabios ad bellum miserat omnes, Ad bellum missos perdidit una dies."	false	230.88	241.14	22.536812
6918_47541_000005_000000	"One day the Fabii stoutly warred, One day the Fabii were destroyed."	"One day the Fabii stoutly warred, One day the Fabii were destroyed."	false	241.14	247.03	25.096758
6918_47541_000006_000000	Fifty thousand Englishmen lost their lives willingly near Battle Abbey, in defence of their country.	Fifty thousand Englishmen lost their lives willingly near Battle Abbey, in defence of their country.	true	248.15	254.55	20.46879
6918_47541_000006_000001	[4594]P.	[four thousand five hundred ninety four]P.	false	254.55	256.035	16.311354
6918_47541_000006_000002	Aemilius _l.	Aemilius underscore l.	false	256.035	258.63	23.740194
6918_47541_000006_000003	6._ speaks of six senators of Calais, that came with halters in their hands to the king of England, to die for the rest.	six.underscore speaks of six senators of Calais, that came with halters in their hands to the king of England, to die for the rest.	false	258.63	267.22	21.99598
6918_47541_000006_000004	This love makes so many writers take such pains, so many historiographers, physicians, &c., or at least, as they pretend, for common safety, and their country's benefit.	This love makes so many writers take such pains, so many historiographers, physicians, and c., or at least, as they pretend, for common safety, and their country's benefit.	false	268.34	281.49	21.649038
6918_47541_000006_000005	[4595]_Sanctum nomen amiciticae, sociorum communio sacra_; friendship is a holy name, and a sacred communion of friends.	[four thousand five hundred ninety five]underscore Sanctum nomen amiciticae, sociorum communio sacra underscore; friendship is a holy name, and a sacred communion of friends.	false	281.49	292.74	22.620886
6918_47541_000006_000006	[4596]"As the sun is in the firmament, so is friendship in the world," a most divine and heavenly band.	[four thousand five hundred ninety six]"As the sun is in the firmament, so is friendship in the world," a most divine and heavenly band.	false	292.74	299.5	20.244774
6918_47541_000006_000007	As nuptial love makes, this perfects mankind, and is to be preferred (if you will stand to the judgment of [4597]Cornelius Nepos) before affinity or consanguinity; _plus in amiciticia valet similitudo morum, quam affinitas_, &c., the cords of love bind faster than any other wreath whatsoever.	As nuptial love makes, this perfects mankind, and is to be preferred (if you will stand to the judgment of [four thousand five hundred ninety seven]Cornelius Nepos) before affinity or consanguinity; underscore plus in amiciticia valet similitudo morum, quam affinitas underscore, and c., the cords of love bind faster than any other wreath whatsoever.	false	300.65	324.97	20.911598
6918_47541_000006_000008	Take this away, and take all pleasure, joy, comfort, happiness, and true content out of the world; 'tis the greatest tie, the surest indenture, strongest band, and, as our modern Maro decides it, is much to be preferred before the rest.	Take this away, and take all pleasure, joy, comfort, happiness, and true content out of the world; 'tis the greatest tie, the surest indenture, strongest band, and, as our modern Maro decides it, is much to be preferred before the rest.	true	326.24	345.12	21.959526
6918_47541_000007_000000	[4598] "Hard is the doubt, and difficult to deem, When all three kinds of love together meet; And do dispart the heart with power extreme, Whether shall weigh the balance down; to wit, The dear affection unto kindred sweet, Or raging fire of love to women kind, Or zeal of friends, combin'd by virtues meet; But of them all the band of virtuous mind, Methinks the gentle heart should most assured bind.	[four thousand five hundred ninety eight] "Hard is the doubt, and difficult to deem, When all three kinds of love together meet; And do dispart the heart with power extreme, Whether shall weigh the balance down; to wit, The dear affection unto kindred sweet, Or raging fire of love to women kind, Or zeal of friends, combin'd by virtues meet; But of them all the band of virtuous mind, Methinks the gentle heart should most assured bind.	false	345.12	376.6	20.786076
6918_47541_000008_000000	For natural affection soon doth cease, And quenched is with Cupid's greater flame; But faithful friendship doth them both suppress, And them with mastering discipline doth tame, Through thoughts aspiring to eternal fame. For as the soul doth rule the earthly mass, And all the service of the body frame, So love of soul doth love of body pass, No less than perfect gold surmounts the meanest brass."	For natural affection soon doth cease, And quenched is with Cupid's greater flame; But faithful friendship doth them both suppress, And them with mastering discipline doth tame, Through thoughts aspiring to eternal fame. For as the soul doth rule the earthly mass, And all the service of the body frame, So love of soul doth love of body pass, No less than perfect gold surmounts the meanest brass."	false	376.76	407.49	20.786646
6918_47541_000009_000000	[4599]A faithful friend is better than [4600]gold, a medicine of misery, [4601]an only possession; yet this love of friends, nuptial, heroical, profitable, pleasant, honest, all three loves put together, are little worth, if they proceed not from a true Christian illuminated soul, if it be not done _in ordine ad Deum_ for God's sake.	[four thousand five hundred ninety nine]A faithful friend is better than [four thousand six hundred]gold, a medicine of misery, [four thousand six hundred one]an only possession; yet this love of friends, nuptial, heroical, profitable, pleasant, honest, all three loves put together, are little worth, if they proceed not from a true Christian illuminated soul, if it be not done underscore in ordine ad Deum underscore for God's sake.	false	407.49	438.19	22.142618
6918_47541_000009_000001	"Though I had the gift of prophecy, spake with tongues of men and angels, though I feed the poor with all my goods, give my body to be burned, and have not this love, it profiteth me nothing," 1 Cor.	"Though I had the gift of prophecy, spake with tongues of men and angels, though I feed the poor with all my goods, give my body to be burned, and have not this love, it profiteth me nothing," one Cor.	false	439.37	456.63	19.790138
6918_47541_000009_000002	xiii. 1, 3.	x i i i. one, three.	false	456.63	461.04	22.609869
6918_47541_000009_000003	'tis _splendidum peccatum_, without charity.	'tis underscore splendidum peccatum underscore, without charity.	false	461.04	466.54	33.081818
6918_47541_000009_000004	This is an all-apprehending love, a deifying love, a refined, pure, divine love, the quintessence of all love, the true philosopher's stone, _Non potest enim_, as [4602]Austin infers, _veraciter amicus esse hominis, nisi fuerit ipsius primitus veritatis_, He is no true friend that loves not God's truth.	This is an all apprehending love, a deifying love, a refined, pure, divine love, the quintessence of all love, the true philosopher's stone, underscore Non potest enim underscore, as [four thousand six hundred two]Austin infers, underscore veraciter amicus esse hominis, nisi fuerit ipsius primitus veritatis underscore, He is no true friend that loves not God's truth.	false	467.72	498.37	21.856165
6918_47541_000009_000005	And therefore this is true love indeed, the cause of all good to mortal men, that reconciles all creatures, and glues them together in perpetual amity and firm league; and can no more abide bitterness, hate, malice, than fair and foul weather, light and darkness, sterility and plenty may be together; as the sun in the firmament (I say), so is love in the world; and for this cause 'tis love without an addition, love [Greek: kat' exochaen], love of God, and love of men. [4603]"The love of God begets the love of man; and by this love of our neighbour, the love of God is nourished and increased." By this happy union of love, [4604]"all well-governed families and cities are combined, the heavens annexed, and divine souls complicated, the world itself composed, and all that is in it conjoined in God, and reduced to one." [4605]"This love causeth true and absolute virtues, the life, spirit, and root of every virtuous action, it finisheth prosperity, easeth adversity, corrects all natural encumbrances," inconveniences, sustained by faith and hope, which with this our love make an indissoluble twist, a Gordian knot, an equilateral triangle, "and yet the greatest of them is love," 1 Cor. xiii. 13, [4606]"which inflames our souls with a divine heat, and being so inflamed, purged, and so purgeth, elevates to God, makes an atonement, and reconciles us unto him." [4607] "That other love infects the soul of man, this cleanseth; that depresses, this rears; that causeth cares and troubles, this quietness of mind; this informs, that deforms our life; that leads to repentance, this to heaven." For if once we be truly linked and touched with this charity, we shall love God above all, our neighbour as ourself, as we are enjoined, Mark xii. 31.	And therefore this is true love indeed, the cause of all good to mortal men, that reconciles all creatures, and glues them together in perpetual amity and firm league; and can no more abide bitterness, hate, malice, than fair and foul weather, light and darkness, sterility and plenty may be together; as the sun in the firmament (I say), so is love in the world; and for this cause 'tis love without an addition, love [Greek: kat' exochaen], love of God, and love of men. [four thousand six hundred three]"The love of God begets the love of man; and by this love of our neighbour, the love of God is nourished and increased." By this happy union of love, [four thousand six hundred four]"all well governed families and cities are combined, the heavens annexed, and divine souls complicated, the world itself composed, and all that is in it conjoined in God, and reduced to one." [four thousand six hundred five]"This love causeth true and absolute virtues, the life, spirit, and root of every virtuous action, it finisheth prosperity, easeth adversity, corrects all natural encumbrances," inconveniences, sustained by faith and hope, which with this our love make an indissoluble twist, a Gordian knot, an equilateral triangle, "and yet the greatest of them is love," one Cor. x i i i. thirteen, [four thousand six hundred six]"which inflames our souls with a divine heat, and being so inflamed, purged, and so purgeth, elevates to God, makes an atonement, and reconciles us unto him." [four thousand six hundred seven] "That other love infects the soul of man, this cleanseth; that depresses, this rears; that causeth cares and troubles, this quietness of mind; this informs, that deforms our life; that leads to repentance, this to heaven." For if once we be truly linked and touched with this charity, we shall love God above all, our neighbour as ourself, as we are enjoined, Mark x i i. thirty one.	false	499.52	652.47	21.8667
6918_47541_000009_000006	Matt. xix.	Matt. x i x.	false	652.47	656.13	25.580704
6918_47541_000009_000007	19. perform those duties and exercises, even all the operations of a good Christian.	nineteen. perform those duties and exercises, even all the operations of a good Christian.	true	656.13	663.85	20.971708
6918_47541_000010_000000	"This love suffereth long, it is bountiful, envieth not, boasteth not itself, is not puffed up, it deceiveth not, it seeketh not his own things, is not provoked to anger, it thinketh not evil, it rejoiceth not in iniquity, but in truth.	"This love suffereth long, it is bountiful, envieth not, boasteth not itself, is not puffed up, it deceiveth not, it seeketh not his own things, is not provoked to anger, it thinketh not evil, it rejoiceth not in iniquity, but in truth.	false	665.03	684.85	25.295128
6918_47541_000010_000001	It suffereth all things, believeth all things, hopeth all things," 1 Cor. xiii.	It suffereth all things, believeth all things, hopeth all things," one Cor. x i i i.	false	685.04	695.19	21.74904
6918_47541_000010_000002	4, 5, 6, 7; "it covereth all trespasses," Prov, x.	four, five, six, seven; "it covereth all trespasses," Prov, x.	false	695.19	703.32	24.384457
6918_47541_000010_000003	12; "a multitude of sins," 1 Pet. 4, as our Saviour told the woman in the Gospel, that washed his feet, "many sins were forgiven her, for she loved much," Luke vii.	twelve; "a multitude of sins," one Pet. four, as our Saviour told the woman in the Gospel, that washed his feet, "many sins were forgiven her, for she loved much," luke vii.	false	703.32	719.25	22.581364
6918_47541_000010_000004	47; "it will defend the fatherless and the widow," Isa. i.	forty seven; "it will defend the fatherless and the widow," Isa. i.	false	719.25	725.97	20.576715
6918_47541_000010_000005	17; "will seek no revenge, or be mindful of wrong," Levit. xix.	seventeen; "will seek no revenge, or be mindful of wrong," Levit. x i x.	false	725.97	733.605	20.876461
6918_47541_000010_000006	18; "will bring home his brother's ox if he go astray, as it is commanded," Deut. xxii. 1; "will resist evil, give to him that asketh, and not turn from him that borroweth, bless them that curse him, love his enemy," Matt. v; "bear his brother's burthen," Gal. vi. 7.	eighteen; "will bring home his brother's ox if he go astray, as it is commanded," Deut. x x i i. one; "will resist evil, give to him that asketh, and not turn from him that borroweth, bless them that curse him, love his enemy," Matt. v; "bear his brother's burthen," Gal. vi. seven.	false	733.605	762.85	22.137457
6918_47541_000010_000007	He that so loves will be hospitable, and distribute to the necessities of the saints; he will, if it be possible, have peace with all men, "feed his enemy if he be hungry, if he be athirst give him drink;" he will perform those seven works of mercy, "he will make himself equal to them of the lower sort, rejoice with them that rejoice, weep with them that weep," Rom. xii; he will speak truth to his neighbour, be courteous and tender-hearted, "forgiving others for Christ's sake, as God forgave him," Eph. iv.	He that so loves will be hospitable, and distribute to the necessities of the saints; he will, if it be possible, have peace with all men, "feed his enemy if he be hungry, if he be athirst give him drink;" he will perform those seven works of mercy, "he will make himself equal to them of the lower sort, rejoice with them that rejoice, weep with them that weep," Rom. x i i; he will speak truth to his neighbour, be courteous and tender hearted, "forgiving others for Christ's sake, as God forgave him," e p h. i v.	false	764.03	805.2	22.632164
6918_47541_000010_000008	32; "he will be like minded," Phil. ii.	thirty two; "he will be like minded," Phil. ii.	false	805.2	811.2	23.418922
6918_47541_000010_000009	2.	two.	false	811.2	811.635	2
6918_47541_000010_000010	"Of one judgment; be humble, meek, long-suffering," Colos. iii.	"Of one judgment; be humble, meek, long suffering," Colos. iii.	false	811.635	819.42	20.773169
6918_47541_000010_000011	"Forbear, forget and forgive," xii.	"Forbear, forget and forgive," x i i.	false	819.42	824.82	26.097857
6918_47541_000010_000012	13. 23. and what he doth shall be heartily done to God, and not to men.	thirteen. twenty three. and what he doth shall be heartily done to God, and not to men.	false	824.82	832.78	21.955002
6918_47541_000010_000013	"Be pitiful and courteous," 1 Pet. iii.	"Be pitiful and courteous," one Pet. iii.	false	834.05	838.695	24.30885
6918_47541_000010_000014	"Seek peace and follow it." He will love his brother, not in word and tongue, but in deed and truth, John iii. 18.	"Seek peace and follow it." He will love his brother, not in word and tongue, but in deed and truth, john iii. eighteen.	false	838.695	849.97	23.307615
6918_47541_000010_000015	"and he that loves God, Christ will love him that is begotten of him," John v. 1, &c.	"and he that loves God, Christ will love him that is begotten of him," john v. one, and c.	false	850.19	860.04	21.199196
6918_47541_000010_000016	Thus should we willingly do, if we had a true touch of this charity, of this divine love, if we could perform this which we are enjoined, forget and forgive, and compose ourselves to those Christian laws of love.	Thus should we willingly do, if we had a true touch of this charity, of this divine love, if we could perform this which we are enjoined, forget and forgive, and compose ourselves to those Christian laws of love.	false	860.04	877.38	19.901756
6918_47541_000011_000000	[4608] "O felix hominum genus, Si vestros animos amor Quo coelum regitur regat!"	[four thousand six hundred eight] "O felix hominum genus, Si vestros animos amor Quo coelum regitur regat!"	false	877.38	888.3	23.683655
6918_47541_000012_000000	"Angelical souls, how blessed, how happy should we be, so loving, how might we triumph over the devil, and have another heaven upon earth!"	"Angelical souls, how blessed, how happy should we be, so loving, how might we triumph over the devil, and have another heaven upon earth!"	true	888.3	899.44	21.565607
6918_47541_000013_000000	But this we cannot do; and which is the cause of all our woes, miseries, discontent, melancholy, [4609]want of this charity.	But this we cannot do; and which is the cause of all our woes, miseries, discontent, melancholy, [four thousand six hundred nine]want of this charity.	false	900.17	912.87	22.532555
6918_47541_000013_000001	We do _invicem angariare_, contemn, consult, vex, torture, molest, and hold one another's noses to the grindstone hard, provoke, rail, scoff, calumniate, challenge, hate, abuse (hard-hearted, implacable, malicious, peevish, inexorable as we are), to satisfy our lust or private spleen, for [4610]toys, trifles, and impertinent occasions, spend ourselves, goods, friends, fortunes, to be revenged on our adversary, to ruin him and his.	We do underscore invicem angariare underscore, contemn, consult, vex, torture, molest, and hold one another's noses to the grindstone hard, provoke, rail, scoff, calumniate, challenge, hate, abuse (hard hearted, implacable, malicious, peevish, inexorable as we are), to satisfy our lust or private spleen, for [four thousand six hundred ten]toys, trifles, and impertinent occasions, spend ourselves, goods, friends, fortunes, to be revenged on our adversary, to ruin him and his.	false	912.87	960.07	21.904873
6918_47541_000013_000002	'Tis all our study, practice, and business how to plot mischief, mine, countermine, defend and offend, ward ourselves, injure others, hurt all; as if we were born to do mischief, and that with such eagerness and bitterness, with such rancour, malice, rage, and fury, we prosecute our intended designs, that neither affinity or consanguinity, love or fear of God or men can contain us: no satisfaction, no composition will be accepted, no offices will serve, no submission; though he shall upon his knees, as Sarpedon did to Glaucus in Homer, acknowledging his error, yield himself with tears in his eyes, beg his pardon, we will not relent, forgive, or forget, till we have confounded him and his, "made dice of his bones," as they say, see him rot in prison, banish his friends, followers, _et omne invisum genus_, rooted him out and all his posterity.	'tis all our study, practice, and business how to plot mischief, mine, countermine, defend and offend, ward ourselves, injure others, hurt all; as if we were born to do mischief, and that with such eagerness and bitterness, with such rancour, malice, rage, and fury, we prosecute our intended designs, that neither affinity or consanguinity, love or fear of God or men can contain us: no satisfaction, no composition will be accepted, no offices will serve, no submission; though he shall upon his knees, as Sarpedon did to Glaucus in Homer, acknowledging his error, yield himself with tears in his eyes, beg his pardon, we will not relent, forgive, or forget, till we have confounded him and his, "made dice of his bones," as they say, see him rot in prison, banish his friends, followers, underscore et omne invisum genus underscore, rooted him out and all his posterity.	false	961.31	1032.52	21.766369
6918_47541_000013_000003	Monsters of men as we are, dogs, wolves, [4611]tigers, fiends, incarnate devils, we do not only contend, oppress, and tyrannise ourselves, but as so many firebrands, we set on, and animate others: our whole life is a perpetual combat, a conflict, a set battle, a snarling fit. _Eris dea_ is settled in our tents, [4612]_Omnia de lite_, opposing wit to wit, wealth to wealth, strength to strength, fortunes to fortunes, friends to friends, as at a sea-fight, we turn our broadsides, or two millstones with continual attrition, we fire ourselves, or break another's backs, and both are ruined and consumed in the end.	Monsters of men as we are, dogs, wolves, [four thousand six hundred eleven]tigers, fiends, incarnate devils, we do not only contend, oppress, and tyrannise ourselves, but as so many firebrands, we set on, and animate others: our whole life is a perpetual combat, a conflict, a set battle, a snarling fit. underscore Eris dea underscore is settled in our tents, [four thousand six hundred twelve]underscore Omnia de lite underscore, opposing wit to wit, wealth to wealth, strength to strength, fortunes to fortunes, friends to friends, as at a sea fight, we turn our broadsides, or two millstones with continual attrition, we fire ourselves, or break another's backs, and both are ruined and consumed in the end.	false	1033.73	1088.68	22.198542
6918_47541_000013_000004	Miserable wretches, to fat and enrich ourselves, we care not how we get it, _Quocunque modo rem_; how many thousands we undo, whom we oppress, by whose ruin and downfall we arise, whom we injure, fatherless children, widows, common societies, to satisfy our own private lust.	Miserable wretches, to fat and enrich ourselves, we care not how we get it, underscore Quocunque modo rem underscore; how many thousands we undo, whom we oppress, by whose ruin and downfall we arise, whom we injure, fatherless children, widows, common societies, to satisfy our own private lust.	false	1089.83	1114.24	20.263142
6918_47541_000013_000005	Though we have myriads, abundance of wealth and treasure, (pitiless, merciless, remorseless, and uncharitable in the highest degree), and our poor brother in need, sickness, in great extremity, and now ready to be starved for want of food, we had rather, as the fox told the ape, his tail should sweep the ground still, than cover his buttocks; rather spend it idly, consume it with dogs, hawks, hounds, unnecessary buildings, in riotous apparel, ingurgitate, or let it be lost, than he should have part of it; [4613]rather take from him that little which he hath, than relieve him.	Though we have myriads, abundance of wealth and treasure, (pitiless, merciless, remorseless, and uncharitable in the highest degree), and our poor brother in need, sickness, in great extremity, and now ready to be starved for want of food, we had rather, as the fox told the ape, his tail should sweep the ground still, than cover his buttocks; rather spend it idly, consume it with dogs, hawks, hounds, unnecessary buildings, in riotous apparel, ingurgitate, or let it be lost, than he should have part of it; [four thousand six hundred thirteen]rather take from him that little which he hath, than relieve him.	false	1115.36	1162.39	21.398233
6918_47541_000014_000000	Like the dog in the manger, we neither use it ourselves, let others make use of or enjoy it; part with nothing while we live: for want of disposing our household, and setting things in order, set all the world together by the ears after our death.	Like the dog in the manger, we neither use it ourselves, let others make use of or enjoy it; part with nothing while we live: for want of disposing our household, and setting things in order, set all the world together by the ears after our death.	false	1163.54	1182.67	20.535358
6918_47541_000014_000001	Poor Lazarus lies howling at his gates for a few crumbs, he only seeks chippings, offals; let him roar and howl, famish, and eat his own flesh, he respects him not.	Poor Lazarus lies howling at his gates for a few crumbs, he only seeks chippings, offals; let him roar and howl, famish, and eat his own flesh, he respects him not.	true	1183.79	1199.2	20.683624
6918_47541_000014_000002	A poor decayed kinsman of his sets upon him by the way in all his jollity, and runs begging bareheaded by him, conjuring by those former bonds of friendship, alliance, consanguinity, &c., uncle, cousin, brother, father,	A poor decayed kinsman of his sets upon him by the way in all his jollity, and runs begging bareheaded by him, conjuring by those former bonds of friendship, alliance, consanguinity, and c., uncle, cousin, brother, father,	false	1200.41	1218.78	19.807302
6918_47541_000015_000000	------"Per ego has lachrymas, dextramque tuam te, Si quidquam de te merui, fuit aut tibi quidquam Dulce meum, misere mei."	------"Per ego has lachrymas, dextramque tuam te, Si quidquam de te merui, fuit a u t tibi quidquam Dulce meum, misere mei."	false	1218.78	1235.43	22.683956
6918_47541_000016_000000	"Show some pity for Christ's sake, pity a sick man, an old man," &c., he cares not, ride on: pretend sickness, inevitable loss of limbs, goods, plead suretyship, or shipwreck, fires, common calamities, show thy wants and imperfections,	"Show some pity for Christ's sake, pity a sick man, an old man," and c., he cares not, ride on: pretend sickness, inevitable loss of limbs, goods, plead suretyship, or shipwreck, fires, common calamities, show thy wants and imperfections,	false	1235.43	1258.89	21.910685
6918_47541_000017_000000	"Et si per sanctum juratus dicat Osyrim, Credite, non ludo, crudeles tollite claudum."	"Et si per sanctum juratus dicat Osyrim, Credite, non ludo, crudeles tollite claudum."	false	1258.89	1268.77	22.564152
6918_47541_000018_000000	Swear, protest, take God and all his angels to witness, _quaere peregrinum_, thou art a counterfeit crank, a cheater, he is not touched with it, _pauper ubique jacet_, ride on, he takes no notice of it.	Swear, protest, take God and all his angels to witness, underscore quaere peregrinum underscore, thou art a counterfeit crank, a cheater, he is not touched with it, underscore pauper ubique jacet underscore, ride on, he takes no notice of it.	false	1270.07	1290.04	24.323368
6918_47541_000018_000001	Put up a supplication to him in the name of a thousand orphans, a hospital, a spittle, a prison, as he goes by, they cry out to him for aid, ride on, _surdo narras_, he cares not, let them eat stones, devour themselves with vermin, rot in their own dung, he cares not.	Put up a supplication to him in the name of a thousand orphans, a hospital, a spittle, a prison, as he goes by, they cry out to him for aid, ride on, underscore surdo narras underscore, he cares not, let them eat stones, devour themselves with vermin, rot in their own dung, he cares not.	false	1291.22	1312.45	21.039639
