5712_48842_000000_000000	CHAPTER XLIV.	CHAPTER forty four.
5712_48842_000015_000000	Mrs. Dale was silent for a minute or two before she answered this, but then she did answer it.	mrs Dale was silent for a minute or two before she answered this, but then she did answer it.
5712_48842_000015_000001	"I think I do," said she.	"I think I do," said she.
5712_48842_000015_000002	"I think I do wish for it."	"I think I do wish for it."
5712_48842_000018_000000	"You must be very careful in wrapping yourself as you go downstairs," said Bell, who stood by the tray on which she had brought up the toast and tea.	"You must be very careful in wrapping yourself as you go downstairs," said Bell, who stood by the tray on which she had brought up the toast and tea.
5712_48842_000018_000001	"The cold is what you would call awful."	"The cold is what you would call awful."
5712_48842_000019_000000	"I should call it jolly," said Lily, "if I could get up and go out. Do you remember lecturing me about talking slang the day that he first came?"	"I should call it jolly," said Lily, "if I could get up and go out. Do you remember lecturing me about talking slang the day that he first came?"
5712_48842_000020_000000	"Did I, my pet?"	"Did I, my pet?"
5712_48842_000022_000000	Bell for a moment turned her face away, and beat with her foot against the ground.	Bell for a moment turned her face away, and beat with her foot against the ground.
5712_48842_000022_000001	Her anger was more difficult of restraint than was even her mother's,--and now, not restraining it, but wishing to hide it, she gave it vent in this way.	Her anger was more difficult of restraint than was even her mother's,--and now, not restraining it, but wishing to hide it, she gave it vent in this way.
5712_48842_000023_000000	"I understand, Bell.	"I understand, Bell.
5712_48842_000023_000001	I know what your foot means when it goes in that way; and you shan't do it.	I know what your foot means when it goes in that way; and you shan't do it.
5712_48842_000023_000002	Come here, Bell, and let me teach you Christianity.	Come here, Bell, and let me teach you Christianity.
5712_48842_000023_000003	I'm a fine sort of teacher, am I not?	I'm a fine sort of teacher, am I not?
5712_48842_000023_000004	And I did not quite mean that."	And I did not quite mean that."
5712_48842_000024_000000	"I wish I could learn it from some one," said Bell.	"I wish I could learn it from some one," said Bell.
5712_48842_000024_000001	"There are circumstances in which what we call Christianity seems to me to be hardly possible."	"There are circumstances in which what we call Christianity seems to me to be hardly possible."
5712_48842_000025_000000	"When your foot goes in that way it is a very unchristian foot, and you ought to keep it still.	"When your foot goes in that way it is a very unchristian foot, and you ought to keep it still.
5712_48842_000025_000001	It means anger against him, because he discovered before it was too late that he would not be happy,--that is, that he and I would not be happy together if we were married."	It means anger against him, because he discovered before it was too late that he would not be happy,--that is, that he and I would not be happy together if we were married."
5712_48842_000026_000000	"Don't scrutinize my foot too closely, Lily."	"Don't scrutinize my foot too closely, Lily."
5712_48842_000027_000000	"But your foot must bear scrutiny, and your eyes, and your voice.	"But your foot must bear scrutiny, and your eyes, and your voice.
5712_48842_000027_000001	He was very foolish to fall in love with me.	He was very foolish to fall in love with me.
5712_48842_000027_000002	And so was I very foolish to let him love me, at a moment's notice,--without a thought as it were.	And so was I very foolish to let him love me, at a moment's notice,--without a thought as it were.
5712_48842_000027_000003	I was so proud of having him, that I gave myself up to him all at once, without giving him a chance of thinking of it.	I was so proud of having him, that I gave myself up to him all at once, without giving him a chance of thinking of it.
5712_48842_000027_000004	In a week or two it was done.	In a week or two it was done.
5712_48842_000027_000005	Who could expect that such an engagement should be lasting?"	Who could expect that such an engagement should be lasting?"
5712_48842_000028_000000	"And why not?	"And why not?
5712_48842_000028_000002	But we will not talk about it."	But we will not talk about it."
5712_48842_000029_000001	It was as I have said, and if so, you shouldn't hate him because he did the only thing which he honestly could do when he found out his mistake."	It was as I have said, and if so, you shouldn't hate him because he did the only thing which he honestly could do when he found out his mistake."
5712_48842_000030_000000	"What; become engaged again within a week!"	"What; become engaged again within a week!"
5712_48842_000031_000000	"There had been a very old friendship, Bell; you must remember that. But I was speaking of his conduct to me, and not of his conduct to--" And then she remembered that that other lady might at this very moment possess the name which she had once been so proud to think that she would bear herself.	"There had been a very old friendship, Bell; you must remember that. But I was speaking of his conduct to me, and not of his conduct to-" And then she remembered that that other lady might at this very moment possess the name which she had once been so proud to think that she would bear herself.
5712_48842_000031_000001	"Bell," she said, stopping her other speech suddenly, "at what o'clock do people get married in London?"	"Bell," she said, stopping her other speech suddenly, "at what o'clock do people get married in London?"
5712_48842_000032_000000	"Oh, at all manner of hours,--any time before twelve.	"Oh, at all manner of hours,--any time before twelve.
5712_48842_000032_000001	They will be fashionable, and will be married late."	They will be fashionable, and will be married late."
5712_48842_000033_000000	"You don't think she's Mrs. Crosbie yet, then?"	"You don't think she's mrs Crosbie yet, then?"
5712_48842_000034_000000	"Lady Alexandrina Crosbie," said Bell, shuddering.	"Lady Alexandrina Crosbie," said Bell, shuddering.
5712_48842_000035_000000	"Yes, of course; I forgot.	"Yes, of course; I forgot.
5712_48842_000035_000001	I should so like to see her.	I should so like to see her.
5712_48842_000035_000002	I feel such an interest about her.	I feel such an interest about her.
5712_48842_000035_000003	I wonder what coloured hair she has.	I wonder what coloured hair she has.
5712_48842_000035_000004	I suppose she is a sort of Juno of a woman,--very tall and handsome.	I suppose she is a sort of Juno of a woman,--very tall and handsome.
5712_48842_000035_000005	I'm sure she has not got a pug-nose like me.	I'm sure she has not got a pug nose like me.
5712_48842_000035_000006	Do you know what I should really like, only of course it's not possible;--to be godmother to his first child."	Do you know what I should really like, only of course it's not possible;--to be godmother to his first child."
5712_48842_000037_000000	"I should.	"I should.
5712_48842_000037_000001	Don't you hear me say that I know it's not possible?	Don't you hear me say that I know it's not possible?
5712_48842_000037_000002	I'm not going up to London to ask her.	I'm not going up to London to ask her.
5712_48842_000037_000003	She'll have all manner of grandees for her godfathers and godmothers.	She'll have all manner of grandees for her godfathers and godmothers.
5712_48842_000037_000004	I wonder what those grand people are really like."	I wonder what those grand people are really like."
5712_48842_000038_000000	"I don't think there's any difference.	"I don't think there's any difference.
5712_48842_000038_000001	Look at Lady Julia."	Look at Lady Julia."
5712_48842_000039_000000	"Oh, she's not a grand person.	"Oh, she's not a grand person.
5712_48842_000039_000001	It isn't merely having a title.	It isn't merely having a title.
5712_48842_000039_000002	Don't you remember that he told us that Mr. Palliser is about the grandest grandee of them all.	Don't you remember that he told us that mr Palliser is about the grandest grandee of them all.
5712_48842_000039_000003	I suppose people do learn to like them.	I suppose people do learn to like them.
5712_48842_000039_000004	He always used to say that he had been so long among people of that sort, that it would be very difficult for him to divide himself off from them.	He always used to say that he had been so long among people of that sort, that it would be very difficult for him to divide himself off from them.
5712_48842_000039_000005	I should never have done for that kind of thing; should I?"	I should never have done for that kind of thing; should I?"
5712_48842_000041_000000	"Do you?	"Do you?
5712_48842_000041_000001	I don't.	I don't.
5712_48842_000041_000002	After all, think how much work they do.	After all, think how much work they do.
5712_48842_000041_000003	He used to tell me of that.	He used to tell me of that.
5712_48842_000041_000004	They have all the governing in their hands, and get very little money for doing it."	They have all the governing in their hands, and get very little money for doing it."
5712_48842_000042_000000	"Worse luck for the country."	"Worse luck for the country."
5712_48842_000043_000000	"The country seems to do pretty well.	"The country seems to do pretty well.
5712_48842_000043_000001	But you're a radical, Bell.	But you're a radical, Bell.
5712_48842_000043_000002	My belief is, you wouldn't be a lady if you could help it."	My belief is, you wouldn't be a lady if you could help it."
5712_48842_000044_000000	"I'd sooner be an honest woman."	"I'd sooner be an honest woman."
5712_48842_000045_000000	"And so you are,--my own dear, dearest, honest Bell,--and the fairest lady that I know.	"And so you are,--my own dear, dearest, honest Bell,--and the fairest lady that I know.
5712_48842_000045_000001	If I were a man, Bell, you are just the girl that I should worship."	If I were a man, Bell, you are just the girl that I should worship."
5712_48842_000047_000000	"But you mustn't let your foot go astray in that way; you mustn't, indeed.	"But you mustn't let your foot go astray in that way; you mustn't, indeed.
5712_48842_000047_000001	Somebody said, that whatever is, is right, and I declare I believe it."	Somebody said, that whatever is, is right, and I declare I believe it."
5712_48842_000048_000000	"I'm sometimes inclined to think, that whatever is, is wrong."	"I'm sometimes inclined to think, that whatever is, is wrong."
5712_48842_000049_000001	I think I'll get up now, Bell; only it's so frightfully cold that I'm afraid."	I think I'll get up now, Bell; only it's so frightfully cold that I'm afraid."
5712_48842_000050_000000	"There's a beautiful fire," said Bell.	"There's a beautiful fire," said Bell.
5712_48842_000051_000000	"Yes; I see.	"Yes; I see.
5712_48842_000051_000002	It's only half-past ten yet."	It's only half past ten yet."
5712_48842_000052_000000	"I shouldn't be at all surprised if it's over."	"I shouldn't be at all surprised if it's over."
5712_48842_000053_000000	"Over!	"Over!
5712_48842_000053_000001	What a word that is!	What a word that is!
5712_48842_000053_000002	A thing like that is over, and then all the world cannot put it back again.	A thing like that is over, and then all the world cannot put it back again.
5712_48842_000054_000000	"He must take his chance," said Bell, thinking within her own mind that that chance would be a very bad one.	"He must take his chance," said Bell, thinking within her own mind that that chance would be a very bad one.
5712_48842_000055_000000	"Of course he must take his chance.	"Of course he must take his chance.
5712_48842_000055_000001	Well,--I'll get up now." And then she took her first step out into the cold world beyond her bed.	Well,--I'll get up now." And then she took her first step out into the cold world beyond her bed.
5712_48842_000055_000002	"We must all take our chance.	"We must all take our chance.
5712_48842_000056_000000	When half-past eleven came, she was seated in a large easy chair over the drawing-room fire, with a little table by her side, on which a novel was lying.	When half past eleven came, she was seated in a large easy chair over the drawing room fire, with a little table by her side, on which a novel was lying.
5712_48842_000056_000001	She had not opened her book that morning, and had been sitting for some time perfectly silent, with her eyes closed, and her watch in her hand.	She had not opened her book that morning, and had been sitting for some time perfectly silent, with her eyes closed, and her watch in her hand.
5712_48842_000057_000000	"Mamma," she said at last, "it is over now, I'm sure."	"Mamma," she said at last, "it is over now, I'm sure."
5712_48842_000059_000000	"What is over, my dear?"	"What is over, my dear?"
5712_48842_000060_000001	I hope God will bless them, and I pray that they may be happy." As she spoke these words, there was an unwonted solemnity in her tone which startled Mrs. Dale and Bell.	I hope God will bless them, and I pray that they may be happy." As she spoke these words, there was an unwonted solemnity in her tone which startled mrs Dale and Bell.
5712_48842_000061_000000	"I also will hope so," said Mrs. Dale.	"I also will hope so," said mrs Dale.
5712_48842_000061_000001	"And now, Lily, will it not be well that you should turn your mind away from the subject, and endeavour to think of other things?"	"And now, Lily, will it not be well that you should turn your mind away from the subject, and endeavour to think of other things?"
5712_48842_000062_000000	"But I can't, mamma.	"But I can't, mamma.
5712_48842_000062_000001	It is so easy to say that; but people can't choose their own thoughts."	It is so easy to say that; but people can't choose their own thoughts."
5712_48842_000063_000000	"They can usually direct them as they will, if they make the effort."	"They can usually direct them as they will, if they make the effort."
5712_48842_000064_000000	"But I can't make the effort.	"But I can't make the effort.
5712_48842_000064_000002	It seems natural to me to think about him, and I don't suppose it can be very wrong.	It seems natural to me to think about him, and I don't suppose it can be very wrong.
5712_48842_000064_000003	When you have had so deep an interest in a person, you can't drop him all of a sudden." Then there was again silence, and after a while Lily took up her novel.	When you have had so deep an interest in a person, you can't drop him all of a sudden." Then there was again silence, and after a while Lily took up her novel.
5712_48842_000064_000004	She made that effort of which her mother had spoken, but she made it altogether in vain.	She made that effort of which her mother had spoken, but she made it altogether in vain.
5712_48842_000064_000005	"I declare, Bell," she said, "it's the greatest rubbish I ever attempted to read."	"I declare, Bell," she said, "it's the greatest rubbish I ever attempted to read."
5712_48842_000064_000006	This was specially ungrateful, because Bell had recommended the book.	This was specially ungrateful, because Bell had recommended the book.
5712_48842_000064_000007	"All the books have got to be so stupid!	"All the books have got to be so stupid!
5712_48842_000064_000008	I think I'll read Pilgrim's Progress again."	I think I'll read Pilgrim's Progress again."
5712_48842_000066_000001	"But I believe I'll have Pilgrim's Progress.	"But I believe I'll have Pilgrim's Progress.
5712_48842_000066_000002	I never can understand it, but I rather think that makes it nicer."	I never can understand it, but I rather think that makes it nicer."
5712_48842_000067_000000	"I hate books I can't understand," said Bell.	"I hate books I can't understand," said Bell.
5712_48842_000067_000001	"I like a book to be clear as running water, so that the whole meaning may be seen at once."	"I like a book to be clear as running water, so that the whole meaning may be seen at once."
5712_48842_000070_000000	"But then so many readers are fools," said Lily.	"But then so many readers are fools," said Lily.
5712_48842_000070_000001	"And yet they get something out of their reading.	"And yet they get something out of their reading.
5712_48842_000070_000002	Mrs. Crump is always poring over the Revelations, and nearly knows them by heart.	mrs Crump is always poring over the Revelations, and nearly knows them by heart.
5712_48842_000070_000003	I don't think she could interpret a single image, but she has a hazy, misty idea of the truth.	I don't think she could interpret a single image, but she has a hazy, misty idea of the truth.
5712_48842_000070_000004	That's why she likes it,--because it's too beautiful to be understood; and that's why I like Pilgrim's Progress." After which Bell offered to get the book in question.	That's why she likes it,--because it's too beautiful to be understood; and that's why I like Pilgrim's Progress." After which Bell offered to get the book in question.
5712_48842_000071_000000	"No, not now," said Lily.	"No, not now," said Lily.
5712_48842_000071_000001	"I'll go on with this, as you say it's so grand.	"I'll go on with this, as you say it's so grand.
5712_48842_000071_000002	The personages are always in their tantrums, and go on as though they were mad.	The personages are always in their tantrums, and go on as though they were mad.
5712_48842_000071_000003	Mamma, do you know where they're going for the honeymoon?"	Mamma, do you know where they're going for the honeymoon?"
5712_48842_000072_000000	"No, my dear."	"No, my dear."
5712_48842_000073_000000	"He used to talk to me about going to the lakes." And then there was another pause, during which Bell observed that her mother's face became clouded with anxiety.	"He used to talk to me about going to the lakes." And then there was another pause, during which Bell observed that her mother's face became clouded with anxiety.
5712_48842_000073_000001	"But I won't think of it any more," continued Lily; "I will fix my mind to something." And then she got up from her chair.	"But I won't think of it any more," continued Lily; "I will fix my mind to something." And then she got up from her chair.
5712_48842_000073_000002	"I don't think it would have been so difficult if I had not been ill."	"I don't think it would have been so difficult if I had not been ill."
5712_48842_000074_000000	"Of course it would not, my darling."	"Of course it would not, my darling."
5712_48842_000075_000000	"And I'm going to be well again now, immediately.	"And I'm going to be well again now, immediately.
5712_48842_000075_000001	Let me see: I was told to read Carlyle's History of the French Revolution, and I think I'll begin now."	Let me see: I was told to read Carlyle's History of the French Revolution, and I think I'll begin now."
5712_48842_000075_000002	It was Crosbie who had told her to read the book, as both Bell and Mrs. Dale were well aware.	It was Crosbie who had told her to read the book, as both Bell and mrs Dale were well aware.
5712_48842_000075_000003	"But I must put it off till I can get it down from the other house."	"But I must put it off till I can get it down from the other house."
5712_48842_000076_000000	"Jane shall fetch it, if you really want it," said Mrs. Dale.	"Jane shall fetch it, if you really want it," said mrs Dale.
5712_48842_000077_000000	"Bell shall get it, when she goes up in the afternoon; will you, Bell?	"Bell shall get it, when she goes up in the afternoon; will you, Bell?
5712_48842_000077_000001	And I'll try to get on with this stuff in the meantime." Then again she sat with her eyes fixed upon the pages of the book.	And I'll try to get on with this stuff in the meantime." Then again she sat with her eyes fixed upon the pages of the book.
5712_48842_000077_000002	"I'll tell you what, mamma,--you may have some comfort in this: that when to-day's gone by, I shan't make a fuss about any other day."	"I'll tell you what, mamma,--you may have some comfort in this: that when to day's gone by, I shan't make a fuss about any other day."
5712_48842_000079_000000	"Yes, but I am.	"Yes, but I am.
5712_48842_000079_000001	Isn't it odd, Bell, that it should take place on Valentine's day?	Isn't it odd, Bell, that it should take place on Valentine's day?
5712_48842_000079_000002	I wonder whether it was so settled on purpose, because of the day.	I wonder whether it was so settled on purpose, because of the day.
5712_48842_000079_000004	Well; he's got another--valen--tine--now." So much she said with articulate voice, and then she broke down, bursting out into convulsive sobs, and crying in her mother's arms as though she would break her heart.	Well; he's got another-valen-tine-now." So much she said with articulate voice, and then she broke down, bursting out into convulsive sobs, and crying in her mother's arms as though she would break her heart.
5712_48842_000079_000005	And yet her heart was not broken, and she was still strong in that resolve which she had made, that her grief should not overpower her.	And yet her heart was not broken, and she was still strong in that resolve which she had made, that her grief should not overpower her.
5712_48842_000080_000000	"Lily, my darling; my poor, ill-used darling."	"Lily, my darling; my poor, ill used darling."
5712_48842_000081_000000	"No, mamma, I won't be that." And she struggled grievously to get the better of the hysterical attack which had overpowered her.	"No, mamma, I won't be that." And she struggled grievously to get the better of the hysterical attack which had overpowered her.
5712_48842_000081_000001	"I won't be regarded as ill-used; not as specially ill-used.	"I won't be regarded as ill used; not as specially ill used.
5712_48842_000081_000002	But I am your darling, your own darling.	But I am your darling, your own darling.
5712_48842_000081_000003	Only I wish you'd beat me and thump me when I'm such a fool, instead of pitying me.	Only I wish you'd beat me and thump me when I'm such a fool, instead of pitying me.
5712_48842_000081_000004	It's a great mistake being soft to people when they make fools of themselves.	It's a great mistake being soft to people when they make fools of themselves.
5712_48842_000081_000005	There, Bell; there's your stupid book, and I won't have any more of it.	There, Bell; there's your stupid book, and I won't have any more of it.
5712_48842_000081_000006	I believe it was that that did it." And she pushed the book away from her.	I believe it was that that did it." And she pushed the book away from her.
5712_48842_000082_000000	After this little scene she said no further word about Crosbie and his bride on that day, but turned the conversation towards the prospect of their new house at Guestwick.	After this little scene she said no further word about Crosbie and his bride on that day, but turned the conversation towards the prospect of their new house at Guestwick.
5712_48842_000083_000000	"It will be a great comfort to be nearer Dr. Crofts; won't it, Bell?"	"It will be a great comfort to be nearer dr Crofts; won't it, Bell?"
5712_48842_000084_000000	"I don't know," said Bell.	"I don't know," said Bell.
5712_48842_000085_000000	"Because if we are ill, he won't have such a terrible distance to come."	"Because if we are ill, he won't have such a terrible distance to come."
5712_48842_000087_000000	In the evening the first volume of the French Revolution had been procured, and Lily stuck to her reading with laudable perseverance; till at eight her mother insisted on her going to bed, queen as she was.	In the evening the first volume of the French Revolution had been procured, and Lily stuck to her reading with laudable perseverance; till at eight her mother insisted on her going to bed, queen as she was.
5712_48842_000088_000000	"I don't believe a bit, you know, that the king was such a bad man as that," she said.	"I don't believe a bit, you know, that the king was such a bad man as that," she said.
5712_48842_000089_000000	"I do," said Bell.	"I do," said Bell.
5712_48842_000090_000000	"Ah, that's because you're a radical.	"Ah, that's because you're a radical.
5712_48842_000090_000001	I never will believe that kings are so much worse than other people.	I never will believe that kings are so much worse than other people.
5712_48842_000090_000002	As for Charles the First, he was about the best man in history."	As for Charles the First, he was about the best man in history."
