5909_111961_000004_000000	CHAPTER XIV	CHAPTER fourteen
5909_111961_000070_000002	Then, if you'll look at his hoof-mark, you'll see the frog is shaped like a heart.	Then, if you'll look at his hoof mark, you'll see the frog is shaped like a heart.
5909_111961_000070_000003	More angel.	More angel.
5909_111961_000070_000004	Then again--that's three times, ain't it?--he's got a temper like angels ain't supposed to have."	Then again-that's three times, ain't it?--he's got a temper like angels ain't supposed to have."
5909_111961_000072_000001	We'll get the old gentleman this time or break every cinch strap in the outfit."	We'll get the old gentleman this time or break every cinch strap in the outfit."
5909_111961_000074_000002	He's proud as a peacock with a new spread of tail feathers."	He's proud as a peacock with a new spread of tail feathers."
5909_111961_000077_000001	So--but Tom Parry told you, of course."	So-but Tom Parry told you, of course."
5909_111961_000078_000000	"Tom Parry didn't," objected the guide.	"Tom Parry didn't," objected the guide.
5909_111961_000078_000001	"Master Tad read the trail himself."	"Master Tad read the trail himself."
5909_111961_000079_000000	"Shake," glowed Bud, extending his hand to Tad.	"Shake," glowed Bud, extending his hand to Tad.
5909_111961_000079_000001	"You're the right sort for this outfit.	"You're the right sort for this outfit.
5909_111961_000079_000002	We'll let you help point the bunch into the corral when we get them going.	We'll let you help point the bunch into the corral when we get them going.
5909_111961_000080_000000	"It won't be the first time, Mr. Stevens.	"It won't be the first time, mr Stevens.
5909_111961_000081_000000	Just after breakfast, to which the camp had sat down at break of day, the horse-hunters began their preliminary work.	Just after breakfast, to which the camp had sat down at break of day, the horse hunters began their preliminary work.
5909_111961_000081_000001	Bud directed two of his men to work south, two more to ride north, while he would take the center of the range.	Bud directed two of his men to work south, two more to ride north, while he would take the center of the range.
5909_111961_000082_000000	"What I want," he explained to the boys, "is to find where the wild horses are waterin' these days.	"What I want," he explained to the boys, "is to find where the wild horses are waterin' these days.
5909_111961_000084_000000	"No; they were out for a play.	"No; they were out for a play.
5909_111961_000084_000001	That shows they had had plenty to eat and drink.	That shows they had had plenty to eat and drink.
5909_111961_000085_000000	Professor Zepplin glanced at the guide inquiringly.	Professor Zepplin glanced at the guide inquiringly.
5909_111961_000087_000000	"Yes, you may go, Tad.	"Yes, you may go, Tad.
5909_111961_000087_000001	But be careful.	But be careful.
5909_111961_000087_000002	Don't let him get into any difficulties, Mr. Stevens.	Don't let him get into any difficulties, mr Stevens.
5909_111961_000088_000001	"Come along; take a hunch on your cinch straps, a chunk of grub in your pocket; then we're ready to find where the Angel washes his face every morning and night."	"Come along; take a hunch on your cinch straps, a chunk of grub in your pocket; then we're ready to find where the Angel washes his face every morning and night."
5909_111961_000089_000000	Tad lost no time in getting ready for the trip to trail the wild horses to their lair, and in a few moments the horse-hunters rode from the camp, followed by the envious glances of the Pony Rider Boys.	Tad lost no time in getting ready for the trip to trail the wild horses to their lair, and in a few moments the horse hunters rode from the camp, followed by the envious glances of the Pony Rider Boys.
