7982_245691_000002_000000	QUESTION 79	QUESTION seventy nine
7982_245691_000036_000004	Thirdly, in a wide sense a thing is said to be passive, from the very fact that what is in potentiality to something receives that to which it was in potentiality, without being deprived of anything.	Thirdly, in a wide sense a thing is said to be passive, from the very fact that what is in potentiality to something receives that to which it was in potentiality, without being deprived of anything.
7982_245691_000036_000005	And accordingly, whatever passes from potentiality to act, may be said to be passive, even when it is perfected.	And accordingly, whatever passes from potentiality to act, may be said to be passive, even when it is perfected.
7982_245691_000036_000006	And thus with us to understand is to be passive.	And thus with us to understand is to be passive.
7982_245691_000036_000007	This is clear from the following reason.	This is clear from the following reason.
7982_245691_000036_000009	We may therefore see whether the intellect be in act or potentiality by observing first of all the nature of the relation of the intellect to universal being.	We may therefore see whether the intellect be in act or potentiality by observing first of all the nature of the relation of the intellect to universal being.
7982_245691_000036_000010	For we find an intellect whose relation to universal being is that of the act of all being: and such is the Divine intellect, which is the Essence of God, in which originally and virtually, all being pre-exists as in its first cause.	For we find an intellect whose relation to universal being is that of the act of all being: and such is the Divine intellect, which is the Essence of God, in which originally and virtually, all being pre exists as in its first cause.
7982_245691_000036_000011	And therefore the Divine intellect is not in potentiality, but is pure act.	And therefore the Divine intellect is not in potentiality, but is pure act.
7982_245691_000036_000012	But no created intellect can be an act in relation to the whole universal being; otherwise it would needs be an infinite being.	But no created intellect can be an act in relation to the whole universal being; otherwise it would needs be an infinite being.
7982_245691_000036_000013	Wherefore every created intellect is not the act of all things intelligible, by reason of its very existence; but is compared to these intelligible things as a potentiality to act.	Wherefore every created intellect is not the act of all things intelligible, by reason of its very existence; but is compared to these intelligible things as a potentiality to act.
7982_245691_000037_000000	Now, potentiality has a double relation to act.	Now, potentiality has a double relation to act.
7982_245691_000037_000003	And there is another potentiality which is not always in act, but proceeds from potentiality to act; as we observe in things that are corrupted and generated.	And there is another potentiality which is not always in act, but proceeds from potentiality to act; as we observe in things that are corrupted and generated.
7982_245691_000037_000004	Wherefore the angelic intellect is always in act as regards those things which it can understand, by reason of its proximity to the first intellect, which is pure act, as we have said above.	Wherefore the angelic intellect is always in act as regards those things which it can understand, by reason of its proximity to the first intellect, which is pure act, as we have said above.
7982_245691_000037_000006	This is made clear from the fact, that at first we are only in potentiality to understand, and afterwards we are made to understand actually.	This is made clear from the fact, that at first we are only in potentiality to understand, and afterwards we are made to understand actually.
7982_245691_000037_000008	And consequently the intellect is a passive power.	And consequently the intellect is a passive power.
7982_245691_000038_000001	But in the third sense passion is in anything which is reduced from potentiality to act.	But in the third sense passion is in anything which is reduced from potentiality to act.
7982_245691_000039_000004	Hence it is incorruptible.	Hence it is incorruptible.
7982_245691_000040_000001	Now the intellect is a passive power in regard to the whole universal being: while the vegetative power is active in regard to some particular thing, namely, the body as united to the soul.	Now the intellect is a passive power in regard to the whole universal being: while the vegetative power is active in regard to some particular thing, namely, the body as united to the soul.
7982_245691_000042_000000	Whether There Is an Active Intellect?	Whether There Is an Active Intellect?
7982_245691_000043_000000	Objection 1: It would seem that there is no active intellect.	Objection one: It would seem that there is no active intellect.
7982_245691_000043_000001	For as the senses are to things sensible, so is our intellect to things intelligible.	For as the senses are to things sensible, so is our intellect to things intelligible.
7982_245691_000043_000002	But because sense is in potentiality to things sensible, the sense is not said to be active, but only passive.	But because sense is in potentiality to things sensible, the sense is not said to be active, but only passive.
7982_245691_000043_000003	Therefore, since our intellect is in potentiality to things intelligible, it seems that we cannot say that the intellect is active, but only that it is passive.	Therefore, since our intellect is in potentiality to things intelligible, it seems that we cannot say that the intellect is active, but only that it is passive.
7982_245691_000044_000001	But in the operation of the intellect there is no appointed medium that has to be brought into act.	But in the operation of the intellect there is no appointed medium that has to be brought into act.
7982_245691_000044_000002	Therefore there is no necessity for an active intellect.	Therefore there is no necessity for an active intellect.
7982_245691_000045_000001	But the passive intellect is an immaterial power.	But the passive intellect is an immaterial power.
7982_245691_000045_000003	Now a form is intelligible in act from the very fact that it is immaterial. Therefore there is no need for an active intellect to make the species actually intelligible.	Now a form is intelligible in act from the very fact that it is immaterial. Therefore there is no need for an active intellect to make the species actually intelligible.
7982_245691_000047_000001	For Plato supposed that the forms of natural things subsisted apart from matter, and consequently that they are intelligible: since a thing is actually intelligible from the very fact that it is immaterial.	For Plato supposed that the forms of natural things subsisted apart from matter, and consequently that they are intelligible: since a thing is actually intelligible from the very fact that it is immaterial.
7982_245691_000047_000003	But since Aristotle did not allow that forms of natural things exist apart from matter, and as forms existing in matter are not actually intelligible; it follows that the natures or forms of the sensible things which we understand are not actually intelligible.	But since Aristotle did not allow that forms of natural things exist apart from matter, and as forms existing in matter are not actually intelligible; it follows that the natures or forms of the sensible things which we understand are not actually intelligible.
7982_245691_000047_000004	Now nothing is reduced from potentiality to act except by something in act; as the senses as made actual by what is actually sensible.	Now nothing is reduced from potentiality to act except by something in act; as the senses as made actual by what is actually sensible.
7982_245691_000047_000005	We must therefore assign on the part of the intellect some power to make things actually intelligible, by abstraction of the species from material conditions.	We must therefore assign on the part of the intellect some power to make things actually intelligible, by abstraction of the species from material conditions.
7982_245691_000048_000001	Wherefore it is clear that in the nutritive part all the powers are active, whereas in the sensitive part all are passive: but in the intellectual part, there is something active and something passive.	Wherefore it is clear that in the nutritive part all the powers are active, whereas in the sensitive part all are passive: but in the intellectual part, there is something active and something passive.
7982_245691_000049_000001	For some say that light is required for sight, in order to make colors actually visible.	For some say that light is required for sight, in order to make colors actually visible.
7982_245691_000049_000002	And according to this the active intellect is required for understanding, in like manner and for the same reason as light is required for seeing.	And according to this the active intellect is required for understanding, in like manner and for the same reason as light is required for seeing.
7982_245691_000050_000001	But if the agent does not pre-exist, the disposition of the recipient has nothing to do with the matter.	But if the agent does not pre exist, the disposition of the recipient has nothing to do with the matter.
7982_245691_000050_000002	Now the intelligible in act is not something existing in nature; if we consider the nature of things sensible, which do not subsist apart from matter.	Now the intelligible in act is not something existing in nature; if we consider the nature of things sensible, which do not subsist apart from matter.
7982_245691_000052_000000	Whether the Active Intellect Is Something in the Soul?	Whether the Active Intellect Is Something in the Soul?
7982_245691_000053_000000	Objection 1: It would seem that the active intellect is not something in the soul.	Objection one: It would seem that the active intellect is not something in the soul.
7982_245691_000053_000001	For the effect of the active intellect is to give light for the purpose of understanding.	For the effect of the active intellect is to give light for the purpose of understanding.
7982_245691_000055_000001	If, therefore, the passive intellect, which is a passive power, is something belonging to the soul; and also the active intellect, which is an active power: it follows that a man would always be able to understand when he wished, which is clearly false.	If, therefore, the passive intellect, which is a passive power, is something belonging to the soul; and also the active intellect, which is an active power: it follows that a man would always be able to understand when he wished, which is clearly false.
7982_245691_000055_000002	Therefore the active intellect is not something in our soul.	Therefore the active intellect is not something in our soul.
7982_245691_000056_000001	If, therefore, the passive intellect, which is in potentiality to all things intelligible, is something in the soul, it seems impossible for the active intellect to be also something in our soul.	If, therefore, the passive intellect, which is in potentiality to all things intelligible, is something in the soul, it seems impossible for the active intellect to be also something in our soul.
7982_245691_000057_000001	For it is neither a passion nor a habit; since habits and passions are not in the nature of agents in regard to the passivity of the soul; but rather passion is the very action of the passive power; while habit is something which results from acts.	For it is neither a passion nor a habit; since habits and passions are not in the nature of agents in regard to the passivity of the soul; but rather passion is the very action of the passive power; while habit is something which results from acts.
7982_245691_000057_000002	But every power flows from the essence of the soul.	But every power flows from the essence of the soul.
7982_245691_000057_000003	It would therefore follow that the active intellect flows from the essence of the soul. And thus it would not be in the soul by way of participation from some higher intellect: which is unfitting.	It would therefore follow that the active intellect flows from the essence of the soul. And thus it would not be in the soul by way of participation from some higher intellect: which is unfitting.
7982_245691_000057_000004	Therefore the active intellect is not something in our soul.	Therefore the active intellect is not something in our soul.
7982_245691_000059_000001	In order to make this evident, we must observe that above the intellectual soul of man we must needs suppose a superior intellect, from which the soul acquires the power of understanding.	In order to make this evident, we must observe that above the intellectual soul of man we must needs suppose a superior intellect, from which the soul acquires the power of understanding.
7982_245691_000059_000002	For what is such by participation, and what is mobile, and what is imperfect always requires the pre-existence of something essentially such, immovable and perfect.	For what is such by participation, and what is mobile, and what is imperfect always requires the pre existence of something essentially such, immovable and perfect.
7982_245691_000059_000003	Now the human soul is called intellectual by reason of a participation in intellectual power; a sign of which is that it is not wholly intellectual but only in part.	Now the human soul is called intellectual by reason of a participation in intellectual power; a sign of which is that it is not wholly intellectual but only in part.
7982_245691_000059_000005	Again it has an imperfect understanding; both because it does not understand everything, and because, in those things which it does understand, it passes from potentiality to act.	Again it has an imperfect understanding; both because it does not understand everything, and because, in those things which it does understand, it passes from potentiality to act.
7982_245691_000059_000006	Therefore there must needs be some higher intellect, by which the soul is helped to understand.	Therefore there must needs be some higher intellect, by which the soul is helped to understand.
7982_245691_000060_000000	Wherefore some held that this intellect, substantially separate, is the active intellect, which by lighting up the phantasms as it were, makes them to be actually intelligible.	Wherefore some held that this intellect, substantially separate, is the active intellect, which by lighting up the phantasms as it were, makes them to be actually intelligible.
7982_245691_000060_000001	But, even supposing the existence of such a separate active intellect, it would still be necessary to assign to the human soul some power participating in that superior intellect, by which power the human soul makes things actually intelligible.	But, even supposing the existence of such a separate active intellect, it would still be necessary to assign to the human soul some power participating in that superior intellect, by which power the human soul makes things actually intelligible.
7982_245691_000060_000002	Just as in other perfect natural things, besides the universal active causes, each one is endowed with its proper powers derived from those universal causes: for the sun alone does not generate man; but in man is the power of begetting man: and in like manner with other perfect animals.	Just as in other perfect natural things, besides the universal active causes, each one is endowed with its proper powers derived from those universal causes: for the sun alone does not generate man; but in man is the power of begetting man: and in like manner with other perfect animals.
7982_245691_000060_000004	Wherefore we must say that in the soul is some power derived from a higher intellect, whereby it is able to light up the phantasms.	Wherefore we must say that in the soul is some power derived from a higher intellect, whereby it is able to light up the phantasms.
7982_245691_000060_000005	And we know this by experience, since we perceive that we abstract universal forms from their particular conditions, which is to make them actually intelligible.	And we know this by experience, since we perceive that we abstract universal forms from their particular conditions, which is to make them actually intelligible.
7982_245691_000060_000007	Therefore the power which is the principle of this action must be something in the soul.	Therefore the power which is the principle of this action must be something in the soul.
7982_245691_000063_000002	From this point of view it matters not whether the active intellect is something belonging to the soul, or something separate from the soul.	From this point of view it matters not whether the active intellect is something belonging to the soul, or something separate from the soul.
7982_245691_000064_000001	On the contrary, phantasms are actual images of certain species, but are immaterial in potentiality.	On the contrary, phantasms are actual images of certain species, but are immaterial in potentiality.
7982_245691_000066_000001	5]	five]
7982_245691_000067_000000	Whether the Active Intellect Is One in All?	Whether the Active Intellect Is One in All?
7982_245691_000068_000000	Objection 1: It would seem that there is one active intellect in all. For what is separate from the body is not multiplied according to the number of bodies.	Objection one: It would seem that there is one active intellect in all. For what is separate from the body is not multiplied according to the number of bodies.
7982_245691_000068_000002	Therefore it is not multiplied in the many human bodies, but is one for all men.	Therefore it is not multiplied in the many human bodies, but is one for all men.
7982_245691_000069_000001	But that which is the cause of unity is still more itself one.	But that which is the cause of unity is still more itself one.
7982_245691_000069_000002	Therefore the active intellect is the same in all.	Therefore the active intellect is the same in all.
7982_245691_000071_000002	Therefore the same active intellect is not in various men.	Therefore the same active intellect is not in various men.
7982_245691_000072_000001	For if the active intellect were not something belonging to the soul, but were some separate substance, there would be one active intellect for all men.	For if the active intellect were not something belonging to the soul, but were some separate substance, there would be one active intellect for all men.
7982_245691_000072_000002	And this is what they mean who hold that there is one active intellect for all.	And this is what they mean who hold that there is one active intellect for all.
7982_245691_000073_000001	And in the same sense the active intellect is also called "separate"; but not as a separate substance.	And in the same sense the active intellect is also called "separate"; but not as a separate substance.
7982_245691_000074_000001	But for this purpose it need not be the same intellect in all intelligent beings; but it must be one in its relationship to all those things from which it abstracts the universal, with respect to which things the universal is one.	But for this purpose it need not be the same intellect in all intelligent beings; but it must be one in its relationship to all those things from which it abstracts the universal, with respect to which things the universal is one.
7982_245691_000074_000002	And this befits the active intellect inasmuch as it is immaterial.	And this befits the active intellect inasmuch as it is immaterial.
7982_245691_000075_000001	Now to know the first intelligible principles is the action belonging to the human species.	Now to know the first intelligible principles is the action belonging to the human species.
7982_245691_000075_000002	Wherefore all men enjoy in common the power which is the principle of this action: and this power is the active intellect.	Wherefore all men enjoy in common the power which is the principle of this action: and this power is the active intellect.
7982_245691_000075_000003	But there is no need for it to be identical in all.	But there is no need for it to be identical in all.
7982_245691_000075_000004	Yet it must be derived by all from one principle.	Yet it must be derived by all from one principle.
7982_245691_000076_000001	6]	six]
7982_245691_000077_000000	Whether Memory Is in the Intellectual Part of the Soul?	Whether Memory Is in the Intellectual Part of the Soul?
7982_245691_000078_000000	Objection 1: It would seem that memory is not in the intellectual part of the soul.	Objection one: It would seem that memory is not in the intellectual part of the soul.
7982_245691_000079_000001	But the past is said of something with regard to a fixed time.	But the past is said of something with regard to a fixed time.
7982_245691_000079_000002	Memory, therefore, knows a thing under a condition of a fixed time; which involves knowledge under the conditions of "here" and "now." But this is not the province of the intellect, but of the sense.	Memory, therefore, knows a thing under a condition of a fixed time; which involves knowledge under the conditions of "here" and "now." But this is not the province of the intellect, but of the sense.
7982_245691_000079_000003	Therefore memory is not in the intellectual part, but only in the sensitive.	Therefore memory is not in the intellectual part, but only in the sensitive.
7982_245691_000080_000001	But this cannot happen in the intellect, because the intellect is reduced to act by the fact that the intelligible species are received into it.	But this cannot happen in the intellect, because the intellect is reduced to act by the fact that the intelligible species are received into it.
7982_245691_000082_000001	For he admitted that this could happen in the sensitive part, as to some powers, inasmuch as they are acts of corporeal organs, in which certain species may be preserved apart from actual apprehension.	For he admitted that this could happen in the sensitive part, as to some powers, inasmuch as they are acts of corporeal organs, in which certain species may be preserved apart from actual apprehension.
7982_245691_000082_000002	But in the intellect, which has no corporeal organ, nothing but what is intelligible exists.	But in the intellect, which has no corporeal organ, nothing but what is intelligible exists.
7982_245691_000082_000004	Thus, therefore, according to him, as soon as we cease to understand something actually, the species of that thing ceases to be in our intellect, and if we wish to understand that thing anew, we must turn to the active intellect, which he held to be a separate substance, in order that the intelligible species may thence flow again into our passive intellect.	Thus, therefore, according to him, as soon as we cease to understand something actually, the species of that thing ceases to be in our intellect, and if we wish to understand that thing anew, we must turn to the active intellect, which he held to be a separate substance, in order that the intelligible species may thence flow again into our passive intellect.
7982_245691_000082_000005	And from the practice and habit of turning to the active intellect there is formed, according to him, a certain aptitude in the passive intellect for turning to the active intellect; which aptitude he calls the habit of knowledge.	And from the practice and habit of turning to the active intellect there is formed, according to him, a certain aptitude in the passive intellect for turning to the active intellect; which aptitude he calls the habit of knowledge.
7982_245691_000082_000006	According, therefore, to this supposition, nothing is preserved in the intellectual part that is not actually understood: wherefore it would not be possible to admit memory in the intellectual part.	According, therefore, to this supposition, nothing is preserved in the intellectual part that is not actually understood: wherefore it would not be possible to admit memory in the intellectual part.
7982_245691_000083_000001	And, even then, it is in potentiality, but not in the same way as before learning and discovering." Now, the passive intellect is said to be each thing, inasmuch as it receives the intelligible species of each thing.	And, even then, it is in potentiality, but not in the same way as before learning and discovering." Now, the passive intellect is said to be each thing, inasmuch as it receives the intelligible species of each thing.
7982_245691_000083_000002	To the fact, therefore, that it receives the species of intelligible things it owes its being able to operate when it wills, but not so that it be always operating: for even then is it in potentiality in a certain sense, though otherwise than before the act of understanding--namely, in the sense that whoever has habitual knowledge is in potentiality to actual consideration.	To the fact, therefore, that it receives the species of intelligible things it owes its being able to operate when it wills, but not so that it be always operating: for even then is it in potentiality in a certain sense, though otherwise than before the act of understanding-namely, in the sense that whoever has habitual knowledge is in potentiality to actual consideration.
7982_245691_000084_000000	The foregoing opinion is also opposed to reason.	The foregoing opinion is also opposed to reason.
7982_245691_000084_000002	But the intellect is of a more stable nature, and is more immovable than corporeal nature.	But the intellect is of a more stable nature, and is more immovable than corporeal nature.
7982_245691_000084_000003	If, therefore, corporeal matter holds the forms which it receives, not only while it actually does something through them, but also after ceasing to act through them, much more cogent reason is there for the intellect to receive the species unchangeably and lastingly, whether it receive them from things sensible, or derive them from some superior intellect.	If, therefore, corporeal matter holds the forms which it receives, not only while it actually does something through them, but also after ceasing to act through them, much more cogent reason is there for the intellect to receive the species unchangeably and lastingly, whether it receive them from things sensible, or derive them from some superior intellect.
7982_245691_000084_000004	Thus, therefore, if we take memory only for the power of retaining species, we must say that it is in the intellectual part.	Thus, therefore, if we take memory only for the power of retaining species, we must say that it is in the intellectual part.
7982_245691_000084_000005	But if in the notion of memory we include its object as something past, then the memory is not in the intellectual, but only in the sensitive part, which apprehends individual things.	But if in the notion of memory we include its object as something past, then the memory is not in the intellectual, but only in the sensitive part, which apprehends individual things.
7982_245691_000084_000006	For past, as past, since it signifies being under a condition of fixed time, is something individual.	For past, as past, since it signifies being under a condition of fixed time, is something individual.
7982_245691_000085_000001	For species are not retained in the sensitive part of the soul only, but rather in the body and soul united: since the memorative power is the act of some organ.	For species are not retained in the sensitive part of the soul only, but rather in the body and soul united: since the memorative power is the act of some organ.
7982_245691_000085_000002	But the intellect in itself is retentive of species, without the association of any corporeal organ.	But the intellect in itself is retentive of species, without the association of any corporeal organ.
7982_245691_000086_000001	These two are found together in the sensitive part, which apprehends something from the fact of its being immuted by a present sensible: wherefore at the same time an animal remembers to have sensed before in the past, and to have sensed some past sensible thing.	These two are found together in the sensitive part, which apprehends something from the fact of its being immuted by a present sensible: wherefore at the same time an animal remembers to have sensed before in the past, and to have sensed some past sensible thing.
7982_245691_000086_000002	But as concerns the intellectual part, the past is accidental, and is not in itself a part of the object of the intellect.	But as concerns the intellectual part, the past is accidental, and is not in itself a part of the object of the intellect.
7982_245691_000086_000003	For the intellect understands man, as man: and to man, as man, it is accidental that he exist in the present, past, or future.	For the intellect understands man, as man: and to man, as man, it is accidental that he exist in the present, past, or future.
7982_245691_000086_000004	But on the part of the act, the condition of past, even as such, may be understood to be in the intellect, as well as in the senses.	But on the part of the act, the condition of past, even as such, may be understood to be in the intellect, as well as in the senses.
7982_245691_000086_000008	In this way, then, the notion of memory, in as far as it regards past events, is preserved in the intellect, forasmuch as it understands that it previously understood: but not in the sense that it understands the past as something "here" and "now."	In this way, then, the notion of memory, in as far as it regards past events, is preserved in the intellect, forasmuch as it understands that it previously understood: but not in the sense that it understands the past as something "here" and "now."
7982_245691_000087_000001	Sometimes the intelligible species is in the intellect as regards the ultimate completion of the act, and then it understands in act.	Sometimes the intelligible species is in the intellect as regards the ultimate completion of the act, and then it understands in act.
7982_245691_000087_000002	And sometimes the intelligible species is in a middle state, between potentiality and act: and then we have habitual knowledge.	And sometimes the intelligible species is in a middle state, between potentiality and act: and then we have habitual knowledge.
