8347_258283_000000_000000	When it was the Seven Hundred and Thirty-sixth Night,	When it was the Seven Hundred and Thirty sixth Night,	true	27.765	30.55	19
8347_258283_000003_000002	So, if he send to her to consult her, let her make no opposition; for I will not return to my country without her." Then the handmaid returned to Hayat al-Nufus; and, kissing her hands, delivered to her the message, which when she heard, she wept for very joy and returned thanks to Almighty Allah.	So, if he send to her to consult her, let her make no opposition; for I will not return to my country without her." Then the handmaid returned to Hayat al Nufus; and, kissing her hands, delivered to her the message, which when she heard, she wept for very joy and returned thanks to Almighty Allah.	true	527.96	551.02	22.328354
8347_258283_000003_000003	Such was her case; but as regards Ardashir, he was alone with his father that night and the Great King questioned him of his case, whereupon he told him all that had befallen him, first and last.	Such was her case; but as regards Ardashir, he was alone with his father that night and the Great King questioned him of his case, whereupon he told him all that had befallen him, first and last.	true	552.11	566.83	21.777847
8347_258283_000003_000004	Then quoth the King, "What wilt thou have me do for thee, O my son?	Then quoth the King, "What wilt thou have me do for thee, O my son?	false	568.37	572.73	22.193653
8347_258283_000003_000005	An thou desire Abd al-Kadir's ruin, I will lay waste his lands and spoil his hoards and dishonour his house." Replied Ardashir, "I do not desire that, O my father, for he hath done nothing to me deserving thereof; but I wish for union with her; wherefore I beseech thee of thy favour to make ready a present for her father (but let it be a magnificent gift!) and send it to him by thy Minister, the man of just judgment." Quoth the King, "I hear and consent;" and sending for the treasures he had laid up from time past, brought out all manner precious things and showed them to his son, who was pleased with them.	An thou desire Abd al Kadir's ruin, I will lay waste his lands and spoil his hoards and dishonour his house." Replied Ardashir, "I do not desire that, O my father, for he hath done nothing to me deserving thereof; but I wish for union with her; wherefore I beseech thee of thy favour to make ready a present for her father (but let it be a magnificent gift!) and send it to him by thy Minister, the man of just judgment." Quoth the King, "I hear and consent;" and sending for the treasures he had laid up from time past, brought out all manner precious things and showed them to his son, who was pleased with them.	false	572.73	617.32	23.043585
8347_258283_000003_000006	Then he called his Wazir and bade him bear the present with him[FN#301] to King Abd al-Kadir and demand his daughter in marriage for Ardashir, saying, "Accept the present and return him a reply." Now from the time of Ardashir's departure, King Abd al-Kadir had been troubled and ceased not to be heavy at heart, fearing the laying waste of his reign and the spoiling of his realm; when behold, the Wazir came in to him and saluting him, kissed ground before him.	Then he called his Wazir and bade him bear the present with him[f n # three hundred one] to King Abd al Kadir and demand his daughter in marriage for Ardashir, saying, "Accept the present and return him a reply." Now from the time of Ardashir's departure, King Abd al Kadir had been troubled and ceased not to be heavy at heart, fearing the laying waste of his reign and the spoiling of his realm; when behold, the Wazir came in to him and saluting him, kissed ground before him.	false	618.2	651.97	22.619701
8347_258283_000003_000007	He rose up standing and received him with honour; but the Minister made haste to fall at his feet and kissing them cried, "Pardon, O King of the Age!	He rose up standing and received him with honour; but the Minister made haste to fall at his feet and kissing them cried, "Pardon, O King of the Age!	true	652.79	662.35	22.522243
8347_258283_000003_000008	The like of thee should not rise to the like of me, for I am the least of servants' slaves.	The like of thee should not rise to the like of me, for I am the least of servants' slaves.	true	662.63	667.81	23.431595
8347_258283_000003_000009	Know, O King, that Prince Ardashir hath acquainted his father with some of the favours and kindnesses thou hast done him, wherefore he thanketh thee and sendeth thee in company of thy servant who standeth before thee, a present, saluting thee and wishing thee especial blessings and prosperities." Abd al-Kadir could not believe what he heard of the excess of his fear, till the Wazir laid the present before him, when he saw it to be such gift as no money could purchase nor could one of the Kings of the earth avail to the like thereof; wherefore he was belittled in his own eyes and springing to his feet, praised Almighty Allah and glorified Him and thanked the Prince.	Know, O King, that Prince Ardashir hath acquainted his father with some of the favours and kindnesses thou hast done him, wherefore he thanketh thee and sendeth thee in company of thy servant who standeth before thee, a present, saluting thee and wishing thee especial blessings and prosperities." Abd al Kadir could not believe what he heard of the excess of his fear, till the Wazir laid the present before him, when he saw it to be such gift as no money could purchase nor could one of the Kings of the earth avail to the like thereof; wherefore he was belittled in his own eyes and springing to his feet, praised Almighty Allah and glorified Him and thanked the Prince.	false	668.66	716.26	21.20494
8347_258283_000003_000010	Then said the Minister to him, "O noble King, give ear to my word and know that the Great King sendeth to thee, desiring thine alliance, and I come to thee seeking and craving the hand of thy daughter, the chaste dame and treasured gem Hayat al-Nufus, in wedlock for his son Ardashir, wherefore, if thou consent to this proposal and accept of him, do thou agree with me for her marriage-portion." Abd al-Kadir hearing these words replied, "I hear and obey.	Then said the Minister to him, "O noble King, give ear to my word and know that the Great King sendeth to thee, desiring thine alliance, and I come to thee seeking and craving the hand of thy daughter, the chaste dame and treasured gem Hayat al Nufus, in wedlock for his son Ardashir, wherefore, if thou consent to this proposal and accept of him, do thou agree with me for her marriage portion." Abd al Kadir hearing these words replied, "I hear and obey.	false	718.04	753.88	22.565311
8347_258283_000003_000011	For my part, I make no objection, and nothing can be more pleasurable to me; but the girl is of full age and reason and her affair is in her own hand.	For my part, I make no objection, and nothing can be more pleasurable to me; but the girl is of full age and reason and her affair is in her own hand.	false	754.37	765.43	19.229195
8347_258283_000003_000012	So be assured that I will refer it to her and she shall choose for herself." Then he turned to the chief eunuch and bade him go and acquaint the Princess with the event.	So be assured that I will refer it to her and she shall choose for herself." Then he turned to the chief eunuch and bade him go and acquaint the Princess with the event.	false	766.13	777.16	23.423092
8347_258283_000003_000013	So he repaired to the Harim and, kissing the Princess's hands, acquainted her with the Great King's offer adding, "What sayest thou in answer?"	So he repaired to the Harim and, kissing the Princess's hands, acquainted her with the Great King's offer adding, "What sayest thou in answer?"	false	777.86	787.69	24.532295
8347_258283_000003_000014	"I hear and I obey," replied she.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	"I hear and I obey," replied she.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	788.87	798.85	22.220215
8347_258283_000004_000000	When it was the Seven Hundred and Thirty-eighth Night,	When it was the Seven Hundred and Thirty eighth Night,	true	804.77	807.85	24.727407
8347_258283_000005_000000	She pursued, It hath reached me, O auspicious King, that the chief eunuch of the Harim having informed the Princess how she had been demanded in marriage by the Great King and having heard her reply, "I hear and I obey," returned therewith to the King and gave him this answer, whereat he rejoiced with exceeding joy and, calling for a costly robe of honour, threw it over the Wazir's shoulders.	She pursued, It hath reached me, O auspicious King, that the chief eunuch of the Harim having informed the Princess how she had been demanded in marriage by the Great King and having heard her reply, "I hear and I obey," returned therewith to the King and gave him this answer, whereat he rejoiced with exceeding joy and, calling for a costly robe of honour, threw it over the Wazir's shoulders.	false	808.13	836.65	20.838594
8347_258283_000005_000001	Furthermore, he ordered him ten thousand dinars and bade him carry the answer to the Great King and crave leave for him to pay him a visit.	Furthermore, he ordered him ten thousand dinars and bade him carry the answer to the Great King and crave leave for him to pay him a visit.	true	837.32	846.43	17.558636
8347_258283_000005_000002	"Hearing and obeying," answered the Minister; and, returning to his master, delivered him the reply and Abd al-Kadir's message, and repeated all their talk, whereat he rejoiced greatly and Ardashir was transported for delight and his breast broadened and he was a most happy man.	"Hearing and obeying," answered the Minister; and, returning to his master, delivered him the reply and Abd al Kadir's message, and repeated all their talk, whereat he rejoiced greatly and Ardashir was transported for delight and his breast broadened and he was a most happy man.	false	847.16	866.95	21.336935
8347_258283_000005_000003	King Sayf al-A'azam also gave King Abd al-Kadir leave to come forth to visit him; so, on the morrow, he took horse and rode to the camp of the Great King, who came to meet him and saluting him, seated him in the place of honour, and gave him welcome; and they two sat whilst Ardashir stood before them.	King Sayf al A'azam also gave King Abd al Kadir leave to come forth to visit him; so, on the morrow, he took horse and rode to the camp of the Great King, who came to meet him and saluting him, seated him in the place of honour, and gave him welcome; and they two sat whilst Ardashir stood before them.	false	868.16	890.65	22.89609
8347_258283_000005_000004	Then arose an orator of the King Abd al-Kadir's court and pronounced an eloquent discourse, giving the Prince joy of the attainment of his desire and of his marriage with the Princess, a Queen among King's daughters.	Then arose an orator of the King Abd al Kadir's court and pronounced an eloquent discourse, giving the Prince joy of the attainment of his desire and of his marriage with the Princess, a Queen among King's daughters.	false	891.8	906.13	22.829298
8347_258283_000005_000005	When he sat down the Great King caused bring a chest full of pearls and gems, together with fifty thousand dinars, and said to King Abd al-Kadir, "I am my son's deputy in all that concerneth this matter." So Abd al-Kadir acknowledged receipt of the marriage-portion and amongst the rest, fifty thousand dinars for the nuptial festivities; after which they fetched the Kazis and the witnesses, who wrote out the contract of marriage between the Prince and Princess, and it was a notable day, wherein all lovers made merry and all haters and enviers were mortified.	When he sat down the Great King caused bring a chest full of pearls and gems, together with fifty thousand dinars, and said to King Abd al Kadir, "I am my son's deputy in all that concerneth this matter." So Abd al Kadir acknowledged receipt of the marriage portion and amongst the rest, fifty thousand dinars for the nuptial festivities; after which they fetched the Kazis and the witnesses, who wrote out the contract of marriage between the Prince and Princess, and it was a notable day, wherein all lovers made merry and all haters and enviers were mortified.	false	906.71	946.24	22.08356
8347_258283_000005_000006	They spread the marriage-feasts and banquets and lastly Ardashir went in unto the Princess and found her a jewel which had been hidden, an union pearl unthridden and a filly that none but he had ridden, so he notified this to his sire.	They spread the marriage feasts and banquets and lastly Ardashir went in unto the Princess and found her a jewel which had been hidden, an union pearl unthridden and a filly that none but he had ridden, so he notified this to his sire.	true	947.09	964.09	22.699852
8347_258283_000005_000007	Then King Sayf al-A'azam asked his son, "Hast thou any wish thou wouldst have fulfilled ere we depart?"; and he answered, "Yes, O King, know that I would fain take my wreak of the Wazir who entreated us on evil wise and the eunuch who forged a lie against us." So the King sent forthright to Abd al-Kadir, demanding of him the Minister and the castrato, whereupon he despatched them both to him and he commanded to hang them over the city gate.	Then King Sayf al A'azam asked his son, "Hast thou any wish thou wouldst have fulfilled ere we depart?"; and he answered, "Yes, O King, know that I would fain take my wreak of the Wazir who entreated us on evil wise and the eunuch who forged a lie against us." So the King sent forthright to Abd al Kadir, demanding of him the Minister and the castrato, whereupon he despatched them both to him and he commanded to hang them over the city gate.	false	965.51	1000.57	20.791319
8347_258283_000005_000008	After this, they abode a little while and then sought of Abd al-Kadir leave for his daughter to equip her for departure.	After this, they abode a little while and then sought of Abd al Kadir leave for his daughter to equip her for departure.	false	1001.57	1009.69	20
8347_258283_000005_000009	So he equipped her and mounted her in a Takhtrawan, a travelling litter of red gold, inlaid with pearls and gems and drawn by noble steeds.	So he equipped her and mounted her in a Takhtrawan, a travelling litter of red gold, inlaid with pearls and gems and drawn by noble steeds.	false	1010.51	1020.28	22.694653
8347_258283_000005_000010	She carried with her all her waiting-women and eunuchs, as well as the nurse, who had returned, after her flight, and resumed her office.	She carried with her all her waiting women and eunuchs, as well as the nurse, who had returned, after her flight, and resumed her office.	true	1021.01	1029.61	21.505213
8347_258283_000005_000011	Then King Sayf al-A'azam and his son mounted and Abd al-Kadir mounted also with all the lords of his land, to take leave of his son-in-law and daughter; and it was a day to be reckoned of the goodliest of days.	Then King Sayf al A'azam and his son mounted and Abd al Kadir mounted also with all the lords of his land, to take leave of his son in law and daughter; and it was a day to be reckoned of the goodliest of days.	false	1030.52	1046.08	22.294443
8347_258283_000005_000012	After they had gone some distance, the Great King conjured Abd al-Kadir to turn back; so he farewelled him and his son, after he had strained him to his breast and kissed him between the eyes and thanked him for his grace and favours and commended his daughter to his care.	After they had gone some distance, the Great King conjured Abd al Kadir to turn back; so he farewelled him and his son, after he had strained him to his breast and kissed him between the eyes and thanked him for his grace and favours and commended his daughter to his care.	false	1046.75	1065.79	20.340084
8347_258283_000005_000013	Then he went in to the Princess and embraced her; and she kissed his hands and they wept in the standing-place of parting.	Then he went in to the Princess and embraced her; and she kissed his hands and they wept in the standing place of parting.	true	1067.18	1074.46	26.325317
8347_258283_000005_000014	After this he returned to his capital and Ardashir and his company fared on, till they reached Shiraz, where they celebrated the marriage- festivities anew.	After this he returned to his capital and Ardashir and his company fared on, till they reached Shiraz, where they celebrated the marriage festivities anew.	true	1075.55	1085.92	21.519682
8347_258283_000005_000015	And they abode in all comfort and solace and joyance of life, till there came to them the Destroyer of delights and Severer of societies; the Depopulator of palaces and the Garnerer of graveyards.	And they abode in all comfort and solace and joyance of life, till there came to them the Destroyer of delights and Severer of societies; the Depopulator of palaces and the Garnerer of graveyards.	true	1088.3	1101.58	23.602236
8347_258283_000005_000016	And men also relate the tale of	And men also relate the tale of	true	1102.43	1104.69	23.26862
8347_258283_000006_000000	JULNAR THE SEA-BORN AND HER SON KING BADR BASIM OF PERSIA.	j u l n a r THE SEA BORN AND HER SON KING BADR BASIM OF PERSIA.	false	1104.69	1110.22	23.172043
8347_258283_000007_000000	There was once in days of yore and in ages and times long gone before, in Ajam-land a King Shahriman[FN#302] hight, whose abiding place was Khorasan.	There was once in days of yore and in ages and times long gone before, in Ajam land a King Shahriman[f n # three hundred two] hight, whose abiding place was Khorasan.	false	1111.52	1122.61	19.05722
8347_258283_000007_000001	He owned an hundred concubines, but by none of them had he been blessed with boon of child, male or female, all the days of his life.	He owned an hundred concubines, but by none of them had he been blessed with boon of child, male or female, all the days of his life.	false	1123.76	1132.66	19.725164
8347_258283_000007_000002	One day, among the days, he bethought him of this and fell lamenting for that the most part of his existence was past and he had not been vouchsafed a son to inherit the kingdom after him, even as he had inherited it from his fathers and forebears; by reason whereof there betided him sore cark and care and chagrin exceeding.	One day, among the days, he bethought him of this and fell lamenting for that the most part of his existence was past and he had not been vouchsafed a son to inherit the kingdom after him, even as he had inherited it from his fathers and forebears; by reason whereof there betided him sore cark and care and chagrin exceeding.	false	1133.63	1157.2	19.177475
8347_258283_000007_000003	As he sat thus one of his Mamelukes came in to him and said, "O my lord, at the door is a slave girl with her merchant, and fairer than she eye hath never seen." Quoth the King, "Hither to me with merchant and maid!"; and both came in to him.	As he sat thus one of his Mamelukes came in to him and said, "O my lord, at the door is a slave girl with her merchant, and fairer than she eye hath never seen." Quoth the King, "Hither to me with merchant and maid!"; and both came in to him.	false	1158.62	1178.08	22.377407
8347_258283_000007_000004	Now when Shahriman beheld the girl, he saw that she was like a Rudaynian lance,[FN#303] and she was wrapped in a veil of gold-purfled silk.	Now when Shahriman beheld the girl, he saw that she was like a Rudaynian lance,[f n # three hundred three] and she was wrapped in a veil of gold purfled silk.	false	1179.14	1188.49	21.579132
8347_258283_000007_000005	The merchant uncovered her face, whereupon the place was illumined by her beauty and her seven tresses hung down to her anklets like horses' tails.	The merchant uncovered her face, whereupon the place was illumined by her beauty and her seven tresses hung down to her anklets like horses' tails.	true	1189.19	1199.08	22.83194
8347_258283_000007_000006	She had Nature kohl'd eyes, heavy hips and thighs and waist of slenderest guise, her sight healed all maladies and quenched the fire of sighs, for she was even as the poet cries,	She had Nature kohl'd eyes, heavy hips and thighs and waist of slenderest guise, her sight healed all maladies and quenched the fire of sighs, for she was even as the poet cries,	true	1199.87	1214.26	20.832645
8347_258283_000008_000000	"I love her madly for she is perfect fair, * Complete in gravity and gracious way; Nor overtall nor overshort, the while * Too full for trousers are those hips that sway: Her shape is midmost 'twixt o'er small and tall; * Nor long to blame nor little to gainsay: O'erfall her anklets tresses black as night * Yet in her face resplends eternal day."	"I love her madly for she is perfect fair, asterisk Complete in gravity and gracious way; Nor overtall nor overshort, the while asterisk Too full for trousers are those hips that sway: Her shape is midmost 'twixt o'er small and tall; asterisk Nor long to blame nor little to gainsay: O'erfall her anklets tresses black as night asterisk Yet in her face resplends eternal day."	false	1215.02	1241.71	20.697947
8347_258283_000009_000000	The King seeing her marvelled at her beauty and loveliness, her symmetry and perfect grace and said to the merchant, "O Shaykh, how much for this maiden?" Replied the merchant, "O my lord, I bought her for two thousand diners of the merchant who owned her before myself, since when I have travelled with her three years and she hath cost me, up to the time of my coming hither, other three thousand gold pieces; but she is a gift from me to thee." The King robed him with a splendid robe of honour and ordered him ten thousand ducats, whereupon he kissed his hands, thanking him for his bounty and beneficence, and went his ways.	The King seeing her marvelled at her beauty and loveliness, her symmetry and perfect grace and said to the merchant, "O Shaykh, how much for this maiden?" Replied the merchant, "O my lord, I bought her for two thousand diners of the merchant who owned her before myself, since when I have travelled with her three years and she hath cost me, up to the time of my coming hither, other three thousand gold pieces; but she is a gift from me to thee." The King robed him with a splendid robe of honour and ordered him ten thousand ducats, whereupon he kissed his hands, thanking him for his bounty and beneficence, and went his ways.	false	1243.22	1290.99	22.618443
8347_258283_000009_000001	Then the King committed the damsel to the tire women, saying, "Amend ye the case of this maiden[FN#304] and adorn her and furnish her a bower and set her therein." And he bade his chamberlains carry her everything she needed and shut all the doors upon her.	Then the King committed the damsel to the tire women, saying, "Amend ye the case of this maiden[f n # three hundred four] and adorn her and furnish her a bower and set her therein." And he bade his chamberlains carry her everything she needed and shut all the doors upon her.	false	1290.99	1307.8	21.629139
8347_258283_000009_000002	Now his capital wherein he dwelt was called the White City and was seated on the sea shore; so they lodged her in a chamber, whose latticed casements overlooked the main.--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	Now his capital wherein he dwelt was called the White City and was seated on the sea shore; so they lodged her in a chamber, whose latticed casements overlooked the main.--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	1308.74	1327.86	21.208277
8347_258283_000010_000000	When it was the Seven Hundred and Thirty-ninth Night,	When it was the Seven Hundred and Thirty ninth Night,	false	1327.86	1331.73	42.766373
