7437_99249_000001_000000	LINKS WITH THE PAST	LINKS WITH THE PAST
7437_99249_000012_000001	To fully describe the importance of this event it would be necessary to enlarge upon the character and tendency of the Mahomedan religion at a length my limits forbid, and I must here therefore content myself with noting that, great as was the moral and mental revolution this conversion occasioned, it was by no means commensurate with that which followed the introduction of Islam into other countries.	To fully describe the importance of this event it would be necessary to enlarge upon the character and tendency of the Mahomedan religion at a length my limits forbid, and I must here therefore content myself with noting that, great as was the moral and mental revolution this conversion occasioned, it was by no means commensurate with that which followed the introduction of Islam into other countries.
7437_99249_000012_000005	The political condition of the people was little, if at all, affected by the change in their religion; and consequently, under the Caliphs and their successors, the Egyptian continued to be as he had been before--a man with no higher ambition than that of passing through life with the least possible trouble.	The political condition of the people was little, if at all, affected by the change in their religion; and consequently, under the Caliphs and their successors, the Egyptian continued to be as he had been before-a man with no higher ambition than that of passing through life with the least possible trouble.
7437_99249_000012_000006	From year to year his one prayer was for an abundant Nile and a plentiful crop, not that he might thereby enrich himself, but that he might thereby secure a sufficiency for himself and his family and suffer less from the rapacious tyranny and heartless cruelty of those never-resting oppressors, his rulers and all who, as officials or favourites, were lifted even a little above his own level.	From year to year his one prayer was for an abundant Nile and a plentiful crop, not that he might thereby enrich himself, but that he might thereby secure a sufficiency for himself and his family and suffer less from the rapacious tyranny and heartless cruelty of those never resting oppressors, his rulers and all who, as officials or favourites, were lifted even a little above his own level.
7437_99249_000012_000007	It was, and is, of the essence of Islam that it appeals to freemen and favours that love of freedom that is the birthright of every man; but Islam brought no freedom to the Egyptians, save, indeed, the spiritual and moral one their rulers could not rob them of.	It was, and is, of the essence of Islam that it appeals to freemen and favours that love of freedom that is the birthright of every man; but Islam brought no freedom to the Egyptians, save, indeed, the spiritual and moral one their rulers could not rob them of.
7437_99249_000012_000008	So such as he had been before, such he remained after the Arab conquest, but with a loftier sense of the dignity of manhood, a nobler conception of life and of its duties, and a stronger faith in a hereafter that should compensate him for all his sufferings and privations in this life.	So such as he had been before, such he remained after the Arab conquest, but with a loftier sense of the dignity of manhood, a nobler conception of life and of its duties, and a stronger faith in a hereafter that should compensate him for all his sufferings and privations in this life.
7437_99249_000013_000000	If socially and otherwise the Egyptians profited but little from the establishment of the Caliphate, they gained still less from the domination of the Turks.	If socially and otherwise the Egyptians profited but little from the establishment of the Caliphate, they gained still less from the domination of the Turks.
7437_99249_000013_000002	It left them practically under the same rulers, for though the system of government was modified, it placed the executive power, if not in the hands of the same men as before, at least in those of men of the same stamp, who ruled them as their predecessors had done, in the same manner, through the same agents, and with the same cruelty and wanton oppression.	It left them practically under the same rulers, for though the system of government was modified, it placed the executive power, if not in the hands of the same men as before, at least in those of men of the same stamp, who ruled them as their predecessors had done, in the same manner, through the same agents, and with the same cruelty and wanton oppression.
7437_99249_000013_000003	Yet the Turkish, like the Arab, conquest wrought one important effect, the influence of which time has strengthened so that it is only second to that in the urgency of its bearing upon existing conditions.	Yet the Turkish, like the Arab, conquest wrought one important effect, the influence of which time has strengthened so that it is only second to that in the urgency of its bearing upon existing conditions.
7437_99249_000013_000004	Under the Arabs the Egyptians had been ruled by foreigners, but by foreigners who were in some degree allied to them.	Under the Arabs the Egyptians had been ruled by foreigners, but by foreigners who were in some degree allied to them.
7437_99249_000013_000005	Under the Turks their sovereign was, and is, not only a foreigner, but one of an utterly alien race, wholly separated from them by language, character, habits, by everything, indeed, save the bond of their common religion.	Under the Turks their sovereign was, and is, not only a foreigner, but one of an utterly alien race, wholly separated from them by language, character, habits, by everything, indeed, save the bond of their common religion.
7437_99249_000013_000007	To Europeans this loyalty, which, it is worthy of mention here, is shared by the Moslems of India, has always appeared somewhat of an enigma.	To Europeans this loyalty, which, it is worthy of mention here, is shared by the Moslems of India, has always appeared somewhat of an enigma.
7437_99249_000013_000008	No one, however, who knows the peoples of the two countries can doubt that, apart from the fact of the Sultan being the official head of their religion, their loyalty to him is largely due to the desire of peoples who have lost the place they once held in the comity of nations to associate themselves with such kindred peoples as have in some extent maintained their ancient status.	No one, however, who knows the peoples of the two countries can doubt that, apart from the fact of the Sultan being the official head of their religion, their loyalty to him is largely due to the desire of peoples who have lost the place they once held in the comity of nations to associate themselves with such kindred peoples as have in some extent maintained their ancient status.
7437_99249_000013_000009	The Indian and the Egyptian Mahomedans alike look back to the time when Islam was the one dominant, unopposable power in their native lands, and, conscious of their own fallen condition, would fain relieve the darkness of their destiny by seeking a place, however humble, within the only radiance they can claim to share.	The Indian and the Egyptian Mahomedans alike look back to the time when Islam was the one dominant, unopposable power in their native lands, and, conscious of their own fallen condition, would fain relieve the darkness of their destiny by seeking a place, however humble, within the only radiance they can claim to share.
7437_99249_000013_000012	Were, therefore, the hopes of the large section of the Mahomedans which is filled with the desire for the restoration of an Arab Caliphate to be realised it would entirely depend upon circumstances that it is quite impossible to foresee--whether the Egyptians would or would not remain faithful to the Empire.	Were, therefore, the hopes of the large section of the Mahomedans which is filled with the desire for the restoration of an Arab Caliphate to be realised it would entirely depend upon circumstances that it is quite impossible to foresee-whether the Egyptians would or would not remain faithful to the Empire.
7437_99249_000013_000013	Meanwhile the revival of the Arabic power being a possibility too far removed from probability to take a place in the politics of the day, the loyalty of the Egyptians to the Turkish Empire must be accepted as a controlling feature in the affairs of the country.	Meanwhile the revival of the Arabic power being a possibility too far removed from probability to take a place in the politics of the day, the loyalty of the Egyptians to the Turkish Empire must be accepted as a controlling feature in the affairs of the country.
