7437_99249_000000_000000	CHAPTER II	CHAPTER two	false	0.33	19.2	20.301046
7437_99249_000004_000003	It was, indeed, during this time that the world-famous cities of Alexandria and Cairo were built as well as the magnificent mosques that are the pride of all Islam, but these were all the work, not of the people themselves, but of the foreigners by whom they were held in thraldom, and are therefore monuments not of the country's glory but of its shame.	It was, indeed, during this time that the world famous cities of Alexandria and Cairo were built as well as the magnificent mosques that are the pride of all Islam, but these were all the work, not of the people themselves, but of the foreigners by whom they were held in thraldom, and are therefore monuments not of the country's glory but of its shame.	true	152.81	170.89	21.780605
7437_99249_000005_000000	The third and present period began in 1798 when the landing of Bonaparte was the first of the series of events that by the introduction and gradual development of European influence have brought about the now existing social and political condition of the country.	The third and present period began in seventeen ninety eight when the landing of Bonaparte was the first of the series of events that by the introduction and gradual development of European influence have brought about the now existing social and political condition of the country.	true	171.02	184.63	20
7437_99249_000005_000001	In this period Egypt has ceased to be a province of the Turkish Empire, and having acquired the semi-independent position of a tributary State, has been lifted from an appalling condition of social and commercial destitution produced by the ruinous misgovernment and reckless tyranny of a dominant class, to one of unexampled prosperity and of social and political freedom not exceeded in any country of the world.	In this period Egypt has ceased to be a province of the Turkish Empire, and having acquired the semi independent position of a tributary State, has been lifted from an appalling condition of social and commercial destitution produced by the ruinous misgovernment and reckless tyranny of a dominant class, to one of unexampled prosperity and of social and political freedom not exceeded in any country of the world.	false	184.7	207.13	21.218573
7437_99249_000006_000000	The three periods into which I have thus divided Egyptian history are then distinguished by differences so deep and so far-reaching that almost the only links by which they can be bound into one consistent whole are the persistence of the people and the preservation of the monuments that testify to their former greatness.	The three periods into which I have thus divided Egyptian history are then distinguished by differences so deep and so far reaching that almost the only links by which they can be bound into one consistent whole are the persistence of the people and the preservation of the monuments that testify to their former greatness.	true	207.29	223.03	19
7437_99249_000007_000000	That the Egyptian of to-day is in truth the lineal descendant of those who inhabited the country six thousand years ago is beyond all doubt. Wherever we go in the Nile valley or in the Delta we meet with men and women whose faces and features are living reproductions of the portraits of the kings and people of the most ancient times as sculptured by the artists of their days.	That the Egyptian of to day is in truth the lineal descendant of those who inhabited the country six thousand years ago is beyond all doubt. Wherever we go in the Nile valley or in the Delta we meet with men and women whose faces and features are living reproductions of the portraits of the kings and people of the most ancient times as sculptured by the artists of their days.	true	223.4	242.5	19
7437_99249_000007_000001	And in their habits, manners, and customs, we find to-day striking traces of those that seem to have prevailed when four thousand years before Christ, Ptah-hotep wrote his book of "Instructions," now believed to be the oldest book in the world.	And in their habits, manners, and customs, we find to day striking traces of those that seem to have prevailed when four thousand years before Christ, Ptah hotep wrote his book of "Instructions," now believed to be the oldest book in the world.	false	243.2	256.12	22.433268
7437_99249_000007_000002	And from their building in those far-off ages down to the present day the pyramids, temples, and tombs have stood surviving witnesses of the early greatness of the country, and, though but heedless spectators of its vicissitudes, silent guardians of its departed glory, ever linking its present with its past.	And from their building in those far off ages down to the present day the pyramids, temples, and tombs have stood surviving witnesses of the early greatness of the country, and, though but heedless spectators of its vicissitudes, silent guardians of its departed glory, ever linking its present with its past.	false	256.52	272.8	21.11833
7437_99249_000008_000000	Closely united as the living Egyptian thus is with his earliest ancestors, all the men and almost all the events that preceded the French invasion are as nothing to the Egypt of to-day.	Closely united as the living Egyptian thus is with his earliest ancestors, all the men and almost all the events that preceded the French invasion are as nothing to the Egypt of to day.	true	273.62	283.15	18
7437_99249_000008_000001	Not a single ruler, patriot, statesman, demagogue, artist or author, in short, no man or woman that lived before the dawn of the modern period, has been instrumental in the making of Egypt or the Egyptians what they now are.	Not a single ruler, patriot, statesman, demagogue, artist or author, in short, no man or woman that lived before the dawn of the modern period, has been instrumental in the making of Egypt or the Egyptians what they now are.	true	284.09	295.99	21.769928
7437_99249_000008_000002	Persians, Greeks, Romans, Arabs, Turks; all these have held the people in bondage, but their influence never reached below the surface of the life of the country, and has vanished completely with the men upon whom it depended, and though some of these have left monuments, all but imperishable, of their greatness and glory, these to the Egyptians, heirs of their creators, are but idle relics of a forgotten and unheeded past.	Persians, Greeks, romans, Arabs, Turks; all these have held the people in bondage, but their influence never reached below the surface of the life of the country, and has vanished completely with the men upon whom it depended, and though some of these have left monuments, all but imperishable, of their greatness and glory, these to the Egyptians, heirs of their creators, are but idle relics of a forgotten and unheeded past.	false	296.48	318.51	21.251913
7437_99249_000008_000003	And as it has been with the men almost so has it been with events, for there are but two of these that, preceding the French invasion, have exercised an influence of such vitality as to survive the great change in the condition of the country that has since been wrought.	And as it has been with the men almost so has it been with events, for there are but two of these that, preceding the French invasion, have exercised an influence of such vitality as to survive the great change in the condition of the country that has since been wrought.	false	318.51	332.2	21.669706
7437_99249_000008_000004	These two events, with four that belong to the modern period, are indeed all that the whole history of the country presents to us as still clearly and prominently exerting an important and permanent influence upon both the character of the people and the existing circumstances and condition of their country.	These two events, with four that belong to the modern period, are indeed all that the whole history of the country presents to us as still clearly and prominently exerting an important and permanent influence upon both the character of the people and the existing circumstances and condition of their country.	true	332.9	348.73	22.322155
7437_99249_000008_000005	Of these six events the two that belong to the second period are, the conquest of the land by the Arabs and its subsequent seizure by the Turks.	Of these six events the two that belong to the second period are, the conquest of the land by the Arabs and its subsequent seizure by the Turks.	true	349.25	357.19	22.475681
7437_99249_000008_000006	The other four are, the French invasion, the rise of Mahomed Ali, the English occupation and the evacuation of Fachoda by the French.	The other four are, the French invasion, the rise of Mahomed Ali, the English occupation and the evacuation of Fachoda by the French.	false	357.53	367.15	21.724808
7437_99249_000009_000000	Each and all of these six events have played important parts in moulding the present-day aspect of Egypt and its people, and the more closely do we study the existing conditions, the more strikingly do these six events stand out from all others as the great and dominating landmarks in the history of modern Egypt.	Each and all of these six events have played important parts in moulding the present day aspect of Egypt and its people, and the more closely do we study the existing conditions, the more strikingly do these six events stand out from all others as the great and dominating landmarks in the history of modern Egypt.	true	368.6	384.76	23.595612
7437_99249_000009_000001	Compared with these all the other incidents of that story of seventy centuries--the long procession of dynasties of Pharaohs, Ptolemies, Caliphs, Sultans, Khedives--are all but shadows that have come and gone.	Compared with these all the other incidents of that story of seventy centuries-the long procession of dynasties of Pharaohs, Ptolemies, Caliphs, Sultans, Khedives-are all but shadows that have come and gone.	false	385.28	397.45	20.506716
7437_99249_000009_000002	It is not so with the landmarks I have named, for not only are these events that have influenced and are still influencing the thoughts and feelings of the people, but the influence they exert is recognised by the people themselves and must be taken into account in any endeavour either to understand the present condition of the country, or to forecast its future.	It is not so with the landmarks I have named, for not only are these events that have influenced and are still influencing the thoughts and feelings of the people, but the influence they exert is recognised by the people themselves and must be taken into account in any endeavour either to understand the present condition of the country, or to forecast its future.	false	397.94	416.29	22.945824
7437_99249_000009_000003	Although, therefore, the third of these landmarks forms, as we have already seen, the starting-point of the story of modern Egypt, to rightly comprehend that story it is necessary we should have a clear conception of the effects wrought by the first two events and of the influence these have had and still have upon the affairs of the country.	Although, therefore, the third of these landmarks forms, as we have already seen, the starting point of the story of modern Egypt, to rightly comprehend that story it is necessary we should have a clear conception of the effects wrought by the first two events and of the influence these have had and still have upon the affairs of the country.	false	416.96	433.45	21.051554
7437_99249_000010_000000	Let us remember here that Egypt, like most civilised countries, has in reality two stories, one the history of the nation as a political body; in other words, its history as history is commonly understood and written, the record of the rise and fall of its rulers, the tale of their triumph and of their failures, and chronicle of their wars, victories, defeats, and all the events that have made or marred their destinies: the other the story of the people themselves, of the growth of their character and institutions, and of the development of their social and moral surroundings.	Let us remember here that Egypt, like most civilised countries, has in reality two stories, one the history of the nation as a political body; in other words, its history as history is commonly understood and written, the record of the rise and fall of its rulers, the tale of their triumph and of their failures, and chronicle of their wars, victories, defeats, and all the events that have made or marred their destinies: the other the story of the people themselves, of the growth of their character and institutions, and of the development of their social and moral surroundings.	false	434.66	463.72	20.832079
7437_99249_000010_000001	It is with this latter story that we have to deal, and it is, therefore, from the point of view thus assumed that I have estimated the importance of the events of which I have just spoken.	It is with this latter story that we have to deal, and it is, therefore, from the point of view thus assumed that I have estimated the importance of the events of which I have just spoken.	false	463.94	472.75	22
7437_99249_000011_000000	In the history of some countries the two stories, if rightly told, are so interwoven that they become as one, but in the first and second periods of Egyptian history they have scarce anything in common, for so long as the people remained under the rule of the Pharaohs or of the foreigners who succeeded them they were little more than passive victims of the varying fortunes that affected their rulers, and almost the only fluctuations in their state during the long ages stretching from the time of Menes to the French invasion were those occasioned by the varying degrees of the tyranny to which they were subjected.	In the history of some countries the two stories, if rightly told, are so interwoven that they become as one, but in the first and second periods of Egyptian history they have scarce anything in common, for so long as the people remained under the rule of the Pharaohs or of the foreigners who succeeded them they were little more than passive victims of the varying fortunes that affected their rulers, and almost the only fluctuations in their state during the long ages stretching from the time of Menes to the French invasion were those occasioned by the varying degrees of the tyranny to which they were subjected.	false	473.42	505.36	21.440325
7437_99249_000011_000001	Now and again under some ruler of more humanity or of greater laxity than others their condition may be said to have for the time improved, but such changes were far too slight and their possible duration always far too uncertain for these benefits to be more to the people than as the grateful but passing pleasure a fleeting morning cloud brings to the traveller in a sunburnt desert.	Now and again under some ruler of more humanity or of greater laxity than others their condition may be said to have for the time improved, but such changes were far too slight and their possible duration always far too uncertain for these benefits to be more to the people than as the grateful but passing pleasure a fleeting morning cloud brings to the traveller in a sunburnt desert.	true	505.82	525.61	21.611431
7437_99249_000011_000002	Hence, such as the fellaheen or peasantry were when Cheops was building his pyramid, such they remained in almost all respects down to the arrival of the French.	Hence, such as the fellaheen or peasantry were when Cheops was building his pyramid, such they remained in almost all respects down to the arrival of the French.	true	526.25	535.54	24.694818
7437_99249_000011_000003	The history of the country has, therefore, in the first two periods little to say of the people.	The history of the country has, therefore, in the first two periods little to say of the people.	true	536.6	541.12	20
7437_99249_000011_000004	In the modern period the two stories touch each other more closely, for in it the people have begun to have a political existence.	In the modern period the two stories touch each other more closely, for in it the people have begun to have a political existence.	true	541.73	548.65	22.45882
7437_99249_000011_000005	They have not, indeed, a representative government, and so they have no direct power, but they have a press, the freedom of which is absolutely unrestricted, and they have a "Legislative Council" as a body of elected representatives, through whom, though they cannot control the action of the Government, they are at least able to make their voices heard and their wishes known. More important still, they have begun to comprehend the right of a people to be governed, not only justly, but with a regard to their interests as well as to those of their rulers--a fundamental principle that in the past would have been deemed an unpardonable heresy.	They have not, indeed, a representative government, and so they have no direct power, but they have a press, the freedom of which is absolutely unrestricted, and they have a "Legislative Council" as a body of elected representatives, through whom, though they cannot control the action of the Government, they are at least able to make their voices heard and their wishes known. More important still, they have begun to comprehend the right of a people to be governed, not only justly, but with a regard to their interests as well as to those of their rulers-a fundamental principle that in the past would have been deemed an unpardonable heresy.	true	548.96	584.2	22.607601
7437_99249_000012_000000	The first step towards the realisation of this improvement, though one for long wholly unproductive of any political benefit to the people, was the Arab conquest, which by the resulting conversion of almost the whole population to the Mahomedan religion, brought about a change still fruitful in its influence upon their ideals and aspirations.	The first step towards the realisation of this improvement, though one for long wholly unproductive of any political benefit to the people, was the Arab conquest, which by the resulting conversion of almost the whole population to the Mahomedan religion, brought about a change still fruitful in its influence upon their ideals and aspirations.	false	584.84	602.32	22.036013
7437_99249_000012_000001	To fully describe the importance of this event it would be necessary to enlarge upon the character and tendency of the Mahomedan religion at a length my limits forbid, and I must here therefore content myself with noting that, great as was the moral and mental revolution this conversion occasioned, it was by no means commensurate with that which followed the introduction of Islam into other countries.	To fully describe the importance of this event it would be necessary to enlarge upon the character and tendency of the Mahomedan religion at a length my limits forbid, and I must here therefore content myself with noting that, great as was the moral and mental revolution this conversion occasioned, it was by no means commensurate with that which followed the introduction of Islam into other countries.	true	602.81	624.52	21.745628
7437_99249_000012_000002	On the everyday life of the people it seems indeed to have had but little effect other than that of altering their moral standard and modifying in some slight degree their habits and mode of living.	On the everyday life of the people it seems indeed to have had but little effect other than that of altering their moral standard and modifying in some slight degree their habits and mode of living.	false	625.04	635.32	22
7437_99249_000012_000003	It was, perhaps, inevitable that this should be so, for of all the peoples of the East the Egyptians were, and are, the least susceptible of imbibing the spirit that marked the early spread of Islam, gave it the energy that carried it to victory, and still gives it such vitality as it continues to possess.	It was, perhaps, inevitable that this should be so, for of all the peoples of the East the Egyptians were, and are, the least susceptible of imbibing the spirit that marked the early spread of Islam, gave it the energy that carried it to victory, and still gives it such vitality as it continues to possess.	false	635.36	652.42	22.974802
7437_99249_000012_000004	Christianity had been for a long time the State religion of the country, but it seems clear that the great majority of the people were never more than mere nominal followers of the Cross, and the arrival of the Arabs was, therefore, quickly succeeded by the voluntary adoption of Islam by all but the small minority to whom Christianity was something more than a name and whose descendants constitute the Coptic Church of to-day.	Christianity had been for a long time the State religion of the country, but it seems clear that the great majority of the people were never more than mere nominal followers of the Cross, and the arrival of the Arabs was, therefore, quickly succeeded by the voluntary adoption of Islam by all but the small minority to whom Christianity was something more than a name and whose descendants constitute the Coptic Church of to day.	true	652.94	675.04	21.77311
7437_99249_000012_000005	The political condition of the people was little, if at all, affected by the change in their religion; and consequently, under the Caliphs and their successors, the Egyptian continued to be as he had been before--a man with no higher ambition than that of passing through life with the least possible trouble.	The political condition of the people was little, if at all, affected by the change in their religion; and consequently, under the Caliphs and their successors, the Egyptian continued to be as he had been before-a man with no higher ambition than that of passing through life with the least possible trouble.	true	675.29	691.21	23.552706
7437_99249_000012_000006	From year to year his one prayer was for an abundant Nile and a plentiful crop, not that he might thereby enrich himself, but that he might thereby secure a sufficiency for himself and his family and suffer less from the rapacious tyranny and heartless cruelty of those never-resting oppressors, his rulers and all who, as officials or favourites, were lifted even a little above his own level.	From year to year his one prayer was for an abundant Nile and a plentiful crop, not that he might thereby enrich himself, but that he might thereby secure a sufficiency for himself and his family and suffer less from the rapacious tyranny and heartless cruelty of those never resting oppressors, his rulers and all who, as officials or favourites, were lifted even a little above his own level.	true	692.09	715.12	22.05527
7437_99249_000012_000007	It was, and is, of the essence of Islam that it appeals to freemen and favours that love of freedom that is the birthright of every man; but Islam brought no freedom to the Egyptians, save, indeed, the spiritual and moral one their rulers could not rob them of.	It was, and is, of the essence of Islam that it appeals to freemen and favours that love of freedom that is the birthright of every man; but Islam brought no freedom to the Egyptians, save, indeed, the spiritual and moral one their rulers could not rob them of.	true	715.58	730.12	21.390192
7437_99249_000012_000008	So such as he had been before, such he remained after the Arab conquest, but with a loftier sense of the dignity of manhood, a nobler conception of life and of its duties, and a stronger faith in a hereafter that should compensate him for all his sufferings and privations in this life.	So such as he had been before, such he remained after the Arab conquest, but with a loftier sense of the dignity of manhood, a nobler conception of life and of its duties, and a stronger faith in a hereafter that should compensate him for all his sufferings and privations in this life.	true	730.4	745.78	22.603712
7437_99249_000012_000009	As an individual, therefore, he was somewhat altered, but as a member of the State--if we may apply that term to one who had no political existence save that involved in yielding to his rulers the utmost pennyworth of value they could wrest from him by tyranny and cruelty--he was the same helpless, hopeless, downtrodden being, less valued and less cared for than the beasts in his fields. But the conversion of the Egyptians has filled them with that intense attachment to the faith of Islam that, shared by all Mahomedans, has given rise to the charge of fanaticism so commonly brought against them--a charge that, in the case of the Egyptians, if not wholly unjust, is too often exaggerated, although none the less there is nothing excites the wrathful passions of the people or, in milder moods, sways their actions more than their fidelity to their religion. It is the fact that this is so that renders the Arab conquest the first great landmark in the story of modern Egypt, for it is not too much to say that this attachment of the Egyptians to their faith is to the present day the most important factor with which all who are concerned in the administration of the country have to deal.	As an individual, therefore, he was somewhat altered, but as a member of the State-if we may apply that term to one who had no political existence save that involved in yielding to his rulers the utmost pennyworth of value they could wrest from him by tyranny and cruelty-he was the same helpless, hopeless, downtrodden being, less valued and less cared for than the beasts in his fields. But the conversion of the Egyptians has filled them with that intense attachment to the faith of Islam that, shared by all Mahomedans, has given rise to the charge of fanaticism so commonly brought against them-a charge that, in the case of the Egyptians, if not wholly unjust, is too often exaggerated, although none the less there is nothing excites the wrathful passions of the people or, in milder moods, sways their actions more than their fidelity to their religion. It is the fact that this is so that renders the Arab conquest the first great landmark in the story of modern Egypt, for it is not too much to say that this attachment of the Egyptians to their faith is to the present day the most important factor with which all who are concerned in the administration of the country have to deal.	false	746.18	810.58	22.357151
7437_99249_000013_000000	If socially and otherwise the Egyptians profited but little from the establishment of the Caliphate, they gained still less from the domination of the Turks.	If socially and otherwise the Egyptians profited but little from the establishment of the Caliphate, they gained still less from the domination of the Turks.	true	811.64	819.67	21.776014
7437_99249_000013_000001	To the people, indeed, this change was scarcely more than a mere nominal one.	To the people, indeed, this change was scarcely more than a mere nominal one.	true	820.04	824.02	19
7437_99249_000013_000002	It left them practically under the same rulers, for though the system of government was modified, it placed the executive power, if not in the hands of the same men as before, at least in those of men of the same stamp, who ruled them as their predecessors had done, in the same manner, through the same agents, and with the same cruelty and wanton oppression.	It left them practically under the same rulers, for though the system of government was modified, it placed the executive power, if not in the hands of the same men as before, at least in those of men of the same stamp, who ruled them as their predecessors had done, in the same manner, through the same agents, and with the same cruelty and wanton oppression.	true	824.27	842.23	21.289743
7437_99249_000013_000003	Yet the Turkish, like the Arab, conquest wrought one important effect, the influence of which time has strengthened so that it is only second to that in the urgency of its bearing upon existing conditions.	Yet the Turkish, like the Arab, conquest wrought one important effect, the influence of which time has strengthened so that it is only second to that in the urgency of its bearing upon existing conditions.	true	842.57	854.02	24.51666
7437_99249_000013_000004	Under the Arabs the Egyptians had been ruled by foreigners, but by foreigners who were in some degree allied to them.	Under the Arabs the Egyptians had been ruled by foreigners, but by foreigners who were in some degree allied to them.	true	854.66	860.71	20.437042
7437_99249_000013_000005	Under the Turks their sovereign was, and is, not only a foreigner, but one of an utterly alien race, wholly separated from them by language, character, habits, by everything, indeed, save the bond of their common religion.	Under the Turks their sovereign was, and is, not only a foreigner, but one of an utterly alien race, wholly separated from them by language, character, habits, by everything, indeed, save the bond of their common religion.	true	861.05	874.54	22.48078
7437_99249_000013_000006	None the less a spirit of loyalty to the Turkish Empire has grown and spread among the people, which, though it would be an error to credit it with the intensity popular writers of the country ascribe to it, has unquestionably a powerful influence upon the views and opinions of the great majority of the people.	None the less a spirit of loyalty to the Turkish Empire has grown and spread among the people, which, though it would be an error to credit it with the intensity popular writers of the country ascribe to it, has unquestionably a powerful influence upon the views and opinions of the great majority of the people.	false	875.06	890.59	22.395931
7437_99249_000013_000007	To Europeans this loyalty, which, it is worthy of mention here, is shared by the Moslems of India, has always appeared somewhat of an enigma.	To Europeans this loyalty, which, it is worthy of mention here, is shared by the Moslems of India, has always appeared somewhat of an enigma.	true	891.44	899.44	22.487434
7437_99249_000013_000008	No one, however, who knows the peoples of the two countries can doubt that, apart from the fact of the Sultan being the official head of their religion, their loyalty to him is largely due to the desire of peoples who have lost the place they once held in the comity of nations to associate themselves with such kindred peoples as have in some extent maintained their ancient status.	No one, however, who knows the peoples of the two countries can doubt that, apart from the fact of the Sultan being the official head of their religion, their loyalty to him is largely due to the desire of peoples who have lost the place they once held in the comity of nations to associate themselves with such kindred peoples as have in some extent maintained their ancient status.	true	899.81	919.48	20
7437_99249_000013_000009	The Indian and the Egyptian Mahomedans alike look back to the time when Islam was the one dominant, unopposable power in their native lands, and, conscious of their own fallen condition, would fain relieve the darkness of their destiny by seeking a place, however humble, within the only radiance they can claim to share.	The Indian and the Egyptian Mahomedans alike look back to the time when Islam was the one dominant, unopposable power in their native lands, and, conscious of their own fallen condition, would fain relieve the darkness of their destiny by seeking a place, however humble, within the only radiance they can claim to share.	true	920.3	938.17	21
7437_99249_000013_000010	While, therefore, the loyalty of the Egyptians to the Turkish Empire is only a part of their loyalty to their religion, it has this, from the political point of view, important difference--that it is not irrevocable, but more or less dependent upon the Sultan maintaining his political supremacy in the Mahomedan world, for should he lose the position he holds as the most powerful ruler in Islam, not only the Egyptians, but his own immediate subjects, would feel justified in transferring their allegiance to any ruler who might succeed him.	While, therefore, the loyalty of the Egyptians to the Turkish Empire is only a part of their loyalty to their religion, it has this, from the political point of view, important difference-that it is not irrevocable, but more or less dependent upon the Sultan maintaining his political supremacy in the Mahomedan world, for should he lose the position he holds as the most powerful ruler in Islam, not only the Egyptians, but his own immediate subjects, would feel justified in transferring their allegiance to any ruler who might succeed him.	true	939.02	967.72	22.134975
7437_99249_000013_000011	But absolutely as the Sultan may depend upon the loyalty of the Egyptians as against any non-Moslem Power, yet, as we shall have occasion to see, not only can he not do so as against a Moslem rival, but he can only ensure their loyalty and obedience as his subjects by ceding to conditions they hold they have a right to impose upon him.	But absolutely as the Sultan may depend upon the loyalty of the Egyptians as against any non Moslem Power, yet, as we shall have occasion to see, not only can he not do so as against a Moslem rival, but he can only ensure their loyalty and obedience as his subjects by ceding to conditions they hold they have a right to impose upon him.	false	967.79	985.75	22.176725
7437_99249_000013_000012	Were, therefore, the hopes of the large section of the Mahomedans which is filled with the desire for the restoration of an Arab Caliphate to be realised it would entirely depend upon circumstances that it is quite impossible to foresee--whether the Egyptians would or would not remain faithful to the Empire.	Were, therefore, the hopes of the large section of the Mahomedans which is filled with the desire for the restoration of an Arab Caliphate to be realised it would entirely depend upon circumstances that it is quite impossible to foresee-whether the Egyptians would or would not remain faithful to the Empire.	true	986.24	1003.03	22.070852
7437_99249_000013_000013	Meanwhile the revival of the Arabic power being a possibility too far removed from probability to take a place in the politics of the day, the loyalty of the Egyptians to the Turkish Empire must be accepted as a controlling feature in the affairs of the country.	Meanwhile the revival of the Arabic power being a possibility too far removed from probability to take a place in the politics of the day, the loyalty of the Egyptians to the Turkish Empire must be accepted as a controlling feature in the affairs of the country.	true	1004.06	1017.94	23.27015
7437_99249_000014_000000	Such, then, are the links that bind the Egypt of the present day to the Egypt of the past, but important as has been, and is, the part that the Arab and Turkish conquests have played in shaping the present and will yet have in moulding the future of the people, it was not to these events but to others occurring outside the country that we owe the inauguration of the modern period of Egyptian history.	Such, then, are the links that bind the Egypt of the present day to the Egypt of the past, but important as has been, and is, the part that the Arab and Turkish conquests have played in shaping the present and will yet have in moulding the future of the people, it was not to these events but to others occurring outside the country that we owe the inauguration of the modern period of Egyptian history.	true	1018.28	1038.7	22.44248
7437_99249_000015_000000	What these events were and how they affected the making of the Egyptian what he now is we have now to see.	What these events were and how they affected the making of the Egyptian what he now is we have now to see.	true	1039.01	1044.36	18
7437_99249_000016_000000	CHAPTER III	CHAPTER three	false	1044.36	1044.45	-7
7437_99249_000017_000000	THE DAWN OF THE NEW PERIOD	THE DAWN OF THE NEW PERIOD	false	1044.45	1044.78	-20
7437_99249_000018_000000	The period which was to be that of the regeneration of Egypt and its people was ushered in by social and political storm and tempest.	The period which was to be that of the regeneration of Egypt and its people was ushered in by social and political storm and tempest.	false	1044.78	1045.68	100
7437_99249_000018_000001	But the first warning note of its coming, after a brief moment of panic, was unheeded by the people.	But the first warning note of its coming, after a brief moment of panic, was unheeded by the people.	false	1045.68	1047.63	22.59851
7437_99249_000018_000002	Nearly three centuries had passed since the country had been invaded by an enemy.	Nearly three centuries had passed since the country had been invaded by an enemy.	false	1047.63	1049.46	19.994028
7437_99249_000018_000003	That enemy was now the sovereign Power, and under the grasping, selfish rule of its executive the trade and commerce of the country had almost entirely disappeared, and thus isolated from the rest of the world the people had no conception of the growth of the power and civilisation of the European nations.	That enemy was now the sovereign Power, and under the grasping, selfish rule of its executive the trade and commerce of the country had almost entirely disappeared, and thus isolated from the rest of the world the people had no conception of the growth of the power and civilisation of the European nations.	false	1049.46	1051.86	19.720224
7437_99249_000018_000004	They were, therefore, completely ignorant of the events and political impulses that were, though for the moment indirectly only, shaping the future that lay before them.	They were, therefore, completely ignorant of the events and political impulses that were, though for the moment indirectly only, shaping the future that lay before them.	false	1051.86	1052.4	11
