806_123715_000000_000000	VIII	eight	true	17.505	18.1	34.30621
806_123715_000003_000005	If, for instance, some day they calculate and prove to me that I made a long nose at someone because I could not help making a long nose at him and that I had to do it in that particular way, what FREEDOM is left me, especially if I am a learned man and have taken my degree somewhere?	If, for instance, some day they calculate and prove to me that I made a long nose at someone because I could not help making a long nose at him and that I had to do it in that particular way, what FREEDOM is left me, especially if I am a learned man and have taken my degree somewhere?	true	163.76	179.11	19
806_123715_000003_000006	Then I should be able to calculate my whole life for thirty years beforehand.	Then I should be able to calculate my whole life for thirty years beforehand.	true	179.57	184.06	22.422361
806_123715_000003_000007	In short, if this could be arranged there would be nothing left for us to do; anyway, we should have to understand that.	In short, if this could be arranged there would be nothing left for us to do; anyway, we should have to understand that.	true	184.13	190.75	23.272861
806_123715_000003_000008	And, in fact, we ought unwearyingly to repeat to ourselves that at such and such a time and in such and such circumstances nature does not ask our leave; that we have got to take her as she is and not fashion her to suit our fancy, and if we really aspire to formulas and tables of rules, and well, even ... to the chemical retort, there's no help for it, we must accept the retort too, or else it will be accepted without our consent...."	And, in fact, we ought unwearyingly to repeat to ourselves that at such and such a time and in such and such circumstances nature does not ask our leave; that we have got to take her as she is and not fashion her to suit our fancy, and if we really aspire to formulas and tables of rules, and well, even ... to the chemical retort, there's no help for it, we must accept the retort too, or else it will be accepted without our consent...."	true	190.88	218.5	23.82383
806_123715_000004_000000	Yes, but here I come to a stop!	Yes, but here I come to a stop!	false	220.79	223.66	24.735569
806_123715_000004_000001	Gentlemen, you must excuse me for being over-philosophical; it's the result of forty years underground! Allow me to indulge my fancy.	Gentlemen, you must excuse me for being over philosophical; it's the result of forty years underground! Allow me to indulge my fancy.	true	224.24	232.84	21.234097
806_123715_000004_000002	You see, gentlemen, reason is an excellent thing, there's no disputing that, but reason is nothing but reason and satisfies only the rational side of man's nature, while will is a manifestation of the whole life, that is, of the whole human life including reason and all the impulses.	You see, gentlemen, reason is an excellent thing, there's no disputing that, but reason is nothing but reason and satisfies only the rational side of man's nature, while will is a manifestation of the whole life, that is, of the whole human life including reason and all the impulses.	true	233.3	250.81	19.654871
806_123715_000004_000003	And although our life, in this manifestation of it, is often worthless, yet it is life and not simply extracting square roots.	And although our life, in this manifestation of it, is often worthless, yet it is life and not simply extracting square roots.	true	251.39	259.3	24.9004
806_123715_000004_000004	Here I, for instance, quite naturally want to live, in order to satisfy all my capacities for life, and not simply my capacity for reasoning, that is, not simply one twentieth of my capacity for life.	Here I, for instance, quite naturally want to live, in order to satisfy all my capacities for life, and not simply my capacity for reasoning, that is, not simply one twentieth of my capacity for life.	true	261.8	274.57	23.988464
806_123715_000004_000005	What does reason know?	What does reason know?	true	275.09	276.49	19.745451
806_123715_000004_000006	Reason only knows what it has succeeded in learning (some things, perhaps, it will never learn; this is a poor comfort, but why not say so frankly?) and human nature acts as a whole, with everything that is in it, consciously or unconsciously, and, even if it goes wrong, it lives.	Reason only knows what it has succeeded in learning (some things, perhaps, it will never learn; this is a poor comfort, but why not say so frankly?) and human nature acts as a whole, with everything that is in it, consciously or unconsciously, and, even if it goes wrong, it lives.	true	276.83	294.25	21.249874
806_123715_000004_000007	I suspect, gentlemen, that you are looking at me with compassion; you tell me again that an enlightened and developed man, such, in short, as the future man will be, cannot consciously desire anything disadvantageous to himself, that that can be proved mathematically.	I suspect, gentlemen, that you are looking at me with compassion; you tell me again that an enlightened and developed man, such, in short, as the future man will be, cannot consciously desire anything disadvantageous to himself, that that can be proved mathematically.	true	294.74	311.5	21.58902
806_123715_000004_000008	I thoroughly agree, it can--by mathematics.	I thoroughly agree, it can-by mathematics.	true	312.05	315.88	23.55253
806_123715_000004_000009	But I repeat for the hundredth time, there is one case, one only, when man may consciously, purposely, desire what is injurious to himself, what is stupid, very stupid--simply in order to have the right to desire for himself even what is very stupid and not to be bound by an obligation to desire only what is sensible.	But I repeat for the hundredth time, there is one case, one only, when man may consciously, purposely, desire what is injurious to himself, what is stupid, very stupid-simply in order to have the right to desire for himself even what is very stupid and not to be bound by an obligation to desire only what is sensible.	false	316.22	337.9	24.580854
806_123715_000004_000010	Of course, this very stupid thing, this caprice of ours, may be in reality, gentlemen, more advantageous for us than anything else on earth, especially in certain cases.	Of course, this very stupid thing, this caprice of ours, may be in reality, gentlemen, more advantageous for us than anything else on earth, especially in certain cases.	true	338.84	349.63	22.467178
806_123715_000004_000011	And in particular it may be more advantageous than any advantage even when it does us obvious harm, and contradicts the soundest conclusions of our reason concerning our advantage--for in any circumstances it preserves for us what is most precious and most important--that is, our personality, our individuality.	And in particular it may be more advantageous than any advantage even when it does us obvious harm, and contradicts the soundest conclusions of our reason concerning our advantage-for in any circumstances it preserves for us what is most precious and most important-that is, our personality, our individuality.	true	350.09	369.67	21.300493
806_123715_000004_000012	Some, you see, maintain that this really is the most precious thing for mankind; choice can, of course, if it chooses, be in agreement with reason; and especially if this be not abused but kept within bounds.	Some, you see, maintain that this really is the most precious thing for mankind; choice can, of course, if it chooses, be in agreement with reason; and especially if this be not abused but kept within bounds.	true	370.58	384.01	21.86387
806_123715_000004_000013	It is profitable and sometimes even praiseworthy.	It is profitable and sometimes even praiseworthy.	true	384.35	387.25	23.153315
806_123715_000004_000014	But very often, and even most often, choice is utterly and stubbornly opposed to reason ... and ... and ... do you know that that, too, is profitable, sometimes even praiseworthy?	But very often, and even most often, choice is utterly and stubbornly opposed to reason ... and ... and ... do you know that that, too, is profitable, sometimes even praiseworthy?	true	387.74	400.87	26.083918
806_123715_000004_000015	Gentlemen, let us suppose that man is not stupid. (Indeed one cannot refuse to suppose that, if only from the one consideration, that, if man is stupid, then who is wise?) But if he is not stupid, he is monstrously ungrateful! Phenomenally ungrateful.	Gentlemen, let us suppose that man is not stupid. (Indeed one cannot refuse to suppose that, if only from the one consideration, that, if man is stupid, then who is wise?) But if he is not stupid, he is monstrously ungrateful! Phenomenally ungrateful.	true	401.66	418.75	21.881844
806_123715_000004_000016	In fact, I believe that the best definition of man is the ungrateful biped.	In fact, I believe that the best definition of man is the ungrateful biped.	true	419	423.37	22
806_123715_000004_000017	But that is not all, that is not his worst defect; his worst defect is his perpetual moral obliquity, perpetual--from the days of the Flood to the Schleswig-Holstein period. Moral obliquity and consequently lack of good sense; for it has long been accepted that lack of good sense is due to no other cause than moral obliquity.	But that is not all, that is not his worst defect; his worst defect is his perpetual moral obliquity, perpetual-from the days of the Flood to the Schleswig Holstein period. Moral obliquity and consequently lack of good sense; for it has long been accepted that lack of good sense is due to no other cause than moral obliquity.	true	424.19	445.48	21.72023
806_123715_000004_000018	Put it to the test and cast your eyes upon the history of mankind.	Put it to the test and cast your eyes upon the history of mankind.	true	446.18	449.95	23.456474
806_123715_000004_000019	What will you see?	What will you see?	true	450.65	451.9	21.550947
806_123715_000004_000020	Is it a grand spectacle? Grand, if you like.	Is it a grand spectacle? Grand, if you like.	true	453.62	457.03	26.726162
806_123715_000004_000021	Take the Colossus of Rhodes, for instance, that's worth something.	Take the Colossus of Rhodes, for instance, that's worth something.	true	457.25	460.57	21.128134
806_123715_000004_000022	With good reason Mr. Anaevsky testifies of it that some say that it is the work of man's hands, while others maintain that it has been created by nature herself.	With good reason mr Anaevsky testifies of it that some say that it is the work of man's hands, while others maintain that it has been created by nature herself.	true	460.94	470.29	21
806_123715_000004_000023	Is it many-coloured?	Is it many coloured?	true	471.08	472.51	27.164482
806_123715_000004_000024	May be it is many-coloured, too: if one takes the dress uniforms, military and civilian, of all peoples in all ages--that alone is worth something, and if you take the undress uniforms you will never get to the end of it; no historian would be equal to the job.	May be it is many coloured, too: if one takes the dress uniforms, military and civilian, of all peoples in all ages-that alone is worth something, and if you take the undress uniforms you will never get to the end of it; no historian would be equal to the job.	true	473.12	491.895	21.586973
806_123715_000004_000025	Is it monotonous?	Is it monotonous?	true	491.895	493.18	20.99817
806_123715_000004_000026	May be it's monotonous too: it's fighting and fighting; they are fighting now, they fought first and they fought last--you will admit, that it is almost too monotonous.	May be it's monotonous too: it's fighting and fighting; they are fighting now, they fought first and they fought last-you will admit, that it is almost too monotonous.	true	494.03	504.37	21.088469
806_123715_000004_000027	In short, one may say anything about the history of the world--anything that might enter the most disordered imagination.	In short, one may say anything about the history of the world-anything that might enter the most disordered imagination.	true	505.31	511.78	22.849812
806_123715_000004_000028	The only thing one can't say is that it's rational.	The only thing one can't say is that it's rational.	true	512.3	515.23	22.356586
806_123715_000004_000029	The very word sticks in one's throat.	The very word sticks in one's throat.	true	515.72	518.11	20.796864
806_123715_000004_000030	And, indeed, this is the odd thing that is continually happening: there are continually turning up in life moral and rational persons, sages and lovers of humanity who make it their object to live all their lives as morally and rationally as possible, to be, so to speak, a light to their neighbours simply in order to show them that it is possible to live morally and rationally in this world.	And, indeed, this is the odd thing that is continually happening: there are continually turning up in life moral and rational persons, sages and lovers of humanity who make it their object to live all their lives as morally and rationally as possible, to be, so to speak, a light to their neighbours simply in order to show them that it is possible to live morally and rationally in this world.	true	518.6	541.9	20
806_123715_000004_000031	And yet we all know that those very people sooner or later have been false to themselves, playing some queer trick, often a most unseemly one.	And yet we all know that those very people sooner or later have been false to themselves, playing some queer trick, often a most unseemly one.	true	542.69	554.19	22.419598
806_123715_000004_000032	Now I ask you: what can be expected of man since he is a being endowed with strange qualities?	Now I ask you: what can be expected of man since he is a being endowed with strange qualities?	true	554.19	560.23	22.977158
806_123715_000004_000033	Shower upon him every earthly blessing, drown him in a sea of happiness, so that nothing but bubbles of bliss can be seen on the surface; give him economic prosperity, such that he should have nothing else to do but sleep, eat cakes and busy himself with the continuation of his species, and even then out of sheer ingratitude, sheer spite, man would play you some nasty trick.	Shower upon him every earthly blessing, drown him in a sea of happiness, so that nothing but bubbles of bliss can be seen on the surface; give him economic prosperity, such that he should have nothing else to do but sleep, eat cakes and busy himself with the continuation of his species, and even then out of sheer ingratitude, sheer spite, man would play you some nasty trick.	false	560.99	587.95	23.159819
806_123715_000004_000034	He would even risk his cakes and would deliberately desire the most fatal rubbish, the most uneconomical absurdity, simply to introduce into all this positive good sense his fatal fantastic element.	He would even risk his cakes and would deliberately desire the most fatal rubbish, the most uneconomical absurdity, simply to introduce into all this positive good sense his fatal fantastic element.	true	588.47	601.84	21.652527
806_123715_000004_000035	It is just his fantastic dreams, his vulgar folly that he will desire to retain, simply in order to prove to himself--as though that were so necessary--that men still are men and not the keys of a piano, which the laws of nature threaten to control so completely that soon one will be able to desire nothing but by the calendar.	It is just his fantastic dreams, his vulgar folly that he will desire to retain, simply in order to prove to himself-as though that were so necessary-that men still are men and not the keys of a piano, which the laws of nature threaten to control so completely that soon one will be able to desire nothing but by the calendar.	true	602.18	622.45	21
806_123715_000004_000036	And that is not all: even if man really were nothing but a piano-key, even if this were proved to him by natural science and mathematics, even then he would not become reasonable, but would purposely do something perverse out of simple ingratitude, simply to gain his point.	And that is not all: even if man really were nothing but a piano key, even if this were proved to him by natural science and mathematics, even then he would not become reasonable, but would purposely do something perverse out of simple ingratitude, simply to gain his point.	true	624.08	641.44	21.446173
806_123715_000004_000037	And if he does not find means he will contrive destruction and chaos, will contrive sufferings of all sorts, only to gain his point!	And if he does not find means he will contrive destruction and chaos, will contrive sufferings of all sorts, only to gain his point!	true	642.53	652.27	21.925001
806_123715_000004_000038	He will launch a curse upon the world, and as only man can curse (it is his privilege, the primary distinction between him and other animals), may be by his curse alone he will attain his object--that is, convince himself that he is a man and not a piano-key!	He will launch a curse upon the world, and as only man can curse (it is his privilege, the primary distinction between him and other animals), may be by his curse alone he will attain his object-that is, convince himself that he is a man and not a piano key!	true	652.97	671.29	22.067968
806_123715_000004_000039	If you say that all this, too, can be calculated and tabulated--chaos and darkness and curses, so that the mere possibility of calculating it all beforehand would stop it all, and reason would reassert itself, then man would purposely go mad in order to be rid of reason and gain his point!	If you say that all this, too, can be calculated and tabulated-chaos and darkness and curses, so that the mere possibility of calculating it all beforehand would stop it all, and reason would reassert itself, then man would purposely go mad in order to be rid of reason and gain his point!	true	671.36	689.74	20.510036
806_123715_000004_000040	I believe in it, I answer for it, for the whole work of man really seems to consist in nothing but proving to himself every minute that he is a man and not a piano-key!	I believe in it, I answer for it, for the whole work of man really seems to consist in nothing but proving to himself every minute that he is a man and not a piano key!	true	690.83	701.32	23.777891
806_123715_000004_000041	It may be at the cost of his skin, it may be by cannibalism!	It may be at the cost of his skin, it may be by cannibalism!	true	702.11	706.39	25.234983
806_123715_000004_000042	And this being so, can one help being tempted to rejoice that it has not yet come off, and that desire still depends on something we don't know?	And this being so, can one help being tempted to rejoice that it has not yet come off, and that desire still depends on something we don't know?	false	706.73	716.8	21.67808
806_123715_000005_000000	You will scream at me (that is, if you condescend to do so) that no one is touching my free will, that all they are concerned with is that my will should of itself, of its own free will, coincide with my own normal interests, with the laws of nature and arithmetic.	You will scream at me (that is, if you condescend to do so) that no one is touching my free will, that all they are concerned with is that my will should of itself, of its own free will, coincide with my own normal interests, with the laws of nature and arithmetic.	false	717.74	733.72	22.517866
806_123715_000006_000000	Good heavens, gentlemen, what sort of free will is left when we come to tabulation and arithmetic, when it will all be a case of twice two make four?	Good heavens, gentlemen, what sort of free will is left when we come to tabulation and arithmetic, when it will all be a case of twice two make four?	true	734.66	744.37	21.468813
806_123715_000006_000001	Twice two makes four without my will.	Twice two makes four without my will.	true	744.89	747.67	24.15842
806_123715_000006_000002	As if free will meant that!	As if free will meant that!	true	747.77	750.09	25.078434
806_123715_000007_000000	IX	IX	false	750.09	750.15	-20
806_123715_000008_000000	Gentlemen, I am joking, and I know myself that my jokes are not brilliant, but you know one can take everything as a joke.	Gentlemen, I am joking, and I know myself that my jokes are not brilliant, but you know one can take everything as a joke.	false	750.15	751.68	-20
806_123715_000008_000001	I am, perhaps, jesting against the grain.	I am, perhaps, jesting against the grain.	false	751.68	752.1	-20
806_123715_000008_000002	Gentlemen, I am tormented by questions; answer them for me.	Gentlemen, I am tormented by questions; answer them for me.	false	752.1	752.76	-20
806_123715_000008_000003	You, for instance, want to cure men of their old habits and reform their will in accordance with science and good sense.	You, for instance, want to cure men of their old habits and reform their will in accordance with science and good sense.	false	752.76	753.51	21.423992
806_123715_000008_000004	But how do you know, not only that it is possible, but also that it is DESIRABLE to reform man in that way?	But how do you know, not only that it is possible, but also that it is DESIRABLE to reform man in that way?	false	753.51	753.57	14
806_123715_000008_000005	And what leads you to the conclusion that man's inclinations NEED reforming?	And what leads you to the conclusion that man's inclinations NEED reforming?	false	753.57	753.6	2
806_123715_000008_000006	In short, how do you know that such a reformation will be a benefit to man?	In short, how do you know that such a reformation will be a benefit to man?	false	753.6	753.63	-3
806_123715_000008_000007	And to go to the root of the matter, why are you so positively convinced that not to act against his real normal interests guaranteed by the conclusions of reason and arithmetic is certainly always advantageous for man and must always be a law for mankind?	And to go to the root of the matter, why are you so positively convinced that not to act against his real normal interests guaranteed by the conclusions of reason and arithmetic is certainly always advantageous for man and must always be a law for mankind?	false	753.63	753.69	17
806_123715_000008_000008	So far, you know, this is only your supposition.	So far, you know, this is only your supposition.	false	753.69	753.72	-20
806_123715_000008_000009	It may be the law of logic, but not the law of humanity.	It may be the law of logic, but not the law of humanity.	false	753.72	753.75	-20
806_123715_000008_000010	You think, gentlemen, perhaps that I am mad?	You think, gentlemen, perhaps that I am mad?	false	753.75	753.75	
806_123715_000008_000011	Allow me to defend myself.	Allow me to defend myself.	false	753.75	753.78	-20
806_123715_000008_000012	I agree that man is pre-eminently a creative animal, predestined to strive consciously for an object and to engage in engineering--that is, incessantly and eternally to make new roads, WHEREVER THEY MAY LEAD.	I agree that man is pre eminently a creative animal, predestined to strive consciously for an object and to engage in engineering-that is, incessantly and eternally to make new roads, WHEREVER THEY MAY LEAD.	false	753.78	753.84	7
806_123715_000008_000013	But the reason why he wants sometimes to go off at a tangent may just be that he is PREDESTINED to make the road, and perhaps, too, that however stupid the "direct" practical man may be, the thought sometimes will occur to him that the road almost always does lead SOMEWHERE, and that the destination it leads to is less important than the process of making it, and that the chief thing is to save the well-conducted child from despising engineering, and so giving way to the fatal idleness, which, as we all know, is the mother of all the vices.	But the reason why he wants sometimes to go off at a tangent may just be that he is PREDESTINED to make the road, and perhaps, too, that however stupid the "direct" practical man may be, the thought sometimes will occur to him that the road almost always does lead SOMEWHERE, and that the destination it leads to is less important than the process of making it, and that the chief thing is to save the well conducted child from despising engineering, and so giving way to the fatal idleness, which, as we all know, is the mother of all the vices.	false	753.84	754.02	11
806_123715_000008_000014	Man likes to make roads and to create, that is a fact beyond dispute.	Man likes to make roads and to create, that is a fact beyond dispute.	false	754.02	754.05	-20
806_123715_000008_000015	But why has he such a passionate love for destruction and chaos also?	But why has he such a passionate love for destruction and chaos also?	false	754.05	754.08	-1
806_123715_000008_000016	Tell me that!	Tell me that!	false	754.08	754.08	
806_123715_000008_000017	But on that point I want to say a couple of words myself.	But on that point I want to say a couple of words myself.	false	754.08	754.11	-4
806_123715_000008_000018	May it not be that he loves chaos and destruction (there can be no disputing that he does sometimes love it) because he is instinctively afraid of attaining his object and completing the edifice he is constructing?	May it not be that he loves chaos and destruction (there can be no disputing that he does sometimes love it) because he is instinctively afraid of attaining his object and completing the edifice he is constructing?	false	754.11	754.17	1
806_123715_000008_000019	Who knows, perhaps he only loves that edifice from a distance, and is by no means in love with it at close quarters; perhaps he only loves building it and does not want to live in it, but will leave it, when completed, for the use of LES ANIMAUX DOMESTIQUES--such as the ants, the sheep, and so on.	Who knows, perhaps he only loves that edifice from a distance, and is by no means in love with it at close quarters; perhaps he only loves building it and does not want to live in it, but will leave it, when completed, for the use of LES a n i m a u x d o m e s t i q u e s-such as the ants, the sheep, and so on.	false	754.17	754.32	8
806_123715_000008_000020	Now the ants have quite a different taste.	Now the ants have quite a different taste.	false	754.32	754.32	
806_123715_000008_000021	They have a marvellous edifice of that pattern which endures for ever--the ant-heap.	They have a marvellous edifice of that pattern which endures for ever-the ant heap.	false	754.32	754.35	-20
