7117_86710_000000_000000	"So far, then," said Danglars, mentally, "all has gone as I would have it.	"So far, then," said Danglars, mentally, "all has gone as I would have it.	false	0	1.44	25.004662
7117_86710_000006_000000	An old man, decorated with the cross of Saint Louis, now rose and proposed the health of King Louis XVIII.	An old man, decorated with the cross of Saint Louis, now rose and proposed the health of King Louis the eighteenth.	false	152.9	159.66	18.400446
7117_86710_000006_000001	It was the Marquis de Saint-Meran.	It was the Marquis de Saint Meran.	false	159.66	162.39	21.304958
7117_86710_000006_000002	This toast, recalling at once the patient exile of Hartwell and the peace-loving King of France, excited universal enthusiasm; glasses were elevated in the air a l'Anglais, and the ladies, snatching their bouquets from their fair bosoms, strewed the table with their floral treasures.	This toast, recalling at once the patient exile of Hartwell and the peace loving King of France, excited universal enthusiasm; glasses were elevated in the air a l'Anglais, and the ladies, snatching their bouquets from their fair bosoms, strewed the table with their floral treasures.	true	162.39	178.69	20.467756
7117_86710_000006_000003	In a word, an almost poetical fervor prevailed.	In a word, an almost poetical fervor prevailed.	true	179.12	182.23	23.627098
7117_86710_000007_000000	"Ah," said the Marquise de Saint-Meran, a woman with a stern, forbidding eye, though still noble and distinguished in appearance, despite her fifty years--"ah, these revolutionists, who have driven us from those very possessions they afterwards purchased for a mere trifle during the Reign of Terror, would be compelled to own, were they here, that all true devotion was on our side, since we were content to follow the fortunes of a falling monarch, while they, on the contrary, made their fortune by worshipping the rising sun; yes, yes, they could not help admitting that the king, for whom we sacrificed rank, wealth, and station was truly our 'Louis the well-beloved,' while their wretched usurper his been, and ever will be, to them their evil genius, their 'Napoleon the accursed.' Am I not right, Villefort?"	"Ah," said the Marquise de Saint Meran, a woman with a stern, forbidding eye, though still noble and distinguished in appearance, despite her fifty years-"ah, these revolutionists, who have driven us from those very possessions they afterwards purchased for a mere trifle during the Reign of Terror, would be compelled to own, were they here, that all true devotion was on our side, since we were content to follow the fortunes of a falling monarch, while they, on the contrary, made their fortune by worshipping the rising sun; yes, yes, they could not help admitting that the king, for whom we sacrificed rank, wealth, and station was truly our 'Louis the well beloved,' while their wretched usurper his been, and ever will be, to them their evil genius, their 'Napoleon the accursed.' Am I not right, Villefort?"	false	183.86	234.9	21.585596
7117_86710_000008_000000	"I beg your pardon, madame.	"I beg your pardon, madame.	true	234.9	236.32	23.612473
7117_86710_000008_000001	I really must pray you to excuse me, but--in truth--I was not attending to the conversation."	I really must pray you to excuse me, but-in truth-I was not attending to the conversation."	true	236.42	241.78	22.672039
7117_86710_000009_000000	"Marquise, marquise!" interposed the old nobleman who had proposed the toast, "let the young people alone; let me tell you, on one's wedding day there are more agreeable subjects of conversation than dry politics."	"Marquise, marquise!" interposed the old nobleman who had proposed the toast, "let the young people alone; let me tell you, on one's wedding day there are more agreeable subjects of conversation than dry politics."	true	242.72	257.17	20.970194
7117_86710_000010_000000	"Never mind, dearest mother," said a young and lovely girl, with a profusion of light brown hair, and eyes that seemed to float in liquid crystal, "'tis all my fault for seizing upon M. de Villefort, so as to prevent his listening to what you said.	"Never mind, dearest mother," said a young and lovely girl, with a profusion of light brown hair, and eyes that seemed to float in liquid crystal, "'tis all my fault for seizing upon m de Villefort, so as to prevent his listening to what you said.	false	257.51	271.99	21.161955
7117_86710_000010_000001	But there--now take him--he is your own for as long as you like.	But there-now take him-he is your own for as long as you like.	false	272.51	277.32	23.37821
7117_86710_000010_000002	M. Villefort, I beg to remind you my mother speaks to you."	M. Villefort, I beg to remind you my mother speaks to you."	false	277.32	280.51	19
7117_86710_000011_000000	"If the marquise will deign to repeat the words I but imperfectly caught, I shall be delighted to answer," said M. de Villefort.	"If the marquise will deign to repeat the words I but imperfectly caught, I shall be delighted to answer," said m de Villefort.	false	282.26	290.28	23.726076
7117_86710_000012_000000	"Never mind, Renee," replied the marquise, with a look of tenderness that seemed out of keeping with her harsh dry features; but, however all other feelings may be withered in a woman's nature, there is always one bright smiling spot in the desert of her heart, and that is the shrine of maternal love.	"Never mind, Renee," replied the marquise, with a look of tenderness that seemed out of keeping with her harsh dry features; but, however all other feelings may be withered in a woman's nature, there is always one bright smiling spot in the desert of her heart, and that is the shrine of maternal love.	true	290.28	306.64	21.480139
7117_86710_000012_000001	"I forgive you.	"I forgive you.	true	306.74	307.9	22.293854
7117_86710_000012_000002	What I was saying, Villefort, was, that the Bonapartists had not our sincerity, enthusiasm, or devotion."	What I was saying, Villefort, was, that the Bonapartists had not our sincerity, enthusiasm, or devotion."	false	308.36	314.56	20.19418
7117_86710_000013_000000	"They had, however, what supplied the place of those fine qualities," replied the young man, "and that was fanaticism.	"They had, however, what supplied the place of those fine qualities," replied the young man, "and that was fanaticism.	true	316.19	322.81	20.551065
7117_86710_000013_000001	Napoleon is the Mahomet of the West, and is worshipped by his commonplace but ambitions followers, not only as a leader and lawgiver, but also as the personification of equality."	Napoleon is the Mahomet of the West, and is worshipped by his commonplace but ambitions followers, not only as a leader and lawgiver, but also as the personification of equality."	true	322.91	333.25	21.758125
7117_86710_000014_000000	"He!" cried the marquise: "Napoleon the type of equality!	"He!" cried the marquise: "Napoleon the type of equality!	true	334.58	338.83	26.9244
7117_86710_000014_000001	For mercy's sake, then, what would you call Robespierre?	For mercy's sake, then, what would you call Robespierre?	true	338.93	342.04	19.927523
7117_86710_000014_000002	Come, come, do not strip the latter of his just rights to bestow them on the Corsican, who, to my mind, has usurped quite enough."	Come, come, do not strip the latter of his just rights to bestow them on the Corsican, who, to my mind, has usurped quite enough."	true	342.35	349.87	23.717997
7117_86710_000015_000000	"Nay, madame; I would place each of these heroes on his right pedestal--that of Robespierre on his scaffold in the Place Louis Quinze; that of Napoleon on the column of the Place Vendome.	"Nay, madame; I would place each of these heroes on his right pedestal-that of Robespierre on his scaffold in the Place Louis Quinze; that of Napoleon on the column of the Place Vendome.	false	351.83	363.28	21.940128
7117_86710_000015_000001	The only difference consists in the opposite character of the equality advocated by these two men; one is the equality that elevates, the other is the equality that degrades; one brings a king within reach of the guillotine, the other elevates the people to a level with the throne.	The only difference consists in the opposite character of the equality advocated by these two men; one is the equality that elevates, the other is the equality that degrades; one brings a king within reach of the guillotine, the other elevates the people to a level with the throne.	true	363.89	380.76	21.58656
7117_86710_000015_000002	Observe," said Villefort, smiling, "I do not mean to deny that both these men were revolutionary scoundrels, and that the 9th Thermidor and the 4th of April, in the year 1814, were lucky days for France, worthy of being gratefully remembered by every friend to monarchy and civil order; and that explains how it comes to pass that, fallen, as I trust he is forever, Napoleon has still retained a train of parasitical satellites. Still, marquise, it has been so with other usurpers--Cromwell, for instance, who was not half so bad as Napoleon, had his partisans and advocates."	Observe," said Villefort, smiling, "I do not mean to deny that both these men were revolutionary scoundrels, and that the ninth Thermidor and the fourth of April, in the year eighteen fourteen, were lucky days for France, worthy of being gratefully remembered by every friend to monarchy and civil order; and that explains how it comes to pass that, fallen, as I trust he is forever, Napoleon has still retained a train of parasitical satellites. Still, marquise, it has been so with other usurpers-Cromwell, for instance, who was not half so bad as Napoleon, had his partisans and advocates."	false	380.76	417.22	21.56359
7117_86710_000016_000000	"Do you know, Villefort, that you are talking in a most dreadfully revolutionary strain?	"Do you know, Villefort, that you are talking in a most dreadfully revolutionary strain?	false	418.76	423.19	20.901293
7117_86710_000016_000001	But I excuse it, it is impossible to expect the son of a Girondin to be free from a small spice of the old leaven." A deep crimson suffused the countenance of Villefort.	But I excuse it, it is impossible to expect the son of a Girondin to be free from a small spice of the old leaven." A deep crimson suffused the countenance of Villefort.	false	423.5	434.64	20.621592
7117_86710_000017_000000	"'Tis true, madame," answered he, "that my father was a Girondin, but he was not among the number of those who voted for the king's death; he was an equal sufferer with yourself during the Reign of Terror, and had well-nigh lost his head on the same scaffold on which your father perished."	"'tis true, madame," answered he, "that my father was a Girondin, but he was not among the number of those who voted for the king's death; he was an equal sufferer with yourself during the Reign of Terror, and had well nigh lost his head on the same scaffold on which your father perished."	true	434.64	451.33	21.370972
7117_86710_000018_000000	"True," replied the marquise, without wincing in the slightest degree at the tragic remembrance thus called up; "but bear in mind, if you please, that our respective parents underwent persecution and proscription from diametrically opposite principles; in proof of which I may remark, that while my family remained among the stanchest adherents of the exiled princes, your father lost no time in joining the new government; and that while the Citizen Noirtier was a Girondin, the Count Noirtier became a senator."	"True," replied the marquise, without wincing in the slightest degree at the tragic remembrance thus called up; "but bear in mind, if you please, that our respective parents underwent persecution and proscription from diametrically opposite principles; in proof of which I may remark, that while my family remained among the stanchest adherents of the exiled princes, your father lost no time in joining the new government; and that while the Citizen Noirtier was a Girondin, the Count Noirtier became a senator."	false	452.45	482.71	21.877565
7117_86710_000019_000000	"Dear mother," interposed Renee, "you know very well it was agreed that all these disagreeable reminiscences should forever be laid aside."	"Dear mother," interposed Renee, "you know very well it was agreed that all these disagreeable reminiscences should forever be laid aside."	true	484.25	492.43	21.137474
7117_86710_000020_000000	"Suffer me, also, madame," replied Villefort, "to add my earnest request to Mademoiselle de Saint-Meran's, that you will kindly allow the veil of oblivion to cover and conceal the past.	"Suffer me, also, madame," replied Villefort, "to add my earnest request to Mademoiselle de Saint Meran's, that you will kindly allow the veil of oblivion to cover and conceal the past.	false	494.36	505.03	20.104103
7117_86710_000020_000001	What avails recrimination over matters wholly past recall?	What avails recrimination over matters wholly past recall?	true	505.55	509.02	21.68453
7117_86710_000020_000002	For my own part, I have laid aside even the name of my father, and altogether disown his political principles.	For my own part, I have laid aside even the name of my father, and altogether disown his political principles.	true	509.48	515.68	18
7117_86710_000020_000003	He was--nay, probably may still be--a Bonapartist, and is called Noirtier; I, on the contrary, am a stanch royalist, and style myself de Villefort. Let what may remain of revolutionary sap exhaust itself and die away with the old trunk, and condescend only to regard the young shoot which has started up at a distance from the parent tree, without having the power, any more than the wish, to separate entirely from the stock from which it sprung."	He was-nay, probably may still be-a Bonapartist, and is called Noirtier; I, on the contrary, am a stanch royalist, and style myself de Villefort. Let what may remain of revolutionary sap exhaust itself and die away with the old trunk, and condescend only to regard the young shoot which has started up at a distance from the parent tree, without having the power, any more than the wish, to separate entirely from the stock from which it sprung."	false	516.2	544.3	21.756458
7117_86710_000021_000000	"Bravo, Villefort!" cried the marquis; "excellently well said!	"Bravo, Villefort!" cried the marquis; "excellently well said!	false	545.72	550.095	23.681854
7117_86710_000021_000001	Come, now, I have hopes of obtaining what I have been for years endeavoring to persuade the marquise to promise; namely, a perfect amnesty and forgetfulness of the past."	Come, now, I have hopes of obtaining what I have been for years endeavoring to persuade the marquise to promise; namely, a perfect amnesty and forgetfulness of the past."	true	550.095	559.84	22.461088
7117_86710_000022_000000	"With all my heart," replied the marquise; "let the past be forever forgotten.	"With all my heart," replied the marquise; "let the past be forever forgotten.	true	561.29	566.41	23.731375
7117_86710_000022_000001	I promise you it affords me as little pleasure to revive it as it does you.	I promise you it affords me as little pleasure to revive it as it does you.	true	566.6	570.82	20
7117_86710_000022_000002	All I ask is, that Villefort will be firm and inflexible for the future in his political principles.	All I ask is, that Villefort will be firm and inflexible for the future in his political principles.	false	571.28	577.06	20
7117_86710_000022_000003	Remember, also, Villefort, that we have pledged ourselves to his majesty for your fealty and strict loyalty, and that at our recommendation the king consented to forget the past, as I do" (and here she extended to him her hand)--"as I now do at your entreaty.	Remember, also, Villefort, that we have pledged ourselves to his majesty for your fealty and strict loyalty, and that at our recommendation the king consented to forget the past, as I do" (and here she extended to him her hand)--"as I now do at your entreaty.	false	577.58	593.83	20.895773
7117_86710_000022_000004	But bear in mind, that should there fall in your way any one guilty of conspiring against the government, you will be so much the more bound to visit the offence with rigorous punishment, as it is known you belong to a suspected family."	But bear in mind, that should there fall in your way any one guilty of conspiring against the government, you will be so much the more bound to visit the offence with rigorous punishment, as it is known you belong to a suspected family."	false	594.11	607.48	21.199125
7117_86710_000023_000000	"Alas, madame," returned Villefort, "my profession, as well as the times in which we live, compels me to be severe.	"Alas, madame," returned Villefort, "my profession, as well as the times in which we live, compels me to be severe.	false	608.87	616.48	22.60018
7117_86710_000023_000001	I have already successfully conducted several public prosecutions, and brought the offenders to merited punishment.	I have already successfully conducted several public prosecutions, and brought the offenders to merited punishment.	true	617.03	623.77	22.242916
7117_86710_000023_000002	But we have not done with the thing yet."	But we have not done with the thing yet."	true	623.99	626.38	23.5733
7117_86710_000024_000000	"Do you, indeed, think so?" inquired the marquise.	"Do you, indeed, think so?" inquired the marquise.	true	628.1	631.21	23.964767
7117_86710_000025_000000	"I am, at least, fearful of it.	"I am, at least, fearful of it.	true	631.79	633.91	19.328789
7117_86710_000025_000001	Napoleon, in the Island of Elba, is too near France, and his proximity keeps up the hopes of his partisans. Marseilles is filled with half-pay officers, who are daily, under one frivolous pretext or other, getting up quarrels with the royalists; from hence arise continual and fatal duels among the higher classes of persons, and assassinations in the lower."	Napoleon, in the Island of Elba, is too near France, and his proximity keeps up the hopes of his partisans. Marseilles is filled with half pay officers, who are daily, under one frivolous pretext or other, getting up quarrels with the royalists; from hence arise continual and fatal duels among the higher classes of persons, and assassinations in the lower."	true	634.1	655.45	21.377851
7117_86710_000026_000000	"You have heard, perhaps," said the Comte de Salvieux, one of M. de Saint-Meran's oldest friends, and chamberlain to the Comte d'Artois, "that the Holy Alliance purpose removing him from thence?"	"You have heard, perhaps," said the Comte de Salvieux, one of m de Saint Meran's oldest friends, and chamberlain to the Comte d'Artois, "that the Holy Alliance purpose removing him from thence?"	false	656.87	668.98	20.351263
7117_86710_000027_000000	"Yes; they were talking about it when we left Paris," said M. de Saint-Meran; "and where is it decided to transfer him?"	"Yes; they were talking about it when we left Paris," said m de Saint Meran; "and where is it decided to transfer him?"	false	670.01	677.32	20.647705
7117_86710_000028_000000	"To Saint Helena."	"To Saint Helena."	true	678.38	679.63	22.056774
7117_86710_000029_000000	"For heaven's sake, where is that?" asked the marquise.	"For heaven's sake, where is that?" asked the marquise.	true	680.72	684.28	25.7203
7117_86710_000030_000000	"An island situated on the other side of the equator, at least two thousand leagues from here," replied the count.	"An island situated on the other side of the equator, at least two thousand leagues from here," replied the count.	true	684.74	691.15	20.939964
7117_86710_000031_000000	"So much the better.	"So much the better.	true	692.15	693.285	21.243618
7117_86710_000031_000001	As Villefort observes, it is a great act of folly to have left such a man between Corsica, where he was born, and Naples, of which his brother-in-law is king, and face to face with Italy, the sovereignty of which he coveted for his son."	As Villefort observes, it is a great act of folly to have left such a man between Corsica, where he was born, and Naples, of which his brother in law is king, and face to face with Italy, the sovereignty of which he coveted for his son."	false	693.285	706.84	21.341373
7117_86710_000032_000000	"Unfortunately," said Villefort, "there are the treaties of 1814, and we cannot molest Napoleon without breaking those compacts."	"Unfortunately," said Villefort, "there are the treaties of eighteen fourteen, and we cannot molest Napoleon without breaking those compacts."	false	709.37	716.98	22.444225
7117_86710_000033_000000	"Oh, well, we shall find some way out of it," responded M. de Salvieux. "There wasn't any trouble over treaties when it was a question of shooting the poor Duc d'Enghien."	"Oh, well, we shall find some way out of it," responded m de Salvieux. "There wasn't any trouble over treaties when it was a question of shooting the poor Duc d'Enghien."	false	718.01	729.39	19.546217
7117_86710_000034_000000	"Well," said the marquise, "it seems probable that, by the aid of the Holy Alliance, we shall be rid of Napoleon; and we must trust to the vigilance of M. de Villefort to purify Marseilles of his partisans.	"Well," said the marquise, "it seems probable that, by the aid of the Holy Alliance, we shall be rid of Napoleon; and we must trust to the vigilance of m de Villefort to purify Marseilles of his partisans.	false	729.39	742.18	21.375355
7117_86710_000034_000001	The king is either a king or no king; if he be acknowledged as sovereign of France, he should be upheld in peace and tranquillity; and this can best be effected by employing the most inflexible agents to put down every attempt at conspiracy--'tis the best and surest means of preventing mischief."	The king is either a king or no king; if he be acknowledged as sovereign of France, he should be upheld in peace and tranquillity; and this can best be effected by employing the most inflexible agents to put down every attempt at conspiracy-'tis the best and surest means of preventing mischief."	false	742.82	760.21	21.97985
7117_86710_000035_000000	"Unfortunately, madame," answered Villefort, "the strong arm of the law is not called upon to interfere until the evil has taken place."	"Unfortunately, madame," answered Villefort, "the strong arm of the law is not called upon to interfere until the evil has taken place."	false	761.66	769.75	21.58352
7117_86710_000036_000000	"Then all he has got to do is to endeavor to repair it."	"Then all he has got to do is to endeavor to repair it."	true	770.72	774.43	22.971003
7117_86710_000037_000000	"Nay, madame, the law is frequently powerless to effect this; all it can do is to avenge the wrong done."	"Nay, madame, the law is frequently powerless to effect this; all it can do is to avenge the wrong done."	true	775.1	782.865	21.565977
7117_86710_000038_000000	"Oh, M. de Villefort," cried a beautiful young creature, daughter to the Comte de Salvieux, and the cherished friend of Mademoiselle de Saint-Meran, "do try and get up some famous trial while we are at Marseilles.	"Oh, m de Villefort," cried a beautiful young creature, daughter to the Comte de Salvieux, and the cherished friend of Mademoiselle de Saint Meran, "do try and get up some famous trial while we are at Marseilles.	false	782.865	794.95	21.865896
7117_86710_000038_000001	I never was in a law-court; I am told it is so very amusing!"	I never was in a law court; I am told it is so very amusing!"	false	795.26	799.51	21.686573
7117_86710_000039_000000	"Amusing, certainly," replied the young man, "inasmuch as, instead of shedding tears as at the fictitious tale of woe produced at a theatre, you behold in a law-court a case of real and genuine distress--a drama of life.	"Amusing, certainly," replied the young man, "inasmuch as, instead of shedding tears as at the fictitious tale of woe produced at a theatre, you behold in a law court a case of real and genuine distress-a drama of life.	true	800.96	815.35	21.299187
7117_86710_000039_000001	The prisoner whom you there see pale, agitated, and alarmed, instead of--as is the case when a curtain falls on a tragedy--going home to sup peacefully with his family, and then retiring to rest, that he may recommence his mimic woes on the morrow,--is removed from your sight merely to be reconducted to his prison and delivered up to the executioner.	The prisoner whom you there see pale, agitated, and alarmed, instead of-as is the case when a curtain falls on a tragedy-going home to sup peacefully with his family, and then retiring to rest, that he may recommence his mimic woes on the morrow,--is removed from your sight merely to be reconducted to his prison and delivered up to the executioner.	true	815.84	836.35	22.533045
7117_86710_000039_000002	I leave you to judge how far your nerves are calculated to bear you through such a scene.	I leave you to judge how far your nerves are calculated to bear you through such a scene.	true	836.63	841.24	21.603714
7117_86710_000039_000003	Of this, however, be assured, that should any favorable opportunity present itself, I will not fail to offer you the choice of being present."	Of this, however, be assured, that should any favorable opportunity present itself, I will not fail to offer you the choice of being present."	true	841.67	849.1	21.023594
7117_86710_000040_000000	"For shame, M. de Villefort!" said Renee, becoming quite pale; "don't you see how you are frightening us?--and yet you laugh."	"For shame, m de Villefort!" said Renee, becoming quite pale; "don't you see how you are frightening us?--and yet you laugh."	false	850.49	858.79	21.548449
7117_86710_000041_000000	"What would you have?	"What would you have?	true	860.09	861.37	20.928106
7117_86710_000041_000001	'Tis like a duel.	'tis like a duel.	true	861.41	862.63	23.46882
7117_86710_000041_000002	I have already recorded sentence of death, five or six times, against the movers of political conspiracies, and who can say how many daggers may be ready sharpened, and only waiting a favorable opportunity to be buried in my heart?"	I have already recorded sentence of death, five or six times, against the movers of political conspiracies, and who can say how many daggers may be ready sharpened, and only waiting a favorable opportunity to be buried in my heart?"	true	862.76	875.32	20
7117_86710_000042_000000	"Gracious heavens, M. de Villefort," said Renee, becoming more and more terrified; "you surely are not in earnest."	"Gracious heavens, m de Villefort," said Renee, becoming more and more terrified; "you surely are not in earnest."	false	875.87	883.6	20.95756
7117_86710_000043_000000	"Indeed I am," replied the young magistrate with a smile; "and in the interesting trial that young lady is anxious to witness, the case would only be still more aggravated.	"Indeed I am," replied the young magistrate with a smile; "and in the interesting trial that young lady is anxious to witness, the case would only be still more aggravated.	true	884.66	894.46	19.998413
7117_86710_000043_000001	Suppose, for instance, the prisoner, as is more than probable, to have served under Napoleon--well, can you expect for an instant, that one accustomed, at the word of his commander, to rush fearlessly on the very bayonets of his foe, will scruple more to drive a stiletto into the heart of one he knows to be his personal enemy, than to slaughter his fellow-creatures, merely because bidden to do so by one he is bound to obey?	Suppose, for instance, the prisoner, as is more than probable, to have served under Napoleon-well, can you expect for an instant, that one accustomed, at the word of his commander, to rush fearlessly on the very bayonets of his foe, will scruple more to drive a stiletto into the heart of one he knows to be his personal enemy, than to slaughter his fellow creatures, merely because bidden to do so by one he is bound to obey?	false	894.95	918.55	21.955957
7117_86710_000043_000002	Besides, one requires the excitement of being hateful in the eyes of the accused, in order to lash one's self into a state of sufficient vehemence and power. I would not choose to see the man against whom I pleaded smile, as though in mockery of my words.	Besides, one requires the excitement of being hateful in the eyes of the accused, in order to lash one's self into a state of sufficient vehemence and power. I would not choose to see the man against whom I pleaded smile, as though in mockery of my words.	true	919.31	934.48	20.756514
7117_86710_000043_000003	No; my pride is to see the accused pale, agitated, and as though beaten out of all composure by the fire of my eloquence." Renee uttered a smothered exclamation.	No; my pride is to see the accused pale, agitated, and as though beaten out of all composure by the fire of my eloquence." Renee uttered a smothered exclamation.	true	935.09	945.55	22.540836
7117_86710_000044_000000	"Bravo!" cried one of the guests; "that is what I call talking to some purpose."	"Bravo!" cried one of the guests; "that is what I call talking to some purpose."	true	946.64	951.73	22.563086
7117_86710_000045_000000	"Just the person we require at a time like the present," said a second.	"Just the person we require at a time like the present," said a second.	true	952.25	956.02	26.198893
7117_86710_000046_000000	"What a splendid business that last case of yours was, my dear Villefort!" remarked a third; "I mean the trial of the man for murdering his father.	"What a splendid business that last case of yours was, my dear Villefort!" remarked a third; "I mean the trial of the man for murdering his father.	false	956.48	965.04	20.654814
7117_86710_000046_000001	Upon my word, you killed him ere the executioner had laid his hand upon him."	Upon my word, you killed him ere the executioner had laid his hand upon him."	true	965.04	969.31	20.055027
7117_86710_000047_000000	"Oh, as for parricides, and such dreadful people as that," interposed Renee, "it matters very little what is done to them; but as regards poor unfortunate creatures whose only crime consists in having mixed themselves up in political intrigues"--	"Oh, as for parricides, and such dreadful people as that," interposed Renee, "it matters very little what is done to them; but as regards poor unfortunate creatures whose only crime consists in having mixed themselves up in political intrigues"--	false	970.31	984.43	21.507257
7117_86710_000048_000000	"Why, that is the very worst offence they could possibly commit; for, don't you see, Renee, the king is the father of his people, and he who shall plot or contrive aught against the life and safety of the parent of thirty-two millions of souls, is a parricide upon a fearfully great scale?"	"Why, that is the very worst offence they could possibly commit; for, don't you see, Renee, the king is the father of his people, and he who shall plot or contrive aught against the life and safety of the parent of thirty two millions of souls, is a parricide upon a fearfully great scale?"	true	984.68	1001.44	23.137821
7117_86710_000049_000000	"I don't know anything about that," replied Renee; "but, M. de Villefort, you have promised me--have you not?--always to show mercy to those I plead for."	"I don't know anything about that," replied Renee; "but, m de Villefort, you have promised me-have you not?--always to show mercy to those I plead for."	false	1002.86	1011.46	22.217556
7117_86710_000050_000000	"Make yourself quite easy on that point," answered Villefort, with one of his sweetest smiles; "you and I will always consult upon our verdicts."	"Make yourself quite easy on that point," answered Villefort, with one of his sweetest smiles; "you and I will always consult upon our verdicts."	false	1012.61	1020.64	21.909866
7117_86710_000051_000000	"My love," said the marquise, "attend to your doves, your lap-dogs, and embroidery, but do not meddle with what you do not understand.	"My love," said the marquise, "attend to your doves, your lap dogs, and embroidery, but do not meddle with what you do not understand.	false	1022.06	1029.82	20.19948
7117_86710_000051_000001	Nowadays the military profession is in abeyance and the magisterial robe is the badge of honor.	Nowadays the military profession is in abeyance and the magisterial robe is the badge of honor.	false	1030.13	1035.67	18
7117_86710_000051_000002	There is a wise Latin proverb that is very much in point."	There is a wise Latin proverb that is very much in point."	false	1035.92	1040.04	20.546589
7117_86710_000052_000000	"Cedant arma togae," said Villefort with a bow.	"Cedant arma togae," said Villefort with a bow.	false	1040.04	1044.07	23.565845
7117_86710_000053_000000	"I cannot speak Latin," responded the marquise.	"I cannot speak Latin," responded the marquise.	false	1044.47	1047.22	23.87273
7117_86710_000054_000000	"Well," said Renee, "I cannot help regretting you had not chosen some other profession than your own--a physician, for instance.	"Well," said Renee, "I cannot help regretting you had not chosen some other profession than your own-a physician, for instance.	false	1047.8	1055.53	21.14314
7117_86710_000054_000001	Do you know I always felt a shudder at the idea of even a destroying angel?"	Do you know I always felt a shudder at the idea of even a destroying angel?"	true	1055.72	1059.46	21
