7117_86710_000001_000000	Chapter 6.	Chapter six.
7117_86710_000045_000000	"Just the person we require at a time like the present," said a second.	"Just the person we require at a time like the present," said a second.
7117_86710_000046_000001	Upon my word, you killed him ere the executioner had laid his hand upon him."	Upon my word, you killed him ere the executioner had laid his hand upon him."
7117_86710_000048_000000	"Why, that is the very worst offence they could possibly commit; for, don't you see, Renee, the king is the father of his people, and he who shall plot or contrive aught against the life and safety of the parent of thirty-two millions of souls, is a parricide upon a fearfully great scale?"	"Why, that is the very worst offence they could possibly commit; for, don't you see, Renee, the king is the father of his people, and he who shall plot or contrive aught against the life and safety of the parent of thirty two millions of souls, is a parricide upon a fearfully great scale?"
7117_86710_000054_000001	Do you know I always felt a shudder at the idea of even a destroying angel?"	Do you know I always felt a shudder at the idea of even a destroying angel?"
7117_86710_000057_000000	"And one which will go far to efface the recollection of his father's conduct," added the incorrigible marquise.	"And one which will go far to efface the recollection of his father's conduct," added the incorrigible marquise.
7117_86710_000059_000002	I should myself have recommended the match, had not the noble marquis anticipated my wishes by requesting my consent to it.'"	I should myself have recommended the match, had not the noble marquis anticipated my wishes by requesting my consent to it.'"
7117_86710_000062_000000	"That is true," answered the marquis.	"That is true," answered the marquis.
7117_86710_000063_000000	"How much do I owe this gracious prince!	"How much do I owe this gracious prince!
7117_86710_000063_000001	What is there I would not do to evince my earnest gratitude!"	What is there I would not do to evince my earnest gratitude!"
7117_86710_000064_000000	"That is right," cried the marquise.	"That is right," cried the marquise.
7117_86710_000064_000001	"I love to see you thus.	"I love to see you thus.
7117_86710_000064_000002	Now, then, were a conspirator to fall into your hands, he would be most welcome."	Now, then, were a conspirator to fall into your hands, he would be most welcome."
7117_86710_000066_000001	If you wish to see me the king's attorney, you must desire for me some of those violent and dangerous diseases from the cure of which so much honor redounds to the physician."	If you wish to see me the king's attorney, you must desire for me some of those violent and dangerous diseases from the cure of which so much honor redounds to the physician."
7117_86710_000067_000002	Renee regarded him with fond affection; and certainly his handsome features, lit up as they then were with more than usual fire and animation, seemed formed to excite the innocent admiration with which she gazed on her graceful and intelligent lover.	Renee regarded him with fond affection; and certainly his handsome features, lit up as they then were with more than usual fire and animation, seemed formed to excite the innocent admiration with which she gazed on her graceful and intelligent lover.
7117_86710_000068_000001	Well, I at least resemble the disciples of Esculapius in one thing--that of not being able to call a day my own, not even that of my betrothal."	Well, I at least resemble the disciples of Esculapius in one thing-that of not being able to call a day my own, not even that of my betrothal."
7117_86710_000070_000000	"For a very serious matter, which bids fair to make work for the executioner."	"For a very serious matter, which bids fair to make work for the executioner."
7117_86710_000071_000000	"How dreadful!" exclaimed Renee, turning pale.	"How dreadful!" exclaimed Renee, turning pale.
7117_86710_000072_000000	"Is it possible?" burst simultaneously from all who were near enough to the magistrate to hear his words.	"Is it possible?" burst simultaneously from all who were near enough to the magistrate to hear his words.
7117_86710_000073_000000	"Why, if my information prove correct, a sort of Bonaparte conspiracy has just been discovered."	"Why, if my information prove correct, a sort of Bonaparte conspiracy has just been discovered."
7117_86710_000074_000000	"Can I believe my ears?" cried the marquise.	"Can I believe my ears?" cried the marquise.
7117_86710_000076_000001	Ample corroboration of this statement may be obtained by arresting the above-mentioned Edmond Dantes, who either carries the letter for Paris about with him, or has it at his father's abode.	Ample corroboration of this statement may be obtained by arresting the above mentioned Edmond Dantes, who either carries the letter for Paris about with him, or has it at his father's abode.
7117_86710_000077_000000	"But," said Renee, "this letter, which, after all, is but an anonymous scrawl, is not even addressed to you, but to the king's attorney."	"But," said Renee, "this letter, which, after all, is but an anonymous scrawl, is not even addressed to you, but to the king's attorney."
7117_86710_000078_000000	"True; but that gentleman being absent, his secretary, by his orders, opened his letters; thinking this one of importance, he sent for me, but not finding me, took upon himself to give the necessary orders for arresting the accused party."	"True; but that gentleman being absent, his secretary, by his orders, opened his letters; thinking this one of importance, he sent for me, but not finding me, took upon himself to give the necessary orders for arresting the accused party."
7117_86710_000079_000000	"Then the guilty person is absolutely in custody?" said the marquise.	"Then the guilty person is absolutely in custody?" said the marquise.
7117_86710_000080_000001	You know we cannot yet pronounce him guilty."	You know we cannot yet pronounce him guilty."
7117_86710_000082_000000	"And where is the unfortunate being?" asked Renee.	"And where is the unfortunate being?" asked Renee.
7117_86710_000084_000000	"Come, come, my friend," interrupted the marquise, "do not neglect your duty to linger with us.	"Come, come, my friend," interrupted the marquise, "do not neglect your duty to linger with us.
7117_86710_000084_000001	You are the king's servant, and must go wherever that service calls you."	You are the king's servant, and must go wherever that service calls you."
7117_86710_000086_000000	The young man passed round to the side of the table where the fair pleader sat, and leaning over her chair said tenderly,--	The young man passed round to the side of the table where the fair pleader sat, and leaning over her chair said tenderly,--
7117_86710_000087_000000	"To give you pleasure, my sweet Renee, I promise to show all the lenity in my power; but if the charges brought against this Bonapartist hero prove correct, why, then, you really must give me leave to order his head to be cut off." Renee shuddered.	"To give you pleasure, my sweet Renee, I promise to show all the lenity in my power; but if the charges brought against this Bonapartist hero prove correct, why, then, you really must give me leave to order his head to be cut off." Renee shuddered.
7117_86710_000089_000000	"These are mournful auspices to accompany a betrothal," sighed poor Renee.	"These are mournful auspices to accompany a betrothal," sighed poor Renee.
7117_86710_000090_000000	"Upon my word, child!" exclaimed the angry marquise, "your folly exceeds all bounds.	"Upon my word, child!" exclaimed the angry marquise, "your folly exceeds all bounds.
7117_86710_000090_000001	I should be glad to know what connection there can possibly be between your sickly sentimentality and the affairs of the state!"	I should be glad to know what connection there can possibly be between your sickly sentimentality and the affairs of the state!"
7117_86710_000091_000000	"O mother!" murmured Renee.	"O mother!" murmured Renee.
