6014_32886_000000_000000	Lake collected himself.	Lake collected himself.	false	0	0.99	77
6014_32886_000011_000000	The shock of her brief interview with her brother over, reflection assured her, knowing all she did, that Stanley's wooing would prosper, and so this cause of quarrel had really nothing in it; no, nothing but a display of his temper and morals--not very astonishing, after all--and, like an ugly picture or a dreadful dream, in no way to affect her after-life, except as an odious remembrance.	The shock of her brief interview with her brother over, reflection assured her, knowing all she did, that Stanley's wooing would prosper, and so this cause of quarrel had really nothing in it; no, nothing but a display of his temper and morals-not very astonishing, after all-and, like an ugly picture or a dreadful dream, in no way to affect her after life, except as an odious remembrance.	true	121.88	145.51	20
6014_32886_000012_000000	Therefore, little by little, like a flower that has been bruised, in the tranquillising influences about her, the young lady got up, expanded, and grew like herself again--not like enough, indeed, to say much, but to listen and follow his manly, refined, and pleasant talk, every moment with a pang, that had yet something pleasurable in it, contrasting the quiet and chivalric tone of her present companion, with the ferocious duplicity of the sly, smooth terrorist who had just left her side.	Therefore, little by little, like a flower that has been bruised, in the tranquillising influences about her, the young lady got up, expanded, and grew like herself again-not like enough, indeed, to say much, but to listen and follow his manly, refined, and pleasant talk, every moment with a pang, that had yet something pleasurable in it, contrasting the quiet and chivalric tone of her present companion, with the ferocious duplicity of the sly, smooth terrorist who had just left her side.	true	145.79	176.17	20
6014_32886_000013_000000	It was rather a marked thing--as lean Mrs. Loyd, of Gylingden, who had two thin spinsters with pink noses under her wing, remarked--this long walk of Lord Chelford and Miss Lake in the park; and she enjoined upon her girls the propriety of being specially reserved in their intercourse with persons of Lord Chelford's rank; not that they were much troubled with dangers from any such quarter.	It was rather a marked thing-as lean mrs Loyd, of Gylingden, who had two thin spinsters with pink noses under her wing, remarked-this long walk of Lord Chelford and Miss Lake in the park; and she enjoined upon her girls the propriety of being specially reserved in their intercourse with persons of Lord Chelford's rank; not that they were much troubled with dangers from any such quarter.	true	176.48	200.325	20
6014_32886_000013_000001	Miss Lake had, she supposed, her own notions, and would act as she pleased; but she owned for her part she preferred the old fashion, and thought the men did also; and was sure, too, that young ladies lost nothing by a little reserve and modesty.	Miss Lake had, she supposed, her own notions, and would act as she pleased; but she owned for her part she preferred the old fashion, and thought the men did also; and was sure, too, that young ladies lost nothing by a little reserve and modesty.	true	200.325	215.35	19.383518
6014_32886_000014_000000	Now something of this, no doubt, passed in the minds of Lord Chelford and his pretty companion.	Now something of this, no doubt, passed in the minds of Lord Chelford and his pretty companion.	false	215.72	220.9	17
6014_32886_000014_000001	But what was to be done?	But what was to be done?	true	221.03	222.52	19.791111
6014_32886_000014_000002	That perverse and utterly selfish brother, Stanley Lake, had chosen to take his leave.	That perverse and utterly selfish brother, Stanley Lake, had chosen to take his leave.	true	222.77	227.835	20.399414
6014_32886_000014_000003	Lord Chelford could not desert the young lady, and would it have been a very nice delicacy in Miss Lake to make her courtesy in the middle of the park, and protest against pursuing their walk together any further?	Lord Chelford could not desert the young lady, and would it have been a very nice delicacy in Miss Lake to make her courtesy in the middle of the park, and protest against pursuing their walk together any further?	false	227.835	238.93	18
6014_32886_000015_000000	Lord Chelford was a lively and agreeable companion; but there was something unusually gentle, almost resembling tenderness, in his manner. She was so different from her gay, fiery self in this walk--so gentle; so subdued--and he was more interested by her, perhaps, than he had ever been before.	Lord Chelford was a lively and agreeable companion; but there was something unusually gentle, almost resembling tenderness, in his manner. She was so different from her gay, fiery self in this walk-so gentle; so subdued-and he was more interested by her, perhaps, than he had ever been before.	true	239.3	259.12	20.12429
6014_32886_000016_000000	The sun just touched the verge of the wooded uplands, as the young people began to descend the slope of Redman's Dell.	The sun just touched the verge of the wooded uplands, as the young people began to descend the slope of Redman's Dell.	true	259.49	266.5	20
6014_32886_000017_000000	'How very short!' Lord Chelford paused, with a smile, at these words.	'How very short!' Lord Chelford paused, with a smile, at these words.	true	266.72	270.97	20.2674
6014_32886_000017_000001	'I was just going to say how short the days have grown, as if it had all happened without notice, and contrary to the almanac; but really the sun sets cruelly early this evening, and I am so _very_ sorry our little walk is so soon to end.'	'I was just going to say how short the days have grown, as if it had all happened without notice, and contrary to the almanac; but really the sun sets cruelly early this evening, and I am so underscore very underscore sorry our little walk is so soon to end.'	false	271.13	287.28	19.594969
6014_32886_000018_000000	There was not much in this little speech, but it was spoken in a low, sweet voice; and Rachel looked down on the ferns before her feet, as they walked on side by side, not with a smile, but with a blush, and that beautiful look of gratification so becoming and indescribable.	There was not much in this little speech, but it was spoken in a low, sweet voice; and Rachel looked down on the ferns before her feet, as they walked on side by side, not with a smile, but with a blush, and that beautiful look of gratification so becoming and indescribable.	true	287.28	303.43	22
6014_32886_000018_000001	Happy that moment--that enchanted moment of oblivion and illusion!	Happy that moment-that enchanted moment of oblivion and illusion!	true	303.47	308.23	19
6014_32886_000018_000002	But the fitful evening breeze came up through Redman's Dell, with a gentle sweep over the autumnal foliage.	But the fitful evening breeze came up through Redman's Dell, with a gentle sweep over the autumnal foliage.	true	308.78	314.83	20
6014_32886_000018_000003	Sudden as a sigh, and cold; in her ear it sounded like a whisper or a shudder, and she lifted up her eyes and saw the darkening dell before her; and with a pang, the dreadful sense of reality returned.	Sudden as a sigh, and cold; in her ear it sounded like a whisper or a shudder, and she lifted up her eyes and saw the darkening dell before her; and with a pang, the dreadful sense of reality returned.	true	315.05	327.76	21.031368
6014_32886_000018_000004	She stopped, with something almost wild in her look.	She stopped, with something almost wild in her look.	true	327.92	331.245	21.753883
6014_32886_000018_000005	But with an effort she smiled, and said, with a little shiver, 'The air has grown quite chill, and the sun nearly set; we loitered, Stanley and I, a great deal too long in the park, but I am now at home, and I fear I have brought you much too far out of your way already; good-bye.' And she extended her hand.	But with an effort she smiled, and said, with a little shiver, 'The air has grown quite chill, and the sun nearly set; we loitered, Stanley and I, a great deal too long in the park, but I am now at home, and I fear I have brought you much too far out of your way already; good bye.' And she extended her hand.	true	331.245	350.08	20.163427
6014_32886_000019_000000	'You must not dismiss your escort here.	'You must not dismiss your escort here.	true	350.48	352.78	19.254566
6014_32886_000019_000001	I must see you through the enchanted dell--it is only a step--and then I shall return with a good conscience, like a worthy knight, having done my devoir honestly.'	I must see you through the enchanted dell-it is only a step-and then I shall return with a good conscience, like a worthy knight, having done my devoir honestly.'	true	352.82	361.78	19.24932
6014_32886_000020_000000	She looked down the dell, with a dark and painful glance, and then she said a few words of hesitating apology and acquiescence, and in a few minutes more they parted at the little wicket of Redman's Farm.	She looked down the dell, with a dark and painful glance, and then she said a few words of hesitating apology and acquiescence, and in a few minutes more they parted at the little wicket of Redman's Farm.	false	362.27	374.05	20
6014_32886_000020_000001	They shook hands.	They shook hands.	true	374.36	375.25	16.364065
6014_32886_000020_000002	He had a few pleasant, lingering words to say.	He had a few pleasant, lingering words to say.	true	375.8	378.435	20.310026
6014_32886_000020_000003	She paused as he spoke at the other side of that little garden door.	She paused as he spoke at the other side of that little garden door.	false	378.435	382.53	17
6014_32886_000020_000004	She seemed to like those lingering sentences--and hung upon them--and even smiled but in her eyes there was a vague and melancholy pleading--a wandering and unfathomable look that pained him.	She seemed to like those lingering sentences-and hung upon them-and even smiled but in her eyes there was a vague and melancholy pleading-a wandering and unfathomable look that pained him.	true	382.53	395.11	20
6014_32886_000021_000000	They shook hands again--it was the third time--and then she walked up the little gravel walk, hardly a dozen steps, and disappeared within the door of Redman's Farm, without turning another parting look on Lord Chelford, who remained at the little paling--expecting one, I think--to lift his hat and say one more parting word.	They shook hands again-it was the third time-and then she walked up the little gravel walk, hardly a dozen steps, and disappeared within the door of Redman's Farm, without turning another parting look on Lord Chelford, who remained at the little paling-expecting one, I think-to lift his hat and say one more parting word.	false	395.42	414.67	21.394932
6014_32886_000022_000000	She turned into the little drawing-room at the left, and, herself unseen, did take that last look, and saw him go up the road again towards Brandon.	She turned into the little drawing room at the left, and, herself unseen, did take that last look, and saw him go up the road again towards Brandon.	true	415.01	424.18	21.00284
6014_32886_000022_000001	The shadows and mists of Redman's Dell anticipated night, and it was already deep twilight there.	The shadows and mists of Redman's Dell anticipated night, and it was already deep twilight there.	true	424.34	430.66	19
6014_32886_000023_000000	On the table there lay a letter which Margery had brought from the post-office.	On the table there lay a letter which Margery had brought from the post office.	true	430.88	435.13	18
6014_32886_000023_000001	So Rachel lighted her candles and read it with very little interest, for it concerned a world towards which she had few yearnings. There was just one sentence which startled her attention: it said, 'We shall soon be at Knowlton--for Christmas, I suppose.	So Rachel lighted her candles and read it with very little interest, for it concerned a world towards which she had few yearnings. There was just one sentence which startled her attention: it said, 'We shall soon be at Knowlton-for Christmas, I suppose.	true	435.38	450.67	19.919514
6014_32886_000023_000002	It is growing too wintry for mamma near the sea, though I like it better in a high wind than in a calm; and a gale is such fun--such a romp.	It is growing too wintry for mamma near the sea, though I like it better in a high wind than in a calm; and a gale is such fun-such a romp.	true	450.86	459.36	19.86311
6014_32886_000023_000003	The Dulhamptons have arrived: the old Marchioness never appears till three o'clock, and only out in the carriage twice since they came.	The Dulhamptons have arrived: the old Marchioness never appears till three o'clock, and only out in the carriage twice since they came.	true	459.36	466.875	20.464033
6014_32886_000023_000004	I can't say I very much admire Lady Constance, though she is to be Chelford's wife.	I can't say I very much admire Lady Constance, though she is to be Chelford's wife.	true	466.875	471.73	19.937618
6014_32886_000023_000005	She has fine eyes--and I think no other good point--much too dark for my taste--but they say clever;' and not another word was there on this subject.	She has fine eyes-and I think no other good point-much too dark for my taste-but they say clever;' and not another word was there on this subject.	true	471.95	481.39	20.102682
6014_32886_000024_000000	'Lady Constance! arranged, I suppose, by Lady Chelford--no great dot--and an unamiable family--an odious family--nothing to recommend her but her rank.'	'Lady Constance! arranged, I suppose, by Lady Chelford-no great dot-and an unamiable family-an odious family-nothing to recommend her but her rank.'	false	481.67	495.82	19.971704
6014_32886_000025_000000	So ruminated Rachel Lake as she looked out on her shadowy garden, and tapped a little feverish tattoo with her finger on the window pane; and she meditated a great while, trying to bring back distinctly her recollection of Lady Constance, and also vaguely conjecturing who had arranged the marriage, and how it had come about.	So ruminated Rachel Lake as she looked out on her shadowy garden, and tapped a little feverish tattoo with her finger on the window pane; and she meditated a great while, trying to bring back distinctly her recollection of Lady Constance, and also vaguely conjecturing who had arranged the marriage, and how it had come about.	true	496.01	514.96	18
6014_32886_000026_000000	'Chelford cannot like her.	'Chelford cannot like her.	true	515.24	517.125	16
6014_32886_000026_000001	It is all Lady Chelford's doing.	It is all Lady Chelford's doing.	true	517.125	519.22	19
6014_32886_000026_000002	Can I have mistaken the name?'	Can I have mistaken the name?'	true	519.32	521.23	17
6014_32886_000027_000000	But no. Nothing could be more perfectly distinct than 'Chelford,' traced in her fair correspondent's very legible hand.	But no Nothing could be more perfectly distinct than 'Chelford,' traced in her fair correspondent's very legible hand.	true	521.6	529.03	20.629293
6014_32886_000028_000000	'He treats the young lady very coolly,' thought Rachel, forgetting, perhaps, that his special relations to Dorcas Brandon had compelled his stay in that part of the world.	'He treats the young lady very coolly,' thought Rachel, forgetting, perhaps, that his special relations to Dorcas Brandon had compelled his stay in that part of the world.	true	529.25	539.14	20
6014_32886_000029_000000	Mingled with this criticism, was a feeling quite unavowed even to herself--a sore feeling that Lord Chelford had been--and this she never admitted to herself before--more particular--no, not exactly that--but more something or other--not exactly expressible in words, in his approaches to her, than was consistent with his situation.	Mingled with this criticism, was a feeling quite unavowed even to herself-a sore feeling that Lord Chelford had been-and this she never admitted to herself before-more particular-no, not exactly that-but more something or other-not exactly expressible in words, in his approaches to her, than was consistent with his situation.	true	539.27	561.46	19.208134
6014_32886_000029_000001	But then she had been very guarded; not stiff or prudish, indeed, but frank and cold enough with him, and that was comforting.	But then she had been very guarded; not stiff or prudish, indeed, but frank and cold enough with him, and that was comforting.	true	561.92	569.41	20.437489
6014_32886_000030_000000	Still there was a sense of wonder--a great blank, and something of pain in the discovery--yes, pain--though she smiled a faint blushing smile--alone as she was; and then came a deep sigh; and then a sort of start.	Still there was a sense of wonder-a great blank, and something of pain in the discovery-yes, pain-though she smiled a faint blushing smile-alone as she was; and then came a deep sigh; and then a sort of start.	true	569.84	585.73	18.938318
6014_32886_000031_000000	'Rachel, Rachel, is it possible?' murmured the young lady, with the same dubious smile, looking down upon the ground, and shaking her head.	'Rachel, Rachel, is it possible?' murmured the young lady, with the same dubious smile, looking down upon the ground, and shaking her head.	true	585.77	594.22	19.7553
6014_32886_000031_000001	'Yes, I do really think you had begun to like Lord Chelford--only _begun_, the least little insidious bit; but thank you, wild Bessie Frankleyn, you have quite opened my eyes.	'Yes, I do really think you had begun to like Lord Chelford-only underscore begun underscore, the least little insidious bit; but thank you, wild Bessie Frankleyn, you have quite opened my eyes.	false	594.23	606.91	20.26131
6014_32886_000031_000002	Rachel, Rachel, girl! what a fool you were near becoming!'	Rachel, Rachel, girl! what a fool you were near becoming!'	true	606.98	611.2	20.069653
6014_32886_000032_000000	She looked like her old pleasant self during this little speech--arch and fresh, and still smiling--she looked up and sighed, and then her dark look returned, and she said dismally,	She looked like her old pleasant self during this little speech-arch and fresh, and still smiling-she looked up and sighed, and then her dark look returned, and she said dismally,	false	611.45	623.1	20.758238
6014_32886_000033_000000	'What utter madness!'	'What utter madness!'	true	623.1	625.06	18.5618
6014_32886_000034_000000	And leaned for a while with her fingers upon the window sash; and when she turned to old Tamar, who brought in her tiny tea equipage, it seemed as if the shadow of the dell, into which she had been vacantly gazing, still rested on her face.	And leaned for a while with her fingers upon the window sash; and when she turned to old Tamar, who brought in her tiny tea equipage, it seemed as if the shadow of the dell, into which she had been vacantly gazing, still rested on her face.	false	625.22	639.58	16
6014_32886_000035_000000	'Not here, Tamar; I'll drink tea in my room; and you must bring your tea-cup, too, and we'll take it together.	'Not here, Tamar; I'll drink tea in my room; and you must bring your tea cup, too, and we'll take it together.	false	639.89	646.39	20.920984
6014_32886_000035_000001	I am--I think I am--a little nervous, darling, and you won't leave me?'	I am-I think I am-a little nervous, darling, and you won't leave me?'	true	646.64	651.94	16.547714
6014_32886_000036_000000	So they sat down together in her chamber.	So they sat down together in her chamber.	true	652.31	654.91	20
6014_32886_000036_000001	It was a cheery little bed-room, when the shutters were closed, and the fire burning brightly in the grate.	It was a cheery little bed room, when the shutters were closed, and the fire burning brightly in the grate.	true	655.07	660.46	17
6014_32886_000037_000000	'My good Tamar will read her chapters aloud.	'My good Tamar will read her chapters aloud.	true	660.65	663.34	19.529673
6014_32886_000037_000001	I wish I could enjoy them like you.	I wish I could enjoy them like you.	true	663.41	665.5	19
6014_32886_000037_000002	I can only wish.	I can only wish.	true	665.57	667.06	18.994543
6014_32886_000037_000003	You must pray for me, Tamar.	You must pray for me, Tamar.	false	667.13	669.24	19.848507
6014_32886_000037_000004	There is a dreadful image--and I sometimes think a dreadful being always near me. Though the words you read are sad and awful, they are also sweet, like funeral music a long way off, and they tranquillise me without making me better, as the harping of David did the troubled and forsaken King Saul.'	There is a dreadful image-and I sometimes think a dreadful being always near me. Though the words you read are sad and awful, they are also sweet, like funeral music a long way off, and they tranquillise me without making me better, as the harping of David did the troubled and forsaken King Saul.'	false	669.24	688.36	19.237473
6014_32886_000038_000000	So the old nurse mounted her spectacles, glad of the invitation, and began to read.	So the old nurse mounted her spectacles, glad of the invitation, and began to read.	true	688.82	694.15	20
6014_32886_000038_000001	Her reading was very, slow, and had other faults too, being in that sing-song style to which some people inexplicably like to read Holy Writ; but it was reverent and distinct, and I have heard worse even in the reading desk.	Her reading was very, slow, and had other faults too, being in that sing song style to which some people inexplicably like to read Holy Writ; but it was reverent and distinct, and I have heard worse even in the reading desk.	true	694.46	708.37	18.64239
6014_32886_000039_000000	'Stop,' said Rachel suddenly, as she reached about the middle of the chapter.	'Stop,' said Rachel suddenly, as she reached about the middle of the chapter.	true	708.68	713.17	20.524088
6014_32886_000040_000000	The old woman looked up, with her watery eyes wide open, and there was a short pause.	The old woman looked up, with her watery eyes wide open, and there was a short pause.	true	713.48	718.6	20
6014_32886_000041_000000	'I beg your pardon, dear Tamar, but you must first tell me that story you used to tell me long ago of Lady Ringdove, that lived in Epping Forest, to whom the ghost came and told something she was never to reveal, and who slowly died of the secret, growing all the time more and more like the spectre; and besought the priest when she was dying, that he would have her laid in the abbey vault, with her mouth open, and her eyes and ears sealed, in token that her term of slavery was over, that her lips might now be open, and that her eyes were to see no more the dreadful sight, nor her ears to hear the frightful words that used to scare them in her life-time; and then, you remember, whenever afterwards they opened the door of the vault, the wind entering in, made such moanings in her hollow mouth, and declared things so horrible that they built up the door of the vault, and entered it no more.	'I beg your pardon, dear Tamar, but you must first tell me that story you used to tell me long ago of Lady Ringdove, that lived in Epping Forest, to whom the ghost came and told something she was never to reveal, and who slowly died of the secret, growing all the time more and more like the spectre; and besought the priest when she was dying, that he would have her laid in the abbey vault, with her mouth open, and her eyes and ears sealed, in token that her term of slavery was over, that her lips might now be open, and that her eyes were to see no more the dreadful sight, nor her ears to hear the frightful words that used to scare them in her life time; and then, you remember, whenever afterwards they opened the door of the vault, the wind entering in, made such moanings in her hollow mouth, and declared things so horrible that they built up the door of the vault, and entered it no more.	false	718.94	769.9	17
6014_32886_000041_000001	Let me have the entire story, just as you used to tell it.'	Let me have the entire story, just as you used to tell it.'	true	770.15	774.12	19.479029
6014_32886_000042_000000	So old Tamar, who knew it was no use disputing a fancy of her young mistress, although on Sunday night she would have preferred other talk, recounted her old tale of wonder.	So old Tamar, who knew it was no use disputing a fancy of her young mistress, although on Sunday night she would have preferred other talk, recounted her old tale of wonder.	false	774.12	783.67	18
6014_32886_000043_000000	'Yes, it is true--a true allegory, I mean, Tamar.	'Yes, it is true-a true allegory, I mean, Tamar.	true	783.89	788.29	18.641407
6014_32886_000043_000001	Death will close the eyes and ears against the sights and sounds of earth; but even the tomb secures no secrecy.	Death will close the eyes and ears against the sights and sounds of earth; but even the tomb secures no secrecy.	true	788.51	795.73	19
6014_32886_000043_000002	The dead themselves declare their dreadful secrets, open-mouthed, to the winds.	The dead themselves declare their dreadful secrets, open mouthed, to the winds.	true	795.77	801.1	20.447966
6014_32886_000043_000003	Oh, Tamar! turn over the pages, and try to find some part which says where safety and peace may be found at any price; for sometimes I think I am almost bereft of--reason.'	Oh, Tamar! turn over the pages, and try to find some part which says where safety and peace may be found at any price; for sometimes I think I am almost bereft of-reason.'	false	801.32	822.39	17.63604
