3493_46712_000000_000000	CHAPTER XL.	CHAPTER forty.	false	0.54	13.335	20.198671
3493_46712_000014_000001	He fled from a country in which his name had become odious, and took up his abode in Paris, where he found a miserable lodging in one of the narrowest alleys in the neighbourhood of the Luxembourg, which was then a labyrinth of narrow streets and lanes.	He fled from a country in which his name had become odious, and took up his abode in Paris, where he found a miserable lodging in one of the narrowest alleys in the neighbourhood of the Luxembourg, which was then a labyrinth of narrow streets and lanes.	true	231.53	246.82	16
3493_46712_000015_000000	Here he could afford to buy brandy, for at that date brandy was much cheaper in France than it is now.	Here he could afford to buy brandy, for at that date brandy was much cheaper in France than it is now.	true	247.1	253.18	21
3493_46712_000015_000001	Here he could indulge his growing propensity for strong drink to the uttermost extent of his means, and could drown his sorrows, and drink destruction to his enemies, in fiery draughts of cognac.	Here he could indulge his growing propensity for strong drink to the uttermost extent of his means, and could drown his sorrows, and drink destruction to his enemies, in fiery draughts of cognac.	false	253.37	265.9	20
3493_46712_000016_000000	For some years he inhabited the same dirty garret, keeping the key of his wretched chamber, going up and down the crumbling old staircase uncared for and unnoticed.	For some years he inhabited the same dirty garret, keeping the key of his wretched chamber, going up and down the crumbling old staircase uncared for and unnoticed.	true	265.91	276.4	19
3493_46712_000016_000001	Few who had known him in the past would have recognized the once elegant young man in this latter stage of his existence.	Few who had known him in the past would have recognized the once elegant young man in this latter stage of his existence.	true	276.68	284.38	17
3493_46712_000016_000002	Form and features, complexion and expression, were alike degraded.	Form and features, complexion and expression, were alike degraded.	true	284.57	289.48	20.068407
3493_46712_000016_000003	The garments worn by him, who had once been the boasted patron of crack West-end tailors, were now shapeless and hideous.	The garments worn by him, who had once been the boasted patron of crack West end tailors, were now shapeless and hideous.	true	289.73	297.25	19
3493_46712_000016_000004	The dandy of the clubs had become a perambulating mass of rags.	The dandy of the clubs had become a perambulating mass of rags.	true	297.62	302.2	14
3493_46712_000017_000000	Every day when the sun shone he buttoned his greasy, threadbare overcoat across his breast, and crawled to the public garden of the Luxembourg, where he might be seen shuffling slipshod along the sunniest walk, an object of contempt and aversion in the eyes of nursery-maids and _grisettes_--a butt for the dare-devil students of the quarter.	Every day when the sun shone he buttoned his greasy, threadbare overcoat across his breast, and crawled to the public garden of the Luxembourg, where he might be seen shuffling slipshod along the sunniest walk, an object of contempt and aversion in the eyes of nursery maids and underscore grisettes underscore--a butt for the dare devil students of the quarter.	false	302.63	323.77	20
3493_46712_000018_000000	Had he any consciousness of his degradation?	Had he any consciousness of his degradation?	true	324.2	326.98	20
3493_46712_000019_000000	Yes; that was the undying vulture which preyed upon his entrails--the consuming fire that was never quenched.	Yes; that was the undying vulture which preyed upon his entrails-the consuming fire that was never quenched.	true	327.41	335.41	22.080784
3493_46712_000020_000000	During the brief interval of each day in which he was sober, Sir Reginald Eversleigh was wont to reflect upon the past.	During the brief interval of each day in which he was sober, Sir Reginald Eversleigh was wont to reflect upon the past.	true	335.99	343.33	22.396051
3493_46712_000020_000001	He knew himself to be the wretch and outcast he was; and, looking back at his start in life, he could but remember how different his career might have been had he so chosen.	He knew himself to be the wretch and outcast he was; and, looking back at his start in life, he could but remember how different his career might have been had he so chosen.	true	343.61	354.7	21
3493_46712_000021_000000	In those hours the slow tears made furrows in his haggard cheeks--the tears of remorse, vain repentance, that came too late for earth; but not, perhaps, utterly too late for heaven, since, even for this last and worst of sinners, there might be mercy.	In those hours the slow tears made furrows in his haggard cheeks-the tears of remorse, vain repentance, that came too late for earth; but not, perhaps, utterly too late for heaven, since, even for this last and worst of sinners, there might be mercy.	true	355.22	371.92	20.382128
3493_46712_000022_000000	Thus his life passed--a changeless routine, unbroken by one bright interval, one friendly visit, one sign or token to show that there was any link between this lonely wretch and the rest of humanity.	Thus his life passed-a changeless routine, unbroken by one bright interval, one friendly visit, one sign or token to show that there was any link between this lonely wretch and the rest of humanity.	true	372.08	386.92	20.312407
3493_46712_000023_000000	One day the porter, who lived in a little den at the bottom of the lodging-house staircase, suddenly missed the familiar figure which had gone by his rabbit-hutch every day for the last six years; the besotted face that had stared at him morning and evening with the blank, unseeing gaze of the habitual drunkard.	One day the porter, who lived in a little den at the bottom of the lodging house staircase, suddenly missed the familiar figure which had gone by his rabbit hutch every day for the last six years; the besotted face that had stared at him morning and evening with the blank, unseeing gaze of the habitual drunkard.	true	387.11	405.58	19
3493_46712_000024_000000	"What has become of the old toper who lives up yonder among the chimney-pots?" cried the porter, suddenly, to the wife of his bosom.	"What has become of the old toper who lives up yonder among the chimney pots?" cried the porter, suddenly, to the wife of his bosom.	true	406.13	412.87	19
3493_46712_000024_000001	"I have not seen him to-day nor yesterday, nor for many days.	"I have not seen him to day nor yesterday, nor for many days.	true	413.06	416.98	21.73664
3493_46712_000024_000002	He must be ill.	He must be ill.	true	417.11	418.18	26.38517
3493_46712_000024_000003	I will go upstairs and make inquiries by-and-by, when I have leisure."	I will go upstairs and make inquiries by and by, when I have leisure."	false	418.28	422.08	19
3493_46712_000025_000000	The porter waited for a leisure half-hour after dark, and then tramped wearily up the steep old staircase with a lighted candle to see after the missing lodger.	The porter waited for a leisure half hour after dark, and then tramped wearily up the steep old staircase with a lighted candle to see after the missing lodger.	true	422.39	431.95	18
3493_46712_000025_000001	He might have waited even longer without detriment to Sir Reginald Eversleigh.	He might have waited even longer without detriment to Sir Reginald Eversleigh.	true	432.14	436.42	15
3493_46712_000026_000000	The baronet had been dead many days, suffocated by the fumes of his poor little charcoal stove.	The baronet had been dead many days, suffocated by the fumes of his poor little charcoal stove.	true	436.79	443.17	18
3493_46712_000026_000001	A trap-door in the roof, which he had been accustomed to open for the ventilation of his garret, had been closed by the wind, and the baronet had passed unconsciously from sleep to death.	A trap door in the roof, which he had been accustomed to open for the ventilation of his garret, had been closed by the wind, and the baronet had passed unconsciously from sleep to death.	true	443.21	454.36	22.106337
3493_46712_000027_000000	He had died, and no one had been aware of his death.	He had died, and no one had been aware of his death.	false	455	458.68	18.788767
3493_46712_000027_000001	The people of the house did not know either his name or his country.	The people of the house did not know either his name or his country.	true	458.72	462.7	17
3493_46712_000027_000002	His burial was that of an unknown pauper; and the bones of the last male scion of the house of Eversleigh were mingled with the bones of Parisian paupers in the cemetery of Pere la Chaise.	His burial was that of an unknown pauper; and the bones of the last male scion of the house of Eversleigh were mingled with the bones of Parisian paupers in the cemetery of Pere la Chaise.	false	462.89	475.38	21
3493_46712_000028_000000	While Sir Reginald Eversleigh dragged out the wretched remnant of his existence in a dingy Parisian alley, there was perfect peace and tranquil happiness for the woman against whose fair fame he and Victor Carrington had so basely conspired.	While Sir Reginald Eversleigh dragged out the wretched remnant of his existence in a dingy Parisian alley, there was perfect peace and tranquil happiness for the woman against whose fair fame he and Victor Carrington had so basely conspired.	true	475.38	489.52	18
3493_46712_000029_000000	Yes, Anna was at peace; surrounded by friends; delighted day by day to watch the budding loveliness, the sportive grace of Gertrude Eversleigh, the idolized heiress of Raynham.	Yes, Anna was at peace; surrounded by friends; delighted day by day to watch the budding loveliness, the sportive grace of Gertrude Eversleigh, the idolized heiress of Raynham.	true	489.74	502.18	22
3493_46712_000029_000001	As Lady Eversleigh paced the terraces of an Italian garden, her mother by her side, with Gertrude clinging to her side; as she looked out over the vast domain which owned her as mistress--it might seem that fortune had lavished her fairest gifts into the lap of her who had been once a friendless stranger, singing in the taverns of Wapping.	As Lady Eversleigh paced the terraces of an Italian garden, her mother by her side, with Gertrude clinging to her side; as she looked out over the vast domain which owned her as mistress-it might seem that fortune had lavished her fairest gifts into the lap of her who had been once a friendless stranger, singing in the taverns of Wapping.	true	502.61	523.9	20
3493_46712_000030_000000	Wonderful indeed had been the transitions which had befallen her; but even now, when the horizon seemed so fair before her, there were dark shadows upon the past which, in some measure, clouded the brightness of the present, and dimmed the radiance of the future.	Wonderful indeed had been the transitions which had befallen her; but even now, when the horizon seemed so fair before her, there were dark shadows upon the past which, in some measure, clouded the brightness of the present, and dimmed the radiance of the future.	true	524.06	540.195	19.674086
3493_46712_000031_000000	She could not forget her night of agony in the house amongst the marshes beyond Ratcliff Highway; she could not cease to lament the loss of that noble friend who had rescued her in the hour of her despair.	She could not forget her night of agony in the house amongst the marshes beyond Ratcliff Highway; she could not cease to lament the loss of that noble friend who had rescued her in the hour of her despair.	true	540.195	552.61	18
3493_46712_000032_000000	The world wondered at the prolonged widowhood of the mistress of Raynham.	The world wondered at the prolonged widowhood of the mistress of Raynham.	true	552.98	557.2	19.838518
3493_46712_000032_000001	People were surprised to find that a woman in the golden prime of womanhood and beauty could be constant to the memory of a husband old enough to have been her father.	People were surprised to find that a woman in the golden prime of womanhood and beauty could be constant to the memory of a husband old enough to have been her father.	false	557.57	566.74	18
3493_46712_000032_000002	But in due time society learned to accept the fact as a matter of course, and Lady Eversleigh was no longer the subject of hopes and speculations.	But in due time society learned to accept the fact as a matter of course, and Lady Eversleigh was no longer the subject of hopes and speculations.	true	566.96	576.52	19.859003
3493_46712_000033_000000	Her constant gratitude and friendship for the Jernams suffered no diminution as time went on.	Her constant gratitude and friendship for the Jernams suffered no diminution as time went on.	true	576.86	583	19
3493_46712_000033_000001	The difference in their social position made no difference to her; and no more frequent or more welcome guests were seen at Raynham than Captain Duncombe, his daughter and son-in-law, and honest Joyce Harker.	The difference in their social position made no difference to her; and no more frequent or more welcome guests were seen at Raynham than Captain Duncombe, his daughter and son in law, and honest Joyce Harker.	true	583.16	595.63	20.22795
3493_46712_000033_000002	Lady Eversleigh had a particular regard for the man who had so true and faithful a heart, and she would often talk to him; but she never mentioned the subject of that miserable night on which he had seen her down at Wapping.	Lady Eversleigh had a particular regard for the man who had so true and faithful a heart, and she would often talk to him; but she never mentioned the subject of that miserable night on which he had seen her down at Wapping.	true	595.79	608.41	21
3493_46712_000033_000003	That subject was tacitly avoided by both.	That subject was tacitly avoided by both.	true	608.75	611.8	24.758379
3493_46712_000033_000004	There was a pain too intense, a memory too dark, associated with the events of that period.	There was a pain too intense, a memory too dark, associated with the events of that period.	true	611.96	617.98	21.815975
3493_46712_000034_000000	And so the story ends.	And so the story ends.	true	618.11	620.11	20.878645
3493_46712_000034_000001	There is no sound of pleasant wedding bells to close my record with their merry, jangling chorus.	There is no sound of pleasant wedding bells to close my record with their merry, jangling chorus.	true	620.39	625.81	19
3493_46712_000034_000002	Is it not the fate of the innocent to suffer in this life for the sins of the wicked?	Is it not the fate of the innocent to suffer in this life for the sins of the wicked?	true	626.24	631.12	20
3493_46712_000034_000003	Lady Eversleigh's widowhood, Douglas Dale's lonely life, are the work of Victor Carrington--a work not to be undone upon this earth.	Lady Eversleigh's widowhood, Douglas Dale's lonely life, are the work of Victor Carrington-a work not to be undone upon this earth.	true	631.49	640.33	20.858994
3493_46712_000034_000004	If he has failed in all else, he has succeeded at least in this: he has ruined the happiness of two lives.	If he has failed in all else, he has succeeded at least in this: he has ruined the happiness of two lives.	true	640.49	647.77	21.198149
3493_46712_000034_000005	For both his victims time brings peace--a sober gladness that is not without its charm.	For both his victims time brings peace-a sober gladness that is not without its charm.	true	647.96	653.74	19
3493_46712_000034_000006	For one a child's affection--a child's growing grace of mind and form, bring a happiness on, clouded at intervals by the dark shadows of past sorrow.	For one a child's affection-a child's growing grace of mind and form, bring a happiness on, clouded at intervals by the dark shadows of past sorrow.	false	654.17	664.21	21
3493_46712_000034_000007	But in the heart of Douglas Dale there is an empty place which can never be filled upon earth.	But in the heart of Douglas Dale there is an empty place which can never be filled upon earth.	true	664.31	669.7	21
3493_46712_000035_000000	"Will the Eternal and all-seeing One forgive her for her reckless, useless life, and shall I meet her among the blest in heaven?" he asks himself sometimes, and then he remembers the holy words of comfort unspeakable: "Come unto me, ye that are weary and heavy laden, and I will give you rest."	"Will the Eternal and all seeing One forgive her for her reckless, useless life, and shall I meet her among the blest in heaven?" he asks himself sometimes, and then he remembers the holy words of comfort unspeakable: "Come unto me, ye that are weary and heavy laden, and I will give you rest."	false	670.01	689.53	19.818474
3493_46712_000036_000000	Had not Paulina been "weary, and heavy laden," bowed down by the burden of a false accusation, friendless, hopeless, from her very cradle?	Had not Paulina been "weary, and heavy laden," bowed down by the burden of a false accusation, friendless, hopeless, from her very cradle?	true	689.75	699.76	20.249025
3493_46712_000037_000000	He thought of the illimitable Mercy, and he dared to hope for the day in which he should meet her he loved "Beyond the Veil."	He thought of the illimitable Mercy, and he dared to hope for the day in which he should meet her he loved "Beyond the Veil."	true	700.07	708.03	22.069637
3493_46712_000038_000000	THE END.	THE END.	false	708.03	709.17	13.881761
3493_46712_000039_000000	End of the Project Gutenberg EBook of Run to Earth, by M. E. Braddon	End of the Project Gutenberg EBook of Run to Earth, by m e Braddon	false	709.17	718.02	19.309263
