8875_293959_000000_000000	Durham snatched the handkerchief.	Durham snatched the handkerchief.	false	0	2.655	20.68737
8875_293959_000017_000001	He walked on the other side of the street, and before I could cross over, which was difficult on account of the traffic, Bernard disappeared.	He walked on the other side of the street, and before I could cross over, which was difficult on account of the traffic, Bernard disappeared.	true	153.48	160.6	20.593428
8875_293959_000017_000002	Then I was not quite sure if he really was alive.	Then I was not quite sure if he really was alive.	false	160.91	163.51	20.716335
8875_293959_000017_000003	Now I am."	Now I am."	true	163.55	164.53	23.672844
8875_293959_000018_000000	"Indeed?" said Durham, with a qualm, for he fancied Julius might have learned of Gore's whereabouts.	"Indeed?" said Durham, with a qualm, for he fancied Julius might have learned of Gore's whereabouts.	true	165.26	171.04	20.617056
8875_293959_000019_000000	"Yes!	"Yes!	true	171.59	172.27	24.551073
8875_293959_000019_000001	That young Moon wrote a letter to me saying that Bernard had come to the Bower, starving and in rags."	That young Moon wrote a letter to me saying that Bernard had come to the Bower, starving and in rags."	true	172.31	177.73	15
8875_293959_000020_000000	It was on the tip of Durham's tongue to say that no doubt Jerry had been placed as a spy at the Bower, but he suppressed this remark.	It was on the tip of Durham's tongue to say that no doubt Jerry had been placed as a spy at the Bower, but he suppressed this remark.	true	178.16	185.34	20.462965
8875_293959_000020_000001	He firmly believed that Julius was a murderer, but as yet he saw some difficulty in bringing the crime home to him.	He firmly believed that Julius was a murderer, but as yet he saw some difficulty in bringing the crime home to him.	true	185.34	191.83	17
8875_293959_000020_000002	He thought it would be best to give the man rope enough to hang himself.	He thought it would be best to give the man rope enough to hang himself.	true	192.02	195.55	20.043917
8875_293959_000020_000003	In other words, to listen quietly to what he had to say and act accordingly.	In other words, to listen quietly to what he had to say and act accordingly.	true	195.71	199.87	19
8875_293959_000020_000004	Durham did not like having anything to do with such a scoundrel, but in the interests of Gore he had to smother all feelings save strictly professional ones.	Durham did not like having anything to do with such a scoundrel, but in the interests of Gore he had to smother all feelings save strictly professional ones.	true	200.12	208.75	18.358683
8875_293959_000020_000005	He therefore confined himself to silence, and to looking inquiringly at Beryl.	He therefore confined himself to silence, and to looking inquiringly at Beryl.	true	208.76	213.31	19.319155
8875_293959_000021_000000	"You don't seem surprised," said Julius, annoyed.	"You don't seem surprised," said Julius, annoyed.	false	213.5	216.16	16.933317
8875_293959_000022_000000	"Because I can hardy believe your statement.	"Because I can hardy believe your statement.	true	216.17	218.385	18.988373
8875_293959_000022_000001	Jerry may be making a mistake."	Jerry may be making a mistake."	true	218.385	220.36	19.351677
8875_293959_000023_000000	"Oh no. I went down on the receipt of his letter, and insisted on seeing my cousin.	"Oh no I went down on the receipt of his letter, and insisted on seeing my cousin.	true	220.46	225.25	17
8875_293959_000023_000001	Miss Plantagenet--as I knew she would,--denied that he was there; but afterwards, when I threatened to bring the police on to the scene, she gave way and let me see Bernard."	Miss Plantagenet-as I knew she would,--denied that he was there; but afterwards, when I threatened to bring the police on to the scene, she gave way and let me see Bernard."	true	225.35	234.94	21.052767
8875_293959_000024_000000	"You are sure, then, that Bernard committed the crime?"	"You are sure, then, that Bernard committed the crime?"	true	235.13	237.64	21
8875_293959_000025_000000	"Wait one moment, Mr. Durham," said Beryl, wagging his finger in a most irritating way.	"Wait one moment, mr Durham," said Beryl, wagging his finger in a most irritating way.	true	238.19	243.07	18.354956
8875_293959_000025_000001	"Let us understand one another clearly.	"Let us understand one another clearly.	true	243.29	245.41	21
8875_293959_000025_000002	You know, and you have known for some time, that Bernard was at the Bower?"	You know, and you have known for some time, that Bernard was at the Bower?"	true	245.63	249.52	16
8875_293959_000026_000000	"I am not bound to answer that question," said the lawyer, stiffly.	"I am not bound to answer that question," said the lawyer, stiffly.	true	249.59	253.09	18
8875_293959_000027_000000	"Bernard answered it for you.	"Bernard answered it for you.	true	253.34	254.97	21.471432
8875_293959_000027_000001	He told me you had been to see him, and that in spite of the change in his looks you knew who he was."	He told me you had been to see him, and that in spite of the change in his looks you knew who he was."	true	254.97	259.93	14
8875_293959_000028_000000	Durham drew figures on his blotting-paper.	Durham drew figures on his blotting paper.	true	260.42	262.84	19.809065
8875_293959_000028_000001	He wondered if Julius really believed the man at the Bower to be Bernard Gore, or if he was trying to learn what he--Durham--thought himself.	He wondered if Julius really believed the man at the Bower to be Bernard Gore, or if he was trying to learn what he-Durham-thought himself.	true	262.88	271	21.522915
8875_293959_000028_000002	After some reflection the lawyer resolved to accept Michael as the man in question.	After some reflection the lawyer resolved to accept Michael as the man in question.	true	271.1	275.47	18
8875_293959_000028_000003	Julius could not possibly know that the real Bernard was alive, and therefore it would be as wise to keep the knowledge from him until such time as light would come to show Durham how to move.	Julius could not possibly know that the real Bernard was alive, and therefore it would be as wise to keep the knowledge from him until such time as light would come to show Durham how to move.	false	275.66	286.05	18
8875_293959_000028_000004	"Yes," he said at length, throwing down his pen and taking up a position on the hearth-rug.	"Yes," he said at length, throwing down his pen and taking up a position on the hearth rug.	true	286.05	291.33	20.949848
8875_293959_000028_000005	"I was informed by Miss Plantagenet that Bernard had sought refuge with her, and I went down to see him."	"I was informed by Miss Plantagenet that Bernard had sought refuge with her, and I went down to see him."	true	291.33	297.25	19.676989
8875_293959_000029_000000	"Why did you not tell me?" asked Julius, sharply.	"Why did you not tell me?" asked Julius, sharply.	true	297.35	300.07	22
8875_293959_000030_000000	Durham shrugged his shoulders.	Durham shrugged his shoulders.	true	300.2	301.87	22.508442
8875_293959_000030_000001	"By your own showing, seeing you wished to call in the police, you are not a friend to Bernard," he said.	"By your own showing, seeing you wished to call in the police, you are not a friend to Bernard," he said.	false	302.03	307.12	16
8875_293959_000030_000002	"Why should I have summoned you?	"Why should I have summoned you?	true	307.28	308.76	19.838085
8875_293959_000030_000003	To assist you to arrest him?"	To assist you to arrest him?"	true	308.76	310.54	20.673594
8875_293959_000031_000000	"I do not wish him to be arrested," said Julius, mildly.	"I do not wish him to be arrested," said Julius, mildly.	true	310.76	313.96	18
8875_293959_000031_000001	"On the contrary, I wish the poor fellow to die in peace."	"On the contrary, I wish the poor fellow to die in peace."	true	314.09	317.22	17
8875_293959_000032_000000	"To die--what do you mean?"	"To die-what do you mean?"	false	317.22	319.63	22.333544
8875_293959_000033_000000	"What I say, Mr. Durham.	"What I say, mr Durham.	true	319.7	321.34	17.572514
8875_293959_000033_000001	Payne tells me that Bernard has been so exhausted by his wandering when in hiding, that he cannot recover.	Payne tells me that Bernard has been so exhausted by his wandering when in hiding, that he cannot recover.	true	321.38	327.16	18
8875_293959_000033_000002	His death is only a question of days.	His death is only a question of days.	true	327.23	329.44	21.021423
8875_293959_000033_000003	Mind you"--Julius wagged his finger again--"I really believe he killed Sir Simon, but as he is dying, why, I shall do nothing.	Mind you"--Julius wagged his finger again-"I really believe he killed Sir Simon, but as he is dying, why, I shall do nothing.	true	329.87	338.05	20.788223
8875_293959_000033_000004	I am not a vindictive man.	I am not a vindictive man.	true	338.39	340.185	20.749771
8875_293959_000033_000005	Besides," added Julius, looking sideways at the lawyer, "Bernard and I are friends now.	Besides," added Julius, looking sideways at the lawyer, "Bernard and I are friends now.	true	340.185	345.31	18.635939
8875_293959_000033_000006	I am also friendly with Miss Malleson."	I am also friendly with Miss Malleson."	true	345.35	347.5	19
8875_293959_000034_000000	"Indeed!	"Indeed!	true	348.05	348.69	8.58381
8875_293959_000034_000001	And how did you bring that about?"	And how did you bring that about?"	true	348.69	350.29	18.786076
8875_293959_000035_000000	"By acting straightforward and honorably, as I always do," said the meek Julius.	"By acting straightforward and honorably, as I always do," said the meek Julius.	true	350.33	354.76	16
8875_293959_000035_000001	"Miss Malleson acknowledged to me that Bernard was sadly changed by the hardships he had undergone.	"Miss Malleson acknowledged to me that Bernard was sadly changed by the hardships he had undergone.	true	355.07	360.07	13
8875_293959_000035_000002	All the same she recognized him. Unfortunately, the poor fellow is too feeble to tell her of the perils he underwent, so she has not had an opportunity of talking much to him."	All the same she recognized him. Unfortunately, the poor fellow is too feeble to tell her of the perils he underwent, so she has not had an opportunity of talking much to him."	false	360.35	369.97	19.690912
8875_293959_000036_000000	It struck Durham from this speech that Julius was doubtful of the identity of Bernard with the man at the Bower.	It struck Durham from this speech that Julius was doubtful of the identity of Bernard with the man at the Bower.	true	370.28	376.21	17
8875_293959_000036_000001	Else why should he make this remark about Alice not having had time to question the sick man, seeing that Alice alone could prove if he were Bernard or not?	Else why should he make this remark about Alice not having had time to question the sick man, seeing that Alice alone could prove if he were Bernard or not?	true	376.55	384.64	19
8875_293959_000036_000002	Durham was perplexed, and wondered what Julius was driving at, and how much he knew.	Durham was perplexed, and wondered what Julius was driving at, and how much he knew.	true	384.89	389.41	21
8875_293959_000036_000003	A clue came with the next words.	A clue came with the next words.	true	389.57	391.515	21.135195
8875_293959_000037_000000	"And being friends with Bernard," went on Beryl, "he is sorry that we quarrelled.	"And being friends with Bernard," went on Beryl, "he is sorry that we quarrelled.	true	391.515	395.685	21.785559
8875_293959_000037_000001	Feeling that he is not long for this world he wants to make his will in my favor."	Feeling that he is not long for this world he wants to make his will in my favor."	true	395.685	399.97	18
8875_293959_000038_000000	Durham nearly uttered an exclamation, for all of a sudden the whole rascally business became clear.	Durham nearly uttered an exclamation, for all of a sudden the whole rascally business became clear.	true	400.22	405.82	19.613281
8875_293959_000038_000001	Julius knew that the man at the Bower was Michael, and he was prepared to extract from him a forged will, in the hope that the real Bernard was dead.	Julius knew that the man at the Bower was Michael, and he was prepared to extract from him a forged will, in the hope that the real Bernard was dead.	false	405.98	413.59	20.797298
8875_293959_000038_000002	Having made use of Michael to bring about the accusation of Gore, he now used him to the very last to get the money.	Having made use of Michael to bring about the accusation of Gore, he now used him to the very last to get the money.	true	413.63	420.22	19.89228
8875_293959_000038_000003	However, Durham kept his temper under, and pretended to believe that Julius was speaking in all good faith.	However, Durham kept his temper under, and pretended to believe that Julius was speaking in all good faith.	true	420.41	426.43	20
8875_293959_000038_000004	He simply bowed his head.	He simply bowed his head.	true	426.56	428.29	19.317858
8875_293959_000038_000005	Every word that Julius said was weaving a rope for his own neck.	Every word that Julius said was weaving a rope for his own neck.	false	428.36	432.16	18.380627
8875_293959_000039_000000	"Are you surprised then at my calling?" said Julius, anxiously.	"Are you surprised then at my calling?" said Julius, anxiously.	true	432.65	436.24	17
8875_293959_000040_000000	"No," said Durham, returning to his seat.	"No," said Durham, returning to his seat.	true	436.7	439.485	20.309507
8875_293959_000040_000001	"If Gore wishes to make a will, I suppose I am the man to draw it up.	"If Gore wishes to make a will, I suppose I am the man to draw it up.	true	439.485	443.44	20
8875_293959_000040_000002	I must go down and receive his instructions."	I must go down and receive his instructions."	true	443.54	446.14	18.54335
8875_293959_000041_000000	"I have them with me," said Julius, bringing out a sealed letter.	"I have them with me," said Julius, bringing out a sealed letter.	true	446.54	449.89	20
8875_293959_000042_000000	Durham, inwardly boiling at this rascality, but outwardly calm, opened the letter, while Julius kept a sharp look-out on him.	Durham, inwardly boiling at this rascality, but outwardly calm, opened the letter, while Julius kept a sharp look out on him.	false	450.29	458.22	18
8875_293959_000042_000001	He found a long letter, written in the same style as Bernard Gore usually wrote, setting forth directions for the will.	He found a long letter, written in the same style as Bernard Gore usually wrote, setting forth directions for the will.	false	458.22	465.3	20.49326
8875_293959_000042_000002	These included an income of five hundred a year to Alice Malleson, and the extra allowance of four hundred to Mrs. Gilroy, making her income five hundred in all.	These included an income of five hundred a year to Alice Malleson, and the extra allowance of four hundred to mrs Gilroy, making her income five hundred in all.	true	465.3	474.55	19
8875_293959_000042_000003	The rest of the estate, real and personal, went to Julius Beryl.	The rest of the estate, real and personal, went to Julius Beryl.	true	474.95	478.9	22
8875_293959_000042_000004	Durham smiled inwardly as he read this document.	Durham smiled inwardly as he read this document.	true	479.33	482.37	20.317015
8875_293959_000042_000005	It was exactly the kind of will Julius wanted. Michael was simply his instrument, and Durham shrewdly suspected that from some knowledge of the forged check Beryl had obtained this extraordinary influence.	It was exactly the kind of will Julius wanted. Michael was simply his instrument, and Durham shrewdly suspected that from some knowledge of the forged check Beryl had obtained this extraordinary influence.	true	482.37	494.11	20.126944
8875_293959_000043_000000	"Well, it seems clear enough," said the lawyer, laying down the letter, "but I think Miss Malleson, seeing what she loses, should have more."	"Well, it seems clear enough," said the lawyer, laying down the letter, "but I think Miss Malleson, seeing what she loses, should have more."	false	494.63	501.91	19
8875_293959_000044_000000	"I think she has quite enough," said Julius, tartly.	"I think she has quite enough," said Julius, tartly.	true	502.76	505.78	18
8875_293959_000045_000000	"Then Mrs. Gilroy," said Durham, pretending ignorance.	"Then mrs Gilroy," said Durham, pretending ignorance.	true	506.24	509.47	20.73197
8875_293959_000045_000001	"Why should Bernard leave her this extra money?"	"Why should Bernard leave her this extra money?"	false	509.48	511.81	21.04711
8875_293959_000046_000000	"I can't say.	"I can't say.	true	512.06	513.12	23.919664
8875_293959_000046_000001	Bernard will probably tell you himself.	Bernard will probably tell you himself.	true	513.12	515.17	20.595356
8875_293959_000046_000002	Will you please draw out the will, Mr. Durham, and bring it down to the Bower for Gore to sign?"	Will you please draw out the will, mr Durham, and bring it down to the Bower for Gore to sign?"	false	515.51	520.42	19
8875_293959_000047_000000	For the sake of appearances Durham went on making objections.	For the sake of appearances Durham went on making objections.	true	520.94	524.38	20.153404
8875_293959_000047_000001	All these were met by Julius with infernal cleverness, until the lawyer--on the face of it--had not a leg to stand on, as the saying goes.	All these were met by Julius with infernal cleverness, until the lawyer-on the face of it-had not a leg to stand on, as the saying goes.	true	524.72	533.11	19
8875_293959_000047_000002	Finally he consented to draw up the will as instructed by the letter, and agreed to meet Julius next day at Liverpool Street Station to go down with him to the Hall.	Finally he consented to draw up the will as instructed by the letter, and agreed to meet Julius next day at Liverpool Street Station to go down with him to the Hall.	false	533.21	542.77	19
8875_293959_000047_000003	Julius drew a long breath of relief when the lawyer so agreed, and apparently had no idea that he was being tricked all the time.	Julius drew a long breath of relief when the lawyer so agreed, and apparently had no idea that he was being tricked all the time.	false	542.87	550.06	19
8875_293959_000048_000000	"I am much obliged to you, Mr. Durham," said he, holding out his hand, "and when I come into possession of the estate you will find me a good client."	"I am much obliged to you, mr Durham," said he, holding out his hand, "and when I come into possession of the estate you will find me a good client."	false	550.19	558.37	18
8875_293959_000049_000000	Durham, for the sake of keeping up the deception, had to shake hands, although he loathed himself for doing so.	Durham, for the sake of keeping up the deception, had to shake hands, although he loathed himself for doing so.	true	558.83	564.97	20.90515
8875_293959_000049_000001	When the door closed on the arch plotter the solicitor went at once to wash his hands.	When the door closed on the arch plotter the solicitor went at once to wash his hands.	true	565.07	569.92	18
8875_293959_000050_000000	"What a complete scoundrel!" said Durham to himself.	"What a complete scoundrel!" said Durham to himself.	false	570.65	573.51	21.191866
8875_293959_000050_000001	"And how confoundedly clever.	"And how confoundedly clever.	true	573.51	575.265	21.580542
8875_293959_000050_000002	Of course, if the real Bernard were dead this will might stand.	Of course, if the real Bernard were dead this will might stand.	true	575.265	578.71	20
8875_293959_000050_000003	At all events, even if Miss Malleson could prove that Michael is not her lover, the new will might lead to litigation. However, as Bernard is alive and well we can produce him at the eleventh hour to frighten Beryl.	At all events, even if Miss Malleson could prove that Michael is not her lover, the new will might lead to litigation. However, as Bernard is alive and well we can produce him at the eleventh hour to frighten Beryl.	true	578.96	590.56	19.690481
8875_293959_000050_000004	I am afraid that young man will be hanged after all, though I am unwilling, for the sake of the family, that things should come to that pass."	I am afraid that young man will be hanged after all, though I am unwilling, for the sake of the family, that things should come to that pass."	false	590.57	597.76	19.740147
8875_293959_000051_000000	However, Durham, true to his appointment, arrived at the station the next day and had the will in his pocket.	However, Durham, true to his appointment, arrived at the station the next day and had the will in his pocket.	true	597.8	604.15	21.222816
8875_293959_000051_000001	Julius read it in the train going down and expressed his approval of it.	Julius read it in the train going down and expressed his approval of it.	true	604.19	608.65	18.633545
8875_293959_000051_000002	It was now Durham's cue to behave politely to Julius, and as though he truly believed in him and in the false Bernard Gore.	It was now Durham's cue to behave politely to Julius, and as though he truly believed in him and in the false Bernard Gore.	false	608.75	615.54	14
8875_293959_000051_000003	But on the previous night he had written a long letter to Miss Berengaria, which was to be read to Alice.	But on the previous night he had written a long letter to Miss Berengaria, which was to be read to Alice.	false	615.54	621.55	20.016129
8875_293959_000051_000004	In it Durham told the whole of Beryl's scheme to get possession of the property.	In it Durham told the whole of Beryl's scheme to get possession of the property.	true	621.83	626.13	20
8875_293959_000051_000005	But for obvious reasons he said nothing of Tolomeo's story or Beryl's real guilt.	But for obvious reasons he said nothing of Tolomeo's story or Beryl's real guilt.	true	626.13	631.005	17
8875_293959_000051_000006	He thought, very truly, that even Miss Berengaria's nerves could not stand being brought into such close relationship with a proven murderer, let alone that Alice might reveal the truth out of sheer disgust.	He thought, very truly, that even Miss Berengaria's nerves could not stand being brought into such close relationship with a proven murderer, let alone that Alice might reveal the truth out of sheer disgust.	true	631.005	642.43	19.914156
8875_293959_000051_000007	But the letter prepared the minds of both ladies for the execution of the will.	But the letter prepared the minds of both ladies for the execution of the will.	true	642.53	646.72	20.48555
8875_293959_000052_000000	On arriving at the Bower the two men were met by Jerry, looking more innocent and child-like than ever.	On arriving at the Bower the two men were met by Jerry, looking more innocent and child like than ever.	true	647.06	652.53	19.482916
8875_293959_000052_000001	"Please, missus says will you go into the drawing-room?" said the infant, casting down his eyes.	"Please, missus says will you go into the drawing room?" said the infant, casting down his eyes.	true	652.53	657.58	19.763773
8875_293959_000053_000000	Durham looked hard at the young scoundrel who was such a worthy instrument of Beryl's.	Durham looked hard at the young scoundrel who was such a worthy instrument of Beryl's.	true	657.62	662.235	22.2458
8875_293959_000053_000001	He would have liked to examine him then and there touching his luring of Bernard to Crimea Square, but the present moment was not propitious, so he passed on.	He would have liked to examine him then and there touching his luring of Bernard to Crimea Square, but the present moment was not propitious, so he passed on.	true	662.235	671.17	22
8875_293959_000053_000002	Julius, however, in a most benevolent way spoke to the boy--"I hope you are giving your good mistress satisfaction?"	Julius, however, in a most benevolent way spoke to the boy-"I hope you are giving your good mistress satisfaction?"	true	671.3	677.98	21.807049
8875_293959_000054_000000	"Oh yes, sir.	"Oh yes, sir.	true	678.14	679.3	23.720371
8875_293959_000054_000001	But she was angry at me writing and telling you about the poor sick gentleman."	But she was angry at me writing and telling you about the poor sick gentleman."	true	679.37	683.05	15
8875_293959_000055_000000	"By the way, Jerry, how did you find out about him?" asked Durham.	"By the way, Jerry, how did you find out about him?" asked Durham.	false	683.42	686.82	19.80826
8875_293959_000056_000000	"I saw him arrive," said Jerry, ingenuously.	"I saw him arrive," said Jerry, ingenuously.	true	686.82	689.89	11
8875_293959_000056_000001	"I was in the garden when he came.	"I was in the garden when he came.	true	690.2	691.905	18.770449
8875_293959_000056_000002	I wouldn't have written, sir, if I had known that my dear missus wanted it kept dark.	I wouldn't have written, sir, if I had known that my dear missus wanted it kept dark.	true	691.905	695.94	19.17839
8875_293959_000056_000003	But Mr. Beryl was so anxious about Sir Bernard that I thought he would be glad to know he was alive."	But mr Beryl was so anxious about Sir Bernard that I thought he would be glad to know he was alive."	false	695.94	701.38	18.96259
8875_293959_000057_000000	"How did you know this gentleman was Sir Bernard?"	"How did you know this gentleman was Sir Bernard?"	true	701.84	704.29	19.520132
8875_293959_000058_000000	"I heard James the coachman describe him, and then I knew."	"I heard james the coachman describe him, and then I knew."	true	704.57	708.19	19.954334
8875_293959_000059_000000	"All the same, Jerry," said Julius, benevolently, "if Miss Berengaria wished the fact of Sir Bernard's being here kept quiet, you should not have disclosed it even to me."	"All the same, Jerry," said Julius, benevolently, "if Miss Berengaria wished the fact of Sir Bernard's being here kept quiet, you should not have disclosed it even to me."	false	708.26	718.15	22.126139
8875_293959_000060_000000	"But I wished to set your mind at rest," murmured Jerry, looking up with dove-like eyes.	"But I wished to set your mind at rest," murmured Jerry, looking up with dove like eyes.	true	718.52	723.13	16
8875_293959_000060_000001	"I owe you so much, sir."	"I owe you so much, sir."	true	723.26	724.84	18.920597
8875_293959_000061_000000	Julius smiled and patting his head, walked on to the drawing-room.	Julius smiled and patting his head, walked on to the drawing room.	true	725.12	729.01	19.156147
8875_293959_000061_000001	It was a very pretty comedy, but Durham was not to be taken in.	It was a very pretty comedy, but Durham was not to be taken in.	true	729.02	732.7	21.48853
8875_293959_000061_000002	He knew well enough that the boy was a mere tool and a dangerous one.	He knew well enough that the boy was a mere tool and a dangerous one.	true	732.92	736.78	18
8875_293959_000061_000003	As a matter of fact, he did not know until later how dangerous the lad really could be.	As a matter of fact, he did not know until later how dangerous the lad really could be.	true	737.09	741.67	17
8875_293959_000062_000000	Miss Berengaria and Alice were in the drawing-room, and both smiled a welcome when the two men entered.	Miss Berengaria and Alice were in the drawing room, and both smiled a welcome when the two men entered.	true	741.95	747.99	19.598515
8875_293959_000062_000001	Alice darted a look of terror and repulsion at Beryl, but as he was shaking hands with the old lady he did not see it, else he might have suspected.	Alice darted a look of terror and repulsion at Beryl, but as he was shaking hands with the old lady he did not see it, else he might have suspected.	false	747.99	756.64	20.128693
8875_293959_000062_000002	Durham guessed this and touched her hand.	Durham guessed this and touched her hand.	true	756.8	758.98	23.179092
8875_293959_000062_000003	She nodded, and when Julius shook hands with her she welcomed him again with a smile, although her very flesh crept when she touched him.	She nodded, and when Julius shook hands with her she welcomed him again with a smile, although her very flesh crept when she touched him.	true	759.14	766.78	19.436283
8875_293959_000062_000004	As for Miss Berengaria, that indomitable old lady never turned a hair.	As for Miss Berengaria, that indomitable old lady never turned a hair.	true	766.91	771.49	21.743086
8875_293959_000062_000005	She smiled and chatted, and was bland to Julius.	She smiled and chatted, and was bland to Julius.	true	771.62	774.73	18
8875_293959_000062_000006	He might have been her dearest friend from the amount of attention she bestowed on him.	He might have been her dearest friend from the amount of attention she bestowed on him.	true	774.8	778.9	18.526445
8875_293959_000063_000000	"So poor Bernard is going to make his will," she said briskly.	"So poor Bernard is going to make his will," she said briskly.	true	780.29	783.64	21.946741
8875_293959_000063_000001	"I hope he has left Alice something."	"I hope he has left Alice something."	true	783.65	785.65	22.43741
