2012_139356_000001_000000	CHAPTER XV.	CHAPTER fifteen.
2012_139356_000045_000003	If to this is added that the animal is easily caught, it is not to be wondered at that the species is on its way to complete destruction.	If to this is added that the animal is easily caught, it is not to be wondered at that the species is on its way to complete destruction.
2012_139356_000046_000000	On the 19th of July, at sunrise, the jangada left Fonteboa, and entered between the two completely deserted banks of the river, and breasted some islands shaded with the grand forests of cacao-trees.	On the nineteenth of July, at sunrise, the jangada left Fonteboa, and entered between the two completely deserted banks of the river, and breasted some islands shaded with the grand forests of cacao trees.
2012_139356_000046_000001	The sky was heavily charged with electric cumuli, warning them of renewed storms.	The sky was heavily charged with electric cumuli, warning them of renewed storms.
2012_139356_000047_000000	The Rio Jurua, coming from the southwest, soon joins the river on the left.	The Rio Jurua, coming from the southwest, soon joins the river on the left.
2012_139356_000047_000001	A vessel can go up it into Peru without encountering insurmountable obstacles among its white waters, which are fed by a great number of petty affluents.	A vessel can go up it into Peru without encountering insurmountable obstacles among its white waters, which are fed by a great number of petty affluents.
2012_139356_000048_000000	"It is perhaps in these parts," said Manoel, "that we ought to look for those female warriors who so much astonished Orellana.	"It is perhaps in these parts," said Manoel, "that we ought to look for those female warriors who so much astonished Orellana.
2012_139356_000049_000000	The jangada continued to descend; but what a labyrinth the Amazon now appeared!	The jangada continued to descend; but what a labyrinth the Amazon now appeared!
2012_139356_000050_000000	Between them were canals, iguarapes, lagoons, temporary lakes, an inextricable network which renders the hydrography of this country so difficult.	Between them were canals, iguarapes, lagoons, temporary lakes, an inextricable network which renders the hydrography of this country so difficult.
2012_139356_000051_000000	But if Araujo had no map to guide him, his experience served him more surely, and it was wonderful to see him unraveling the chaos, without ever turning aside from the main river.	But if Araujo had no map to guide him, his experience served him more surely, and it was wonderful to see him unraveling the chaos, without ever turning aside from the main river.
2012_139356_000053_000000	But the town of Ega is of some importance; it was worthy of a halt to visit it.	But the town of e g a is of some importance; it was worthy of a halt to visit it.
2012_139356_000053_000002	This would give a rest, which was deservedly due to the hard-working crew of the raft.	This would give a rest, which was deservedly due to the hard-working crew of the raft.
2012_139356_000054_000000	The night passed at the moorings near a slightly rising shore, and nothing disturbed the quiet.	The night passed at the moorings near a slightly rising shore, and nothing disturbed the quiet.
