561_126312_000000_000000	ASHPUTTEL	a s h p u t t e l	false	1.32	16.485	22.368298
561_126312_000020_000002	And when they came back into the kitchen, there lay Ashputtel among the ashes; for she had slipped down on the other side of the tree, and carried her beautiful clothes back to the bird at the hazel-tree, and then put on her little grey frock.	And when they came back into the kitchen, there lay Ashputtel among the ashes; for she had slipped down on the other side of the tree, and carried her beautiful clothes back to the bird at the hazel tree, and then put on her little grey frock.	false	574.49	587.2	22.587118
561_126312_000021_000000	The third day, when her father and mother and sisters were gone, she went again into the garden, and said:	The third day, when her father and mother and sisters were gone, she went again into the garden, and said:	true	588.2	594.07	19.953848
561_126312_000022_000000	'Shake, shake, hazel-tree, Gold and silver over me!'	'Shake, shake, hazel tree, Gold and silver over me!'	true	594.11	597.46	21.525309
561_126312_000023_000000	Then her kind friend the bird brought a dress still finer than the former one, and slippers which were all of gold: so that when she came to the feast no one knew what to say, for wonder at her beauty: and the king's son danced with nobody but her; and when anyone else asked her to dance, he said, 'This lady is _my_ partner, sir.'	Then her kind friend the bird brought a dress still finer than the former one, and slippers which were all of gold: so that when she came to the feast no one knew what to say, for wonder at her beauty: and the king's son danced with nobody but her; and when anyone else asked her to dance, he said, 'This lady is underscore my underscore partner, sir.'	false	598.58	617.95	20.932156
561_126312_000024_000000	When night came she wanted to go home; and the king's son would go with her, and said to himself, 'I will not lose her this time'; but, however, she again slipped away from him, though in such a hurry that she dropped her left golden slipper upon the stairs.	When night came she wanted to go home; and the king's son would go with her, and said to himself, 'I will not lose her this time'; but, however, she again slipped away from him, though in such a hurry that she dropped her left golden slipper upon the stairs.	true	618.98	634.69	21.483067
561_126312_000025_000000	The prince took the shoe, and went the next day to the king his father, and said, 'I will take for my wife the lady that this golden slipper fits.' Then both the sisters were overjoyed to hear it; for they had beautiful feet, and had no doubt that they could wear the golden slipper.	The prince took the shoe, and went the next day to the king his father, and said, 'I will take for my wife the lady that this golden slipper fits.' Then both the sisters were overjoyed to hear it; for they had beautiful feet, and had no doubt that they could wear the golden slipper.	true	635.93	651.67	22.073927
561_126312_000025_000001	The eldest went first into the room where the slipper was, and wanted to try it on, and the mother stood by.	The eldest went first into the room where the slipper was, and wanted to try it on, and the mother stood by.	true	652.34	658.06	17
561_126312_000025_000002	But her great toe could not go into it, and the shoe was altogether much too small for her.	But her great toe could not go into it, and the shoe was altogether much too small for her.	false	658.55	663.07	24.159243
561_126312_000025_000003	Then the mother gave her a knife, and said, 'Never mind, cut it off; when you are queen you will not care about toes; you will not want to walk.' So the silly girl cut off her great toe, and thus squeezed on the shoe, and went to the king's son.	Then the mother gave her a knife, and said, 'Never mind, cut it off; when you are queen you will not care about toes; you will not want to walk.' So the silly girl cut off her great toe, and thus squeezed on the shoe, and went to the king's son.	true	663.38	677.38	22.27497
561_126312_000025_000004	Then he took her for his bride, and set her beside him on his horse, and rode away with her homewards.	Then he took her for his bride, and set her beside him on his horse, and rode away with her homewards.	true	679.07	684.61	21.18411
561_126312_000026_000000	But on their way home they had to pass by the hazel-tree that Ashputtel had planted; and on the branch sat a little dove singing:	But on their way home they had to pass by the hazel tree that Ashputtel had planted; and on the branch sat a little dove singing:	true	685.34	692.47	20.577374
561_126312_000027_000000	'Back again! back again!	'Back again! back again!	true	692.78	694.08	22.266552
561_126312_000027_000001	look to the shoe! The shoe is too small, and not made for you! Prince! prince! look again for thy bride, For she's not the true one that sits by thy side.'	look to the shoe! The shoe is too small, and not made for you! Prince! prince! look again for thy bride, For she's not the true one that sits by thy side.'	true	694.08	703.33	19.705902
561_126312_000028_000000	Then the prince got down and looked at her foot; and he saw, by the blood that streamed from it, what a trick she had played him.	Then the prince got down and looked at her foot; and he saw, by the blood that streamed from it, what a trick she had played him.	true	703.91	710.65	20.33616
561_126312_000028_000001	So he turned his horse round, and brought the false bride back to her home, and said, 'This is not the right bride; let the other sister try and put on the slipper.' Then she went into the room and got her foot into the shoe, all but the heel, which was too large.	So he turned his horse round, and brought the false bride back to her home, and said, 'This is not the right bride; let the other sister try and put on the slipper.' Then she went into the room and got her foot into the shoe, all but the heel, which was too large.	true	710.99	725.62	22.075056
561_126312_000028_000002	But her mother squeezed it in till the blood came, and took her to the king's son: and he set her as his bride by his side on his horse, and rode away with her.	But her mother squeezed it in till the blood came, and took her to the king's son: and he set her as his bride by his side on his horse, and rode away with her.	false	725.69	734.62	21.419971
561_126312_000029_000000	But when they came to the hazel-tree the little dove sat there still, and sang:	But when they came to the hazel tree the little dove sat there still, and sang:	true	735.71	739.725	16
561_126312_000030_000000	'Back again! back again!	'Back again! back again!	true	739.725	740.91	29.748346
561_126312_000030_000001	look to the shoe! The shoe is too small, and not made for you! Prince! prince! look again for thy bride, For she's not the true one that sits by thy side.'	look to the shoe! The shoe is too small, and not made for you! Prince! prince! look again for thy bride, For she's not the true one that sits by thy side.'	true	740.91	750.13	20.235302
561_126312_000031_000000	Then he looked down, and saw that the blood streamed so much from the shoe, that her white stockings were quite red.	Then he looked down, and saw that the blood streamed so much from the shoe, that her white stockings were quite red.	false	750.8	757.12	21.936626
561_126312_000031_000001	So he turned his horse and brought her also back again.	So he turned his horse and brought her also back again.	true	757.46	760.36	19.745844
561_126312_000031_000002	'This is not the true bride,' said he to the father; 'have you no other daughters?' 'No,' said he; 'there is only a little dirty Ashputtel here, the child of my first wife; I am sure she cannot be the bride.' The prince told him to send her.	'This is not the true bride,' said he to the father; 'have you no other daughters?' 'No,' said he; 'there is only a little dirty Ashputtel here, the child of my first wife; I am sure she cannot be the bride.' The prince told him to send her.	true	760.85	775.03	20.091303
561_126312_000031_000003	But the mother said, 'No, no, she is much too dirty; she will not dare to show herself.' However, the prince would have her come; and she first washed her face and hands, and then went in and curtsied to him, and he reached her the golden slipper.	But the mother said, 'No, no, she is much too dirty; she will not dare to show herself.' However, the prince would have her come; and she first washed her face and hands, and then went in and curtsied to him, and he reached her the golden slipper.	true	775.1	788.59	20.029663
561_126312_000031_000004	Then she took her clumsy shoe off her left foot, and put on the golden slipper; and it fitted her as if it had been made for her.	Then she took her clumsy shoe off her left foot, and put on the golden slipper; and it fitted her as if it had been made for her.	true	788.63	795.46	21.075867
561_126312_000031_000005	And when he drew near and looked at her face he knew her, and said, 'This is the right bride.' But the mother and both the sisters were frightened, and turned pale with anger as he took Ashputtel on his horse, and rode away with her.	And when he drew near and looked at her face he knew her, and said, 'This is the right bride.' But the mother and both the sisters were frightened, and turned pale with anger as he took Ashputtel on his horse, and rode away with her.	true	795.95	807.37	21.41018
561_126312_000031_000006	And when they came to the hazel-tree, the white dove sang:	And when they came to the hazel tree, the white dove sang:	true	808.01	811.27	21.556276
561_126312_000032_000000	'Home! home!	'Home! home!	true	811.55	812.7	15.358917
561_126312_000032_000001	look at the shoe! Princess! the shoe was made for you! Prince! prince! take home thy bride, For she is the true one that sits by thy side!'	look at the shoe! Princess! the shoe was made for you! Prince! prince! take home thy bride, For she is the true one that sits by thy side!'	true	812.7	821.44	21.249084
561_126312_000033_000000	And when the dove had done its song, it came flying, and perched upon her right shoulder, and so went home with her.	And when the dove had done its song, it came flying, and perched upon her right shoulder, and so went home with her.	true	822.2	828.24	19.970333
561_126312_000034_000000	THE WHITE SNAKE	THE WHITE SNAKE	false	828.24	828.93	-20
561_126312_000035_000000	A long time ago there lived a king who was famed for his wisdom through all the land.	A long time ago there lived a king who was famed for his wisdom through all the land.	false	828.93	833.31	10
561_126312_000035_000001	Nothing was hidden from him, and it seemed as if news of the most secret things was brought to him through the air.	Nothing was hidden from him, and it seemed as if news of the most secret things was brought to him through the air.	false	833.31	837.48	25.41415
561_126312_000035_000002	But he had a strange custom; every day after dinner, when the table was cleared, and no one else was present, a trusty servant had to bring him one more dish.	But he had a strange custom; every day after dinner, when the table was cleared, and no one else was present, a trusty servant had to bring him one more dish.	false	837.48	838.83	20
561_126312_000035_000003	It was covered, however, and even the servant did not know what was in it, neither did anyone know, for the king never took off the cover to eat of it until he was quite alone.	It was covered, however, and even the servant did not know what was in it, neither did anyone know, for the king never took off the cover to eat of it until he was quite alone.	false	838.83	839.61	17
