6696_73296_000000_000000	FAMILY DOCTORS	FAMILY DOCTORS
6696_73296_000019_000000	"That has been a good deal the case, my dear, but not to the degree you mention.	"That has been a good deal the case, my dear, but not to the degree you mention.
6696_73296_000019_000001	Perry says that colds have been very general, but not so heavy as he has very often known them in November.	Perry says that colds have been very general, but not so heavy as he has very often known them in November.
6696_73296_000019_000002	Perry does not call it altogether a sickly season."	Perry does not call it altogether a sickly season."
6696_73296_000021_000002	It is a dreadful thing to have you forced to live there;--so far off!--and the air so bad!"	It is a dreadful thing to have you forced to live there;--so far off!--and the air so bad!"
6696_73296_000022_000001	Our part of London is so very superior to most others.	Our part of London is so very superior to most others.
6696_73296_000022_000003	The neighborhood of Brunswick Square is very different from almost all the rest.	The neighborhood of Brunswick Square is very different from almost all the rest.
6696_73296_000022_000004	We are so very airy!	We are so very airy!
6696_73296_000022_000006	Mr. Wingfield thinks the vicinity of Brunswick Square decidedly the most favorable as to air."	mr Wingfield thinks the vicinity of Brunswick Square decidedly the most favorable as to air."
6696_73296_000023_000002	Now, I cannot say that I think you are any of you looking well at present."	Now, I cannot say that I think you are any of you looking well at present."
6696_73296_000024_000000	"I am sorry to hear you say so, sir; but I assure you, excepting those little nervous headaches and palpitations which I am never entirely free from anywhere, I am quite well myself; and if the children were rather pale before they went to bed, it was only because they were a little more tired than usual from their journey and the happiness of coming.	"I am sorry to hear you say so, sir; but I assure you, excepting those little nervous headaches and palpitations which I am never entirely free from anywhere, I am quite well myself; and if the children were rather pale before they went to bed, it was only because they were a little more tired than usual from their journey and the happiness of coming.
6696_73296_000024_000001	I hope you will think better of their looks to-morrow; for I assure you Mr. Wingfield told me that he did not believe he had ever sent us off, altogether, in such good case.	I hope you will think better of their looks to morrow; for I assure you mr Wingfield told me that he did not believe he had ever sent us off, altogether, in such good case.
6696_73296_000024_000002	I trust at least that you do not think Mr. Knightley looking ill," turning her eyes with affectionate anxiety toward her husband.	I trust at least that you do not think mr Knightley looking ill," turning her eyes with affectionate anxiety toward her husband.
6696_73296_000025_000000	"Middling, my dear; I cannot compliment you.	"Middling, my dear; I cannot compliment you.
6696_73296_000025_000001	I think Mr. John Knightley very far from looking well."	I think mr john Knightley very far from looking well."
6696_73296_000026_000001	Did you speak to me?" cried Mr. John Knightley, hearing his own name.	Did you speak to me?" cried mr john Knightley, hearing his own name.
6696_73296_000027_000000	"I am sorry to find, my love, that my father does not think you looking well; but I hope it is only from being a little fatigued.	"I am sorry to find, my love, that my father does not think you looking well; but I hope it is only from being a little fatigued.
6696_73296_000028_000000	"My dear Isabella," exclaimed he hastily, "pray do not concern yourself about my looks.	"My dear Isabella," exclaimed he hastily, "pray do not concern yourself about my looks.
6696_73296_000028_000001	Be satisfied with doctoring and coddling yourself and the children, and let me look as I choose."	Be satisfied with doctoring and coddling yourself and the children, and let me look as I choose."
6696_73296_000029_000000	"I did not thoroughly understand what you were telling your brother," cried Emma, "about your friend Mr. Graham's intending to have a bailiff from Scotland to look after his new estate.	"I did not thoroughly understand what you were telling your brother," cried Emma, "about your friend mr Graham's intending to have a bailiff from Scotland to look after his new estate.
6696_73296_000029_000001	But will it answer?	But will it answer?
6696_73296_000029_000002	Will not the old prejudice be too strong?"	Will not the old prejudice be too strong?"
6696_73296_000030_000000	And she talked in this way so long and successfully that, when forced to give her attention again to her father and sister, she had nothing worse to hear than Isabella's kind inquiry after Jane Fairfax; and Jane Fairfax, though no great favorite with her in general, she was at that moment very happy to assist in praising.	And she talked in this way so long and successfully that, when forced to give her attention again to her father and sister, she had nothing worse to hear than Isabella's kind inquiry after Jane Fairfax; and Jane Fairfax, though no great favorite with her in general, she was at that moment very happy to assist in praising.
6696_73296_000031_000000	"That sweet, amiable Jane Fairfax!" said Mrs. John Knightley.	"That sweet, amiable Jane Fairfax!" said mrs john Knightley.
6696_73296_000031_000003	I always regret excessively, on dear Emma's account, that she cannot be more at Highbury; but now their daughter is married I suppose Colonel and Mrs. Campbell will not be able to part with her at all.	I always regret excessively, on dear Emma's account, that she cannot be more at Highbury; but now their daughter is married I suppose Colonel and mrs Campbell will not be able to part with her at all.
6696_73296_000031_000004	She would be such a delightful companion for Emma."	She would be such a delightful companion for Emma."
6696_73296_000032_000000	Mr. Woodhouse agreed to it all, but added:--	mr Woodhouse agreed to it all, but added:--
6696_73296_000033_000000	"Our little friend Harriet Smith, however, is just such another pretty kind of young person.	"Our little friend Harriet Smith, however, is just such another pretty kind of young person.
6696_73296_000033_000001	You will like Harriet.	You will like Harriet.
6696_73296_000035_000000	This topic was discussed very happily, and others succeeded of similar moment, and passed away with similar harmony; but the evening did not close without a little return of agitation.	This topic was discussed very happily, and others succeeded of similar moment, and passed away with similar harmony; but the evening did not close without a little return of agitation.
6696_73296_000035_000002	Often as she had wished for and ordered it, she had never been able to get anything tolerable.	Often as she had wished for and ordered it, she had never been able to get anything tolerable.
6696_73296_000036_000002	It does not bear talking of." And for a little while she hoped he would not talk of it, and that a silent rumination might suffice to restore him to the relish of his own smooth gruel.	It does not bear talking of." And for a little while she hoped he would not talk of it, and that a silent rumination might suffice to restore him to the relish of his own smooth gruel.
6696_73296_000036_000003	After an interval of some minutes, however, he began with--	After an interval of some minutes, however, he began with-
6696_73296_000037_000000	"I shall always be very sorry that you went to the sea this autumn, instead of coming here."	"I shall always be very sorry that you went to the sea this autumn, instead of coming here."
6696_73296_000038_000000	"But why should you be sorry, sir?	"But why should you be sorry, sir?
6696_73296_000038_000001	I assure you it did the children a great deal of good."	I assure you it did the children a great deal of good."
6696_73296_000039_000000	"And moreover, if you must go to the sea, it had better not have been to South End.	"And moreover, if you must go to the sea, it had better not have been to South End.
6696_73296_000039_000002	Perry was surprised to hear you had fixed upon South End."	Perry was surprised to hear you had fixed upon South End."
6696_73296_000040_000000	"I know there is such an idea with many people, but indeed it is quite a mistake, sir.	"I know there is such an idea with many people, but indeed it is quite a mistake, sir.
6696_73296_000040_000001	We all had our health perfectly well there, never found the least inconvenience from the mud, and Mr. Wingfield says it is entirely a mistake to suppose the place unhealthy; and I am sure he may be depended on, for he thoroughly understands the nature of the air, and his own brother and family have been there repeatedly."	We all had our health perfectly well there, never found the least inconvenience from the mud, and mr Wingfield says it is entirely a mistake to suppose the place unhealthy; and I am sure he may be depended on, for he thoroughly understands the nature of the air, and his own brother and family have been there repeatedly."
6696_73296_000041_000000	"You should have gone to Cromer, my dear, if you went anywhere.	"You should have gone to Cromer, my dear, if you went anywhere.
6696_73296_000041_000001	Perry was a week at Cromer once, and he holds it to be the best of all the sea-bathing places.	Perry was a week at Cromer once, and he holds it to be the best of all the sea bathing places.
6696_73296_000041_000003	And by what I understand, you might have had lodgings there quite away from the sea--a quarter of a mile off--very comfortable.	And by what I understand, you might have had lodgings there quite away from the sea-a quarter of a mile off-very comfortable.
6696_73296_000041_000004	You should have consulted Perry."	You should have consulted Perry."
6696_73296_000042_000000	"But my dear sir, the difference of the journey: only consider how great it would have been.	"But my dear sir, the difference of the journey: only consider how great it would have been.
6696_73296_000042_000001	A hundred miles, perhaps, instead of forty."	A hundred miles, perhaps, instead of forty."
6696_73296_000043_000001	Better not move at all, better stay in London altogether than travel forty miles to get into a worse air.	Better not move at all, better stay in London altogether than travel forty miles to get into a worse air.
6696_73296_000043_000002	This is just what Perry said.	This is just what Perry said.
6696_73296_000044_000000	Emma's attempts to stop her father had been vain; and when he had reached such a point as this, she could not wonder at her brother-in-law's breaking out.	Emma's attempts to stop her father had been vain; and when he had reached such a point as this, she could not wonder at her brother-in-law's breaking out.
6696_73296_000045_000000	"Mr. Perry," said he, in a voice of very strong displeasure, "would do as well to keep his opinion till it is asked for.	"mr Perry," said he, in a voice of very strong displeasure, "would do as well to keep his opinion till it is asked for.
6696_73296_000045_000002	I may be allowed, I hope, the use of my judgment as well as Mr. Perry.	I may be allowed, I hope, the use of my judgment as well as mr Perry.
6696_73296_000045_000003	I want his directions no more than his drugs." He paused, and growing cooler in a moment, added, with only sarcastic dryness, "If Mr. Perry can tell me how to convey a wife and five children a distance of a hundred and thirty miles with no greater expense or inconvenience than a distance of forty, I should be as willing to prefer Cromer to South End as he could himself."	I want his directions no more than his drugs." He paused, and growing cooler in a moment, added, with only sarcastic dryness, "If mr Perry can tell me how to convey a wife and five children a distance of a hundred and thirty miles with no greater expense or inconvenience than a distance of forty, I should be as willing to prefer Cromer to South End as he could himself."
6696_73296_000046_000000	"True, true," cried Mr. Knightley, with most ready interposition, "very true.	"True, true," cried mr Knightley, with most ready interposition, "very true.
6696_73296_000046_000001	That's a consideration, indeed.	That's a consideration, indeed.
