7518_86741_000000_000000	Chapter 35.	Chapter thirty five.	false	0.63	22.35	16.969246
7518_86741_000004_000001	Can you tell us where we can obtain a sight of the Piazza del Popolo?"	Can you tell us where we can obtain a sight of the Piazza del Popolo?"	true	142.4	146.23	11
7518_86741_000005_000000	"Ah," said the count negligently, looking attentively at Morcerf, "is there not something like an execution upon the Piazza del Popolo?"	"Ah," said the count negligently, looking attentively at Morcerf, "is there not something like an execution upon the Piazza del Popolo?"	true	146.9	155.77	16
7518_86741_000006_000000	"Yes," returned Franz, finding that the count was coming to the point he wished.	"Yes," returned Franz, finding that the count was coming to the point he wished.	true	156.5	161.2	12
7518_86741_000007_000000	"Stay, I think I told my steward yesterday to attend to this; perhaps I can render you this slight service also." He extended his hand, and rang the bell thrice.	"Stay, I think I told my steward yesterday to attend to this; perhaps I can render you this slight service also." He extended his hand, and rang the bell thrice.	true	161.63	171.91	10
7518_86741_000007_000001	"Did you ever occupy yourself," said he to Franz, "with the employment of time and the means of simplifying the summoning your servants?	"Did you ever occupy yourself," said he to Franz, "with the employment of time and the means of simplifying the summoning your servants?	false	172.31	180.82	9
7518_86741_000007_000002	I have.	I have.	true	181.67	182.62	20.353321
7518_86741_000007_000003	When I ring once, it is for my valet; twice, for my majordomo; thrice, for my steward,--thus I do not waste a minute or a word.	When I ring once, it is for my valet; twice, for my majordomo; thrice, for my steward,--thus I do not waste a minute or a word.	true	183.17	192.28	12
7518_86741_000007_000004	Here he is." A man of about forty-five or fifty entered, exactly resembling the smuggler who had introduced Franz into the cavern; but he did not appear to recognize him.	Here he is." A man of about forty five or fifty entered, exactly resembling the smuggler who had introduced Franz into the cavern; but he did not appear to recognize him.	true	192.68	204.49	14.940521
7518_86741_000007_000005	It was evident he had his orders. "Monsieur Bertuccio," said the count, "you have procured me windows looking on the Piazza del Popolo, as I ordered you yesterday."	It was evident he had his orders. "Monsieur Bertuccio," said the count, "you have procured me windows looking on the Piazza del Popolo, as I ordered you yesterday."	true	205.28	215.8	17
7518_86741_000008_000000	"Yes, excellency," returned the steward; "but it was very late."	"Yes, excellency," returned the steward; "but it was very late."	true	216.17	220.6	15
7518_86741_000009_000000	"Did I not tell you I wished for one?" replied the count, frowning.	"Did I not tell you I wished for one?" replied the count, frowning.	true	221.27	225.31	15
7518_86741_000010_000000	"And your excellency has one, which was let to Prince Lobanieff; but I was obliged to pay a hundred"--	"And your excellency has one, which was let to Prince Lobanieff; but I was obliged to pay a hundred"--	true	225.68	232.065	15
7518_86741_000011_000000	"That will do--that will do, Monsieur Bertuccio; spare these gentlemen all such domestic arrangements.	"That will do-that will do, Monsieur Bertuccio; spare these gentlemen all such domestic arrangements.	true	232.065	238.81	11
7518_86741_000011_000001	You have the window, that is sufficient. Give orders to the coachman; and be in readiness on the stairs to conduct us to it." The steward bowed, and was about to quit the room. "Ah," continued the count, "be good enough to ask Pastrini if he has received the tavoletta, and if he can send us an account of the execution."	You have the window, that is sufficient. Give orders to the coachman; and be in readiness on the stairs to conduct us to it." The steward bowed, and was about to quit the room. "Ah," continued the count, "be good enough to ask Pastrini if he has received the tavoletta, and if he can send us an account of the execution."	false	239.75	260.26	13
7518_86741_000012_000000	"There is no need to do that," said Franz, taking out his tablets; "for I saw the account, and copied it down."	"There is no need to do that," said Franz, taking out his tablets; "for I saw the account, and copied it down."	true	261.5	267.91	13
7518_86741_000013_000000	"Very well, you can retire, M. Bertuccio; but let us know when breakfast is ready.	"Very well, you can retire, m Bertuccio; but let us know when breakfast is ready.	false	268.49	274.12	12
7518_86741_000013_000001	These gentlemen," added he, turning to the two friends, "will, I trust, do me the honor to breakfast with me?"	These gentlemen," added he, turning to the two friends, "will, I trust, do me the honor to breakfast with me?"	true	274.25	281.11	8
7518_86741_000014_000000	"But, my dear count," said Albert, "we shall abuse your kindness."	"But, my dear count," said Albert, "we shall abuse your kindness."	true	282.32	286.21	18
7518_86741_000015_000000	"Not at all; on the contrary, you will give me great pleasure.	"Not at all; on the contrary, you will give me great pleasure.	true	286.7	290.56	7
7518_86741_000015_000001	You will, one or other of you, perhaps both, return it to me at Paris.	You will, one or other of you, perhaps both, return it to me at Paris.	true	290.75	295.53	10
7518_86741_000015_000002	M. Bertuccio, lay covers for three." He then took Franz's tablets out of his hand.	M. Bertuccio, lay covers for three." He then took Franz's tablets out of his hand.	false	295.53	302.62	16.75955
7518_86741_000015_000003	"'We announce,' he read, in the same tone with which he would have read a newspaper, 'that to-day, the 23d of February, will be executed Andrea Rondolo, guilty of murder on the person of the respected and venerated Don Cesare Torlini, canon of the church of St. John Lateran, and Peppino, called Rocca Priori, convicted of complicity with the detestable bandit Luigi Vampa, and the men of his band.' Hum! 'The first will be mazzolato, the second decapitato.' Yes," continued the count, "it was at first arranged in this way; but I think since yesterday some change has taken place in the order of the ceremony."	"'We announce,' he read, in the same tone with which he would have read a newspaper, 'that to day, the twenty three d of February, will be executed Andrea Rondolo, guilty of murder on the person of the respected and venerated Don Cesare Torlini, canon of the church of saint John Lateran, and Peppino, called Rocca Priori, convicted of complicity with the detestable bandit Luigi Vampa, and the men of his band.' Hum! 'The first will be mazzolato, the second decapitato.' Yes," continued the count, "it was at first arranged in this way; but I think since yesterday some change has taken place in the order of the ceremony."	false	302.81	344.44	12
7518_86741_000016_000000	"Really?" said Franz.	"Really?" said Franz.	true	345.08	346.81	14
7518_86741_000017_000000	"Yes, I passed the evening at the Cardinal Rospigliosi's, and there mention was made of something like a pardon for one of the two men."	"Yes, I passed the evening at the Cardinal Rospigliosi's, and there mention was made of something like a pardon for one of the two men."	true	347.09	355.84	10
7518_86741_000018_000000	"For Andrea Rondolo?" asked Franz.	"For Andrea Rondolo?" asked Franz.	true	356.57	359.02	5
7518_86741_000019_000000	"No," replied the count, carelessly; "for the other (he glanced at the tablets as if to recall the name), for Peppino, called Rocca Priori.	"No," replied the count, carelessly; "for the other (he glanced at the tablets as if to recall the name), for Peppino, called Rocca Priori.	true	359.36	369.94	17
7518_86741_000019_000001	You are thus deprived of seeing a man guillotined; but the mazzuola still remains, which is a very curious punishment when seen for the first time, and even the second, while the other, as you must know, is very simple.	You are thus deprived of seeing a man guillotined; but the mazzuola still remains, which is a very curious punishment when seen for the first time, and even the second, while the other, as you must know, is very simple.	true	370.73	383.5	16
7518_86741_000019_000002	The mandaia [*] never fails, never trembles, never strikes thirty times ineffectually, like the soldier who beheaded the Count of Chalais, and to whose tender mercy Richelieu had doubtless recommended the sufferer.	The mandaia [asterisk] never fails, never trembles, never strikes thirty times ineffectually, like the soldier who beheaded the Count of Chalais, and to whose tender mercy Richelieu had doubtless recommended the sufferer.	false	384.02	397.41	10
7518_86741_000019_000003	Ah," added the count, in a contemptuous tone, "do not tell me of European punishments, they are in the infancy, or rather the old age, of cruelty."	Ah," added the count, in a contemptuous tone, "do not tell me of European punishments, they are in the infancy, or rather the old age, of cruelty."	false	397.41	408.12	13
7518_86741_000020_000000	* Guillotine.	asterisk Guillotine.	false	408.12	409.8	18.621485
7518_86741_000021_000000	"Really, count," replied Franz, "one would think that you had studied the different tortures of all the nations of the world."	"Really, count," replied Franz, "one would think that you had studied the different tortures of all the nations of the world."	true	409.8	416.86	11
7518_86741_000022_000000	"There are, at least, few that I have not seen," said the count coldly.	"There are, at least, few that I have not seen," said the count coldly.	true	417.2	422.32	10
7518_86741_000023_000000	"And you took pleasure in beholding these dreadful spectacles?"	"And you took pleasure in beholding these dreadful spectacles?"	true	423.29	427.09	7
7518_86741_000024_000000	"My first sentiment was horror, the second indifference, the third curiosity."	"My first sentiment was horror, the second indifference, the third curiosity."	true	427.79	433.06	17
7518_86741_000025_000000	"Curiosity--that is a terrible word."	"Curiosity-that is a terrible word."	true	433.46	436.84	17.06527
7518_86741_000026_000000	"Why so?	"Why so?	true	437.45	438.52	16
7518_86741_000026_000001	In life, our greatest preoccupation is death; is it not then, curious to study the different ways by which the soul and body can part; and how, according to their different characters, temperaments, and even the different customs of their countries, different persons bear the transition from life to death, from existence to annihilation?	In life, our greatest preoccupation is death; is it not then, curious to study the different ways by which the soul and body can part; and how, according to their different characters, temperaments, and even the different customs of their countries, different persons bear the transition from life to death, from existence to annihilation?	false	439.16	461.47	10
7518_86741_000026_000002	As for myself, I can assure you of one thing,--the more men you see die, the easier it becomes to die yourself; and in my opinion, death may be a torture, but it is not an expiation."	As for myself, I can assure you of one thing,--the more men you see die, the easier it becomes to die yourself; and in my opinion, death may be a torture, but it is not an expiation."	true	462.2	474.88	13
7518_86741_000027_000000	"I do not quite understand you," replied Franz; "pray explain your meaning, for you excite my curiosity to the highest pitch."	"I do not quite understand you," replied Franz; "pray explain your meaning, for you excite my curiosity to the highest pitch."	true	476	483.88	10
7518_86741_000028_000000	"Listen," said the count, and deep hatred mounted to his face, as the blood would to the face of any other.	"Listen," said the count, and deep hatred mounted to his face, as the blood would to the face of any other.	true	484.64	491.35	9
7518_86741_000028_000001	"If a man had by unheard-of and excruciating tortures destroyed your father, your mother, your betrothed,--a being who, when torn from you, left a desolation, a wound that never closes, in your breast,--do you think the reparation that society gives you is sufficient when it interposes the knife of the guillotine between the base of the occiput and the trapezal muscles of the murderer, and allows him who has caused us years of moral sufferings to escape with a few moments of physical pain?"	"If a man had by unheard of and excruciating tortures destroyed your father, your mother, your betrothed,--a being who, when torn from you, left a desolation, a wound that never closes, in your breast,--do you think the reparation that society gives you is sufficient when it interposes the knife of the guillotine between the base of the occiput and the trapezal muscles of the murderer, and allows him who has caused us years of moral sufferings to escape with a few moments of physical pain?"	false	491.63	525.55	9
7518_86741_000029_000000	"Yes, I know," said Franz, "that human justice is insufficient to console us; she can give blood in return for blood, that is all; but you must demand from her only what it is in her power to grant."	"Yes, I know," said Franz, "that human justice is insufficient to console us; she can give blood in return for blood, that is all; but you must demand from her only what it is in her power to grant."	false	526.19	540.16	15
7518_86741_000030_000000	"I will put another case to you," continued the count; "that where society, attacked by the death of a person, avenges death by death.	"I will put another case to you," continued the count; "that where society, attacked by the death of a person, avenges death by death.	false	541.61	550.9	12
7518_86741_000030_000001	But are there not a thousand tortures by which a man may be made to suffer without society taking the least cognizance of them, or offering him even the insufficient means of vengeance, of which we have just spoken? Are there not crimes for which the impalement of the Turks, the augers of the Persians, the stake and the brand of the Iroquois Indians, are inadequate tortures, and which are unpunished by society?	But are there not a thousand tortures by which a man may be made to suffer without society taking the least cognizance of them, or offering him even the insufficient means of vengeance, of which we have just spoken? Are there not crimes for which the impalement of the Turks, the augers of the Persians, the stake and the brand of the Iroquois Indians, are inadequate tortures, and which are unpunished by society?	true	551.33	578.8	14
7518_86741_000030_000002	Answer me, do not these crimes exist?"	Answer me, do not these crimes exist?"	true	579.05	581.92	13
7518_86741_000031_000000	"Yes," answered Franz; "and it is to punish them that duelling is tolerated."	"Yes," answered Franz; "and it is to punish them that duelling is tolerated."	false	582.56	587.37	10
7518_86741_000032_000000	"Ah, duelling," cried the count; "a pleasant manner, upon my soul, of arriving at your end when that end is vengeance!	"Ah, duelling," cried the count; "a pleasant manner, upon my soul, of arriving at your end when that end is vengeance!	false	587.37	595.57	13
7518_86741_000032_000001	A man has carried off your mistress, a man has seduced your wife, a man has dishonored your daughter; he has rendered the whole life of one who had the right to expect from heaven that portion of happiness God has promised to every one of his creatures, an existence of misery and infamy; and you think you are avenged because you send a ball through the head, or pass a sword through the breast, of that man who has planted madness in your brain, and despair in your heart.	A man has carried off your mistress, a man has seduced your wife, a man has dishonored your daughter; he has rendered the whole life of one who had the right to expect from heaven that portion of happiness God has promised to every one of his creatures, an existence of misery and infamy; and you think you are avenged because you send a ball through the head, or pass a sword through the breast, of that man who has planted madness in your brain, and despair in your heart.	true	596.12	625.33	11
7518_86741_000032_000002	And remember, moreover, that it is often he who comes off victorious from the strife, absolved of all crime in the eyes of the world.	And remember, moreover, that it is often he who comes off victorious from the strife, absolved of all crime in the eyes of the world.	false	625.58	634.695	10
7518_86741_000032_000003	No, no," continued the count, "had I to avenge myself, it is not thus I would take revenge."	No, no," continued the count, "had I to avenge myself, it is not thus I would take revenge."	false	634.695	642.1	14
7518_86741_000033_000000	"Then you disapprove of duelling?	"Then you disapprove of duelling?	false	642.89	644.85	16.445595
7518_86741_000033_000001	You would not fight a duel?" asked Albert in his turn, astonished at this strange theory.	You would not fight a duel?" asked Albert in his turn, astonished at this strange theory.	true	644.85	650.23	14
7518_86741_000034_000000	"Oh, yes," replied the count; "understand me, I would fight a duel for a trifle, for an insult, for a blow; and the more so that, thanks to my skill in all bodily exercises, and the indifference to danger I have gradually acquired, I should be almost certain to kill my man.	"Oh, yes," replied the count; "understand me, I would fight a duel for a trifle, for an insult, for a blow; and the more so that, thanks to my skill in all bodily exercises, and the indifference to danger I have gradually acquired, I should be almost certain to kill my man.	true	650.42	667.24	12
7518_86741_000034_000001	Oh, I would fight for such a cause; but in return for a slow, profound, eternal torture, I would give back the same, were it possible; an eye for an eye, a tooth for a tooth, as the Orientalists say,--our masters in everything,--those favored creatures who have formed for themselves a life of dreams and a paradise of realities."	Oh, I would fight for such a cause; but in return for a slow, profound, eternal torture, I would give back the same, were it possible; an eye for an eye, a tooth for a tooth, as the Orientalists say,--our masters in everything,--those favored creatures who have formed for themselves a life of dreams and a paradise of realities."	true	667.28	688.69	11
7518_86741_000035_000000	"But," said Franz to the count, "with this theory, which renders you at once judge and executioner of your own cause, it would be difficult to adopt a course that would forever prevent your falling under the power of the law.	"But," said Franz to the count, "with this theory, which renders you at once judge and executioner of your own cause, it would be difficult to adopt a course that would forever prevent your falling under the power of the law.	false	689.66	702.66	11
7518_86741_000035_000001	Hatred is blind, rage carries you away; and he who pours out vengeance runs the risk of tasting a bitter draught."	Hatred is blind, rage carries you away; and he who pours out vengeance runs the risk of tasting a bitter draught."	false	702.66	711.3	13
7518_86741_000036_000000	"Yes, if he be poor and inexperienced, not if he be rich and skilful; besides, the worst that could happen to him would be the punishment of which we have already spoken, and which the philanthropic French Revolution has substituted for being torn to pieces by horses or broken on the wheel.	"Yes, if he be poor and inexperienced, not if he be rich and skilful; besides, the worst that could happen to him would be the punishment of which we have already spoken, and which the philanthropic French Revolution has substituted for being torn to pieces by horses or broken on the wheel.	true	711.3	728.8	9
7518_86741_000036_000001	What matters this punishment, as long as he is avenged?	What matters this punishment, as long as he is avenged?	true	729.08	732.22	13
7518_86741_000036_000002	On my word, I almost regret that in all probability this miserable Peppino will not be beheaded, as you might have had an opportunity then of seeing how short a time the punishment lasts, and whether it is worth even mentioning; but, really this is a most singular conversation for the Carnival, gentlemen; how did it arise?	On my word, I almost regret that in all probability this miserable Peppino will not be beheaded, as you might have had an opportunity then of seeing how short a time the punishment lasts, and whether it is worth even mentioning; but, really this is a most singular conversation for the Carnival, gentlemen; how did it arise?	false	732.62	753.54	10
7518_86741_000036_000003	Ah, I recollect, you asked for a place at my window; you shall have it; but let us first sit down to table, for here comes the servant to inform us that breakfast is ready." As he spoke, a servant opened one of the four doors of the apartment, saying--"Al suo commodo!" The two young men arose and entered the breakfast-room.	Ah, I recollect, you asked for a place at my window; you shall have it; but let us first sit down to table, for here comes the servant to inform us that breakfast is ready." As he spoke, a servant opened one of the four doors of the apartment, saying-"Al s u o commodo!" The two young men arose and entered the breakfast room.	false	753.54	775.39	14
7518_86741_000037_000000	During the meal, which was excellent, and admirably served, Franz looked repeatedly at Albert, in order to observe the impressions which he doubted not had been made on him by the words of their entertainer; but whether with his usual carelessness he had paid but little attention to him, whether the explanation of the Count of Monte Cristo with regard to duelling had satisfied him, or whether the events which Franz knew of had had their effect on him alone, he remarked that his companion did not pay the least regard to them, but on the contrary ate like a man who for the last four or five months had been condemned to partake of Italian cookery--that is, the worst in the world.	During the meal, which was excellent, and admirably served, Franz looked repeatedly at Albert, in order to observe the impressions which he doubted not had been made on him by the words of their entertainer; but whether with his usual carelessness he had paid but little attention to him, whether the explanation of the Count of Monte Cristo with regard to duelling had satisfied him, or whether the events which Franz knew of had had their effect on him alone, he remarked that his companion did not pay the least regard to them, but on the contrary ate like a man who for the last four or five months had been condemned to partake of Italian cookery-that is, the worst in the world.	false	775.88	815.95	12
7518_86741_000037_000001	As for the count, he just touched the dishes; he seemed to fulfil the duties of a host by sitting down with his guests, and awaited their departure to be served with some strange or more delicate food.	As for the count, he just touched the dishes; he seemed to fulfil the duties of a host by sitting down with his guests, and awaited their departure to be served with some strange or more delicate food.	true	817.04	828.76	11
7518_86741_000037_000002	This brought back to Franz, in spite of himself, the recollection of the terror with which the count had inspired the Countess G----, and her firm conviction that the man in the opposite box was a vampire.	This brought back to Franz, in spite of himself, the recollection of the terror with which the count had inspired the Countess G----, and her firm conviction that the man in the opposite box was a vampire.	true	829.61	840.73	12
7518_86741_000037_000003	At the end of the breakfast Franz took out his watch.	At the end of the breakfast Franz took out his watch.	true	841.25	844.27	19
7518_86741_000037_000004	"Well," said the count, "what are you doing?"	"Well," said the count, "what are you doing?"	true	844.43	847.12	19.090427
7518_86741_000038_000000	"You must excuse us, count," returned Franz, "but we have still much to do."	"You must excuse us, count," returned Franz, "but we have still much to do."	false	847.88	852.34	16
7518_86741_000039_000000	"What may that be?"	"What may that be?"	true	852.77	853.87	17
7518_86741_000040_000000	"We have no masks, and it is absolutely necessary to procure them."	"We have no masks, and it is absolutely necessary to procure them."	true	854.51	858.64	16
7518_86741_000041_000000	"Do not concern yourself about that; we have, I think, a private room in the Piazza del Popolo; I will have whatever costumes you choose brought to us, and you can dress there."	"Do not concern yourself about that; we have, I think, a private room in the Piazza del Popolo; I will have whatever costumes you choose brought to us, and you can dress there."	true	859.01	870.16	15
7518_86741_000042_000000	"After the execution?" cried Franz.	"After the execution?" cried Franz.	true	870.47	873.16	21.818453
7518_86741_000043_000000	"Before or after, whichever you please."	"Before or after, whichever you please."	true	873.8	876.52	20.179604
7518_86741_000044_000000	"Opposite the scaffold?"	"Opposite the scaffold?"	true	876.62	878.08	18.77467
7518_86741_000045_000000	"The scaffold forms part of the fete."	"The scaffold forms part of the fete."	true	878.24	880.27	11
7518_86741_000046_000000	"Count, I have reflected on the matter," said Franz, "I thank you for your courtesy, but I shall content myself with accepting a place in your carriage and at your window at the Rospoli Palace, and I leave you at liberty to dispose of my place at the Piazza del Popolo."	"Count, I have reflected on the matter," said Franz, "I thank you for your courtesy, but I shall content myself with accepting a place in your carriage and at your window at the Rospoli Palace, and I leave you at liberty to dispose of my place at the Piazza del Popolo."	true	881.15	897.22	17
7518_86741_000047_000000	"But I warn you, you will lose a very curious sight," returned the count.	"But I warn you, you will lose a very curious sight," returned the count.	true	897.68	902.26	17.640682
7518_86741_000048_000000	"You will describe it to me," replied Franz, "and the recital from your lips will make as great an impression on me as if I had witnessed it.	"You will describe it to me," replied Franz, "and the recital from your lips will make as great an impression on me as if I had witnessed it.	false	902.84	910.87	17.389408
7518_86741_000048_000001	I have more than once intended witnessing an execution, but I have never been able to make up my mind; and you, Albert?"	I have more than once intended witnessing an execution, but I have never been able to make up my mind; and you, Albert?"	true	911.72	918.87	16
7518_86741_000049_000000	"I," replied the viscount,--"I saw Castaing executed, but I think I was rather intoxicated that day, for I had quitted college the same morning, and we had passed the previous night at a tavern."	"I," replied the viscount,--"I saw Castaing executed, but I think I was rather intoxicated that day, for I had quitted college the same morning, and we had passed the previous night at a tavern."	false	918.87	931.18	14
7518_86741_000050_000000	"Besides, it is no reason because you have not seen an execution at Paris, that you should not see one anywhere else; when you travel, it is to see everything.	"Besides, it is no reason because you have not seen an execution at Paris, that you should not see one anywhere else; when you travel, it is to see everything.	true	931.55	941.53	7
7518_86741_000050_000001	Think what a figure you will make when you are asked, 'How do they execute at Rome?' and you reply, 'I do not know'!	Think what a figure you will make when you are asked, 'How do they execute at Rome?' and you reply, 'I do not know'!	false	941.93	948.58	13
7518_86741_000050_000002	And, besides, they say that the culprit is an infamous scoundrel, who killed with a log of wood a worthy canon who had brought him up like his own son.	And, besides, they say that the culprit is an infamous scoundrel, who killed with a log of wood a worthy canon who had brought him up like his own son.	false	949.4	959.19	12
7518_86741_000050_000003	Diable, when a churchman is killed, it should be with a different weapon than a log, especially when he has behaved like a father.	Diable, when a churchman is killed, it should be with a different weapon than a log, especially when he has behaved like a father.	false	959.19	966.34	11
7518_86741_000050_000004	If you went to Spain, would you not see the bull-fight?	If you went to Spain, would you not see the bull fight?	false	966.86	969.61	6
7518_86741_000050_000005	Well, suppose it is a bull-fight you are going to see?	Well, suppose it is a bull fight you are going to see?	true	969.95	973.03	16
7518_86741_000050_000006	Recollect the ancient Romans of the Circus, and the sports where they killed three hundred lions and a hundred men.	Recollect the ancient romans of the Circus, and the sports where they killed three hundred lions and a hundred men.	true	973.19	979.99	9
7518_86741_000050_000007	Think of the eighty thousand applauding spectators, the sage matrons who took their daughters, and the charming Vestals who made with the thumb of their white hands the fatal sign that said, 'Come, despatch the dying.'"	Think of the eighty thousand applauding spectators, the sage matrons who took their daughters, and the charming Vestals who made with the thumb of their white hands the fatal sign that said, 'Come, despatch the dying.'"	false	980.48	992.95	9
7518_86741_000051_000000	"Shall you go, then, Albert?" asked Franz.	"Shall you go, then, Albert?" asked Franz.	true	994.19	996.91	17
7518_86741_000052_000000	"Ma foi, yes; like you, I hesitated, but the count's eloquence decides me."	"Ma foi, yes; like you, I hesitated, but the count's eloquence decides me."	false	996.98	1002.31	14
7518_86741_000053_000000	"Let us go, then," said Franz, "since you wish it; but on our way to the Piazza del Popolo, I wish to pass through the Corso.	"Let us go, then," said Franz, "since you wish it; but on our way to the Piazza del Popolo, I wish to pass through the Corso.	true	1003.07	1011.22	13
7518_86741_000053_000001	Is this possible, count?"	Is this possible, count?"	false	1011.65	1013.17	15.207769
7518_86741_000054_000000	"On foot, yes, in a carriage, no."	"On foot, yes, in a carriage, no"	true	1013.3	1016.59	15
7518_86741_000055_000000	"I will go on foot, then."	"I will go on foot, then."	false	1017.2	1019.55	20.87492
7518_86741_000056_000000	"Is it important that you should go that way?"	"Is it important that you should go that way?"	true	1019.55	1021.84	9
7518_86741_000057_000000	"Yes, there is something I wish to see."	"Yes, there is something I wish to see."	true	1022.45	1025.08	20
7518_86741_000058_000000	"Well, we will go by the Corso.	"Well, we will go by the Corso.	true	1026.38	1028.89	19
7518_86741_000058_000001	We will send the carriage to wait for us on the Piazza del Popolo, by the Strada del Babuino, for I shall be glad to pass, myself, through the Corso, to see if some orders I have given have been executed."	We will send the carriage to wait for us on the Piazza del Popolo, by the Strada del Babuino, for I shall be glad to pass, myself, through the Corso, to see if some orders I have given have been executed."	true	1029.23	1042.81	17
7518_86741_000059_000000	"Excellency," said a servant, opening the door, "a man in the dress of a penitent wishes to speak to you."	"Excellency," said a servant, opening the door, "a man in the dress of a penitent wishes to speak to you."	false	1042.94	1050.39	17.261375
7518_86741_000060_000000	"Ah, yes" returned the count, "I know who he is, gentlemen; will you return to the salon?	"Ah, yes" returned the count, "I know who he is, gentlemen; will you return to the salon?	true	1050.39	1056.4	15
7518_86741_000060_000001	you will find good cigars on the centre table.	you will find good cigars on the centre table.	true	1056.8	1059.48	15.992598
7518_86741_000060_000002	I will be with you directly." The young men rose and returned into the salon, while the count, again apologizing, left by another door.	I will be with you directly." The young men rose and returned into the salon, while the count, again apologizing, left by another door.	true	1059.48	1068.85	17.831085
7518_86741_000060_000003	Albert, who was a great smoker, and who had considered it no small sacrifice to be deprived of the cigars of the Cafe de Paris, approached the table, and uttered a cry of joy at perceiving some veritable puros.	Albert, who was a great smoker, and who had considered it no small sacrifice to be deprived of the cigars of the Cafe de Paris, approached the table, and uttered a cry of joy at perceiving some veritable puros.	true	1069.4	1083.22	10
7518_86741_000061_000000	"Well," asked Franz, "what think you of the Count of Monte Cristo?"	"Well," asked Franz, "what think you of the Count of Monte Cristo?"	false	1084.46	1088.47	16
7518_86741_000062_000000	"What do I think?" said Albert, evidently surprised at such a question from his companion; "I think he is a delightful fellow, who does the honors of his table admirably; who has travelled much, read much, is, like Brutus, of the Stoic school, and moreover," added he, sending a volume of smoke up towards the ceiling, "that he has excellent cigars." Such was Albert's opinion of the count, and as Franz well knew that Albert professed never to form an opinion except upon long reflection, he made no attempt to change it.	"What do I think?" said Albert, evidently surprised at such a question from his companion; "I think he is a delightful fellow, who does the honors of his table admirably; who has travelled much, read much, is, like Brutus, of the Stoic school, and moreover," added he, sending a volume of smoke up towards the ceiling, "that he has excellent cigars." Such was Albert's opinion of the count, and as Franz well knew that Albert professed never to form an opinion except upon long reflection, he made no attempt to change it.	false	1088.99	1123.39	15
7518_86741_000062_000001	"But," said he, "did you observe one very singular thing?"	"But," said he, "did you observe one very singular thing?"	true	1123.88	1129.24	18.610441
7518_86741_000063_000000	"What?"	"What?"	true	1129.24	1130.56	16.344479
