6286_69422_000000_000000	XV	fifteen	false	1.17	25.44	21.275078
6286_69422_000006_000000	Perched, as she was, in a window overlooking the lane, she had but to lift her eyes from the double fence (that symbol of sad seclusion) to light on the trees rising above that unspeakable ravine, black with memories she felt strangely like forgetting to-night.	Perched, as she was, in a window overlooking the lane, she had but to lift her eyes from the double fence (that symbol of sad seclusion) to light on the trees rising above that unspeakable ravine, black with memories she felt strangely like forgetting to night.	true	130.34	149.47	20
6286_69422_000006_000001	Beyond ... how it stood out on the bluff! it had never seemed to stand out more threateningly!... the bifurcated mass of dismal ruin from which men had turned their eyes these many years now!	Beyond ... how it stood out on the bluff! it had never seemed to stand out more threateningly!... the bifurcated mass of dismal ruin from which men had turned their eyes these many years now!	false	150.17	165.16	21.213337
6286_69422_000006_000002	But the moon loved it; caressed it; dallied with it, lighting up its toppling chimney and empty, staring gable.	But the moon loved it; caressed it; dallied with it, lighting up its toppling chimney and empty, staring gable.	true	165.89	175.12	22.79237
6286_69422_000006_000003	There, where the black streak could be seen, she had stood with the judge in that struggle of wills which had left its scars upon them both to this very day.	There, where the black streak could be seen, she had stood with the judge in that struggle of wills which had left its scars upon them both to this very day.	true	175.58	185.62	19
6286_69422_000006_000004	There, hidden but always seen by those who remembered the traditions of the place, mouldered away the walls of that old closet where the timorous, God-stricken suicide had breathed out his soul.	There, hidden but always seen by those who remembered the traditions of the place, mouldered away the walls of that old closet where the timorous, God stricken suicide had breathed out his soul.	true	186.38	200.5	20.526056
6286_69422_000006_000005	She had stood in it only the other day, penned from outsiders' view by the judge's outstretched arms.	She had stood in it only the other day, penned from outsiders' view by the judge's outstretched arms.	true	200.99	208.21	21.891989
6286_69422_000006_000006	Then, she had no mind for bygone horrors, her own tragedy weighed too heavily upon her; but to-night, as she gazed, fascinated, anxious to forget herself, anxious to indulge in any thought which would relieve her from dwelling on the question she must settle before she slept, she allowed her wonder and her revulsion to have free course.	Then, she had no mind for bygone horrors, her own tragedy weighed too heavily upon her; but to night, as she gazed, fascinated, anxious to forget herself, anxious to indulge in any thought which would relieve her from dwelling on the question she must settle before she slept, she allowed her wonder and her revulsion to have free course.	true	208.7	231.4	20.95682
6286_69422_000006_000007	Instead of ignoring, she would recall the story of the place as it had been told her when she first came to settle in its neighbourhood.	Instead of ignoring, she would recall the story of the place as it had been told her when she first came to settle in its neighbourhood.	true	232.22	241.48	22.599497
6286_69422_000007_000000	Spencer's Folly!	Spencer's Folly!	true	241.94	244.06	22.140387
6286_69422_000007_000001	Well, it had been that, and Spencer's den of dissipation too!	Well, it had been that, and Spencer's den of dissipation too!	true	244.58	249.31	20.526463
6286_69422_000007_000002	There were great tales--but it was not of these she was thinking, but of the night of storm--(of the greatest storm of which any record remained in Shelby) when the wind tore down branches and toppled down chimneys; when cattle were smitten in the field and men on the highway; when the old bridge, since replaced, buckled up and sank in the roaring flood it could no longer span, and the bluff towering overhead, flared into flame, and the house which was its glory, was smitten apart by the descending bolt as by a Titan sword, and blazed like a beacon to the sky.	There were great tales-but it was not of these she was thinking, but of the night of storm-(of the greatest storm of which any record remained in Shelby) when the wind tore down branches and toppled down chimneys; when cattle were smitten in the field and men on the highway; when the old bridge, since replaced, buckled up and sank in the roaring flood it could no longer span, and the bluff towering overhead, flared into flame, and the house which was its glory, was smitten apart by the descending bolt as by a Titan sword, and blazed like a beacon to the sky.	false	249.92	291.76	20.886812
6286_69422_000008_000000	This was long before she herself had come to Shelby; but she had been told the story so often that it was quite as vivid to her as if she had been one of the innumerable men and women who had crowded the glistening, swimming streets to view this spectacle of destruction.	This was long before she herself had come to Shelby; but she had been told the story so often that it was quite as vivid to her as if she had been one of the innumerable men and women who had crowded the glistening, swimming streets to view this spectacle of destruction.	true	292.4	308.92	20
6286_69422_000008_000001	The family had been gone for months, and so no pity mingled with the excitement.	The family had been gone for months, and so no pity mingled with the excitement.	true	309.2	314.5	20.647417
6286_69422_000008_000002	Not till the following day did the awful nature of the event break in its full horror upon the town.	Not till the following day did the awful nature of the event break in its full horror upon the town.	true	315.02	321.82	23
6286_69422_000008_000003	Among the ruins, in a closet which the flames had spared, they found hunched up in one corner, the body of a man, in whose seared throat a wound appeared which had not been made by lightning or fire.	Among the ruins, in a closet which the flames had spared, they found hunched up in one corner, the body of a man, in whose seared throat a wound appeared which had not been made by lightning or fire.	true	322.58	337.33	22.333698
6286_69422_000008_000004	Spencer!	Spencer!	true	337.64	338.83	25.59304
6286_69422_000008_000005	Spencer himself, returned they knew not how, to die of this self-inflicted wound, in the dark corner of his grand but neglected dwelling.	Spencer himself, returned they knew not how, to die of this self inflicted wound, in the dark corner of his grand but neglected dwelling.	true	338.9	350.02	21.671852
6286_69422_000009_000000	And this was what made the horror of the place till the tragedy of the opposite hollow added crime to crime, and the spot became outlawed to all sensitive citizens.	And this was what made the horror of the place till the tragedy of the opposite hollow added crime to crime, and the spot became outlawed to all sensitive citizens.	true	350.42	362.11	22.777132
6286_69422_000009_000001	Folly and madness and the vengeance of high heaven upon unhallowed walls, spoke to her from that towering mass, bathed though it was just now in liquid light under the impartial moon.	Folly and madness and the vengeance of high heaven upon unhallowed walls, spoke to her from that towering mass, bathed though it was just now in liquid light under the impartial moon.	false	362.39	375.88	21.378134
6286_69422_000010_000000	But as she continued to survey it, the clouds came trooping up once more, and the vision was wiped out and with it all memories save those of a nearer trouble--a more pressing necessity.	But as she continued to survey it, the clouds came trooping up once more, and the vision was wiped out and with it all memories save those of a nearer trouble-a more pressing necessity.	false	376.25	390.49	20.955225
6286_69422_000011_000000	Withdrawing from the window, she crept again to Reuther's room and peered carefully in.	Withdrawing from the window, she crept again to Reuther's room and peered carefully in.	false	391.07	397.15	21.739813
6286_69422_000011_000001	Innocence was asleep at last.	Innocence was asleep at last.	true	397.73	400.36	20.478277
6286_69422_000011_000002	Not a movement disturbed the closed lids on the wax-like cheek.	Not a movement disturbed the closed lids on the wax like cheek.	true	400.55	405.4	21.072815
6286_69422_000011_000003	Even the breath came so softly that it hardly lifted the youthful breast.	Even the breath came so softly that it hardly lifted the youthful breast.	true	405.8	411.31	22.888597
6286_69422_000011_000004	Repose the most perfect and in the form of all others the sweetest to a tender mother, lay before her and touched her already yearning heart to tears.	Repose the most perfect and in the form of all others the sweetest to a tender mother, lay before her and touched her already yearning heart to tears.	true	412.01	423.04	21.573467
6286_69422_000011_000005	Lighting a candle and shielding it with her hand, she gazed long and earnestly at Reuther's sweet face.	Lighting a candle and shielding it with her hand, she gazed long and earnestly at Reuther's sweet face.	false	423.8	430.3	20
6286_69422_000011_000006	Yes, she was right.	Yes, she was right.	true	430.7	432.43	20.489635
6286_69422_000011_000007	Sorrow was slowly sapping the fountain of her darling's youth.	Sorrow was slowly sapping the fountain of her darling's youth.	true	432.98	437.2	20.409286
6286_69422_000011_000008	If Reuther was to be saved, hope must come soon.	If Reuther was to be saved, hope must come soon.	true	437.78	442.09	21.758688
6286_69422_000011_000009	With a sob and a prayer, the mother left the room, and locking herself into her own, sat down at last to face the new perplexity, the monstrous enigma which had come into her life.	With a sob and a prayer, the mother left the room, and locking herself into her own, sat down at last to face the new perplexity, the monstrous enigma which had come into her life.	true	442.19	455.35	23.108412
6286_69422_000012_000000	It had followed in natural sequence from a proposal made by the judge that some attention should be given his long-neglected rooms.	It had followed in natural sequence from a proposal made by the judge that some attention should be given his long neglected rooms.	true	455.96	464.2	19
6286_69422_000012_000001	He had said on rising from the breakfast table--(the words are more or less important):	He had said on rising from the breakfast table-(the words are more or less important):	false	464.81	471.25	20.605442
6286_69422_000013_000000	"I am really sorry to trouble you, Mrs. Scoville; but if you have time this morning, will you clean up my study before I leave?	"I am really sorry to trouble you, mrs Scoville; but if you have time this morning, will you clean up my study before I leave?	true	471.35	479.89	21.241358
6286_69422_000013_000001	The carriage is ordered for half-past nine."	The carriage is ordered for half past nine."	true	479.99	482.95	21.285736
6286_69422_000014_000000	The task was one she had long desired to perform, and would have urged upon him daily had she dared, but the limitations he set for its accomplishment struck her aghast.	The task was one she had long desired to perform, and would have urged upon him daily had she dared, but the limitations he set for its accomplishment struck her aghast.	true	483.59	494.65	19.423958
6286_69422_000015_000000	"Do you mean that you wish to remain there while I work?	"Do you mean that you wish to remain there while I work?	true	494.99	498.67	18
6286_69422_000015_000001	You will be choked, Judge."	You will be choked, Judge."	true	499.07	501.07	24.07802
6286_69422_000016_000000	"No more than I have been for the last two days.	"No more than I have been for the last two days.	true	501.5	504.945	21.99132
6286_69422_000016_000001	You may enter any time." And going in, he left the door open behind him.	You may enter any time." And going in, he left the door open behind him.	true	504.945	510.76	17.731901
6286_69422_000017_000000	"He will lock it when he goes out," she commented to herself.	"He will lock it when he goes out," she commented to herself.	true	511.58	515.32	21.514492
6286_69422_000017_000001	"I had better hasten."	"I had better hasten."	true	515.75	517.24	25.193209
6286_69422_000018_000000	Giving Reuther the rest of the work to do, she presently appeared before him with pail and broom and a pile of fresh linen.	Giving Reuther the rest of the work to do, she presently appeared before him with pail and broom and a pile of fresh linen.	true	518.21	526.03	22.564943
6286_69422_000018_000001	Nothing more commonplace could be imagined, but to her, if not to him, there underlay this especial act of ordinary housewifery a possible enlightenment on a subject which had held the whole community in a state of curiosity for years.	Nothing more commonplace could be imagined, but to her, if not to him, there underlay this especial act of ordinary housewifery a possible enlightenment on a subject which had held the whole community in a state of curiosity for years.	true	526.19	543.07	22.00395
6286_69422_000018_000002	She was going to enter the room which had been barred from public sight by poor Bela's dying body.	She was going to enter the room which had been barred from public sight by poor Bela's dying body.	true	543.86	550.57	21.425482
6286_69422_000018_000003	She was going to see--or had he only meant that she was to have her way with the library--the room where she had already been and much of which she remembered.	She was going to see-or had he only meant that she was to have her way with the library-the room where she had already been and much of which she remembered.	false	550.85	561.43	17.754847
6286_69422_000018_000004	The doubt gave a tremulous eagerness to her step and caused her eye to wander immediately to that forbidden corner soon as she had stepped over the threshold.	The doubt gave a tremulous eagerness to her step and caused her eye to wander immediately to that forbidden corner soon as she had stepped over the threshold.	true	561.8	573.04	22.34727
6286_69422_000019_000000	The bedroom door was open;--proof that she was expected to enter there. Meanwhile, she felt the eye of the judge upon her and endeavoured to preserve a perfect composure and to sink the curious and inquiring woman in the diligent housekeeper.	The bedroom door was open;--proof that she was expected to enter there. Meanwhile, she felt the eye of the judge upon her and endeavoured to preserve a perfect composure and to sink the curious and inquiring woman in the diligent housekeeper.	true	573.32	590.11	19.99201
6286_69422_000020_000000	But she could not, quite.	But she could not, quite.	true	590.63	592.57	23.55672
6286_69422_000020_000001	Two facts of which she immediately became cognisant, prevented this.	Two facts of which she immediately became cognisant, prevented this.	true	593.09	597.55	22.13587
6286_69422_000020_000002	First, the great room before her presented a bare floor, whereas on her first visit it had been very decently, if not cheerfully, covered by a huge carpet rug.	First, the great room before her presented a bare floor, whereas on her first visit it had been very decently, if not cheerfully, covered by a huge carpet rug.	true	597.98	610.09	21.593168
6286_69422_000020_000003	Secondly, the judge's chair, which had once looked immovable, had been dragged forward into such a position that he could keep his own eye on the bedroom door.	Secondly, the judge's chair, which had once looked immovable, had been dragged forward into such a position that he could keep his own eye on the bedroom door.	false	610.1	620.62	21.595964
6286_69422_000020_000004	Manifestly she was not to be allowed to pursue her duties unwatched.	Manifestly she was not to be allowed to pursue her duties unwatched.	true	621.2	626.29	21.928339
6286_69422_000020_000005	Certainly she had to take more than one look at the every-day implements she carried to retain that balance of judgment which should prevent her from becoming the dupe of her own expectations.	Certainly she had to take more than one look at the every day implements she carried to retain that balance of judgment which should prevent her from becoming the dupe of her own expectations.	true	626.6	637.81	20
6286_69422_000021_000000	"I do not expect you to clean up here as thoroughly as you have your own rooms up stairs," he remarked, as she passed him.	"I do not expect you to clean up here as thoroughly as you have your own rooms up stairs," he remarked, as she passed him.	true	638.36	647.29	21.281477
6286_69422_000021_000001	"You haven't the time, or I the patience for too many strokes of the broom.	"You haven't the time, or I the patience for too many strokes of the broom.	true	647.66	653.14	22.755539
6286_69422_000021_000002	And Mrs. Scoville," he called out as she slipped through the doorway, "leave the door open and keep away as much as possible from the side of the room where I have nailed up the curtain.	And mrs Scoville," he called out as she slipped through the doorway, "leave the door open and keep away as much as possible from the side of the room where I have nailed up the curtain.	true	653.54	664.72	21.409893
6286_69422_000021_000003	I had rather not have that touched."	I had rather not have that touched."	true	665.18	668.02	21.446053
6286_69422_000022_000000	She turned with a smile and nodded.	She turned with a smile and nodded.	true	669.05	671.38	17.56858
6286_69422_000022_000001	She felt that she had been set to work with a string tied round her feet.	She felt that she had been set to work with a string tied round her feet.	true	671.87	676.02	22.615978
6286_69422_000022_000002	Not touch the curtain!	Not touch the curtain!	true	676.02	677.68	23.439152
6286_69422_000022_000003	Why, that was the one thing in the room she wanted to touch; for in it she not only saw the carpet which had been taken up from the floor of the study, but a possible screen behind which anything might lurk--even his redoubtable secret.	Why, that was the one thing in the room she wanted to touch; for in it she not only saw the carpet which had been taken up from the floor of the study, but a possible screen behind which anything might lurk-even his redoubtable secret.	true	678.02	693.58	21.098772
6286_69422_000023_000000	Or had it another and much simpler explanation?	Or had it another and much simpler explanation?	false	693.98	697.21	21
6286_69422_000023_000001	Might it not have been hung there merely as a shield to the window.	Might it not have been hung there merely as a shield to the window.	true	697.64	701.59	16.855537
6286_69422_000023_000002	The room must have a window and there was none to be seen elsewhere.	The room must have a window and there was none to be seen elsewhere.	true	701.93	705.85	15.948733
6286_69422_000023_000003	It would be like him to shut out light and air.	It would be like him to shut out light and air.	true	706.34	709.27	21
6286_69422_000023_000004	She would ask.	She would ask.	true	709.61	711.07	21.11622
6286_69422_000024_000000	"There is no window," she observed, looking back at the judge.	"There is no window," she observed, looking back at the judge.	true	711.26	715.27	18.215586
6286_69422_000025_000000	"No," was his short reply.	"No," was his short reply.	true	716	718.6	23.435402
6286_69422_000026_000000	Slowly she set down her pail.	Slowly she set down her pail.	true	719.51	721.84	17.764618
6286_69422_000026_000001	One thing was settled.	One thing was settled.	true	722.39	724.03	20.409988
6286_69422_000026_000002	It was Bela's cot she saw before her--a cot without any sheets.	It was Bela's cot she saw before her-a cot without any sheets.	true	724.37	729.19	23.525791
6286_69422_000026_000003	These had been left behind in the dead negro's room, and the judge had been sleeping just as she had feared, wrapped in a rug and with uncovered pillow.	These had been left behind in the dead negro's room, and the judge had been sleeping just as she had feared, wrapped in a rug and with uncovered pillow.	true	729.41	739.27	20.662336
6286_69422_000026_000004	This pillow was his own; it had not been brought down with the bed.	This pillow was his own; it had not been brought down with the bed.	true	739.76	743.65	24.962513
6286_69422_000026_000005	She hastily slipped a cover on it, and without calling any further attention to her act, began to make up the bed.	She hastily slipped a cover on it, and without calling any further attention to her act, began to make up the bed.	true	744.23	751.23	21.541435
6286_69422_000027_000000	Conscious that the papers he made a feint of reading were but a cover for his watchfulness, she moved about in a matter-of-fact way and did not spare him the clouds of dust which presently rose before her broom. She could have managed it more deftly,--would have done so at another time, but it was her express intention just now to make him move back out of her way, if only to give her an opportunity to disturb by a backward stroke of her broom the folds of the carpet-rug and learn if she could what lay hidden behind it.	Conscious that the papers he made a feint of reading were but a cover for his watchfulness, she moved about in a matter of fact way and did not spare him the clouds of dust which presently rose before her broom. She could have managed it more deftly,--would have done so at another time, but it was her express intention just now to make him move back out of her way, if only to give her an opportunity to disturb by a backward stroke of her broom the folds of the carpet rug and learn if she could what lay hidden behind it.	false	751.23	787.15	21.575768
6286_69422_000028_000000	But the judge was impervious to discomfort.	But the judge was impervious to discomfort.	true	787.4	790.48	19.472658
6286_69422_000028_000001	He coughed and shook his head, but did not budge an inch.	He coughed and shook his head, but did not budge an inch.	true	790.64	794.77	23.88984
6286_69422_000028_000002	Before she had begun to put things in order, the clock struck the half-hour.	Before she had begun to put things in order, the clock struck the half hour.	true	795.08	799.81	21.684418
6286_69422_000029_000000	"Oh!" she protested, with a pleading glance his way, "I'm not half done."	"Oh!" she protested, with a pleading glance his way, "I'm not half done."	true	800.57	806.62	21.228651
6286_69422_000030_000000	"There's another day to follow," he dryly remarked, rising and taking a key from his pocket.	"There's another day to follow," he dryly remarked, rising and taking a key from his pocket.	true	807.11	814.03	20.398418
6286_69422_000031_000000	The act expressed his wishes; and she was proceeding to carry out her things when a quick sliding noise from the wall she was passing, drew her attention and caused her to spring forward in an involuntary effort to catch a picture which had slipped its cord and was falling to the floor.	The act expressed his wishes; and she was proceeding to carry out her things when a quick sliding noise from the wall she was passing, drew her attention and caused her to spring forward in an involuntary effort to catch a picture which had slipped its cord and was falling to the floor.	true	814.43	833.68	21.56643
6286_69422_000032_000000	A shout from the judge of "Stand aside, let me come!" reached her too late.	A shout from the judge of "Stand aside, let me come!" reached her too late.	true	834.77	839.89	19.47827
6286_69422_000032_000001	She had grasped and lifted the picture and seen--	She had grasped and lifted the picture and seen-	true	840.17	843.82	22.191639
6286_69422_000033_000000	But first, let me explain.	But first, let me explain.	true	844.22	846.55	21.57151
6286_69422_000033_000001	This picture was not like the others hanging about.	This picture was not like the others hanging about.	true	847.4	851.05	22.730759
6286_69422_000033_000002	It was a veiled one.	It was a veiled one.	true	851.48	853.24	20.656443
6286_69422_000033_000003	From some motive of precaution or characteristic desire for concealment on the part of the judge, it had been closely wrapped about in heavy brown paper before being hung, and in the encounter which ensued between the falling picture and the spear of an image standing on a table underneath, this paper had received a slit through which Deborah had been given a glimpse of the canvas beneath.	From some motive of precaution or characteristic desire for concealment on the part of the judge, it had been closely wrapped about in heavy brown paper before being hung, and in the encounter which ensued between the falling picture and the spear of an image standing on a table underneath, this paper had received a slit through which Deborah had been given a glimpse of the canvas beneath.	true	853.82	881.35	21.762814
6286_69422_000034_000000	The shock of what she saw would have unnerved a less courageous woman.	The shock of what she saw would have unnerved a less courageous woman.	true	882.29	887.5	23.85255
6286_69422_000035_000000	IT WAS A HIGHLY FINISHED PORTRAIT OF OLIVER IN HIS YOUTH, WITH A BROAD BAND OF BLACK PAINTED DIRECTLY ACROSS THE EYES.	IT WAS A HIGHLY FINISHED PORTRAIT OF OLIVER IN HIS YOUTH, WITH A BROAD BAND OF BLACK PAINTED DIRECTLY ACROSS THE EYES.	true	888.53	901.23	22.483067
6286_69422_000036_000000	XVI	sixteen	false	901.23	901.23	
6286_69422_000037_000000	"DON'T!	"DON'T!	false	901.23	901.26	-20
6286_69422_000037_000001	DON'T!"	DON'T!"	false	901.26	901.29	-20
6286_69422_000038_000000	In recalling this startling moment, Deborah wondered as much at her own aplomb as at that of Judge Ostrander.	In recalling this startling moment, Deborah wondered as much at her own aplomb as at that of Judge Ostrander.	false	901.29	901.83	-20
6286_69422_000038_000001	Not only had she succeeded in suppressing all recognition of what had thus been discovered to her, but had carried her powers of self-repression so far as to offer, and with good grace too, to assist him in rehanging the picture.	Not only had she succeeded in suppressing all recognition of what had thus been discovered to her, but had carried her powers of self repression so far as to offer, and with good grace too, to assist him in rehanging the picture.	false	901.83	902.79	100
6286_69422_000038_000002	This perfection of acting had its full reward.	This perfection of acting had its full reward.	false	902.79	902.94	14
6286_69422_000038_000003	With equal composure he excused her from the task, and, adding some expression of regret at his well-known carelessness in not looking better after his effects, bowed her from the room with only a slight increase of his usual courteous reserve.	With equal composure he excused her from the task, and, adding some expression of regret at his well-known carelessness in not looking better after his effects, bowed her from the room with only a slight increase of his usual courteous reserve.	false	902.94	906.51	19.656187
