7832_114468_000001_000000	The evening was now at hand.	The evening was now at hand.
7832_114468_000006_000001	It was thrilling, awe-inspiring, but it made his heart miss a beat or two at the thought of the wounds and death to come, all the more terrible because those who fought together were of the same blood, and the same nation.	It was thrilling, awe inspiring, but it made his heart miss a beat or two at the thought of the wounds and death to come, all the more terrible because those who fought together were of the same blood, and the same nation.
7832_114468_000007_000000	Warner and Pennington joined him on the height where he stood, and they saw that in the early hours before dawn the Northern generals had not been idle.	Warner and Pennington joined him on the height where he stood, and they saw that in the early hours before dawn the Northern generals had not been idle.
7832_114468_000007_000001	The whole army of Pope was massed along the left bank of the river and every high point was crowned with heavy batteries of artillery.	The whole army of Pope was massed along the left bank of the river and every high point was crowned with heavy batteries of artillery.
7832_114468_000007_000002	There had been a long drought, and at some points the Rappahannock could be forded, but not in the face of such a defence as the North here offered.	There had been a long drought, and at some points the Rappahannock could be forded, but not in the face of such a defence as the North here offered.
7832_114468_000008_000000	Colonel Winchester himself came a moment or two later and joined them as they gazed at the two armies and the river between.	Colonel Winchester himself came a moment or two later and joined them as they gazed at the two armies and the river between.
7832_114468_000008_000001	Both he and the boys used their glasses and they distinctly saw the Southern masses.	Both he and the boys used their glasses and they distinctly saw the Southern masses.
7832_114468_000009_000000	"Will they try to cross, sir?" asked Dick of the colonel.	"Will they try to cross, sir?" asked Dick of the colonel.
7832_114468_000010_000000	"I don't think so, but if they do we ought to beat them back.	"I don't think so, but if they do we ought to beat them back.
7832_114468_000010_000001	Meanwhile, Dick, my boy, every day's delay is a fresh card in our hand.	Meanwhile, Dick, my boy, every day's delay is a fresh card in our hand.
7832_114468_000010_000002	McClellan is landing his army at Aquia Creek, whence it can march in two days to a junction with us, when we would become overwhelming and irresistible. But I wish it didn't take so long to disembark an army!"	McClellan is landing his army at Aquia Creek, whence it can march in two days to a junction with us, when we would become overwhelming and irresistible. But I wish it didn't take so long to disembark an army!"
7832_114468_000011_000000	The note of anxiety in his voice did not escape Dick.	The note of anxiety in his voice did not escape Dick.
7832_114468_000011_000001	"You wish then to be sure of the junction between our two armies before Lee and Jackson strike?"	"You wish then to be sure of the junction between our two armies before Lee and Jackson strike?"
7832_114468_000012_000000	"Yes, Dick.	"Yes, Dick.
7832_114468_000012_000003	It gave us two chances, when we had but one before.	It gave us two chances, when we had but one before.
7832_114468_000012_000004	But, Dick, I'm afraid.	But, Dick, I'm afraid.
7832_114468_000012_000006	I wish I could divine what is in the mind of those two men, Lee and Jackson. They surely have a plan of some kind, but what is it?"	I wish I could divine what is in the mind of those two men, Lee and Jackson. They surely have a plan of some kind, but what is it?"
7832_114468_000013_000000	"Have we any definite news from the other side, sir?"	"Have we any definite news from the other side, sir?"
7832_114468_000014_000000	"Shepard came in this morning.	"Shepard came in this morning.
7832_114468_000014_000001	But little ever escapes him, and he says that the whole Southern army is up.	But little ever escapes him, and he says that the whole Southern army is up.
7832_114468_000014_000003	He says that they are all flushed with confidence in their own courage and fighting powers and the ability of their leaders.	He says that they are all flushed with confidence in their own courage and fighting powers and the ability of their leaders.
7832_114468_000014_000004	Oh, if only the Army of the Potomac would come!	Oh, if only the Army of the Potomac would come!
7832_114468_000014_000005	If we could only stave off battle long enough for it to reach us!"	If we could only stave off battle long enough for it to reach us!"
7832_114468_000015_000000	"Don't you think we could do it, sir?	"Don't you think we could do it, sir?
7832_114468_000015_000001	Couldn't General Pope retreat on Washington then, and, as they continued to follow us, we could turn and spring on them with both armies."	Couldn't General Pope retreat on Washington then, and, as they continued to follow us, we could turn and spring on them with both armies."
7832_114468_000016_000000	But Colonel Winchester shook his head.	But Colonel Winchester shook his head.
7832_114468_000017_000001	"All Europe, eager to see the Union split, would then help the Confederacy in every possible manner.	"All Europe, eager to see the Union split, would then help the Confederacy in every possible manner.
7832_114468_000017_000002	The old monarchies would say that despite our superior numbers we're not able to maintain ourselves outside the defenses of Washington.	The old monarchies would say that despite our superior numbers we're not able to maintain ourselves outside the defenses of Washington.
7832_114468_000017_000003	And these things would injure us in ways that we cannot afford.	And these things would injure us in ways that we cannot afford.
7832_114468_000017_000004	Remember, Dick, my boy, that this republic is the hope of the world, and that we must save it."	Remember, Dick, my boy, that this republic is the hope of the world, and that we must save it."
7832_114468_000018_000000	"It will be done, sir," said Dick, almost in the tone of a young prophet.	"It will be done, sir," said Dick, almost in the tone of a young prophet.
7832_114468_000018_000001	"I know the spirit of the men.	"I know the spirit of the men.
7832_114468_000018_000002	No matter how many defeats are inflicted upon us by our own brethren we'll triumph in the end."	No matter how many defeats are inflicted upon us by our own brethren we'll triumph in the end."
7832_114468_000019_000000	"It's my own feeling, Dick.	"It's my own feeling, Dick.
7832_114468_000019_000001	It cannot, it must not be any other way!"	It cannot, it must not be any other way!"
7832_114468_000020_000000	Dick remained upborne by a confidence in the future rather than in the present, and throughout the morning he remained with his comrades, under arms, but doing little, save to hear the fitful firing which ran along a front of several miles.	Dick remained upborne by a confidence in the future rather than in the present, and throughout the morning he remained with his comrades, under arms, but doing little, save to hear the fitful firing which ran along a front of several miles.
7832_114468_000020_000001	But later in the day a heavy crash came from a ford further up the stream.	But later in the day a heavy crash came from a ford further up the stream.
7832_114468_000021_000000	Under cover of a great artillery fire Stuart's cavalry dashed into the ford, and drove off the infantry and a battery posted to defend it.	Under cover of a great artillery fire Stuart's cavalry dashed into the ford, and drove off the infantry and a battery posted to defend it.
7832_114468_000021_000001	Then they triumphantly placed heavy lines of pickets about the ford on the Union side.	Then they triumphantly placed heavy lines of pickets about the ford on the Union side.
7832_114468_000022_000002	They charged with so much impetuosity that Stuart's cavalry abandoned such dangerous ground.	They charged with so much impetuosity that Stuart's cavalry abandoned such dangerous ground.
7832_114468_000023_000000	Then came a silence and a great looking back and forth.	Then came a silence and a great looking back and forth.
7832_114468_000023_000001	The threatening armies stared at each other across the water, but throughout the afternoon they lay idle.	The threatening armies stared at each other across the water, but throughout the afternoon they lay idle.
7832_114468_000023_000002	The pitiless August sun burned on and the dust that had been trodden up by the scores of thousands hung in clouds low, but almost motionless.	The pitiless August sun burned on and the dust that had been trodden up by the scores of thousands hung in clouds low, but almost motionless.
7832_114468_000024_000000	Dick went down into a little creek, emptying into the Rappahannock, and bathed his face and hands.	Dick went down into a little creek, emptying into the Rappahannock, and bathed his face and hands.
7832_114468_000024_000002	The water brought a great relief.	The water brought a great relief.
7832_114468_000024_000003	Then he went back to Colonel Winchester and his comrades, and waited patiently with them until evening.	Then he went back to Colonel Winchester and his comrades, and waited patiently with them until evening.
7832_114468_000025_000000	He remembered Colonel Winchester's words earlier in the day, and, as the darkness came, he began to wonder what Lee and Jackson were thinking.	He remembered Colonel Winchester's words earlier in the day, and, as the darkness came, he began to wonder what Lee and Jackson were thinking.
7832_114468_000025_000001	He believed that two such redoubtable commanders must have formed a plan by this time, and, perhaps in the end, it would be worth a hundred thousand men to know it.	He believed that two such redoubtable commanders must have formed a plan by this time, and, perhaps in the end, it would be worth a hundred thousand men to know it.
7832_114468_000025_000002	But he could only stare into the darkness and guess and guess.	But he could only stare into the darkness and guess and guess.
7832_114468_000026_000000	The night seemed portentous to him.	The night seemed portentous to him.
7832_114468_000026_000001	It was full of sinister omens.	It was full of sinister omens.
7832_114468_000027_000000	Dick was not wrong.	Dick was not wrong.
7832_114468_000027_000001	The Confederate commanders did have a plan and the omens which seemed sinister to him were sinister in fact.	The Confederate commanders did have a plan and the omens which seemed sinister to him were sinister in fact.
7832_114468_000027_000002	Jackson with his forces was marching up his side of the Rappahannock and the great brain under the old slouch hat was working hard.	Jackson with his forces was marching up his side of the Rappahannock and the great brain under the old slouch hat was working hard.
7832_114468_000028_000001	They would leave McClellan and the Army of the Potomac nearer to Richmond, their own capital, than they were.	They would leave McClellan and the Army of the Potomac nearer to Richmond, their own capital, than they were.
7832_114468_000028_000002	Nevertheless Lee, full of daring despite his years, followed, and the dangers were growing thicker every hour around Pope.	Nevertheless Lee, full of daring despite his years, followed, and the dangers were growing thicker every hour around Pope.
7832_114468_000029_000000	Dick, with his regiment, moved the next morning up the river.	Dick, with his regiment, moved the next morning up the river.
7832_114468_000029_000001	The enemy was in plain view beyond the stream, and Shepard and the other spies reported that the Southern army showed no signs of retiring.	The enemy was in plain view beyond the stream, and Shepard and the other spies reported that the Southern army showed no signs of retiring.
7832_114468_000029_000002	But Shepard had said also that he would not be able to cross the river again.	But Shepard had said also that he would not be able to cross the river again.
7832_114468_000029_000003	The hostile scouts and sharpshooters had become too vigilant.	The hostile scouts and sharpshooters had become too vigilant.
7832_114468_000029_000004	Yet he was sure that Lee and Jackson would attempt to force a passage higher up, where the drought had made good fords.	Yet he was sure that Lee and Jackson would attempt to force a passage higher up, where the drought had made good fords.
7832_114468_000030_000000	"It's well that we're showing vigilance," said Colonel Winchester to Dick.	"It's well that we're showing vigilance," said Colonel Winchester to Dick.
7832_114468_000030_000001	He had fallen into the habit of talking much and confidentially to the boy, because he liked and trusted him, and for another reason which to Dick was yet in the background.	He had fallen into the habit of talking much and confidentially to the boy, because he liked and trusted him, and for another reason which to Dick was yet in the background.
7832_114468_000032_000000	"Beyond a doubt.	"Beyond a doubt.
7832_114468_000032_000001	They have every reason to strike before the Army of the Potomac can come.	They have every reason to strike before the Army of the Potomac can come.
7832_114468_000032_000002	Besides, it is in accord with the character of their generals.	Besides, it is in accord with the character of their generals.
7832_114468_000032_000004	Hear that booming ahead!	Hear that booming ahead!
7832_114468_000032_000005	They're attacking one of the fords now!"	They're attacking one of the fords now!"
7832_114468_000033_000003	He confided at last to his favorite aide his belief that what lay behind the cannonade was more important than the cannonade itself.	He confided at last to his favorite aide his belief that what lay behind the cannonade was more important than the cannonade itself.
7832_114468_000034_000000	"It must be a feint or a blind," he said.	"It must be a feint or a blind," he said.
7832_114468_000034_000001	"They fire a great deal, but they don't make any dash for the stream.	"They fire a great deal, but they don't make any dash for the stream.
7832_114468_000035_000000	"Then what do you think they're up to, sir?"	"Then what do you think they're up to, sir?"
7832_114468_000036_000000	"They must be sending a heavy force higher up the river to cross where there is no resistance.	"They must be sending a heavy force higher up the river to cross where there is no resistance.
7832_114468_000036_000001	And we must meet them there, with my regiment only, if we can obtain no other men."	And we must meet them there, with my regiment only, if we can obtain no other men."
7832_114468_000037_000000	The colonel obtained leave to go up the Rappahannock until nightfall, but only his own regiment, now reduced to less than four hundred men, was allotted to him.	The colonel obtained leave to go up the Rappahannock until nightfall, but only his own regiment, now reduced to less than four hundred men, was allotted to him.
7832_114468_000037_000001	In truth his division commander thought his purpose useless, but yielded to the insistence of Winchester who was known to be an officer of great merit.	In truth his division commander thought his purpose useless, but yielded to the insistence of Winchester who was known to be an officer of great merit.
7832_114468_000037_000002	It seemed to the Union generals that they must defend the fords where the Southern army lay massed before them.	It seemed to the Union generals that they must defend the fords where the Southern army lay massed before them.
7832_114468_000038_000000	Dick learned that there was a little place called Sulphur Springs some miles ahead, and that the river there was spanned by a bridge which the Union cavalry had wrecked the day before.	Dick learned that there was a little place called Sulphur Springs some miles ahead, and that the river there was spanned by a bridge which the Union cavalry had wrecked the day before.
7832_114468_000038_000001	He divined at once that Colonel Winchester had that ford in mind, and he was glad to be with him on the march to it.	He divined at once that Colonel Winchester had that ford in mind, and he was glad to be with him on the march to it.
7832_114468_000039_000001	It was also late in the afternoon and Dick was quite sure that they would not reach Sulphur Springs before nightfall.	It was also late in the afternoon and Dick was quite sure that they would not reach Sulphur Springs before nightfall.
7832_114468_000040_000001	It makes your lungs work twice as hard as usual, and it's also a sign."	It makes your lungs work twice as hard as usual, and it's also a sign."
7832_114468_000041_000000	"Tell your sign, old weather sharp," said Warner.	"Tell your sign, old weather sharp," said Warner.
7832_114468_000042_000000	"It's simple enough.	"It's simple enough.
7832_114468_000042_000001	The sign may not be so strong here, but it applies just as it does on the great plains.	The sign may not be so strong here, but it applies just as it does on the great plains.
7832_114468_000042_000002	It means that a storm is coming. Anybody could tell that.	It means that a storm is coming. Anybody could tell that.
7832_114468_000042_000003	Look there, in the southwest.	Look there, in the southwest.
7832_114468_000042_000004	See that cloud edging itself over the horizon.	See that cloud edging itself over the horizon.
7832_114468_000042_000005	Things will turn loose to-night.	Things will turn loose to night.
7832_114468_000042_000007	You've been out in my country."	You've been out in my country."
7832_114468_000043_000000	Sergeant Whitley was standing near them regarding the cloud attentively.	Sergeant Whitley was standing near them regarding the cloud attentively.
7832_114468_000044_000000	"Yes, Mr. Pennington," he replied.	"Yes, mr Pennington," he replied.
7832_114468_000044_000001	"I was out there a long time and I'd rather be there now fighting the Indians, instead of fighting our own people, although no other choice was left me.	"I was out there a long time and I'd rather be there now fighting the Indians, instead of fighting our own people, although no other choice was left me.
7832_114468_000044_000002	I've seen some terrible hurricanes on the plains, winds that would cut the earth as if it was done with a ploughshare, and these armies are going to be rained on mighty hard to-night."	I've seen some terrible hurricanes on the plains, winds that would cut the earth as if it was done with a ploughshare, and these armies are going to be rained on mighty hard to night."
7832_114468_000045_000000	Dick smiled a little at the sergeant's solemn tone, and formal words, but he saw that he was very much in earnest.	Dick smiled a little at the sergeant's solemn tone, and formal words, but he saw that he was very much in earnest.
7832_114468_000045_000001	Nor was he one to underrate weather effects upon movements in war.	Nor was he one to underrate weather effects upon movements in war.
7832_114468_000046_000000	"What will it mean to the two armies, sergeant?" he asked.	"What will it mean to the two armies, sergeant?" he asked.
7832_114468_000047_000000	"Depends upon what happens before she busts.	"Depends upon what happens before she busts.
7832_114468_000047_000002	This, I take it, is the end of the drought, and a flood will come tumbling down from the mountains."	This, I take it, is the end of the drought, and a flood will come tumbling down from the mountains."
7832_114468_000048_000000	The sun now darkened and the clouds gathered heavily on the Western horizon.	The sun now darkened and the clouds gathered heavily on the Western horizon.
7832_114468_000048_000001	Colonel Winchester's anxiety increased fast.	Colonel Winchester's anxiety increased fast.
7832_114468_000048_000002	It became evident that the regiment could not reach Sulphur Springs until far into the night, and, still full of alarms, he resolved to take a small detachment, chiefly of his staff, and ride forward at the utmost speed.	It became evident that the regiment could not reach Sulphur Springs until far into the night, and, still full of alarms, he resolved to take a small detachment, chiefly of his staff, and ride forward at the utmost speed.
7832_114468_000049_000000	He chose about twenty men, including Dick, Warner, Pennington, Sergeant Whitley, and another veteran who were mounted on the horses of junior officers left behind, and pressed forward with speed.	He chose about twenty men, including Dick, Warner, Pennington, Sergeant Whitley, and another veteran who were mounted on the horses of junior officers left behind, and pressed forward with speed.
7832_114468_000049_000001	A West Virginian named Shattuck knew something of the country, and led them.	A West Virginian named Shattuck knew something of the country, and led them.
7832_114468_000050_000000	"What is this place, Sulphur Springs?" asked Colonel Winchester of Shattuck.	"What is this place, Sulphur Springs?" asked Colonel Winchester of Shattuck.
7832_114468_000051_000000	"Some big sulphur springs spout out of the bank and run down to the river.	"Some big sulphur springs spout out of the bank and run down to the river.
7832_114468_000051_000001	They are fine and healthy to drink an' there's a lot of cottages built up by people who come there to stay a while.	They are fine and healthy to drink an' there's a lot of cottages built up by people who come there to stay a while.
7832_114468_000051_000002	But I guess them people have gone away.	But I guess them people have gone away.
7832_114468_000051_000003	It ain't no place for health just at this time."	It ain't no place for health just at this time."
7832_114468_000052_000000	"That's a certainty," said Colonel Winchester.	"That's a certainty," said Colonel Winchester.
7832_114468_000054_000000	"Fortunately.	"Fortunately.
7832_114468_000054_000001	But can't we go a little faster, boys?"	But can't we go a little faster, boys?"
7832_114468_000055_000000	There was a well defined road and Shattuck now led them at a gallop. As they approached the springs they checked their speed, owing to the increasing darkness.	There was a well defined road and Shattuck now led them at a gallop. As they approached the springs they checked their speed, owing to the increasing darkness.
7832_114468_000055_000001	But Dick's good ears soon told him that something was happening at the springs.	But Dick's good ears soon told him that something was happening at the springs.
7832_114468_000055_000002	He heard faintly the sound of voices, and the clank and rattle which many men with weapons cannot keep from making now and then.	He heard faintly the sound of voices, and the clank and rattle which many men with weapons cannot keep from making now and then.
7832_114468_000056_000000	"I'm afraid, sir," he said to Colonel Winchester, "that they're already across."	"I'm afraid, sir," he said to Colonel Winchester, "that they're already across."
7832_114468_000057_000000	The little troop stopped at the command of its leader and all listened intently.	The little troop stopped at the command of its leader and all listened intently.
7832_114468_000058_000000	"You're right, Dick," said Colonel Winchester, bitter mortification showing in his tone.	"You're right, Dick," said Colonel Winchester, bitter mortification showing in his tone.
7832_114468_000058_000001	"They're there, and they're on our side of the river.	"They're there, and they're on our side of the river.
7832_114468_000058_000002	Oh, we might have known it!	Oh, we might have known it!
7832_114468_000058_000003	They say that Stonewall Jackson never sleeps, and they make no mistake, when they call his infantry foot cavalry!"	They say that Stonewall Jackson never sleeps, and they make no mistake, when they call his infantry foot cavalry!"
7832_114468_000059_000000	Dick was silent.	Dick was silent.
7832_114468_000060_000000	"Mr. Shattuck," said Colonel Winchester, "how near do you think we can approach without being seen?"	"mr Shattuck," said Colonel Winchester, "how near do you think we can approach without being seen?"
7832_114468_000062_000000	"Then you lead us.	"Then you lead us.
7832_114468_000062_000002	Now follow softly, lads!	Now follow softly, lads!
7832_114468_000062_000003	All of you have hunted the 'coon and 'possum at night, and you should know how to step without making noise."	All of you have hunted the 'coon and 'possum at night, and you should know how to step without making noise."
7832_114468_000063_000000	Shattuck advanced with certainty, and the others, true to their training, came behind him in single file, and without noise.	Shattuck advanced with certainty, and the others, true to their training, came behind him in single file, and without noise.
7832_114468_000063_000001	But as they advanced the sounds of an army ahead of them increased, and when they reached the edge of the covert they saw a great Confederate division on their side of the stream, in full possession of the cottages and occupying all the ground about them.	But as they advanced the sounds of an army ahead of them increased, and when they reached the edge of the covert they saw a great Confederate division on their side of the stream, in full possession of the cottages and occupying all the ground about them.
7832_114468_000064_000000	"There must be seven or eight thousand men here," said Dick, who did not miss the full significance of the fact.	"There must be seven or eight thousand men here," said Dick, who did not miss the full significance of the fact.
