7085_2327_000000_000000	"Bertie!" came in an angry, imploring chorus of shouts and screams from the cow-house window.	"Bertie!" came in an angry, imploring chorus of shouts and screams from the cow house window.	false	0	3.03	26.666143
7085_2327_000005_000003	Her ideas on life in general had been acquired through the medium of popular respectable novel-writers, and modified or emphasised by such knowledge as her aunt, the vicar, and her aunt's housekeeper had put at her disposal.	Her ideas on life in general had been acquired through the medium of popular respectable novel writers, and modified or emphasised by such knowledge as her aunt, the vicar, and her aunt's housekeeper had put at her disposal.	true	90.92	105.25	23.602255
7085_2327_000005_000004	And now, in her twenty-ninth year, her aunt's death had left her, well provided for as regards income, but somewhat isolated in the matter of kith and kin and human companionship.	And now, in her twenty ninth year, her aunt's death had left her, well provided for as regards income, but somewhat isolated in the matter of kith and kin and human companionship.	true	105.86	118.27	24.602009
7085_2327_000005_000005	She had some cousins who were on terms of friendly, though infrequent, correspondence with her, but as they lived permanently in Ceylon, a locality about which she knew little, beyond the assurance contained in the missionary hymn that the human element there was vile, they were not of much immediate use to her. Other cousins she also possessed, more distant as regards relationship, but not quite so geographically remote, seeing that they lived somewhere in the Midlands.	She had some cousins who were on terms of friendly, though infrequent, correspondence with her, but as they lived permanently in Ceylon, a locality about which she knew little, beyond the assurance contained in the missionary hymn that the human element there was vile, they were not of much immediate use to her. Other cousins she also possessed, more distant as regards relationship, but not quite so geographically remote, seeing that they lived somewhere in the Midlands.	false	119.21	149.65	22.199577
7085_2327_000005_000006	She could hardly remember ever having met them, but once or twice in the course of the last three or four years they had expressed a polite wish that she should pay them a visit; they had probably not been unduly depressed by the fact that her aunt's failing health had prevented her from accepting their invitation.	She could hardly remember ever having met them, but once or twice in the course of the last three or four years they had expressed a polite wish that she should pay them a visit; they had probably not been unduly depressed by the fact that her aunt's failing health had prevented her from accepting their invitation.	true	150.26	169.06	24.843088
7085_2327_000005_000007	The note of condolence that had arrived on the occasion of her aunt's death had included a vague hope that Alethia would find time in the near future to spend a few days with her cousins, and after much deliberation and many hesitations she had written to propose herself as a guest for a definite date some week ahead.	The note of condolence that had arrived on the occasion of her aunt's death had included a vague hope that Alethia would find time in the near future to spend a few days with her cousins, and after much deliberation and many hesitations she had written to propose herself as a guest for a definite date some week ahead.	false	169.55	191.47	22.297787
7085_2327_000005_000008	The family, she reflected with relief, was not a large one; the two daughters were married and away, there was only old Mrs. Bludward and her son Robert at home.	The family, she reflected with relief, was not a large one; the two daughters were married and away, there was only old mrs Bludward and her son Robert at home.	false	192.32	203.95	21.824995
7085_2327_000005_000009	Mrs. Bludward was something of an invalid, and Robert was a young man who had been at Oxford and was going into Parliament.	mrs Bludward was something of an invalid, and Robert was a young man who had been at Oxford and was going into Parliament.	true	204.5	212.05	21.62168
7085_2327_000005_000010	Further than that Alethia's information did not go; her imagination, founded on her extensive knowledge of the people one met in novels, had to supply the gaps.	Further than that Alethia's information did not go; her imagination, founded on her extensive knowledge of the people one met in novels, had to supply the gaps.	true	212.21	223.6	23.238308
7085_2327_000005_000011	The mother was not difficult to place; she would either be an ultra-amiable old lady, bearing her feeble health with uncomplaining fortitude, and having a kind word for the gardener's boy and a sunny smile for the chance visitor, or else she would be cold and peevish, with eyes that pierced you like a gimlet, and a unreasoning idolatry of her son.	The mother was not difficult to place; she would either be an ultra amiable old lady, bearing her feeble health with uncomplaining fortitude, and having a kind word for the gardener's boy and a sunny smile for the chance visitor, or else she would be cold and peevish, with eyes that pierced you like a gimlet, and a unreasoning idolatry of her son.	false	224.45	248.41	22.119284
7085_2327_000005_000012	Alethia's imagination rather inclined her to the latter view.	Alethia's imagination rather inclined her to the latter view.	true	249.02	253.33	16
7085_2327_000005_000013	Robert was more of a problem.	Robert was more of a problem.	true	253.61	256.15	21.958555
7085_2327_000005_000014	There were three dominant types of manhood to be taken into consideration in working out his classification; there was Hugo, who was strong, good, and beautiful, a rare type and not very often met with; there was Sir Jasper, who was utterly vile and absolutely unscrupulous, and there was Nevil, who was not really bad at heart, but had a weak mouth and usually required the life-work of two good women to keep him from ultimate disaster.	There were three dominant types of manhood to be taken into consideration in working out his classification; there was Hugo, who was strong, good, and beautiful, a rare type and not very often met with; there was Sir Jasper, who was utterly vile and absolutely unscrupulous, and there was Nevil, who was not really bad at heart, but had a weak mouth and usually required the life work of two good women to keep him from ultimate disaster.	true	256.61	288.46	22.147379
7085_2327_000005_000015	It was probable, Alethia considered, that Robert came into the last category, in which case she was certain to enjoy the companionship of one or two excellent women, and might possibly catch glimpses of undesirable adventuresses or come face to face with reckless admiration-seeking married women.	It was probable, Alethia considered, that Robert came into the last category, in which case she was certain to enjoy the companionship of one or two excellent women, and might possibly catch glimpses of undesirable adventuresses or come face to face with reckless admiration seeking married women.	true	288.71	309.43	23.627735
7085_2327_000005_000016	It was altogether an exciting prospect, this sudden venture into an unexplored world of unknown human beings, and Alethia rather wished that she could have taken the vicar with her; she was not, however, rich or important enough to travel with a chaplain, as the Marquis of Moystoncleugh always did in the novel she had just been reading, so she recognised that such a proceeding was out of the question.	It was altogether an exciting prospect, this sudden venture into an unexplored world of unknown human beings, and Alethia rather wished that she could have taken the vicar with her; she was not, however, rich or important enough to travel with a chaplain, as the Marquis of Moystoncleugh always did in the novel she had just been reading, so she recognised that such a proceeding was out of the question.	false	310.28	336.7	23.799273
7085_2327_000006_000000	The train which carried Alethia towards her destination was a local one, with the wayside station habit strongly developed.	The train which carried Alethia towards her destination was a local one, with the wayside station habit strongly developed.	true	337.22	344.74	24.224712
7085_2327_000006_000001	At most of the stations no one seemed to want to get into the train or to leave it, but at one there were several market folk on the platform, and two men, of the farmer or small cattle-dealer class, entered Alethia's carriage. Apparently they had just foregathered, after a day's business, and their conversation consisted of a rapid exchange of short friendly inquiries as to health, family, stock, and so forth, and some grumbling remarks on the weather.	At most of the stations no one seemed to want to get into the train or to leave it, but at one there were several market folk on the platform, and two men, of the farmer or small cattle dealer class, entered Alethia's carriage. Apparently they had just foregathered, after a day's business, and their conversation consisted of a rapid exchange of short friendly inquiries as to health, family, stock, and so forth, and some grumbling remarks on the weather.	true	345.23	375.04	23.073439
7085_2327_000006_000002	Suddenly, however, their talk took a dramatically interesting turn, and Alethia listened with wide-eyed attention.	Suddenly, however, their talk took a dramatically interesting turn, and Alethia listened with wide eyed attention.	false	375.23	382.93	21
7085_2327_000007_000000	"What do you think of Mister Robert Bludward, eh?"	"What do you think of Mister Robert Bludward, eh?"	false	383.45	387.21	23.01133
7085_2327_000008_000000	There was a certain scornful ring in his question.	There was a certain scornful ring in his question.	true	387.21	390.34	21
7085_2327_000009_000000	"Robert Bludward?	"Robert Bludward?	true	390.89	393.03	25.117592
7085_2327_000009_000001	An out-an'-out rotter, that's what he is.	An out an'-out rotter, that's what he is.	true	393.03	395.83	22
7085_2327_000009_000002	Ought to be ashamed to look any decent man in the face.	Ought to be ashamed to look any decent man in the face.	true	396.02	400.12	22.49396
7085_2327_000009_000003	Send him to Parliament to represent us--not much!	Send him to Parliament to represent us-not much!	true	400.46	404.98	24.791092
7085_2327_000009_000004	He'd rob a poor man of his last shilling, he would."	He'd rob a poor man of his last shilling, he would."	true	405.17	408.7	19.37375
7085_2327_000010_000000	"Ah, that he would.	"Ah, that he would.	false	409.73	411.31	22.045998
7085_2327_000010_000001	Tells a pack of lies to get our votes, that's all that he's after, damn him.	Tells a pack of lies to get our votes, that's all that he's after, damn him.	true	411.38	416.02	23
7085_2327_000010_000002	Did you see the way the _Argus_ showed him up this week?	Did you see the way the underscore Argus underscore showed him up this week?	false	416.42	419.505	20.10503
7085_2327_000010_000003	Properly exposed him, hip and thigh, I tell you."	Properly exposed him, hip and thigh, I tell you."	true	419.505	422.8	28
7085_2327_000011_000000	And so on they ran, in their withering indictment.	And so on they ran, in their withering indictment.	true	423.14	426.43	19.731186
7085_2327_000011_000001	There could be no doubt that it was Alethia's cousin and prospective host to whom they were referring; the allusion to a Parliamentary candidature settled that.	There could be no doubt that it was Alethia's cousin and prospective host to whom they were referring; the allusion to a Parliamentary candidature settled that.	false	426.74	437.08	24
7085_2327_000011_000002	What could Robert Bludward have done, what manner of man could he be, that people should speak of him with such obvious reprobation?	What could Robert Bludward have done, what manner of man could he be, that people should speak of him with such obvious reprobation?	false	437.57	446.74	23.553488
7085_2327_000012_000000	"He was hissed down at Shoalford yesterday," said one of the speakers.	"He was hissed down at Shoalford yesterday," said one of the speakers.	true	447.02	451.51	25.45011
7085_2327_000013_000000	Hissed!	Hissed!	true	452.06	453.19	18.927406
7085_2327_000013_000001	Had it come to that?	Had it come to that?	true	453.44	454.9	24.22665
7085_2327_000013_000002	There was something dramatically biblical in the idea of Robert Bludward's neighbours and acquaintances hissing him for very scorn.	There was something dramatically biblical in the idea of Robert Bludward's neighbours and acquaintances hissing him for very scorn.	true	455.51	464.04	22.49663
7085_2327_000013_000003	Lord Hereward Stranglath had been hissed, now Alethia came to think of it, in the eighth chapter of _Matterby Towers_, while in the act of opening a Wesleyan bazaar, because he was suspected (unjustly as it turned out afterwards) of having beaten the German governess to death.	Lord Hereward Stranglath had been hissed, now Alethia came to think of it, in the eighth chapter of underscore Matterby Towers underscore, while in the act of opening a Wesleyan bazaar, because he was suspected (unjustly as it turned out afterwards) of having beaten the German governess to death.	false	464.04	482.26	25.262177
7085_2327_000013_000004	And in _Tainted Guineas_ Roper Squenderby had been deservedly hissed, on the steps of the Jockey Club, for having handed a rival owner a forged telegram, containing false news of his mother's death, just before the start for an important race, thereby ensuring the withdrawal of his rival's horse.	And in underscore Tainted Guineas underscore Roper Squenderby had been deservedly hissed, on the steps of the Jockey Club, for having handed a rival owner a forged telegram, containing false news of his mother's death, just before the start for an important race, thereby ensuring the withdrawal of his rival's horse.	false	482.63	503.53	21.383604
7085_2327_000013_000005	In placid Saxon-blooded England people did not demonstrate their feelings lightly and without some strong compelling cause.	In placid Saxon blooded England people did not demonstrate their feelings lightly and without some strong compelling cause.	true	503.96	512.55	21
7085_2327_000013_000006	What manner of evildoer was Robert Bludward?	What manner of evildoer was Robert Bludward?	true	512.55	516.43	20.820368
7085_2327_000014_000000	The train stopped at another small station, and the two men got out.	The train stopped at another small station, and the two men got out.	true	516.74	520.9	23.063322
7085_2327_000014_000001	One of them left behind him a copy of the _Argus_, the local paper to which he had made reference.	One of them left behind him a copy of the underscore Argus underscore, the local paper to which he had made reference.	false	521.18	527.11	22.147701
7085_2327_000014_000002	Alethia pounced on it, in the expectation of finding a cultured literary endorsement of the censure which these rough farming men had expressed in their homely, honest way.	Alethia pounced on it, in the expectation of finding a cultured literary endorsement of the censure which these rough farming men had expressed in their homely, honest way.	true	527.15	539.02	25.298199
7085_2327_000014_000003	She had not far to look; "Mr.	She had not far to look; "mr	true	539.48	542.22	31.410036
7085_2327_000014_000004	Robert Bludward, Swanker," was the title of one of the principal articles in the paper.	Robert Bludward, Swanker," was the title of one of the principal articles in the paper.	true	542.22	547.96	23.45143
7085_2327_000014_000005	She did not exactly know what a swanker was, probably it referred to some unspeakable form of cruelty, but she read enough in the first few sentences of the article to discover that her cousin Robert, the man at whose house she was about to stay, was an unscrupulous, unprincipled character, of a low order of intelligence, yet cunning withal, and that he and his associates were responsible for most of the misery, disease, poverty, and ignorance with which the country was afflicted; never, except in one or two of the denunciatory Psalms, which she had always supposed to have be written in a spirit of exaggerated Oriental imagery, had she read such an indictment of a human being.	She did not exactly know what a swanker was, probably it referred to some unspeakable form of cruelty, but she read enough in the first few sentences of the article to discover that her cousin Robert, the man at whose house she was about to stay, was an unscrupulous, unprincipled character, of a low order of intelligence, yet cunning withal, and that he and his associates were responsible for most of the misery, disease, poverty, and ignorance with which the country was afflicted; never, except in one or two of the denunciatory Psalms, which she had always supposed to have be written in a spirit of exaggerated Oriental imagery, had she read such an indictment of a human being.	false	548.06	595.51	23.353462
7085_2327_000014_000006	And this monster was going to meet her at Derrelton Station in a few short minutes.	And this monster was going to meet her at Derrelton Station in a few short minutes.	true	596.09	601.69	21
7085_2327_000014_000007	She would know him at once; he would have the dark beetling brows, the quick, furtive glance, the sneering, unsavoury smile that always characterised the Sir Jaspers of this world.	She would know him at once; he would have the dark beetling brows, the quick, furtive glance, the sneering, unsavoury smile that always characterised the Sir Jaspers of this world.	true	601.88	615.76	23.170483
7085_2327_000014_000008	It was too late to escape; she must force herself to meet him with outward calm.	It was too late to escape; she must force herself to meet him with outward calm.	true	616.16	622.36	22.032394
7085_2327_000015_000000	It was a considerable shock to her to find that Robert was fair, with a snub nose, merry eye, and rather a schoolboy manner.	It was a considerable shock to her to find that Robert was fair, with a snub nose, merry eye, and rather a schoolboy manner.	true	622.64	631.36	21.875422
7085_2327_000015_000001	"A serpent in duckling's plumage," was her private comment; merciful chance had revealed him to her in his true colours.	"A serpent in duckling's plumage," was her private comment; merciful chance had revealed him to her in his true colours.	true	631.49	640.48	23.504803
7085_2327_000016_000000	As they drove away from the station a dissipated-looking man of the labouring class waved his hat in friendly salute.	As they drove away from the station a dissipated looking man of the labouring class waved his hat in friendly salute.	true	640.85	648.55	21
7085_2327_000016_000001	"Good luck to you, Mr. Bludward," he shouted; "you'll come out on top!	"Good luck to you, mr Bludward," he shouted; "you'll come out on top!	true	649.43	654.585	24.43587
7085_2327_000016_000002	We'll break old Chobham's neck for him."	We'll break old Chobham's neck for him."	true	654.585	657.13	24.805737
7085_2327_000017_000000	"Who was that man?" asked Alethia quickly.	"Who was that man?" asked Alethia quickly.	true	657.62	661.21	24.465755
7085_2327_000018_000000	"Oh, one of my supporters," laughed Robert; "a bit of a poacher and a bit of a pub-loafer, but he's on the right side."	"Oh, one of my supporters," laughed Robert; "a bit of a poacher and a bit of a pub loafer, but he's on the right side."	true	661.61	670.12	25.680067
7085_2327_000019_000000	So these were the sort of associates that Robert Bludward consorted with, thought Alethia.	So these were the sort of associates that Robert Bludward consorted with, thought Alethia.	true	670.34	676.78	21.970419
7085_2327_000020_000000	"Who is the person he referred to as old Chobham?" she asked.	"Who is the person he referred to as old Chobham?" she asked.	true	677.42	681.37	22.060246
7085_2327_000021_000000	"Sir John Chobham, the man who is opposing me," answered Robert; "that is his house away there among the trees on the right."	"Sir john Chobham, the man who is opposing me," answered Robert; "that is his house away there among the trees on the right."	true	681.77	689.65	19.729311
7085_2327_000022_000000	So there was an upright man, possibly a very Hugo in character, who was thwarting and defying the evildoer in his nefarious career, and there was a dastardly plot afoot to break his neck!	So there was an upright man, possibly a very Hugo in character, who was thwarting and defying the evildoer in his nefarious career, and there was a dastardly plot afoot to break his neck!	true	690.35	703.42	24.014797
7085_2327_000022_000001	Possibly the attempt would be made within the next few hours.	Possibly the attempt would be made within the next few hours.	true	703.7	707.8	21
7085_2327_000022_000002	He must certainly be warned.	He must certainly be warned.	true	708.11	710.29	21.282007
7085_2327_000022_000003	Alethia remembered how Lady Sylvia Broomgate, in _Nightshade Court_, had pretended to be bolted with by her horse up to the front door of a threatened county magnate, and had whispered a warning in his ear which saved him from being the victim of foul murder.	Alethia remembered how Lady Sylvia Broomgate, in underscore Nightshade Court underscore, had pretended to be bolted with by her horse up to the front door of a threatened county magnate, and had whispered a warning in his ear which saved him from being the victim of foul murder.	false	710.78	727.36	23.473204
7085_2327_000022_000004	She wondered if there was a quiet pony in the stables on which she would be allowed to ride out alone.	She wondered if there was a quiet pony in the stables on which she would be allowed to ride out alone.	true	727.79	733.63	19
7085_2327_000022_000005	The chances were that she would be watched.	The chances were that she would be watched.	true	734.3	736.995	22.235998
7085_2327_000022_000006	Robert would come spurring after her and seize her bridle just as she was turning in at Sir John's gates.	Robert would come spurring after her and seize her bridle just as she was turning in at Sir John's gates.	true	736.995	743.2	21
7085_2327_000023_000000	A group of men that they passed in a village street gave them no very friendly looks, and Alethia thought she heard a furtive hiss; a moment later they came upon an errand boy riding a bicycle.	A group of men that they passed in a village street gave them no very friendly looks, and Alethia thought she heard a furtive hiss; a moment later they came upon an errand boy riding a bicycle.	false	743.9	755.92	21.546453
7085_2327_000023_000001	He had the frank open countenance, neatly brushed hair and tidy clothes that betoken a clear conscience and a good mother.	He had the frank open countenance, neatly brushed hair and tidy clothes that betoken a clear conscience and a good mother.	true	756.29	764.74	24.098688
7085_2327_000023_000002	He stared straight at the occupants of the car, and, after he had passed them, sang in his clear, boyish voice:	He stared straight at the occupants of the car, and, after he had passed them, sang in his clear, boyish voice:	true	764.93	771.52	24.001396
7085_2327_000024_000000	"We'll hang Bobby Bludward on the sour apple tree."	"We'll hang Bobby Bludward on the sour apple tree."	true	771.95	776.08	19
7085_2327_000025_000000	Robert merely laughed.	Robert merely laughed.	true	776.51	778.72	22.643316
7085_2327_000025_000001	That was how he took the scorn and condemnation of his fellow-men.	That was how he took the scorn and condemnation of his fellow men.	true	779.12	783.61	18
7085_2327_000025_000002	He had goaded them to desperation with his shameless depravity till they spoke openly of putting him to a violent death, and he laughed.	He had goaded them to desperation with his shameless depravity till they spoke openly of putting him to a violent death, and he laughed.	true	784.07	793.66	22.3636
7085_2327_000026_000000	Mrs. Bludward proved to be of the type that Alethia had suspected, thin- lipped, cold-eyed, and obviously devoted to her worthless son.	mrs Bludward proved to be of the type that Alethia had suspected, thin lipped, cold eyed, and obviously devoted to her worthless son.	false	794.06	804.52	22.087898
7085_2327_000026_000001	From her no help was to be expected.	From her no help was to be expected.	true	804.95	808.42	24.102898
7085_2327_000026_000002	Alethia locked her door that night, and placed such ramparts of furniture against it that the maid had great difficulty in breaking in with the early tea in the morning.	Alethia locked her door that night, and placed such ramparts of furniture against it that the maid had great difficulty in breaking in with the early tea in the morning.	true	808.97	819.49	24
7085_2327_000027_000000	After breakfast Alethia, on the pretext of going to look at an outlying rose-garden, slipped away to the village through which they had passed on the previous evening.	After breakfast Alethia, on the pretext of going to look at an outlying rose garden, slipped away to the village through which they had passed on the previous evening.	true	820.34	831.25	25.26916
7085_2327_000027_000001	She remembered that Robert had pointed out to her a public reading-room, and here she considered it possible that she might meet Sir John Chobham, or some one who knew him well and would carry a message to him.	She remembered that Robert had pointed out to her a public reading room, and here she considered it possible that she might meet Sir john Chobham, or some one who knew him well and would carry a message to him.	true	831.29	844.03	18
7085_2327_000027_000002	The room was empty when she entered it; a _Graphic_ twelve days old, a yet older copy of _Punch_, and one or two local papers lay upon the central table; the other tables were stacked for the most part with chess and draughts-boards, and wooden boxes of chessmen and dominoes.	The room was empty when she entered it; a underscore Graphic underscore twelve days old, a yet older copy of underscore Punch underscore, and one or two local papers lay upon the central table; the other tables were stacked for the most part with chess and draughts boards, and wooden boxes of chessmen and dominoes.	false	844.55	862.72	21.74452
7085_2327_000027_000003	Listlessly she picked up one of the papers, the _Sentinel_, and glanced at its contents.	Listlessly she picked up one of the papers, the underscore Sentinel underscore, and glanced at its contents.	false	862.97	868.69	24.001032
7085_2327_000027_000004	Suddenly she started, and began to read with breathless attention a prominently printed article, headed "A Little Limelight on Sir John Chobham." The colour ebbed away from her face, a look of frightened despair crept into her eyes.	Suddenly she started, and began to read with breathless attention a prominently printed article, headed "A Little Limelight on Sir john Chobham." The colour ebbed away from her face, a look of frightened despair crept into her eyes.	true	868.94	884.89	21.37656
7085_2327_000027_000005	Never, in any novel that she had read, had a defenceless young woman been confronted with a situation like this.	Never, in any novel that she had read, had a defenceless young woman been confronted with a situation like this.	true	885.14	892.42	18
7085_2327_000027_000006	Sir John, the Hugo of her imagination, was, if anything, rather more depraved and despicable than Robert Bludward.	Sir john, the Hugo of her imagination, was, if anything, rather more depraved and despicable than Robert Bludward.	true	893.03	902.47	23.841082
7085_2327_000027_000007	He was mean, evasive, callously indifferent to his country's interests, a cheat, a man who habitually broke his word, and who was responsible, with his associates, for most of the poverty, misery, crime, and national degradation with which the country was afflicted.	He was mean, evasive, callously indifferent to his country's interests, a cheat, a man who habitually broke his word, and who was responsible, with his associates, for most of the poverty, misery, crime, and national degradation with which the country was afflicted.	true	902.69	922.48	20.571676
7085_2327_000027_000008	He was also a candidate for Parliament, it seemed, and as there was only one seat in this particular locality, it was obvious that the success of either Robert or Sir John would mean a check to the ambitions of the other, hence, no doubt, the rivalry and enmity between these otherwise kindred souls.	He was also a candidate for Parliament, it seemed, and as there was only one seat in this particular locality, it was obvious that the success of either Robert or Sir john would mean a check to the ambitions of the other, hence, no doubt, the rivalry and enmity between these otherwise kindred souls.	true	922.76	943.6	22.363928
7085_2327_000027_000009	One was seeking to have his enemy done to death, the other was apparently trying to stir up his supporters to an act of "Lynch law".	One was seeking to have his enemy done to death, the other was apparently trying to stir up his supporters to an act of "Lynch law".	true	943.79	952.33	24
7085_2327_000027_000010	All this in order that there might be an unopposed election, that one or other of the candidates might go into Parliament with honeyed eloquence on his lips and blood on his heart.	All this in order that there might be an unopposed election, that one or other of the candidates might go into Parliament with honeyed eloquence on his lips and blood on his heart.	false	952.64	964.33	25
7085_2327_000027_000011	Were men really so vile?	Were men really so vile?	true	964.91	967.84	14
7085_2327_000028_000000	"I must go back to Webblehinton at once," Alethia informed her astonished hostess at lunch time; "I have had a telegram.	"I must go back to Webblehinton at once," Alethia informed her astonished hostess at lunch time; "I have had a telegram.	true	968.39	975.79	24.89801
7085_2327_000028_000001	A friend is very seriously ill and I have been sent for."	A friend is very seriously ill and I have been sent for."	true	975.83	979.6	20.422146
7085_2327_000029_000000	It was dreadful to have to concoct lies, but it would be more dreadful to have to spend another night under that roof.	It was dreadful to have to concoct lies, but it would be more dreadful to have to spend another night under that roof.	true	979.85	987.7	25.02866
7085_2327_000030_000000	Alethia reads novels now with even greater appreciation than before.	Alethia reads novels now with even greater appreciation than before.	true	988.49	993.04	16
7085_2327_000030_000001	She has been herself in the world outside Webblehinton, the world where the great dramas of sin and villainy are played unceasingly.	She has been herself in the world outside Webblehinton, the world where the great dramas of sin and villainy are played unceasingly.	true	993.2	1002.76	19.836344
7085_2327_000030_000002	She had come unscathed through it, but what might have happened if she had gone unsuspectingly to visit Sir John Chobham and warn him of his danger?	She had come unscathed through it, but what might have happened if she had gone unsuspectingly to visit Sir john Chobham and warn him of his danger?	true	1002.8	1013.77	21.329308
7085_2327_000030_000003	What indeed!	What indeed!	true	1013.96	1015.9	28.594074
7085_2327_000030_000004	She had been saved by the fearless outspokenness of the local Press.	She had been saved by the fearless outspokenness of the local Press.	false	1015.91	1031.43	23.055435
