7085_2327_000004_000000	FOREWARNED	FOREWARNED
7085_2327_000025_000002	He had goaded them to desperation with his shameless depravity till they spoke openly of putting him to a violent death, and he laughed.	He had goaded them to desperation with his shameless depravity till they spoke openly of putting him to a violent death, and he laughed.
7085_2327_000026_000001	From her no help was to be expected.	From her no help was to be expected.
7085_2327_000026_000002	Alethia locked her door that night, and placed such ramparts of furniture against it that the maid had great difficulty in breaking in with the early tea in the morning.	Alethia locked her door that night, and placed such ramparts of furniture against it that the maid had great difficulty in breaking in with the early tea in the morning.
7085_2327_000027_000000	After breakfast Alethia, on the pretext of going to look at an outlying rose-garden, slipped away to the village through which they had passed on the previous evening.	After breakfast Alethia, on the pretext of going to look at an outlying rose garden, slipped away to the village through which they had passed on the previous evening.
7085_2327_000027_000004	Suddenly she started, and began to read with breathless attention a prominently printed article, headed "A Little Limelight on Sir John Chobham." The colour ebbed away from her face, a look of frightened despair crept into her eyes.	Suddenly she started, and began to read with breathless attention a prominently printed article, headed "A Little Limelight on Sir john Chobham." The colour ebbed away from her face, a look of frightened despair crept into her eyes.
7085_2327_000027_000006	Sir John, the Hugo of her imagination, was, if anything, rather more depraved and despicable than Robert Bludward.	Sir john, the Hugo of her imagination, was, if anything, rather more depraved and despicable than Robert Bludward.
7085_2327_000027_000007	He was mean, evasive, callously indifferent to his country's interests, a cheat, a man who habitually broke his word, and who was responsible, with his associates, for most of the poverty, misery, crime, and national degradation with which the country was afflicted.	He was mean, evasive, callously indifferent to his country's interests, a cheat, a man who habitually broke his word, and who was responsible, with his associates, for most of the poverty, misery, crime, and national degradation with which the country was afflicted.
7085_2327_000027_000008	He was also a candidate for Parliament, it seemed, and as there was only one seat in this particular locality, it was obvious that the success of either Robert or Sir John would mean a check to the ambitions of the other, hence, no doubt, the rivalry and enmity between these otherwise kindred souls.	He was also a candidate for Parliament, it seemed, and as there was only one seat in this particular locality, it was obvious that the success of either Robert or Sir john would mean a check to the ambitions of the other, hence, no doubt, the rivalry and enmity between these otherwise kindred souls.
7085_2327_000027_000009	One was seeking to have his enemy done to death, the other was apparently trying to stir up his supporters to an act of "Lynch law".	One was seeking to have his enemy done to death, the other was apparently trying to stir up his supporters to an act of "Lynch law".
7085_2327_000028_000000	"I must go back to Webblehinton at once," Alethia informed her astonished hostess at lunch time; "I have had a telegram.	"I must go back to Webblehinton at once," Alethia informed her astonished hostess at lunch time; "I have had a telegram.
7085_2327_000028_000001	A friend is very seriously ill and I have been sent for."	A friend is very seriously ill and I have been sent for."
7085_2327_000029_000000	It was dreadful to have to concoct lies, but it would be more dreadful to have to spend another night under that roof.	It was dreadful to have to concoct lies, but it would be more dreadful to have to spend another night under that roof.
7085_2327_000030_000002	She had come unscathed through it, but what might have happened if she had gone unsuspectingly to visit Sir John Chobham and warn him of his danger?	She had come unscathed through it, but what might have happened if she had gone unsuspectingly to visit Sir john Chobham and warn him of his danger?
7085_2327_000030_000003	What indeed!	What indeed!
