1845_145083_000000_000000	CHAPTER TWENTY-TWO	CHAPTER TWENTY TWO	false	5.13	18.825	23.93219
1845_145083_000021_000000	"Better say between nine o'clock and midnight last night," Dr. Price suggested.	"Better say between nine o'clock and midnight last night," dr Price suggested.	true	435.5	439.875	19
1845_145083_000021_000001	"He may have lived an hour or more--unconscious, of course. For the indications are that he did not die instantly, but staggered a few steps, clutching at the wound.	"He may have lived an hour or more-unconscious, of course. For the indications are that he did not die instantly, but staggered a few steps, clutching at the wound.	true	439.875	449.38	20
1845_145083_000021_000002	But of course I shall have to perform an autopsy first----"	But of course I shall have to perform an autopsy first----"	true	449.6	452.71	19.76574
1845_145083_000022_000000	Dundee crossed the room, stepping over the dead man's stick--a swank affair of dark, polished wood, with a heavy knob of carved onyx, which lay about a foot beyond the reach of the curled fingers of the stiff right hand.	Dundee crossed the room, stepping over the dead man's stick-a swank affair of dark, polished wood, with a heavy knob of carved onyx, which lay about a foot beyond the reach of the curled fingers of the stiff right hand.	true	453.62	466.6	20
1845_145083_000023_000000	"Sprague's hat?" he asked, pointing to a brightly banded straw which lay upon the top of the cabinet.	"Sprague's hat?" he asked, pointing to a brightly banded straw which lay upon the top of the cabinet.	true	466.91	472.57	23.187922
1845_145083_000024_000000	"Yes," Strawn answered.	"Yes," Strawn answered.	true	472.79	474.39	19.786024
1845_145083_000024_000001	"And did you notice the window screen?"	"And did you notice the window screen?"	true	474.39	476.38	18
1845_145083_000025_000000	He pointed to the window in front of which the body lay.	He pointed to the window in front of which the body lay.	true	476.69	479.83	18.763783
1845_145083_000025_000001	The sash of leaded panes was raised as high as it would go, and beneath it was a screen of the roller-curtain type, raised about six inches from the window sill.	The sash of leaded panes was raised as high as it would go, and beneath it was a screen of the roller curtain type, raised about six inches from the window sill.	true	479.87	488.98	20
1845_145083_000025_000002	A pair of curved, nickel-plated catches in the center of the inch-wide metal band on the bottom of the coppernet curtain showed how the screen was raised or lowered.	A pair of curved, nickel plated catches in the center of the inch wide metal band on the bottom of the coppernet curtain showed how the screen was raised or lowered.	true	489.11	498.88	21
1845_145083_000026_000000	Dundee nodded, frowning, and Strawn began eagerly:	Dundee nodded, frowning, and Strawn began eagerly:	true	499.19	502.75	23.12474
1845_145083_000027_000000	"You'll have to admit I was right now, boy.	"You'll have to admit I was right now, boy.	true	503.48	505.84	19.063917
1845_145083_000027_000001	You've sneered at my gunman theory and tried to pin Nita's murder on one of Hamilton's finest bunch of people, but you'll have to admit now that every detail of this set-up bears me out."	You've sneered at my gunman theory and tried to pin Nita's murder on one of Hamilton's finest bunch of people, but you'll have to admit now that every detail of this set-up bears me out."	true	505.85	515.74	19
1845_145083_000028_000000	"Yes?"	"Yes?"	true	515.99	516.76	31.287066
1845_145083_000029_000000	"Sure.	"Sure.	true	517.04	517.93	25.839693
1845_145083_000029_000001	This is the way I figure it out: Sprague has good reason to be afraid he's next on the program.	This is the way I figure it out: Sprague has good reason to be afraid he's next on the program.	true	518	523.365	23.306671
1845_145083_000029_000002	He's nervous.	He's nervous.	true	523.365	524.295	20.9767
1845_145083_000029_000003	He hops a taxi at his hotel and comes here--can't stick to his room any longer.	He hops a taxi at his hotel and comes here-can't stick to his room any longer.	true	524.295	529.23	17
1845_145083_000029_000004	Wants a little human companionship.	Wants a little human companionship.	false	529.23	531.49	22.661575
1845_145083_000029_000005	This crowd here--and I have Miles' word for it--ain't any too glad to see him, and shows it.	This crowd here-and I have Miles' word for it-ain't any too glad to see him, and shows it.	true	531.5	537.34	24.948206
1845_145083_000029_000006	He phones for a taxi to go back to his hotel--about 9:15, that was, Miles says--but decides to walk down the hill to meet it.	He phones for a taxi to go back to his hotel-about nine fifteen, that was, Miles says-but decides to walk down the hill to meet it.	true	537.41	545.92	20
1845_145083_000029_000007	Don't want to go back out on the porch and lie about having had a good time, when he hasn't....	Don't want to go back out on the porch and lie about having had a good time, when he hasn't....	true	546.11	550.69	17
1845_145083_000029_000008	Well, he opens the front door, or what would be the front door if this was any ordinary house, but before he steps out he sees or hears something--probably a rustling in the hedge across the driveway, or maybe he even sees a face, in the light from the lanterns on each side of the door.	Well, he opens the front door, or what would be the front door if this was any ordinary house, but before he steps out he sees or hears something-probably a rustling in the hedge across the driveway, or maybe he even sees a face, in the light from the lanterns on each side of the door.	true	550.91	567.07	18
1845_145083_000029_000009	He feels sure Nita's murderer has trailed him and is lying in wait for him.	He feels sure Nita's murderer has trailed him and is lying in wait for him.	true	567.47	571.6	14
1845_145083_000029_000010	In a panic he darts into this room, and don't turn on the light for fear he'll be seen from the windows, but he can see well enough to make out how the screens work, and he was familiar with the house anyway.	In a panic he darts into this room, and don't turn on the light for fear he'll be seen from the windows, but he can see well enough to make out how the screens work, and he was familiar with the house anyway.	true	571.79	583.33	18
1845_145083_000029_000011	I'll bet you anything you like Sprague stayed in this room for an hour or two, till he thought the coast was clear, then eased up this screen, intending to climb out of the window and drop to the ground....	I'll bet you anything you like Sprague stayed in this room for an hour or two, till he thought the coast was clear, then eased up this screen, intending to climb out of the window and drop to the ground....	true	583.76	594.55	16
1845_145083_000029_000012	Not much of a drop at that.	Not much of a drop at that.	true	594.68	596.41	22.642778
1845_145083_000029_000013	You can see that the tall hedge on this side of the driveway comes pretty near up to these windows....	You can see that the tall hedge on this side of the driveway comes pretty near up to these windows....	true	596.54	601.39	17
1845_145083_000029_000014	Well, I figure he laid his hat on this cabinet, intending to reach in for it when he was outside, but that he had already made some little noise which the gunman was listening for, and that when he got the screen up this high, the gunman, crouching under the window, let go with the same gun and silencer that he used to bump off Nita....	Well, I figure he laid his hat on this cabinet, intending to reach in for it when he was outside, but that he had already made some little noise which the gunman was listening for, and that when he got the screen up this high, the gunman, crouching under the window, let go with the same gun and silencer that he used to bump off Nita....	true	601.7	620.77	19
1845_145083_000029_000015	I've got Miles' word for it that neither he nor anybody else heard a shot....	I've got Miles' word for it that neither he nor anybody else heard a shot....	true	621.08	625.15	17
1845_145083_000029_000016	Of course, nobody knew Sprague was in here, and since his hat and stick was both missing from the hall closet, they took it for granted he'd beat it....	Of course, nobody knew Sprague was in here, and since his hat and stick was both missing from the hall closet, they took it for granted he'd beat it....	true	625.43	634.09	23.80277
1845_145083_000029_000017	Any objections to that theory, boy?"	Any objections to that theory, boy?"	true	634.4	637.12	26.369072
1845_145083_000030_000000	"Just a few--one in particular," Dundee said.	"Just a few-one in particular," Dundee said.	true	637.16	640.39	21
1845_145083_000030_000001	"But I grant it's a good one, provided Dr. Price's autopsy bears you out as to the course of the bullet, and that Carraway finds Sprague's fingerprints on that contrivance for raising the screen.	"But I grant it's a good one, provided dr Price's autopsy bears you out as to the course of the bullet, and that Carraway finds Sprague's fingerprints on that contrivance for raising the screen.	true	640.49	650.8	17
1845_145083_000030_000002	Even then----"	Even then----"	true	650.96	652.03	19.105995
1845_145083_000031_000000	But Dundee was not allowed to finish his sentence, for Strawn was summoned to the telephone, by Whitson.	But Dundee was not allowed to finish his sentence, for Strawn was summoned to the telephone, by Whitson.	true	652.31	657.85	20
1845_145083_000031_000001	When he returned there was a slightly bewildered look on his heavy old face.	When he returned there was a slightly bewildered look on his heavy old face.	true	658.07	662.11	17
1845_145083_000032_000000	"That's funny....	"That's funny....	true	662.48	663.46	22.210983
1845_145083_000032_000001	Collins--the lad I sent to check up on the taxi companies--says he's located the driver that answered Sprague's call last night.	Collins-the lad I sent to check up on the taxi companies-says he's located the driver that answered Sprague's call last night.	true	663.47	671.8	24.133202
1845_145083_000032_000002	The driver says he was called about 9:15, told to come immediately, and to wait for Sprague at the foot of the hill, on the main road.	The driver says he was called about nine fifteen, told to come immediately, and to wait for Sprague at the foot of the hill, on the main road.	true	671.99	680.2	20.605267
1845_145083_000032_000003	He says he waited there until half past ten, then went on back to town, sore'n a boiled owl."	He says he waited there until half past ten, then went on back to town, sore'n a boiled owl."	true	680.27	686.68	21.197266
1845_145083_000033_000000	"It doesn't look exactly as if Sprague were afraid of anyone _outside of this house_ last night, does it?" Dundee asked.	"It doesn't look exactly as if Sprague were afraid of anyone underscore outside of this house underscore last night, does it?" Dundee asked.	false	686.87	693.64	21
1845_145083_000033_000001	"By the way, I suppose you've sent for everyone who was here?"	"By the way, I suppose you've sent for everyone who was here?"	true	693.68	696.91	17
1845_145083_000034_000000	"Sure!"	"Sure!"	true	697.25	698.17	23.906702
1845_145083_000034_000001	But again Captain Strawn looked uncomfortable.	But again Captain Strawn looked uncomfortable.	true	698.33	701.08	20.969599
1845_145083_000034_000002	"But we haven't been able to locate the Beale girl and Clive Hammond."	"But we haven't been able to locate the Beale girl and Clive Hammond."	false	701.24	706.23	21.641775
1845_145083_000035_000000	CHAPTER TWENTY-THREE	CHAPTER TWENTY THREE	false	706.23	706.95	14
1845_145083_000036_000000	"I'd give a good deal to know which of those two suggested that it would be a good idea to get married the first thing this morning," Dundee mused aloud, as he put down the second extra which _The Hamilton Morning News_ had had occasion to issue that Thursday.	"I'd give a good deal to know which of those two suggested that it would be a good idea to get married the first thing this morning," Dundee mused aloud, as he put down the second extra which underscore The Hamilton Morning News underscore had had occasion to issue that Thursday.	false	706.95	712.83	16.3941
