1224_121064_000000_000000	Chapter 46.	Chapter forty six.	true	4.08	5.56	20
1224_121064_000010_000000	"Then how comes it," said Monte Cristo with a frown, "that, when I desired you to purchase for me the finest pair of horses to be found in Paris, there is another pair, fully as fine as mine, not in my stables?" At the look of displeasure, added to the angry tone in which the count spoke, Ali turned pale and held down his head.	"Then how comes it," said Monte Cristo with a frown, "that, when I desired you to purchase for me the finest pair of horses to be found in Paris, there is another pair, fully as fine as mine, not in my stables?" At the look of displeasure, added to the angry tone in which the count spoke, Ali turned pale and held down his head.	true	301.82	323.14	20
1224_121064_000010_000001	"It is not your fault, my good Ali," said the count in the Arabic language, and with a gentleness none would have thought him capable of showing, either in voice or face--"it is not your fault.	"It is not your fault, my good Ali," said the count in the Arabic language, and with a gentleness none would have thought him capable of showing, either in voice or face-"it is not your fault.	true	323.96	335.89	18
1224_121064_000010_000002	You do not understand the points of English horses." The countenance of poor Ali recovered its serenity.	You do not understand the points of English horses." The countenance of poor Ali recovered its serenity.	true	335.93	342.52	18.712767
1224_121064_000010_000003	"Permit me to assure your excellency," said Bertuccio, "that the horses you speak of were not to be sold when I purchased yours." Monte Cristo shrugged his shoulders.	"Permit me to assure your excellency," said Bertuccio, "that the horses you speak of were not to be sold when I purchased yours." Monte Cristo shrugged his shoulders.	true	343.22	353.07	17
1224_121064_000010_000004	"It seems, sir steward," said he, "that you have yet to learn that all things are to be sold to such as care to pay the price."	"It seems, sir steward," said he, "that you have yet to learn that all things are to be sold to such as care to pay the price."	false	353.07	361.63	18.579294
1224_121064_000011_000000	"His excellency is not, perhaps, aware that M. Danglars gave 16,000 francs for his horses?"	"His excellency is not, perhaps, aware that m Danglars gave sixteen thousand francs for his horses?"	false	362.12	368.53	18
1224_121064_000012_000000	"Very well.	"Very well.	true	369.56	370.38	16.566917
1224_121064_000012_000001	Then offer him double that sum; a banker never loses an opportunity of doubling his capital."	Then offer him double that sum; a banker never loses an opportunity of doubling his capital."	true	370.38	375.67	20.626997
1224_121064_000013_000000	"Is your excellency really in earnest?" inquired the steward.	"Is your excellency really in earnest?" inquired the steward.	true	376.73	380.41	17
1224_121064_000013_000001	Monte Cristo regarded the person who durst presume to doubt his words with the look of one equally surprised and displeased.	Monte Cristo regarded the person who durst presume to doubt his words with the look of one equally surprised and displeased.	true	380.69	388.12	16
1224_121064_000013_000002	"I have to pay a visit this evening," replied he.	"I have to pay a visit this evening," replied he.	true	388.61	391.27	17
1224_121064_000013_000003	"I desire that these horses, with completely new harness, may be at the door with my carriage." Bertuccio bowed, and was about to retire; but when he reached the door, he paused, and then said, "At what o'clock does your excellency wish the carriage and horses to be ready?"	"I desire that these horses, with completely new harness, may be at the door with my carriage." Bertuccio bowed, and was about to retire; but when he reached the door, he paused, and then said, "At what o'clock does your excellency wish the carriage and horses to be ready?"	true	391.88	408.58	19.719448
1224_121064_000014_000000	"At five o'clock," replied the count.	"At five o'clock," replied the count.	true	409.22	411.28	24.308573
1224_121064_000015_000000	"I beg your excellency's pardon," interposed the steward in a deprecating manner, "for venturing to observe that it is already two o'clock."	"I beg your excellency's pardon," interposed the steward in a deprecating manner, "for venturing to observe that it is already two o'clock."	true	411.41	419.68	20.372396
1224_121064_000016_000000	"I am perfectly aware of that fact," answered Monte Cristo calmly.	"I am perfectly aware of that fact," answered Monte Cristo calmly.	true	420.56	424.63	19
1224_121064_000016_000001	Then, turning towards Ali, he said, "Let all the horses in my stables be led before the windows of your young lady, that she may select those she prefers for her carriage.	Then, turning towards Ali, he said, "Let all the horses in my stables be led before the windows of your young lady, that she may select those she prefers for her carriage.	true	424.82	435.49	17
1224_121064_000016_000002	Request her also to oblige me by saying whether it is her pleasure to dine with me; if so, let dinner be served in her apartments.	Request her also to oblige me by saying whether it is her pleasure to dine with me; if so, let dinner be served in her apartments.	true	435.68	443.95	18
1224_121064_000016_000003	Now, leave me, and desire my valet de chambre to come hither." Scarcely had Ali disappeared when the valet entered the chamber.	Now, leave me, and desire my valet de chambre to come hither." Scarcely had Ali disappeared when the valet entered the chamber.	true	444.11	453.22	19.17673
1224_121064_000016_000004	"Monsieur Baptistin," said the count, "you have been in my service one year, the time I generally give myself to judge of the merits or demerits of those about me.	"Monsieur Baptistin," said the count, "you have been in my service one year, the time I generally give myself to judge of the merits or demerits of those about me.	true	453.68	463.33	18
1224_121064_000016_000005	You suit me very well." Baptistin bowed low.	You suit me very well." Baptistin bowed low.	true	463.7	467.41	19.62158
1224_121064_000016_000006	"It only remains for me to know whether I also suit you?"	"It only remains for me to know whether I also suit you?"	true	467.81	471.13	14
1224_121064_000017_000000	"Oh, your excellency!" exclaimed Baptistin eagerly.	"Oh, your excellency!" exclaimed Baptistin eagerly.	false	472.07	476.38	16.51439
1224_121064_000018_000000	"Listen, if you please, till I have finished speaking," replied Monte Cristo.	"Listen, if you please, till I have finished speaking," replied Monte Cristo.	true	476.84	481.21	16
1224_121064_000018_000001	"You receive 1,500 francs per annum for your services here--more than many a brave subaltern, who continually risks his life for his country, obtains.	"You receive one thousand five hundred francs per annum for your services here-more than many a brave subaltern, who continually risks his life for his country, obtains.	false	481.58	491.8	18
1224_121064_000018_000002	You live in a manner far superior to many clerks who work ten times harder than you do for their money.	You live in a manner far superior to many clerks who work ten times harder than you do for their money.	false	492.14	497.74	13
1224_121064_000018_000003	Then, though yourself a servant, you have other servants to wait upon you, take care of your clothes, and see that your linen is duly prepared for you.	Then, though yourself a servant, you have other servants to wait upon you, take care of your clothes, and see that your linen is duly prepared for you.	true	498.05	506.89	17
1224_121064_000018_000004	Again, you make a profit upon each article you purchase for my toilet, amounting in the course of a year to a sum equalling your wages."	Again, you make a profit upon each article you purchase for my toilet, amounting in the course of a year to a sum equalling your wages."	true	507.17	515.38	17
1224_121064_000019_000000	"Nay, indeed, your excellency."	"Nay, indeed, your excellency."	true	515.93	518.56	14
1224_121064_000020_000000	"I am not condemning you for this, Monsieur Baptistin; but let your profits end here.	"I am not condemning you for this, Monsieur Baptistin; but let your profits end here.	true	519.77	524.77	19.275633
1224_121064_000020_000001	It would be long indeed ere you would find so lucrative a post as that you have now the good fortune to fill.	It would be long indeed ere you would find so lucrative a post as that you have now the good fortune to fill.	true	525.11	531.55	17
1224_121064_000020_000002	I neither ill-use nor ill-treat my servants by word or action.	I neither ill use nor ill treat my servants by word or action.	true	531.89	536.05	14
1224_121064_000020_000003	An error I readily forgive, but wilful negligence or forgetfulness, never.	An error I readily forgive, but wilful negligence or forgetfulness, never.	true	536.36	542.23	18.91181
1224_121064_000020_000004	My commands are ordinarily short, clear, and precise; and I would rather be obliged to repeat my words twice, or even three times, than they should be misunderstood.	My commands are ordinarily short, clear, and precise; and I would rather be obliged to repeat my words twice, or even three times, than they should be misunderstood.	false	542.51	553.09	18
1224_121064_000020_000005	I am rich enough to know whatever I desire to know, and I can promise you I am not wanting in curiosity.	I am rich enough to know whatever I desire to know, and I can promise you I am not wanting in curiosity.	true	553.34	559.93	14
1224_121064_000020_000006	If, then, I should learn that you had taken upon yourself to speak of me to any one favorably or unfavorably, to comment on my actions, or watch my conduct, that very instant you would quit my service.	If, then, I should learn that you had taken upon yourself to speak of me to any one favorably or unfavorably, to comment on my actions, or watch my conduct, that very instant you would quit my service.	true	560.6	574.36	18
1224_121064_000020_000007	You may now retire.	You may now retire.	true	575.15	576.79	19.764761
1224_121064_000020_000008	I never caution my servants a second time--remember that." Baptistin bowed, and was proceeding towards the door.	I never caution my servants a second time-remember that." Baptistin bowed, and was proceeding towards the door.	true	577.16	584.71	17.466125
1224_121064_000020_000009	"I forgot to mention to you," said the count, "that I lay yearly aside a certain sum for each servant in my establishment; those whom I am compelled to dismiss lose (as a matter of course) all participation in this money, while their portion goes to the fund accumulating for those domestics who remain with me, and among whom it will be divided at my death.	"I forgot to mention to you," said the count, "that I lay yearly aside a certain sum for each servant in my establishment; those whom I am compelled to dismiss lose (as a matter of course) all participation in this money, while their portion goes to the fund accumulating for those domestics who remain with me, and among whom it will be divided at my death.	true	585.62	607.72	17
1224_121064_000020_000010	You have been in my service a year, your fund has already begun to accumulate--let it continue to do so."	You have been in my service a year, your fund has already begun to accumulate-let it continue to do so."	true	608.15	614.59	17
1224_121064_000021_000000	This address, delivered in the presence of Ali, who, not understanding one word of the language in which it was spoken, stood wholly unmoved, produced an effect on M. Baptistin only to be conceived by such as have occasion to study the character and disposition of French domestics.	This address, delivered in the presence of Ali, who, not understanding one word of the language in which it was spoken, stood wholly unmoved, produced an effect on m Baptistin only to be conceived by such as have occasion to study the character and disposition of French domestics.	true	615.47	632.79	16
1224_121064_000021_000001	"I assure your excellency," said he, "that at least it shall be my study to merit your approbation in all things, and I will take M. Ali as my model."	"I assure your excellency," said he, "that at least it shall be my study to merit your approbation in all things, and I will take m Ali as my model."	false	632.79	645.04	18.539864
1224_121064_000022_000000	"By no means," replied the count in the most frigid tones; "Ali has many faults mixed with most excellent qualities.	"By no means," replied the count in the most frigid tones; "Ali has many faults mixed with most excellent qualities.	true	645.77	653.47	15.883768
1224_121064_000022_000001	He cannot possibly serve you as a pattern for your conduct, not being, as you are, a paid servant, but a mere slave--a dog, who, should he fail in his duty towards me, I should not discharge from my service, but kill." Baptistin opened his eyes with astonishment.	He cannot possibly serve you as a pattern for your conduct, not being, as you are, a paid servant, but a mere slave-a dog, who, should he fail in his duty towards me, I should not discharge from my service, but kill." Baptistin opened his eyes with astonishment.	true	653.51	670.09	19.725773
1224_121064_000023_000000	"You seem incredulous," said Monte Cristo, who repeated to Ali in the Arabic language what he had just been saying to Baptistin in French.	"You seem incredulous," said Monte Cristo, who repeated to Ali in the Arabic language what he had just been saying to Baptistin in French.	true	671.54	679.36	15
1224_121064_000023_000001	The Nubian smiled assentingly to his master's words, then, kneeling on one knee, respectfully kissed the hand of the count.	The Nubian smiled assentingly to his master's words, then, kneeling on one knee, respectfully kissed the hand of the count.	true	679.58	687.94	15
1224_121064_000023_000002	This corroboration of the lesson he had just received put the finishing stroke to the wonder and stupefaction of M. Baptistin.	This corroboration of the lesson he had just received put the finishing stroke to the wonder and stupefaction of m Baptistin.	false	688.31	696.18	17
1224_121064_000023_000003	The count then motioned the valet de chambre to retire, and to Ali to follow to his study, where they conversed long and earnestly together.	The count then motioned the valet de chambre to retire, and to Ali to follow to his study, where they conversed long and earnestly together.	true	696.18	704.56	16
1224_121064_000023_000004	As the hand of the clock pointed to five the count struck thrice upon his gong.	As the hand of the clock pointed to five the count struck thrice upon his gong.	false	705.05	710.49	18.905106
1224_121064_000023_000005	When Ali was wanted one stroke was given, two summoned Baptistin, and three Bertuccio.	When Ali was wanted one stroke was given, two summoned Baptistin, and three Bertuccio.	true	710.49	716.44	17
1224_121064_000023_000006	The steward entered.	The steward entered.	true	716.93	718.27	21.690939
1224_121064_000023_000007	"My horses," said Monte Cristo.	"My horses," said Monte Cristo.	true	718.7	721.36	18.139065
1224_121064_000024_000000	"They are at the door harnessed to the carriage as your excellency desired.	"They are at the door harnessed to the carriage as your excellency desired.	true	721.82	725.86	19
1224_121064_000024_000001	Does your excellency wish me to accompany him?"	Does your excellency wish me to accompany him?"	true	726.05	728.53	15
1224_121064_000025_000000	"No, the coachman, Ali, and Baptistin will go." The count descended to the door of his mansion, and beheld his carriage drawn by the very pair of horses he had so much admired in the morning as the property of Danglars.	"No, the coachman, Ali, and Baptistin will go." The count descended to the door of his mansion, and beheld his carriage drawn by the very pair of horses he had so much admired in the morning as the property of Danglars.	true	729.17	743.17	15
1224_121064_000025_000001	As he passed them he said--"They are extremely handsome certainly, and you have done well to purchase them, although you were somewhat remiss not to have procured them sooner."	As he passed them he said-"They are extremely handsome certainly, and you have done well to purchase them, although you were somewhat remiss not to have procured them sooner."	true	743.51	756.43	17.918558
1224_121064_000026_000000	"Indeed, your excellency, I had very considerable difficulty in obtaining them, and, as it is, they have cost an enormous price."	"Indeed, your excellency, I had very considerable difficulty in obtaining them, and, as it is, they have cost an enormous price."	true	756.74	766.63	18.985567
1224_121064_000027_000000	"Does the sum you gave for them make the animals less beautiful," inquired the count, shrugging his shoulders.	"Does the sum you gave for them make the animals less beautiful," inquired the count, shrugging his shoulders.	true	767.54	773.56	13
1224_121064_000028_000000	"Nay, if your excellency is satisfied, it is all that I could wish. Whither does your excellency desire to be driven?"	"Nay, if your excellency is satisfied, it is all that I could wish. Whither does your excellency desire to be driven?"	true	773.93	781.42	18
1224_121064_000029_000000	"To the residence of Baron Danglars, Rue de la Chaussee d'Antin." This conversation had passed as they stood upon the terrace, from which a flight of stone steps led to the carriage-drive.	"To the residence of Baron Danglars, Rue de la Chaussee d'Antin." This conversation had passed as they stood upon the terrace, from which a flight of stone steps led to the carriage drive.	false	782.12	793.39	18.533577
1224_121064_000029_000001	As Bertuccio, with a respectful bow, was moving away, the count called him back.	As Bertuccio, with a respectful bow, was moving away, the count called him back.	true	793.82	799.3	18
1224_121064_000029_000002	"I have another commission for you, M. Bertuccio," said he; "I am desirous of having an estate by the seaside in Normandy--for instance, between Havre and Boulogne.	"I have another commission for you, m Bertuccio," said he; "I am desirous of having an estate by the seaside in Normandy-for instance, between Havre and Boulogne.	false	799.73	811.17	17
1224_121064_000029_000003	You see I give you a wide range.	You see I give you a wide range.	true	811.17	813.64	13
1224_121064_000029_000004	It will be absolutely necessary that the place you may select have a small harbor, creek, or bay, into which my corvette can enter and remain at anchor.	It will be absolutely necessary that the place you may select have a small harbor, creek, or bay, into which my corvette can enter and remain at anchor.	true	813.68	823.75	18
1224_121064_000029_000005	She draws only fifteen feet.	She draws only fifteen feet.	true	823.94	826.45	16.983656
1224_121064_000029_000006	She must be kept in constant readiness to sail immediately I think proper to give the signal.	She must be kept in constant readiness to sail immediately I think proper to give the signal.	true	826.46	832.21	15
1224_121064_000029_000007	Make the requisite inquiries for a place of this description, and when you have met with an eligible spot, visit it, and if it possess the advantages desired, purchase it at once in your own name.	Make the requisite inquiries for a place of this description, and when you have met with an eligible spot, visit it, and if it possess the advantages desired, purchase it at once in your own name.	false	832.52	843.82	18.544743
1224_121064_000029_000008	The corvette must now, I think, be on her way to Fecamp, must she not?"	The corvette must now, I think, be on her way to Fecamp, must she not?"	true	844.19	848.74	17
1224_121064_000030_000000	"Certainly, your excellency; I saw her put to sea the same evening we quitted Marseilles."	"Certainly, your excellency; I saw her put to sea the same evening we quitted Marseilles."	true	849.29	854.2	16
1224_121064_000031_000000	"And the yacht."	"And the yacht."	true	854.66	855.64	20
1224_121064_000032_000000	"Was ordered to remain at Martigues."	"Was ordered to remain at Martigues."	true	856.01	858.34	16
1224_121064_000033_000000	"'Tis well.	"'tis well.	true	859.01	859.815	16
1224_121064_000033_000001	I wish you to write from time to time to the captains in charge of the two vessels so as to keep them on the alert."	I wish you to write from time to time to the captains in charge of the two vessels so as to keep them on the alert."	true	859.815	865.57	18
1224_121064_000034_000000	"And the steamboat?"	"And the steamboat?"	true	866.24	867.49	25.65248
1224_121064_000035_000000	"She is at Chalons?"	"She is at Chalons?"	true	867.74	868.9	14
1224_121064_000036_000000	"Yes."	"Yes."	true	869.48	870.19	16.248638
1224_121064_000037_000000	"The same orders for her as for the two sailing vessels."	"The same orders for her as for the two sailing vessels."	false	870.47	873.55	14
1224_121064_000038_000000	"Very good."	"Very good."	true	873.8	874.81	18
1224_121064_000039_000000	"When you have purchased the estate I desire, I want constant relays of horses at ten leagues apart along the northern and southern road."	"When you have purchased the estate I desire, I want constant relays of horses at ten leagues apart along the northern and southern road."	true	875.27	882.1	13
1224_121064_000040_000000	"Your excellency may depend upon me." The Count made a gesture of satisfaction, descended the terrace steps, and sprang into his carriage, which was whirled along swiftly to the banker's house.	"Your excellency may depend upon me." The Count made a gesture of satisfaction, descended the terrace steps, and sprang into his carriage, which was whirled along swiftly to the banker's house.	false	882.53	893.2	19.883816
1224_121064_000040_000001	Danglars was engaged at that moment, presiding over a railroad committee.	Danglars was engaged at that moment, presiding over a railroad committee.	false	893.42	897.34	14
1224_121064_000040_000002	But the meeting was nearly concluded when the name of his visitor was announced. As the count's title sounded on his ear he rose, and addressing his colleagues, who were members of one or the other Chamber, he said,--"Gentlemen, pardon me for leaving you so abruptly; but a most ridiculous circumstance has occurred, which is this,--Thomson & French, the Roman bankers, have sent to me a certain person calling himself the Count of Monte Cristo, and have given him an unlimited credit with me.	But the meeting was nearly concluded when the name of his visitor was announced. As the count's title sounded on his ear he rose, and addressing his colleagues, who were members of one or the other Chamber, he said,--"Gentlemen, pardon me for leaving you so abruptly; but a most ridiculous circumstance has occurred, which is this,--Thomson and French, the Roman bankers, have sent to me a certain person calling himself the Count of Monte Cristo, and have given him an unlimited credit with me.	true	897.44	926.5	18
1224_121064_000040_000003	I confess this is the drollest thing I have ever met with in the course of my extensive foreign transactions, and you may readily suppose it has greatly roused my curiosity.	I confess this is the drollest thing I have ever met with in the course of my extensive foreign transactions, and you may readily suppose it has greatly roused my curiosity.	true	927.35	937.39	18
1224_121064_000040_000004	I took the trouble this morning to call on the pretended count--if he were a real count he wouldn't be so rich. But, would you believe it, 'He was not receiving.' So the master of Monte Cristo gives himself airs befitting a great millionaire or a capricious beauty.	I took the trouble this morning to call on the pretended count-if he were a real count he wouldn't be so rich. But, would you believe it, 'He was not receiving.' So the master of Monte Cristo gives himself airs befitting a great millionaire or a capricious beauty.	true	937.55	954.4	20.161295
1224_121064_000040_000005	I made inquiries, and found that the house in the Champs Elysees is his own property, and certainly it was very decently kept up.	I made inquiries, and found that the house in the Champs Elysees is his own property, and certainly it was very decently kept up.	false	954.65	962.74	16
1224_121064_000040_000006	But," pursued Danglars with one of his sinister smiles, "an order for unlimited credit calls for something like caution on the part of the banker to whom that order is given.	But," pursued Danglars with one of his sinister smiles, "an order for unlimited credit calls for something like caution on the part of the banker to whom that order is given.	true	962.81	973.03	20
1224_121064_000040_000007	I am very anxious to see this man.	I am very anxious to see this man.	true	973.52	976.11	15
1224_121064_000040_000008	I suspect a hoax is intended, but the instigators of it little knew whom they had to deal with.	I suspect a hoax is intended, but the instigators of it little knew whom they had to deal with.	false	976.11	981.855	20
1224_121064_000040_000009	'They laugh best who laugh last!'"	'They laugh best who laugh last!'"	true	981.855	984.22	23.00686
1224_121064_000041_000000	Having delivered himself of this pompous address, uttered with a degree of energy that left the baron almost out of breath, he bowed to the assembled party and withdrew to his drawing-room, whose sumptuous furnishings of white and gold had caused a great sensation in the Chaussee d'Antin.	Having delivered himself of this pompous address, uttered with a degree of energy that left the baron almost out of breath, he bowed to the assembled party and withdrew to his drawing room, whose sumptuous furnishings of white and gold had caused a great sensation in the Chaussee d'Antin.	false	984.86	1001.75	18
1224_121064_000041_000001	It was to this apartment he had desired his guest to be shown, with the purpose of overwhelming him at the sight of so much luxury.	It was to this apartment he had desired his guest to be shown, with the purpose of overwhelming him at the sight of so much luxury.	true	1001.75	1008.52	16
1224_121064_000041_000002	He found the count standing before some copies of Albano and Fattore that had been passed off to the banker as originals; but which, mere copies as they were, seemed to feel their degradation in being brought into juxtaposition with the gaudy colors that covered the ceiling.	He found the count standing before some copies of Albano and Fattore that had been passed off to the banker as originals; but which, mere copies as they were, seemed to feel their degradation in being brought into juxtaposition with the gaudy colors that covered the ceiling.	false	1009.49	1025.14	17
1224_121064_000041_000003	The count turned round as he heard the entrance of Danglars into the room.	The count turned round as he heard the entrance of Danglars into the room.	false	1025.54	1029.76	15
1224_121064_000041_000004	With a slight inclination of the head, Danglars signed to the count to be seated, pointing significantly to a gilded arm-chair, covered with white satin embroidered with gold.	With a slight inclination of the head, Danglars signed to the count to be seated, pointing significantly to a gilded arm chair, covered with white satin embroidered with gold.	true	1030.04	1041.37	18
1224_121064_000041_000005	The count sat down.	The count sat down.	true	1041.38	1042.96	19.1448
1224_121064_000041_000006	"I have the honor, I presume, of addressing M. de Monte Cristo."	"I have the honor, I presume, of addressing m de Monte Cristo."	false	1043.45	1047.52	15
1224_121064_000042_000000	The count bowed.	The count bowed.	true	1048.1	1049.47	20.844107
1224_121064_000042_000001	"And I of speaking to Baron Danglars, chevalier of the Legion of Honor, and member of the Chamber of Deputies?"	"And I of speaking to Baron Danglars, chevalier of the Legion of Honor, and member of the Chamber of Deputies?"	true	1049.57	1056.22	14
1224_121064_000043_000000	Monte Cristo repeated all the titles he had read on the baron's card.	Monte Cristo repeated all the titles he had read on the baron's card.	true	1056.77	1060.63	18
1224_121064_000044_000000	Danglars felt the irony and compressed his lips.	Danglars felt the irony and compressed his lips.	true	1061.21	1063.93	20.304117
1224_121064_000044_000001	"You will, I trust, excuse me, monsieur, for not calling you by your title when I first addressed you," he said, "but you are aware that we are living under a popular form of government, and that I am myself a representative of the liberties of the people."	"You will, I trust, excuse me, monsieur, for not calling you by your title when I first addressed you," he said, "but you are aware that we are living under a popular form of government, and that I am myself a representative of the liberties of the people."	false	1064.12	1077.22	18
