3513_163606_000000_000000	(14) From P. C. Asbjornsen.	(fourteen) From p c Asbjornsen.	false	0	1.83	18.121092
3513_163606_000008_000000	'Happy thought!' says friend Fox.	'Happy thought!' says friend Fox.	true	116.54	119.11	23.18957
3513_163606_000009_000000	He takes bag and baggage, and, presto! is gone like a letter into the post.	He takes bag and baggage, and, presto! is gone like a letter into the post.	true	119.48	124.84	19
3513_163606_000010_000000	And Drakestail is off again, all spruce and fresh, still singing: 'Quack, quack, quack, when shall I have my money back?'	And Drakestail is off again, all spruce and fresh, still singing: 'Quack, quack, quack, when shall I have my money back?'	false	125.39	133.09	23.22232
3513_163606_000011_000000	He had not gone far when he met his lady-friend Ladder, leaning on her wall.	He had not gone far when he met his lady friend Ladder, leaning on her wall.	false	133.13	138.4	21.780687
3513_163606_000012_000000	'Good morning, my duckling,' says the lady friend, 'whither away so bold?'	'Good morning, my duckling,' says the lady friend, 'whither away so bold?'	true	138.77	144.07	19.423853
3513_163606_000013_000000	'I am going to the King for what he owes me.'	'I am going to the King for what he owes me.'	true	144.71	147.58	20.146496
3513_163606_000014_000000	'Oh! take me with thee!'	'Oh! take me with thee!'	true	147.77	149.92	21.86738
3513_163606_000015_000000	Drakestail said to himself: 'One can't have too many friends.' ... 'I will,' says he, 'but with your wooden legs you will soon be tired.	Drakestail said to himself: 'One can't have too many friends.' ... 'I will,' says he, 'but with your wooden legs you will soon be tired.	true	150.38	159.345	21.521585
3513_163606_000015_000001	Make yourself quite small, get into my throat--go into my gizzard and I will carry you.'	Make yourself quite small, get into my throat-go into my gizzard and I will carry you.'	false	159.345	164.98	20
3513_163606_000016_000000	'Happy thought!' says my friend Ladder, and nimble, bag and baggage, goes to keep company with friend Fox.	'Happy thought!' says my friend Ladder, and nimble, bag and baggage, goes to keep company with friend Fox.	false	165.44	173.53	20.713692
3513_163606_000017_000000	And 'Quack, quack, quack.' Drakestail is off again, singing and spruce as before.	And 'Quack, quack, quack.' Drakestail is off again, singing and spruce as before.	false	173.87	179.05	24.926008
3513_163606_000017_000001	A little farther he meets his sweetheart, my friend River, wandering quietly in the sunshine.	A little farther he meets his sweetheart, my friend River, wandering quietly in the sunshine.	true	179.21	185.17	19.802673
3513_163606_000018_000000	'Thou, my cherub,' says she, 'whither so lonesome, with arching tail, on this muddy road?'	'Thou, my cherub,' says she, 'whither so lonesome, with arching tail, on this muddy road?'	true	185.72	191.98	19
3513_163606_000019_000000	'I am going to the King, you know, for what he owes me.'	'I am going to the King, you know, for what he owes me.'	true	192.47	195.37	23
3513_163606_000020_000000	'Oh! take me with thee!'	'Oh! take me with thee!'	true	195.71	197.65	18.669832
3513_163606_000021_000000	Drakestail said to himself: 'We can't be too many friends.'... 'I will,' says he, 'but you who sleep while you walk will soon be tired.	Drakestail said to himself: 'We can't be too many friends.'... 'I will,' says he, 'but you who sleep while you walk will soon be tired.	true	198.14	208	22.134731
3513_163606_000021_000001	Make yourself quite small, get into my throat--go into my gizzard and I will carry you.'	Make yourself quite small, get into my throat-go into my gizzard and I will carry you.'	true	208.04	213.45	21
3513_163606_000022_000000	'Ah! happy thought!' says my friend River.	'Ah! happy thought!' says my friend River.	false	213.45	218.02	19.292627
3513_163606_000023_000000	She takes bag and baggage, and glou, glou, glou, she takes her place between friend Fox and my friend Ladder.	She takes bag and baggage, and glou, glou, glou, she takes her place between friend Fox and my friend Ladder.	true	218.24	226	20.791128
3513_163606_000024_000000	And 'Quack, quack, quack.' Drakestail is off again singing.	And 'Quack, quack, quack.' Drakestail is off again singing.	false	226.67	230.08	24.279144
3513_163606_000025_000000	A little farther on he meets comrade Wasp's-nest, manoeuvring his wasps.	A little farther on he meets comrade Wasp's nest, manoeuvring his wasps.	false	230.39	235.96	21.266846
3513_163606_000026_000000	'Well, good-morning, friend Drakestail,' said comrade Wasp's-nest, 'where are we bound for so spruce and fresh?'	'Well, good morning, friend Drakestail,' said comrade Wasp's nest, 'where are we bound for so spruce and fresh?'	false	237.05	245.68	19.966356
3513_163606_000027_000000	'I am going to the King for what he owes me.'	'I am going to the King for what he owes me.'	true	245.81	248.13	21.395164
3513_163606_000028_000000	'Oh! take me with thee!'	'Oh! take me with thee!'	true	248.13	249.97	25.639421
3513_163606_000029_000000	Drakestail said to himself, 'One can't have too many friends.'... 'I will,' says he, 'but with your battalion to drag along, you will soon be tired.	Drakestail said to himself, 'One can't have too many friends.'... 'I will,' says he, 'but with your battalion to drag along, you will soon be tired.	true	251.09	261.105	20.012733
3513_163606_000029_000001	Make yourself quite small, go into my throat--get into my gizzard and I will carry you.'	Make yourself quite small, go into my throat-get into my gizzard and I will carry you.'	true	261.105	266.23	24.805752
3513_163606_000030_000000	'By Jove I that's a good idea!' says comrade Wasp's-nest.	'By Jove I that's a good idea!' says comrade Wasp's nest.	false	266.51	270.91	26.936121
3513_163606_000031_000000	And left file! he takes the same road to join the others with all his party.	And left file! he takes the same road to join the others with all his party.	true	272.33	277.09	20.46834
3513_163606_000031_000001	There was not much more room, but by closing up a bit they managed....	There was not much more room, but by closing up a bit they managed....	true	277.46	281.77	24.117348
3513_163606_000031_000002	And Drakestail is off again singing.	And Drakestail is off again singing.	true	281.78	284.41	18.972681
3513_163606_000032_000000	He arrived thus at the capital, and threaded his way straight up the High Street, still running and singing 'Quack, quack, quack, when shall I get my money back?' to the great astonishment of the good folks, till he came to the King's palace.	He arrived thus at the capital, and threaded his way straight up the High Street, still running and singing 'Quack, quack, quack, when shall I get my money back?' to the great astonishment of the good folks, till he came to the King's palace.	false	286.01	299.44	23.800695
3513_163606_000033_000000	He strikes with the knocker: 'Toc! toc!'	He strikes with the knocker: 'Toc! toc!'	true	299.66	302.02	30.629528
3513_163606_000034_000000	'Who is there?' asks the porter, putting his head out of the wicket.	'Who is there?' asks the porter, putting his head out of the wicket.	true	302.81	306.85	23.013254
3513_163606_000035_000000	''Tis I, Drakestail.	''tis I, Drakestail.	true	306.98	308.415	28.91958
3513_163606_000035_000001	I wish to speak to the King.'	I wish to speak to the King.'	true	308.415	310.21	22.29991
3513_163606_000036_000000	'Speak to the King!...	'Speak to the King!...	true	310.28	311.8	25.100735
3513_163606_000036_000001	That's easily said.	That's easily said.	false	311.93	313.74	20.121622
3513_163606_000036_000002	The King is dining, and will not be disturbed.'	The King is dining, and will not be disturbed.'	true	313.74	316.81	25.47559
3513_163606_000037_000000	'Tell him that it is I, and I have come he well knows why.'	'Tell him that it is I, and I have come he well knows why.'	true	317.42	321.85	22.18974
3513_163606_000038_000000	The porter shuts his wicket and goes up to say it to the King, who was just sitting down to dinner with a napkin round his neck, and all his ministers.	The porter shuts his wicket and goes up to say it to the King, who was just sitting down to dinner with a napkin round his neck, and all his ministers.	false	322.64	331.12	20
3513_163606_000039_000000	'Good, good!' said the King laughing.	'Good, good!' said the King laughing.	false	332.66	335.17	25.510386
3513_163606_000039_000001	'I know what it is!	'I know what it is!	true	335.33	336.735	18.303625
3513_163606_000039_000002	Make him come in, and put him with the turkeys and chickens.'	Make him come in, and put him with the turkeys and chickens.'	true	336.735	340.18	26
3513_163606_000040_000000	The porter descends.	The porter descends.	true	340.52	341.86	22.602842
3513_163606_000041_000000	'Have the goodness to enter.'	'Have the goodness to enter.'	true	342.11	343.69	23
3513_163606_000042_000000	'Good!' says Drakestail to himself, 'I shall now see how they eat at court.'	'Good!' says Drakestail to himself, 'I shall now see how they eat at court.'	true	344.21	349.36	24.339546
3513_163606_000043_000000	'This way, this way,' says the porter.	'This way, this way,' says the porter.	true	350.27	352.44	22.769241
3513_163606_000043_000001	'One step further....	'One step further....	true	352.44	353.655	29.170061
3513_163606_000043_000002	There, there you are.'	There, there you are.'	true	353.655	355.03	22.403645
3513_163606_000044_000000	'How? what?	'How? what?	true	355.46	356.625	26.417118
3513_163606_000044_000001	in the poultry yard?'	in the poultry yard?'	true	356.625	358.12	26.847141
3513_163606_000045_000000	Fancy how vexed Drakestail was!	Fancy how vexed Drakestail was!	true	358.7	361.23	21.682957
3513_163606_000046_000000	'Ah! so that's it,' says he.	'Ah! so that's it,' says he.	false	361.23	363.93	21.782894
3513_163606_000046_000001	'Wait!	'Wait!	true	363.93	364.425	26.675623
3513_163606_000046_000002	I will compel you to receive me. Quack, quack, quack, when shall I get my money back?' But turkeys and chickens are creatures who don't like people that are not as themselves. When they saw the new-comer and how he was made, and when they heard him crying too, they began to look black at him.	I will compel you to receive me. Quack, quack, quack, when shall I get my money back?' But turkeys and chickens are creatures who don't like people that are not as themselves. When they saw the new comer and how he was made, and when they heard him crying too, they began to look black at him.	false	364.425	380.86	22
3513_163606_000047_000000	'What is it?	'What is it?	true	381.17	381.75	26.319845
3513_163606_000047_000001	what does he want?'	what does he want?'	true	381.75	382.75	20.860018
3513_163606_000048_000000	Finally they rushed at him all together, to overwhelm him with pecks.	Finally they rushed at him all together, to overwhelm him with pecks.	false	383.09	387.07	19.976404
3513_163606_000049_000000	'I am lost!' said Drakestail to himself, when by good luck he remembers his comrade friend Fox, and he cries:	'I am lost!' said Drakestail to himself, when by good luck he remembers his comrade friend Fox, and he cries:	true	388.01	395.47	21.20953
3513_163606_000050_000000	'Reynard, Reynard, come out of your earth, Or Drakestail's life is of little worth.'	'Reynard, Reynard, come out of your earth, Or Drakestail's life is of little worth.'	true	395.63	400.6	22.091103
3513_163606_000051_000000	Then friend Fox, who was only waiting for these words, hastens out, throws himself on the wicked fowls, and quick!	Then friend Fox, who was only waiting for these words, hastens out, throws himself on the wicked fowls, and quick!	true	400.82	407.52	24.51751
3513_163606_000051_000001	quack! he tears them to pieces; so much so that at the end of five minutes there was not one left alive.	quack! he tears them to pieces; so much so that at the end of five minutes there was not one left alive.	true	407.52	414.315	25
3513_163606_000051_000002	And Drakestail, quite content, began to sing again, 'Quack, quack, quack, when shall I get my money back?'	And Drakestail, quite content, began to sing again, 'Quack, quack, quack, when shall I get my money back?'	false	414.315	420.7	24.893757
3513_163606_000052_000000	When the King who was still at table heard this refrain, and the poultry woman came to tell him what had been going on in the yard, he was terribly annoyed.	When the King who was still at table heard this refrain, and the poultry woman came to tell him what had been going on in the yard, he was terribly annoyed.	false	421.1	430.75	21
3513_163606_000053_000000	He ordered them to throw this tail of a drake into the well, to make an end of him.	He ordered them to throw this tail of a drake into the well, to make an end of him.	false	431	436.3	22
3513_163606_000054_000000	And it was done as he commanded.	And it was done as he commanded.	true	436.67	438.67	23.569859
3513_163606_000054_000001	Drakestail was in despair of getting himself out of such a deep hole, when he remembered his lady friend, the Ladder.	Drakestail was in despair of getting himself out of such a deep hole, when he remembered his lady friend, the Ladder.	false	438.68	445.36	24
3513_163606_000055_000000	'Ladder, Ladder, come out of thy hold, Or Drakestail's days will soon be told.'	'Ladder, Ladder, come out of thy hold, Or Drakestail's days will soon be told.'	true	445.61	450.91	23.027431
3513_163606_000056_000000	My friend Ladder, who was only waiting for these words, hastens out, leans her two arms on the edge of the well, then Drakestail climbs nimbly on her back, and hop! he is in the yard, where he begins to sing louder than ever.	My friend Ladder, who was only waiting for these words, hastens out, leans her two arms on the edge of the well, then Drakestail climbs nimbly on her back, and hop! he is in the yard, where he begins to sing louder than ever.	true	452	466.06	18
3513_163606_000057_000000	When the King, who was still at table and laughing at the good trick he had played his creditor, heard him again reclaiming his money, he became livid with rage.	When the King, who was still at table and laughing at the good trick he had played his creditor, heard him again reclaiming his money, he became livid with rage.	false	466.64	477.28	21.12243
3513_163606_000058_000000	He commanded that the furnace should be heated, and this tail of a drake thrown into it, because he must be a sorcerer.	He commanded that the furnace should be heated, and this tail of a drake thrown into it, because he must be a sorcerer.	false	478.37	485.44	21.90635
3513_163606_000059_000000	The furnace was soon hot, but this time Drakestail was not so afraid; he counted on his sweetheart, my friend River.	The furnace was soon hot, but this time Drakestail was not so afraid; he counted on his sweetheart, my friend River.	true	485.9	493.72	20.829649
3513_163606_000060_000000	'River, River, outward flow, Or to death Drakestail must go.'	'River, River, outward flow, Or to death Drakestail must go.'	true	493.94	498.46	23
3513_163606_000061_000000	My friend River hastens out, and errouf! throws herself into the furnace, which she floods, with all the people who had lighted it; after which she flowed growling into the hall of the palace to the height of more than four feet.	My friend River hastens out, and errouf! throws herself into the furnace, which she floods, with all the people who had lighted it; after which she flowed growling into the hall of the palace to the height of more than four feet.	false	499.22	514	21.462006
3513_163606_000062_000000	And Drakestail, quite content, begins to swim, singing deafeningly, 'Quack, quack, quack, when shall I get my money back?'	And Drakestail, quite content, begins to swim, singing deafeningly, 'Quack, quack, quack, when shall I get my money back?'	false	514.52	523.09	24.007349
3513_163606_000063_000000	The King was still at table, and thought himself quite sure of his game; but when he heard Drakestail singing again, and when they told him all that had passed, he became furious and got up from table brandishing his fists.	The King was still at table, and thought himself quite sure of his game; but when he heard Drakestail singing again, and when they told him all that had passed, he became furious and got up from table brandishing his fists.	false	524.45	538.18	20
3513_163606_000064_000000	'Bring him here, and I'll cut his throat! bring him here quick!' cried he.	'Bring him here, and I'll cut his throat! bring him here quick!' cried he.	true	538.34	543.01	22.21482
3513_163606_000065_000000	And quickly two footmen ran to fetch Drakestail.	And quickly two footmen ran to fetch Drakestail.	false	543.32	546.67	23.536026
3513_163606_000066_000000	'At last,' said the poor chap, going up the great stairs, 'they have decided to receive me.'	'At last,' said the poor chap, going up the great stairs, 'they have decided to receive me.'	false	547.04	552.82	24.267368
3513_163606_000067_000000	Imagine his terror when on entering he sees the King as red as a turkey cock, and all his ministers attending him standing sword in hand.	Imagine his terror when on entering he sees the King as red as a turkey cock, and all his ministers attending him standing sword in hand.	true	553.04	562.24	17
3513_163606_000067_000001	He thought this time it was all up with him.	He thought this time it was all up with him.	true	562.43	565.42	25.910347
3513_163606_000067_000002	Happily, he remembered that there was still one remaining friend, and he cried with dying accents:	Happily, he remembered that there was still one remaining friend, and he cried with dying accents:	true	565.58	571.84	19
3513_163606_000068_000000	'Wasp's-nest, Wasp's-nest, make a sally, Or Drakestail nevermore may rally.'	'Wasp's nest, Wasp's nest, make a sally, Or Drakestail nevermore may rally.'	true	572	577.69	18
3513_163606_000069_000000	Hereupon the scene changes.	Hereupon the scene changes.	true	579.05	581.04	17
3513_163606_000070_000000	'Bs, bs, bayonet them!	'b's, b s, bayonet them!	false	581.04	583.26	22.423164
3513_163606_000070_000001	'The brave Wasp's-nest rushes out with all his wasps.	'The brave Wasp's nest rushes out with all his wasps.	true	583.26	587.19	23.731192
3513_163606_000070_000002	They threw themselves on the infuriated King and his ministers, and stung them so fiercely in the face that they lost their heads, and not knowing where to hide themselves they all jumped pell-mell from the window and broke their necks on the pavement.	They threw themselves on the infuriated King and his ministers, and stung them so fiercely in the face that they lost their heads, and not knowing where to hide themselves they all jumped pell mell from the window and broke their necks on the pavement.	true	587.19	600.85	19
3513_163606_000071_000000	Behold Drakestail much astonished, all alone in the big saloon and master of the field.	Behold Drakestail much astonished, all alone in the big saloon and master of the field.	true	601.46	607.995	21.482494
3513_163606_000071_000001	He could not get over it.	He could not get over it.	true	607.995	609.7	24.343159
3513_163606_000072_000000	Nevertheless, he remembered shortly what he had come for to the palace, and improving the occasion, he set to work to hunt for his dear money. But in vain he rummaged in all the drawers; he found nothing; all had been spent.	Nevertheless, he remembered shortly what he had come for to the palace, and improving the occasion, he set to work to hunt for his dear money. But in vain he rummaged in all the drawers; he found nothing; all had been spent.	true	610.13	624.13	22.899796
3513_163606_000073_000000	And ferreting thus from room to room he came at last to the one with the throne in it, and feeling fatigued, he sat himself down on it to think over his adventure.	And ferreting thus from room to room he came at last to the one with the throne in it, and feeling fatigued, he sat himself down on it to think over his adventure.	false	625.49	634.5	19.832636
3513_163606_000073_000001	In the meanwhile the people had found their King and his ministers with their feet in the air on the pavement, and they had gone into the palace to know how it had occurred.	In the meanwhile the people had found their King and his ministers with their feet in the air on the pavement, and they had gone into the palace to know how it had occurred.	false	634.5	642.96	21
3513_163606_000073_000002	On entering the throne-room, when the crowd saw that there was already someone on the royal seat, they broke out in cries of surprise and joy:	On entering the throne room, when the crowd saw that there was already someone on the royal seat, they broke out in cries of surprise and joy:	false	642.96	650.295	22.46778
3513_163606_000074_000000	'The King is dead, long live the King! Heaven has sent us down this thing.'	'The King is dead, long live the King! Heaven has sent us down this thing.'	true	650.295	655.15	23.485865
3513_163606_000075_000000	Drakestail, who was no longer surprised at anything, received the acclamations of the people as if he had never done anything else all his life.	Drakestail, who was no longer surprised at anything, received the acclamations of the people as if he had never done anything else all his life.	true	655.58	664.27	23.938877
3513_163606_000076_000000	A few of them certainly murmured that a Drakestail would make a fine King; those who knew him replied that a knowing Drakestail was a more worthy King than a spendthrift like him who was lying on the pavement. In short, they ran and took the crown off the head of the deceased, and placed it on that of Drakestail, whom it fitted like wax.	A few of them certainly murmured that a Drakestail would make a fine King; those who knew him replied that a knowing Drakestail was a more worthy King than a spendthrift like him who was lying on the pavement. In short, they ran and took the crown off the head of the deceased, and placed it on that of Drakestail, whom it fitted like wax.	false	664.64	685.18	22.057472
3513_163606_000077_000000	Thus he became King.	Thus he became King.	true	685.55	687.37	21.06399
3513_163606_000078_000000	'And now,' said he after the ceremony, 'ladies and gentlemen, let's go to supper.	'And now,' said he after the ceremony, 'ladies and gentlemen, let's go to supper.	true	687.53	692.49	22.02876
3513_163606_000078_000001	I am so hungry!'(15)	I am so hungry!'(fifteen)	false	692.49	694.56	20.081781
3513_163606_000079_000000	(15) Contes of Ch.	(fifteen) Contes of c h.	false	694.56	696.06	-20
3513_163606_000079_000001	Marelles.	Marelles.	false	696.06	696.36	-20
3513_163606_000080_000000	THE RATCATCHER	THE RATCATCHER	false	696.36	696.96	14
3513_163606_000081_000000	A VERY long time ago the town of Hamel in Germany was invaded by bands of rats, the like of which had never been seen before nor will ever be again.	A VERY long time ago the town of Hamel in Germany was invaded by bands of rats, the like of which had never been seen before nor will ever be again.	false	696.96	702.24	15.646298
3513_163606_000082_000000	They were great black creatures that ran boldly in broad daylight through the streets, and swarmed so, all over the houses, that people at last could not put their hand or foot down anywhere without touching one.	They were great black creatures that ran boldly in broad daylight through the streets, and swarmed so, all over the houses, that people at last could not put their hand or foot down anywhere without touching one.	false	702.24	703.68	15
3513_163606_000082_000001	When dressing in the morning they found them in their breeches and petticoats, in their pockets and in their boots; and when they wanted a morsel to eat, the voracious horde had swept away everything from cellar to garret.	When dressing in the morning they found them in their breeches and petticoats, in their pockets and in their boots; and when they wanted a morsel to eat, the voracious horde had swept away everything from cellar to garret.	false	703.68	707.19	15
3513_163606_000082_000002	The night was even worse.	The night was even worse.	false	707.19	707.64	14
3513_163606_000082_000003	As soon as the lights were out, these untiring nibblers set to work.	As soon as the lights were out, these untiring nibblers set to work.	false	707.64	708.81	18.02719
3513_163606_000082_000004	And everywhere, in the ceilings, in the floors, in the cupboards, at the doors, there was a chase and a rummage, and so furious a noise of gimlets, pincers, and saws, that a deaf man could not have rested for one hour together.	And everywhere, in the ceilings, in the floors, in the cupboards, at the doors, there was a chase and a rummage, and so furious a noise of gimlets, pincers, and saws, that a deaf man could not have rested for one hour together.	false	708.81	712.68	-20
