5290_39475_000000_000000	LADY INTO FOX	LADY INTO FOX	true	2.43	3.75	15
5290_39475_000012_000001	A grown lady is changed straightway into a fox.	A grown lady is changed straightway into a fox.	true	158.48	162.82	21
5290_39475_000012_000002	There is no explaining that away by any natural philosophy.	There is no explaining that away by any natural philosophy.	true	163.25	167.17	20.909441
5290_39475_000012_000003	The materialism of our age will not help us here.	The materialism of our age will not help us here.	true	167.42	170.86	19
5290_39475_000012_000004	It is indeed a _miracle_; something from outside our world altogether; an event which we would willingly accept if we were to meet it invested with the authority of Divine Revelation in the scriptures, but which we are not prepared to encounter almost in our time, happening in Oxfordshire amongst our neighbours.	It is indeed a underscore miracle underscore; something from outside our world altogether; an event which we would willingly accept if we were to meet it invested with the authority of Divine revelation in the scriptures, but which we are not prepared to encounter almost in our time, happening in Oxfordshire amongst our neighbours.	false	171.29	193.06	23.318768
5290_39475_000013_000000	The only things which go any way towards an explanation of it are but guesswork, and I give them more because I would not conceal anything, than because I think they are of any worth.	The only things which go any way towards an explanation of it are but guesswork, and I give them more because I would not conceal anything, than because I think they are of any worth.	true	193.52	205.03	22.30623
5290_39475_000014_000000	Mrs. Tebrick's maiden name was certainly Fox, and it is possible that such a miracle happening before, the family may have gained their name as a _soubriquet_ on that account.	mrs Tebrick's maiden name was certainly Fox, and it is possible that such a miracle happening before, the family may have gained their name as a underscore soubriquet underscore on that account.	false	205.4	216.85	21.922466
5290_39475_000014_000001	They were an ancient family, and have had their seat at Tangley Hall time out of mind.	They were an ancient family, and have had their seat at Tangley Hall time out of mind.	true	217.22	222.93	22.357634
5290_39475_000014_000002	It is also true that there was a half-tame fox once upon a time chained up at Tangley Hall in the inner yard, and I have heard many speculative wiseacres in the public-houses turn that to great account--though they could not but admit that "there was never one there in Miss Silvia's time." At first I was inclined to think that Silvia Fox, having once hunted when she was a child of ten and having been blooded, might furnish more of an explanation.	It is also true that there was a half tame fox once upon a time chained up at Tangley Hall in the inner yard, and I have heard many speculative wiseacres in the public houses turn that to great account-though they could not but admit that "there was never one there in Miss Silvia's time." At first I was inclined to think that Silvia Fox, having once hunted when she was a child of ten and having been blooded, might furnish more of an explanation.	false	222.93	253.15	22.549067
5290_39475_000014_000003	It seems she took great fright or disgust at it, and vomited after it was done.	It seems she took great fright or disgust at it, and vomited after it was done.	true	253.67	259.66	22.885317
5290_39475_000014_000004	But now I do not see that it has much bearing on the miracle itself, even though we know that after that she always spoke of the "poor foxes" when a hunt was stirring and never rode to hounds till after her marriage when her husband persuaded her to it.	But now I do not see that it has much bearing on the miracle itself, even though we know that after that she always spoke of the "poor foxes" when a hunt was stirring and never rode to hounds till after her marriage when her husband persuaded her to it.	false	260.21	276.13	22.602648
5290_39475_000015_000000	She was married in the year 1879 to Mr. Richard Tebrick, after a short courtship, and went to live after their honeymoon at Rylands, near Stokoe, Oxon.	She was married in the year eighteen seventy nine to mr Richard Tebrick, after a short courtship, and went to live after their honeymoon at Rylands, near Stokoe, Oxon.	true	276.38	288.64	23.24376
5290_39475_000015_000001	One point indeed I have not been able to ascertain and that is how they first became acquainted.	One point indeed I have not been able to ascertain and that is how they first became acquainted.	true	289.28	295.51	23.9566
5290_39475_000015_000002	Tangley Hall is over thirty miles from Stokoe, and is extremely remote.	Tangley Hall is over thirty miles from Stokoe, and is extremely remote.	true	295.88	301.06	20.353186
5290_39475_000015_000003	Indeed to this day there is no proper road to it, which is all the more remarkable as it is the principal, and indeed the only, manor house for several miles round.	Indeed to this day there is no proper road to it, which is all the more remarkable as it is the principal, and indeed the only, manor house for several miles round.	true	301.37	312.825	22.636662
5290_39475_000016_000000	Whether it was from a chance meeting on the roads, or less romantic but more probable, by Mr. Tebrick becoming acquainted with her uncle, a minor canon at Oxford, and thence being invited by him to visit Tangley Hall, it is impossible to say.	Whether it was from a chance meeting on the roads, or less romantic but more probable, by mr Tebrick becoming acquainted with her uncle, a minor canon at Oxford, and thence being invited by him to visit Tangley Hall, it is impossible to say.	true	312.825	329.17	22.613028
5290_39475_000016_000001	But however they became acquainted the marriage was a very happy one.	But however they became acquainted the marriage was a very happy one.	true	329.75	333.97	21.9154
5290_39475_000016_000002	The bride was in her twenty-third year. She was small, with remarkably small hands and feet.	The bride was in her twenty third year. She was small, with remarkably small hands and feet.	true	334.4	341.05	23.643082
5290_39475_000016_000003	It is perhaps worth noting that there was nothing at all foxy or vixenish in her appearance. On the contrary, she was a more than ordinarily beautiful and agreeable woman.	It is perhaps worth noting that there was nothing at all foxy or vixenish in her appearance. On the contrary, she was a more than ordinarily beautiful and agreeable woman.	true	341.24	352.75	21.529581
5290_39475_000016_000004	Her eyes were of a clear hazel but exceptionally brilliant, her hair dark, with a shade of red in it, her skin brownish, with a few dark freckles and little moles.	Her eyes were of a clear hazel but exceptionally brilliant, her hair dark, with a shade of red in it, her skin brownish, with a few dark freckles and little moles.	true	352.88	365.68	21.2935
5290_39475_000016_000005	In manner she was reserved almost to shyness, but perfectly self-possessed, and perfectly well-bred.	In manner she was reserved almost to shyness, but perfectly self possessed, and perfectly well bred.	true	366.35	374.08	21.54229
5290_39475_000017_000000	She had been strictly brought up by a woman of excellent principles and considerable attainments, who died a year or so before the marriage.	She had been strictly brought up by a woman of excellent principles and considerable attainments, who died a year or so before the marriage.	true	374.75	383.26	23
5290_39475_000017_000001	And owing to the circumstance that her mother had been dead many years, and her father bedridden, and not altogether rational for a little while before his death, they had few visitors but her uncle.	And owing to the circumstance that her mother had been dead many years, and her father bedridden, and not altogether rational for a little while before his death, they had few visitors but her uncle.	true	383.66	396.49	22.34848
5290_39475_000017_000002	He often stopped with them a month or two at a stretch, particularly in winter, as he was fond of shooting snipe, which are plentiful in the valley there.	He often stopped with them a month or two at a stretch, particularly in winter, as he was fond of shooting snipe, which are plentiful in the valley there.	false	397.07	406.87	22.165577
5290_39475_000017_000003	That she did not grow up a country hoyden is to be explained by the strictness of her governess and the influence of her uncle.	That she did not grow up a country hoyden is to be explained by the strictness of her governess and the influence of her uncle.	true	407.42	414.58	21
5290_39475_000017_000004	But perhaps living in so wild a place gave her some disposition to wildness, even in spite of her religious upbringing.	But perhaps living in so wild a place gave her some disposition to wildness, even in spite of her religious upbringing.	true	415.07	423.28	23.84247
5290_39475_000017_000005	Her old nurse said: "Miss Silvia was always a little wild at heart," though if this was true it was never seen by anyone else except her husband.	Her old nurse said: "Miss Silvia was always a little wild at heart," though if this was true it was never seen by anyone else except her husband.	true	423.65	433.93	20.97974
5290_39475_000018_000000	On one of the first days of the year 1880, in the early afternoon, husband and wife went for a walk in the copse on the little hill above Rylands.	On one of the first days of the year eighteen eighty, in the early afternoon, husband and wife went for a walk in the copse on the little hill above Rylands.	true	434.42	444.79	21.888931
5290_39475_000018_000001	They were still at this time like lovers in their behaviour and were always together.	They were still at this time like lovers in their behaviour and were always together.	true	445.16	450.16	23.991047
5290_39475_000018_000002	While they were walking they heard the hounds and later the huntsman's horn in the distance.	While they were walking they heard the hounds and later the huntsman's horn in the distance.	true	450.71	456.28	24.505066
5290_39475_000018_000003	Mr. Tebrick had persuaded her to hunt on Boxing Day, but with great difficulty, and she had not enjoyed it (though of hacking she was fond enough).	mr Tebrick had persuaded her to hunt on Boxing Day, but with great difficulty, and she had not enjoyed it (though of hacking she was fond enough).	true	456.53	466.06	23.667608
5290_39475_000019_000000	Hearing the hunt, Mr. Tebrick quickened his pace so as to reach the edge of the copse, where they might get a good view of the hounds if they came that way.	Hearing the hunt, mr Tebrick quickened his pace so as to reach the edge of the copse, where they might get a good view of the hounds if they came that way.	true	466.73	475.6	22.016388
5290_39475_000019_000001	His wife hung back, and he, holding her hand, began almost to drag her.	His wife hung back, and he, holding her hand, began almost to drag her.	true	475.73	481.24	22.141674
5290_39475_000019_000002	Before they gained the edge of the copse she suddenly snatched her hand away from his very violently and cried out, so that he instantly turned his head.	Before they gained the edge of the copse she suddenly snatched her hand away from his very violently and cried out, so that he instantly turned his head.	true	481.61	490.62	22.720768
5290_39475_000020_000000	_Where his wife had been the moment before was a small fox, of a very bright red._ It looked at him very beseechingly, advanced towards him a pace or two, and he saw at once that his wife was looking at him from the animal's eyes.	underscore Where his wife had been the moment before was a small fox, of a very bright red.underscore It looked at him very beseechingly, advanced towards him a pace or two, and he saw at once that his wife was looking at him from the animal's eyes.	false	490.62	507.28	22.275284
5290_39475_000020_000001	You may well think if he were aghast: and so maybe was his lady at finding herself in that shape, so they did nothing for nearly half-an-hour but stare at each other, he bewildered, she asking him with her eyes as if indeed she spoke to him: "What am I now become? Have pity on me, husband, have pity on me for I am your wife."	You may well think if he were aghast: and so maybe was his lady at finding herself in that shape, so they did nothing for nearly half an hour but stare at each other, he bewildered, she asking him with her eyes as if indeed she spoke to him: "What am I now become? Have pity on me, husband, have pity on me for I am your wife."	true	507.8	531.1	21.588354
5290_39475_000021_000000	So that with his gazing on her and knowing her well, even in such a shape, yet asking himself at every moment: "Can it be she?	So that with his gazing on her and knowing her well, even in such a shape, yet asking himself at every moment: "Can it be she?	true	531.68	540.73	21.392708
5290_39475_000021_000001	Am I not dreaming?" and her beseeching and lastly fawning on him and seeming to tell him that it was she indeed, they came at last together and he took her in his arms.	Am I not dreaming?" and her beseeching and lastly fawning on him and seeming to tell him that it was she indeed, they came at last together and he took her in his arms.	true	540.77	552.49	22.377834
5290_39475_000021_000002	She lay very close to him, nestling under his coat and fell to licking his face, but never taking her eyes from his.	She lay very close to him, nestling under his coat and fell to licking his face, but never taking her eyes from his.	true	552.62	560.92	21.132605
5290_39475_000021_000003	The husband all this while kept turning the thing in his head and gazing on her, but he could make no sense of what had happened, but only comforted himself with the hope that this was but a momentary change, and that presently she would turn back again into the wife that was one flesh with him.	The husband all this while kept turning the thing in his head and gazing on her, but he could make no sense of what had happened, but only comforted himself with the hope that this was but a momentary change, and that presently she would turn back again into the wife that was one flesh with him.	false	561.47	580.06	22.737352
5290_39475_000022_000000	One fancy that came to him, because he was so much more like a lover than a husband, was that it was his fault, and this because if anything dreadful happened he could never blame her but himself for it.	One fancy that came to him, because he was so much more like a lover than a husband, was that it was his fault, and this because if anything dreadful happened he could never blame her but himself for it.	false	580.91	587.58	21.356766
5290_39475_000023_000000	So they passed a good while, till at last the tears welled up in the poor fox's eyes and she began weeping (but quite in silence), and she trembled too as if she were in a fever.	So they passed a good while, till at last the tears welled up in the poor fox's eyes and she began weeping (but quite in silence), and she trembled too as if she were in a fever.	true	587.58	599.74	22.390186
5290_39475_000023_000001	At this he could not contain his own tears, but sat down on the ground and sobbed for a great while, but between his sobs kissing her quite as if she had been a woman, and not caring in his grief that he was kissing a fox on the muzzle.	At this he could not contain his own tears, but sat down on the ground and sobbed for a great while, but between his sobs kissing her quite as if she had been a woman, and not caring in his grief that he was kissing a fox on the muzzle.	true	600.32	616.12	23.114033
5290_39475_000024_000000	They sat thus till it was getting near dusk, when he recollected himself, and the next thing was that he must somehow hide her, and then bring her home.	They sat thus till it was getting near dusk, when he recollected himself, and the next thing was that he must somehow hide her, and then bring her home.	true	616.88	626.11	22.627302
5290_39475_000025_000000	He waited till it was quite dark that he might the better bring her into her own house without being seen, and buttoned her inside his topcoat, nay, even in his passion tearing open his waistcoat and his shirt that she might lie the closer to his heart.	He waited till it was quite dark that he might the better bring her into her own house without being seen, and buttoned her inside his topcoat, nay, even in his passion tearing open his waistcoat and his shirt that she might lie the closer to his heart.	true	626.69	641.98	22
5290_39475_000025_000001	For when we are overcome with the greatest sorrow we act not like men or women but like children whose comfort in all their troubles is to press themselves against their mother's breast, or if she be not there to hold each other tight in one another's arms.	For when we are overcome with the greatest sorrow we act not like men or women but like children whose comfort in all their troubles is to press themselves against their mother's breast, or if she be not there to hold each other tight in one another's arms.	true	642.41	657.73	21.986427
5290_39475_000026_000000	When it was dark he brought her in with infinite precautions, yet not without the dogs scenting her after which nothing could moderate their clamour.	When it was dark he brought her in with infinite precautions, yet not without the dogs scenting her after which nothing could moderate their clamour.	false	658.31	666.52	23.038952
5290_39475_000027_000000	Having got her into the house, the next thing he thought of was to hide her from the servants.	Having got her into the house, the next thing he thought of was to hide her from the servants.	true	666.92	672.22	21.431662
5290_39475_000027_000001	He carried her to the bedroom in his arms and then went downstairs again.	He carried her to the bedroom in his arms and then went downstairs again.	true	672.74	677.11	21.345198
5290_39475_000028_000000	Mr. Tebrick had three servants living in the house, the cook, the parlour-maid, and an old woman who had been his wife's nurse.	mr Tebrick had three servants living in the house, the cook, the parlour maid, and an old woman who had been his wife's nurse.	true	677.54	685.9	21.376093
5290_39475_000028_000001	Besides these women there was a groom or a gardener (whichever you choose to call him), who was a single man and so lived out, lodging with a labouring family about half a mile away.	Besides these women there was a groom or a gardener (whichever you choose to call him), who was a single man and so lived out, lodging with a labouring family about half a mile away.	true	686.33	697.45	21
5290_39475_000029_000000	Mr. Tebrick going downstairs pitched upon the parlour-maid.	mr Tebrick going downstairs pitched upon the parlour maid.	true	698.09	702.04	21.1315
5290_39475_000030_000000	"Janet," says he, "Mrs. Tebrick and I have had some bad news, and Mrs. Tebrick was called away instantly to London and left this afternoon, and I am staying to-night to put our affairs in order.	"Janet," says he, "mrs Tebrick and I have had some bad news, and mrs Tebrick was called away instantly to London and left this afternoon, and I am staying to night to put our affairs in order.	true	702.08	715.06	21.298395
5290_39475_000030_000001	We are shutting up the house, and I must give you and Mrs. Brant a month's wages and ask you to leave to-morrow morning at seven o'clock.	We are shutting up the house, and I must give you and mrs Brant a month's wages and ask you to leave to morrow morning at seven o'clock.	true	715.46	724.12	21.91418
5290_39475_000030_000002	We shall probably go away to the Continent, and I do not know when we shall come back.	We shall probably go away to the Continent, and I do not know when we shall come back.	true	724.25	729.22	24.462502
5290_39475_000030_000003	Please tell the others, and now get me my tea and bring it into my study on a tray." Janet said nothing for she was a shy girl, particularly before gentlemen, but when she entered the kitchen Mr. Tebrick heard a sudden burst of conversation with many exclamations from the cook.	Please tell the others, and now get me my tea and bring it into my study on a tray." Janet said nothing for she was a shy girl, particularly before gentlemen, but when she entered the kitchen mr Tebrick heard a sudden burst of conversation with many exclamations from the cook.	true	729.35	748.69	22.38107
5290_39475_000031_000000	When she came back with his tea, Mr. Tebrick said: "I shall not require you upstairs.	When she came back with his tea, mr Tebrick said: "I shall not require you upstairs.	true	748.97	755.2	22.89993
5290_39475_000031_000001	Pack your own things and tell James to have the waggonette ready for you by seven o'clock to-morrow morning to take you to the station.	Pack your own things and tell james to have the waggonette ready for you by seven o'clock to morrow morning to take you to the station.	false	755.24	762.37	22
5290_39475_000031_000002	I am busy now, but I will see you again before you go."	I am busy now, but I will see you again before you go."	true	762.62	766.24	23.417364
5290_39475_000032_000000	When she had gone Mr. Tebrick took the tray upstairs.	When she had gone mr Tebrick took the tray upstairs.	true	766.7	770.2	24.714735
5290_39475_000032_000001	For the first moment he thought the room was empty, and his vixen got away, for he could see no sign of her anywhere.	For the first moment he thought the room was empty, and his vixen got away, for he could see no sign of her anywhere.	true	770.6	777.85	22.450071
5290_39475_000032_000002	But after a moment he saw something stirring in a corner of the room, and then behold! she came forth dragging her dressing-gown, into which she had somehow struggled.	But after a moment he saw something stirring in a corner of the room, and then behold! she came forth dragging her dressing gown, into which she had somehow struggled.	true	778.28	789.22	21.302746
5290_39475_000033_000000	This must surely have been a comical sight, but poor Mr. Tebrick was altogether too distressed then or at any time afterwards to divert himself at such ludicrous scenes.	This must surely have been a comical sight, but poor mr Tebrick was altogether too distressed then or at any time afterwards to divert himself at such ludicrous scenes.	true	789.62	801.13	21.977303
5290_39475_000033_000001	He only called to her softly:	He only called to her softly:	true	801.56	803.77	21.907173
5290_39475_000034_000000	"Silvia--Silvia.	"Silvia-Silvia.	true	804.02	806.53	21.202782
5290_39475_000034_000001	What do you do there?" And then in a moment saw for himself what she would be at, and began once more to blame himself heartily--because he had not guessed that his wife would not like to go naked, notwithstanding the shape she was in.	What do you do there?" And then in a moment saw for himself what she would be at, and began once more to blame himself heartily-because he had not guessed that his wife would not like to go naked, notwithstanding the shape she was in.	true	806.69	823.18	22.225792
5290_39475_000034_000002	Nothing would satisfy him then till he had clothed her suitably, bringing her dresses from the wardrobe for her to choose.	Nothing would satisfy him then till he had clothed her suitably, bringing her dresses from the wardrobe for her to choose.	true	823.7	831.22	21.19881
5290_39475_000034_000003	But as might have been expected, they were too big for her now, but at last he picked out a little dressing-jacket that she was fond of wearing sometimes in the mornings.	But as might have been expected, they were too big for her now, but at last he picked out a little dressing jacket that she was fond of wearing sometimes in the mornings.	true	831.32	841.06	24.302341
5290_39475_000034_000004	It was made of a flowered silk, trimmed with lace, and the sleeves short enough to sit very well on her now.	It was made of a flowered silk, trimmed with lace, and the sleeves short enough to sit very well on her now.	true	841.55	849.22	21.252266
5290_39475_000034_000005	While he tied the ribands his poor lady thanked him with gentle looks and not without some modesty and confusion.	While he tied the ribands his poor lady thanked him with gentle looks and not without some modesty and confusion.	true	849.26	856.42	23.841028
5290_39475_000034_000006	He propped her up in an armchair with some cushions, and they took tea together, she very delicately drinking from a saucer and taking bread and butter from his hands.	He propped her up in an armchair with some cushions, and they took tea together, she very delicately drinking from a saucer and taking bread and butter from his hands.	true	856.91	866.685	24.192778
5290_39475_000034_000007	All this showed him, or so he thought, that his wife was still herself; there was so little wildness in her demeanour and so much delicacy and decency, especially in her not wishing to run naked, that he was very much comforted, and began to fancy they could be happy enough if they could escape the world and live always alone.	All this showed him, or so he thought, that his wife was still herself; there was so little wildness in her demeanour and so much delicacy and decency, especially in her not wishing to run naked, that he was very much comforted, and began to fancy they could be happy enough if they could escape the world and live always alone.	true	866.685	888.13	22.888134
5290_39475_000035_000000	From this too sanguine dream he was aroused by hearing the gardener speaking to the dogs, trying to quiet them, for ever since he had come in with his vixen they had been whining, barking and growling, and all as he knew because there was a fox within doors and they would kill it.	From this too sanguine dream he was aroused by hearing the gardener speaking to the dogs, trying to quiet them, for ever since he had come in with his vixen they had been whining, barking and growling, and all as he knew because there was a fox within doors and they would kill it.	true	888.41	905.68	20.752102
5290_39475_000036_000000	He started up now, calling to the gardener that he would come down to the dogs himself to quiet them, and bade the man go indoors again and leave it to him.	He started up now, calling to the gardener that he would come down to the dogs himself to quiet them, and bade the man go indoors again and leave it to him.	true	906.02	915.28	23.835737
5290_39475_000036_000001	All this he said in a dry, compelling kind of voice which made the fellow do as he was bid, though it was against his will, for he was curious.	All this he said in a dry, compelling kind of voice which made the fellow do as he was bid, though it was against his will, for he was curious.	true	915.38	925.03	22.659634
5290_39475_000036_000002	Mr. Tebrick went downstairs, and taking his gun from the rack loaded it and went out into the yard.	mr Tebrick went downstairs, and taking his gun from the rack loaded it and went out into the yard.	true	925.28	932.38	21.908192
5290_39475_000036_000003	Now there were two dogs, one a handsome Irish setter that was his wife's dog (she had brought it with her from Tangley Hall on her marriage); the other was an old fox terrier called Nelly that he had had ten years or more.	Now there were two dogs, one a handsome Irish setter that was his wife's dog (she had brought it with her from Tangley Hall on her marriage); the other was an old fox terrier called Nelly that he had had ten years or more.	true	932.96	947.8	21.81977
5290_39475_000037_000000	When he came out into the yard both dogs saluted him by barking and whining twice as much as they did before, the setter jumping up and down at the end of his chain in a frenzy, and Nelly shivering, wagging her tail, and looking first at her master and then at the house door, where she could smell the fox right enough.	When he came out into the yard both dogs saluted him by barking and whining twice as much as they did before, the setter jumping up and down at the end of his chain in a frenzy, and Nelly shivering, wagging her tail, and looking first at her master and then at the house door, where she could smell the fox right enough.	true	948.5	967.93	23.42579
5290_39475_000038_000000	There was a bright moon, so that Mr. Tebrick could see the dogs as clearly as could be.	There was a bright moon, so that mr Tebrick could see the dogs as clearly as could be.	true	969.08	974.35	23
5290_39475_000038_000001	First he shot his wife's setter dead, and then looked about him for Nelly to give her the other barrel, but he could see her nowhere.	First he shot his wife's setter dead, and then looked about him for Nelly to give her the other barrel, but he could see her nowhere.	true	974.87	983.89	22.809923
5290_39475_000038_000002	The bitch was clean gone, till, looking to see how she had broken her chain, he found her lying hid in the back of her kennel. But that trick did not save her, for Mr. Tebrick, after trying to pull her out by her chain and finding it useless--she would not come,--thrust the muzzle of his gun into the kennel, pressed it into her body and so shot her.	The bitch was clean gone, till, looking to see how she had broken her chain, he found her lying hid in the back of her kennel. But that trick did not save her, for mr Tebrick, after trying to pull her out by her chain and finding it useless-she would not come,--thrust the muzzle of his gun into the kennel, pressed it into her body and so shot her.	true	984.14	1006.42	23.63371
5290_39475_000038_000003	Afterwards, striking a match, he looked in at her to make certain she was dead.	Afterwards, striking a match, he looked in at her to make certain she was dead.	false	1007.42	1012.3	22.205488
5290_39475_000038_000004	Then, leaving the dogs as they were, chained up, Mr. Tebrick went indoors again and found the gardener, who had not yet gone home, gave him a month's wages in lieu of notice and told him he had a job for him yet--to bury the two dogs and that he should do it that same night.	Then, leaving the dogs as they were, chained up, mr Tebrick went indoors again and found the gardener, who had not yet gone home, gave him a month's wages in lieu of notice and told him he had a job for him yet-to bury the two dogs and that he should do it that same night.	true	1012.73	1029.79	23.036983
5290_39475_000039_000000	But by all this going on with so much strangeness and authority on his part, as it seemed to them, the servants were much troubled.	But by all this going on with so much strangeness and authority on his part, as it seemed to them, the servants were much troubled.	true	1030.25	1038.61	21.541037
5290_39475_000039_000001	Hearing the shots while he was out in the yard his wife's old nurse, or Nanny, ran up to the bedroom though she had no business there, and so opening the door saw the poor fox dressed in my lady's little jacket lying back in the cushions, and in such a reverie of woe that she heard nothing.	Hearing the shots while he was out in the yard his wife's old nurse, or Nanny, ran up to the bedroom though she had no business there, and so opening the door saw the poor fox dressed in my lady's little jacket lying back in the cushions, and in such a reverie of woe that she heard nothing.	false	1038.98	1057.12	22.512472
5290_39475_000040_000000	Old Nanny, though she was not expecting to find her mistress there, having been told that she was gone that afternoon to London, knew her instantly, and cried out:	Old Nanny, though she was not expecting to find her mistress there, having been told that she was gone that afternoon to London, knew her instantly, and cried out:	true	1057.52	1067.89	22.790556
5290_39475_000041_000000	"Oh, my poor precious!	"Oh, my poor precious!	true	1068.26	1070.35	23.143988
5290_39475_000041_000001	Oh, poor Miss Silvia!	Oh, poor Miss Silvia!	true	1070.39	1072.45	19.467665
5290_39475_000041_000002	What dreadful change is this?"	What dreadful change is this?"	true	1072.49	1074.85	21.862265
5290_39475_000041_000003	Then, seeing her mistress start and look at her, she cried out: "But never fear, my darling, it will all come right, your old Nanny knows you, it will all come right in the end."	Then, seeing her mistress start and look at her, she cried out: "But never fear, my darling, it will all come right, your old Nanny knows you, it will all come right in the end."	true	1075.34	1087	22.827038
5290_39475_000042_000000	But though she said this she did not care to look again, and kept her eyes turned away so as not to meet the foxy slit ones of her mistress, for that was too much for her.	But though she said this she did not care to look again, and kept her eyes turned away so as not to meet the foxy slit ones of her mistress, for that was too much for her.	true	1087.58	1098.97	21.857477
5290_39475_000042_000001	So she hurried out soon, fearing to be found there by Mr. Tebrick, and who knows, perhaps shot, like the dogs, for knowing the secret.	So she hurried out soon, fearing to be found there by mr Tebrick, and who knows, perhaps shot, like the dogs, for knowing the secret.	true	1099.43	1108.75	22.609825
5290_39475_000043_000000	Mr. Tebrick had all this time gone about paying off his servants and shooting his dogs as if he were in a dream.	mr Tebrick had all this time gone about paying off his servants and shooting his dogs as if he were in a dream.	true	1109.42	1116.7	22.701536
5290_39475_000043_000001	Now he fortified himself with two or three glasses of strong whisky and went to bed, taking his vixen into his arms, where he slept soundly.	Now he fortified himself with two or three glasses of strong whisky and went to bed, taking his vixen into his arms, where he slept soundly.	true	1117.07	1127.07	20.674171
5290_39475_000043_000002	Whether she did or not is more than I or anybody else can say.	Whether she did or not is more than I or anybody else can say.	false	1127.07	1144.14	21.16572
