4434_73958_000008_000000	CHAPTER VII	CHAPTER seven
4434_73958_000015_000001	I trained one to go up a rather upright green Holly about twenty-five feet high, and now it has rushed up and tumbles out at the top and sides in masses of its pretty bloom.	I trained one to go up a rather upright green Holly about twenty five feet high, and now it has rushed up and tumbles out at the top and sides in masses of its pretty bloom.
4434_73958_000015_000002	It is just as good grown as a "fountain," giving it a free space where it can spread at will with no training or support whatever.	It is just as good grown as a "fountain," giving it a free space where it can spread at will with no training or support whatever.
4434_73958_000015_000003	These two ways I think are much the best for growing the free, rambling Roses.	These two ways I think are much the best for growing the free, rambling Roses.
4434_73958_000015_000005	The Garland Rose, another old sort, is just as suitable for this kind of growth as Dundee Rambler, and the individual flowers, of a tender blush-colour, changing to white, are even more delicate and pretty.	The Garland Rose, another old sort, is just as suitable for this kind of growth as Dundee Rambler, and the individual flowers, of a tender blush colour, changing to white, are even more delicate and pretty.
4434_73958_000016_000000	The newer Crimson Rambler is a noble plant for the same use, in sunlight gorgeous of bloom, and always brilliant with its glossy bright-green foliage.	The newer Crimson Rambler is a noble plant for the same use, in sunlight gorgeous of bloom, and always brilliant with its glossy bright green foliage.
4434_73958_000016_000001	Of the many good plants from Japan, this is the best that has reached us of late years.	Of the many good plants from Japan, this is the best that has reached us of late years.
4434_73958_000016_000004	One of the bushes in this garden covers a space thirty-four feet across--more than a hundred feet round.	One of the bushes in this garden covers a space thirty four feet across-more than a hundred feet round.
4434_73958_000016_000006	Directly the flower is over it throws up rods of young growth eighteen to twenty feet long; as they mature they arch over, and next year their many short lateral shoots will be smothered with bloom.	Directly the flower is over it throws up rods of young growth eighteen to twenty feet long; as they mature they arch over, and next year their many short lateral shoots will be smothered with bloom.
4434_73958_000017_000001	I have them on an east fence, where they yield a large quantity of bloom for cutting; indeed, they have been so useful in this way that I have planted several more, but this time for training down to an oak trellis, like the one that supports the row of Bouquet d'Or, in order to bring the flowers within easier reach.	I have them on an east fence, where they yield a large quantity of bloom for cutting; indeed, they have been so useful in this way that I have planted several more, but this time for training down to an oak trellis, like the one that supports the row of Bouquet d'Or, in order to bring the flowers within easier reach.
4434_73958_000018_000001	The wild plant is widely distributed in England, though somewhat local. It grows on moors in Scotland, and on Beachy Head in Sussex, and near Tenby in South Wales, favouring wild places within smell of the sea.	The wild plant is widely distributed in England, though somewhat local. It grows on moors in Scotland, and on Beachy Head in Sussex, and near Tenby in South Wales, favouring wild places within smell of the sea.
4434_73958_000018_000002	The rather dusky foliage sets off the lemon-white of the wild, and the clear white, pink, rose, and pale yellow of the double garden kinds.	The rather dusky foliage sets off the lemon white of the wild, and the clear white, pink, rose, and pale yellow of the double garden kinds.
4434_73958_000018_000003	The hips are large and handsome, black and glossy, and the whole plant in late autumn assumes a fine bronzy colouring between ashy black and dusky red. Other small old garden Roses are coming into bloom.	The hips are large and handsome, black and glossy, and the whole plant in late autumn assumes a fine bronzy colouring between ashy black and dusky red. Other small old garden Roses are coming into bloom.
4434_73958_000018_000005	The leaves turn a brilliant yellow in autumn, and after they have fallen the bushes are still bright with the coloured stems and the large clusters of bright-red hips.	The leaves turn a brilliant yellow in autumn, and after they have fallen the bushes are still bright with the coloured stems and the large clusters of bright red hips.
4434_73958_000018_000006	It is the St. Mark's Rose of Venice, where it is usually in flower on St. Mark's Day, April 25th.	It is the saint Mark's Rose of Venice, where it is usually in flower on saint Mark's Day, april twenty fifth.
4434_73958_000020_000000	After many years of fruitless effort I have to allow that I am beaten in the attempt to grow the Grand Roses in the Hybrid Perpetual class.	After many years of fruitless effort I have to allow that I am beaten in the attempt to grow the Grand Roses in the Hybrid Perpetual class.
4434_73958_000020_000001	They plainly show their dislike to our dry hill, even when their beds are as well enriched as I can contrive or afford to make them.	They plainly show their dislike to our dry hill, even when their beds are as well enriched as I can contrive or afford to make them.
4434_73958_000021_000000	But the Tea Roses are more accommodating, and do fairly well, though, of course, not so well as in a stiffer soil.	But the Tea Roses are more accommodating, and do fairly well, though, of course, not so well as in a stiffer soil.
4434_73958_000021_000001	If I were planting again I should grow a still larger proportion of the kinds I have now found to do best.	If I were planting again I should grow a still larger proportion of the kinds I have now found to do best.
4434_73958_000021_000002	Far beyond all others is Madame Lambard, good alike early and late, and beautiful at all times.	Far beyond all others is Madame Lambard, good alike early and late, and beautiful at all times.
4434_73958_000021_000003	In this garden it yields quite three times as much bloom as any other; nothing else can approach it either for beauty or bounty.	In this garden it yields quite three times as much bloom as any other; nothing else can approach it either for beauty or bounty.
4434_73958_000021_000006	It is well to remember that the tying or pegging down of Roses always makes them bloom better: every joint from end to end wants to make a good Rose; if the shoots are more upright, the blooming strength goes more to the top.	It is well to remember that the tying or pegging down of Roses always makes them bloom better: every joint from end to end wants to make a good Rose; if the shoots are more upright, the blooming strength goes more to the top.
4434_73958_000022_000000	The pruning of Tea Roses is quite different from the pruning required for the Hybrid Perpetuals.	The pruning of Tea Roses is quite different from the pruning required for the Hybrid Perpetuals.
4434_73958_000022_000001	In these the last year's growth is cut back in March to within two to five eyes from where it leaves the main branch, according to the strength of the kind.	In these the last year's growth is cut back in March to within two to five eyes from where it leaves the main branch, according to the strength of the kind.
4434_73958_000022_000002	This must not be done with the Teas.	This must not be done with the Teas.
4434_73958_000022_000003	With these the oldest wood is cut right out from the base, and the blooming shoots left full length.	With these the oldest wood is cut right out from the base, and the blooming shoots left full length.
4434_73958_000022_000004	But it is well, towards the end of July or beginning of August, to cut back the ends of soft summer shoots in order to give them a chance of ripening what is left. When an old Tea looks worn out, if cut right down in March or April it will often throw out vigorous young growth, and quite renew its life.	But it is well, towards the end of July or beginning of August, to cut back the ends of soft summer shoots in order to give them a chance of ripening what is left. When an old Tea looks worn out, if cut right down in March or April it will often throw out vigorous young growth, and quite renew its life.
4434_73958_000025_000000	Within the first days of June we can generally pick some Sweet Peas from the rows sown in the second week of September.	Within the first days of June we can generally pick some Sweet Peas from the rows sown in the second week of September.
4434_73958_000025_000001	They are very much stronger than those sown in spring.	They are very much stronger than those sown in spring.
4434_73958_000025_000002	By November they are four inches high, and seem to gain strength and sturdiness during the winter; for as soon as spring comes they shoot up with great vigour, and we know that the spray used to support them must be two feet higher than for those that are spring-sown.	By November they are four inches high, and seem to gain strength and sturdiness during the winter; for as soon as spring comes they shoot up with great vigour, and we know that the spray used to support them must be two feet higher than for those that are spring sown.
4434_73958_000025_000003	The flower-stalks are a foot long, and many have four flowers on a stalk.	The flower stalks are a foot long, and many have four flowers on a stalk.
4434_73958_000025_000005	A few doses of liquid manure are a great help when they are getting towards blooming strength.	A few doses of liquid manure are a great help when they are getting towards blooming strength.
4434_73958_000026_000000	I am very fond of the Elder-tree.	I am very fond of the Elder tree.
4434_73958_000026_000001	It is a sociable sort of thing; it seems to like to grow near human habitations.	It is a sociable sort of thing; it seems to like to grow near human habitations.
4434_73958_000026_000002	In my own mind it is certainly the tree most closely associated with the pretty old cottage and farm architecture of my part of the country; no bush or tree, not even the apple, seems to group so well or so closely with farm buildings.	In my own mind it is certainly the tree most closely associated with the pretty old cottage and farm architecture of my part of the country; no bush or tree, not even the apple, seems to group so well or so closely with farm buildings.
4434_73958_000026_000004	They look just right, and are, moreover, every year loaded with their useful fruit.	They look just right, and are, moreover, every year loaded with their useful fruit.
4434_73958_000026_000005	This is ripe quite early in September, and is made into Elder wine, to be drunk hot in winter, a comfort by no means to be despised.	This is ripe quite early in September, and is made into Elder wine, to be drunk hot in winter, a comfort by no means to be despised.
4434_73958_000027_000001	Now is the time to look out for the seeds.	Now is the time to look out for the seeds.
4434_73958_000027_000002	A few ripen on the plant, but most of them fall while green, and then ripen in a few days while lying on the ground.	A few ripen on the plant, but most of them fall while green, and then ripen in a few days while lying on the ground.
4434_73958_000027_000003	I shake the seeds carefully out, and leave them lying round the parent-plant; a week later, when they will be ripe, they are lightly scratched into the ground.	I shake the seeds carefully out, and leave them lying round the parent plant; a week later, when they will be ripe, they are lightly scratched into the ground.
4434_73958_000027_000004	Some young plants of last year's growth I mark with a bit of stick, in case of wanting some later to plant elsewhere, or to send away; the plant dies away completely, leaving no trace above ground, so that if not marked it would be difficult to find what is wanted.	Some young plants of last year's growth I mark with a bit of stick, in case of wanting some later to plant elsewhere, or to send away; the plant dies away completely, leaving no trace above ground, so that if not marked it would be difficult to find what is wanted.
4434_73958_000030_000002	Two-year-old plants come up with thick clumps of matted root that is now useless.	Two year old plants come up with thick clumps of matted root that is now useless.
4434_73958_000030_000003	I cut off the whole mass of old root about an inch below the crown, when it can easily be divided into nice little bits for replanting.	I cut off the whole mass of old root about an inch below the crown, when it can easily be divided into nice little bits for replanting.
4434_73958_000030_000004	Many other spring-flowering plants may with advantage be divided now, such as Aubrietia, Arabis, Auricula, Tiarella, and Saxifrage.	Many other spring flowering plants may with advantage be divided now, such as Aubrietia, Arabis, Auricula, Tiarella, and Saxifrage.
4434_73958_000031_000000	The young Primrose plants, sown in March, have been planted out in their special garden, and are looking well after some genial rain.	The young Primrose plants, sown in March, have been planted out in their special garden, and are looking well after some genial rain.
4434_73958_000032_000002	Both are seen at their best either quite early in the morning, or in the evening, or in half-shade, as, like all their kind, they do not expand their bloom in bright sunshine.	Both are seen at their best either quite early in the morning, or in the evening, or in half shade, as, like all their kind, they do not expand their bloom in bright sunshine.
4434_73958_000032_000003	Both are excellent plants on poor soils.	Both are excellent plants on poor soils.
4434_73958_000032_000005	It does well in any waste spaces of poor soil, where, by having plants of all ages, there will be some to flower every year.	It does well in any waste spaces of poor soil, where, by having plants of all ages, there will be some to flower every year.
4434_73958_000032_000006	The Mullein moth is sure to find them out, and it behoves the careful gardener to look for and destroy the caterpillars, or he may some day find, instead of his stately Mulleins, tall stems only clothed with unsightly grey rags.	The Mullein moth is sure to find them out, and it behoves the careful gardener to look for and destroy the caterpillars, or he may some day find, instead of his stately Mulleins, tall stems only clothed with unsightly grey rags.
4434_73958_000032_000007	The caterpillars are easily caught when quite small or when rather large; but midway in their growth, when three-quarters of an inch long, they are wary, and at the approach of the avenging gardener they will give a sudden wriggling jump, and roll down into the lower depths of the large foliage, where they are difficult to find.	The caterpillars are easily caught when quite small or when rather large; but midway in their growth, when three quarters of an inch long, they are wary, and at the approach of the avenging gardener they will give a sudden wriggling jump, and roll down into the lower depths of the large foliage, where they are difficult to find.
4434_73958_000032_000008	But by going round the plants twice a day for about a week they can all be discovered.	But by going round the plants twice a day for about a week they can all be discovered.
4434_73958_000034_000000	Towards the end of June the bracken that covers the greater part of the ground of the copse is in full beauty.	Towards the end of June the bracken that covers the greater part of the ground of the copse is in full beauty.
4434_73958_000034_000001	No other manner of undergrowth gives to woodland in so great a degree the true forest-like character. This most ancient plant speaks of the old, untouched land of which large stretches still remain in the south of England--land too poor to have been worth cultivating, and that has therefore for centuries endured human contempt.	No other manner of undergrowth gives to woodland in so great a degree the true forest like character. This most ancient plant speaks of the old, untouched land of which large stretches still remain in the south of England-land too poor to have been worth cultivating, and that has therefore for centuries endured human contempt.
4434_73958_000034_000002	In the early part of the present century, William Cobbett, in his delightful book, "Rural Rides," speaking of the heathy headlands and vast hollow of Hindhead, in Surrey, calls it "certainly the most villainous spot God ever made."	In the early part of the present century, William Cobbett, in his delightful book, "Rural Rides," speaking of the heathy headlands and vast hollow of Hindhead, in Surrey, calls it "certainly the most villainous spot God ever made."
4434_73958_000034_000003	This gives expression to his view, as farmer and political economist, of such places as were incapable of cultivation, and of the general feeling of the time about lonely roads in waste places, as the fields for the lawless labours of smuggler and highwayman.	This gives expression to his view, as farmer and political economist, of such places as were incapable of cultivation, and of the general feeling of the time about lonely roads in waste places, as the fields for the lawless labours of smuggler and highwayman.
4434_73958_000034_000004	Now such tracts of natural wild beauty, clothed with stretches of Heath and Fern and Whortleberry, with beds of Sphagnum Moss, and little natural wild gardens of curious and beautiful sub-aquatic plants in the marshy hollows and undrained wastes, are treasured as such places deserve to be, especially when they still remain within fifty miles of a vast city.	Now such tracts of natural wild beauty, clothed with stretches of Heath and Fern and Whortleberry, with beds of Sphagnum Moss, and little natural wild gardens of curious and beautiful sub aquatic plants in the marshy hollows and undrained wastes, are treasured as such places deserve to be, especially when they still remain within fifty miles of a vast city.
4434_73958_000034_000005	The height to which the bracken grows is a sure guide to the depth of soil.	The height to which the bracken grows is a sure guide to the depth of soil.
4434_73958_000034_000006	On the poorest, thinnest ground it only reaches a foot or two; but in hollow places where leaf-mould accumulates and surface soil has washed in and made a better depth, it grows from six feet to eight feet high, and when straggling up through bushes to get to the light a frond will sometimes measure as much as twelve feet.	On the poorest, thinnest ground it only reaches a foot or two; but in hollow places where leaf mould accumulates and surface soil has washed in and made a better depth, it grows from six feet to eight feet high, and when straggling up through bushes to get to the light a frond will sometimes measure as much as twelve feet.
