5386_8684_000000_000000	[From Sicilianische Mahrchen.]	[From Sicilianische Mahrchen.]	false	4.83	15.105	20.473753
5386_8684_000006_000001	He felt, if he was to be made to work after all, that he might as well have stayed where he was.	He felt, if he was to be made to work after all, that he might as well have stayed where he was.	false	81.86	86.11	20
5386_8684_000006_000002	But as he did not see any other way of getting a bed, he went slowly in.	But as he did not see any other way of getting a bed, he went slowly in.	true	86.51	90.04	16
5386_8684_000007_000000	The herdsman's two daughters and their mother were sitting at supper, and invited him to join them.	The herdsman's two daughters and their mother were sitting at supper, and invited him to join them.	true	90.62	95.05	21.827139
5386_8684_000007_000001	Nothing more was said about work, and when the meal was over they all went to bed.	Nothing more was said about work, and when the meal was over they all went to bed.	true	95.3	99.16	21.96473
5386_8684_000008_000000	In the morning, when the young man was dressed, the herdsman called to him and said:	In the morning, when the young man was dressed, the herdsman called to him and said:	true	99.83	103.51	20
5386_8684_000009_000000	'Now listen, and I will tell you what you have to do.'	'Now listen, and I will tell you what you have to do.'	true	103.91	106.39	23.0202
5386_8684_000010_000000	'What is it?' asked the youth, sulkily.	'What is it?' asked the youth, sulkily.	true	107	109.63	30.474466
5386_8684_000011_000000	'Nothing less than to look after two hundred pigs,' was the reply.	'Nothing less than to look after two hundred pigs,' was the reply.	true	110.39	114.01	21.870838
5386_8684_000012_000000	'Oh, I am used to that,' answered the youth.	'Oh, I am used to that,' answered the youth.	true	114.56	117.58	22.13325
5386_8684_000013_000000	'Yes; but this time you will have to do it properly,' said the herdsman; and he took the youth to the place where the pigs were feeding, and told him to drive them to the woods on the side of the mountain.	'Yes; but this time you will have to do it properly,' said the herdsman; and he took the youth to the place where the pigs were feeding, and told him to drive them to the woods on the side of the mountain.	false	117.62	126.61	20.00941
5386_8684_000013_000001	This the young man did, but as soon as they reached the outskirts of the mountain they grew quite wild, and would have run away altogether, had they not luckily gone towards a narrow ravine, from which the youth easily drove them home to his father's cottage.	This the young man did, but as soon as they reached the outskirts of the mountain they grew quite wild, and would have run away altogether, had they not luckily gone towards a narrow ravine, from which the youth easily drove them home to his father's cottage.	true	127.31	138.85	17
5386_8684_000014_000000	'Where do all these pigs come from, and how did you get them?' asked the old man in surprise, when his son knocked at the door of the hut he had left only the day before.	'Where do all these pigs come from, and how did you get them?' asked the old man in surprise, when his son knocked at the door of the hut he had left only the day before.	true	139.67	147.34	17.979273
5386_8684_000015_000000	'They belong to the king's chief herdsman,' answered his son.	'They belong to the king's chief herdsman,' answered his son.	true	148.01	150.79	20
5386_8684_000015_000001	'He gave them to me to look after, but I knew I could not do it, so I drove them straight to you.	'He gave them to me to look after, but I knew I could not do it, so I drove them straight to you.	true	150.98	155.08	21
5386_8684_000015_000002	Now make the best of your good fortune, and kill them and hang them up at once.'	Now make the best of your good fortune, and kill them and hang them up at once.'	true	155.27	158.68	19
5386_8684_000016_000000	'What are you talking about?' cried the father, pale with horror.	'What are you talking about?' cried the father, pale with horror.	true	159.26	162.52	22.011915
5386_8684_000016_000001	'We should certainly both be put to death if I did any such thing.'	'We should certainly both be put to death if I did any such thing.'	true	162.74	166.09	21.62621
5386_8684_000017_000000	'No, no; do as I tell you, and I will get out of it somehow,' replied the young man.	'No, no; do as I tell you, and I will get out of it somehow,' replied the young man.	true	166.7	170.41	20.211933
5386_8684_000017_000001	And in the end he had his way.	And in the end he had his way.	true	170.9	172.63	18
5386_8684_000017_000002	The pigs were killed, and laid side by side in a row.	The pigs were killed, and laid side by side in a row.	true	172.88	175.78	22.327948
5386_8684_000017_000003	Then he cut off the tails and tied them together with a piece of cord, and swinging the bundle over his back, he returned to the place where they should have been feeding.	Then he cut off the tails and tied them together with a piece of cord, and swinging the bundle over his back, he returned to the place where they should have been feeding.	true	176.09	183.31	17
5386_8684_000017_000004	Here there was a small swamp, which was just what he wanted, and finding a large stone, he fastened the rope to it, and sank it in the swamp, after which he arranged the tails carefully one by one, so that only their points were seen sticking out of the water.	Here there was a small swamp, which was just what he wanted, and finding a large stone, he fastened the rope to it, and sank it in the swamp, after which he arranged the tails carefully one by one, so that only their points were seen sticking out of the water.	false	184.01	197.14	21.294676
5386_8684_000017_000005	When everything was in order, he hastened home to his master with such a sorrowful face that the herdsman saw at once that something dreadful had happened.	When everything was in order, he hastened home to his master with such a sorrowful face that the herdsman saw at once that something dreadful had happened.	false	197.87	204.79	17
5386_8684_000018_000000	'Where are the pigs?' asked he.	'Where are the pigs?' asked he.	false	205.34	207.37	23.5374
5386_8684_000019_000000	'Oh, don't speak of them!' answered the young man; 'I really can hardly tell you.	'Oh, don't speak of them!' answered the young man; 'I really can hardly tell you.	true	207.83	212.41	24.474342
5386_8684_000019_000001	The moment they got into the field they became quite mad, and each ran in a different direction.	The moment they got into the field they became quite mad, and each ran in a different direction.	false	212.57	216.88	18.847214
5386_8684_000019_000002	I ran too, hither and thither, but as fast as I caught one, another was off, till I was in despair.	I ran too, hither and thither, but as fast as I caught one, another was off, till I was in despair.	true	217.19	222.52	16
5386_8684_000019_000003	At last, however, I collected them all and was about to drive them back, when suddenly they rushed down the hill into the swamp, where they vanished completely, leaving only the points of their tails, which you can see for yourself.'	At last, however, I collected them all and was about to drive them back, when suddenly they rushed down the hill into the swamp, where they vanished completely, leaving only the points of their tails, which you can see for yourself.'	true	223.28	234.13	20
5386_8684_000020_000000	'You have made up that story very well,' replied the herdsman.	'You have made up that story very well,' replied the herdsman.	true	235.01	237.97	15
5386_8684_000021_000000	'No, it is the real truth; come with me and I'll prove it.' And they went together to the spot, and there sure enough were the points of the tails sticking up out of the water.	'No, it is the real truth; come with me and I'll prove it.' And they went together to the spot, and there sure enough were the points of the tails sticking up out of the water.	false	238.31	246.22	21.663376
5386_8684_000021_000001	The herdsman laid hold of the nearest, and pulled at it with all his might, but it was no use, for the stone and the rope held them all fast.	The herdsman laid hold of the nearest, and pulled at it with all his might, but it was no use, for the stone and the rope held them all fast.	true	246.86	253.51	17
5386_8684_000021_000002	He called to the young man to help him, but the two did not succeed any better than the one had done.	He called to the young man to help him, but the two did not succeed any better than the one had done.	true	254	258.52	18
5386_8684_000022_000000	'Yes, your story was true after all; it is a wonderful thing,' said the herdsman.	'Yes, your story was true after all; it is a wonderful thing,' said the herdsman.	true	259.52	263.89	19.911068
5386_8684_000022_000001	'But I see it is no fault of yours, and I must put up with my loss as well as I can.	'But I see it is no fault of yours, and I must put up with my loss as well as I can.	true	264.29	268.45	17
5386_8684_000022_000002	Now let us return home, for it is time for supper.	Now let us return home, for it is time for supper.	true	268.76	271.3	20.037594
5386_8684_000023_000000	Next morning the herdsman said to the young man: 'I have got some other work for you to do.	Next morning the herdsman said to the young man: 'I have got some other work for you to do.	true	272.03	276.28	21.008518
5386_8684_000023_000001	To-day you must take a hundred sheep to graze; but be careful that no harm befalls them.'	To day you must take a hundred sheep to graze; but be careful that no harm befalls them.'	true	276.35	280.57	20.304737
5386_8684_000024_000000	'I will do my best,' replied the youth.	'I will do my best,' replied the youth.	true	281.15	283.395	20.898977
5386_8684_000024_000001	And he opened the gate of the fold, where the sheep had been all night, and drove them out into the meadow.	And he opened the gate of the fold, where the sheep had been all night, and drove them out into the meadow.	true	283.395	288.04	21.071192
5386_8684_000024_000002	But in a short time they grew as wild as the pigs had done, and scattered in all directions.	But in a short time they grew as wild as the pigs had done, and scattered in all directions.	true	288.53	292.99	17
5386_8684_000024_000003	The young man could not collect them, try as he would, and he thought to himself that this was the punishment for his laziness in refusing to look after his father's one cow.	The young man could not collect them, try as he would, and he thought to himself that this was the punishment for his laziness in refusing to look after his father's one cow.	true	293.33	301.54	19.572346
5386_8684_000025_000000	At last, however, the sheep seemed tired of running about, and then the youth managed to gather them together, and drove them, as before, straight to his father's house.	At last, however, the sheep seemed tired of running about, and then the youth managed to gather them together, and drove them, as before, straight to his father's house.	true	302	309.81	18
5386_8684_000026_000000	'Whose sheep are these, and what are they doing here?' asked the old man in wonder, and his son told him.	'Whose sheep are these, and what are they doing here?' asked the old man in wonder, and his son told him.	false	309.81	315.67	20.080196
5386_8684_000026_000001	But when the tale was ended the father shook his head.	But when the tale was ended the father shook his head.	true	315.74	318.01	21
5386_8684_000027_000000	'Give up these bad ways and take them back to your master,' said he.	'Give up these bad ways and take them back to your master,' said he.	true	318.5	321.91	19.769482
5386_8684_000028_000000	'No, no,' answered the youth; 'I am not so stupid as that!	'No, no,' answered the youth; 'I am not so stupid as that!	true	322.46	326.085	21.226368
5386_8684_000028_000001	We will kill them and have them for dinner.'	We will kill them and have them for dinner.'	true	326.085	327.79	20.926605
5386_8684_000029_000000	'You will lose your life if you do,' replied the father.	'You will lose your life if you do,' replied the father.	true	328.25	331.09	26.207674
5386_8684_000030_000000	'Oh, I am not sure of that!' said the son, 'and, anyway, I will have my will for once.' And he killed all the sheep and laid them on the grass. But he cut off the head of the ram which always led the flock and had bells round its horns.	'Oh, I am not sure of that!' said the son, 'and, anyway, I will have my will for once.' And he killed all the sheep and laid them on the grass. But he cut off the head of the ram which always led the flock and had bells round its horns.	false	331.31	342.87	21.260372
5386_8684_000030_000001	This he took back to the place where they should have been feeding, for here he had noticed a high rock, with a patch of green grass in the middle and two or three thick bushes growing on the edge.	This he took back to the place where they should have been feeding, for here he had noticed a high rock, with a patch of green grass in the middle and two or three thick bushes growing on the edge.	false	342.87	352.42	18.966757
5386_8684_000030_000002	Up this rock he climbed with great difficulty, and fastened the ram's head to the bushes with a cord, leaving only the tips of the horns with the bells visible.	Up this rock he climbed with great difficulty, and fastened the ram's head to the bushes with a cord, leaving only the tips of the horns with the bells visible.	true	352.97	360.91	19.819384
5386_8684_000030_000003	As there was a soft breeze blowing, the bushes to which the head was tied moved gently, and the bells rang.	As there was a soft breeze blowing, the bushes to which the head was tied moved gently, and the bells rang.	true	361.04	366.55	20.860481
5386_8684_000030_000004	When all was done to his liking he hastened quickly back to his master.	When all was done to his liking he hastened quickly back to his master.	true	366.86	370.24	20
5386_8684_000031_000000	'Where are the sheep?' asked the herdsman as the young man ran panting up the steps.	'Where are the sheep?' asked the herdsman as the young man ran panting up the steps.	false	370.91	375.34	22.849031
5386_8684_000032_000000	'Oh! don't speak of them,' answered he.	'Oh! don't speak of them,' answered he.	true	375.53	377.91	23.69557
5386_8684_000032_000001	'It is only by a miracle that I am here myself.'	'It is only by a miracle that I am here myself.'	false	377.91	380.8	27.890173
5386_8684_000033_000000	'Tell me at once what has happened,' said the herdsman sternly.	'Tell me at once what has happened,' said the herdsman sternly.	true	381.5	384.79	20.907799
5386_8684_000034_000000	The youth began to sob, and stammered out: 'I--I hardly know how to tell you!	The youth began to sob, and stammered out: 'I-I hardly know how to tell you!	true	385.4	389.415	22.684963
5386_8684_000034_000001	They--they--they were so--so troublesome--that I could not manage them at all.	They-they-they were so-so troublesome-that I could not manage them at all.	true	389.415	393.31	24.23118
5386_8684_000034_000002	They--ran about in--in all directions, and I--I--ran after them and nearly died of fatigue.	They-ran about in-in all directions, and I-I-ran after them and nearly died of fatigue.	true	393.47	398.88	22.290232
5386_8684_000034_000003	Then I heard a--a noise, which I--I thought was the wind.	Then I heard a-a noise, which I-I thought was the wind.	false	398.88	401.64	23
5386_8684_000034_000004	But--but--it was the sheep, which, be--before my very eyes, were carried straight up--up into the air.	But-but-it was the sheep, which, be-before my very eyes, were carried straight up-up into the air.	true	401.64	406.81	23.567198
5386_8684_000034_000005	I stood watching them as if I was turned to stone, but there kept ringing in my ears the sound of the bells on the ram which led them.'	I stood watching them as if I was turned to stone, but there kept ringing in my ears the sound of the bells on the ram which led them.'	false	407	413.26	21.428312
5386_8684_000035_000000	'That is nothing but a lie from beginning to end,' said the herdsman.	'That is nothing but a lie from beginning to end,' said the herdsman.	true	413.66	417.37	20
5386_8684_000036_000000	'No, it is as true as that there is a sun in heaven,' answered the young man.	'No, it is as true as that there is a sun in heaven,' answered the young man.	true	417.47	421.27	14
5386_8684_000037_000000	'Then give me a proof of it,' cried his master.	'Then give me a proof of it,' cried his master.	true	421.67	424.03	21.72378
5386_8684_000038_000000	'Well, come with me,' said the youth.	'Well, come with me,' said the youth.	true	424.31	426.43	27.271063
5386_8684_000038_000001	By this time it was evening and the dusk was falling.	By this time it was evening and the dusk was falling.	true	426.92	429.255	15
5386_8684_000038_000002	The young man brought the herdsman to the foot of the great rock, but it was so dark you could hardly see.	The young man brought the herdsman to the foot of the great rock, but it was so dark you could hardly see.	true	429.255	433.9	20.974443
5386_8684_000038_000003	Still the sound of sheep bells rang softly from above, and the herdsman knew them to be those he had hung on the horns of his ram.	Still the sound of sheep bells rang softly from above, and the herdsman knew them to be those he had hung on the horns of his ram.	true	434.18	440.62	17
5386_8684_000039_000000	'Do you hear?' asked the youth.	'Do you hear?' asked the youth.	true	441.11	443.23	25.087284
5386_8684_000040_000000	'Yes, I hear; you have spoken the truth, and I cannot blame you for what has happened.	'Yes, I hear; you have spoken the truth, and I cannot blame you for what has happened.	true	443.57	448.035	21.61298
5386_8684_000040_000001	I must bear the loss as best as I can.'	I must bear the loss as best as I can.'	true	448.035	450.25	20.81245
5386_8684_000041_000000	He turned and went home, followed by the young man, who felt highly pleased with his own cleverness.	He turned and went home, followed by the young man, who felt highly pleased with his own cleverness.	true	451.07	455.47	17
5386_8684_000042_000000	'I should not be surprised if the tasks I set you were too difficult, and that you were tired of them,' said the herdsman next morning; 'but to-day I have something quite easy for you to do.	'I should not be surprised if the tasks I set you were too difficult, and that you were tired of them,' said the herdsman next morning; 'but to day I have something quite easy for you to do.	true	456.26	464.71	20.774067
5386_8684_000042_000001	You must look after forty oxen, and be sure you are very careful, for one of them has gold-tipped horns and hoofs, and the king reckons it among his greatest treasures.'	You must look after forty oxen, and be sure you are very careful, for one of them has gold tipped horns and hoofs, and the king reckons it among his greatest treasures.'	true	464.96	473.74	21.557777
5386_8684_000043_000000	The young man drove out the oxen into the meadow, and no sooner had they got there than, like the sheep and the pigs, they began to scamper in all directions, the precious bull being the wildest of all.	The young man drove out the oxen into the meadow, and no sooner had they got there than, like the sheep and the pigs, they began to scamper in all directions, the precious bull being the wildest of all.	true	474.41	484.06	21.076792
5386_8684_000043_000001	As the youth stood watching them, not knowing what to do next, it came into his head that his father's cow was put out to grass at no great distance; and he forthwith made such a noise that he quite frightened the oxen, who were easily persuaded to take the path he wished.	As the youth stood watching them, not knowing what to do next, it came into his head that his father's cow was put out to grass at no great distance; and he forthwith made such a noise that he quite frightened the oxen, who were easily persuaded to take the path he wished.	true	484.55	497.68	21.448334
5386_8684_000043_000002	When they heard the cow lowing they galloped all the faster, and soon they all arrived at his father's house.	When they heard the cow lowing they galloped all the faster, and soon they all arrived at his father's house.	true	497.96	502.72	17
5386_8684_000044_000000	The old man was standing before the door of his hut when the great herd of animals dashed round a corner of the road, with his son and his own cow at their head.	The old man was standing before the door of his hut when the great herd of animals dashed round a corner of the road, with his son and his own cow at their head.	false	503.45	510.73	20
5386_8684_000045_000000	'Whose cattle are these, and why are they here?' he asked; and his son told him the story.	'Whose cattle are these, and why are they here?' he asked; and his son told him the story.	true	511.37	515.83	21.73986
5386_8684_000046_000000	'Take them back to your master as soon as you can,' said the old man; but the son only laughed, and said:	'Take them back to your master as soon as you can,' said the old man; but the son only laughed, and said:	true	516.23	521.34	19.785564
5386_8684_000047_000000	'No, no; they are a present to you!	'No, no; they are a present to you!	false	521.34	523.23	21.968092
5386_8684_000047_000001	They will make you fat!'	They will make you fat!'	false	523.23	524.29	30.705193
5386_8684_000048_000000	For a long while the old man refused to have anything to do with such a wicked scheme; but his son talked him over in the end, and they killed the oxen as they had killed the sheep and the pigs.	For a long while the old man refused to have anything to do with such a wicked scheme; but his son talked him over in the end, and they killed the oxen as they had killed the sheep and the pigs.	true	525.05	533.17	20.231709
5386_8684_000048_000001	Last of all they came to the king's cherished ox.	Last of all they came to the king's cherished ox.	true	533.3	535.9	18.460958
5386_8684_000049_000000	The son had a rope ready to cast round its horns, and throw it to the ground, but the ox was stronger than the rope, and soon tore it in pieces.	The son had a rope ready to cast round its horns, and throw it to the ground, but the ox was stronger than the rope, and soon tore it in pieces.	true	536.81	543.58	21.252228
5386_8684_000049_000001	Then it dashed away to the wood, the youth following; over hedges and ditches they both went, till they reached the rocky pass which bordered the herdsman's land.	Then it dashed away to the wood, the youth following; over hedges and ditches they both went, till they reached the rocky pass which bordered the herdsman's land.	true	543.89	551.71	21.298115
5386_8684_000049_000002	Here the ox, thinking itself safe, stopped to rest, and thus gave the young man a chance to come up with it.	Here the ox, thinking itself safe, stopped to rest, and thus gave the young man a chance to come up with it.	true	552.2	557.56	22.813227
5386_8684_000049_000003	Not knowing how to catch it, he collected all the wood he could find and made a circle of fire round the ox, who by this time had fallen asleep, and did not wake till the fire had caught its head, and it was too late for it to escape.	Not knowing how to catch it, he collected all the wood he could find and made a circle of fire round the ox, who by this time had fallen asleep, and did not wake till the fire had caught its head, and it was too late for it to escape.	false	558.38	569.47	21.73067
5386_8684_000049_000004	Then the young man, who had been watching, ran home to his master.	Then the young man, who had been watching, ran home to his master.	true	569.69	572.5	16
5386_8684_000050_000000	'You have been away a long while,' said the herdsman.	'You have been away a long while,' said the herdsman.	true	573.05	575.35	17.972307
5386_8684_000050_000001	'Where are the cattle?'	'Where are the cattle?'	false	575.57	576.61	11.58815
5386_8684_000051_000000	The young man gasped, and seemed as if he was unable to speak.	The young man gasped, and seemed as if he was unable to speak.	true	576.83	579.945	18
5386_8684_000051_000001	At last he answered:	At last he answered:	true	579.945	581.29	23.116138
5386_8684_000052_000000	'It is always the same story!	'It is always the same story!	true	581.54	583.08	22.73588
5386_8684_000052_000001	The oxen are--gone--gone!'	The oxen are-gone-gone!'	true	583.08	585.24	23.997652
5386_8684_000053_000000	'G-g-gone?' cried the herdsman.	'G g gone?' cried the herdsman.	false	585.24	587.83	28.098122
5386_8684_000053_000001	'Scoundrel, you lie!'	'Scoundrel, you lie!'	true	587.9	589.6	19.222353
5386_8684_000054_000000	'I am telling you the exact truth,' answered the young man.	'I am telling you the exact truth,' answered the young man.	true	590.18	593.14	18.763008
5386_8684_000054_000001	'Directly we came to the meadow they grew so wild that I could not keep them together.	'Directly we came to the meadow they grew so wild that I could not keep them together.	true	593.39	597.4	16
5386_8684_000054_000002	Then the big ox broke away, and the others followed till they all disappeared down a deep hole into the earth.	Then the big ox broke away, and the others followed till they all disappeared down a deep hole into the earth.	true	597.74	602.71	19.801235
5386_8684_000054_000003	It seemed to me that I heard sounds of bellowing, and I thought I recognised the voice of the golden horned ox; but when I got to the place from which the sounds had come, I could neither see nor hear anything in the hole itself, though there were traces of a fire all round it.'	It seemed to me that I heard sounds of bellowing, and I thought I recognised the voice of the golden horned ox; but when I got to the place from which the sounds had come, I could neither see nor hear anything in the hole itself, though there were traces of a fire all round it.'	false	602.96	615.25	18.788023
5386_8684_000055_000000	'Wretch!' cried the herdsman, when he had heard this story, 'even if you did not lie before, you are lying now.'	'Wretch!' cried the herdsman, when he had heard this story, 'even if you did not lie before, you are lying now.'	true	615.71	621.27	19.563246
5386_8684_000056_000000	'No, master, I am speaking the truth.	'No, master, I am speaking the truth.	true	621.27	623.1	11
5386_8684_000056_000001	Come and see for yourself.'	Come and see for yourself.'	true	623.1	624.52	25.449387
5386_8684_000057_000000	'If I find you have deceived me, you are a dead man, said the herdsman; and they went out together.	'If I find you have deceived me, you are a dead man, said the herdsman; and they went out together.	false	624.89	629.5	20.244284
5386_8684_000058_000000	'What do you call that?' asked the youth.	'What do you call that?' asked the youth.	true	630.29	632.415	23.711618
5386_8684_000058_000001	And the herdsman looked and saw the traces of a fire, which seemed to have sprung up from under the earth.	And the herdsman looked and saw the traces of a fire, which seemed to have sprung up from under the earth.	true	632.415	637.03	21.087772
5386_8684_000059_000000	'Wonder upon wonder,' he exclaimed, 'so you really did speak the truth after all!	'Wonder upon wonder,' he exclaimed, 'so you really did speak the truth after all!	true	637.31	641.8	22.972109
5386_8684_000059_000001	Well, I cannot reproach you, though I shall have to pay heavily to my royal master for the value of that ox.	Well, I cannot reproach you, though I shall have to pay heavily to my royal master for the value of that ox.	true	641.93	646.84	15
5386_8684_000059_000002	But come, let us go home!	But come, let us go home!	true	647.06	648.705	22.072622
5386_8684_000059_000003	I will never set you to herd cattle again, henceforward I will give you something easier to do.'	I will never set you to herd cattle again, henceforward I will give you something easier to do.'	true	648.705	652.84	17.480017
5386_8684_000060_000000	'I have thought of exactly the thing for you,' said the herdsman as they walked along, 'and it is so simple that you cannot make a mistake.	'I have thought of exactly the thing for you,' said the herdsman as they walked along, 'and it is so simple that you cannot make a mistake.	true	654.05	660.22	19.623182
5386_8684_000060_000001	Just make me ten scythes, one for every man, for I want the grass mown in one of my meadows to-morrow.'	Just make me ten scythes, one for every man, for I want the grass mown in one of my meadows to morrow.'	true	660.26	666.04	21.898401
5386_8684_000061_000000	At these words the youth's heart sank, for he had never been trained either as a smith or a joiner.	At these words the youth's heart sank, for he had never been trained either as a smith or a joiner.	true	666.74	671.62	21.656515
5386_8684_000061_000001	However, he dared not say no, but smiled and nodded.	However, he dared not say no, but smiled and nodded.	false	671.81	675.63	20.055492
5386_8684_000062_000000	Slowly and sadly he went to bed, but he could not sleep, for wondering how the scythes were to be made.	Slowly and sadly he went to bed, but he could not sleep, for wondering how the scythes were to be made.	true	675.63	680.74	23.241463
5386_8684_000062_000001	All the skill and cunning he had shown before was of no use to him now, and after thinking about the scythes for many hours, there seemed only one way open to him.	All the skill and cunning he had shown before was of no use to him now, and after thinking about the scythes for many hours, there seemed only one way open to him.	true	681.23	689.11	19.025589
5386_8684_000062_000002	So, listening to make sure that all was still, he stole away to his parents, and told them the whole story.	So, listening to make sure that all was still, he stole away to his parents, and told them the whole story.	true	689.51	694.6	19.594162
5386_8684_000062_000003	When they had heard everything, they hid him where no one could find him.	When they had heard everything, they hid him where no one could find him.	true	695.33	698.23	20.707008
5386_8684_000063_000000	Time passed away, and the young man stayed at home doing all his parents bade him, and showing himself very different from what he had been before he went out to see the world; but one day he said to his father that he should like to marry, and have a house of his own.	Time passed away, and the young man stayed at home doing all his parents bade him, and showing himself very different from what he had been before he went out to see the world; but one day he said to his father that he should like to marry, and have a house of his own.	true	698.87	711.49	20.640066
5386_8684_000064_000000	'When I served the king's chief herdsman,' added he, 'I saw his daughter, and I am resolved to try if I cannot win her for my wife.'	'When I served the king's chief herdsman,' added he, 'I saw his daughter, and I am resolved to try if I cannot win her for my wife.'	true	712.19	719.02	20.685652
5386_8684_000065_000000	'It will cost you your life, if you do,' answered the father, shaking his head.	'It will cost you your life, if you do,' answered the father, shaking his head.	false	719.36	723.39	18.72671
5386_8684_000066_000000	'Well, I will do my best,' replied his son; 'but first give me the sword which hangs over your bed!'	'Well, I will do my best,' replied his son; 'but first give me the sword which hangs over your bed!'	true	723.39	728.62	21.418222
5386_8684_000067_000000	The old man did not understand what good the sword would do, however he took it down, and the young man went his way.	The old man did not understand what good the sword would do, however he took it down, and the young man went his way.	false	729.29	733.9	16
5386_8684_000068_000000	Late in the evening he arrived at the house of the herdsman, and knocked at the door, which was opened by a little boy.	Late in the evening he arrived at the house of the herdsman, and knocked at the door, which was opened by a little boy.	true	734.42	739.57	17
5386_8684_000069_000000	'I want to speak to your master,' said he.	'I want to speak to your master,' said he.	true	739.97	742.21	22.114082
5386_8684_000070_000000	'So it is you?' cried the herdsman, when he had received the message. 'Well, you can sleep here to-night if you wish.'	'So it is you?' cried the herdsman, when he had received the message. 'Well, you can sleep here to night if you wish.'	true	742.82	748.54	22.33351
5386_8684_000071_000000	'I have come for something else besides a bed,' replied the young man, drawing his sword, 'and if you do not promise to give me your youngest daughter as my wife I will stab you through the heart.'	'I have come for something else besides a bed,' replied the young man, drawing his sword, 'and if you do not promise to give me your youngest daughter as my wife I will stab you through the heart.'	true	748.82	757.36	21.211748
5386_8684_000072_000000	What could the poor man do but promise?	What could the poor man do but promise?	true	758.09	760.03	19
5386_8684_000072_000001	And he fetched his youngest daughter, who seemed quite pleased at the proposed match, and gave the youth her hand.	And he fetched his youngest daughter, who seemed quite pleased at the proposed match, and gave the youth her hand.	true	760.16	764.53	11
5386_8684_000073_000000	Then the young man went home to his parents, and bade them get ready to welcome his bride.	Then the young man went home to his parents, and bade them get ready to welcome his bride.	true	765.53	769.27	21.717539
5386_8684_000073_000001	And when the wedding was over he told his father-in-law, the herdsman, what he had done with the sheep, and pigs, and cattle.	And when the wedding was over he told his father in law, the herdsman, what he had done with the sheep, and pigs, and cattle.	true	769.7	775.3	20
5386_8684_000073_000002	By-and-by the story came to the king's ears, and he thought that a man who was so clever was just the man to govern the country; so he made him his minister, and after the king himself there was no one so great as he.	By and by the story came to the king's ears, and he thought that a man who was so clever was just the man to govern the country; so he made him his minister, and after the king himself there was no one so great as he.	false	776.06	797.58	19.754759
