5635_53458_000002_000003	But such was not the case with Popopo, the knook we are speaking of.	But such was not the case with Popopo, the knook we are speaking of.
5635_53458_000013_000000	Popopo did not know the birds were stuffed; but, stuffed or not, every bird is bound to obey a knook's whistle and a knook's call.	Popopo did not know the birds were stuffed; but, stuffed or not, every bird is bound to obey a knook's whistle and a knook's call.
5635_53458_000013_000001	So they left the hats, flew out of the case and began fluttering about the room.	So they left the hats, flew out of the case and began fluttering about the room.
5635_53458_000014_000000	"Poor dears!" said the kind-hearted knook, "you long to be in the fields and forests again."	"Poor dears!" said the kind hearted knook, "you long to be in the fields and forests again."
5635_53458_000015_000000	Then he opened the outer door for them and cried: "Off with you!	Then he opened the outer door for them and cried: "Off with you!
5635_53458_000016_000000	The astonished birds at once obeyed, and when they had soared away into the night air the knook closed the door and continued his wandering through the streets.	The astonished birds at once obeyed, and when they had soared away into the night air the knook closed the door and continued his wandering through the streets.
5635_53458_000017_000000	By dawn he saw many interesting sights, but day broke before he had finished the city, and he resolved to come the next evening a few hours earlier.	By dawn he saw many interesting sights, but day broke before he had finished the city, and he resolved to come the next evening a few hours earlier.
5635_53458_000018_000000	As soon as it was dark the following day he came again to the city and on passing the millinery shop noticed a light within.	As soon as it was dark the following day he came again to the city and on passing the millinery shop noticed a light within.
5635_53458_000018_000001	Entering he found two women, one of whom leaned her head upon the table and sobbed bitterly, while the other strove to comfort her.	Entering he found two women, one of whom leaned her head upon the table and sobbed bitterly, while the other strove to comfort her.
5635_53458_000019_000000	Of course Popopo was invisible to mortal eyes, so he stood by and listened to their conversation.	Of course Popopo was invisible to mortal eyes, so he stood by and listened to their conversation.
5635_53458_000020_000000	"Cheer up, sister," said one.	"Cheer up, sister," said one.
5635_53458_000020_000001	"Even though your pretty birds have all been stolen the hats themselves remain."	"Even though your pretty birds have all been stolen the hats themselves remain."
5635_53458_000021_000000	"Alas!" cried the other, who was the milliner, "no one will buy my hats partly trimmed, for the fashion is to wear birds upon them.	"Alas!" cried the other, who was the milliner, "no one will buy my hats partly trimmed, for the fashion is to wear birds upon them.
5635_53458_000023_000000	This thought brought him back to the millinery shop later in the night, when the two women had gone home.	This thought brought him back to the millinery shop later in the night, when the two women had gone home.
5635_53458_000023_000001	He wanted, in some way, to replace the birds upon the hats, that the poor woman might be happy again.	He wanted, in some way, to replace the birds upon the hats, that the poor woman might be happy again.
5635_53458_000024_000000	"Here are just the creatures," thought Popopo, "to place upon the woman's hats.	"Here are just the creatures," thought Popopo, "to place upon the woman's hats.
5635_53458_000024_000002	Moreover, they now pass their lives in stealing, and were they obliged to remain always upon women's hats their morals would be much improved."	Moreover, they now pass their lives in stealing, and were they obliged to remain always upon women's hats their morals would be much improved."
5635_53458_000025_000000	So he exercised a charm that drew all the mice from the cellar and placed them upon the hats in the glass case, where they occupied the places the birds had vacated and looked very becoming--at least, in the eyes of the unworldly knook.	So he exercised a charm that drew all the mice from the cellar and placed them upon the hats in the glass case, where they occupied the places the birds had vacated and looked very becoming-at least, in the eyes of the unworldly knook.
5635_53458_000025_000001	To prevent their running about and leaving the hats Popopo rendered them motionless, and then he was so pleased with his work that he decided to remain in the shop and witness the delight of the milliner when she saw how daintily her hats were now trimmed.	To prevent their running about and leaving the hats Popopo rendered them motionless, and then he was so pleased with his work that he decided to remain in the shop and witness the delight of the milliner when she saw how daintily her hats were now trimmed.
5635_53458_000026_000000	She came in the early morning, accompanied by her sister, and her face wore a sad and resigned expression.	She came in the early morning, accompanied by her sister, and her face wore a sad and resigned expression.
5635_53458_000027_000000	But when she saw a tiny gray mouse nestling among the ribbons and laces she gave a loud shriek, and, dropping the hat, sprang with one bound to the top of the table.	But when she saw a tiny gray mouse nestling among the ribbons and laces she gave a loud shriek, and, dropping the hat, sprang with one bound to the top of the table.
5635_53458_000028_000000	"What is it?	"What is it?
5635_53458_000028_000001	Oh! what is it?"	Oh! what is it?"
5635_53458_000029_000000	"A mouse!" gasped the milliner, trembling with terror.	"A mouse!" gasped the milliner, trembling with terror.
5635_53458_000030_000000	Popopo, seeing this commotion, now realized that mice are especially disagreeable to human beings, and that he had made a grave mistake in placing them upon the hats; so he gave a low whistle of command that was heard only by the mice.	Popopo, seeing this commotion, now realized that mice are especially disagreeable to human beings, and that he had made a grave mistake in placing them upon the hats; so he gave a low whistle of command that was heard only by the mice.
5635_53458_000031_000000	Instantly they all jumped from the hats, dashed out the open door of the glass case and scampered away to their cellar.	Instantly they all jumped from the hats, dashed out the open door of the glass case and scampered away to their cellar.
5635_53458_000032_000000	Popopo was a kind-hearted knook, but on witnessing all this misery, caused by his own ignorance of the ways of humans, he straightway wished himself at home, and so left the poor women to recover as best they could.	Popopo was a kind hearted knook, but on witnessing all this misery, caused by his own ignorance of the ways of humans, he straightway wished himself at home, and so left the poor women to recover as best they could.
5635_53458_000033_000001	He loved the birds, and disliked to condemn them to slavery again; but that seemed the only way to end the trouble.	He loved the birds, and disliked to condemn them to slavery again; but that seemed the only way to end the trouble.
5635_53458_000034_000000	So he set off to find the birds.	So he set off to find the birds.
5635_53458_000035_000000	When they saw the knook the birds cried:	When they saw the knook the birds cried:
5635_53458_000036_000000	"Thank you, Popopo.	"Thank you, Popopo.
5635_53458_000036_000001	Thank you for setting us free."	Thank you for setting us free."
5635_53458_000037_000000	"Do not thank me," returned the knook, "for I have come to send you back to the millinery shop."	"Do not thank me," returned the knook, "for I have come to send you back to the millinery shop."
5635_53458_000038_000000	"Why?" demanded a blue jay, angrily, while the others stopped their songs.	"Why?" demanded a blue jay, angrily, while the others stopped their songs.
5635_53458_000039_000000	"Because I find the woman considers you her property, and your loss has caused her much unhappiness," answered Popopo.	"Because I find the woman considers you her property, and your loss has caused her much unhappiness," answered Popopo.
5635_53458_000040_000000	"But remember how unhappy we were in her glass case," said a robin redbreast, gravely.	"But remember how unhappy we were in her glass case," said a robin redbreast, gravely.
5635_53458_000040_000001	"And as for being her property, you are a knook, and the natural guardian of all birds; so you know that Nature created us free.	"And as for being her property, you are a knook, and the natural guardian of all birds; so you know that Nature created us free.
5635_53458_000040_000002	To be sure, wicked men shot and stuffed us, and sold us to the milliner; but the idea of our being her property is nonsense!"	To be sure, wicked men shot and stuffed us, and sold us to the milliner; but the idea of our being her property is nonsense!"
5635_53458_000041_000000	Popopo was puzzled.	Popopo was puzzled.
5635_53458_000043_000000	"Pooh!" exclaimed the blue jay, "we cannot be shot now, for we are stuffed.	"Pooh!" exclaimed the blue jay, "we cannot be shot now, for we are stuffed.
5635_53458_000043_000001	Indeed, two men fired several shots at us this morning, but the bullets only ruffled our feathers and buried themselves in our stuffing.	Indeed, two men fired several shots at us this morning, but the bullets only ruffled our feathers and buried themselves in our stuffing.
5635_53458_000043_000002	We do not fear men now."	We do not fear men now."
5635_53458_000044_000000	"Listen!" said Popopo, sternly, for he felt the birds were getting the best of the argument; "the poor milliner's business will be ruined if I do not return you to her shop.	"Listen!" said Popopo, sternly, for he felt the birds were getting the best of the argument; "the poor milliner's business will be ruined if I do not return you to her shop.
5635_53458_000044_000003	So the poor milliner's wares, although beautified by lace and ribbons, are worthless unless you are perched upon them."	So the poor milliner's wares, although beautified by lace and ribbons, are worthless unless you are perched upon them."
5635_53458_000045_000001	What law is there, among birds or knooks, that requires us to be the slaves of fashion?"	What law is there, among birds or knooks, that requires us to be the slaves of fashion?"
5635_53458_000046_000000	"What have we to do with fashions, anyway?" screamed a linnet.	"What have we to do with fashions, anyway?" screamed a linnet.
5635_53458_000046_000001	"If it were the fashion to wear knooks perched upon women's hats would you be contented to stay there?	"If it were the fashion to wear knooks perched upon women's hats would you be contented to stay there?
5635_53458_000046_000002	Answer me, Popopo!"	Answer me, Popopo!"
5635_53458_000047_000000	But Popopo was in despair.	But Popopo was in despair.
5635_53458_000047_000001	He could not wrong the birds by sending them back to the milliner, nor did he wish the milliner to suffer by their loss.	He could not wrong the birds by sending them back to the milliner, nor did he wish the milliner to suffer by their loss.
5635_53458_000047_000002	So he went home to think what could be done.	So he went home to think what could be done.
5635_53458_000048_000000	After much meditation he decided to consult the king of the knooks, and going at once to his majesty he told him the whole story.	After much meditation he decided to consult the king of the knooks, and going at once to his majesty he told him the whole story.
5635_53458_000049_000000	The king frowned.	The king frowned.
5635_53458_000050_000001	"But since you have caused all this trouble, it is your duty to remedy it.	"But since you have caused all this trouble, it is your duty to remedy it.
5635_53458_000050_000002	Our birds cannot be enslaved, that is certain; therefore you must have the fashions changed, so it will no longer be stylish for women to wear birds upon their hats."	Our birds cannot be enslaved, that is certain; therefore you must have the fashions changed, so it will no longer be stylish for women to wear birds upon their hats."
5635_53458_000051_000000	"How shall I do that?" asked Popopo.	"How shall I do that?" asked Popopo.
5635_53458_000052_000000	"Easily enough.	"Easily enough.
5635_53458_000052_000001	Fashions often change among the earth people, who tire quickly of any one thing.	Fashions often change among the earth people, who tire quickly of any one thing.
5635_53458_000052_000002	When they read in their newspapers and magazines that the style is so-and-so, they never question the matter, but at once obey the mandate of fashion.	When they read in their newspapers and magazines that the style is so and so, they never question the matter, but at once obey the mandate of fashion.
5635_53458_000052_000003	So you must visit the newspapers and magazines and enchant the types."	So you must visit the newspapers and magazines and enchant the types."
5635_53458_000053_000000	"Enchant the types!" echoed Popopo, in wonder.	"Enchant the types!" echoed Popopo, in wonder.
5635_53458_000054_000000	"Just so.	"Just so.
5635_53458_000054_000002	That will afford relief to your poor milliner and at the same time set free thousands of our darling birds who have been so cruelly used."	That will afford relief to your poor milliner and at the same time set free thousands of our darling birds who have been so cruelly used."
5635_53458_000055_000000	Popopo thanked the wise king and followed his advice.	Popopo thanked the wise king and followed his advice.
5635_53458_000057_000000	The following morning when the poor milliner looked over her newspaper she was overjoyed to read that "no woman could now wear a bird upon her hat and be in style, for the newest fashion required only ribbons and laces."	The following morning when the poor milliner looked over her newspaper she was overjoyed to read that "no woman could now wear a bird upon her hat and be in style, for the newest fashion required only ribbons and laces."
5635_53458_000058_000000	Popopo after this found much enjoyment in visiting every millinery shop he could find and giving new life to the stuffed birds which were carelessly tossed aside as useless.	Popopo after this found much enjoyment in visiting every millinery shop he could find and giving new life to the stuffed birds which were carelessly tossed aside as useless.
5635_53458_000058_000001	And they flew to the fields and forests with songs of thanks to the good knook who had rescued them.	And they flew to the fields and forests with songs of thanks to the good knook who had rescued them.
5635_53458_000059_000000	Sometimes a hunter fires his gun at a bird and then wonders why he did not hit it.	Sometimes a hunter fires his gun at a bird and then wonders why he did not hit it.
