8705_290361_000000_000000	CHAPTER XXIII.	CHAPTER twenty three.	true	22.2	23.65	22.482664
8705_290361_000006_000001	Thus we come to have the ideas of a man, horse, gold, water, &c.; of which substances, whether any one has any other CLEAR idea, further than of certain simple ideas co-existent together, I appeal to every one's own experience.	Thus we come to have the ideas of a man, horse, gold, water, and c.; of which substances, whether any one has any other CLEAR idea, further than of certain simple ideas co existent together, I appeal to every one's own experience.	false	235.61	253.69	20.384975
8705_290361_000006_000002	It is the ordinary qualities observable in iron, or a diamond, put together, that make the true complex idea of those substances, which a smith or a jeweller commonly knows better than a philosopher; who, whatever SUBSTANTIAL FORMS he may talk of, has no other idea of those substances, than what is framed by a collection of those simple ideas which are to be found in them: only we must take notice, that our complex ideas of substances, besides all those simple ideas they are made up of, have always the confused idea of something to which they belong, and in which they subsist: and therefore when we speak of any sort of substance, we say it is a thing having such or such qualities; as body is a thing that is extended, figured, and capable of motion; spirit, a thing capable of thinking; and so hardness, friability, and power to draw iron, we say, are qualities to be found in a loadstone.	It is the ordinary qualities observable in iron, or a diamond, put together, that make the true complex idea of those substances, which a smith or a jeweller commonly knows better than a philosopher; who, whatever SUBSTANTIAL FORMS he may talk of, has no other idea of those substances, than what is framed by a collection of those simple ideas which are to be found in them: only we must take notice, that our complex ideas of substances, besides all those simple ideas they are made up of, have always the confused idea of something to which they belong, and in which they subsist: and therefore when we speak of any sort of substance, we say it is a thing having such or such qualities; as body is a thing that is extended, figured, and capable of motion; spirit, a thing capable of thinking; and so hardness, friability, and power to draw iron, we say, are qualities to be found in a loadstone.	false	254.21	313.96	20.043156
8705_290361_000006_000003	These, and the like fashions of speaking, intimate that the substance is supposed always SOMETHING BESIDES the extension, figure, solidity, motion, thinking, or other observable ideas, though we know not what it is.	These, and the like fashions of speaking, intimate that the substance is supposed always SOMETHING BESIDES the extension, figure, solidity, motion, thinking, or other observable ideas, though we know not what it is.	true	314.24	330.6	20.482718
8705_290361_000007_000000	4.	four.	false	330.6	332.55	18.828892
8705_290361_000007_000001	No clear or distinct idea of Substance in general.	No clear or distinct idea of Substance in general.	true	332.55	335.83	21.15753
8705_290361_000008_000000	Hence, when we talk or think of any particular sort of corporeal substances, as horse, stone, &c., though the idea we have of either of them be but the complication or collection of those several simple ideas of sensible qualities, which we used to find united in the thing called horse or stone; yet, BECAUSE WE CANNOT CONCEIVE HOW THEY SHOULD SUBSIST ALONE, NOR ONE IN ANOTHER, we suppose them existing in and supported by some common subject; which support we denote by the name substance, though it be certain we have no clear or distinct idea of that thing we suppose a support.	Hence, when we talk or think of any particular sort of corporeal substances, as horse, stone, and c., though the idea we have of either of them be but the complication or collection of those several simple ideas of sensible qualities, which we used to find united in the thing called horse or stone; yet, BECAUSE WE CANNOT CONCEIVE HOW THEY SHOULD SUBSIST ALONE, NOR ONE IN ANOTHER, we suppose them existing in and supported by some common subject; which support we denote by the name substance, though it be certain we have no clear or distinct idea of that thing we suppose a support.	false	336.11	374.8	19.80527
8705_290361_000009_000000	5.	five.	true	375.56	376.45	16.915901
8705_290361_000009_000001	As clear an Idea of spiritual substance as of corporeal substance.	As clear an Idea of spiritual substance as of corporeal substance.	true	376.64	381.31	20.941053
8705_290361_000010_000000	The same thing happens concerning the operations of the mind, viz. thinking, reasoning, fearing, &c., which we concluding not to subsist of themselves, nor apprehending how they can belong to body, or be produced by it, we are apt to think these the actions of some other SUBSTANCE, which we call SPIRIT; whereby yet it is evident that, having no other idea or notion of matter, but something wherein those many sensible qualities which affect our senses do subsist; by supposing a substance wherein thinking, knowing, doubting, and a power of moving, &c., do subsist, we have as clear a notion of the substance of spirit, as we have of body; the one being supposed to be (without knowing what it is) the SUBSTRATUM to those simple ideas we have from without; and the other supposed (with a like ignorance of what it is) to be the SUBSTRATUM to those operations we experiment in ourselves within.	The same thing happens concerning the operations of the mind, viz. thinking, reasoning, fearing, and c., which we concluding not to subsist of themselves, nor apprehending how they can belong to body, or be produced by it, we are apt to think these the actions of some other SUBSTANCE, which we call SPIRIT; whereby yet it is evident that, having no other idea or notion of matter, but something wherein those many sensible qualities which affect our senses do subsist; by supposing a substance wherein thinking, knowing, doubting, and a power of moving, and c., do subsist, we have as clear a notion of the substance of spirit, as we have of body; the one being supposed to be (without knowing what it is) the SUBSTRATUM to those simple ideas we have from without; and the other supposed (with a like ignorance of what it is) to be the SUBSTRATUM to those operations we experiment in ourselves within.	false	381.98	439.87	20.172247
8705_290361_000010_000001	It is plain then, that the idea of CORPOREAL SUBSTANCE in matter is as remote from our conceptions and apprehensions, as that of SPIRITUAL SUBSTANCE, or spirit: and therefore, from our not having, any notion of the substance of spirit, we can no more conclude its non-existence, than we can, for the same reason, deny the existence of body; it being as rational to affirm there is no body, because we have no clear and distinct idea of the substance of matter, as to say there is no spirit, because we have no clear and distinct idea of the substance of a spirit.	It is plain then, that the idea of CORPOREAL SUBSTANCE in matter is as remote from our conceptions and apprehensions, as that of SPIRITUAL SUBSTANCE, or spirit: and therefore, from our not having, any notion of the substance of spirit, we can no more conclude its non existence, than we can, for the same reason, deny the existence of body; it being as rational to affirm there is no body, because we have no clear and distinct idea of the substance of matter, as to say there is no spirit, because we have no clear and distinct idea of the substance of a spirit.	false	440.33	475.33	20.073408
8705_290361_000011_000000	6.	six.	true	475.79	476.71	12.578359
8705_290361_000011_000001	Our ideas of particular Sorts of Substances.	Our ideas of particular Sorts of Substances.	true	476.87	480.04	18.370556
8705_290361_000012_000000	Whatever therefore be the secret abstract nature of substance in general, all the ideas we have of particular distinct sorts of substances are nothing but several combinations of simple ideas, co-existing in such, though unknown, cause of their union, as makes the whole subsist of itself.	Whatever therefore be the secret abstract nature of substance in general, all the ideas we have of particular distinct sorts of substances are nothing but several combinations of simple ideas, co existing in such, though unknown, cause of their union, as makes the whole subsist of itself.	true	480.47	499.12	20.152338
8705_290361_000012_000001	It is by such combinations of simple ideas, and nothing else, that we represent particular sorts of substances to ourselves; such are the ideas we have of their several species in our minds; and such only do we, by their specific names, signify to others, v.g. man, horse, sun, water, iron: upon hearing which words, every one who understands the language, frames in his mind a combination of those several simple ideas which he has usually observed, or fancied to exist together under that denomination; all which he supposes to rest in and be, as it were, adherent to that unknown common subject, which inheres not in anything else.	It is by such combinations of simple ideas, and nothing else, that we represent particular sorts of substances to ourselves; such are the ideas we have of their several species in our minds; and such only do we, by their specific names, signify to others, v.g. man, horse, sun, water, iron: upon hearing which words, every one who understands the language, frames in his mind a combination of those several simple ideas which he has usually observed, or fancied to exist together under that denomination; all which he supposes to rest in and be, as it were, adherent to that unknown common subject, which inheres not in anything else.	false	499.58	543.1	19.6172
8705_290361_000012_000002	Though, in the meantime, it be manifest, and every one, upon inquiry into his own thoughts, will find, that he has no other idea of any substance, v.g. let it be gold, horse, iron, man, vitriol, bread, but what he has barely of those sensible qualities, which he supposes to inhere; with a supposition of such a substratum as gives, as it were, a support to those qualities or simple ideas, which he has observed to exist united together.	Though, in the meantime, it be manifest, and every one, upon inquiry into his own thoughts, will find, that he has no other idea of any substance, v.g. let it be gold, horse, iron, man, vitriol, bread, but what he has barely of those sensible qualities, which he supposes to inhere; with a supposition of such a substratum as gives, as it were, a support to those qualities or simple ideas, which he has observed to exist united together.	false	543.23	574.18	20.498869
8705_290361_000012_000003	Thus, the idea of the sun,--what is it but an aggregate of those several simple ideas, bright, hot, roundish, having a constant regular motion, at a certain distance from us, and perhaps some other: as he who thinks and discourses of the sun has been more or less accurate in observing those sensible qualities, ideas, or properties, which are in that thing which he calls the sun.	Thus, the idea of the sun,--what is it but an aggregate of those several simple ideas, bright, hot, roundish, having a constant regular motion, at a certain distance from us, and perhaps some other: as he who thinks and discourses of the sun has been more or less accurate in observing those sensible qualities, ideas, or properties, which are in that thing which he calls the sun	true	574.46	599.05	20.04258
8705_290361_000013_000000	7.	seven.	true	599.9	600.76	12.431668
8705_290361_000013_000001	Their active and passive Powers a great part of our complex Ideas of Substances.	Their active and passive Powers a great part of our complex Ideas of Substances.	true	601.13	606.4	19
8705_290361_000014_000000	For he has the perfectest idea of any of the particular sorts of substances, who has gathered, and put together, most of those simple ideas which do exist in it; among which are to be reckoned its active powers, and passive capacities, which, though not simple ideas, yet in this respect, for brevity's sake, may conveniently enough be reckoned amongst them.	For he has the perfectest idea of any of the particular sorts of substances, who has gathered, and put together, most of those simple ideas which do exist in it; among which are to be reckoned its active powers, and passive capacities, which, though not simple ideas, yet in this respect, for brevity's sake, may conveniently enough be reckoned amongst them.	true	606.98	628.9	20.796253
8705_290361_000014_000001	Thus, the power of drawing iron is one of the ideas of the complex one of that substance we call a loadstone; and a power to be so drawn is a part of the complex one we call iron: which powers pass for inherent qualities in those subjects.	Thus, the power of drawing iron is one of the ideas of the complex one of that substance we call a loadstone; and a power to be so drawn is a part of the complex one we call iron: which powers pass for inherent qualities in those subjects.	true	629.24	644.74	20.733425
8705_290361_000014_000002	Because every substance, being as apt, by the powers we observe in it, to change some sensible qualities in other subjects, as it is to produce in us those simple ideas which we receive immediately from it, does, by those new sensible qualities introduced into other subjects, discover to us those powers which do thereby mediately affect our senses, as regularly as its sensible qualities do it immediately: v.	Because every substance, being as apt, by the powers we observe in it, to change some sensible qualities in other subjects, as it is to produce in us those simple ideas which we receive immediately from it, does, by those new sensible qualities introduced into other subjects, discover to us those powers which do thereby mediately affect our senses, as regularly as its sensible qualities do it immediately: v.	false	645.05	672.18	20
8705_290361_000014_000003	g.	g.	false	672.18	672.63	7
8705_290361_000014_000004	we immediately by our senses perceive in fire its heat and colour; which are, if rightly considered, nothing but powers in it to produce those ideas in US: we also by our senses perceive the colour and brittleness of charcoal, whereby we come by the knowledge of another power in fire, which it has to change the colour and consistency of WOOD.	we immediately by our senses perceive in fire its heat and colour; which are, if rightly considered, nothing but powers in it to produce those ideas in u s: we also by our senses perceive the colour and brittleness of charcoal, whereby we come by the knowledge of another power in fire, which it has to change the colour and consistency of WOOD.	false	672.63	694.51	19.987919
8705_290361_000014_000005	By the former, fire immediately, by the latter, it mediately discovers to us these several powers; which therefore we look upon to be a part of the qualities of fire, and so make them a part of the complex idea of it.	By the former, fire immediately, by the latter, it mediately discovers to us these several powers; which therefore we look upon to be a part of the qualities of fire, and so make them a part of the complex idea of it.	true	694.85	709.3	19.608044
8705_290361_000014_000006	For all those powers that we take cognizance of, terminating only in the alteration of some sensible qualities in those subjects on which they operate, and so making them exhibit to us new sensible ideas, therefore it is that I have reckoned these powers amongst the simple ideas which make the complex ones of the sorts of substances; though these powers considered in themselves, are truly complex ideas.	For all those powers that we take cognizance of, terminating only in the alteration of some sensible qualities in those subjects on which they operate, and so making them exhibit to us new sensible ideas, therefore it is that I have reckoned these powers amongst the simple ideas which make the complex ones of the sorts of substances; though these powers considered in themselves, are truly complex ideas.	false	709.58	735.07	19.804552
8705_290361_000014_000007	And in this looser sense I crave leave to be understood, when I name any of these POTENTIALITIES among the simple ideas which we recollect in our minds when we think of PARTICULAR SUBSTANCES.	And in this looser sense I crave leave to be understood, when I name any of these POTENTIALITIES among the simple ideas which we recollect in our minds when we think of PARTICULAR SUBSTANCES.	true	735.44	747.97	19.854704
8705_290361_000014_000008	For the powers that are severally in them are necessary to be considered, if we will have true distinct notions of the several sorts of substances.	For the powers that are severally in them are necessary to be considered, if we will have true distinct notions of the several sorts of substances.	true	748.34	759.34	18.0175
8705_290361_000015_000000	8.	eight.	true	760.19	760.9	15
8705_290361_000015_000001	And why.	And why.	true	760.91	761.86	17
8705_290361_000016_000000	Nor are we to wonder that powers make a great part of our complex ideas of substances; since their secondary qualities are those which in most of them serve principally to distinguish substances one from another, and commonly make a considerable part of the complex idea of the several sorts of them.	Nor are we to wonder that powers make a great part of our complex ideas of substances; since their secondary qualities are those which in most of them serve principally to distinguish substances one from another, and commonly make a considerable part of the complex idea of the several sorts of them.	true	762.44	780.61	19
8705_290361_000016_000001	For, our senses failing us in the discovery of the bulk, texture, and figure of the minute parts of bodies, on which their real constitutions and differences depend, we are fain to make use of their secondary qualities as the characteristical notes and marks whereby to frame ideas of them in our minds, and distinguish them one from another: all which secondary qualities, as has been shown, are nothing but bare powers.	For, our senses failing us in the discovery of the bulk, texture, and figure of the minute parts of bodies, on which their real constitutions and differences depend, we are fain to make use of their secondary qualities as the characteristical notes and marks whereby to frame ideas of them in our minds, and distinguish them one from another: all which secondary qualities, as has been shown, are nothing but bare powers.	false	780.92	807.76	20.436865
8705_290361_000016_000002	For the colour and taste of opium are, as well as its soporific or anodyne virtues, mere powers, depending on its primary qualities, whereby it is fitted to produce different operations on different parts of our bodies.	For the colour and taste of opium are, as well as its soporific or anodyne virtues, mere powers, depending on its primary qualities, whereby it is fitted to produce different operations on different parts of our bodies.	false	808.31	823.54	19.970633
8705_290361_000017_000000	9.	nine.	true	824.42	825.28	16
8705_290361_000017_000001	Three sorts of Ideas make our complex ones of Corporeal Substances.	Three sorts of Ideas make our complex ones of Corporeal Substances.	true	825.29	830.05	19.680399
8705_290361_000018_000000	The ideas that make our complex ones of corporeal substances, are of these three sorts.	The ideas that make our complex ones of corporeal substances, are of these three sorts.	true	830.84	836.475	19.554213
8705_290361_000018_000001	First, the ideas of the primary qualities of things, which are discovered by our senses, and are in them even when we perceive them not; such are the bulk, figure, number, situation, and motion of the parts of bodies; which are really in them, whether we take notice of them or not.	First, the ideas of the primary qualities of things, which are discovered by our senses, and are in them even when we perceive them not; such are the bulk, figure, number, situation, and motion of the parts of bodies; which are really in them, whether we take notice of them or not.	true	836.475	854.29	20.39798
8705_290361_000018_000002	Secondly, the sensible secondary qualities, which, depending on these, are nothing but the powers those substances have to produce several ideas in us by our senses; which ideas are not in the things themselves, otherwise than as anything is in its cause. Thirdly, the aptness we consider in any substance, to give or receive such alterations of primary qualities, as that the substance so altered should produce in us different ideas from what it did before; these are called active and passive powers: all which powers, as far as we have any notice or notion of them, terminate only in sensible simple ideas. For whatever alteration a loadstone has the power to make in the minute particles of iron, we should have no notion of any power it had at all to operate on iron, did not its sensible motion discover it: and I doubt not, but there are a thousand changes, that bodies we daily handle have a power to cause in one another, which we never suspect, because they never appear in sensible effects.	Secondly, the sensible secondary qualities, which, depending on these, are nothing but the powers those substances have to produce several ideas in us by our senses; which ideas are not in the things themselves, otherwise than as anything is in its cause. Thirdly, the aptness we consider in any substance, to give or receive such alterations of primary qualities, as that the substance so altered should produce in us different ideas from what it did before; these are called active and passive powers: all which powers, as far as we have any notice or notion of them, terminate only in sensible simple ideas. For whatever alteration a loadstone has the power to make in the minute particles of iron, we should have no notion of any power it had at all to operate on iron, did not its sensible motion discover it: and I doubt not, but there are a thousand changes, that bodies we daily handle have a power to cause in one another, which we never suspect, because they never appear in sensible effects.	false	854.72	917.11	19.896235
8705_290361_000019_000000	10.	ten.	true	917.99	918.67	14.293131
8705_290361_000019_000001	Powers thus make a great Part of our complex Ideas of particular Substances.	Powers thus make a great Part of our complex Ideas of particular Substances.	false	918.8	923.68	18
8705_290361_000020_000000	POWERS therefore justly make a great part of our complex ideas of substances.	POWERS therefore justly make a great part of our complex ideas of substances.	true	924.05	928.93	21
8705_290361_000020_000001	He that will examine his complex idea of gold, will find several of its ideas that make it up to be only powers; as the power of being melted, but of not spending itself in the fire; of being dissolved in AQUA REGIA, are ideas as necessary to make up our complex idea of gold, as its colour and weight: which, if duly considered, are also nothing but different powers.	He that will examine his complex idea of gold, will find several of its ideas that make it up to be only powers; as the power of being melted, but of not spending itself in the fire; of being dissolved in AQUA REGIA, are ideas as necessary to make up our complex idea of gold, as its colour and weight: which, if duly considered, are also nothing but different powers.	false	929.33	954.16	20.152855
8705_290361_000020_000002	For, to speak truly, yellowness is not actually in gold, but is a power in gold to produce that idea in us by our eyes, when placed in a due light: and the heat, which we cannot leave out of our ideas of the sun, is no more really in the sun, than the white colour it introduces into wax.	For, to speak truly, yellowness is not actually in gold, but is a power in gold to produce that idea in us by our eyes, when placed in a due light: and the heat, which we cannot leave out of our ideas of the sun, is no more really in the sun, than the white colour it introduces into wax.	false	954.35	974.17	20.883917
8705_290361_000020_000003	These are both equally powers in the sun, operating, by the motion and figure of its sensible parts, so on a man, as to make him have the idea of heat; and so on wax, as to make it capable to produce in a man the idea of white.	These are both equally powers in the sun, operating, by the motion and figure of its sensible parts, so on a man, as to make him have the idea of heat; and so on wax, as to make it capable to produce in a man the idea of white.	true	974.24	988.99	19.654577
8705_290361_000021_000000	11.	eleven.	true	989.99	990.88	14.420039
8705_290361_000021_000001	The now secondary Qualities of Bodies would disappear, if we could discover the primary ones of their minute Parts.	The now secondary Qualities of Bodies would disappear, if we could discover the primary ones of their minute Parts.	false	990.89	997.84	16
8705_290361_000022_000000	Had we senses acute enough to discern the minute particles of bodies, and the real constitution on which their sensible qualities depend, I doubt not but they would produce quite different ideas in us: and that which is now the yellow colour of gold, would then disappear, and instead of it we should see an admirable texture of parts, of a certain size and figure.	Had we senses acute enough to discern the minute particles of bodies, and the real constitution on which their sensible qualities depend, I doubt not but they would produce quite different ideas in us: and that which is now the yellow colour of gold, would then disappear, and instead of it we should see an admirable texture of parts, of a certain size and figure.	false	998.27	1020.28	19.798985
8705_290361_000022_000001	This microscopes plainly discover to us; for what to our naked eyes produces a certain colour, is, by thus augmenting the acuteness of our senses, discovered to be quite a different thing; and the thus altering, as it were, the proportion of the bulk of the minute parts of a coloured object to our usual sight, produces different ideas from what it did before.	This microscopes plainly discover to us; for what to our naked eyes produces a certain colour, is, by thus augmenting the acuteness of our senses, discovered to be quite a different thing; and the thus altering, as it were, the proportion of the bulk of the minute parts of a coloured object to our usual sight, produces different ideas from what it did before.	false	1020.74	1043.65	20.56362
8705_290361_000022_000002	Thus, sand or pounded glass, which is opaque, and white to the naked eye, is pellucid in a microscope; and a hair seen in this way, loses its former colour, and is, in a great measure, pellucid, with a mixture of some bright sparkling colours, such as appear from the refraction of diamonds, and other pellucid bodies. Blood, to the naked eye, appears all red; but by a good microscope, wherein its lesser parts appear, shows only some few globules of red, swimming in a pellucid liquor, and how these red globules would appear, if glasses could be found that could yet magnify them a thousand or ten thousand times more, is uncertain.	Thus, sand or pounded glass, which is opaque, and white to the naked eye, is pellucid in a microscope; and a hair seen in this way, loses its former colour, and is, in a great measure, pellucid, with a mixture of some bright sparkling colours, such as appear from the refraction of diamonds, and other pellucid bodies. Blood, to the naked eye, appears all red; but by a good microscope, wherein its lesser parts appear, shows only some few globules of red, swimming in a pellucid liquor, and how these red globules would appear, if glasses could be found that could yet magnify them a thousand or ten thousand times more, is uncertain.	false	1044.56	1085.38	17.954407
8705_290361_000023_000000	12.	twelve.	true	1086.53	1087.52	20.39182
8705_290361_000023_000001	Our Faculties for Discovery of the Qualities and powers of Substances suited to our State.	Our Faculties for Discovery of the Qualities and powers of Substances suited to our State.	true	1087.52	1093.33	19.75254
8705_290361_000024_000000	The infinite wise Contriver of us, and all things about us, hath fitted our senses, faculties, and organs, to the conveniences of life, and the business we have to do here.	The infinite wise Contriver of us, and all things about us, hath fitted our senses, faculties, and organs, to the conveniences of life, and the business we have to do here.	true	1093.85	1105.09	20.186457
8705_290361_000024_000001	We are able, by our senses, to know and distinguish things: and to examine them so far as to apply them to our uses, and several ways to accommodate the exigences of this life.	We are able, by our senses, to know and distinguish things: and to examine them so far as to apply them to our uses, and several ways to accommodate the exigences of this life.	true	1105.34	1117.21	19.893353
8705_290361_000024_000002	We have insight enough into their admirable contrivances and wonderful effects, to admire and magnify the wisdom, power and goodness of their Author.	We have insight enough into their admirable contrivances and wonderful effects, to admire and magnify the wisdom, power and goodness of their Author.	false	1117.58	1126.72	17
8705_290361_000024_000003	Such a knowledge as this which is suited to our present condition, we want not faculties to attain.	Such a knowledge as this which is suited to our present condition, we want not faculties to attain.	true	1127.03	1133.23	19.658703
8705_290361_000024_000004	But it appears not that God intended we should have a perfect, clear, and adequate knowledge of them: that perhaps is not in the comprehension of any finite being.	But it appears not that God intended we should have a perfect, clear, and adequate knowledge of them: that perhaps is not in the comprehension of any finite being.	true	1133.75	1143.58	19
8705_290361_000024_000005	We are furnished with faculties (dull and weak as they are) to discover enough in the creatures to lead us to the knowledge of the Creator, and the knowledge of our duty; and we are fitted well enough with abilities to provide for the conveniences of living: these are our business in this world.	We are furnished with faculties (dull and weak as they are) to discover enough in the creatures to lead us to the knowledge of the Creator, and the knowledge of our duty; and we are fitted well enough with abilities to provide for the conveniences of living: these are our business in this world.	false	1143.92	1161.76	20.524286
8705_290361_000024_000006	But were our senses altered, and made much quicker and acuter, the appearance and outward scheme of things would have quite another face to us; and, I am apt to think, would be inconsistent with our being, or at least wellbeing, in the part of the universe which we inhabit.	But were our senses altered, and made much quicker and acuter, the appearance and outward scheme of things would have quite another face to us; and, I am apt to think, would be inconsistent with our being, or at least wellbeing, in the part of the universe which we inhabit.	true	1162.1	1178.56	20.56235
8705_290361_000024_000007	He that considers how little our constitution is able to bear a remove into part of this air, not much higher than that we commonly breathe in, will have reason to be satisfied, that in this globe of earth allotted for our mansion, the all-wise Architect has suited our organs, and the bodies that are to affect them, one to another.	He that considers how little our constitution is able to bear a remove into part of this air, not much higher than that we commonly breathe in, will have reason to be satisfied, that in this globe of earth allotted for our mansion, the all wise Architect has suited our organs, and the bodies that are to affect them, one to another.	true	1179.08	1199.2	19
8705_290361_000024_000008	If our sense of hearing were but a thousand times quicker than it is, how would a perpetual noise distract us.	If our sense of hearing were but a thousand times quicker than it is, how would a perpetual noise distract us.	true	1199.54	1206.73	19.872547
8705_290361_000024_000009	And we should in the quietest retirement be less able to sleep or meditate than in the middle of a sea-fight. Nay, if that most instructive of our senses, seeing, were in any man a thousand or a hundred thousand times more acute than it is by the best microscope, things several millions of times less than the smallest object of his sight now would then be visible to his naked eyes, and so he would come nearer to the discovery of the texture and motion of the minute parts of corporeal things; and in many of them, probably get ideas of their internal constitutions: but then he would be in a quite different world from other people: nothing would appear the same to him and others: the visible ideas of everything would be different.	And we should in the quietest retirement be less able to sleep or meditate than in the middle of a sea fight. Nay, if that most instructive of our senses, seeing, were in any man a thousand or a hundred thousand times more acute than it is by the best microscope, things several millions of times less than the smallest object of his sight now would then be visible to his naked eyes, and so he would come nearer to the discovery of the texture and motion of the minute parts of corporeal things; and in many of them, probably get ideas of their internal constitutions: but then he would be in a quite different world from other people: nothing would appear the same to him and others: the visible ideas of everything would be different.	false	1207.13	1250.8	19
8705_290361_000024_000010	So that I doubt, whether he and the rest of men could discourse concerning the objects of sight, or have any communication about colours, their appearances being so wholly different.	So that I doubt, whether he and the rest of men could discourse concerning the objects of sight, or have any communication about colours, their appearances being so wholly different.	true	1250.96	1260.64	19.546938
8705_290361_000024_000011	And perhaps such a quickness and tenderness of sight could not endure bright sunshine, or so much as open daylight; nor take in but a very small part of any object at once, and that too only at a very near distance.	And perhaps such a quickness and tenderness of sight could not endure bright sunshine, or so much as open daylight; nor take in but a very small part of any object at once, and that too only at a very near distance.	true	1260.98	1275.31	19.465872
