8183_118128_000002_000000	AN IRISH GIRL'S DEVOTION TO FREEDOM.	AN IRISH GIRL'S DEVOTION TO FREEDOM.
8183_118128_000010_000006	Please use your endeavors.	Please use your endeavors.
8183_118128_000011_000000	Yours Respectfuliy,	Yours Respectfuliy,
8183_118128_000013_000000	Direct yours to Mr. Hill.	Direct yours to mr Hill.
8183_118128_000014_000000	SECOND LETTER.	SECOND LETTER.
8183_118128_000015_000000	HAMILTON, Sept. 15th, 1856.	HAMILTON, september fifteenth eighteen fifty six.
8183_118128_000016_000000	To Mr. Still, Dear Sir:--I take this opportunity of addressing these few lines to you hoping to find you in good health I am happy to inform you that Miss Weaver arrived here on Tuesday last, and I can assure you it was indeed a happy day.	To mr Still, Dear Sir:--I take this opportunity of addressing these few lines to you hoping to find you in good health I am happy to inform you that Miss Weaver arrived here on Tuesday last, and I can assure you it was indeed a happy day.
8183_118128_000016_000001	As for your part that you done I will not attempt to tell you how thankful I am, but I hope that you can imagine what my feelings are to you.	As for your part that you done I will not attempt to tell you how thankful I am, but I hope that you can imagine what my feelings are to you.
8183_118128_000016_000002	I cannot find words sufficient to express my gratitude to you, I think the wedding will take place on Tuesday next, I have seen some of the bread from your house, and she says it is the best bread she has had since she has been in America.	I cannot find words sufficient to express my gratitude to you, I think the wedding will take place on Tuesday next, I have seen some of the bread from your house, and she says it is the best bread she has had since she has been in America.
8183_118128_000016_000005	He can be found out by seeing Fountain Tombs who belongs to Mr. Rutherford and if you should not see him, there is James Turner who lives at the Governors, Please to see Captain Bayliss and tell him to take these directions and go to John Hill, in Petersburgh, and he may find him.	He can be found out by seeing Fountain Tombs who belongs to mr Rutherford and if you should not see him, there is james Turner who lives at the Governors, Please to see Captain Bayliss and tell him to take these directions and go to john Hill, in Petersburgh, and he may find him.
8183_118128_000016_000008	C. Mayo, and please to send it as directed.	C. Mayo, and please to send it as directed.
8183_118128_000016_000010	You will greatly oblige me by so doing.	You will greatly oblige me by so doing.
8183_118128_000016_000011	In this letter I have enclosed a trifle for postage which you will please to keep on account of my letters I hope you wont think hard of me but I simply send it because I know you have done enough, and are now doing more, without imposing in the matter I have done it a great many more of our people who you have done so much fore.	In this letter I have enclosed a trifle for postage which you will please to keep on account of my letters I hope you wont think hard of me but I simply send it because I know you have done enough, and are now doing more, without imposing in the matter I have done it a great many more of our people who you have done so much fore.
8183_118128_000017_000000	JOHN HALL, Norton's Hotel, Hamilton.	john HALL, Norton's Hotel, Hamilton.
8183_118128_000018_000000	THIRD LETTER.	THIRD LETTER.
8183_118128_000019_000000	MONDAY, Sept. 29, 56.	monday september twenty ninth fifty six.
8183_118128_000020_000001	I have told him not to pay for them but to send them to you so when you get them write me word what the cost of them are, and I will send you the money for them.	I have told him not to pay for them but to send them to you so when you get them write me word what the cost of them are, and I will send you the money for them.
8183_118128_000020_000002	Mary desires you to give her love to Mrs. Still.	Mary desires you to give her love to mrs Still.
8183_118128_000020_000003	If any letters come for me please to send to me at Nortons Hotel, Please to let me know if you had a letter from me about 12 days ago.	If any letters come for me please to send to me at Nortons Hotel, Please to let me know if you had a letter from me about twelve days ago.
8183_118128_000020_000004	You will please Direct the enclosed to Mr. W.C.	You will please Direct the enclosed to mr w c
8183_118128_000020_000005	Mayo, Richmond, Va.	Mayo, richmond virginia
8183_118128_000020_000006	Let me know if you have heard anything of Willis Johnson Mr. & Mrs. Hill send their kind love to you, they are all well, no more at present from your affect.,	Let me know if you have heard anything of Willis Johnson mr and mrs Hill send their kind love to you, they are all well, no more at present from your affect.,
8183_118128_000021_000000	JOHN HALL	john HALL
8183_118128_000023_000000	FOURTH LETTER.	FOURTH LETTER.
8183_118128_000025_000000	DEAR SIR:--I am happy to inform you that we are both enjoying good health and hope you are the same.	DEAR SIR:--I am happy to inform you that we are both enjoying good health and hope you are the same.
8183_118128_000025_000001	I have been expecting a letter from you for some time but I suppose your business has prevented you from writing.	I have been expecting a letter from you for some time but I suppose your business has prevented you from writing.
8183_118128_000025_000002	I suppose you have not heard from any of my friends at Richmond.	I suppose you have not heard from any of my friends at Richmond.
8183_118128_000025_000003	I have been longing to hear some news from that part, you may think "Out of sight and out of mind," but I can assure you, no matter how far I may be, or in what distant land, I shall never forget you, if I can never reach you by letters you may be sure I shall always think of you.	I have been longing to hear some news from that part, you may think "Out of sight and out of mind," but I can assure you, no matter how far I may be, or in what distant land, I shall never forget you, if I can never reach you by letters you may be sure I shall always think of you.
8183_118128_000025_000004	I have found a great many friends in my life, but I must say you are the best one I ever met with, except one, you must know who that is, 'tis one who if I did not consider a friend, I could not consider any other person a friend, and that is Mrs. Hall.	I have found a great many friends in my life, but I must say you are the best one I ever met with, except one, you must know who that is, 'tis one who if I did not consider a friend, I could not consider any other person a friend, and that is mrs Hall.
8183_118128_000025_000005	Please to let me know if the navigation between New York & Richmond is closed.	Please to let me know if the navigation between New York and Richmond is closed.
8183_118128_000025_000006	Please to let me know whether it would be convenient to you to go to New York if it is please let me know what is the expense.	Please to let me know whether it would be convenient to you to go to New York if it is please let me know what is the expense.
8183_118128_000026_000000	JOHN HALL.	john HALL.
8183_118128_000027_000000	Mr. and Mrs. Hill desire their best respects to you and Mrs. Still.	mr and mrs Hill desire their best respects to you and mrs Still.
8183_118128_000028_000000	It cannot be denied that this is a most extraordinary occurrence.	It cannot be denied that this is a most extraordinary occurrence.
8183_118128_000028_000001	In some respects it is without a parallel.	In some respects it is without a parallel.
8183_118128_000028_000002	It was, however, no uncommon thing for white men (slave-holders) in the South to have colored wives and children whom, they did not hesitate to live with and acknowledge by their actions, with their means, and in their wills as the rightful heirs of their substance.	It was, however, no uncommon thing for white men (slave holders) in the South to have colored wives and children whom, they did not hesitate to live with and acknowledge by their actions, with their means, and in their wills as the rightful heirs of their substance.
8183_118128_000028_000003	Probably there is not a state in the Union where such relations have not existed.	Probably there is not a state in the Union where such relations have not existed.
