4592_22178_000000_000000	CHAPTER XVII	CHAPTER seventeen	false	3.69	8.52	24.333727
4592_22178_000018_000000	Supper was over, and Pierre who at first declined to speak about his captivity was gradually led on to do so.	Supper was over, and Pierre who at first declined to speak about his captivity was gradually led on to do so.	true	218.09	223.93	20.980278
4592_22178_000019_000000	"But it's true that you remained in Moscow to kill Napoleon?" Natasha asked with a slight smile.	"But it's true that you remained in Moscow to kill Napoleon?" Natasha asked with a slight smile.	false	224.78	230.8	24.580135
4592_22178_000019_000001	"I guessed it then when we met at the Sukharev tower, do you remember?"	"I guessed it then when we met at the Sukharev tower, do you remember?"	false	230.93	234.28	22.011768
4592_22178_000020_000000	Pierre admitted that it was true, and from that was gradually led by Princess Mary's questions and especially by Natasha's into giving a detailed account of his adventures.	Pierre admitted that it was true, and from that was gradually led by Princess Mary's questions and especially by Natasha's into giving a detailed account of his adventures.	false	234.74	244.3	23.865234
4592_22178_000021_000000	At first he spoke with the amused and mild irony now customary with him toward everybody and especially toward himself, but when he came to describe the horrors and sufferings he had witnessed he was unconsciously carried away and began speaking with the suppressed emotion of a man re-experiencing in recollection strong impressions he has lived through.	At first he spoke with the amused and mild irony now customary with him toward everybody and especially toward himself, but when he came to describe the horrors and sufferings he had witnessed he was unconsciously carried away and began speaking with the suppressed emotion of a man re experiencing in recollection strong impressions he has lived through.	true	244.79	264.31	21.471508
4592_22178_000022_000000	Princess Mary with a gentle smile looked now at Pierre and now at Natasha.	Princess Mary with a gentle smile looked now at Pierre and now at Natasha.	true	264.92	269.2	20
4592_22178_000022_000001	In the whole narrative she saw only Pierre and his goodness.	In the whole narrative she saw only Pierre and his goodness.	true	269.45	272.89	20
4592_22178_000022_000002	Natasha, leaning on her elbow, the expression of her face constantly changing with the narrative, watched Pierre with an attention that never wandered--evidently herself experiencing all that he described.	Natasha, leaning on her elbow, the expression of her face constantly changing with the narrative, watched Pierre with an attention that never wandered-evidently herself experiencing all that he described.	true	273.11	284.95	21.184221
4592_22178_000022_000003	Not only her look, but her exclamations and the brief questions she put, showed Pierre that she understood just what he wished to convey.	Not only her look, but her exclamations and the brief questions she put, showed Pierre that she understood just what he wished to convey.	true	285.2	292.57	22
4592_22178_000022_000004	It was clear that she understood not only what he said but also what he wished to, but could not, express in words.	It was clear that she understood not only what he said but also what he wished to, but could not, express in words.	true	292.91	299.56	21.393991
4592_22178_000022_000005	The account Pierre gave of the incident with the child and the woman for protecting whom he was arrested was this: "It was an awful sight--children abandoned, some in the flames...	The account Pierre gave of the incident with the child and the woman for protecting whom he was arrested was this: "It was an awful sight-children abandoned, some in the flames...	false	300.02	310.54	21.647623
4592_22178_000022_000006	One was snatched out before my eyes... and there were women who had their things snatched off and their earrings torn out..." he flushed and grew confused.	One was snatched out before my eyes... and there were women who had their things snatched off and their earrings torn out..." he flushed and grew confused.	true	310.79	318.81	20.600367
4592_22178_000022_000007	"Then a patrol arrived and all the men--all those who were not looting, that is--were arrested, and I among them."	"Then a patrol arrived and all the men-all those who were not looting, that is-were arrested, and I among them."	true	318.81	325.33	17.347277
4592_22178_000023_000000	"I am sure you're not telling us everything; I am sure you did something..." said Natasha and pausing added, "something fine?"	"I am sure you're not telling us everything; I am sure you did something..." said Natasha and pausing added, "something fine?"	false	326.36	333.19	21.08574
4592_22178_000024_000000	Pierre continued.	Pierre continued.	true	333.74	335.1	27.580734
4592_22178_000024_000001	When he spoke of the execution he wanted to pass over the horrible details, but Natasha insisted that he should not omit anything.	When he spoke of the execution he wanted to pass over the horrible details, but Natasha insisted that he should not omit anything.	true	335.1	341.98	21
4592_22178_000025_000000	Pierre began to tell about Karataev, but paused.	Pierre began to tell about Karataev, but paused.	true	342.59	345.94	23.372025
4592_22178_000025_000001	By this time he had risen from the table and was pacing the room, Natasha following him with her eyes.	By this time he had risen from the table and was pacing the room, Natasha following him with her eyes.	true	346.37	351.79	19.539341
4592_22178_000025_000002	Then he added:	Then he added:	true	352.07	353.2	28.18382
4592_22178_000026_000000	"No, you can't understand what I learned from that illiterate man--that simple fellow."	"No, you can't understand what I learned from that illiterate man-that simple fellow."	true	353.45	358	21.212343
4592_22178_000027_000000	"Yes, yes, go on!" said Natasha.	"Yes, yes, go on!" said Natasha.	true	358.58	360.48	18.758875
4592_22178_000027_000001	"Where is he?"	"Where is he?"	true	360.48	361.39	20.768
4592_22178_000028_000000	"They killed him almost before my eyes."	"They killed him almost before my eyes."	true	362.12	364.18	22.689354
4592_22178_000029_000000	And Pierre, his voice trembling continually, went on to tell of the last days of their retreat, of Karataev's illness and his death.	And Pierre, his voice trembling continually, went on to tell of the last days of their retreat, of Karataev's illness and his death.	true	364.52	372.79	22
4592_22178_000030_000000	He told of his adventures as he had never yet recalled them.	He told of his adventures as he had never yet recalled them.	true	373.22	376.24	20.306751
4592_22178_000030_000001	He now, as it were, saw a new meaning in all he had gone through.	He now, as it were, saw a new meaning in all he had gone through.	false	376.49	380.92	18.213852
4592_22178_000030_000002	Now that he was telling it all to Natasha he experienced that pleasure which a man has when women listen to him--not clever women who when listening either try to remember what they hear to enrich their minds and when opportunity offers to retell it, or who wish to adopt it to some thought of their own and promptly contribute their own clever comments prepared in their little mental workshop--but the pleasure given by real women gifted with a capacity to select and absorb the very best a man shows of himself.	Now that he was telling it all to Natasha he experienced that pleasure which a man has when women listen to him-not clever women who when listening either try to remember what they hear to enrich their minds and when opportunity offers to retell it, or who wish to adopt it to some thought of their own and promptly contribute their own clever comments prepared in their little mental workshop-but the pleasure given by real women gifted with a capacity to select and absorb the very best a man shows of himself.	true	381.17	411.16	22.575592
4592_22178_000030_000003	Natasha without knowing it was all attention: she did not lose a word, no single quiver in Pierre's voice, no look, no twitch of a muscle in his face, nor a single gesture.	Natasha without knowing it was all attention: she did not lose a word, no single quiver in Pierre's voice, no look, no twitch of a muscle in his face, nor a single gesture.	false	411.5	423.1	23.358074
4592_22178_000030_000004	She caught the unfinished word in its flight and took it straight into her open heart, divining the secret meaning of all Pierre's mental travail.	She caught the unfinished word in its flight and took it straight into her open heart, divining the secret meaning of all Pierre's mental travail.	true	423.32	431.53	22.914347
4592_22178_000031_000000	Princess Mary understood his story and sympathized with him, but she now saw something else that absorbed all her attention.	Princess Mary understood his story and sympathized with him, but she now saw something else that absorbed all her attention.	true	432.29	439.12	19.01633
4592_22178_000031_000001	She saw the possibility of love and happiness between Natasha and Pierre, and the first thought of this filled her heart with gladness.	She saw the possibility of love and happiness between Natasha and Pierre, and the first thought of this filled her heart with gladness.	true	439.34	446.95	21.30834
4592_22178_000032_000000	It was three o'clock in the morning.	It was three o'clock in the morning.	true	447.74	449.355	22.022404
4592_22178_000032_000001	The footmen came in with sad and stern faces to change the candles, but no one noticed them.	The footmen came in with sad and stern faces to change the candles, but no one noticed them.	true	449.355	453.88	18
4592_22178_000033_000000	Pierre finished his story.	Pierre finished his story.	false	454.52	456.19	23.042765
4592_22178_000033_000001	Natasha continued to look at him intently with bright, attentive, and animated eyes, as if trying to understand something more which he had perhaps left untold.	Natasha continued to look at him intently with bright, attentive, and animated eyes, as if trying to understand something more which he had perhaps left untold.	true	456.38	464.98	21
4592_22178_000033_000002	Pierre in shamefaced and happy confusion glanced occasionally at her, and tried to think what to say next to introduce a fresh subject.	Pierre in shamefaced and happy confusion glanced occasionally at her, and tried to think what to say next to introduce a fresh subject.	true	465.44	473.74	21.13018
4592_22178_000033_000003	Princess Mary was silent.	Princess Mary was silent.	true	473.99	475.66	22.809717
4592_22178_000033_000004	It occurred to none of them that it was three o'clock and time to go to bed.	It occurred to none of them that it was three o'clock and time to go to bed.	true	475.94	479.29	22.477657
4592_22178_000034_000000	"People speak of misfortunes and sufferings," remarked Pierre, "but if at this moment I were asked: 'Would you rather be what you were before you were taken prisoner, or go through all this again?' then for heaven's sake let me again have captivity and horseflesh!	"People speak of misfortunes and sufferings," remarked Pierre, "but if at this moment I were asked: 'Would you rather be what you were before you were taken prisoner, or go through all this again?' then for heaven's sake let me again have captivity and horseflesh!	false	479.78	493.81	22.610317
4592_22178_000034_000001	We imagine that when we are thrown out of our usual ruts all is lost, but it is only then that what is new and good begins.	We imagine that when we are thrown out of our usual ruts all is lost, but it is only then that what is new and good begins.	false	494.09	500.83	19
4592_22178_000034_000002	While there is life there is happiness.	While there is life there is happiness.	true	501.08	503.34	22.298225
4592_22178_000034_000003	There is much, much before us.	There is much, much before us.	true	503.34	504.9	24
4592_22178_000034_000004	I say this to you," he added, turning to Natasha.	I say this to you," he added, turning to Natasha.	true	504.9	507.7	21.568224
4592_22178_000035_000000	"Yes, yes," she said, answering something quite different.	"Yes, yes," she said, answering something quite different.	true	508.31	511.57	19.647083
4592_22178_000035_000001	"I too should wish nothing but to relive it all from the beginning."	"I too should wish nothing but to relive it all from the beginning."	false	511.7	515.92	22.528559
4592_22178_000036_000000	Pierre looked intently at her.	Pierre looked intently at her.	true	516.89	518.74	28.946981
4592_22178_000037_000000	"Yes, and nothing more," said Natasha.	"Yes, and nothing more," said Natasha.	true	518.93	522.34	20.320414
4592_22178_000038_000000	"It's not true, not true!" cried Pierre.	"It's not true, not true!" cried Pierre.	true	523.55	525.795	27
4592_22178_000038_000001	"I am not to blame for being alive and wishing to live--nor you either."	"I am not to blame for being alive and wishing to live-nor you either."	true	525.795	530.14	20.803005
4592_22178_000039_000000	Suddenly Natasha bent her head, covered her face with her hands, and began to cry.	Suddenly Natasha bent her head, covered her face with her hands, and began to cry.	true	530.54	534.85	21.918095
4592_22178_000040_000000	"What is it, Natasha?" said Princess Mary.	"What is it, Natasha?" said Princess Mary.	true	535.55	537.91	25.484802
4592_22178_000041_000000	"Nothing, nothing." She smiled at Pierre through her tears.	"Nothing, nothing." She smiled at Pierre through her tears.	true	538.46	541.605	20.34221
4592_22178_000041_000001	"Good night!	"Good night!	true	541.605	542.25	31.304888
4592_22178_000041_000002	It is time for bed."	It is time for bed."	false	542.25	543.88	20.30983
4592_22178_000042_000000	Pierre rose and took his leave.	Pierre rose and took his leave.	true	544.52	546.43	22.33603
4592_22178_000043_000000	Princess Mary and Natasha met as usual in the bedroom.	Princess Mary and Natasha met as usual in the bedroom.	false	547.01	550.36	18.02751
4592_22178_000043_000001	They talked of what Pierre had told them.	They talked of what Pierre had told them.	true	550.52	552.61	27.116615
4592_22178_000043_000002	Princess Mary did not express her opinion of Pierre nor did Natasha speak of him.	Princess Mary did not express her opinion of Pierre nor did Natasha speak of him.	true	552.77	557.26	21.708431
4592_22178_000044_000000	"Well, good night, Mary!" said Natasha.	"Well, good night, Mary!" said Natasha.	true	558.11	560.86	24.442467
4592_22178_000044_000001	"Do you know, I am often afraid that by not speaking of him" (she meant Prince Andrew) "for fear of not doing justice to our feelings, we forget him."	"Do you know, I am often afraid that by not speaking of him" (she meant Prince Andrew) "for fear of not doing justice to our feelings, we forget him."	false	561.62	571.78	21.469465
4592_22178_000045_000000	Princess Mary sighed deeply and thereby acknowledged the justice of Natasha's remark, but she did not express agreement in words.	Princess Mary sighed deeply and thereby acknowledged the justice of Natasha's remark, but she did not express agreement in words.	true	572.39	580.42	22.290245
4592_22178_000046_000000	"Is it possible to forget?" said she.	"Is it possible to forget?" said she.	false	580.94	584.82	22.092825
4592_22178_000047_000000	"It did me so much good to tell all about it today.	"It did me so much good to tell all about it today.	true	584.82	587.44	21
4592_22178_000047_000001	It was hard and painful, but good, very good!" said Natasha.	It was hard and painful, but good, very good!" said Natasha.	false	587.81	592.75	23.694736
4592_22178_000047_000002	"I am sure he really loved him.	"I am sure he really loved him.	true	593.39	595.24	20.516409
4592_22178_000047_000003	That is why I told him...	That is why I told him...	true	595.61	597.01	20.356462
4592_22178_000047_000004	Was it all right?" she added, suddenly blushing.	Was it all right?" she added, suddenly blushing.	true	597.35	600.22	27.466497
4592_22178_000048_000000	"To tell Pierre?	"To tell Pierre?	true	600.56	601.72	21.709684
4592_22178_000048_000001	Oh, yes.	Oh, yes.	true	601.85	602.86	30.140959
4592_22178_000048_000002	What a splendid man he is!" said Princess Mary.	What a splendid man he is!" said Princess Mary.	true	603.32	606.16	25.875921
4592_22178_000049_000000	"Do you know, Mary..." Natasha suddenly said with a mischievous smile such as Princess Mary had not seen on her face for a long time, "he has somehow grown so clean, smooth, and fresh--as if he had just come out of a Russian bath; do you understand?	"Do you know, Mary..." Natasha suddenly said with a mischievous smile such as Princess Mary had not seen on her face for a long time, "he has somehow grown so clean, smooth, and fresh-as if he had just come out of a Russian bath; do you understand?	true	606.86	627.85	21.64568
4592_22178_000049_000001	Out of a moral bath.	Out of a moral bath.	true	627.98	629.71	21.81136
4592_22178_000049_000002	Isn't it true?"	Isn't it true?"	true	630.08	631.18	24.642807
4592_22178_000050_000000	"Yes," replied Princess Mary.	"Yes," replied Princess Mary.	true	631.49	633.61	27.52842
4592_22178_000050_000001	"He has greatly improved."	"He has greatly improved."	true	633.86	635.74	18.390198
4592_22178_000051_000000	"With a short coat and his hair cropped; just as if, well, just as if he had come straight from the bath... Papa used to..."	"With a short coat and his hair cropped; just as if, well, just as if he had come straight from the bath... Papa used to..."	true	636.41	644.05	23.134266
4592_22178_000052_000000	"I understand why he" (Prince Andrew) "liked no one so much as him," said Princess Mary.	"I understand why he" (Prince Andrew) "liked no one so much as him," said Princess Mary.	false	644.27	649.93	20.512115
4592_22178_000053_000000	"Yes, and yet he is quite different.	"Yes, and yet he is quite different.	true	650.63	652.87	21.690292
4592_22178_000053_000001	They say men are friends when they are quite different.	They say men are friends when they are quite different.	true	652.97	655.57	20.502316
4592_22178_000053_000002	That must be true.	That must be true.	true	655.64	657.01	26.436388
4592_22178_000053_000003	Really he is quite unlike him-- in everything."	Really he is quite unlike him- in everything."	false	657.35	660.34	20.927727
4592_22178_000054_000000	"Yes, but he's wonderful."	"Yes, but he's wonderful."	true	660.8	662.38	21.385878
4592_22178_000055_000000	"Well, good night," said Natasha.	"Well, good night," said Natasha.	true	663.86	666.43	25.740011
4592_22178_000056_000000	And the same mischievous smile lingered for a long time on her face as if it had been forgotten there.	And the same mischievous smile lingered for a long time on her face as if it had been forgotten there.	false	666.83	685.83	18.553658
