4973_44575_000001_000000	CHAPTER I	CHAPTER one
4973_44575_000029_000001	Either you or your audience are going to possess the positive factor.	Either you or your audience are going to possess the positive factor.
4973_44575_000029_000003	If you assume the negative you are sure to be negative.	If you assume the negative you are sure to be negative.
4973_44575_000029_000005	Summon all your power of self-direction, and remember that though your audience is infinitely more important than you, the truth is more important than both of you, because it is eternal.	Summon all your power of self direction, and remember that though your audience is infinitely more important than you, the truth is more important than both of you, because it is eternal.
4973_44575_000029_000006	If your mind falters in its leadership the sword will drop from your hands.	If your mind falters in its leadership the sword will drop from your hands.
4973_44575_000029_000007	Your assumption of being able to instruct or lead or inspire a multitude or even a small group of people may appall you as being colossal impudence--as indeed it may be; but having once essayed to speak, be courageous.	Your assumption of being able to instruct or lead or inspire a multitude or even a small group of people may appall you as being colossal impudence-as indeed it may be; but having once essayed to speak, be courageous.
4973_44575_000030_000000	Reflect that your audience will not hurt you.	Reflect that your audience will not hurt you.
4973_44575_000031_000000	In facing your audience, pause a moment and look them over--a hundred chances to one they want you to succeed, for what man is so foolish as to spend his time, perhaps his money, in the hope that you will waste his investment by talking dully?	In facing your audience, pause a moment and look them over-a hundred chances to one they want you to succeed, for what man is so foolish as to spend his time, perhaps his money, in the hope that you will waste his investment by talking dully?
4973_44575_000033_000000	Do not make haste to begin--haste shows lack of control.	Do not make haste to begin-haste shows lack of control.
4973_44575_000034_000000	Do not apologize.	Do not apologize.
4973_44575_000034_000001	It ought not to be necessary; and if it is, it will not help.	It ought not to be necessary; and if it is, it will not help.
4973_44575_000034_000002	Go straight ahead.	Go straight ahead.
4973_44575_000035_000001	You will not find it half so bad as you imagined; really, it is like taking a cold plunge: after you are in, the water is fine.	You will not find it half so bad as you imagined; really, it is like taking a cold plunge: after you are in, the water is fine.
4973_44575_000035_000002	In fact, having spoken a few times you will even anticipate the plunge with exhilaration.	In fact, having spoken a few times you will even anticipate the plunge with exhilaration.
4973_44575_000035_000004	Instead of fearing it, you ought to be as anxious as the fox hounds straining at their leashes, or the race horses tugging at their reins.	Instead of fearing it, you ought to be as anxious as the fox hounds straining at their leashes, or the race horses tugging at their reins.
4973_44575_000036_000000	So cast out fear, for fear is cowardly--when it is not mastered.	So cast out fear, for fear is cowardly-when it is not mastered.
4973_44575_000036_000001	The bravest know fear, but they do not yield to it.	The bravest know fear, but they do not yield to it.
4973_44575_000036_000003	In your audience lies some victory for you and the cause you represent.	In your audience lies some victory for you and the cause you represent.
4973_44575_000036_000004	Go win it.	Go win it.
4973_44575_000036_000007	But remember that men erect no monuments and weave no laurels for those who fear to do what they can.	But remember that men erect no monuments and weave no laurels for those who fear to do what they can.
4973_44575_000037_000000	Is all this unsympathetic, do you say?	Is all this unsympathetic, do you say?
4973_44575_000038_000000	Man, what you need is not sympathy, but a push.	Man, what you need is not sympathy, but a push.
4973_44575_000038_000001	No one doubts that temperament and nerves and illness and even praiseworthy modesty may, singly or combined, cause the speaker's cheek to blanch before an audience, but neither can any one doubt that coddling will magnify this weakness.	No one doubts that temperament and nerves and illness and even praiseworthy modesty may, singly or combined, cause the speaker's cheek to blanch before an audience, but neither can any one doubt that coddling will magnify this weakness.
4973_44575_000039_000000	In this foundation chapter we have tried to strike the tone of much that is to follow.	In this foundation chapter we have tried to strike the tone of much that is to follow.
4973_44575_000040_000000	QUESTIONS AND EXERCISES.	QUESTIONS AND EXERCISES.
4973_44575_000041_000000	1.	one.
4973_44575_000041_000001	What is the cause of self-consciousness?	What is the cause of self consciousness?
4973_44575_000042_000001	Why are animals free from it?	Why are animals free from it?
4973_44575_000043_000000	3.	three.
4973_44575_000043_000001	What is your observation regarding self-consciousness in children?	What is your observation regarding self consciousness in children?
4973_44575_000044_000001	Why are you free from it under the stress of unusual excitement?	Why are you free from it under the stress of unusual excitement?
4973_44575_000045_000000	5.	five.
4973_44575_000046_000000	6.	six.
4973_44575_000046_000002	Which is the more important?	Which is the more important?
4973_44575_000047_000000	7.	seven.
4973_44575_000047_000001	What effect does confidence on the part of the speaker have on the audience?	What effect does confidence on the part of the speaker have on the audience?
4973_44575_000048_000000	8.	eight.
4973_44575_000048_000001	Write out a two-minute speech on "Confidence and Cowardice."	Write out a two minute speech on "Confidence and Cowardice."
4973_44575_000049_000000	9.	nine.
4973_44575_000049_000002	In this connection read the chapter on "Right Thinking and Personality."	In this connection read the chapter on "Right Thinking and Personality."
4973_44575_000050_000000	10.	ten.
4973_44575_000050_000001	Write out very briefly any experience you may have had involving the teachings of this chapter.	Write out very briefly any experience you may have had involving the teachings of this chapter.
4973_44575_000051_000000	11.	eleven.
