4973_44575_000000_000000	--WILLIAM PENN.	--WILLIAM PENN.	false	12.48	22.365	24.826748
4973_44575_000009_000000	Practise, _practise_, _PRACTISE_ in speaking before an audience will tend to remove all fear of audiences, just as practise in swimming will lead to confidence and facility in the water.	Practise, underscore practise underscore, underscore PRACTISE underscore in speaking before an audience will tend to remove all fear of audiences, just as practise in swimming will lead to confidence and facility in the water.	false	137.54	148.03	24.643871
4973_44575_000009_000001	You must learn to speak by speaking.	You must learn to speak by speaking.	true	148.22	150.43	27.760548
4973_44575_000010_000000	The Apostle Paul tells us that every man must work out his own salvation.	The Apostle Paul tells us that every man must work out his own salvation.	true	152.03	155.95	23
4973_44575_000010_000001	All we can do here is to offer you suggestions as to how best to prepare for your plunge.	All we can do here is to offer you suggestions as to how best to prepare for your plunge.	true	156.29	161.11	22
4973_44575_000010_000002	The real plunge no one can take for you.	The real plunge no one can take for you.	true	161.72	163.87	28.389326
4973_44575_000010_000003	A doctor may prescribe, but _you_ must take the medicine.	A doctor may prescribe, but underscore you underscore must take the medicine.	false	163.97	167.14	25.604097
4973_44575_000011_000000	Do not be disheartened if at first you suffer from stage-fright.	Do not be disheartened if at first you suffer from stage fright.	true	168.26	171.58	23.918962
4973_44575_000011_000001	Dan Patch was more susceptible to suffering than a superannuated dray horse would be.	Dan Patch was more susceptible to suffering than a superannuated dray horse would be.	true	171.86	176.17	22
4973_44575_000011_000002	It never hurts a fool to appear before an audience, for his capacity is not a capacity for feeling.	It never hurts a fool to appear before an audience, for his capacity is not a capacity for feeling.	true	176.45	182.2	23.458437
4973_44575_000011_000003	A blow that would kill a civilized man soon heals on a savage.	A blow that would kill a civilized man soon heals on a savage.	true	182.6	186.19	22
4973_44575_000011_000004	The higher we go in the scale of life, the greater is the capacity for suffering.	The higher we go in the scale of life, the greater is the capacity for suffering.	true	186.65	191.17	24.610138
4973_44575_000012_000000	For one reason or another, some master-speakers never entirely overcome stage-fright, but it will pay you to spare no pains to conquer it. Daniel Webster failed in his first appearance and had to take his seat without finishing his speech because he was nervous.	For one reason or another, some master speakers never entirely overcome stage fright, but it will pay you to spare no pains to conquer it. Daniel Webster failed in his first appearance and had to take his seat without finishing his speech because he was nervous.	false	191.69	206.32	24.032974
4973_44575_000012_000001	Gladstone was often troubled with self-consciousness in the beginning of an address. Beecher was always perturbed before talking in public.	Gladstone was often troubled with self consciousness in the beginning of an address. Beecher was always perturbed before talking in public.	false	206.63	214.72	25.860994
4973_44575_000013_000000	Blacksmiths sometimes twist a rope tight around the nose of a horse, and by thus inflicting a little pain they distract his attention from the shoeing process.	Blacksmiths sometimes twist a rope tight around the nose of a horse, and by thus inflicting a little pain they distract his attention from the shoeing process.	false	215.24	223.66	23.76235
4973_44575_000013_000001	One way to get air out of a glass is to pour in water.	One way to get air out of a glass is to pour in water.	false	224.27	228.24	22.054552
4973_44575_000014_000000	_Be Absorbed by Your Subject_	underscore Be Absorbed by Your Subject underscore	false	228.24	232.08	20.38051
4973_44575_000015_000000	Apply the blacksmith's homely principle when you are speaking.	Apply the blacksmith's homely principle when you are speaking.	true	232.08	235.12	25.325699
4973_44575_000015_000001	If you feel deeply about your subject you will be able to think of little else. Concentration is a process of distraction from less important matters. It is too late to think about the cut of your coat when once you are upon the platform, so centre your interest on what you are about to say--fill your mind with your speech-material and, like the infilling water in the glass, it will drive out your unsubstantial fears.	If you feel deeply about your subject you will be able to think of little else. Concentration is a process of distraction from less important matters. It is too late to think about the cut of your coat when once you are upon the platform, so centre your interest on what you are about to say-fill your mind with your speech material and, like the infilling water in the glass, it will drive out your unsubstantial fears.	true	235.4	257.44	23.390173
4973_44575_000016_000000	Self-consciousness is undue consciousness of self, and, for the purpose of delivery, self is secondary to your subject, not only in the opinion of the audience, but, if you are wise, in your own.	Self consciousness is undue consciousness of self, and, for the purpose of delivery, self is secondary to your subject, not only in the opinion of the audience, but, if you are wise, in your own.	true	257.84	269.68	24.43264
4973_44575_000016_000001	To hold any other view is to regard yourself as an exhibit instead of as a messenger with a message worth delivering.	To hold any other view is to regard yourself as an exhibit instead of as a messenger with a message worth delivering.	true	270.47	276.7	20
4973_44575_000016_000002	Do you remember Elbert Hubbard's tremendous little tract, "A Message to Garcia"?	Do you remember Elbert Hubbard's tremendous little tract, "A Message to Garcia"?	true	277.25	282.37	25.1926
4973_44575_000016_000003	The youth subordinated himself to the message he bore.	The youth subordinated himself to the message he bore.	true	282.98	285.79	21.394339
4973_44575_000016_000004	So must you, by all the determination you can muster.	So must you, by all the determination you can muster.	false	286.01	289.15	25.57664
4973_44575_000016_000005	It is sheer egotism to fill your mind with thoughts of self when a greater thing is there--_TRUTH_.	It is sheer egotism to fill your mind with thoughts of self when a greater thing is there-underscore TRUTH underscore.	false	289.43	295.8	21.44816
4973_44575_000016_000006	Say this to yourself sternly, and shame your self-consciousness into quiescence.	Say this to yourself sternly, and shame your self consciousness into quiescence.	true	295.8	300.07	21.34171
4973_44575_000016_000007	If the theater caught fire you could rush to the stage and shout directions to the audience without any self-consciousness, for the importance of what you were saying would drive all fear-thoughts out of your mind.	If the theater caught fire you could rush to the stage and shout directions to the audience without any self consciousness, for the importance of what you were saying would drive all fear thoughts out of your mind.	true	300.41	310.54	22.772429
4973_44575_000017_000000	Far worse than self-consciousness through fear of doing poorly is self-consciousness through assumption of doing well.	Far worse than self consciousness through fear of doing poorly is self consciousness through assumption of doing well.	true	311.54	317.38	22.871674
4973_44575_000017_000001	The first sign of greatness is when a man does not attempt to look and act great.	The first sign of greatness is when a man does not attempt to look and act great.	true	318.23	322.36	22.823895
4973_44575_000017_000002	Before you can call yourself a man at all, Kipling assures us, you must "not look too good nor talk too wise."	Before you can call yourself a man at all, Kipling assures us, you must "not look too good nor talk too wise."	true	322.73	328.75	25
4973_44575_000018_000000	Nothing advertises itself so thoroughly as conceit.	Nothing advertises itself so thoroughly as conceit.	true	329.75	333.1	23.438272
4973_44575_000018_000001	One may be so full of self as to be empty.	One may be so full of self as to be empty.	false	333.29	335.865	24.263948
4973_44575_000018_000002	Voltaire said, "We must conceal self-love." But that can not be done.	Voltaire said, "We must conceal self love." But that can not be done.	true	335.865	340.21	25.609028
4973_44575_000018_000003	You know this to be true, for you have recognized overweening self-love in others.	You know this to be true, for you have recognized overweening self love in others.	true	340.31	344.53	20.922415
4973_44575_000018_000004	If you have it, others are seeing it in you.	If you have it, others are seeing it in you.	true	344.96	347.68	19.67632
4973_44575_000018_000005	There are things in this world bigger than self, and in working for them self will be forgotten, or--what is better--remembered only so as to help us win toward higher things.	There are things in this world bigger than self, and in working for them self will be forgotten, or-what is better-remembered only so as to help us win toward higher things.	true	348.05	357.75	23.646303
4973_44575_000019_000000	_Have Something to Say_	underscore Have Something to Say underscore	false	357.75	360.21	20.753294
4973_44575_000020_000000	The trouble with many speakers is that they go before an audience with their minds a blank.	The trouble with many speakers is that they go before an audience with their minds a blank.	true	360.21	364.27	23.876694
4973_44575_000020_000001	It is no wonder that nature, abhorring a vacuum, fills them with the nearest thing handy, which generally happens to be, "I wonder if I am doing this right!	It is no wonder that nature, abhorring a vacuum, fills them with the nearest thing handy, which generally happens to be, "I wonder if I am doing this right!	true	364.61	372.735	23.825912
4973_44575_000020_000002	How does my hair look?	How does my hair look?	true	372.735	373.98	29.188019
4973_44575_000020_000003	I know I shall fail." Their prophetic souls are sure to be right.	I know I shall fail." Their prophetic souls are sure to be right.	true	373.98	377.74	23.681091
4973_44575_000021_000000	It is not enough to be absorbed by your subject--to acquire self-confidence you must have something in which to be confident.	It is not enough to be absorbed by your subject-to acquire self confidence you must have something in which to be confident.	true	378.32	384.4	22.92858
4973_44575_000021_000001	If you go before an audience without any preparation, or previous knowledge of your subject, you ought to be self-conscious--you ought to be ashamed to steal the time of your audience.	If you go before an audience without any preparation, or previous knowledge of your subject, you ought to be self conscious-you ought to be ashamed to steal the time of your audience.	true	384.77	393.36	24.534452
4973_44575_000021_000002	Prepare yourself.	Prepare yourself.	true	393.36	394.6	29.00202
4973_44575_000021_000003	Know what you are going to talk about, and, in general, how you are going to say it.	Know what you are going to talk about, and, in general, how you are going to say it.	true	394.7	399.07	26.281946
4973_44575_000021_000004	Have the first few sentences worked out completely so that you may not be troubled in the beginning to find words.	Have the first few sentences worked out completely so that you may not be troubled in the beginning to find words.	true	399.26	404.59	21
4973_44575_000021_000005	Know your subject better than your hearers know it, and you have nothing to fear.	Know your subject better than your hearers know it, and you have nothing to fear.	true	404.9	408.84	21.24057
4973_44575_000022_000000	_After Preparing for Success, Expect It_	underscore After Preparing for Success, Expect It underscore	false	408.84	413.43	22.770182
4973_44575_000023_000000	Let your bearing be modestly confident, but most of all be modestly confident within.	Let your bearing be modestly confident, but most of all be modestly confident within.	true	413.43	418.24	23.889856
4973_44575_000023_000001	Over-confidence is bad, but to tolerate premonitions of failure is worse, for a bold man may win attention by his very bearing, while a rabbit-hearted coward invites disaster.	Over confidence is bad, but to tolerate premonitions of failure is worse, for a bold man may win attention by his very bearing, while a rabbit hearted coward invites disaster.	true	418.58	429.49	24.340837
4973_44575_000024_000000	Humility is not the personal discount that we must offer in the presence of others--against this old interpretation there has been a most healthy modern reaction.	Humility is not the personal discount that we must offer in the presence of others-against this old interpretation there has been a most healthy modern reaction.	true	430.31	438.52	24
4973_44575_000024_000001	True humility any man who thoroughly knows himself must feel; but it is not a humility that assumes a worm-like meekness; it is rather a strong, vibrant prayer for greater power for service--a prayer that Uriah Heep could never have uttered.	True humility any man who thoroughly knows himself must feel; but it is not a humility that assumes a worm like meekness; it is rather a strong, vibrant prayer for greater power for service-a prayer that Uriah Heep could never have uttered.	false	438.98	452.23	22.61009
4973_44575_000025_000000	Washington Irving once introduced Charles Dickens at a dinner given in the latter's honor.	Washington Irving once introduced Charles Dickens at a dinner given in the latter's honor.	true	452.51	457.03	22.431234
4973_44575_000025_000001	In the middle of his speech Irving hesitated, became embarrassed, and sat down awkwardly.	In the middle of his speech Irving hesitated, became embarrassed, and sat down awkwardly.	true	457.04	462.07	27.230492
4973_44575_000025_000002	Turning to a friend beside him he remarked, "There, I told you I would fail, and I did."	Turning to a friend beside him he remarked, "There, I told you I would fail, and I did."	true	462.35	467.44	24.028677
4973_44575_000026_000000	If you believe you will fail, there is no hope for you.	If you believe you will fail, there is no hope for you.	true	468.2	471.07	25.204823
4973_44575_000026_000001	You will.	You will.	true	471.14	472.03	26.386194
4973_44575_000027_000000	Rid yourself of this I-am-a-poor-worm-in-the-dust idea.	Rid yourself of this I am a poor worm in the dust idea.	true	472.52	475.57	24.31165
4973_44575_000027_000001	You are a god, with infinite capabilities.	You are a god, with infinite capabilities.	true	475.85	478.66	25.258348
4973_44575_000027_000002	"All things are ready if the mind be so." The eagle looks the cloudless sun in the face.	"All things are ready if the mind be so." The eagle looks the cloudless sun in the face.	true	479	483.66	20.004644
4973_44575_000028_000000	_Assume Mastery Over Your Audience_	underscore Assume Mastery Over Your Audience underscore	false	483.66	487.83	22.872425
4973_44575_000029_000000	In public speech, as in electricity, there is a positive and a negative force.	In public speech, as in electricity, there is a positive and a negative force.	false	487.83	492.93	24.3755
4973_44575_000029_000001	Either you or your audience are going to possess the positive factor.	Either you or your audience are going to possess the positive factor.	true	492.93	496.39	20
4973_44575_000029_000002	If you assume it you can almost invariably make it yours.	If you assume it you can almost invariably make it yours.	true	496.64	499.87	18
4973_44575_000029_000003	If you assume the negative you are sure to be negative.	If you assume the negative you are sure to be negative.	true	500.15	502.93	22.542423
4973_44575_000029_000004	Assuming a virtue or a vice vitalizes it.	Assuming a virtue or a vice vitalizes it.	false	503.24	506.29	19.951511
4973_44575_000029_000005	Summon all your power of self-direction, and remember that though your audience is infinitely more important than you, the truth is more important than both of you, because it is eternal.	Summon all your power of self direction, and remember that though your audience is infinitely more important than you, the truth is more important than both of you, because it is eternal.	true	506.84	516.28	25.711906
4973_44575_000029_000006	If your mind falters in its leadership the sword will drop from your hands.	If your mind falters in its leadership the sword will drop from your hands.	true	516.71	520.54	23
4973_44575_000029_000007	Your assumption of being able to instruct or lead or inspire a multitude or even a small group of people may appall you as being colossal impudence--as indeed it may be; but having once essayed to speak, be courageous.	Your assumption of being able to instruct or lead or inspire a multitude or even a small group of people may appall you as being colossal impudence-as indeed it may be; but having once essayed to speak, be courageous.	true	520.58	532.8	25.076857
4973_44575_000029_000008	_BE_ courageous--it lies within you to be what you will. _MAKE_ yourself be calm and confident.	underscore BE underscore courageous-it lies within you to be what you will. underscore MAKE underscore yourself be calm and confident.	false	532.8	538.48	23.411987
4973_44575_000030_000000	Reflect that your audience will not hurt you.	Reflect that your audience will not hurt you.	true	538.61	540.79	21.848871
4973_44575_000030_000001	If Beecher in Liverpool had spoken behind a wire screen he would have invited the audience to throw the over-ripe missiles with which they were loaded; but he was a man, confronted his hostile hearers fearlessly--and won them.	If Beecher in Liverpool had spoken behind a wire screen he would have invited the audience to throw the over ripe missiles with which they were loaded; but he was a man, confronted his hostile hearers fearlessly-and won them.	false	541.04	553.81	21.86254
4973_44575_000031_000000	In facing your audience, pause a moment and look them over--a hundred chances to one they want you to succeed, for what man is so foolish as to spend his time, perhaps his money, in the hope that you will waste his investment by talking dully?	In facing your audience, pause a moment and look them over-a hundred chances to one they want you to succeed, for what man is so foolish as to spend his time, perhaps his money, in the hope that you will waste his investment by talking dully?	true	554.45	567.33	21.818533
4973_44575_000032_000000	_Concluding Hints_	underscore Concluding Hints underscore	false	567.33	570.51	19.911245
4973_44575_000033_000000	Do not make haste to begin--haste shows lack of control.	Do not make haste to begin-haste shows lack of control.	true	570.51	574	27.237122
4973_44575_000034_000000	Do not apologize.	Do not apologize.	true	574.34	575.68	28.027363
4973_44575_000034_000001	It ought not to be necessary; and if it is, it will not help.	It ought not to be necessary; and if it is, it will not help.	true	575.78	579.675	23.515804
4973_44575_000034_000002	Go straight ahead.	Go straight ahead.	true	579.675	580.84	22.982042
4973_44575_000035_000000	Take a deep breath, relax, and begin in a quiet conversational tone as though you were speaking to one large friend.	Take a deep breath, relax, and begin in a quiet conversational tone as though you were speaking to one large friend.	false	581.18	588.19	24.430193
4973_44575_000035_000001	You will not find it half so bad as you imagined; really, it is like taking a cold plunge: after you are in, the water is fine.	You will not find it half so bad as you imagined; really, it is like taking a cold plunge: after you are in, the water is fine.	true	588.62	596.14	21.189137
4973_44575_000035_000002	In fact, having spoken a few times you will even anticipate the plunge with exhilaration.	In fact, having spoken a few times you will even anticipate the plunge with exhilaration.	true	596.21	600.82	23
4973_44575_000035_000003	To stand before an audience and make them think your thoughts after you is one of the greatest pleasures you can ever know.	To stand before an audience and make them think your thoughts after you is one of the greatest pleasures you can ever know.	false	602.27	608.43	24.796688
4973_44575_000035_000004	Instead of fearing it, you ought to be as anxious as the fox hounds straining at their leashes, or the race horses tugging at their reins.	Instead of fearing it, you ought to be as anxious as the fox hounds straining at their leashes, or the race horses tugging at their reins.	true	608.43	615.28	21
4973_44575_000036_000000	So cast out fear, for fear is cowardly--when it is not mastered.	So cast out fear, for fear is cowardly-when it is not mastered.	true	615.68	619.99	25.496235
4973_44575_000036_000001	The bravest know fear, but they do not yield to it.	The bravest know fear, but they do not yield to it.	true	620.78	623.98	24.810518
4973_44575_000036_000002	Face your audience pluckily--if your knees quake, _MAKE_ them stop.	Face your audience pluckily-if your knees quake, underscore MAKE underscore them stop.	false	624.11	628.45	27.683638
4973_44575_000036_000003	In your audience lies some victory for you and the cause you represent.	In your audience lies some victory for you and the cause you represent.	true	628.61	632.5	22.313118
4973_44575_000036_000004	Go win it.	Go win it.	true	632.51	633.52	26.812271
4973_44575_000036_000005	Suppose Charles Martell had been afraid to hammer the Saracen at Tours; suppose Columbus had feared to venture out into the unknown West; suppose our forefathers had been too timid to oppose the tyranny of George the Third; suppose that any man who ever did anything worth while had been a coward!	Suppose Charles Martell had been afraid to hammer the Saracen at Tours; suppose Columbus had feared to venture out into the unknown West; suppose our forefathers had been too timid to oppose the tyranny of George the Third; suppose that any man who ever did anything worth while had been a coward!	false	633.8	650.08	24.110977
4973_44575_000036_000006	The world owes its progress to the men who have dared, and you must dare to speak the effective word that is in your heart to speak--for often it requires courage to utter a single sentence.	The world owes its progress to the men who have dared, and you must dare to speak the effective word that is in your heart to speak-for often it requires courage to utter a single sentence.	false	650.45	660.01	25.320536
4973_44575_000036_000007	But remember that men erect no monuments and weave no laurels for those who fear to do what they can.	But remember that men erect no monuments and weave no laurels for those who fear to do what they can.	true	660.32	665.47	20
4973_44575_000037_000000	Is all this unsympathetic, do you say?	Is all this unsympathetic, do you say?	true	666.8	668.98	25.467083
4973_44575_000038_000000	Man, what you need is not sympathy, but a push.	Man, what you need is not sympathy, but a push.	true	669.29	672.4	23.416252
4973_44575_000038_000001	No one doubts that temperament and nerves and illness and even praiseworthy modesty may, singly or combined, cause the speaker's cheek to blanch before an audience, but neither can any one doubt that coddling will magnify this weakness.	No one doubts that temperament and nerves and illness and even praiseworthy modesty may, singly or combined, cause the speaker's cheek to blanch before an audience, but neither can any one doubt that coddling will magnify this weakness.	true	672.74	685.56	22
4973_44575_000038_000002	The victory lies in a fearless frame of mind.	The victory lies in a fearless frame of mind.	false	685.56	688.62	21.584341
4973_44575_000038_000003	Prof. Walter Dill Scott says: "Success or failure in business is caused more by mental attitude even than by mental capacity." Banish the fear-attitude; acquire the confident attitude.	prof Walter Dill Scott says: "Success or failure in business is caused more by mental attitude even than by mental capacity." Banish the fear attitude; acquire the confident attitude.	false	688.62	700.455	24.632004
4973_44575_000038_000004	And remember that the only way to acquire it is--_to acquire it_.	And remember that the only way to acquire it is-underscore to acquire it underscore.	false	700.455	705.06	21.798897
4973_44575_000039_000000	In this foundation chapter we have tried to strike the tone of much that is to follow.	In this foundation chapter we have tried to strike the tone of much that is to follow.	true	705.06	709.54	24.36007
4973_44575_000039_000001	Many of these ideas will be amplified and enforced in a more specific way; but through all these chapters on an art which Mr. Gladstone believed to be more powerful than the public press, the note of _justifiable self-confidence_ must sound again and again.	Many of these ideas will be amplified and enforced in a more specific way; but through all these chapters on an art which mr Gladstone believed to be more powerful than the public press, the note of underscore justifiable self confidence underscore must sound again and again.	false	709.91	725.92	23.305584
4973_44575_000040_000000	QUESTIONS AND EXERCISES.	QUESTIONS AND EXERCISES.	true	728.63	730.57	20.874401
4973_44575_000041_000000	1.	one.	true	731.18	731.83	22.553198
4973_44575_000041_000001	What is the cause of self-consciousness?	What is the cause of self consciousness?	true	732.11	734.1	24
4973_44575_000042_000000	2.	two.	false	734.1	736.41	18.426476
4973_44575_000042_000001	Why are animals free from it?	Why are animals free from it?	true	736.41	737.95	21.46239
4973_44575_000043_000000	3.	three.	true	739.16	739.96	22.210138
4973_44575_000043_000001	What is your observation regarding self-consciousness in children?	What is your observation regarding self consciousness in children?	true	740.27	743.4	20
4973_44575_000044_000000	4.	four.	false	743.4	746.43	18.780293
4973_44575_000044_000001	Why are you free from it under the stress of unusual excitement?	Why are you free from it under the stress of unusual excitement?	true	746.43	749.56	22.75257
4973_44575_000045_000000	5.	five.	true	751.94	752.83	25.144617
4973_44575_000045_000001	How does moderate excitement affect you?	How does moderate excitement affect you?	false	752.9	759.12	22.107079
4973_44575_000046_000000	6.	six.	true	759.12	759.69	29.863827
4973_44575_000046_000001	What are the two fundamental requisites for the acquiring of self-confidence?	What are the two fundamental requisites for the acquiring of self confidence?	false	759.69	763.84	23.338894
4973_44575_000046_000002	Which is the more important?	Which is the more important?	true	764.33	765.88	21.543402
4973_44575_000047_000000	7.	seven.	true	767.09	767.86	27.930147
4973_44575_000047_000001	What effect does confidence on the part of the speaker have on the audience?	What effect does confidence on the part of the speaker have on the audience?	true	768.08	771.67	22.883373
4973_44575_000048_000000	8.	eight.	true	772.79	773.5	31.230883
4973_44575_000048_000001	Write out a two-minute speech on "Confidence and Cowardice."	Write out a two minute speech on "Confidence and Cowardice."	true	773.75	777.37	26.039665
4973_44575_000049_000000	9.	nine.	true	778.67	779.44	23.396088
4973_44575_000049_000001	What effect do habits of thought have on confidence?	What effect do habits of thought have on confidence?	false	779.69	782.47	24.85594
4973_44575_000049_000002	In this connection read the chapter on "Right Thinking and Personality."	In this connection read the chapter on "Right Thinking and Personality."	true	782.87	787.06	25.906984
4973_44575_000050_000000	10.	ten.	true	788.99	789.67	23.36804
4973_44575_000050_000001	Write out very briefly any experience you may have had involving the teachings of this chapter.	Write out very briefly any experience you may have had involving the teachings of this chapter.	true	789.98	794.62	24
4973_44575_000051_000000	11.	eleven.	true	796.07	796.83	26.584116
4973_44575_000051_000001	Give a three-minute talk on "Stage-Fright," including a (kindly) imitation of two or more victims.	Give a three minute talk on "Stage Fright," including a (kindly) imitation of two or more victims.	false	796.83	811.32	21.391197
