5519_39481_000000_000000	One day he tried taking with him the stereoscope and a pack of cards.	One day he tried taking with him the stereoscope and a pack of cards.
5519_39481_000024_000000	"At any rate," he said to himself, "there will be no scandal." He was relieved also because Mr. Tebrick had said nothing about going abroad to disseminate the Gospel.	"At any rate," he said to himself, "there will be no scandal." He was relieved also because mr Tebrick had said nothing about going abroad to disseminate the Gospel.
5519_39481_000024_000001	Canon Fox had been alarmed by the letter, had not answered it, and thought that it was always better to let things be, and never to refer to anything unpleasant.	Canon Fox had been alarmed by the letter, had not answered it, and thought that it was always better to let things be, and never to refer to anything unpleasant.
5519_39481_000024_000003	His eccentricities would never be noticed at Stokoe.	His eccentricities would never be noticed at Stokoe.
5519_39481_000024_000004	Besides that, Mr. Tebrick had said he was happy.	Besides that, mr Tebrick had said he was happy.
5519_39481_000026_000000	"Not an affectionate disposition," then to his coachman: "No, that's all right.	"Not an affectionate disposition," then to his coachman: "No, that's all right.
5519_39481_000028_000000	"True happiness," he said to himself, "is to be found in bestowing love; there is no such happiness as that of the mother for her babe, unless I have attained it in mine for my vixen and her children."	"True happiness," he said to himself, "is to be found in bestowing love; there is no such happiness as that of the mother for her babe, unless I have attained it in mine for my vixen and her children."
5519_39481_000032_000000	At last he must have dropped asleep, for he woke suddenly with all his senses alert, and opening his eyes found a full-grown fox within six feet of him sitting on its haunches like a dog and watching his face with curiosity.	At last he must have dropped asleep, for he woke suddenly with all his senses alert, and opening his eyes found a full grown fox within six feet of him sitting on its haunches like a dog and watching his face with curiosity.
5519_39481_000032_000001	Mr. Tebrick saw instantly that it was not Silvia.	mr Tebrick saw instantly that it was not Silvia.
5519_39481_000032_000003	It was the same dark beast with a large white tag to his brush.	It was the same dark beast with a large white tag to his brush.
5519_39481_000032_000004	Now the secret was out and Mr. Tebrick could see his rival before him.	Now the secret was out and mr Tebrick could see his rival before him.
5519_39481_000032_000005	Here was the real father of his godchildren, who could be certain of their taking after him, and leading over again his wild and rakish life.	Here was the real father of his godchildren, who could be certain of their taking after him, and leading over again his wild and rakish life.
5519_39481_000033_000000	"By Gad! we two have been strangely brought together!"	"By Gad! we two have been strangely brought together!"
5519_39481_000035_000000	"We would both of us give our lives for theirs," he said to himself as he reasoned upon it, "we both of us are happy chiefly in their company. What pride this fellow must feel to have such a wife, and such children taking after him.	"We would both of us give our lives for theirs," he said to himself as he reasoned upon it, "we both of us are happy chiefly in their company. What pride this fellow must feel to have such a wife, and such children taking after him.
5519_39481_000035_000001	And has he not reason for his pride?	And has he not reason for his pride?
5519_39481_000035_000003	For half the year he is hunted, everywhere dogs pursue him, men lay traps for him or menace him. He owes nothing to another."	For half the year he is hunted, everywhere dogs pursue him, men lay traps for him or menace him. He owes nothing to another."
5519_39481_000036_000002	He could see that Silvia had been hunting with her cubs, and also that she had forgotten that he would come that morning, for she started when she saw him, and though she carelessly licked his hand, he could see that her thoughts were not with him.	He could see that Silvia had been hunting with her cubs, and also that she had forgotten that he would come that morning, for she started when she saw him, and though she carelessly licked his hand, he could see that her thoughts were not with him.
5519_39481_000037_000000	Very soon she led her cubs into the earth, the dog-fox had vanished and Mr. Tebrick was again alone.	Very soon she led her cubs into the earth, the dog fox had vanished and mr Tebrick was again alone.
5519_39481_000037_000001	He did not wait longer but went home.	He did not wait longer but went home.
5519_39481_000038_000001	A hundred times this poor gentleman bit his lip, drew down his torvous brows, and stamped his foot, and cursed himself bitterly, or called his lady bitch.	A hundred times this poor gentleman bit his lip, drew down his torvous brows, and stamped his foot, and cursed himself bitterly, or called his lady bitch.
5519_39481_000039_000000	All that night he was in this mood, and in agony, as if he had broken in the crown of a tooth and bitten on the nerve.	All that night he was in this mood, and in agony, as if he had broken in the crown of a tooth and bitten on the nerve.
