1603_139324_000000_000000	CHAPTER XXIII	CHAPTER twenty three	true	20.91	22.12	20
1603_139324_000003_000002	The rest was in shadow, and the double finely fitting doors through which he came from the swarming Hall of the Atlas made the place very still.	The rest was in shadow, and the double finely fitting doors through which he came from the swarming Hall of the Atlas made the place very still.	true	104.24	111.43	18.954784
1603_139324_000003_000003	The dead thud of these as they closed behind him, the sudden cessation of the tumult in which he had been living for hours, the quivering circle of light, the whispers and quick noiseless movements of vaguely visible attendants in the shadows, had a strange effect upon Graham.	The dead thud of these as they closed behind him, the sudden cessation of the tumult in which he had been living for hours, the quivering circle of light, the whispers and quick noiseless movements of vaguely visible attendants in the shadows, had a strange effect upon Graham.	false	112.07	126.01	18.155693
1603_139324_000003_000004	The huge ears of a phonographic mechanism gaped in a battery for his words, the black eyes of great photographic cameras awaited his beginning, beyond metal rods and coils glittered dimly, and something whirled about with a droning hum.	The huge ears of a phonographic mechanism gaped in a battery for his words, the black eyes of great photographic cameras awaited his beginning, beyond metal rods and coils glittered dimly, and something whirled about with a droning hum.	true	126.59	140.02	20.555975
1603_139324_000003_000005	He walked into the centre of the light, and his shadow drew together black and sharp to a little blot at his feet.	He walked into the centre of the light, and his shadow drew together black and sharp to a little blot at his feet.	true	140.63	146.44	21.045475
1603_139324_000004_000000	The vague shape of the thing he meant to say was already in his mind.	The vague shape of the thing he meant to say was already in his mind.	true	147.26	150.55	17.41633
1603_139324_000004_000001	But this silence, this isolation, the withdrawal from that contagious crowd, this audience of gaping, glaring machines, had not been in his anticipation.	But this silence, this isolation, the withdrawal from that contagious crowd, this audience of gaping, glaring machines, had not been in his anticipation.	true	150.92	159.97	19.747574
1603_139324_000004_000002	All his supports seemed withdrawn together; he seemed to have dropped into this suddenly, suddenly to have discovered himself.	All his supports seemed withdrawn together; he seemed to have dropped into this suddenly, suddenly to have discovered himself.	true	160.85	167.2	19.813421
1603_139324_000004_000003	In a moment he was changed.	In a moment he was changed.	true	167.69	169.42	18.960752
1603_139324_000004_000004	He found that he now feared to be inadequate, he feared to be theatrical, he feared the quality of his voice, the quality of his wit; astonished, he turned to the man in yellow with a propitiatory gesture.	He found that he now feared to be inadequate, he feared to be theatrical, he feared the quality of his voice, the quality of his wit; astonished, he turned to the man in yellow with a propitiatory gesture.	true	169.58	180.1	19.327059
1603_139324_000004_000005	"For a moment," he said, "I must wait.	"For a moment," he said, "I must wait.	true	180.53	182.77	20.891397
1603_139324_000004_000006	I did not think it would be like this.	I did not think it would be like this.	false	183.17	184.9	20.01984
1603_139324_000004_000007	I must think of the thing I have to say."	I must think of the thing I have to say."	true	185.3	187.15	19.288462
1603_139324_000005_000000	While he was still hesitating there came an agitated messenger with news that the foremost aeroplanes were passing over Madrid.	While he was still hesitating there came an agitated messenger with news that the foremost aeroplanes were passing over Madrid.	true	188.27	194.44	21.22192
1603_139324_000006_000000	"What news of the flying stages?" he asked.	"What news of the flying stages?" he asked.	true	195.11	197.14	18.024223
1603_139324_000007_000000	"The people of the south-west wards are ready."	"The people of the south-west wards are ready."	true	197.27	199.3	19
1603_139324_000008_000000	"Ready!"	"Ready!"	true	199.4	200.02	27.076817
1603_139324_000009_000000	He turned impatiently to the blank circles of the lenses again.	He turned impatiently to the blank circles of the lenses again.	false	200.66	203.59	17
1603_139324_000010_000000	"I suppose it must be a sort of speech.	"I suppose it must be a sort of speech.	true	204.23	206.23	18.601336
1603_139324_000010_000001	Would to God I knew certainly the thing that should be said!	Would to God I knew certainly the thing that should be said!	true	206.69	209.38	19.712502
1603_139324_000010_000002	Aeroplanes at Madrid!	Aeroplanes at Madrid!	true	209.54	211	22.942682
1603_139324_000010_000003	They must have started before the main fleet.	They must have started before the main fleet.	true	211.19	213.28	16.784973
1603_139324_000011_000000	"Oh! what can it matter whether I speak well or ill?" he said, and felt the light grow brighter.	"Oh! what can it matter whether I speak well or ill?" he said, and felt the light grow brighter.	true	213.77	218.89	21.099245
1603_139324_000012_000000	He had framed some vague sentence of democratic sentiment when suddenly doubts overwhelmed him.	He had framed some vague sentence of democratic sentiment when suddenly doubts overwhelmed him.	false	219.65	225.24	19.546371
1603_139324_000012_000001	His belief in his heroic quality and calling he found had altogether lost its assured conviction.	His belief in his heroic quality and calling he found had altogether lost its assured conviction.	true	225.24	230.05	18
1603_139324_000012_000002	The picture of a little strutting futility in a windy waste of incomprehensible destinies replaced it.	The picture of a little strutting futility in a windy waste of incomprehensible destinies replaced it.	true	230.51	235.51	17
1603_139324_000012_000003	Abruptly it was perfectly clear to him that this revolt against Ostrog was premature, foredoomed to failure, the impulse of passionate inadequacy against inevitable things.	Abruptly it was perfectly clear to him that this revolt against Ostrog was premature, foredoomed to failure, the impulse of passionate inadequacy against inevitable things.	true	236.18	245.89	20.084532
1603_139324_000012_000004	He thought of that swift flight of aeroplanes like the swoop of Fate towards him.	He thought of that swift flight of aeroplanes like the swoop of Fate towards him.	true	246.53	250.27	19.85513
1603_139324_000012_000005	He was astonished that he could have seen things in any other light.	He was astonished that he could have seen things in any other light.	true	250.67	253.45	19
1603_139324_000012_000006	In that final emergency he debated, thrust debate resolutely aside, determined at all costs to go through with the thing he had undertaken.	In that final emergency he debated, thrust debate resolutely aside, determined at all costs to go through with the thing he had undertaken.	false	254.24	261.43	21.488482
1603_139324_000012_000007	And he could find no word to begin.	And he could find no word to begin.	true	261.92	263.59	16.966885
1603_139324_000012_000008	Even as he stood, awkward, hesitating, with an indiscreet apology for his inability trembling on his lips, came the noise of many people crying out, the running to and fro of feet.	Even as he stood, awkward, hesitating, with an indiscreet apology for his inability trembling on his lips, came the noise of many people crying out, the running to and fro of feet.	true	264.44	274.39	20.770979
1603_139324_000012_000009	"Wait," cried someone, and a door opened.	"Wait," cried someone, and a door opened.	true	274.67	276.91	22.405645
1603_139324_000012_000010	Graham turned, and the watching lights waned.	Graham turned, and the watching lights waned.	true	277.22	279.49	20.699821
1603_139324_000013_000000	Through the open doorway he saw a slight girlish figure approaching.	Through the open doorway he saw a slight girlish figure approaching.	true	280.43	283.48	21
1603_139324_000013_000001	His heart leapt.	His heart leapt.	true	283.58	284.52	24.806152
1603_139324_000013_000002	It was Helen Wotton.	It was Helen Wotton.	true	284.52	285.58	20.7291
1603_139324_000013_000003	The man in yellow came out of the nearer shadows into the circle of light.	The man in yellow came out of the nearer shadows into the circle of light.	true	285.86	289	18
1603_139324_000014_000000	"This is the girl who told us what Ostrog had done," he said.	"This is the girl who told us what Ostrog had done," he said.	true	289.64	292.66	20.622665
1603_139324_000015_000000	She came in very quietly, and stood still, as if she did not want to interrupt Graham's eloquence....	She came in very quietly, and stood still, as if she did not want to interrupt Graham's eloquence....	true	293.06	298.3	20.73325
1603_139324_000015_000001	But his doubts and questionings fled before her presence.	But his doubts and questionings fled before her presence.	true	298.64	301.21	21.487309
1603_139324_000015_000002	He remembered the things that he had meant to say. He faced the cameras again and the light about him grew brighter.	He remembered the things that he had meant to say. He faced the cameras again and the light about him grew brighter.	false	301.7	307.27	18.605423
1603_139324_000015_000003	He turned back to her.	He turned back to her.	true	307.88	309.1	20.184988
1603_139324_000016_000000	"You have helped me," he said lamely--"helped me very much....	"You have helped me," he said lamely-"helped me very much....	true	309.53	312.82	22.258678
1603_139324_000016_000001	This is very difficult."	This is very difficult."	true	313.22	314.68	19.54482
1603_139324_000017_000000	He paused.	He paused.	true	315.32	316.24	18.943256
1603_139324_000017_000001	He addressed himself to the unseen multitudes who stared upon him through those grotesque black eyes.	He addressed himself to the unseen multitudes who stared upon him through those grotesque black eyes.	true	316.91	321.46	21
1603_139324_000017_000002	At first he spoke slowly.	At first he spoke slowly.	true	322.28	323.77	22.041592
1603_139324_000018_000000	"Men and women of the new age," he said; "you have arisen to do battle for the race!...	"Men and women of the new age," he said; "you have arisen to do battle for the race!...	true	324.83	330.31	19.346817
1603_139324_000018_000001	There is no easy victory before us."	There is no easy victory before us."	true	331.04	333.13	17.36476
1603_139324_000019_000000	He stopped to gather words.	He stopped to gather words.	true	333.89	335.41	24.730522
1603_139324_000019_000001	He wished passionately for the gift of moving speech.	He wished passionately for the gift of moving speech.	false	335.78	338.47	21
1603_139324_000020_000000	"This night is a beginning," he said.	"This night is a beginning," he said.	false	339.32	341.11	19.739424
1603_139324_000020_000001	"This battle that is coming, this battle that rushes upon us to-night, is only a beginning.	"This battle that is coming, this battle that rushes upon us to night, is only a beginning.	true	341.36	346.12	19.896225
1603_139324_000020_000002	All your lives, it may be, you must fight.	All your lives, it may be, you must fight.	true	346.67	349	22.653854
1603_139324_000020_000003	Take no thought though I am beaten, though I am utterly overthrown.	Take no thought though I am beaten, though I am utterly overthrown.	true	349.61	353.08	21.82783
1603_139324_000020_000004	I think I may be overthrown."	I think I may be overthrown."	true	353.66	355.21	19.103384
1603_139324_000021_000000	He found the thing in his mind too vague for words.	He found the thing in his mind too vague for words.	true	355.82	358.27	19
1603_139324_000021_000001	He paused momentarily, and broke into vague exhortations, and then a rush of speech came upon him.	He paused momentarily, and broke into vague exhortations, and then a rush of speech came upon him.	true	358.73	364.69	20.315935
1603_139324_000021_000002	Much that he said was but the humanitarian commonplace of a vanished age, but the conviction of his voice touched it to vitality. He stated the case of the old days to the people of the new age, to the girl at his side.	Much that he said was but the humanitarian commonplace of a vanished age, but the conviction of his voice touched it to vitality. He stated the case of the old days to the people of the new age, to the girl at his side.	true	365.39	377.5	19.289293
1603_139324_000022_000000	"I come out of the past to you," he said, "with the memory of an age that hoped.	"I come out of the past to you," he said, "with the memory of an age that hoped.	true	378.38	382.84	19.413857
1603_139324_000022_000001	My age was an age of dreams--of beginnings, an age of noble hopes; throughout the world we had made an end of slavery; throughout the world we had spread the desire and anticipation that wars might cease, that all men and women might live nobly, in freedom and peace....	My age was an age of dreams-of beginnings, an age of noble hopes; throughout the world we had made an end of slavery; throughout the world we had spread the desire and anticipation that wars might cease, that all men and women might live nobly, in freedom and peace....	true	383.39	399.37	19.143562
1603_139324_000022_000002	So we hoped in the days that are past.	So we hoped in the days that are past.	true	399.89	401.83	21.377645
1603_139324_000022_000003	And what of those hopes?	And what of those hopes?	true	402.53	403.81	18.738672
1603_139324_000022_000004	How is it with man after two hundred years?	How is it with man after two hundred years?	true	404.42	406.54	20.084145
1603_139324_000023_000000	"Great cities, vast powers, a collective greatness beyond our dreams.	"Great cities, vast powers, a collective greatness beyond our dreams.	true	407.27	411.7	22.759453
1603_139324_000023_000001	For that we did not work, and that has come.	For that we did not work, and that has come.	true	412.07	414.7	23.117416
1603_139324_000023_000002	But how is it with the little lives that make up this greater life?	But how is it with the little lives that make up this greater life?	false	415.4	418.42	21.82363
1603_139324_000023_000003	How is it with the common lives?	How is it with the common lives?	true	418.85	420.52	20.612087
1603_139324_000023_000004	As it has ever been--sorrow and labour, lives cramped and unfulfilled, lives tempted by power, tempted by wealth, and gone to waste and folly.	As it has ever been-sorrow and labour, lives cramped and unfulfilled, lives tempted by power, tempted by wealth, and gone to waste and folly.	true	421.22	430.66	21.205584
1603_139324_000023_000005	The old faiths have faded and changed, the new faith--.	The old faiths have faded and changed, the new faith-.	true	431.27	434.59	19.782772
1603_139324_000023_000006	Is there a new faith?	Is there a new faith?	true	435.05	436.3	18.501684
1603_139324_000024_000000	"Charity and mercy," he floundered; "beauty and the love of beautiful things--effort and devotion!	"Charity and mercy," he floundered; "beauty and the love of beautiful things-effort and devotion!	true	437.18	442.93	18.374784
1603_139324_000024_000001	Give yourselves as I would give myself--as Christ gave Himself upon the Cross.	Give yourselves as I would give myself-as Christ gave Himself upon the Cross.	true	443.39	448.03	18.456446
1603_139324_000024_000002	It does not matter if you understand. It does not matter if you seem to fail.	It does not matter if you understand. It does not matter if you seem to fail.	true	448.79	453.16	21.1369
1603_139324_000024_000003	You _know_--in the core of your hearts you _know_.	You underscore know underscore--in the core of your hearts you underscore know underscore.	false	453.68	457.38	18.5894
1603_139324_000024_000004	There is no promise, there is no security--nothing to go upon but Faith.	There is no promise, there is no security-nothing to go upon but Faith.	true	457.38	461.53	21.776638
1603_139324_000024_000005	There is no faith but faith--faith which is courage...."	There is no faith but faith-faith which is courage...."	true	461.93	465.61	20.68029
1603_139324_000025_000000	Things that he had long wished to believe, he found that he believed.	Things that he had long wished to believe, he found that he believed.	true	466.49	469.75	19.213156
1603_139324_000025_000001	He spoke gustily, in broken incomplete sentences, but with all his heart and strength, of this new faith within him.	He spoke gustily, in broken incomplete sentences, but with all his heart and strength, of this new faith within him.	true	470.27	476.53	21.663498
1603_139324_000025_000002	He spoke of the greatness of self-abnegation, of his belief in an immortal life of Humanity in which we live and move and have our being.	He spoke of the greatness of self abnegation, of his belief in an immortal life of Humanity in which we live and move and have our being.	true	477.05	484.6	17.388979
1603_139324_000025_000003	His voice rose and fell, and the recording appliances hummed as he spoke, dim attendants watched him out of the shadow....	His voice rose and fell, and the recording appliances hummed as he spoke, dim attendants watched him out of the shadow....	true	485.09	491.68	19.72945
1603_139324_000026_000000	His sense of that silent spectator beside him sustained his sincerity. For a few glorious moments he was carried away; he felt no doubt of his heroic quality, no doubt of his heroic words, he had it all straight and plain.	His sense of that silent spectator beside him sustained his sincerity. For a few glorious moments he was carried away; he felt no doubt of his heroic quality, no doubt of his heroic words, he had it all straight and plain.	true	492.41	505.3	18.810898
1603_139324_000026_000001	His eloquence limped no longer.	His eloquence limped no longer.	true	505.91	507.76	21.37446
1603_139324_000026_000002	And at last he made an end to speaking.	And at last he made an end to speaking.	true	508.13	510.04	20.604937
1603_139324_000026_000003	"Here and now," he cried, "I make my will.	"Here and now," he cried, "I make my will.	true	510.71	513.46	18.120928
1603_139324_000026_000004	All that is mine in the world I give to the people of the world.	All that is mine in the world I give to the people of the world.	true	514.04	517.39	18.346033
1603_139324_000026_000005	All that is mine in the world I give to the people of the world.	All that is mine in the world I give to the people of the world.	true	517.79	520.69	19.469433
1603_139324_000026_000006	To all of you.	To all of you.	true	521.06	522.04	21.725096
1603_139324_000026_000007	I give it to you, and myself I give to you.	I give it to you, and myself I give to you.	true	522.26	525.25	21.309656
1603_139324_000026_000008	And as God wills to-night, I will live for you, or I will die."	And as God wills to night, I will live for you, or I will die."	true	525.77	529.6	19.967018
1603_139324_000027_000000	He ended.	He ended.	true	530.66	531.97	16.541958
1603_139324_000027_000001	He found the light of his present exaltation reflected in the face of the girl.	He found the light of his present exaltation reflected in the face of the girl.	true	532.01	535.66	21
1603_139324_000027_000002	Their eyes met; her eyes were swimming with tears of enthusiasm.	Their eyes met; her eyes were swimming with tears of enthusiasm.	true	536.12	540.19	17.63243
1603_139324_000028_000000	"I knew," she whispered.	"I knew," she whispered.	true	540.86	542.41	16.667168
1603_139324_000028_000001	"Oh! Father of the World--_Sire_!	"Oh! Father of the World-underscore Sire underscore!	false	542.81	545.97	21.723045
1603_139324_000028_000002	I knew you would say these things...."	I knew you would say these things...."	true	545.97	547.6	20
1603_139324_000029_000000	"I have said what I could," he answered lamely and grasped and clung to her outstretched hands.	"I have said what I could," he answered lamely and grasped and clung to her outstretched hands.	false	548.24	561.78	17.450619
