5727_47032_000000_000000	***	asterisk asterisk asterisk	false	0	0.39	100
5727_47032_000006_000000	He left the guest-room, and presently returned with a white paper-fan, on which a silkworm-moth was sleepily reposing.	He left the guest room, and presently returned with a white paper fan, on which a silkworm moth was sleepily reposing.	true	65.21	72.1	21.446346
5727_47032_000007_000000	"We always reserve a few for breeding," he said;--"this one is just out of the cocoon.	"We always reserve a few for breeding," he said;--"this one is just out of the cocoon.	true	73.1	77.95	18.224382
5727_47032_000007_000001	It cannot fly, of course: none of them can fly....	It cannot fly, of course: none of them can fly....	true	78.14	80.77	21.58519
5727_47032_000007_000002	Now look at the eyebrows."	Now look at the eyebrows."	true	80.99	82.75	20.833284
5727_47032_000008_000000	I looked, and saw that the antennae, very short and feathery, were so arched back over the two jewel-specks of eyes in the velvety head, as to give the appearance of a really handsome pair of eye- brows.	I looked, and saw that the antennae, very short and feathery, were so arched back over the two jewel specks of eyes in the velvety head, as to give the appearance of a really handsome pair of eye brows.	false	83.78	96.49	18.718723
5727_47032_000009_000000	Then Niimi took me to see his worms.	Then Niimi took me to see his worms.	true	97.16	99.55	23
5727_47032_000010_000000	In Niimi's neighborhood, where there are plenty of mulberrytrees, many families keep silkworms;--the tending and feeding being mostly done by women and children.	In Niimi's neighborhood, where there are plenty of mulberrytrees, many families keep silkworms;--the tending and feeding being mostly done by women and children.	true	101.06	109.84	18.284649
5727_47032_000010_000001	The worms are kept in large oblong trays, elevated upon light wooden stands about three feet high.	The worms are kept in large oblong trays, elevated upon light wooden stands about three feet high.	true	110.54	116.71	19.996035
5727_47032_000010_000002	It is curious to see hundreds of caterpillars feeding all together in one tray, and to hear the soft papery noise which they make while gnawing their mulberry-leaves.	It is curious to see hundreds of caterpillars feeding all together in one tray, and to hear the soft papery noise which they make while gnawing their mulberry leaves.	false	117.47	127.89	18.18485
5727_47032_000010_000003	As they approach maturity, the creatures need almost constant attention.	As they approach maturity, the creatures need almost constant attention.	true	127.89	132.07	20.361889
5727_47032_000010_000004	At brief intervals some expert visits each tray to inspect progress, picks up the plumpest feeders, and decides, by gently rolling them between forefinger and thumb, which are ready to spin.	At brief intervals some expert visits each tray to inspect progress, picks up the plumpest feeders, and decides, by gently rolling them between forefinger and thumb, which are ready to spin.	true	132.68	144.46	19.765604
5727_47032_000010_000005	These are dropped into covered boxes, where they soon swathe themselves out of sight in white floss.	These are dropped into covered boxes, where they soon swathe themselves out of sight in white floss.	true	145.13	151.09	18.844086
5727_47032_000010_000006	A few only of the best are suffered to emerge from their silky sleep,--the selected breeders.	A few only of the best are suffered to emerge from their silky sleep,--the selected breeders.	true	152.03	157.66	18.247393
5727_47032_000010_000007	They have beautiful wings, but cannot use them.	They have beautiful wings, but cannot use them.	true	158.33	161.08	19.718298
5727_47032_000010_000008	They have mouths, but do not eat.	They have mouths, but do not eat.	true	161.36	163.6	20.62409
5727_47032_000010_000009	They only pair, lay eggs, and die.	They only pair, lay eggs, and die.	true	164.27	167.47	22.322844
5727_47032_000010_000010	For thousands of years their race has been so well-cared for, that it can no longer take any care of itself.	For thousands of years their race has been so well cared for, that it can no longer take any care of itself.	true	168.38	174.7	19.55934
5727_47032_000011_000000	It was the evolutional lesson of this latter fact that chiefly occupied me while Niimi and his younger brother (who feeds the worms) were kindly explaining the methods of the industry.	It was the evolutional lesson of this latter fact that chiefly occupied me while Niimi and his younger brother (who feeds the worms) were kindly explaining the methods of the industry.	true	176.45	186.64	18.964296
5727_47032_000011_000001	They told me curious things about different breeds, and also about a wild variety of silkworm that cannot be domesticated:--it spins splendid silk before turning into a vigorous moth which can use its wings to some purpose.	They told me curious things about different breeds, and also about a wild variety of silkworm that cannot be domesticated:--it spins splendid silk before turning into a vigorous moth which can use its wings to some purpose.	true	187.16	200.14	17
5727_47032_000011_000002	But I fear that I did not act like a person who felt interested in the subject; for, even while I tried to listen, I began to muse.	But I fear that I did not act like a person who felt interested in the subject; for, even while I tried to listen, I began to muse.	true	201.08	208.62	19.656273
5727_47032_000012_000000	II	two	false	208.62	213.54	8.535742
5727_47032_000013_000000	First of all, I found myself thinking about a delightful revery by M. Anatole France, in which he says that if he had been the Demiurge, he would have put youth at the end of life instead of at the beginning, and would have otherwise so ordered matters that every human being should have three stages of development, somewhat corresponding to those of the lepidoptera.	First of all, I found myself thinking about a delightful revery by m Anatole France, in which he says that if he had been the Demiurge, he would have put youth at the end of life instead of at the beginning, and would have otherwise so ordered matters that every human being should have three stages of development, somewhat corresponding to those of the lepidoptera.	true	213.54	234.37	18.588259
5727_47032_000013_000001	Then it occurred to me that this fantasy was in substance scarcely more than the delicate modification of a most ancient doctrine, common to nearly all the higher forms of religion.	Then it occurred to me that this fantasy was in substance scarcely more than the delicate modification of a most ancient doctrine, common to nearly all the higher forms of religion.	true	235.16	245.41	18.919865
5727_47032_000014_000000	Western faiths especially teach that our life on earth is a larval state of greedy helplessness, and that death is a pupa- sleep out of which we should soar into everlasting light.	Western faiths especially teach that our life on earth is a larval state of greedy helplessness, and that death is a pupa sleep out of which we should soar into everlasting light.	true	246.74	257.2	17
5727_47032_000014_000001	They tell us that during its sentient existence, the outer body should be thought of only as a kind of caterpillar, and thereafter as a chrysalis;--and they aver that we lose or gain, according to our behavior as larvae, the power to develop wings under the mortal wrapping.	They tell us that during its sentient existence, the outer body should be thought of only as a kind of caterpillar, and thereafter as a chrysalis;--and they aver that we lose or gain, according to our behavior as larvae, the power to develop wings under the mortal wrapping.	true	257.78	273.82	19.009333
5727_47032_000014_000002	Also they tell us not to trouble ourselves about the fact that we see no Psyche-imago detach itself from the broken cocoon: this lack of visual evidence signifies nothing, because we have only the purblind vision of grubs.	Also they tell us not to trouble ourselves about the fact that we see no Psyche imago detach itself from the broken cocoon: this lack of visual evidence signifies nothing, because we have only the purblind vision of grubs.	true	274.88	288.01	19
5727_47032_000014_000003	Our eyes are but half- evolved.	Our eyes are but half evolved.	true	288.41	290.56	16.212196
5727_47032_000014_000004	Do not whole scales of colors invisibly exist above and below the limits of our retinal sensibility?	Do not whole scales of colors invisibly exist above and below the limits of our retinal sensibility?	true	291.05	297.04	13
5727_47032_000014_000005	Even so the butterfly-man exists,--although, as a matter of course, we cannot see him.	Even so the butterfly man exists,--although, as a matter of course, we cannot see him.	true	297.8	303.4	18.682917
5727_47032_000015_000000	But what would become of this human imago in a state of perfect bliss?	But what would become of this human imago in a state of perfect bliss?	true	304.46	308.2	15
5727_47032_000015_000001	From the evolutional point of view the question has interest; and its obvious answer was suggested to me by the history of those silkworms,--which have been domesticated for only a few thousand years.	From the evolutional point of view the question has interest; and its obvious answer was suggested to me by the history of those silkworms,--which have been domesticated for only a few thousand years.	true	309.02	318.97	18.163488
5727_47032_000015_000002	Consider the result of our celestial domestication for--let us say--several millions of years: I mean the final consequence, to the wishers, of being able to gratify every wish at will.	Consider the result of our celestial domestication for-let us say-several millions of years: I mean the final consequence, to the wishers, of being able to gratify every wish at will.	true	319.67	331.06	18.301306
5727_47032_000016_000000	Those silkworms have all that they wish for,--even considerably more.	Those silkworms have all that they wish for,--even considerably more.	true	332.24	336.52	20.226368
5727_47032_000016_000001	Their wants, though very simple, are fundamentally identical with the necessities of mankind,--food, shelter, warmth, safety, and comfort.	Their wants, though very simple, are fundamentally identical with the necessities of mankind,--food, shelter, warmth, safety, and comfort.	true	336.98	345.28	18.465197
5727_47032_000016_000002	Our endless social struggle is mainly for these things.	Our endless social struggle is mainly for these things.	true	345.77	348.88	17.96517
5727_47032_000016_000003	Our dream of heaven is the dream of obtaining them free of cost in pain; and the condition of those silkworms is the realization, in a small way, of our imagined Paradise. (I am not considering the fact that a vast majority of the worms are predestined to torment and the second death; for my theme is of heaven, not of lost souls.	Our dream of heaven is the dream of obtaining them free of cost in pain; and the condition of those silkworms is the realization, in a small way, of our imagined Paradise. (I am not considering the fact that a vast majority of the worms are predestined to torment and the second death; for my theme is of heaven, not of lost souls.	true	349.64	370.27	19.403725
5727_47032_000016_000004	I am speaking of the elect--those worms preordained to salvation and rebirth.) Probably they can feel only very weak sensations: they are certainly incapable of prayer.	I am speaking of the elect-those worms preordained to salvation and rebirth.) Probably they can feel only very weak sensations: they are certainly incapable of prayer.	true	370.76	382.18	19.888174
5727_47032_000016_000005	But if they were able to pray, they could not ask for anything more than they already receive from the youth who feeds and tends them.	But if they were able to pray, they could not ask for anything more than they already receive from the youth who feeds and tends them.	true	383	389.98	17.957943
5727_47032_000016_000006	He is their providence, --a god of whose existence they can be aware in only the vaguest possible way, but just such a god as they require.	He is their providence, --a god of whose existence they can be aware in only the vaguest possible way, but just such a god as they require.	false	390.59	399.49	17.566463
5727_47032_000016_000007	And we should foolishly deem ourselves fortunate to be equally well cared-for in proportion to our more complex wants.	And we should foolishly deem ourselves fortunate to be equally well cared for in proportion to our more complex wants.	false	400.1	406.63	16
5727_47032_000016_000008	Do not our common forms of prayer prove our desire for like attention?	Do not our common forms of prayer prove our desire for like attention?	true	407.96	411.7	19
5727_47032_000016_000009	Is not the assertion of our "need of divine love" an involuntary confession that we wish to be treated like silkworms,--to live without pain by the help of gods?	Is not the assertion of our "need of divine love" an involuntary confession that we wish to be treated like silkworms,--to live without pain by the help of gods?	true	412.28	422.02	18.952354
5727_47032_000016_000010	Yet if the gods were to treat us as we want, we should presently afford fresh evidence,--in the way of what is called "the evidence from degeneration,"--that the great evolutional law is far above the gods.	Yet if the gods were to treat us as we want, we should presently afford fresh evidence,--in the way of what is called "the evidence from degeneration,"--that the great evolutional law is far above the gods.	true	422.72	435.88	19.602976
5727_47032_000017_000000	An early stage of that degeneration would be represented by total incapacity to help ourselves;--then we should begin to lose the use of our higher sense-organs;--later on, the brain would shrink to a vanishing pin-point of matter;--still later we should dwindle into mere amorphous sacs, mere blind stomachs.	An early stage of that degeneration would be represented by total incapacity to help ourselves;--then we should begin to lose the use of our higher sense organs;--later on, the brain would shrink to a vanishing pin point of matter;--still later we should dwindle into mere amorphous sacs, mere blind stomachs.	true	437.75	456.25	18.593153
5727_47032_000017_000001	Such would be the physical consequence of that kind of divine love which we so lazily wish for.	Such would be the physical consequence of that kind of divine love which we so lazily wish for.	true	457.1	462.37	14
5727_47032_000017_000002	The longing for perpetual bliss in perpetual peace might well seem a malevolent inspiration from the Lords of Death and Darkness.	The longing for perpetual bliss in perpetual peace might well seem a malevolent inspiration from the Lords of Death and Darkness.	true	463.07	470.25	16
5727_47032_000017_000003	All life that feels and thinks has been, and can continue to be, only as the product of struggle and pain,-- only as the outcome of endless battle with the Powers of the Universe.	All life that feels and thinks has been, and can continue to be, only as the product of struggle and pain,-- only as the outcome of endless battle with the Powers of the Universe.	false	470.25	482.17	21.00033
5727_47032_000017_000004	And cosmic law is uncompromising.	And cosmic law is uncompromising.	true	482.81	485.32	17
5727_47032_000017_000005	Whatever organ ceases to know pain,--whatever faculty ceases to be used under the stimulus of pain,--must also cease to exist.	Whatever organ ceases to know pain,--whatever faculty ceases to be used under the stimulus of pain,--must also cease to exist.	true	485.42	493.48	19.072636
5727_47032_000017_000006	Let pain and its effort be suspended, and life must shrink back, first into protoplasmic shapelessness, thereafter into dust.	Let pain and its effort be suspended, and life must shrink back, first into protoplasmic shapelessness, thereafter into dust.	true	494.24	502.12	20.741766
5727_47032_000018_000000	Buddhism--which, in its own grand way, is a doctrine of evolution--rationally proclaims its heaven but a higher stage of development through pain, and teaches that even in paradise the cessation of effort produces degradation.	Buddhism-which, in its own grand way, is a doctrine of evolution-rationally proclaims its heaven but a higher stage of development through pain, and teaches that even in paradise the cessation of effort produces degradation.	true	503.6	517.3	19.639095
5727_47032_000018_000001	With equal reasonableness it declares that the capacity for pain in the superhuman world increases always in proportion to the capacity for pleasure. (There is little fault to be found with this teaching from a scientific standpoint,--since we know that higher evolution must involve an increase of sensitivity to pain.) In the Heavens of Desire, says the Shobo-nen-jo-kyo, the pain of death is so great that all the agonies of all the hells united could equal but one-sixteenth part of such pain.(1)	With equal reasonableness it declares that the capacity for pain in the superhuman world increases always in proportion to the capacity for pleasure. (There is little fault to be found with this teaching from a scientific standpoint,--since we know that higher evolution must involve an increase of sensitivity to pain.) In the Heavens of Desire, says the Shobo nen jo kyo, the pain of death is so great that all the agonies of all the hells united could equal but one sixteenth part of such pain.(one)	false	517.82	568.38	18.064571
5727_47032_000019_000000	The foregoing comparison is unnecessarily strong; but the Buddhist teaching about heaven is in substance eminently logical. The suppression of pain--mental or physical,--in any conceivable state of sentient existence, would necessarily involve the suppression also of pleasure;--and certainly all progress, whether moral or material, depends upon the power to meet and to master pain.	The foregoing comparison is unnecessarily strong; but the Buddhist teaching about heaven is in substance eminently logical. The suppression of pain-mental or physical,--in any conceivable state of sentient existence, would necessarily involve the suppression also of pleasure;--and certainly all progress, whether moral or material, depends upon the power to meet and to master pain.	false	568.38	596.32	20.149656
5727_47032_000019_000001	In a silkworm-paradise such as our mundane instincts lead us to desire, the seraph freed from the necessity of toil, and able to satisfy his every want at will, would lose his wings at last, and sink back to the condition of a grub....	In a silkworm paradise such as our mundane instincts lead us to desire, the seraph freed from the necessity of toil, and able to satisfy his every want at will, would lose his wings at last, and sink back to the condition of a grub....	true	596.75	614.28	20.134182
5727_47032_000020_000000	(1) This statement refers only to the Heavens of Sensuous Pleasure,--not to the Paradise of Amida, nor to those heavens into which one enters by the Apparitional Birth.	(one) This statement refers only to the Heavens of Sensuous Pleasure,--not to the Paradise of Amida, nor to those heavens into which one enters by the Apparitional Birth.	false	614.28	614.28	
5727_47032_000020_000001	But even in the highest and most immaterial zones of being,--in the Heavens of Formlessness,--the cessation of effort and of the pain of effort, involves the penalty of rebirth in a lower state of existence.	But even in the highest and most immaterial zones of being,--in the Heavens of Formlessness,--the cessation of effort and of the pain of effort, involves the penalty of rebirth in a lower state of existence.	false	614.28	614.34	-20
5727_47032_000021_000000	III	three	true	614.34	615.07	21.909945
5727_47032_000022_000000	I told the substance of my revery to Niimi.	I told the substance of my revery to Niimi.	true	616.25	618.82	18.368172
5727_47032_000022_000001	He used to be a great reader of Buddhist books.	He used to be a great reader of Buddhist books.	true	619.1	621.58	19.793312
5727_47032_000023_000000	"Well," he said, "I was reminded of a queer Buddhist story by the proverb that you asked me to explain,--The silkworm-moth eyebrow of a woman is the axe that cuts down the wisdom of man.	"Well," he said, "I was reminded of a queer Buddhist story by the proverb that you asked me to explain,--The silkworm moth eyebrow of a woman is the axe that cuts down the wisdom of man.	true	622.79	633.88	19.76314
5727_47032_000023_000001	According to our doctrine, the saying would be as true of life in heaven as of life upon earth....	According to our doctrine, the saying would be as true of life in heaven as of life upon earth....	false	634.61	640.42	19.771996
5727_47032_000023_000002	This is the story:--"When Shaka (1) dwelt in this world, one of his disciples, called Nanda, was bewitched by the beauty of a woman; and Shaka desired to save him from the results of this illusion.	This is the story:--"When Shaka (one) dwelt in this world, one of his disciples, called Nanda, was bewitched by the beauty of a woman; and Shaka desired to save him from the results of this illusion.	false	640.88	658.21	19.12626
5727_47032_000023_000003	So he took Nanda to a wild place in the mountains where there were apes, and showed him a very ugly female ape, and asked him: 'Which is the more beautiful, Nanda, --the woman that you love, or this female ape?' 'Oh, Master!' exclaimed Nanda, 'how can a lovely woman be compared with an ugly ape?' 'Perhaps you will presently find reason to make the comparison yourself,' answered the Buddha;--and instantly by supernatural power he ascended with Nanda to the San-Jusan-Ten, which is the Second of the Six Heavens of Desire.	So he took Nanda to a wild place in the mountains where there were apes, and showed him a very ugly female ape, and asked him: 'Which is the more beautiful, Nanda, --the woman that you love, or this female ape?' 'Oh, Master!' exclaimed Nanda, 'how can a lovely woman be compared with an ugly ape?' 'Perhaps you will presently find reason to make the comparison yourself,' answered the Buddha;--and instantly by supernatural power he ascended with Nanda to the San Jusan Ten, which is the Second of the Six Heavens of Desire.	true	659.27	692.53	19.413527
5727_47032_000023_000004	There, within a palace of jewels, Nanda saw a multitude of heavenly maidens celebrating some festival with music and dance; and the beauty of the least among them incomparably exceeded that of the fairest woman of earth.	There, within a palace of jewels, Nanda saw a multitude of heavenly maidens celebrating some festival with music and dance; and the beauty of the least among them incomparably exceeded that of the fairest woman of earth.	true	693.86	707.29	18.591303
5727_47032_000023_000005	'O Master,' cried Nanda, `what wonderful festival is this?' 'Ask some of those people,' responded Shaka.	'O Master,' cried Nanda, backquote what wonderful festival is this?' 'Ask some of those people,' responded Shaka.	false	707.69	715.48	19.415419
5727_47032_000023_000006	So Nanda questioned one of the celestial maidens; and she said to him:-- 'This festival is to celebrate the good tidings that have been brought to us.	So Nanda questioned one of the celestial maidens; and she said to him:-- 'This festival is to celebrate the good tidings that have been brought to us.	true	716.3	724.42	19.589085
5727_47032_000023_000007	There is now in the human world, among the disciples of Shaka, a most excellent youth called Nanda, who is soon to be reborn into this heaven, and to become our bridegroom, because of his holy life.	There is now in the human world, among the disciples of Shaka, a most excellent youth called Nanda, who is soon to be reborn into this heaven, and to become our bridegroom, because of his holy life.	true	724.94	737.05	17.727959
5727_47032_000023_000008	We wait for him with rejoicing.' This reply filled the heart of Nanda with delight.	We wait for him with rejoicing.' This reply filled the heart of Nanda with delight.	true	737.12	743.59	17.564754
5727_47032_000023_000009	Then the Buddha asked him: 'Is there any one among these maidens, Nanda, equal in beauty to the woman with whom you have been in love?' 'Nay, Master!' answered Nanda; 'even as that woman surpassed in beauty the female ape that we saw on the mountain, so is she herself surpassed by even the least among these.'	Then the Buddha asked him: 'Is there any one among these maidens, Nanda, equal in beauty to the woman with whom you have been in love?' 'Nay, Master!' answered Nanda; 'even as that woman surpassed in beauty the female ape that we saw on the mountain, so is she herself surpassed by even the least among these.'	false	744.29	763.9	19.412966
5727_47032_000024_000000	"Then the Buddha immediately descended with Nanda to the depths of the hells, and took him into a torture-chamber where myriads of men and women were being boiled alive in great caldrons, and otherwise horribly tormented by devils.	"Then the Buddha immediately descended with Nanda to the depths of the hells, and took him into a torture chamber where myriads of men and women were being boiled alive in great caldrons, and otherwise horribly tormented by devils.	false	764.63	777.66	18.42659
5727_47032_000024_000001	Then Nanda found himself standing before a huge vessel which was filled with molten metal;--and he feared and wondered because this vessel had as yet no occupant.	Then Nanda found himself standing before a huge vessel which was filled with molten metal;--and he feared and wondered because this vessel had as yet no occupant.	false	777.66	788.26	19.045168
5727_47032_000024_000002	An idle devil sat beside it, yawning.	An idle devil sat beside it, yawning.	true	788.72	791.17	19.383251
5727_47032_000024_000003	'Master,' Nanda inquired of the Buddha, 'for whom has this vessel been prepared?' 'Ask the devil,' answered Shaka.	'Master,' Nanda inquired of the Buddha, 'for whom has this vessel been prepared?' 'Ask the devil,' answered Shaka.	true	792.11	799.6	19.380417
5727_47032_000024_000004	Nanda did so; and the devil said to him: 'There is a man called Nanda,--now one of Shaka's disciples,--about to be reborn into one of the heavens, on account of his former good actions.	Nanda did so; and the devil said to him: 'There is a man called Nanda,--now one of Shaka's disciples,--about to be reborn into one of the heavens, on account of his former good actions.	true	800.39	811.26	18
5727_47032_000024_000005	But after having there indulged himself, he is to be reborn in this hell; and his place will be in that pot.	But after having there indulged himself, he is to be reborn in this hell; and his place will be in that pot.	true	811.26	818.23	17
5727_47032_000024_000006	I am waiting for him.'" (2)	I am waiting for him.'" (two)	false	818.57	820.65	19.57104
5727_47032_000025_000000	(1) Sakyamuni.	(one) Sakyamuni.	false	820.65	821.94	19.135893
5727_47032_000026_000000	(2) I give the story substantially as it was told to me; but I have not been able to compare it with any published text.	(two) I give the story substantially as it was told to me; but I have not been able to compare it with any published text.	true	821.94	829.18	16.95675
5727_47032_000026_000001	My friend says that he has seen two Chinese versions,--one in the Hongyo-kyo (?), the other in the Zoichi-agon-kyo (Ekottaragamas). In Mr. Henry Clarke Warren's Buddhism in Translations (the most interesting and valuable single volume of its kind that I have ever seen), there is a Pali version of the legend, which differs considerably from the above.--This Nanda, according to Mr. Warren's work, was a prince, and the younger half-brother of Sakyamuni.	My friend says that he has seen two Chinese versions,--one in the Hongyo kyo (?), the other in the Zoichi agon kyo (Ekottaragamas). In mr Henry Clarke Warren's Buddhism in Translations (the most interesting and valuable single volume of its kind that I have ever seen), there is a Pali version of the legend, which differs considerably from the above.--This Nanda, according to mr Warren's work, was a prince, and the younger half brother of Sakyamuni.	false	829.79	875.7	18.751015
