8410_278217_000001_000000	WHAT HAPPENED IN THE BACK PARLOUR OF THE BANKING-HOUSE.	WHAT HAPPENED IN THE BACK PARLOUR OF THE BANKING HOUSE.
8410_278217_000012_000001	The business had gone on without him very well during his absence, and it went on without him now, for his place in India had been assumed by a very clever man, who for twenty years had acted as cashier in the Calcutta house.	The business had gone on without him very well during his absence, and it went on without him now, for his place in India had been assumed by a very clever man, who for twenty years had acted as cashier in the Calcutta house.
8410_278217_000013_000001	All the width of thirty-five years between the present hour and that day might not be wide enough to separate the memory of the past from the thoughts which were busy this morning in the mind of Henry Dunbar.	All the width of thirty five years between the present hour and that day might not be wide enough to separate the memory of the past from the thoughts which were busy this morning in the mind of Henry Dunbar.
8410_278217_000014_000001	He was very pale as he rode citywards, in the comfortable brougham, from the Clarendon; and his face had a stern, fixed look, like a man who has nerved himself to meet some crisis, which he knows is near at hand.	He was very pale as he rode citywards, in the comfortable brougham, from the Clarendon; and his face had a stern, fixed look, like a man who has nerved himself to meet some crisis, which he knows is near at hand.
8410_278217_000015_000000	There was a stoppage upon Ludgate Hill.	There was a stoppage upon Ludgate Hill.
8410_278217_000015_000001	Great wooden barricades and mountains of uprooted paving-stones, amidst which sturdy navigators disported themselves with spades and pickaxes, and wheelbarrows full of rubbish, blocked the way; so the brougham turned into Farringdon Street, and went up Snow Hill, and under the grim black walls of dreadful Newgate.	Great wooden barricades and mountains of uprooted paving stones, amidst which sturdy navigators disported themselves with spades and pickaxes, and wheelbarrows full of rubbish, blocked the way; so the brougham turned into Farringdon Street, and went up Snow Hill, and under the grim black walls of dreadful Newgate.
8410_278217_000016_000000	The vehicle travelled very slowly, for the traffic was concentrated in this quarter by reason of the stoppage on Ludgate Hill, and Mr. Dunbar was able to contemplate at his leisure the black prison-walls, and the men and women selling dogs'-collars under their dismal shadows.	The vehicle travelled very slowly, for the traffic was concentrated in this quarter by reason of the stoppage on Ludgate Hill, and mr Dunbar was able to contemplate at his leisure the black prison walls, and the men and women selling dogs'-collars under their dismal shadows.
8410_278217_000017_000000	It may be that the banker's face grew a shade paler after that contemplation.	It may be that the banker's face grew a shade paler after that contemplation.
8410_278217_000017_000002	But he drew a long breath, and held his head proudly erect as he pushed open the doors and went in.	But he drew a long breath, and held his head proudly erect as he pushed open the doors and went in.
8410_278217_000018_000000	Never since the day of the discovery of the forged bills had that man entered the banking-house.	Never since the day of the discovery of the forged bills had that man entered the banking house.
8410_278217_000018_000001	Dark thoughts came back upon his mind, and the shadows deepened on his face as he gave one rapid glance round the familiar office.	Dark thoughts came back upon his mind, and the shadows deepened on his face as he gave one rapid glance round the familiar office.
8410_278217_000019_000000	He walked straight towards the private parlour in which that well-remembered scene had occurred five-and-thirty years ago.	He walked straight towards the private parlour in which that well remembered scene had occurred five and thirty years ago.
8410_278217_000019_000001	But before he arrived at the door leading from the public offices to the back of the house, he was stopped by a gentlemanly-looking man, who came forward from a desk in some shadowy region, and intercepted the stranger.	But before he arrived at the door leading from the public offices to the back of the house, he was stopped by a gentlemanly looking man, who came forward from a desk in some shadowy region, and intercepted the stranger.
8410_278217_000020_000000	This man was Clement Austin, the cashier.	This man was Clement Austin, the cashier.
8410_278217_000021_000000	"Do you wish to see Mr. Balderby, sir?" he asked.	"Do you wish to see mr Balderby, sir?" he asked.
8410_278217_000022_000000	"Yes.	"Yes.
8410_278217_000022_000001	I have an appointment with him at one o'clock.	I have an appointment with him at one o'clock.
8410_278217_000022_000002	My name is Dunbar."	My name is Dunbar."
8410_278217_000023_000000	The cashier bowed and opened the door.	The cashier bowed and opened the door.
8410_278217_000023_000001	The banker passed across the threshold, which he had not crossed for five-and-thirty years until to-day.	The banker passed across the threshold, which he had not crossed for five and thirty years until to day.
8410_278217_000024_000000	But as Mr. Dunbar went towards the familiar parlour at the back of the banking-house, he stopped for a minute, and looked at the cashier.	But as mr Dunbar went towards the familiar parlour at the back of the banking house, he stopped for a minute, and looked at the cashier.
8410_278217_000025_000000	Clement Austin was scarcely less pale than Henry Dunbar himself.	Clement Austin was scarcely less pale than Henry Dunbar himself.
8410_278217_000025_000002	Now that the meeting had come to pass, he looked at Henry Dunbar with an earnest, scrutinizing gaze, as if he would fain have discovered the secret of the man's guilt or innocence in his countenance.	Now that the meeting had come to pass, he looked at Henry Dunbar with an earnest, scrutinizing gaze, as if he would fain have discovered the secret of the man's guilt or innocence in his countenance.
8410_278217_000028_000000	The banker's gaze never flinched during that encounter.	The banker's gaze never flinched during that encounter.
8410_278217_000028_000001	It is taken as a strong proof of a man's innocence that he should look you full in the face with a steadfast gaze when you look at him with suspicion plainly visible in your eyes; but would he not be the poorest villain if he shirked that encounter of glances when he knows full surely that he is in that moment put to the test?	It is taken as a strong proof of a man's innocence that he should look you full in the face with a steadfast gaze when you look at him with suspicion plainly visible in your eyes; but would he not be the poorest villain if he shirked that encounter of glances when he knows full surely that he is in that moment put to the test?
8410_278217_000028_000002	It is rather innocence whose eyelids drop when you peer too closely into its eyes, for innocence is appalled by the stern, accusing glances which it is unprepared to meet.	It is rather innocence whose eyelids drop when you peer too closely into its eyes, for innocence is appalled by the stern, accusing glances which it is unprepared to meet.
8410_278217_000029_000000	Clement Austin opened the door of Mr. Balderby's parlour; Mr. Dunbar went in unannounced.	Clement Austin opened the door of mr Balderby's parlour; mr Dunbar went in unannounced.
8410_278217_000029_000001	The cashier closed the parlour-door and returned to his desk in the public office.	The cashier closed the parlour door and returned to his desk in the public office.
8410_278217_000030_000000	The junior partner was sitting at an office table near the fire writing, but he rose as the banker entered the room, and went forward to meet him.	The junior partner was sitting at an office table near the fire writing, but he rose as the banker entered the room, and went forward to meet him.
8410_278217_000031_000000	"You are very punctual, Mr. Dunbar," he said.	"You are very punctual, mr Dunbar," he said.
8410_278217_000032_000000	"Yes, I am generally punctual."	"Yes, I am generally punctual."
8410_278217_000034_000000	"It may seem late in the day to bid you welcome to the bank, Mr. Dunbar," said the junior partner, "but I do so, nevertheless--most heartily!"	"It may seem late in the day to bid you welcome to the bank, mr Dunbar," said the junior partner, "but I do so, nevertheless-most heartily!"
8410_278217_000036_000000	Henry Dunbar did not return his partner's greeting.	Henry Dunbar did not return his partner's greeting.
8410_278217_000036_000001	He was looking round the room, and remembering the day upon which he had last seen it.	He was looking round the room, and remembering the day upon which he had last seen it.
8410_278217_000036_000002	There was very little alteration in the appearance of the dismal city chamber. There was the same wire-blind before the window, the same solitary tree, leafless, in the narrow courtyard without.	There was very little alteration in the appearance of the dismal city chamber. There was the same wire blind before the window, the same solitary tree, leafless, in the narrow courtyard without.
8410_278217_000036_000003	The morocco-covered arm-chairs had been re-covered, perhaps, during that five-and-thirty years; but if so, the covering had grown shabby again.	The morocco covered arm chairs had been re-covered, perhaps, during that five and thirty years; but if so, the covering had grown shabby again.
8410_278217_000036_000004	Even the Turkey carpet was in the very stage of dusky dinginess that had distinguished the carpet on which Henry Dunbar had stood five-and-thirty years before.	Even the Turkey carpet was in the very stage of dusky dinginess that had distinguished the carpet on which Henry Dunbar had stood five and thirty years before.
8410_278217_000037_000000	"I received your letter announcing your journey to London, and your desire for a private interview, on Saturday afternoon," Mr. Balderby said, after a pause.	"I received your letter announcing your journey to London, and your desire for a private interview, on Saturday afternoon," mr Balderby said, after a pause.
8410_278217_000037_000001	"I have made arrangements to assure our being undisturbed so long as you may remain here.	"I have made arrangements to assure our being undisturbed so long as you may remain here.
8410_278217_000037_000002	If you wish to make any investigation of the affairs of the house, I----"	If you wish to make any investigation of the affairs of the house, I----"
8410_278217_000038_000000	Mr. Dunbar waved his hand with a deprecatory air.	mr Dunbar waved his hand with a deprecatory air.
8410_278217_000039_000000	"Nothing is farther from my thoughts than any such design," he said. "No, Mr. Balderby, I have only been a man of business because all chance of another career, which I infinitely preferred, was closed upon me five-and-thirty years ago.	"Nothing is farther from my thoughts than any such design," he said. "No, mr Balderby, I have only been a man of business because all chance of another career, which I infinitely preferred, was closed upon me five and thirty years ago.
8410_278217_000039_000001	I am quite content to be a sleeping-partner in the house of Dunbar, Dunbar, and Balderby.	I am quite content to be a sleeping partner in the house of Dunbar, Dunbar, and Balderby.
8410_278217_000039_000002	For ten years prior to my father's death he took no active part in the business.	For ten years prior to my father's death he took no active part in the business.
8410_278217_000039_000003	The house got on very well without his aid; it will get on equally well without mine.	The house got on very well without his aid; it will get on equally well without mine.
8410_278217_000039_000004	The business that brings me to London is an entirely personal matter.	The business that brings me to London is an entirely personal matter.
8410_278217_000039_000005	I am a rich man, but I don't exactly know how rich I am, and I want to realize rather a large sum of money."	I am a rich man, but I don't exactly know how rich I am, and I want to realize rather a large sum of money."
8410_278217_000040_000000	Mr. Balderby bowed, but his eyebrows went up a little, as if he found it impossible to control some slight evidence of his surprise.	mr Balderby bowed, but his eyebrows went up a little, as if he found it impossible to control some slight evidence of his surprise.
8410_278217_000041_000002	So far so good.	So far so good.
8410_278217_000041_000003	Neither Laura nor her husband will have any reason for dissatisfaction.	Neither Laura nor her husband will have any reason for dissatisfaction.
8410_278217_000041_000004	But this is not quite enough, Mr. Balderby.	But this is not quite enough, mr Balderby.
8410_278217_000041_000005	I am not a demonstrative man, and I have never made any great fuss about my love for my daughter; but I do love her, nevertheless."	I am not a demonstrative man, and I have never made any great fuss about my love for my daughter; but I do love her, nevertheless."
8410_278217_000042_000000	Mr. Dunbar spoke very slowly here, and stopped once or twice to pass his handkerchief across his forehead, as he had done in the hotel at Winchester.	mr Dunbar spoke very slowly here, and stopped once or twice to pass his handkerchief across his forehead, as he had done in the hotel at Winchester.
8410_278217_000043_000001	I want to give my daughter a diamond-necklace as a wedding present, and I want it to be such as an Eastern prince or a Rothschild might offer to his only child.	I want to give my daughter a diamond necklace as a wedding present, and I want it to be such as an Eastern prince or a Rothschild might offer to his only child.
8410_278217_000043_000002	You understand?"	You understand?"
8410_278217_000044_000000	"Oh, perfectly," answered Mr. Balderby; "I shall be most happy to be of any use to you in the matter."	"Oh, perfectly," answered mr Balderby; "I shall be most happy to be of any use to you in the matter."
8410_278217_000045_000000	"All I want is a large sum of money at my command.	"All I want is a large sum of money at my command.
8410_278217_000045_000001	I may go rather recklessly to work and make a large investment in this necklace; it will be something for Lady Jocelyn to bequeath to her children.	I may go rather recklessly to work and make a large investment in this necklace; it will be something for Lady Jocelyn to bequeath to her children.
8410_278217_000046_000000	"I did, in concurrence with Mr. Lovell."	"I did, in concurrence with mr Lovell."
8410_278217_000047_000000	"Precisely; Lovell wrote me a letter to that effect.	"Precisely; Lovell wrote me a letter to that effect.
8410_278217_000047_000001	My father kept two accounts here, I believe--a deposit and a drawing account?"	My father kept two accounts here, I believe-a deposit and a drawing account?"
8410_278217_000048_000000	"He did."	"He did."
8410_278217_000049_000000	"And those two accounts have gone on since my return in the same manner as during his lifetime?"	"And those two accounts have gone on since my return in the same manner as during his lifetime?"
8410_278217_000050_000000	"Precisely.	"Precisely.
8410_278217_000050_000001	The income which Mr. Percival Dunbar set aside for his own use was seven thousand a year.	The income which mr Percival Dunbar set aside for his own use was seven thousand a year.
8410_278217_000050_000002	He rarely, spent as much as that; sometimes he spent less than half.	He rarely, spent as much as that; sometimes he spent less than half.
8410_278217_000050_000003	The balance of this income, and his double share in the profits of the business, went to the credit of his deposit account, and various sums have been withdrawn from time to time, and duly invested under his order."	The balance of this income, and his double share in the profits of the business, went to the credit of his deposit account, and various sums have been withdrawn from time to time, and duly invested under his order."
8410_278217_000051_000000	"Perhaps you can let me see the ledgers containing those two accounts?"	"Perhaps you can let me see the ledgers containing those two accounts?"
8410_278217_000052_000000	"Most certainly."	"Most certainly."
8410_278217_000053_000000	Mr. Balderby touched the spring of a handbell upon his table.	mr Balderby touched the spring of a handbell upon his table.
8410_278217_000055_000000	Clement Austin appeared five minutes afterwards, carrying two ponderous morocco-bound volumes.	Clement Austin appeared five minutes afterwards, carrying two ponderous morocco bound volumes.
8410_278217_000056_000000	Mr. Balderby opened both ledgers, and placed them before his senior partner.	mr Balderby opened both ledgers, and placed them before his senior partner.
8410_278217_000056_000001	Henry Dunbar looked at the deposit account.	Henry Dunbar looked at the deposit account.
8410_278217_000056_000002	His eyes ran eagerly down the long row of figures before him until they came to the sum total.	His eyes ran eagerly down the long row of figures before him until they came to the sum total.
8410_278217_000056_000003	Then his chest heaved, and he drew a long breath, like a man who feels almost stifled by some internal oppression.	Then his chest heaved, and he drew a long breath, like a man who feels almost stifled by some internal oppression.
8410_278217_000057_000000	The last figures in the page were these:	The last figures in the page were these:
8410_278217_000059_000001	The twopence seemed a ridiculous anti-climax; but business-men are necessarily as exact in figures as calculating-machines.	The twopence seemed a ridiculous anti climax; but business men are necessarily as exact in figures as calculating machines.
8410_278217_000060_000000	"How is this money invested?" asked Henry Dunbar, pointing to the page. His fingers trembled a little as he did so, and he dropped his hand suddenly upon the ledger.	"How is this money invested?" asked Henry Dunbar, pointing to the page. His fingers trembled a little as he did so, and he dropped his hand suddenly upon the ledger.
8410_278217_000061_000000	"There's fifty thousand in India stock," Mr. Balderby answered, as indifferently as if fifty thousand pounds more or less was scarcely worth speaking of; "and there's five-and-twenty in railway debentures, Great Western.	"There's fifty thousand in India stock," mr Balderby answered, as indifferently as if fifty thousand pounds more or less was scarcely worth speaking of; "and there's five and twenty in railway debentures, Great Western.
8410_278217_000061_000001	Most of the remainder is floating in Exchequer bills."	Most of the remainder is floating in Exchequer bills."
8410_278217_000062_000000	"Then you can realize the Exchequer bills?"	"Then you can realize the Exchequer bills?"
8410_278217_000063_000000	Mr. Balderby winced as if some one had trodden upon one of his corns.	mr Balderby winced as if some one had trodden upon one of his corns.
8410_278217_000063_000001	He was a banker heart and soul, and he did not at all relish the idea of any withdrawal of the bank's resources, however firm that establishment might stand.	He was a banker heart and soul, and he did not at all relish the idea of any withdrawal of the bank's resources, however firm that establishment might stand.
8410_278217_000064_000000	"It's rather a large amount of capital to withdraw from the business," he said, rubbing his chin, thoughtfully.	"It's rather a large amount of capital to withdraw from the business," he said, rubbing his chin, thoughtfully.
8410_278217_000065_000000	"I suppose the bank can afford it!" Mr. Dunbar exclaimed, with a tone of surprise.	"I suppose the bank can afford it!" mr Dunbar exclaimed, with a tone of surprise.
8410_278217_000066_000000	"Oh, yes; the bank can afford it well enough.	"Oh, yes; the bank can afford it well enough.
8410_278217_000066_000001	Our calls are sometimes heavy.	Our calls are sometimes heavy.
8410_278217_000066_000002	Lord Yarsfield--a very old customer--talks of buying an estate in Wales; he may come down upon us at any moment for a very stiff sum of money.	Lord Yarsfield-a very old customer-talks of buying an estate in Wales; he may come down upon us at any moment for a very stiff sum of money.
8410_278217_000066_000003	However, the capital is yours, Mr. Dunbar; and you've a right to dispose of it as you please.	However, the capital is yours, mr Dunbar; and you've a right to dispose of it as you please.
8410_278217_000066_000004	The Exchequer bills shall be realized immediately."	The Exchequer bills shall be realized immediately."
8410_278217_000067_000000	"Good; and if you can dispose of the railway bonds to advantage, you may do so."	"Good; and if you can dispose of the railway bonds to advantage, you may do so."
8410_278217_000068_000000	"You think of spending----"	"You think of spending----"
8410_278217_000069_000000	"I think of reinvesting the money.	"I think of reinvesting the money.
8410_278217_000069_000001	I have an offer of an estate north of the metropolis, which I think will realize cent per cent a few years hence: but that is an after consideration.	I have an offer of an estate north of the metropolis, which I think will realize cent per cent a few years hence: but that is an after consideration.
8410_278217_000069_000003	I shall buy the diamonds myself, direct from the merchant-importers.	I shall buy the diamonds myself, direct from the merchant importers.
8410_278217_000069_000004	You will hold yourself ready after Wednesday, we'll say, to cash some very heavy cheques on my account?"	You will hold yourself ready after Wednesday, we'll say, to cash some very heavy cheques on my account?"
8410_278217_000070_000000	"Certainly, Mr. Dunbar."	"Certainly, mr Dunbar."
8410_278217_000071_000000	"Then I think that is really all I have to say.	"Then I think that is really all I have to say.
8410_278217_000072_000000	There was very little heartiness in the tone of this invitation; and Mr. Balderby perfectly understood that it was only a formula which Mr. Dunbar felt himself called upon to go through.	There was very little heartiness in the tone of this invitation; and mr Balderby perfectly understood that it was only a formula which mr Dunbar felt himself called upon to go through.
8410_278217_000072_000001	The junior partner murmured his acknowledgment of Henry Dunbar's politeness; and then the two men talked together for a few minutes on indifferent subjects.	The junior partner murmured his acknowledgment of Henry Dunbar's politeness; and then the two men talked together for a few minutes on indifferent subjects.
8410_278217_000073_000000	Five minutes afterwards Mr. Dunbar rose to leave the room.	Five minutes afterwards mr Dunbar rose to leave the room.
8410_278217_000073_000002	This passage was very dark; but the offices were well lighted by lofty plate-glass windows.	This passage was very dark; but the offices were well lighted by lofty plate glass windows.
8410_278217_000073_000003	Between the end of the passage and the outer doors of the bank, Henry Dunbar saw the figure of a woman sitting near one of the desks and talking to Clement Austin.	Between the end of the passage and the outer doors of the bank, Henry Dunbar saw the figure of a woman sitting near one of the desks and talking to Clement Austin.
8410_278217_000074_000000	The banker stopped suddenly, and went back to the parlour.	The banker stopped suddenly, and went back to the parlour.
8410_278217_000075_000000	He looked about him a little absently as he re-entered the room.	He looked about him a little absently as he re-entered the room.
8410_278217_000077_000001	"I don't remember seeing one in your hand."	"I don't remember seeing one in your hand."
8410_278217_000078_000000	"Ah, then, I suppose I was mistaken."	"Ah, then, I suppose I was mistaken."
8410_278217_000079_000000	He still lingered in the parlour, putting on his gloves very slowly, and looking out of the window into the dismal backyard, where there was a dingy little wooden door set deep in the stone wall.	He still lingered in the parlour, putting on his gloves very slowly, and looking out of the window into the dismal backyard, where there was a dingy little wooden door set deep in the stone wall.
8410_278217_000080_000000	While the banker loitered near the window, Clement Austin came into the room, to show some document to the junior partner.	While the banker loitered near the window, Clement Austin came into the room, to show some document to the junior partner.
8410_278217_000080_000001	Henry Dunbar turned round as the cashier was about to leave the parlour.	Henry Dunbar turned round as the cashier was about to leave the parlour.
8410_278217_000081_000001	That's not very business-like, is it, Mr. Austin?	That's not very business like, is it, mr Austin?
8410_278217_000081_000002	Who is the woman?"	Who is the woman?"
8410_278217_000082_000000	"She is a young lady, sir."	"She is a young lady, sir."
8410_278217_000083_000000	"A young lady?"	"A young lady?"
8410_278217_000084_000000	"Yes, sir."	"Yes, sir."
8410_278217_000085_000000	"What brings her here?"	"What brings her here?"
8410_278217_000086_000000	The cashier hesitated for a moment before he replied, "She--wishes to see you, Mr. Dunbar," he said, after that brief pause.	The cashier hesitated for a moment before he replied, "She-wishes to see you, mr Dunbar," he said, after that brief pause.
8410_278217_000087_000000	"What is her name?--who--who is she?"	"What is her name?--who-who is she?"
8410_278217_000090_000000	"Shut that door, sir!" he said, impatiently, to the cashier; "the draught from the passage is strong enough to cut a man in two.	"Shut that door, sir!" he said, impatiently, to the cashier; "the draught from the passage is strong enough to cut a man in two.
8410_278217_000091_000000	"The daughter of that unfortunate man, Joseph Wilmot, who was cruelly murdered at Winchester!" answered the cashier, very gravely.	"The daughter of that unfortunate man, Joseph Wilmot, who was cruelly murdered at Winchester!" answered the cashier, very gravely.
8410_278217_000092_000000	He looked Henry Dunbar full in the face as he spoke.	He looked Henry Dunbar full in the face as he spoke.
8410_278217_000093_000002	I have suffered enough already on account of that hideous business at Winchester, and I shall most resolutely defend myself from any further persecution.	I have suffered enough already on account of that hideous business at Winchester, and I shall most resolutely defend myself from any further persecution.
8410_278217_000093_000003	This young person can have no possible motive for wishing to see me.	This young person can have no possible motive for wishing to see me.
8410_278217_000093_000004	If she is poor and wants money of me, I am ready and willing to assist her.	If she is poor and wants money of me, I am ready and willing to assist her.
8410_278217_000093_000005	I have already offered to do so--I can do no more.	I have already offered to do so-I can do no more.
8410_278217_000093_000006	But if she is in distress----"	But if she is in distress----"
8410_278217_000094_000000	"She is not in distress, Mr. Dunbar," interrupted Clement Austin.	"She is not in distress, mr Dunbar," interrupted Clement Austin.
8410_278217_000094_000001	"She has friends who love her well enough to shield her from that."	"She has friends who love her well enough to shield her from that."
8410_278217_000095_000000	"Indeed; and you are one of those friends, I suppose, Mr. Austin?"	"Indeed; and you are one of those friends, I suppose, mr Austin?"
8410_278217_000096_000000	"I am."	"I am."
8410_278217_000097_000000	"Prove your friendship, then, by teaching Margaret Wilmot that she has a friend and not an enemy in me.	"Prove your friendship, then, by teaching Margaret Wilmot that she has a friend and not an enemy in me.
8410_278217_000097_000001	If you are--as I suspect from your manner--something more than a friend: if you love her, and she returns your love, marry her, and she shall have a dowry that no gentleman's wife need be ashamed to bring to her husband."	If you are-as I suspect from your manner-something more than a friend: if you love her, and she returns your love, marry her, and she shall have a dowry that no gentleman's wife need be ashamed to bring to her husband."
8410_278217_000098_000000	There was no anger, no impatience in the banker's voice now, but a tone of deep feeling.	There was no anger, no impatience in the banker's voice now, but a tone of deep feeling.
8410_278217_000098_000001	Clement Austin locked at him, astonished by the change in his manner.	Clement Austin locked at him, astonished by the change in his manner.
8410_278217_000099_000000	Henry Dunbar saw the look, and it seemed as if he endeavoured to answer it.	Henry Dunbar saw the look, and it seemed as if he endeavoured to answer it.
8410_278217_000100_000000	"You have no need to be surprised that I shrink from seeing Margaret Wilmot," he said.	"You have no need to be surprised that I shrink from seeing Margaret Wilmot," he said.
8410_278217_000100_000002	I am an old man, and I have been thirty-five years in India.	I am an old man, and I have been thirty five years in India.
8410_278217_000100_000003	My health is shattered, and I have a horror of all tragic scenes.	My health is shattered, and I have a horror of all tragic scenes.
8410_278217_000100_000004	I have not yet recovered from the shock of that horrible business at Winchester.	I have not yet recovered from the shock of that horrible business at Winchester.
8410_278217_000101_000000	There was something very straightforward, very simple, in all this.	There was something very straightforward, very simple, in all this.
8410_278217_000101_000001	For a time, at least, Clement Austin's mind wavered.	For a time, at least, Clement Austin's mind wavered.
8410_278217_000101_000002	Margaret was, perhaps, wrong, after all, and Henry Dunbar might be an innocent man.	Margaret was, perhaps, wrong, after all, and Henry Dunbar might be an innocent man.
8410_278217_000103_000000	Clement returned to the office, where he had left Margaret, in order to repeat to her Mr. Dunbar's message.	Clement returned to the office, where he had left Margaret, in order to repeat to her mr Dunbar's message.
8410_278217_000104_000000	No sooner had the door of the parlour closed upon the cashier than Henry Dunbar turned abruptly to his junior partner.	No sooner had the door of the parlour closed upon the cashier than Henry Dunbar turned abruptly to his junior partner.
8410_278217_000106_000000	He pointed to the dark little yard outside the window as he spoke.	He pointed to the dark little yard outside the window as he spoke.
8410_278217_000107_000000	"Yes, there is a door, I believe."	"Yes, there is a door, I believe."
8410_278217_000108_000000	"Is it locked?"	"Is it locked?"
8410_278217_000109_000000	"No; it is seldom locked till four o'clock; the clerks use it sometimes, when they go in and out."	"No; it is seldom locked till four o'clock; the clerks use it sometimes, when they go in and out."
8410_278217_000110_000000	"Then I shall go out that way," said Mr. Dunbar, who was almost breathless in his haste.	"Then I shall go out that way," said mr Dunbar, who was almost breathless in his haste.
8410_278217_000110_000001	"You can send the carriage back to the Clarendon by-and-by.	"You can send the carriage back to the Clarendon by and by.
8410_278217_000110_000002	I don't want to see that girl.	I don't want to see that girl.
8410_278217_000110_000003	Good morning."	Good morning."
8410_278217_000111_000000	He hurried out of the parlour, and into a passage leading to the yard, followed by Mr. Balderby, who wondered at his senior partner's excitement.	He hurried out of the parlour, and into a passage leading to the yard, followed by mr Balderby, who wondered at his senior partner's excitement.
8410_278217_000111_000001	The door in the yard was not locked.	The door in the yard was not locked.
8410_278217_000111_000002	Henry Dunbar opened it, went out into the court, and closed the door behind him.	Henry Dunbar opened it, went out into the court, and closed the door behind him.
