8410_278217_000000_000000	CHAPTER XXVI.	CHAPTER twenty six.	false	0.96	23.38	26.260231
8410_278217_000025_000001	He had heard of the banker's intended visit to St. Gundolph Lane, and had looked forward with strange anxiety to a meeting with the man whom Margaret Wilmot declared to be the murderer of her father.	He had heard of the banker's intended visit to st Gundolph Lane, and had looked forward with strange anxiety to a meeting with the man whom Margaret Wilmot declared to be the murderer of her father.	false	327.8	337.21	22
8410_278217_000025_000002	Now that the meeting had come to pass, he looked at Henry Dunbar with an earnest, scrutinizing gaze, as if he would fain have discovered the secret of the man's guilt or innocence in his countenance.	Now that the meeting had come to pass, he looked at Henry Dunbar with an earnest, scrutinizing gaze, as if he would fain have discovered the secret of the man's guilt or innocence in his countenance.	true	337.49	347.32	23.892092
8410_278217_000026_000000	The banker's face was pale, and grave, and stern; but Clement Austin knew that for Henry Dunbar there were very humiliating and unpleasant circumstances connected with the offices in St. Gundolph Lane, and it was scarcely to be expected that a man would come smiling into a place out of which he had gone five-and-thirty years before a disgraced and degraded creature.	The banker's face was pale, and grave, and stern; but Clement Austin knew that for Henry Dunbar there were very humiliating and unpleasant circumstances connected with the offices in st Gundolph Lane, and it was scarcely to be expected that a man would come smiling into a place out of which he had gone five and thirty years before a disgraced and degraded creature.	false	348.35	367.51	24.732714
8410_278217_000027_000000	For a few moments the two men paused in the passage between the public offices and the private parlour, looking at each other.	For a few moments the two men paused in the passage between the public offices and the private parlour, looking at each other.	false	368.96	374.74	23.3333
8410_278217_000028_000000	The banker's gaze never flinched during that encounter.	The banker's gaze never flinched during that encounter.	true	375.5	378.13	26.259647
8410_278217_000028_000001	It is taken as a strong proof of a man's innocence that he should look you full in the face with a steadfast gaze when you look at him with suspicion plainly visible in your eyes; but would he not be the poorest villain if he shirked that encounter of glances when he knows full surely that he is in that moment put to the test?	It is taken as a strong proof of a man's innocence that he should look you full in the face with a steadfast gaze when you look at him with suspicion plainly visible in your eyes; but would he not be the poorest villain if he shirked that encounter of glances when he knows full surely that he is in that moment put to the test?	true	378.32	395.22	24
8410_278217_000028_000002	It is rather innocence whose eyelids drop when you peer too closely into its eyes, for innocence is appalled by the stern, accusing glances which it is unprepared to meet.	It is rather innocence whose eyelids drop when you peer too closely into its eyes, for innocence is appalled by the stern, accusing glances which it is unprepared to meet.	true	395.22	404.74	24.395308
8410_278217_000028_000003	Guilt stares you boldly in the face, for guilt is hardened and defiant, and has this one grand superiority over innocence--that it is _prepared for the worst_.	Guilt stares you boldly in the face, for guilt is hardened and defiant, and has this one grand superiority over innocence-that it is underscore prepared for the worst underscore.	false	404.93	415.32	26.294426
8410_278217_000029_000000	Clement Austin opened the door of Mr. Balderby's parlour; Mr. Dunbar went in unannounced.	Clement Austin opened the door of mr Balderby's parlour; mr Dunbar went in unannounced.	true	415.32	420.31	25
8410_278217_000029_000001	The cashier closed the parlour-door and returned to his desk in the public office.	The cashier closed the parlour door and returned to his desk in the public office.	true	420.47	424.21	25
8410_278217_000030_000000	The junior partner was sitting at an office table near the fire writing, but he rose as the banker entered the room, and went forward to meet him.	The junior partner was sitting at an office table near the fire writing, but he rose as the banker entered the room, and went forward to meet him.	true	425.21	431.38	23
8410_278217_000031_000000	"You are very punctual, Mr. Dunbar," he said.	"You are very punctual, mr Dunbar," he said.	true	432.47	435.31	23
8410_278217_000032_000000	"Yes, I am generally punctual."	"Yes, I am generally punctual."	true	436.16	438.28	25.25097
8410_278217_000033_000000	The two men shook hands, and Mr. Balderby wheeled forward a morocco-covered arm-chair for his senior partner, and then took his seat opposite to him, with only the small office table between them.	The two men shook hands, and mr Balderby wheeled forward a morocco covered arm chair for his senior partner, and then took his seat opposite to him, with only the small office table between them.	false	439.25	448.45	22
8410_278217_000034_000000	"It may seem late in the day to bid you welcome to the bank, Mr. Dunbar," said the junior partner, "but I do so, nevertheless--most heartily!"	"It may seem late in the day to bid you welcome to the bank, mr Dunbar," said the junior partner, "but I do so, nevertheless-most heartily!"	true	449.42	456.85	23.989834
8410_278217_000035_000000	There was a flatness in the accent in which these two last words were spoken, which was like the sound of a false coin when it falls dead upon a counter and proclaims itself spurious.	There was a flatness in the accent in which these two last words were spoken, which was like the sound of a false coin when it falls dead upon a counter and proclaims itself spurious.	false	457.61	466.24	27.9444
8410_278217_000036_000000	Henry Dunbar did not return his partner's greeting.	Henry Dunbar did not return his partner's greeting.	true	467.81	470.26	30.32342
8410_278217_000036_000001	He was looking round the room, and remembering the day upon which he had last seen it.	He was looking round the room, and remembering the day upon which he had last seen it.	true	470.39	474.13	26.53788
8410_278217_000036_000002	There was very little alteration in the appearance of the dismal city chamber. There was the same wire-blind before the window, the same solitary tree, leafless, in the narrow courtyard without.	There was very little alteration in the appearance of the dismal city chamber. There was the same wire blind before the window, the same solitary tree, leafless, in the narrow courtyard without.	true	474.56	484.51	27.326189
8410_278217_000036_000003	The morocco-covered arm-chairs had been re-covered, perhaps, during that five-and-thirty years; but if so, the covering had grown shabby again.	The morocco covered arm chairs had been re-covered, perhaps, during that five and thirty years; but if so, the covering had grown shabby again.	true	484.76	491.89	26.123968
8410_278217_000036_000004	Even the Turkey carpet was in the very stage of dusky dinginess that had distinguished the carpet on which Henry Dunbar had stood five-and-thirty years before.	Even the Turkey carpet was in the very stage of dusky dinginess that had distinguished the carpet on which Henry Dunbar had stood five and thirty years before.	true	491.99	500.11	25
8410_278217_000037_000000	"I received your letter announcing your journey to London, and your desire for a private interview, on Saturday afternoon," Mr. Balderby said, after a pause.	"I received your letter announcing your journey to London, and your desire for a private interview, on Saturday afternoon," mr Balderby said, after a pause.	true	501.29	508.87	25
8410_278217_000037_000001	"I have made arrangements to assure our being undisturbed so long as you may remain here.	"I have made arrangements to assure our being undisturbed so long as you may remain here.	true	509	513.07	21.794659
8410_278217_000037_000002	If you wish to make any investigation of the affairs of the house, I----"	If you wish to make any investigation of the affairs of the house, I----"	true	513.11	516.54	24.257095
8410_278217_000038_000000	Mr. Dunbar waved his hand with a deprecatory air.	mr Dunbar waved his hand with a deprecatory air.	true	516.54	519.31	25.765976
8410_278217_000039_000000	"Nothing is farther from my thoughts than any such design," he said. "No, Mr. Balderby, I have only been a man of business because all chance of another career, which I infinitely preferred, was closed upon me five-and-thirty years ago.	"Nothing is farther from my thoughts than any such design," he said. "No, mr Balderby, I have only been a man of business because all chance of another career, which I infinitely preferred, was closed upon me five and thirty years ago.	true	519.44	532.03	25.179977
8410_278217_000039_000001	I am quite content to be a sleeping-partner in the house of Dunbar, Dunbar, and Balderby.	I am quite content to be a sleeping partner in the house of Dunbar, Dunbar, and Balderby.	true	532.19	536.23	22
8410_278217_000039_000002	For ten years prior to my father's death he took no active part in the business.	For ten years prior to my father's death he took no active part in the business.	true	536.39	540.61	25.65527
8410_278217_000039_000003	The house got on very well without his aid; it will get on equally well without mine.	The house got on very well without his aid; it will get on equally well without mine.	true	540.74	544.99	25.823408
8410_278217_000039_000004	The business that brings me to London is an entirely personal matter.	The business that brings me to London is an entirely personal matter.	true	545.21	548.44	26
8410_278217_000039_000005	I am a rich man, but I don't exactly know how rich I am, and I want to realize rather a large sum of money."	I am a rich man, but I don't exactly know how rich I am, and I want to realize rather a large sum of money."	true	548.54	554.38	25
8410_278217_000040_000000	Mr. Balderby bowed, but his eyebrows went up a little, as if he found it impossible to control some slight evidence of his surprise.	mr Balderby bowed, but his eyebrows went up a little, as if he found it impossible to control some slight evidence of his surprise.	true	555.2	561.82	25.389286
8410_278217_000041_000000	"Previous to my daughter's marriage I settled upon her the house in Portland Place and the Yorkshire property.	"Previous to my daughter's marriage I settled upon her the house in Portland Place and the Yorkshire property.	false	562.76	568.18	24.320074
8410_278217_000041_000001	She will have all my money when I die; and, as Sir Philip Jocelyn is a rich man, she will perhaps be one of the wealthiest women in England.	She will have all my money when I die; and, as Sir Philip Jocelyn is a rich man, she will perhaps be one of the wealthiest women in England.	false	568.31	575.38	25.904018
8410_278217_000041_000002	So far so good.	So far so good.	true	575.6	577	30.904078
8410_278217_000041_000003	Neither Laura nor her husband will have any reason for dissatisfaction.	Neither Laura nor her husband will have any reason for dissatisfaction.	true	577.13	580.605	21.700214
8410_278217_000041_000004	But this is not quite enough, Mr. Balderby.	But this is not quite enough, mr Balderby.	true	580.605	582.79	25.754786
8410_278217_000041_000005	I am not a demonstrative man, and I have never made any great fuss about my love for my daughter; but I do love her, nevertheless."	I am not a demonstrative man, and I have never made any great fuss about my love for my daughter; but I do love her, nevertheless."	true	582.89	589.42	25.750534
8410_278217_000042_000000	Mr. Dunbar spoke very slowly here, and stopped once or twice to pass his handkerchief across his forehead, as he had done in the hotel at Winchester.	mr Dunbar spoke very slowly here, and stopped once or twice to pass his handkerchief across his forehead, as he had done in the hotel at Winchester.	true	590.24	597.55	24.158003
8410_278217_000043_000000	"We Anglo-Indians have rather a magnificent way of doing things, Mr. Balderby" he continued, "when we take it into our heads to do them at all.	"We Anglo Indians have rather a magnificent way of doing things, mr Balderby" he continued, "when we take it into our heads to do them at all.	false	598.25	605.5	24.541761
8410_278217_000043_000001	I want to give my daughter a diamond-necklace as a wedding present, and I want it to be such as an Eastern prince or a Rothschild might offer to his only child.	I want to give my daughter a diamond necklace as a wedding present, and I want it to be such as an Eastern prince or a Rothschild might offer to his only child.	true	605.81	613.87	28.414701
8410_278217_000043_000002	You understand?"	You understand?"	true	614	615.19	23.782251
8410_278217_000044_000000	"Oh, perfectly," answered Mr. Balderby; "I shall be most happy to be of any use to you in the matter."	"Oh, perfectly," answered mr Balderby; "I shall be most happy to be of any use to you in the matter."	true	615.68	621.4	27.359749
8410_278217_000045_000000	"All I want is a large sum of money at my command.	"All I want is a large sum of money at my command.	true	622.22	624.94	26
8410_278217_000045_000001	I may go rather recklessly to work and make a large investment in this necklace; it will be something for Lady Jocelyn to bequeath to her children.	I may go rather recklessly to work and make a large investment in this necklace; it will be something for Lady Jocelyn to bequeath to her children.	true	625.22	632.38	27.234715
8410_278217_000045_000002	You and John Lovell, of Shorncliffe, were the executors to my father's will.	You and john Lovell, of Shorncliffe, were the executors to my father's will.	false	632.96	636.61	25.317463
8410_278217_000045_000003	You signed an order for the transfer of my father's money to my account some time in last September."	You signed an order for the transfer of my father's money to my account some time in last September."	false	636.92	641.44	25.91756
8410_278217_000046_000000	"I did, in concurrence with Mr. Lovell."	"I did, in concurrence with mr Lovell."	true	642.05	644.2	25.901047
8410_278217_000047_000000	"Precisely; Lovell wrote me a letter to that effect.	"Precisely; Lovell wrote me a letter to that effect.	true	644.75	647.74	29.028658
8410_278217_000047_000001	My father kept two accounts here, I believe--a deposit and a drawing account?"	My father kept two accounts here, I believe-a deposit and a drawing account?"	true	648.02	652.12	27.621832
8410_278217_000048_000000	"He did."	"He did."	true	652.67	653.62	34.309723
8410_278217_000049_000000	"And those two accounts have gone on since my return in the same manner as during his lifetime?"	"And those two accounts have gone on since my return in the same manner as during his lifetime?"	true	654.38	658.6	21.785343
8410_278217_000050_000000	"Precisely.	"Precisely.	true	659.3	660.28	24.843788
8410_278217_000050_000001	The income which Mr. Percival Dunbar set aside for his own use was seven thousand a year.	The income which mr Percival Dunbar set aside for his own use was seven thousand a year.	true	660.47	665.11	25
8410_278217_000050_000002	He rarely, spent as much as that; sometimes he spent less than half.	He rarely, spent as much as that; sometimes he spent less than half.	true	665.24	668.715	28.627851
8410_278217_000050_000003	The balance of this income, and his double share in the profits of the business, went to the credit of his deposit account, and various sums have been withdrawn from time to time, and duly invested under his order."	The balance of this income, and his double share in the profits of the business, went to the credit of his deposit account, and various sums have been withdrawn from time to time, and duly invested under his order."	true	668.715	678.64	24.212652
8410_278217_000051_000000	"Perhaps you can let me see the ledgers containing those two accounts?"	"Perhaps you can let me see the ledgers containing those two accounts?"	true	679.31	682.45	26
8410_278217_000052_000000	"Most certainly."	"Most certainly."	true	683.15	684.31	28.28432
8410_278217_000053_000000	Mr. Balderby touched the spring of a handbell upon his table.	mr Balderby touched the spring of a handbell upon his table.	true	684.77	687.97	26.221083
8410_278217_000054_000000	"Ask Mr. Austin to bring the daily balance and deposit accounts ledgers," he said to the person who answered his summons.	"Ask mr Austin to bring the daily balance and deposit accounts ledgers," he said to the person who answered his summons.	false	688.13	693.94	25
8410_278217_000055_000000	Clement Austin appeared five minutes afterwards, carrying two ponderous morocco-bound volumes.	Clement Austin appeared five minutes afterwards, carrying two ponderous morocco bound volumes.	true	694.85	700.21	29.540861
8410_278217_000056_000000	Mr. Balderby opened both ledgers, and placed them before his senior partner.	mr Balderby opened both ledgers, and placed them before his senior partner.	true	700.67	704.47	25.23042
8410_278217_000056_000001	Henry Dunbar looked at the deposit account.	Henry Dunbar looked at the deposit account.	true	704.84	706.98	25.06905
8410_278217_000056_000002	His eyes ran eagerly down the long row of figures before him until they came to the sum total.	His eyes ran eagerly down the long row of figures before him until they came to the sum total.	true	706.98	711.67	22.328789
8410_278217_000056_000003	Then his chest heaved, and he drew a long breath, like a man who feels almost stifled by some internal oppression.	Then his chest heaved, and he drew a long breath, like a man who feels almost stifled by some internal oppression.	true	712.01	717.94	25.185799
8410_278217_000057_000000	The last figures in the page were these:	The last figures in the page were these:	true	718.67	720.66	21.863895
8410_278217_000058_000000	_137,926l. 17s. 2d._	underscore one hundred thirty seven thousand nine hundred twenty six l. seventeens. two d.underscore	false	720.66	722.01	16.654276
8410_278217_000059_000000	One hundred and thirty-seven thousand nine hundred and twenty-six pounds seventeen shillings and twopence.	One hundred and thirty seven thousand nine hundred and twenty six pounds seventeen shillings and twopence.	false	722.01	728.08	22.78354
8410_278217_000059_000001	The twopence seemed a ridiculous anti-climax; but business-men are necessarily as exact in figures as calculating-machines.	The twopence seemed a ridiculous anti climax; but business men are necessarily as exact in figures as calculating machines.	true	728.63	735.73	24
8410_278217_000060_000000	"How is this money invested?" asked Henry Dunbar, pointing to the page. His fingers trembled a little as he did so, and he dropped his hand suddenly upon the ledger.	"How is this money invested?" asked Henry Dunbar, pointing to the page. His fingers trembled a little as he did so, and he dropped his hand suddenly upon the ledger.	true	736.4	745.39	25.978224
8410_278217_000061_000000	"There's fifty thousand in India stock," Mr. Balderby answered, as indifferently as if fifty thousand pounds more or less was scarcely worth speaking of; "and there's five-and-twenty in railway debentures, Great Western.	"There's fifty thousand in India stock," mr Balderby answered, as indifferently as if fifty thousand pounds more or less was scarcely worth speaking of; "and there's five and twenty in railway debentures, Great Western.	true	746.12	757.51	25.228863
8410_278217_000061_000001	Most of the remainder is floating in Exchequer bills."	Most of the remainder is floating in Exchequer bills."	true	757.85	760.6	23.601204
8410_278217_000062_000000	"Then you can realize the Exchequer bills?"	"Then you can realize the Exchequer bills?"	true	761.39	763.63	24.235636
8410_278217_000063_000000	Mr. Balderby winced as if some one had trodden upon one of his corns.	mr Balderby winced as if some one had trodden upon one of his corns.	true	764.24	767.92	23.603619
8410_278217_000063_000001	He was a banker heart and soul, and he did not at all relish the idea of any withdrawal of the bank's resources, however firm that establishment might stand.	He was a banker heart and soul, and he did not at all relish the idea of any withdrawal of the bank's resources, however firm that establishment might stand.	true	768.23	776.11	21
8410_278217_000064_000000	"It's rather a large amount of capital to withdraw from the business," he said, rubbing his chin, thoughtfully.	"It's rather a large amount of capital to withdraw from the business," he said, rubbing his chin, thoughtfully.	true	776.72	783.19	24.399347
8410_278217_000065_000000	"I suppose the bank can afford it!" Mr. Dunbar exclaimed, with a tone of surprise.	"I suppose the bank can afford it!" mr Dunbar exclaimed, with a tone of surprise.	true	784.1	788.74	25.89851
8410_278217_000066_000000	"Oh, yes; the bank can afford it well enough.	"Oh, yes; the bank can afford it well enough.	true	789.23	791.925	23.85008
8410_278217_000066_000001	Our calls are sometimes heavy.	Our calls are sometimes heavy.	true	791.925	793.56	22.163248
8410_278217_000066_000002	Lord Yarsfield--a very old customer--talks of buying an estate in Wales; he may come down upon us at any moment for a very stiff sum of money.	Lord Yarsfield-a very old customer-talks of buying an estate in Wales; he may come down upon us at any moment for a very stiff sum of money.	true	793.56	801.19	26.64412
8410_278217_000066_000003	However, the capital is yours, Mr. Dunbar; and you've a right to dispose of it as you please.	However, the capital is yours, mr Dunbar; and you've a right to dispose of it as you please.	true	801.23	805.66	23.631315
8410_278217_000066_000004	The Exchequer bills shall be realized immediately."	The Exchequer bills shall be realized immediately."	true	805.79	808.36	26.037163
8410_278217_000067_000000	"Good; and if you can dispose of the railway bonds to advantage, you may do so."	"Good; and if you can dispose of the railway bonds to advantage, you may do so."	true	809.15	813.25	29.04066
8410_278217_000068_000000	"You think of spending----"	"You think of spending----"	true	814.13	815.65	22.861124
8410_278217_000069_000000	"I think of reinvesting the money.	"I think of reinvesting the money.	true	815.93	817.72	28.639433
8410_278217_000069_000001	I have an offer of an estate north of the metropolis, which I think will realize cent per cent a few years hence: but that is an after consideration.	I have an offer of an estate north of the metropolis, which I think will realize cent per cent a few years hence: but that is an after consideration.	true	817.91	825.6	25.45886
8410_278217_000069_000002	At present we have only to do with the diamond-necklace for my daughter.	At present we have only to do with the diamond necklace for my daughter.	false	825.6	829.42	30.757519
8410_278217_000069_000003	I shall buy the diamonds myself, direct from the merchant-importers.	I shall buy the diamonds myself, direct from the merchant importers.	true	829.64	832.84	23.137894
8410_278217_000069_000004	You will hold yourself ready after Wednesday, we'll say, to cash some very heavy cheques on my account?"	You will hold yourself ready after Wednesday, we'll say, to cash some very heavy cheques on my account?"	true	833.06	837.85	25.17594
8410_278217_000070_000000	"Certainly, Mr. Dunbar."	"Certainly, mr Dunbar."	true	838.46	840.04	24.765745
8410_278217_000071_000000	"Then I think that is really all I have to say.	"Then I think that is really all I have to say.	true	840.83	843.22	25.98852
