3307_145138_000001_000000	CHAPTER VIII: THE CRAB SPIDER	CHAPTER eight: THE CRAB SPIDER
3307_145138_000007_000002	The murderess now sucks the victim's blood at her ease and, when she has done, scornfully flings the drained corpse aside.	The murderess now sucks the victim's blood at her ease and, when she has done, scornfully flings the drained corpse aside.
3307_145138_000007_000003	She hides herself once more, ready to bleed a second gleaner should the occasion offer.	She hides herself once more, ready to bleed a second gleaner should the occasion offer.
3307_145138_000008_000003	These hateful discords amid the general harmony perplex the thinker, all the more as we shall see the cruel vampire become a model of devotion where her family is concerned.	These hateful discords amid the general harmony perplex the thinker, all the more as we shall see the cruel vampire become a model of devotion where her family is concerned.
3307_145138_000010_000001	The comparison is not inappropriate as regards many Spiders who tie their prey with a thread to subdue it and consume it at their ease; but it just happens that the Thomisus is at variance with her label.	The comparison is not inappropriate as regards many Spiders who tie their prey with a thread to subdue it and consume it at their ease; but it just happens that the Thomisus is at variance with her label.
3307_145138_000010_000002	She does not fasten her Bee, who, dying suddenly of a bite in the neck, offers no resistance to her consumer.	She does not fasten her Bee, who, dying suddenly of a bite in the neck, offers no resistance to her consumer.
3307_145138_000011_000001	The fact that the Bee-huntress carries a heavy paunch is no reason to refer to this as a distinctive characteristic.	The fact that the Bee huntress carries a heavy paunch is no reason to refer to this as a distinctive characteristic.
3307_145138_000011_000002	Nearly all Spiders have a voluminous belly, a silk-warehouse where, in some cases, the rigging of the net, in others, the swan's-down of the nest is manufactured.	Nearly all Spiders have a voluminous belly, a silk warehouse where, in some cases, the rigging of the net, in others, the swan's down of the nest is manufactured.
3307_145138_000012_000002	When all is said, the scientific term is composed of a misconception and a worthless epithet.	When all is said, the scientific term is composed of a misconception and a worthless epithet.
3307_145138_000012_000003	How difficult it is to name animals rationally!	How difficult it is to name animals rationally!
3307_145138_000013_000000	As the technical name tells the reader nothing, how shall he be informed? I see but one means, which is to invite him to the May festivals, in the waste-lands of the South.	As the technical name tells the reader nothing, how shall he be informed? I see but one means, which is to invite him to the May festivals, in the waste lands of the South.
3307_145138_000013_000003	This glorious efflorescence goes on for five or six weeks.	This glorious efflorescence goes on for five or six weeks.
3307_145138_000014_000001	Their persecutrix knows of this affluence.	Their persecutrix knows of this affluence.
3307_145138_000014_000002	She posts herself in her watch-house, under the rosy screen of a petal.	She posts herself in her watch house, under the rosy screen of a petal.
3307_145138_000014_000005	The thug has struck her blow; she is draining the blood of the departed.	The thug has struck her blow; she is draining the blood of the departed.
3307_145138_000015_000000	After all, this cutter of Bees' throats is a pretty, a very pretty creature, despite her unwieldy paunch fashioned like a squat pyramid and embossed on the base, on either side, with a pimple shaped like a camel's hump.	After all, this cutter of Bees' throats is a pretty, a very pretty creature, despite her unwieldy paunch fashioned like a squat pyramid and embossed on the base, on either side, with a pimple shaped like a camel's hump.
3307_145138_000015_000001	The skin, more pleasing to the eye than any satin, is milk-white in some, in others lemon-yellow.	The skin, more pleasing to the eye than any satin, is milk white in some, in others lemon yellow.
3307_145138_000015_000002	There are fine ladies among them who adorn their legs with a number of pink bracelets and their back with carmine arabesques.	There are fine ladies among them who adorn their legs with a number of pink bracelets and their back with carmine arabesques.
3307_145138_000015_000003	A narrow pale-green ribbon sometimes edges the right and left of the breast.	A narrow pale green ribbon sometimes edges the right and left of the breast.
3307_145138_000015_000005	Novice fingers, which shrink from touching any other Spider, allow themselves to be enticed by these attractions; they do not fear to handle the beauteous Thomisus, so gentle in appearance.	Novice fingers, which shrink from touching any other Spider, allow themselves to be enticed by these attractions; they do not fear to handle the beauteous Thomisus, so gentle in appearance.
3307_145138_000016_000000	Well, what can this gem among Spiders do?	Well, what can this gem among Spiders do?
3307_145138_000016_000001	In the first place, she makes a nest worthy of its architect.	In the first place, she makes a nest worthy of its architect.
3307_145138_000016_000003	Herself a lover of high places, the Thomisus selects as the site of her nest one of the upper twigs of the rock-rose, her regular hunting-ground, a twig withered by the heat and possessing a few dead leaves, which curl into a little cottage.	Herself a lover of high places, the Thomisus selects as the site of her nest one of the upper twigs of the rock rose, her regular hunting ground, a twig withered by the heat and possessing a few dead leaves, which curl into a little cottage.
3307_145138_000018_000000	When the eggs are laid, the mouth of the receptacle is hermetically closed with a lid of the same white silk.	When the eggs are laid, the mouth of the receptacle is hermetically closed with a lid of the same white silk.
3307_145138_000018_000001	Lastly, a few threads, stretched like a thin curtain, form a canopy above the nest and, with the curved tips of the leaves, frame a sort of alcove wherein the mother takes up her abode.	Lastly, a few threads, stretched like a thin curtain, form a canopy above the nest and, with the curved tips of the leaves, frame a sort of alcove wherein the mother takes up her abode.
3307_145138_000019_000001	Greatly emaciated by the laying of her eggs and by her expenditure of silk, she lives only for the protection of her nest.	Greatly emaciated by the laying of her eggs and by her expenditure of silk, she lives only for the protection of her nest.
3307_145138_000020_000000	Should some vagrant pass near by, she hurries from her watch-tower, lifts a limb and puts the intruder to flight.	Should some vagrant pass near by, she hurries from her watch tower, lifts a limb and puts the intruder to flight.
3307_145138_000020_000001	If I tease her with a straw, she parries with big gestures, like those of a prize-fighter.	If I tease her with a straw, she parries with big gestures, like those of a prize fighter.
3307_145138_000020_000002	She uses her fists against my weapon.	She uses her fists against my weapon.
3307_145138_000020_000003	When I propose to dislodge her in view of certain experiments, I find some difficulty in doing so.	When I propose to dislodge her in view of certain experiments, I find some difficulty in doing so.
3307_145138_000020_000004	She clings to the silken floor, she frustrates my attacks, which I am bound to moderate lest I should injure her.	She clings to the silken floor, she frustrates my attacks, which I am bound to moderate lest I should injure her.
3307_145138_000020_000005	She is no sooner attracted outside than she stubbornly returns to her post.	She is no sooner attracted outside than she stubbornly returns to her post.
3307_145138_000021_000000	Even so does the Narbonne Lycosa struggle when we try to take away her pill.	Even so does the Narbonne Lycosa struggle when we try to take away her pill.
3307_145138_000021_000003	Those hallowed words, maternal love, were out of place here: it is an impetuous, an almost mechanical impulse, wherein real affection plays no part whatever.	Those hallowed words, maternal love, were out of place here: it is an impetuous, an almost mechanical impulse, wherein real affection plays no part whatever.
3307_145138_000021_000005	When moved from her nest to another of the same kind, she settles upon it and never stirs from it, even though the different arrangement of the leafy fence be such as to warn her that she is not really at home.	When moved from her nest to another of the same kind, she settles upon it and never stirs from it, even though the different arrangement of the leafy fence be such as to warn her that she is not really at home.
3307_145138_000021_000006	Provided that she have satin under her feet, she does not notice her mistake; she watches over another's nest with the same vigilance which she might show in watching over her own.	Provided that she have satin under her feet, she does not notice her mistake; she watches over another's nest with the same vigilance which she might show in watching over her own.
3307_145138_000022_000000	The Lycosa surpasses her in maternal blindness.	The Lycosa surpasses her in maternal blindness.
3307_145138_000022_000001	She fastens to her spinnerets and dangles, by way of a bag of eggs, a ball of cork polished with my file, a paper pellet, a little ball of thread.	She fastens to her spinnerets and dangles, by way of a bag of eggs, a ball of cork polished with my file, a paper pellet, a little ball of thread.
3307_145138_000022_000002	In order to discover if the Thomisus is capable of a similar error, I gathered some broken pieces of silk-worm's cocoon into a closed cone, turning the fragments so as to bring the smoother and more delicate inner surface outside.	In order to discover if the Thomisus is capable of a similar error, I gathered some broken pieces of silk worm's cocoon into a closed cone, turning the fragments so as to bring the smoother and more delicate inner surface outside.
3307_145138_000022_000003	My attempt was unsuccessful.	My attempt was unsuccessful.
3307_145138_000022_000004	When removed from her home and placed on the artificial wallet, the mother Thomisus obstinately refused to settle there.	When removed from her home and placed on the artificial wallet, the mother Thomisus obstinately refused to settle there.
3307_145138_000022_000006	Perhaps so.	Perhaps so.
3307_145138_000022_000007	Let us not be too extravagant with our praise, however; the imitation of the bag was a very clumsy one.	Let us not be too extravagant with our praise, however; the imitation of the bag was a very clumsy one.
3307_145138_000023_000000	The work of laying is finished by the end of May, after which, lying flat on the ceiling of her nest, the mother never leaves her guard-room, either by night or day.	The work of laying is finished by the end of May, after which, lying flat on the ceiling of her nest, the mother never leaves her guard room, either by night or day.
3307_145138_000023_000001	Seeing her look so thin and wrinkled, I imagine that I can please her by bringing her a provision of Bees, as I was wont to do.	Seeing her look so thin and wrinkled, I imagine that I can please her by bringing her a provision of Bees, as I was wont to do.
3307_145138_000023_000003	The Bee, hitherto her favourite dish, tempts her no longer.	The Bee, hitherto her favourite dish, tempts her no longer.
3307_145138_000023_000005	She lives exclusively upon maternal devotion, a commendable but unsubstantial fare.	She lives exclusively upon maternal devotion, a commendable but unsubstantial fare.
3307_145138_000023_000007	What is the withered thing waiting for, before expiring?	What is the withered thing waiting for, before expiring?
3307_145138_000023_000008	She is waiting for her children to emerge; the dying creature is still of use to them.	She is waiting for her children to emerge; the dying creature is still of use to them.
3307_145138_000024_000001	There is none to come to their assistance; and they have not the strength to free themselves unaided.	There is none to come to their assistance; and they have not the strength to free themselves unaided.
3307_145138_000024_000002	The balloon has to split automatically and to scatter the youngsters and their flossy mattress all mixed up together.	The balloon has to split automatically and to scatter the youngsters and their flossy mattress all mixed up together.
3307_145138_000024_000003	The Thomisus' wallet, sheathed in leaves over the greater part of its surface, never bursts; nor does the lid rise, so carefully is it sealed down.	The Thomisus' wallet, sheathed in leaves over the greater part of its surface, never bursts; nor does the lid rise, so carefully is it sealed down.
3307_145138_000024_000005	Who contrived this window, which was not there at first?	Who contrived this window, which was not there at first?
3307_145138_000025_000000	The fabric is too thick and tough to have yielded to the twitches of the feeble little prisoners.	The fabric is too thick and tough to have yielded to the twitches of the feeble little prisoners.
3307_145138_000025_000002	She persists in living for five or six weeks, despite her shattered health, so as to give a last helping hand and open the door for her family.	She persists in living for five or six weeks, despite her shattered health, so as to give a last helping hand and open the door for her family.
3307_145138_000025_000003	After performing this duty, she gently lets herself die, hugging her nest and turning into a shrivelled relic.	After performing this duty, she gently lets herself die, hugging her nest and turning into a shrivelled relic.
3307_145138_000026_000000	When July comes, the little ones emerge.	When July comes, the little ones emerge.
3307_145138_000026_000002	All of them pass through the wire gauze and form a group on the summit of the brushwood, where they swiftly weave a spacious lounge of criss-cross threads.	All of them pass through the wire gauze and form a group on the summit of the brushwood, where they swiftly weave a spacious lounge of criss cross threads.
3307_145138_000026_000003	Here they remain, pretty quietly, for a day or two; then foot-bridges begin to be flung from one object to the next.	Here they remain, pretty quietly, for a day or two; then foot bridges begin to be flung from one object to the next.
3307_145138_000027_000000	I put the bunch laden with beasties on a small table, in the shade, before the open window.	I put the bunch laden with beasties on a small table, in the shade, before the open window.
3307_145138_000027_000002	There are hesitations, retrogressions, perpendicular falls at the end of a thread, ascents that bring the hanging Spider up again. In short much ado for a poor result.	There are hesitations, retrogressions, perpendicular falls at the end of a thread, ascents that bring the hanging Spider up again. In short much ado for a poor result.
3307_145138_000028_000000	As matters continue to drag, it occurs to me, at eleven o'clock, to take the bundle of brushwood swarming with the little Spiders, all eager to be off, and place it on the window-sill, in the glare of the sun.	As matters continue to drag, it occurs to me, at eleven o'clock, to take the bundle of brushwood swarming with the little Spiders, all eager to be off, and place it on the window sill, in the glare of the sun
3307_145138_000028_000001	After a few minutes of heat and light, the scene assumes a very different aspect. The emigrants run to the top of the twigs, bustle about actively.	After a few minutes of heat and light, the scene assumes a very different aspect. The emigrants run to the top of the twigs, bustle about actively.
3307_145138_000028_000003	I do not see the ropes manufactured and sent floating at the mercy of the air; but I guess their presence.	I do not see the ropes manufactured and sent floating at the mercy of the air; but I guess their presence.
3307_145138_000029_000000	Three or four Spiders start at a time, each going her own way in directions independent of her neighbours'.	Three or four Spiders start at a time, each going her own way in directions independent of her neighbours'.
3307_145138_000029_000001	All are moving upwards, all are climbing some support, as can be perceived by the nimble motion of their legs.	All are moving upwards, all are climbing some support, as can be perceived by the nimble motion of their legs.
3307_145138_000029_000002	Moreover, the road is visible behind the climber, it is of double thickness, thanks to an added thread.	Moreover, the road is visible behind the climber, it is of double thickness, thanks to an added thread.
3307_145138_000029_000003	Then, at a certain height, individual movement ceases.	Then, at a certain height, individual movement ceases.
3307_145138_000029_000004	The tiny animal soars in space and shines, lit up by the sun.	The tiny animal soars in space and shines, lit up by the sun
3307_145138_000029_000005	Softly it sways, then suddenly takes flight.	Softly it sways, then suddenly takes flight.
3307_145138_000030_000000	What has happened?	What has happened?
3307_145138_000030_000001	There is a slight breeze outside.	There is a slight breeze outside.
3307_145138_000030_000002	The floating cable has snapped and the creature has gone off, borne on its parachute.	The floating cable has snapped and the creature has gone off, borne on its parachute.
3307_145138_000030_000003	I see it drifting away, showing, like a spot of light, against the dark foliage of the near cypresses, some forty feet distant.	I see it drifting away, showing, like a spot of light, against the dark foliage of the near cypresses, some forty feet distant.
3307_145138_000030_000005	Others follow, some higher, some lower, hither and thither.	Others follow, some higher, some lower, hither and thither.
3307_145138_000031_000000	But the throng has finished its preparations; the hour has come to disperse in swarms.	But the throng has finished its preparations; the hour has come to disperse in swarms.
3307_145138_000031_000003	The comparison is correct down to the dazzling light itself.	The comparison is correct down to the dazzling light itself.
3307_145138_000031_000005	What a glorious send- off!	What a glorious send off!
3307_145138_000031_000006	What an entrance into the world!	What an entrance into the world!
3307_145138_000032_000000	Sooner or later, nearer or farther, the fall comes.	Sooner or later, nearer or farther, the fall comes.
3307_145138_000032_000002	The Crested Lark crumbles the mule-droppings in the road and thus picks up his food, the oaten grain which he would never find by soaring in the sky, his throat swollen with song.	The Crested Lark crumbles the mule droppings in the road and thus picks up his food, the oaten grain which he would never find by soaring in the sky, his throat swollen with song.
3307_145138_000032_000003	We have to descend; the stomach's inexorable claims demand it.	We have to descend; the stomach's inexorable claims demand it.
3307_145138_000032_000005	Gravity, tempered by the parachute, is kind to her.	Gravity, tempered by the parachute, is kind to her.
3307_145138_000033_000000	The rest of her story escapes me.	The rest of her story escapes me.
3307_145138_000033_000001	What infinitely tiny Midges does she capture before possessing the strength to stab her Bee?	What infinitely tiny Midges does she capture before possessing the strength to stab her Bee?
