246_224_000000_000000	CHAPTER 27	CHAPTER twenty seven
246_224_000005_000005	I do not believe she had ever any regard either for James or for me, and I wish I had never known her."	I do not believe she had ever any regard either for james or for me, and I wish I had never known her."
246_224_000006_000000	"It will soon be as if you never had," said Henry.	"It will soon be as if you never had," said Henry.
246_224_000007_000000	"There is but one thing that I cannot understand.	"There is but one thing that I cannot understand.
246_224_000007_000001	I see that she has had designs on Captain Tilney, which have not succeeded; but I do not understand what Captain Tilney has been about all this time.	I see that she has had designs on Captain Tilney, which have not succeeded; but I do not understand what Captain Tilney has been about all this time.
246_224_000007_000002	Why should he pay her such attentions as to make her quarrel with my brother, and then fly off himself?"	Why should he pay her such attentions as to make her quarrel with my brother, and then fly off himself?"
246_224_000008_000000	"I have very little to say for Frederick's motives, such as I believe them to have been.	"I have very little to say for Frederick's motives, such as I believe them to have been.
246_224_000008_000001	He has his vanities as well as Miss Thorpe, and the chief difference is, that, having a stronger head, they have not yet injured himself.	He has his vanities as well as Miss Thorpe, and the chief difference is, that, having a stronger head, they have not yet injured himself.
246_224_000008_000002	If the effect of his behaviour does not justify him with you, we had better not seek after the cause."	If the effect of his behaviour does not justify him with you, we had better not seek after the cause."
246_224_000009_000000	"Then you do not suppose he ever really cared about her?"	"Then you do not suppose he ever really cared about her?"
246_224_000010_000000	"I am persuaded that he never did."	"I am persuaded that he never did."
246_224_000011_000000	"And only made believe to do so for mischief's sake?"	"And only made believe to do so for mischief's sake?"
246_224_000012_000000	Henry bowed his assent.	Henry bowed his assent.
246_224_000013_000000	"Well, then, I must say that I do not like him at all.	"Well, then, I must say that I do not like him at all.
246_224_000013_000001	Though it has turned out so well for us, I do not like him at all.	Though it has turned out so well for us, I do not like him at all.
246_224_000013_000002	As it happens, there is no great harm done, because I do not think Isabella has any heart to lose.	As it happens, there is no great harm done, because I do not think Isabella has any heart to lose.
246_224_000013_000003	But, suppose he had made her very much in love with him?"	But, suppose he had made her very much in love with him?"
246_224_000014_000000	"But we must first suppose Isabella to have had a heart to lose--consequently to have been a very different creature; and, in that case, she would have met with very different treatment."	"But we must first suppose Isabella to have had a heart to lose-consequently to have been a very different creature; and, in that case, she would have met with very different treatment."
246_224_000015_000000	"It is very right that you should stand by your brother."	"It is very right that you should stand by your brother."
246_224_000016_000001	But your mind is warped by an innate principle of general integrity, and therefore not accessible to the cool reasonings of family partiality, or a desire of revenge."	But your mind is warped by an innate principle of general integrity, and therefore not accessible to the cool reasonings of family partiality, or a desire of revenge."
246_224_000017_000000	Catherine was complimented out of further bitterness.	Catherine was complimented out of further bitterness.
246_224_000017_000001	Frederick could not be unpardonably guilty, while Henry made himself so agreeable.	Frederick could not be unpardonably guilty, while Henry made himself so agreeable.
246_224_000017_000002	She resolved on not answering Isabella's letter, and tried to think no more of it.	She resolved on not answering Isabella's letter, and tried to think no more of it.
