4013_11734_000004_000000	CHAPTER XII	CHAPTER twelve
4013_11734_000014_000005	The French, when they saw that the town was half taken, rushed on the gates with such impetuosity that the besieged did not even attempt to defend themselves any longer, and forced their way into Capua by three separate sides: nothing more could be done then to stop the issue.	The French, when they saw that the town was half taken, rushed on the gates with such impetuosity that the besieged did not even attempt to defend themselves any longer, and forced their way into Capua by three separate sides: nothing more could be done then to stop the issue.
4013_11734_000014_000006	Butchery and pillage had begun, and the work of destruction must needs be completed: in vain did Fabrizio Colonna, Ranuzio di Marciano, and Don Ugo di Cardona attempt to make head against the French and Spaniards with such men as they could get together.	Butchery and pillage had begun, and the work of destruction must needs be completed: in vain did Fabrizio Colonna, Ranuzio di Marciano, and Don Ugo di Cardona attempt to make head against the French and Spaniards with such men as they could get together.
4013_11734_000014_000009	The Duke of Valentinois broke in the doors, chased out for himself forty of the most beautiful, and handed over the rest to his army.	The Duke of Valentinois broke in the doors, chased out for himself forty of the most beautiful, and handed over the rest to his army.
4013_11734_000015_000000	The pillage continued for three days.	The pillage continued for three days.
4013_11734_000016_000000	Capua once taken, Frederic saw that it was useless any longer to attempt defence.	Capua once taken, Frederic saw that it was useless any longer to attempt defence.
4013_11734_000016_000001	So he shut himself up in Castel Nuovo and gave permission to Gaeta and to Naples to treat with the conqueror.	So he shut himself up in Castel Nuovo and gave permission to Gaeta and to Naples to treat with the conqueror.
4013_11734_000016_000004	The terms of this capitulation were faithfully adhered to on both sides: d'Aubigny entered Naples, and Frederic retired to Ischia.	The terms of this capitulation were faithfully adhered to on both sides: d'Aubigny entered Naples, and Frederic retired to Ischia.
4013_11734_000017_000001	His eldest son, Dan Ferdinand, Duke of Calabria, retired to Spain, where he was permitted to marry twice, but each time with a woman who was known to be barren; and there he died in 1550.	His eldest son, Dan Ferdinand, Duke of Calabria, retired to Spain, where he was permitted to marry twice, but each time with a woman who was known to be barren; and there he died in fifteen fifty.
4013_11734_000019_000000	The capture of Naples gave the Duke of Valentinois his liberty again; so he left the French army, after he had received fresh assurances on his own account of the king's friendliness, and returned to the siege of Piombino, which he had been forced to interrupt.	The capture of Naples gave the Duke of Valentinois his liberty again; so he left the French army, after he had received fresh assurances on his own account of the king's friendliness, and returned to the siege of Piombino, which he had been forced to interrupt.
4013_11734_000021_000000	His Holiness was now having a run of good fortune, and he learned on the same day that Piombino was taken and that Duke Hercules had given the King of France his assent to the marriage.	His Holiness was now having a run of good fortune, and he learned on the same day that Piombino was taken and that Duke Hercules had given the King of France his assent to the marriage.
4013_11734_000025_000000	We humbly ask forgiveness of our readers, and especially of our lady readers; but though we have found words to describe the first part of the spectacle, we have sought them in vain for the second; suffice it to say that just as there had been prizes for feats of adroitness, others were given now to the dancers who were most daring and brazen.	We humbly ask forgiveness of our readers, and especially of our lady readers; but though we have found words to describe the first part of the spectacle, we have sought them in vain for the second; suffice it to say that just as there had been prizes for feats of adroitness, others were given now to the dancers who were most daring and brazen.
4013_11734_000026_000003	Lucrezia showed the utmost delight in accepting these gifts; then she retired into the next room, leaning on the pope's arm, and followed by the ladies of her suite, leaving the Duke of Valentinois to do the honours of the Vatican to the men.	Lucrezia showed the utmost delight in accepting these gifts; then she retired into the next room, leaning on the pope's arm, and followed by the ladies of her suite, leaving the Duke of Valentinois to do the honours of the Vatican to the men.
4013_11734_000026_000004	That evening the guests met again, and spent half the night in dancing, while a magnificent display of fireworks lighted up the Piazza of San Paolo.	That evening the guests met again, and spent half the night in dancing, while a magnificent display of fireworks lighted up the Piazza of San Paolo.
4013_11734_000029_000000	This man was Ramiro d'Orco.	This man was Ramiro d'Orco.
4013_11734_000033_000001	The apparent object of this journey was that the new subjects might take their oath to Caesar, and the real object was to form an arsenal in Jacopo d'Appiano's capital within reach of Tuscany, a plan which neither the pope nor his son had ever seriously abandoned.	The apparent object of this journey was that the new subjects might take their oath to Caesar, and the real object was to form an arsenal in Jacopo d'Appiano's capital within reach of Tuscany, a plan which neither the pope nor his son had ever seriously abandoned.
4013_11734_000033_000003	The pontifical court made a stay there of several days, partly with a view of making the duke known to the inhabitants, and also in order to be present at certain ecclesiastical functions, of which the most important was a service held on the third Sunday in Lent, in which the Cardinal of Cosenza sang a mass and the pope officiated in state with the duke and the cardinals.	The pontifical court made a stay there of several days, partly with a view of making the duke known to the inhabitants, and also in order to be present at certain ecclesiastical functions, of which the most important was a service held on the third Sunday in Lent, in which the Cardinal of Cosenza sang a mass and the pope officiated in state with the duke and the cardinals.
4013_11734_000033_000004	After these solemn functions the customary pleasures followed, and the pope summoned the prettiest girls of the country and ordered them to dance their national dances before him.	After these solemn functions the customary pleasures followed, and the pope summoned the prettiest girls of the country and ordered them to dance their national dances before him.
4013_11734_000034_000000	Following on these dances came feasts of unheard of magnificence, during which the pope in the sight of all men completely ignored Lent and did not fast.	Following on these dances came feasts of unheard of magnificence, during which the pope in the sight of all men completely ignored Lent and did not fast.
4013_11734_000034_000001	The object of all these fetes was to scatter abroad a great deal of money, and so to make the Duke of Valentinois popular, while poor Jacopo d'Appiano was forgotten.	The object of all these fetes was to scatter abroad a great deal of money, and so to make the Duke of Valentinois popular, while poor Jacopo d'Appiano was forgotten.
4013_11734_000036_000001	At last they arrived in sight of Corneto, and there the duke, who was not on the same vessel as the pope, seeing that his ship could not get in, had a boat put out, and so was taken ashore.	At last they arrived in sight of Corneto, and there the duke, who was not on the same vessel as the pope, seeing that his ship could not get in, had a boat put out, and so was taken ashore.
4013_11734_000036_000006	Almost at the same time d'Albret arrived in quest of his cardinal's hat.	Almost at the same time d'Albret arrived in quest of his cardinal's hat.
