90_130566_000000_000000	Once upon a time there was a girl named Hira who had seven brothers.	Once upon a time there was a girl named Hira who had seven brothers.	false	0	0.96	11.20437
90_130566_000009_000001	He asked her if she knew how to choose a wife and also what sort of cattle to buy, and she said that she did not know; her husband had not told her this.	He asked her if she knew how to choose a wife and also what sort of cattle to buy, and she said that she did not know; her husband had not told her this.	true	186.86	196.72	19
90_130566_000009_000002	So the youth said that he would go to Singh Chando and ask.	So the youth said that he would go to Singh Chando and ask.	false	196.94	201.27	20.14158
90_130566_000010_000000	His mother washed his clothes for him and gave him food for the journey and he set out.	His mother washed his clothes for him and gave him food for the journey and he set out.	true	201.27	205.69	16
90_130566_000010_000001	On the way he met a man who asked him where he was going and he answered that he was going to make a petition to Singh Chando.	On the way he met a man who asked him where he was going and he answered that he was going to make a petition to Singh Chando.	true	206.12	213.67	21
90_130566_000010_000002	"Then," said the man, "make a petition for me also.	"Then," said the man, "make a petition for me also.	true	214.28	217.36	20
90_130566_000010_000003	I have so much wealth that I cannot look after it all; ask him to take away half from me." The youth promised and went on and he met another man who said that he had so many cattle that he could not build enough cow-houses for them and asked him to petition Singh Chando to diminish their number; and he promised, and went on and came to Singh Chando, and there he asked how to choose a wife and how to buy cattle.	I have so much wealth that I cannot look after it all; ask him to take away half from me." The youth promised and went on and he met another man who said that he had so many cattle that he could not build enough cow houses for them and asked him to petition Singh Chando to diminish their number; and he promised, and went on and came to Singh Chando, and there he asked how to choose a wife and how to buy cattle.	false	217.61	245.14	20.593466
90_130566_000010_000004	And Singh Chando said, "When you buy a bullock first put your hand on its quarter and if it shrinks and tries to get free, buy it; and when you want a wife enquire first as to the character of her father and mother; good parents make good children." Then the youth asked about the two men he had met; Singh Chando said;--"Tell the first man when he is ploughing to plough two or three furrows beyond the boundary of his field and his wealth will diminish and tell the second man to drive away three or four of his cattle every day and their number will decrease." So the youth returned and met the man who had too many cattle and told him what Chando had said, and the man thought "If I drive away three or four head of cattle every day I shall soon become poor" so from that time he looked out for any straying cattle and would drive them home with his own; if the owner claimed them, he gave them up, but if no claimant appeared, he kept them and so he became richer than ever.	And Singh Chando said, "When you buy a bullock first put your hand on its quarter and if it shrinks and tries to get free, buy it; and when you want a wife enquire first as to the character of her father and mother; good parents make good children." Then the youth asked about the two men he had met; Singh Chando said;--"Tell the first man when he is ploughing to plough two or three furrows beyond the boundary of his field and his wealth will diminish and tell the second man to drive away three or four of his cattle every day and their number will decrease." So the youth returned and met the man who had too many cattle and told him what Chando had said, and the man thought "If I drive away three or four head of cattle every day I shall soon become poor" so from that time he looked out for any straying cattle and would drive them home with his own; if the owner claimed them, he gave them up, but if no claimant appeared, he kept them and so he became richer than ever.	true	245.96	306.61	20.982079
90_130566_000010_000005	And the youth went on and met the man who was too rich, and when he heard what Chando had said he thought "If I plough over the boundary on to my neighbour's land it will be a great sin and I shall soon become poor;" and he went to his ploughmen and told them never to plough right up to the edge of the field but to leave two of three furrows space, and they obeyed and from that time he grew richer than ever.	And the youth went on and met the man who was too rich, and when he heard what Chando had said he thought "If I plough over the boundary on to my neighbour's land it will be a great sin and I shall soon become poor;" and he went to his ploughmen and told them never to plough right up to the edge of the field but to leave two of three furrows space, and they obeyed and from that time he grew richer than ever.	false	307.01	331.06	19
90_130566_000010_000006	And the youth returned to his mother and told her all that had happened and they understood the meaning of the advice which Chando had given to the two men and acted accordingly.	And the youth returned to his mother and told her all that had happened and they understood the meaning of the advice which Chando had given to the two men and acted accordingly.	true	331.37	341.11	18
90_130566_000010_000007	And it is true that we see that avaricious men who trespass across boundaries become poor.	And it is true that we see that avaricious men who trespass across boundaries become poor.	false	341.87	352.2	23.854317
