3825_134148_000000_000000	CHAPTER 11.	CHAPTER eleven.	false	0.99	21.42	21.606506
3825_134148_000017_000001	How great!' poor Peter cried. 'Yet I must sell my Sunday wig-- The scarf-pin that has been my pride-- My grand piano--and my pig!' Full soon his property took wings: And daily, as each treasure went, He sighed to find the state of things Grow less and less convenient.	How great!' poor peter cried. 'Yet I must sell my Sunday wig- The scarf pin that has been my pride- My grand piano-and my pig!' Full soon his property took wings: And daily, as each treasure went, He sighed to find the state of things Grow less and less convenient.	true	257.46	275.2	22.468176
3825_134148_000018_000000	Weeks grew to months, and months to years: Peter was worn to skin and bone: And once he even said, with tears, 'Remember, Paul, that promised Loan!' Said Paul' I'll lend you, when I can, All the spare money I have got-- Ah, Peter, you're a happy man! Yours is an enviable lot!	Weeks grew to months, and months to years: peter was worn to skin and bone: And once he even said, with tears, 'Remember, Paul, that promised Loan!' Said Paul' I'll lend you, when I can, All the spare money I have got- Ah, peter, you're a happy man! Yours is an enviable lot!	true	275.6	291.9	20
3825_134148_000019_000000	{Image...Such boots as these you seldom see}	{Image...Such boots as these you seldom see}	false	291.9	292.14	-20
3825_134148_000020_000000	'I'm getting stout, as you may see: It is but seldom I am well: I cannot feel my ancient glee In listening to the dinner-bell: But you, you gambol like a boy, Your figure is so spare and light: The dinner-bell's a note of joy To such a healthy appetite!'	'I'm getting stout, as you may see: It is but seldom I am well: I cannot feel my ancient glee In listening to the dinner bell: But you, you gambol like a boy, Your figure is so spare and light: The dinner bell's a note of joy To such a healthy appetite!'	true	292.14	306.55	18
3825_134148_000021_000000	Said Peter 'I am well aware Mine is a state of happiness: And yet how gladly could I spare Some of the comforts I possess! What you call healthy appetite I feel as Hunger's savage tooth: And, when no dinner is in sight, The dinner-bell's a sound of ruth!	Said peter 'I am well aware Mine is a state of happiness: And yet how gladly could I spare Some of the comforts I possess! What you call healthy appetite I feel as Hunger's savage tooth: And, when no dinner is in sight, The dinner bell's a sound of ruth!	true	306.68	321.73	20
3825_134148_000022_000000	'No scare-crow would accept this coat: Such boots as these you seldom see. Ah, Paul, a single five-pound-note Would make another man of me!' Said Paul 'It fills me with surprise To hear you talk in such a tone: I fear you scarcely realise The blessings that are all your own!	'No scare crow would accept this coat: Such boots as these you seldom see. Ah, Paul, a single five pound note Would make another man of me!' Said Paul 'It fills me with surprise To hear you talk in such a tone: I fear you scarcely realise The blessings that are all your own!	true	321.83	338.47	21
3825_134148_000023_000000	'You're safe from being overfed: You're sweetly picturesque in rags: You never know the aching head That comes along with money-bags: And you have time to cultivate That best of qualities, Content-- For which you'll find your present state Remarkably convenient!'	'You're safe from being overfed: You're sweetly picturesque in rags: You never know the aching head That comes along with money bags: And you have time to cultivate That best of qualities, Content- For which you'll find your present state Remarkably convenient!'	true	339.05	354.22	19
3825_134148_000024_000000	Said Peter 'Though I cannot sound The depths of such a man as you, Yet in your character I've found An inconsistency or two. You seem to have long years to spare When there's a promise to fulfil: And yet how punctual you were In calling with that little bill!'	Said peter 'Though I cannot sound The depths of such a man as you, Yet in your character I've found An inconsistency or two. You seem to have long years to spare When there's a promise to fulfil: And yet how punctual you were In calling with that little bill!'	true	354.74	370.21	23
3825_134148_000025_000000	'One can't be too deliberate,' Said Paul, 'in parting with one's pelf. With bills, as you correctly state, I'm punctuality itself: A man may surely claim his dues: But, when there's money to be lent, A man must be allowed to choose Such times as are convenient!'	'One can't be too deliberate,' Said Paul, 'in parting with one's pelf. With bills, as you correctly state, I'm punctuality itself: A man may surely claim his dues: But, when there's money to be lent, A man must be allowed to choose Such times as are convenient!'	true	370.46	386.02	22
3825_134148_000026_000000	It chanced one day, as Peter sat Gnawing a crust--his usual meal-- Paul bustled in to have a chat, And grasped his hand with friendly zeal. 'I knew,' said he, 'your frugal ways: So, that I might not wound your pride By bringing strangers in to gaze, I've left my legal friend outside!	It chanced one day, as peter sat Gnawing a crust-his usual meal- Paul bustled in to have a chat, And grasped his hand with friendly zeal. 'I knew,' said he, 'your frugal ways: So, that I might not wound your pride By bringing strangers in to gaze, I've left my legal friend outside!	true	386.27	402.79	21
3825_134148_000027_000000	'You well remember, I am sure, When first your wealth began to go, And people sneered at one so poor, I never used my Peter so! And when you'd lost your little all, And found yourself a thing despised, I need not ask you to recall How tenderly I sympathised!	'You well remember, I am sure, When first your wealth began to go, And people sneered at one so poor, I never used my peter so! And when you'd lost your little all, And found yourself a thing despised, I need not ask you to recall How tenderly I sympathised!	true	402.86	418.27	20
3825_134148_000028_000000	'Then the advice I've poured on you, So full of wisdom and of wit: All given gratis, though 'tis true I might have fairly charged for it! But I refrain from mentioning Full many a deed I might relate For boasting is a kind of thing That I particularly hate.	'Then the advice I've poured on you, So full of wisdom and of wit: All given gratis, though 'tis true I might have fairly charged for it! But I refrain from mentioning Full many a deed I might relate For boasting is a kind of thing That I particularly hate.	true	418.76	433.08	21
3825_134148_000029_000000	{Image...'I will lend you fifty more!'}	{Image...'I will lend you fifty more!'}	false	433.08	433.89	-20
3825_134148_000030_000000	'How vast the total sum appears Of all the kindnesses I've done, From Childhood's half-forgotten years Down to that Loan of April One! That Fifty Pounds!	'How vast the total sum appears Of all the kindnesses I've done, From Childhood's half forgotten years Down to that Loan of April One! That Fifty Pounds!	true	433.89	442.77	19
3825_134148_000030_000001	You little guessed How deep it drained my slender store: But there's a heart within this breast, And I WILL LEND YOU FIFTY MORE!'	You little guessed How deep it drained my slender store: But there's a heart within this breast, And I WILL LEND YOU FIFTY MORE!'	true	442.77	450.01	22.973587
3825_134148_000031_000000	'Not so,' was Peter's mild reply, His cheeks all wet with grateful tears; No man recalls, so well as I, Your services in bygone years: And this new offer, I admit, Is very very kindly meant-- Still, to avail myself of it Would not be quite convenient!'	'Not so,' was Peter's mild reply, His cheeks all wet with grateful tears; No man recalls, so well as I, Your services in bygone years: And this new offer, I admit, Is very very kindly meant- Still, to avail myself of it Would not be quite convenient!'	true	451.07	467.74	22.027706
3825_134148_000032_000000	You'll see in a moment what the difference is between 'convenient' and 'inconvenient.' You quite understand it now, don't you?" he added, looking kindly at Bruno, who was sitting, at Sylvie's side, on the floor.	You'll see in a moment what the difference is between 'convenient' and 'inconvenient.' You quite understand it now, don't you?" he added, looking kindly at Bruno, who was sitting, at Sylvie's side, on the floor.	true	468.32	479.2	20.892996
3825_134148_000033_000000	"Yes," said Bruno, very quietly.	"Yes," said Bruno, very quietly.	true	479.72	481.96	21.82126
3825_134148_000033_000001	Such a short speech was very unusual, for him: but just then he seemed, I fancied, a little exhausted.	Such a short speech was very unusual, for him: but just then he seemed, I fancied, a little exhausted.	true	482.3	488.92	20.996595
3825_134148_000033_000002	In fact, he climbed up into Sylvie's lap as he spoke, and rested his head against her shoulder.	In fact, he climbed up into Sylvie's lap as he spoke, and rested his head against her shoulder.	true	489.08	494.17	20
3825_134148_000033_000003	"What a many verses it was!" he whispered.	"What a many verses it was!" he whispered.	false	494.87	500.07	23.644455
3825_134148_000034_000000	CHAPTER 12.	CHAPTER twelve.	false	500.07	500.76	15
3825_134148_000034_000001	A MUSICAL GARDENER.	A MUSICAL GARDENER.	false	500.76	501.57	11
3825_134148_000035_000000	The Other Professor regarded him with some anxiety.	The Other Professor regarded him with some anxiety.	false	501.57	503.4	25.018408
3825_134148_000035_000001	"The smaller animal ought to go to bed at once," he said with an air of authority.	"The smaller animal ought to go to bed at once," he said with an air of authority.	false	503.4	505.83	23.385187
