5115_26951_000000_000000	CHAPTER TWENTY SIX.	CHAPTER TWENTY SIX.	false	1.62	15.165	21
5115_26951_000003_000003	As one of the secretaries he was among the officials who were stationed behind the Signoria, and with whom these highest dignities were promiscuously thrown when pressed upon by the horses.	As one of the secretaries he was among the officials who were stationed behind the Signoria, and with whom these highest dignities were promiscuously thrown when pressed upon by the horses.	true	139.52	148.96	14
5115_26951_000004_000000	"Somebody step forward and say a few words in French," said Soderini. But no one of high importance chose to risk a second failure.	"Somebody step forward and say a few words in French," said Soderini. But no one of high importance chose to risk a second failure.	true	149.48	156.19	17
5115_26951_000004_000001	"You, Francesco Gaddi--you can speak." But Gaddi, distrusting his own promptness, hung back, and pushing Tito, said, "You, Melema."	"You, Francesco Gaddi-you can speak." But Gaddi, distrusting his own promptness, hung back, and pushing Tito, said, "You, Melema."	true	156.2	163.33	18.893772
5115_26951_000005_000000	Tito stepped forward in an instant, and, with the air of profound deference that came as naturally to him as walking, said the few needful words in the name of the Signoria; then gave way gracefully, and let the king pass on.	Tito stepped forward in an instant, and, with the air of profound deference that came as naturally to him as walking, said the few needful words in the name of the Signoria; then gave way gracefully, and let the king pass on.	false	163.55	175.3	17
5115_26951_000005_000001	His presence of mind, which had failed him in the terrible crisis of the morning, had been a ready instrument this time. It was an excellent livery servant that never forsook him when danger was not visible.	His presence of mind, which had failed him in the terrible crisis of the morning, had been a ready instrument this time. It was an excellent livery servant that never forsook him when danger was not visible.	true	175.46	186.01	17
5115_26951_000005_000002	But when he was complimented on his opportune service, he laughed it off as a thing of no moment, and to those who had not witnessed it, let Gaddi have the credit of the improvised welcome.	But when he was complimented on his opportune service, he laughed it off as a thing of no moment, and to those who had not witnessed it, let Gaddi have the credit of the improvised welcome.	true	186.29	195.52	18
5115_26951_000005_000003	No wonder Tito was popular: the touchstone by which men try us is most often their own vanity.	No wonder Tito was popular: the touchstone by which men try us is most often their own vanity.	true	195.53	200.77	16
5115_26951_000006_000000	Other things besides the oratorical welcome had turned out rather worse than had been expected.	Other things besides the oratorical welcome had turned out rather worse than had been expected.	true	201.5	206.38	19
5115_26951_000006_000001	If everything had happened according to ingenious preconceptions, the Florentine procession of clergy and laity would not have found their way choked up and been obliged to take a makeshift course through the back streets, so as to meet the king at the Cathedral only.	If everything had happened according to ingenious preconceptions, the Florentine procession of clergy and laity would not have found their way choked up and been obliged to take a makeshift course through the back streets, so as to meet the king at the Cathedral only.	true	206.78	219.58	19
5115_26951_000006_000002	Also, if the young monarch under the canopy, seated on his charger with his lance upon his thigh, had looked more like a Charlemagne and less like a hastily modelled grotesque, the imagination of his admirers would have been much assisted.	Also, if the young monarch under the canopy, seated on his charger with his lance upon his thigh, had looked more like a Charlemagne and less like a hastily modelled grotesque, the imagination of his admirers would have been much assisted.	true	219.74	231.79	16
5115_26951_000006_000003	It might have been wished that the scourge of Italian wickedness and "Champion of the honour of women" had had a less miserable leg, and only the normal sum of toes; that his mouth had been of a less reptilian width of slit, his nose and head of a less exorbitant outline.	It might have been wished that the scourge of Italian wickedness and "Champion of the honour of women" had had a less miserable leg, and only the normal sum of toes; that his mouth had been of a less reptilian width of slit, his nose and head of a less exorbitant outline.	true	231.86	245.7	17
5115_26951_000006_000004	But the thin leg rested on cloth of gold and pearls, and the face was only an interruption of a few square inches in the midst of black velvet and gold, and the blaze of rubies, and the brilliant tints of the embroidered and bepearled canopy,--"_fu gran magnificenza_."	But the thin leg rested on cloth of gold and pearls, and the face was only an interruption of a few square inches in the midst of black velvet and gold, and the blaze of rubies, and the brilliant tints of the embroidered and bepearled canopy,--"underscore fu gran magnificenza underscore."	false	245.7	260.49	18
5115_26951_000007_000000	And the people had cried _Francia, Francia_! with an enthusiasm proportioned to the splendour of the canopy which they had torn to pieces as their spoil, according to immemorial custom; royal lips had duly kissed the altar; and after all mischances the royal person and retinue were lodged in the Palace of the Via Larga, the rest of the nobles and gentry were dispersed among the great houses of Florence, and the terrible soldiery were encamped in the Prato and other open quarters.	And the people had cried underscore Francia, Francia underscore! with an enthusiasm proportioned to the splendour of the canopy which they had torn to pieces as their spoil, according to immemorial custom; royal lips had duly kissed the altar; and after all mischances the royal person and retinue were lodged in the Palace of the Via Larga, the rest of the nobles and gentry were dispersed among the great houses of Florence, and the terrible soldiery were encamped in the Prato and other open quarters.	false	260.49	285.49	17
5115_26951_000007_000001	The business of the day was ended.	The business of the day was ended.	true	285.74	287.56	17.69691
5115_26951_000008_000000	But the streets still presented a surprising aspect, such as Florentines had not seen before under the November stars.	But the streets still presented a surprising aspect, such as Florentines had not seen before under the November stars.	true	287.66	293.71	16
5115_26951_000008_000001	Instead of a gloom unbroken except by a lamp burning feebly here and there before a saintly image at the street-corners, or by a stream of redder light from an open doorway, there were lamps suspended at the windows of all houses, so that men could walk along no less securely and commodiously than by day,--_fu gran magnificenza_.	Instead of a gloom unbroken except by a lamp burning feebly here and there before a saintly image at the street corners, or by a stream of redder light from an open doorway, there were lamps suspended at the windows of all houses, so that men could walk along no less securely and commodiously than by day,--underscore fu gran magnificenza underscore.	false	294.14	313.05	18
5115_26951_000009_000000	Along those illuminated streets Tito Melema was walking at about eight o'clock in the evening, on his way homeward.	Along those illuminated streets Tito Melema was walking at about eight o'clock in the evening, on his way homeward.	true	313.05	319.05	16
5115_26951_000009_000001	He had been exerting himself throughout the day under the pressure of hidden anxieties, and had at last made his escape unnoticed from the midst of after-supper gaiety.	He had been exerting himself throughout the day under the pressure of hidden anxieties, and had at last made his escape unnoticed from the midst of after supper gaiety.	false	319.05	327.31	16
5115_26951_000009_000002	Once at leisure thoroughly to face and consider his circumstances, he hoped that he could so adjust himself to them and to all probabilities as to get rid of his childish fear.	Once at leisure thoroughly to face and consider his circumstances, he hoped that he could so adjust himself to them and to all probabilities as to get rid of his childish fear.	true	327.47	337.3	17
5115_26951_000009_000003	If he had only not been wanting in the presence of mind necessary to recognise Baldassarre under that surprise!--it would have been happier for him on all accounts; for he still winced under the sense that he was deliberately inflicting suffering on his father: he would very much have preferred that Baldassarre should be prosperous and happy.	If he had only not been wanting in the presence of mind necessary to recognise Baldassarre under that surprise!--it would have been happier for him on all accounts; for he still winced under the sense that he was deliberately inflicting suffering on his father: he would very much have preferred that Baldassarre should be prosperous and happy.	true	337.46	354.49	18
5115_26951_000009_000004	But he had left himself no second path now: there could be no conflict any longer: the only thing he had to do was to take care of himself.	But he had left himself no second path now: there could be no conflict any longer: the only thing he had to do was to take care of himself.	true	354.5	361.78	22
5115_26951_000010_000000	While these thoughts were in his mind he was advancing from the Piazza di Santa Croce along the Via dei Benci, and as he neared the angle turning into the Borgo Santa Croce his ear was struck by a music which was not that of evening revelry, but of vigorous labour--the music of the anvil.	While these thoughts were in his mind he was advancing from the Piazza di Santa Croce along the Via dei Benci, and as he neared the angle turning into the Borgo Santa Croce his ear was struck by a music which was not that of evening revelry, but of vigorous labour-the music of the anvil.	false	362.27	377.98	20
5115_26951_000010_000001	Tito gave a slight start and quickened his pace, for the sounds had suggested a welcome thought.	Tito gave a slight start and quickened his pace, for the sounds had suggested a welcome thought.	true	378.26	383.14	21
5115_26951_000010_000002	He knew that they came from the workshop of Niccolo Caparra, famous resort of all Florentines who cared for curious and beautiful iron-work.	He knew that they came from the workshop of Niccolo Caparra, famous resort of all Florentines who cared for curious and beautiful iron work.	true	383.15	389.89	19
5115_26951_000011_000000	"What makes the giant at work so late?" thought Tito.	"What makes the giant at work so late?" thought Tito.	true	390.2	393.07	21
5115_26951_000011_000001	"But so much the better for me.	"But so much the better for me.	true	393.26	394.74	17.27796
5115_26951_000011_000002	I can do that little bit of business to-night instead of to-morrow morning."	I can do that little bit of business to night instead of to morrow morning."	true	394.74	397.99	19
5115_26951_000012_000000	Preoccupied as he was, he could not help pausing a moment in admiration as he came in front of the workshop.	Preoccupied as he was, he could not help pausing a moment in admiration as he came in front of the workshop.	true	398.66	404.07	21
5115_26951_000012_000001	The wide doorway, standing at the truncated angle of a great block or "isle" of houses, was surmounted by a loggia roofed with fluted tiles, and supported by stone columns with roughly carved capitals.	The wide doorway, standing at the truncated angle of a great block or "isle" of houses, was surmounted by a loggia roofed with fluted tiles, and supported by stone columns with roughly carved capitals.	false	404.07	414.4	20
5115_26951_000012_000002	Against the red light framed in by the outline of the fluted tiles and columns stood in black relief the grand figure of Niccolo, with his huge arms in rhythmic rise and fall, first hiding and then disclosing the profile of his firm mouth and powerful brow. Two slighter ebony figures, one at the anvil, the other at the bellows, served to set off his superior massiveness.	Against the red light framed in by the outline of the fluted tiles and columns stood in black relief the grand figure of Niccolo, with his huge arms in rhythmic rise and fall, first hiding and then disclosing the profile of his firm mouth and powerful brow. Two slighter ebony figures, one at the anvil, the other at the bellows, served to set off his superior massiveness.	false	414.59	434.86	20
5115_26951_000013_000000	Tito darkened the doorway with a very different outline, standing in silence, since it was useless to speak until Niccolo should deign to pause and notice him.	Tito darkened the doorway with a very different outline, standing in silence, since it was useless to speak until Niccolo should deign to pause and notice him.	false	435.11	443.35	20
5115_26951_000013_000001	That was not until the smith had beaten the head of an axe to the due sharpness of edge and dismissed it from his anvil. But in the meantime Tito had satisfied himself by a glance round the shop that the object of which he was in search had not disappeared.	That was not until the smith had beaten the head of an axe to the due sharpness of edge and dismissed it from his anvil. But in the meantime Tito had satisfied himself by a glance round the shop that the object of which he was in search had not disappeared.	true	443.42	456.43	20
5115_26951_000014_000000	Niccolo gave an unceremonious but good-humoured nod as he turned from the anvil and rested his hammer on his hip.	Niccolo gave an unceremonious but good humoured nod as he turned from the anvil and rested his hammer on his hip.	true	456.5	462.31	19
5115_26951_000015_000000	"What is it, Messer Tito?	"What is it, Messer Tito?	true	462.32	463.53	17
5115_26951_000015_000001	Business?"	Business?"	true	463.53	464.265	18
5115_26951_000016_000000	"Assuredly, Niccolo; else I should not have ventured to interrupt you when you are working out of hours, since I take that as a sign that your work is pressing."	"Assuredly, Niccolo; else I should not have ventured to interrupt you when you are working out of hours, since I take that as a sign that your work is pressing."	true	464.265	472	20.673353
5115_26951_000017_000000	"I've been at the same work all day--making axes and spear-heads.	"I've been at the same work all day-making axes and spear heads.	true	472.64	476.08	17
5115_26951_000017_000001	And every fool that has passed my shop has put his pumpkin-head in to say, `Niccolo, wilt thou not come and see the King of France and his soldiers?' and I've answered, `No: I don't want to see their faces--I want to see their backs.'"	And every fool that has passed my shop has put his pumpkin head in to say, backquote Niccolo, wilt thou not come and see the King of France and his soldiers?' and I've answered, backquote No: I don't want to see their faces-I want to see their backs.'"	false	476.15	487.24	19
5115_26951_000018_000000	"Are you making arms for the citizens, then, Niccolo, that they may have something better than rusty scythes and spits in case of an uproar?"	"Are you making arms for the citizens, then, Niccolo, that they may have something better than rusty scythes and spits in case of an uproar?"	true	487.4	493.81	19
5115_26951_000019_000000	"We shall see.	"We shall see.	true	493.97	494.805	18
5115_26951_000019_000001	Arms are good, and Florence is likely to want them.	Arms are good, and Florence is likely to want them.	true	494.805	497.23	21
5115_26951_000019_000002	The Frate tells us we shall get Pisa again, and I hold with the Frate; but I should be glad to know how the promise is to be fulfilled, if we don't get plenty of good weapons forged?	The Frate tells us we shall get Pisa again, and I hold with the Frate; but I should be glad to know how the promise is to be fulfilled, if we don't get plenty of good weapons forged?	true	497.3	506.5	22.230467
5115_26951_000019_000003	The Frate sees a long way before him; that I believe.	The Frate sees a long way before him; that I believe.	true	506.75	509.625	21
5115_26951_000019_000004	But he doesn't see birds caught with winking at them, as some of our people try to make out.	But he doesn't see birds caught with winking at them, as some of our people try to make out.	false	509.625	513.96	22.87672
5115_26951_000019_000005	He sees sense, and not nonsense.	He sees sense, and not nonsense.	true	513.96	515.8	20
5115_26951_000019_000006	But you're a bit of a Medicean, Messer Tito Melema.	But you're a bit of a Medicean, Messer Tito Melema.	true	516.56	519.33	18.54948
5115_26951_000019_000007	Ebbene! so I've been myself in my time, before the cask began to run sour. What's your business?"	Ebbene! so I've been myself in my time, before the cask began to run sour. What's your business?"	false	519.33	525.04	22.622448
5115_26951_000020_000000	"Simply to know the price of that fine coat of mail I saw hanging up here the other day.	"Simply to know the price of that fine coat of mail I saw hanging up here the other day.	true	525.26	529.33	17
5115_26951_000020_000001	I want to buy it for a certain personage who needs a protection of that sort under his doublet."	I want to buy it for a certain personage who needs a protection of that sort under his doublet."	true	529.4	533.71	23
5115_26951_000021_000000	"Let him come and buy it himself, then," said Niccolo, bluntly.	"Let him come and buy it himself, then," said Niccolo, bluntly.	true	533.93	536.92	21.17409
5115_26951_000021_000001	"I'm rather nice about what I sell, and whom I sell to.	"I'm rather nice about what I sell, and whom I sell to.	true	536.99	539.91	20
5115_26951_000021_000002	I like to know who's my customer."	I like to know who's my customer."	true	539.91	541.81	22.422768
5115_26951_000022_000000	"I know your scruples, Niccolo.	"I know your scruples, Niccolo.	true	541.94	543.525	18.789083
5115_26951_000022_000001	But that is only defensive armour: it can hurt nobody."	But that is only defensive armour: it can hurt nobody."	true	543.525	546.57	19.997465
5115_26951_000023_000000	"True: but it may make the man who wears it feel himself all the safer if he should want to hurt somebody.	"True: but it may make the man who wears it feel himself all the safer if he should want to hurt somebody.	false	546.57	552.34	20.132885
5115_26951_000023_000001	No, no; it's not my own work; but it's fine work of Maso of Brescia; I should be loth for it to cover the heart of a scoundrel.	No, no; it's not my own work; but it's fine work of Maso of Brescia; I should be loth for it to cover the heart of a scoundrel.	true	552.5	559.815	20
5115_26951_000023_000002	I must know who is to wear it."	I must know who is to wear it."	true	559.815	561.58	18.06643
5115_26951_000024_000000	"Well, then, to be plain with you, Niccolo mio, I want it myself," said Tito, knowing it was useless to try persuasion.	"Well, then, to be plain with you, Niccolo mio, I want it myself," said Tito, knowing it was useless to try persuasion.	true	561.74	568	20
5115_26951_000024_000001	"The fact is, I am likely to have a journey to take--and you know what journeying is in these times.	"The fact is, I am likely to have a journey to take-and you know what journeying is in these times.	true	568.1	573.4	20
5115_26951_000024_000002	You don't suspect _me_ of treason against the Republic?"	You don't suspect underscore me underscore of treason against the Republic?"	false	573.5	576.22	23.173399
5115_26951_000025_000000	"No, I know no harm of you," said Niccolo, in his blunt way again.	"No, I know no harm of you," said Niccolo, in his blunt way again.	true	576.86	579.94	19
5115_26951_000025_000001	"But have you the money to pay for the coat?	"But have you the money to pay for the coat?	true	579.95	581.95	21.12537
5115_26951_000025_000002	For you've passed my shop often enough to know my sign: you've seen the burning account-books.	For you've passed my shop often enough to know my sign: you've seen the burning account books.	true	581.96	586.47	20
5115_26951_000025_000003	I trust nobody.	I trust nobody.	true	586.47	587.535	20
5115_26951_000025_000004	The price is twenty florins, and that's because it's second-hand.	The price is twenty florins, and that's because it's second-hand.	true	587.535	590.56	17
5115_26951_000025_000005	You're not likely to have so much money with you.	You're not likely to have so much money with you.	true	590.6	592.9	22.389715
5115_26951_000025_000006	Let it be till to-morrow."	Let it be till to morrow."	true	593	594.58	24.762651
5115_26951_000026_000000	"I happen to have the money," said Tito, who had been winning at play the day before, and had not emptied his purse.	"I happen to have the money," said Tito, who had been winning at play the day before, and had not emptied his purse.	true	595.01	600.78	21
5115_26951_000026_000001	"I'll carry the armour home with me."	"I'll carry the armour home with me."	true	600.78	602.59	18.991777
5115_26951_000027_000000	Niccolo reached down the finely-wrought coat, which fell together into little more than two handfuls.	Niccolo reached down the finely wrought coat, which fell together into little more than two handfuls.	true	602.66	607.84	20
5115_26951_000028_000000	"There, then," he said, when the florins had been told down on his palm. "Take the coat.	"There, then," he said, when the florins had been told down on his palm. "Take the coat.	true	607.97	612.105	21.235489
5115_26951_000028_000001	It's made to cheat sword, or poniard, or arrow.	It's made to cheat sword, or poniard, or arrow.	true	612.105	614.89	19
5115_26951_000028_000002	But, for my part, I would never put such a thing on.	But, for my part, I would never put such a thing on.	true	615.05	617.535	23
5115_26951_000028_000003	It's like carrying fear about with one."	It's like carrying fear about with one."	true	617.535	619.48	19
5115_26951_000029_000000	Niccolo's words had an unpleasant intensity of meaning for Tito.	Niccolo's words had an unpleasant intensity of meaning for Tito.	true	619.64	622.845	19
5115_26951_000029_000001	But he smiled and said--	But he smiled and said-	true	622.845	623.97	19
5115_26951_000030_000000	"Ah, Niccolo, we scholars are all cowards.	"Ah, Niccolo, we scholars are all cowards.	false	623.97	626.68	16
5115_26951_000030_000001	Handling the pen doesn't thicken the arm as your hammer-wielding does.	Handling the pen doesn't thicken the arm as your hammer wielding does.	true	626.69	630	17
5115_26951_000030_000002	Addio!"	Addio!"	false	630	631.11	22.013506
5115_26951_000031_000000	He folded the armour under his mantle, and hastened across the Ponte Rubaconte.	He folded the armour under his mantle, and hastened across the Ponte Rubaconte.	false	631.11	635.61	19.388575
5115_26951_000032_000000	CHAPTER TWENTY SEVEN.	CHAPTER TWENTY SEVEN.	false	635.61	636.3	23
5115_26951_000033_000000	THE YOUNG WIFE.	THE YOUNG WIFE.	false	636.3	636.33	1
5115_26951_000034_000000	While Tito was hastening across the bridge with the new-bought armour under his mantle, Romola was pacing up and down the old library, thinking of him and longing for his return.	While Tito was hastening across the bridge with the new bought armour under his mantle, Romola was pacing up and down the old library, thinking of him and longing for his return.	false	636.33	641.55	14.51521
