1776_139035_000001_000000	1.	one.
1776_139035_000005_000002	It is otherwise when the rites are performed, not by the hunters, the fishers, the farmers themselves, but by professional magicians on their behalf.	It is otherwise when the rites are performed, not by the hunters, the fishers, the farmers themselves, but by professional magicians on their behalf.
1776_139035_000005_000004	But a great step in advance has been taken when a special class of magicians has been instituted; when, in other words, a number of men have been set apart for the express purpose of benefiting the whole community by their skill, whether that skill be directed to the healing of diseases, the forecasting of the future, the regulation of the weather, or any other object of general utility.	But a great step in advance has been taken when a special class of magicians has been instituted; when, in other words, a number of men have been set apart for the express purpose of benefiting the whole community by their skill, whether that skill be directed to the healing of diseases, the forecasting of the future, the regulation of the weather, or any other object of general utility.
1776_139035_000005_000005	The impotence of the means adopted by most of these practitioners to accomplish their ends ought not to blind us to the immense importance of the institution itself.	The impotence of the means adopted by most of these practitioners to accomplish their ends ought not to blind us to the immense importance of the institution itself.
1776_139035_000005_000006	Here is a body of men relieved, at least in the higher stages of savagery, from the need of earning their livelihood by hard manual toil, and allowed, nay, expected and encouraged, to prosecute researches into the secret ways of nature.	Here is a body of men relieved, at least in the higher stages of savagery, from the need of earning their livelihood by hard manual toil, and allowed, nay, expected and encouraged, to prosecute researches into the secret ways of nature.
1776_139035_000005_000009	The slow, the never-ending approach to truth consists in perpetually forming and testing hypotheses, accepting those which at the time seem to fit the facts and rejecting the others.	The slow, the never ending approach to truth consists in perpetually forming and testing hypotheses, accepting those which at the time seem to fit the facts and rejecting the others.
1776_139035_000005_000011	Ridicule and blame are the just meed, not of those who devised these crude theories, but of those who obstinately adhered to them after better had been propounded.	Ridicule and blame are the just meed, not of those who devised these crude theories, but of those who obstinately adhered to them after better had been propounded.
1776_139035_000005_000013	To maintain at least a show of knowledge was absolutely necessary; a single mistake detected might cost them their life. This no doubt led them to practise imposture for the purpose of concealing their ignorance; but it also supplied them with the most powerful motive for substituting a real for a sham knowledge, since, if you would appear to know anything, by far the best way is actually to know it.	To maintain at least a show of knowledge was absolutely necessary; a single mistake detected might cost them their life. This no doubt led them to practise imposture for the purpose of concealing their ignorance; but it also supplied them with the most powerful motive for substituting a real for a sham knowledge, since, if you would appear to know anything, by far the best way is actually to know it.
1776_139035_000005_000014	Thus, however justly we may reject the extravagant pretensions of magicians and condemn the deceptions which they have practised on mankind, the original institution of this class of men has, take it all in all, been productive of incalculable good to humanity.	Thus, however justly we may reject the extravagant pretensions of magicians and condemn the deceptions which they have practised on mankind, the original institution of this class of men has, take it all in all, been productive of incalculable good to humanity.
1776_139035_000005_000015	They were the direct predecessors, not merely of our physicians and surgeons, but of our investigators and discoverers in every branch of natural science.	They were the direct predecessors, not merely of our physicians and surgeons, but of our investigators and discoverers in every branch of natural science.
1776_139035_000006_000001	The Magical Control of Rain	The Magical Control of Rain
1776_139035_000007_000000	OF THE THINGS which the public magician sets himself to do for the good of the tribe, one of the chief is to control the weather and especially to ensure an adequate fall of rain.	OF THE THINGS which the public magician sets himself to do for the good of the tribe, one of the chief is to control the weather and especially to ensure an adequate fall of rain.
1776_139035_000007_000001	Water is an essential of life, and in most countries the supply of it depends upon showers.	Water is an essential of life, and in most countries the supply of it depends upon showers.
1776_139035_000007_000003	Hence in savage communities the rain-maker is a very important personage; and often a special class of magicians exists for the purpose of regulating the heavenly water-supply.	Hence in savage communities the rain maker is a very important personage; and often a special class of magicians exists for the purpose of regulating the heavenly water supply.
1776_139035_000007_000004	The methods by which they attempt to discharge the duties of their office are commonly, though not always, based on the principle of homoeopathic or imitative magic.	The methods by which they attempt to discharge the duties of their office are commonly, though not always, based on the principle of homoeopathic or imitative magic.
1776_139035_000007_000005	If they wish to make rain they simulate it by sprinkling water or mimicking clouds: if their object is to stop rain and cause drought, they avoid water and resort to warmth and fire for the sake of drying up the too abundant moisture.	If they wish to make rain they simulate it by sprinkling water or mimicking clouds: if their object is to stop rain and cause drought, they avoid water and resort to warmth and fire for the sake of drying up the too abundant moisture.
1776_139035_000007_000007	They are, or used to be, common enough among outwardly civilised folk in the moister climate of Europe.	They are, or used to be, common enough among outwardly civilised folk in the moister climate of Europe.
1776_139035_000007_000008	I will now illustrate them by instances drawn from the practice both of public and private magic.	I will now illustrate them by instances drawn from the practice both of public and private magic.
1776_139035_000008_000000	Thus, for example, in a village near Dorpat, in Russia, when rain was much wanted, three men used to climb up the fir-trees of an old sacred grove.	Thus, for example, in a village near Dorpat, in Russia, when rain was much wanted, three men used to climb up the fir trees of an old sacred grove.
1776_139035_000008_000001	One of them drummed with a hammer on a kettle or small cask to imitate thunder; the second knocked two fire-brands together and made the sparks fly, to imitate lightning; and the third, who was called "the rain-maker," had a bunch of twigs with which he sprinkled water from a vessel on all sides.	One of them drummed with a hammer on a kettle or small cask to imitate thunder; the second knocked two fire brands together and made the sparks fly, to imitate lightning; and the third, who was called "the rain maker," had a bunch of twigs with which he sprinkled water from a vessel on all sides.
1776_139035_000008_000007	Lastly, they squirt the water into the air, making a fine mist.	Lastly, they squirt the water into the air, making a fine mist.
1776_139035_000008_000008	This saves the corn.	This saves the corn.
1776_139035_000008_000011	The pipes were perforated like the nozzle of a watering-can, and through the holes the rain-maker blew the water towards that part of the sky where the clouds hung heaviest.	The pipes were perforated like the nozzle of a watering can, and through the holes the rain maker blew the water towards that part of the sky where the clouds hung heaviest.
1776_139035_000008_000013	When the rains do not come in due season the people of Central Angoniland repair to what is called the rain-temple.	When the rains do not come in due season the people of Central Angoniland repair to what is called the rain temple.
1776_139035_000008_000015	We must perish indeed.	We must perish indeed.
1776_139035_000008_000017	Next they take branches of trees and dance and sing for rain. When they return to the village they find a vessel of water set at the doorway by an old woman; so they dip their branches in it and wave them aloft, so as to scatter the drops.	Next they take branches of trees and dance and sing for rain. When they return to the village they find a vessel of water set at the doorway by an old woman; so they dip their branches in it and wave them aloft, so as to scatter the drops.
1776_139035_000008_000018	After that the rain is sure to come driving up in heavy clouds.	After that the rain is sure to come driving up in heavy clouds.
1776_139035_000008_000019	In these practices we see a combination of religion with magic; for while the scattering of the water-drops by means of branches is a purely magical ceremony, the prayer for rain and the offering of beer are purely religious rites. In the Mara tribe of Northern Australia the rain-maker goes to a pool and sings over it his magic song.	In these practices we see a combination of religion with magic; for while the scattering of the water drops by means of branches is a purely magical ceremony, the prayer for rain and the offering of beer are purely religious rites. In the Mara tribe of Northern Australia the rain maker goes to a pool and sings over it his magic song.
1776_139035_000008_000021	After that he throws water all over himself, scatters it about, and returns quietly to the camp.	After that he throws water all over himself, scatters it about, and returns quietly to the camp.
1776_139035_000008_000023	They cut a branch from a certain tree in the desert, set it on fire, and then sprinkled the burning brand with water. After that the vehemence of the rain abated, just as the water vanished when it fell on the glowing brand.	They cut a branch from a certain tree in the desert, set it on fire, and then sprinkled the burning brand with water. After that the vehemence of the rain abated, just as the water vanished when it fell on the glowing brand.
1776_139035_000008_000026	Here the putting out the fire with water, which is an imitation of rain, is reinforced by the influence of the dead man, who, having been burnt to death, will naturally be anxious for the descent of rain to cool his scorched body and assuage his pangs.	Here the putting out the fire with water, which is an imitation of rain, is reinforced by the influence of the dead man, who, having been burnt to death, will naturally be anxious for the descent of rain to cool his scorched body and assuage his pangs.
1776_139035_000009_000001	Thus the Sulka of New Britain heat stones red hot in the fire and then put them out in the rain, or they throw hot ashes in the air.	Thus the Sulka of New Britain heat stones red hot in the fire and then put them out in the rain, or they throw hot ashes in the air.
1776_139035_000009_000004	That is supposed to stop the downpour.	That is supposed to stop the downpour.
1776_139035_000010_000000	In time of severe drought the Dieri of Central Australia, loudly lamenting the impoverished state of the country and their own half-starved condition, call upon the spirits of their remote predecessors, whom they call Mura-muras, to grant them power to make a heavy rain-fall.	In time of severe drought the Dieri of Central Australia, loudly lamenting the impoverished state of the country and their own half starved condition, call upon the spirits of their remote predecessors, whom they call Mura muras, to grant them power to make a heavy rain fall.
1776_139035_000010_000005	At the same time the two bleeding men throw handfuls of down about, some of which adheres to the blood-stained bodies of their comrades, while the rest floats in the air.	At the same time the two bleeding men throw handfuls of down about, some of which adheres to the blood stained bodies of their comrades, while the rest floats in the air.
1776_139035_000010_000006	The blood is thought to represent the rain, and the down the clouds.	The blood is thought to represent the rain, and the down the clouds.
1776_139035_000010_000008	Then the wizards who were bled carry away the two stones for about ten or fifteen miles, and place them as high as they can in the tallest tree.	Then the wizards who were bled carry away the two stones for about ten or fifteen miles, and place them as high as they can in the tallest tree.
1776_139035_000010_000009	Meanwhile the other men gather gypsum, pound it fine, and throw it into a water-hole.	Meanwhile the other men gather gypsum, pound it fine, and throw it into a water hole.
1776_139035_000010_000010	This the Mura-muras see, and at once they cause clouds to appear in the sky.	This the Mura muras see, and at once they cause clouds to appear in the sky.
1776_139035_000010_000011	Lastly, the men, young and old, surround the hut, and, stooping down, butt at it with their heads, like so many rams.	Lastly, the men, young and old, surround the hut, and, stooping down, butt at it with their heads, like so many rams.
1776_139035_000010_000012	Thus they force their way through it and reappear on the other side, repeating the process till the hut is wrecked.	Thus they force their way through it and reappear on the other side, repeating the process till the hut is wrecked.
1776_139035_000010_000015	The Dieri also imagine that the foreskins taken from lads at circumcision have a great power of producing rain.	The Dieri also imagine that the foreskins taken from lads at circumcision have a great power of producing rain.
1776_139035_000010_000020	After the rains have fallen, some of the tribe always undergo a surgical operation, which consists in cutting the skin of their chest and arms with a sharp flint.	After the rains have fallen, some of the tribe always undergo a surgical operation, which consists in cutting the skin of their chest and arms with a sharp flint.
1776_139035_000010_000021	The wound is then tapped with a flat stick to increase the flow of blood, and red ochre is rubbed into it.	The wound is then tapped with a flat stick to increase the flow of blood, and red ochre is rubbed into it.
1776_139035_000010_000022	Raised scars are thus produced.	Raised scars are thus produced.
1776_139035_000010_000024	Apparently the operation is not very painful, for the patient laughs and jokes while it is going on.	Apparently the operation is not very painful, for the patient laughs and jokes while it is going on.
1776_139035_000010_000026	However, they were not so well pleased next day, when they felt their wounds stiff and sore.	However, they were not so well pleased next day, when they felt their wounds stiff and sore.
1776_139035_000010_000027	In Java, when rain is wanted, two men will sometimes thrash each other with supple rods till the blood flows down their backs; the streaming blood represents the rain, and no doubt is supposed to make it fall on the ground.	In Java, when rain is wanted, two men will sometimes thrash each other with supple rods till the blood flows down their backs; the streaming blood represents the rain, and no doubt is supposed to make it fall on the ground.
1776_139035_000010_000028	The people of Egghiou, a district of Abyssinia, used to engage in sanguinary conflicts with each other, village against village, for a week together every January for the purpose of procuring rain.	The people of Egghiou, a district of Abyssinia, used to engage in sanguinary conflicts with each other, village against village, for a week together every January for the purpose of procuring rain.
1776_139035_000010_000029	Some years ago the emperor Menelik forbade the custom.	Some years ago the emperor Menelik forbade the custom.
1776_139035_000011_000000	There is a widespread belief that twin children possess magical powers over nature, especially over rain and the weather.	There is a widespread belief that twin children possess magical powers over nature, especially over rain and the weather.
1776_139035_000011_000001	This curious superstition prevails among some of the Indian tribes of British Columbia, and has led them often to impose certain singular restrictions or taboos on the parents of twins, though the exact meaning of these restrictions is generally obscure.	This curious superstition prevails among some of the Indian tribes of British Columbia, and has led them often to impose certain singular restrictions or taboos on the parents of twins, though the exact meaning of these restrictions is generally obscure.
1776_139035_000011_000002	Thus the Tsimshian Indians of British Columbia believe that twins control the weather; therefore they pray to wind and rain, "Calm down, breath of the twins." Further, they think that the wishes of twins are always fulfilled; hence twins are feared, because they can harm the man they hate.	Thus the Tsimshian Indians of British Columbia believe that twins control the weather; therefore they pray to wind and rain, "Calm down, breath of the twins." Further, they think that the wishes of twins are always fulfilled; hence twins are feared, because they can harm the man they hate.
1776_139035_000011_000004	In their childhood they can summon any wind by motions of their hands, and they can make fair or foul weather, and also cure diseases by swinging a large wooden rattle.	In their childhood they can summon any wind by motions of their hands, and they can make fair or foul weather, and also cure diseases by swinging a large wooden rattle.
1776_139035_000011_000005	The Nootka Indians of British Columbia also believe that twins are somehow related to salmon. Hence among them twins may not catch salmon, and they may not eat or even handle the fresh fish.	The Nootka Indians of British Columbia also believe that twins are somehow related to salmon. Hence among them twins may not catch salmon, and they may not eat or even handle the fresh fish.
1776_139035_000011_000006	They can make fair or foul weather, and can cause rain to fall by painting their faces black and then washing them, which may represent the rain dripping from the dark clouds.	They can make fair or foul weather, and can cause rain to fall by painting their faces black and then washing them, which may represent the rain dripping from the dark clouds.
1776_139035_000011_000007	The Shuswap Indians, like the Thompson Indians, associate twins with the grizzly bear, for they call them "young grizzly bears." According to them, twins remain throughout life endowed with supernatural powers.	The Shuswap Indians, like the Thompson Indians, associate twins with the grizzly bear, for they call them "young grizzly bears." According to them, twins remain throughout life endowed with supernatural powers.
1776_139035_000011_000008	In particular they can make good or bad weather.	In particular they can make good or bad weather.
1776_139035_000011_000009	They produce rain by spilling water from a basket in the air; they make fine weather by shaking a small flat piece of wood attached to a stick by a string; they raise storms by strewing down on the ends of spruce branches.	They produce rain by spilling water from a basket in the air; they make fine weather by shaking a small flat piece of wood attached to a stick by a string; they raise storms by strewing down on the ends of spruce branches.
1776_139035_000012_000006	Further, the women must repair to the house of one of their gossips who has given birth to twins, and must drench her with water, which they carry in little pitchers.	Further, the women must repair to the house of one of their gossips who has given birth to twins, and must drench her with water, which they carry in little pitchers.
1776_139035_000012_000007	Having done so they go on their way, shrieking out their loose songs and dancing immodest dances.	Having done so they go on their way, shrieking out their loose songs and dancing immodest dances.
1776_139035_000012_000009	If they meet a man, they maul him and thrust him aside.	If they meet a man, they maul him and thrust him aside.
1776_139035_000012_000010	When they have cleansed the wells, they must go and pour water on the graves of their ancestors in the sacred grove.	When they have cleansed the wells, they must go and pour water on the graves of their ancestors in the sacred grove.
1776_139035_000012_000011	It often happens, too, that at the bidding of the wizard they go and pour water on the graves of twins.	It often happens, too, that at the bidding of the wizard they go and pour water on the graves of twins.
1776_139035_000012_000013	If all their efforts to procure rain prove abortive, they will remember that such and such a twin was buried in a dry place on the side of a hill.	If all their efforts to procure rain prove abortive, they will remember that such and such a twin was buried in a dry place on the side of a hill.
1776_139035_000012_000014	"No wonder," says the wizard in such a case, "that the sky is fiery.	"No wonder," says the wizard in such a case, "that the sky is fiery.
1776_139035_000013_000000	Some of the foregoing facts strongly support an interpretation which Professor Oldenberg has given of the rules to be observed by a Brahman who would learn a particular hymn of the ancient Indian collection known as the Samaveda.	Some of the foregoing facts strongly support an interpretation which Professor Oldenberg has given of the rules to be observed by a Brahman who would learn a particular hymn of the ancient Indian collection known as the Samaveda.
1776_139035_000013_000001	The hymn, which bears the name of the Sakvari¯ song, was believed to embody the might of Indra's weapon, the thunderbolt; and hence, on account of the dreadful and dangerous potency with which it was thus charged, the bold student who essayed to master it had to be isolated from his fellow-men, and to retire from the village into the forest.	The hymn, which bears the name of the Sakvari¯ song, was believed to embody the might of Indra's weapon, the thunderbolt; and hence, on account of the dreadful and dangerous potency with which it was thus charged, the bold student who essayed to master it had to be isolated from his fellow men, and to retire from the village into the forest.
1776_139035_000013_000002	Here for a space of time, which might vary, according to different doctors of the law, from one to twelve years, he had to observe certain rules of life, among which were the following.	Here for a space of time, which might vary, according to different doctors of the law, from one to twelve years, he had to observe certain rules of life, among which were the following.
1776_139035_000013_000004	If a man walked in the way of all these precepts, the rain-god Parjanya, it was said, would send rain at the wish of that man.	If a man walked in the way of all these precepts, the rain god Parjanya, it was said, would send rain at the wish of that man.
1776_139035_000013_000005	It is clear, as Professor Oldenberg well points out, that "all these rules are intended to bring the Brahman into union with water, to make him, as it were, an ally of the water powers, and to guard him against their hostility.	It is clear, as Professor Oldenberg well points out, that "all these rules are intended to bring the Brahman into union with water, to make him, as it were, an ally of the water powers, and to guard him against their hostility.
1776_139035_000014_000000	It is interesting to observe that where an opposite result is desired, primitive logic enjoins the weather-doctor to observe precisely opposite rules of conduct.	It is interesting to observe that where an opposite result is desired, primitive logic enjoins the weather doctor to observe precisely opposite rules of conduct.
1776_139035_000014_000002	When a man is about to give a great feast in the rainy season and has invited many people, he goes to a weather-doctor and asks him to "prop up the clouds that may be lowering." If the doctor consents to exert his professional powers, he begins to regulate his behaviour by certain rules as soon as his customer has departed.	When a man is about to give a great feast in the rainy season and has invited many people, he goes to a weather doctor and asks him to "prop up the clouds that may be lowering." If the doctor consents to exert his professional powers, he begins to regulate his behaviour by certain rules as soon as his customer has departed.
1776_139035_000014_000003	He must observe a fast, and may neither drink nor bathe; what little he eats must be eaten dry, and in no case may he touch water.	He must observe a fast, and may neither drink nor bathe; what little he eats must be eaten dry, and in no case may he touch water.
1776_139035_000014_000004	The host, on his side, and his servants, both male and female, must neither wash clothes nor bathe so long as the feast lasts, and they have all during its continuance to observe strict chastity.	The host, on his side, and his servants, both male and female, must neither wash clothes nor bathe so long as the feast lasts, and they have all during its continuance to observe strict chastity.
1776_139035_000014_000006	Akkemat is your country.	Akkemat is your country.
1776_139035_000014_000007	Put down your water-cask, close it properly, that not a drop may fall out." While he utters this prayer the sorcerer looks upwards, burning incense the while.	Put down your water cask, close it properly, that not a drop may fall out." While he utters this prayer the sorcerer looks upwards, burning incense the while.
1776_139035_000014_000008	So among the Toradjas the rain-doctor, whose special business it is to drive away rain, takes care not to touch water before, during, or after the discharge of his professional duties.	So among the Toradjas the rain doctor, whose special business it is to drive away rain, takes care not to touch water before, during, or after the discharge of his professional duties.
1776_139035_000014_000009	He does not bathe, he eats with unwashed hands, he drinks nothing but palm wine, and if he has to cross a stream he is careful not to step in the water.	He does not bathe, he eats with unwashed hands, he drinks nothing but palm wine, and if he has to cross a stream he is careful not to step in the water.
1776_139035_000014_000010	Having thus prepared himself for his task he has a small hut built for himself outside of the village in a rice-field, and in this hut he keeps up a little fire, which on no account may be suffered to go out.	Having thus prepared himself for his task he has a small hut built for himself outside of the village in a rice field, and in this hut he keeps up a little fire, which on no account may be suffered to go out.
1776_139035_000014_000011	In the fire he burns various kinds of wood, which are supposed to possess the property of driving off rain; and he puffs in the direction from which the rain threatens to come, holding in his hand a packet of leaves and bark which derive a similar cloud-compelling virtue, not from their chemical composition, but from their names, which happen to signify something dry or volatile.	In the fire he burns various kinds of wood, which are supposed to possess the property of driving off rain; and he puffs in the direction from which the rain threatens to come, holding in his hand a packet of leaves and bark which derive a similar cloud compelling virtue, not from their chemical composition, but from their names, which happen to signify something dry or volatile.
1776_139035_000014_000012	If clouds should appear in the sky while he is at work, he takes lime in the hollow of his hand and blows it towards them.	If clouds should appear in the sky while he is at work, he takes lime in the hollow of his hand and blows it towards them.
1776_139035_000014_000014	Should rain afterwards be wanted, he has only to pour water on his fire, and immediately the rain will descend in sheets.	Should rain afterwards be wanted, he has only to pour water on his fire, and immediately the rain will descend in sheets.
1776_139035_000015_000003	The one signifies his sympathy with water by receiving the rain on his person and speaking of it respectfully; the others light a lamp or a fire and do their best to drive the rain away.	The one signifies his sympathy with water by receiving the rain on his person and speaking of it respectfully; the others light a lamp or a fire and do their best to drive the rain away.
1776_139035_000015_000004	Yet the principle on which all three act is the same; each of them, by a sort of childish make-believe, identifies himself with the phenomenon which he desires to produce.	Yet the principle on which all three act is the same; each of them, by a sort of childish make believe, identifies himself with the phenomenon which he desires to produce.
1776_139035_000015_000005	It is the old fallacy that the effect resembles its cause: if you would make wet weather, you must be wet; if you would make dry weather, you must be dry.	It is the old fallacy that the effect resembles its cause: if you would make wet weather, you must be wet; if you would make dry weather, you must be dry.
1776_139035_000016_000001	Among the Greeks of Thessaly and Macedonia, when a drought has lasted a long time, it is customary to send a procession of children round to all the wells and springs of the neighbourhood.	Among the Greeks of Thessaly and Macedonia, when a drought has lasted a long time, it is customary to send a procession of children round to all the wells and springs of the neighbourhood.
1776_139035_000016_000002	At the head of the procession walks a girl adorned with flowers, whom her companions drench with water at every halting-place, while they sing an invocation, of which the following is part:	At the head of the procession walks a girl adorned with flowers, whom her companions drench with water at every halting place, while they sing an invocation, of which the following is part:
1776_139035_000017_000000	"Perperia all fresh bedewed, Freshen all the neighbourhood; By the woods, on the highway, As thou goest, to God now pray: O my God, upon the plain, Send thou us a still, small rain; That the fields may fruitful be, And vines in blossom we may see; That the grain be full and sound, And wealthy grow the folks around."	"Perperia all fresh bedewed, Freshen all the neighbourhood; By the woods, on the highway, As thou goest, to God now pray: O my God, upon the plain, Send thou us a still, small rain; That the fields may fruitful be, And vines in blossom we may see; That the grain be full and sound, And wealthy grow the folks around."
1776_139035_000018_000001	Thus disguised she is called the Dodola, and goes through the village with a troop of girls.	Thus disguised she is called the Dodola, and goes through the village with a troop of girls.
1776_139035_000019_000000	"We go through the village; The clouds go in the sky; We go faster, Faster go the clouds; They have overtaken us, And wetted the corn and the vine."	"We go through the village; The clouds go in the sky; We go faster, Faster go the clouds; They have overtaken us, And wetted the corn and the vine."
1776_139035_000020_000002	When they have thus visited all the houses, they strip the Rain King of his leafy robes and feast upon what they have gathered.	When they have thus visited all the houses, they strip the Rain King of his leafy robes and feast upon what they have gathered.
1776_139035_000021_000003	In Kursk, a province of Southern Russia, when rain is much wanted, the women seize a passing stranger and throw him into the river, or souse him from head to foot.	In Kursk, a province of Southern Russia, when rain is much wanted, the women seize a passing stranger and throw him into the river, or souse him from head to foot.
1776_139035_000021_000004	Later on we shall see that a passing stranger is often taken for a deity or the personification of some natural power.	Later on we shall see that a passing stranger is often taken for a deity or the personification of some natural power.
1776_139035_000021_000005	It is recorded in official documents that during a drought in 1790 the peasants of Scheroutz and Werboutz collected all the women and compelled them to bathe, in order that rain might fall.	It is recorded in official documents that during a drought in seventeen ninety the peasants of Scheroutz and Werboutz collected all the women and compelled them to bathe, in order that rain might fall.
1776_139035_000021_000006	An Armenian rain-charm is to throw the wife of a priest into the water and drench her.	An Armenian rain charm is to throw the wife of a priest into the water and drench her.
1776_139035_000021_000007	The Arabs of North Africa fling a holy man, willy-nilly, into a spring as a remedy for drought.	The Arabs of North Africa fling a holy man, willy nilly, into a spring as a remedy for drought.
1776_139035_000021_000008	In Minahassa, a province of North Celebes, the priest bathes as a rain-charm.	In Minahassa, a province of North Celebes, the priest bathes as a rain charm.
1776_139035_000022_000000	Women are sometimes supposed to be able to make rain by ploughing, or pretending to plough.	Women are sometimes supposed to be able to make rain by ploughing, or pretending to plough.
1776_139035_000022_000002	Girls yoke themselves to a plough and drag it into a river, wading in the water up to their girdles.	Girls yoke themselves to a plough and drag it into a river, wading in the water up to their girdles.
1776_139035_000022_000004	The oldest woman, or the priest's wife, wears the priest's dress, while the others, dressed as men, drag the plough through the water against the stream.	The oldest woman, or the priest's wife, wears the priest's dress, while the others, dressed as men, drag the plough through the water against the stream.
1776_139035_000022_000006	In a district of Transylvania when the ground is parched with drought, some girls strip themselves naked, and, led by an older woman, who is also naked, they steal a harrow and carry it across the fields to a brook, where they set it afloat.	In a district of Transylvania when the ground is parched with drought, some girls strip themselves naked, and, led by an older woman, who is also naked, they steal a harrow and carry it across the fields to a brook, where they set it afloat.
1776_139035_000022_000007	Next they sit on the harrow and keep a tiny flame burning on each corner of it for an hour.	Next they sit on the harrow and keep a tiny flame burning on each corner of it for an hour.
1776_139035_000023_000001	Thus in New Caledonia the rain-makers blackened themselves all over, dug up a dead body, took the bones to a cave, jointed them, and hung the skeleton over some taro leaves.	Thus in New Caledonia the rain makers blackened themselves all over, dug up a dead body, took the bones to a cave, jointed them, and hung the skeleton over some taro leaves.
1776_139035_000023_000006	Some of the party beat the corpse, or what was left of it, about the head, exclaiming, "Give us rain!" while others poured water on it through a sieve.	Some of the party beat the corpse, or what was left of it, about the head, exclaiming, "Give us rain!" while others poured water on it through a sieve.
1776_139035_000023_000010	When the land suffers from unseasonable drought, the people go to this grave, pour water on it, and say, "O grandfather, have pity on us; if it is your will that this year we should eat, then give rain."	When the land suffers from unseasonable drought, the people go to this grave, pour water on it, and say, "O grandfather, have pity on us; if it is your will that this year we should eat, then give rain."
1776_139035_000023_000013	Here, as in New Caledonia, we find religion blent with magic, for the prayer to the dead chief, which is purely religious, is eked out with a magical imitation of rain at his grave.	Here, as in New Caledonia, we find religion blent with magic, for the prayer to the dead chief, which is purely religious, is eked out with a magical imitation of rain at his grave.
1776_139035_000023_000016	These wretched souls, therefore, do all in their power to prevent the rain from falling, and often their efforts are only too successful.	These wretched souls, therefore, do all in their power to prevent the rain from falling, and often their efforts are only too successful.
1776_139035_000023_000017	Then drought ensues, the most dreaded of all calamities in China, because bad harvests, dearth, and famine follow in its train.	Then drought ensues, the most dreaded of all calamities in China, because bad harvests, dearth, and famine follow in its train.
1776_139035_000024_000000	Animals, again, often play an important part in these weather-charms.	Animals, again, often play an important part in these weather charms.
1776_139035_000024_000003	He catches a snake, puts it alive into the pool, and after holding it under water for a time takes it out, kills it, and lays it down by the side of the creek.	He catches a snake, puts it alive into the pool, and after holding it under water for a time takes it out, kills it, and lays it down by the side of the creek.
1776_139035_000024_000004	Then he makes an arched bundle of grass stalks in imitation of a rainbow, and sets it up over the snake.	Then he makes an arched bundle of grass stalks in imitation of a rainbow, and sets it up over the snake.
