1776_139035_000000_000000	V.	V.	false	12.93	17.49	21.424795
1776_139035_000005_000002	It is otherwise when the rites are performed, not by the hunters, the fishers, the farmers themselves, but by professional magicians on their behalf.	It is otherwise when the rites are performed, not by the hunters, the fishers, the farmers themselves, but by professional magicians on their behalf.	true	229.01	236.74	21.602755
1776_139035_000005_000003	In primitive society, where uniformity of occupation is the rule, and the distribution of the community into various classes of workers has hardly begun, every man is more or less his own magician; he practises charms and incantations for his own good and the injury of his enemies.	In primitive society, where uniformity of occupation is the rule, and the distribution of the community into various classes of workers has hardly begun, every man is more or less his own magician; he practises charms and incantations for his own good and the injury of his enemies.	true	237.23	253.33	19.931143
1776_139035_000005_000004	But a great step in advance has been taken when a special class of magicians has been instituted; when, in other words, a number of men have been set apart for the express purpose of benefiting the whole community by their skill, whether that skill be directed to the healing of diseases, the forecasting of the future, the regulation of the weather, or any other object of general utility.	But a great step in advance has been taken when a special class of magicians has been instituted; when, in other words, a number of men have been set apart for the express purpose of benefiting the whole community by their skill, whether that skill be directed to the healing of diseases, the forecasting of the future, the regulation of the weather, or any other object of general utility.	true	254.33	275.23	21.637203
1776_139035_000005_000005	The impotence of the means adopted by most of these practitioners to accomplish their ends ought not to blind us to the immense importance of the institution itself.	The impotence of the means adopted by most of these practitioners to accomplish their ends ought not to blind us to the immense importance of the institution itself.	true	276.2	284.59	21
1776_139035_000005_000006	Here is a body of men relieved, at least in the higher stages of savagery, from the need of earning their livelihood by hard manual toil, and allowed, nay, expected and encouraged, to prosecute researches into the secret ways of nature.	Here is a body of men relieved, at least in the higher stages of savagery, from the need of earning their livelihood by hard manual toil, and allowed, nay, expected and encouraged, to prosecute researches into the secret ways of nature.	true	284.75	298.96	21.219141
1776_139035_000005_000007	It was at once their duty and their interest to know more than their fellows, to acquaint themselves with everything that could aid man in his arduous struggle with nature, everything that could mitigate his sufferings and prolong his life.	It was at once their duty and their interest to know more than their fellows, to acquaint themselves with everything that could aid man in his arduous struggle with nature, everything that could mitigate his sufferings and prolong his life.	true	299.39	310.93	19.96373
1776_139035_000005_000008	The properties of drugs and minerals, the causes of rain and drought, of thunder and lightning, the changes of the seasons, the phases of the moon, the daily and yearly journeys of the sun, the motions of the stars, the mystery of life, and the mystery of death, all these things must have excited the wonder of these early philosophers, and stimulated them to find solutions of problems that were doubtless often thrust on their attention in the most practical form by the importunate demands of their clients, who expected them not merely to understand but to regulate the great processes of nature for the good of man. That their first shots fell very far wide of the mark could hardly be helped.	The properties of drugs and minerals, the causes of rain and drought, of thunder and lightning, the changes of the seasons, the phases of the moon, the daily and yearly journeys of the sun, the motions of the stars, the mystery of life, and the mystery of death, all these things must have excited the wonder of these early philosophers, and stimulated them to find solutions of problems that were doubtless often thrust on their attention in the most practical form by the importunate demands of their clients, who expected them not merely to understand but to regulate the great processes of nature for the good of man. That their first shots fell very far wide of the mark could hardly be helped.	false	311.93	352.51	20.452715
1776_139035_000005_000009	The slow, the never-ending approach to truth consists in perpetually forming and testing hypotheses, accepting those which at the time seem to fit the facts and rejecting the others.	The slow, the never ending approach to truth consists in perpetually forming and testing hypotheses, accepting those which at the time seem to fit the facts and rejecting the others.	true	352.79	362.77	22.57687
1776_139035_000005_000010	The views of natural causation embraced by the savage magician no doubt appear to us manifestly false and absurd; yet in their day they were legitimate hypotheses, though they have not stood the test of experience.	The views of natural causation embraced by the savage magician no doubt appear to us manifestly false and absurd; yet in their day they were legitimate hypotheses, though they have not stood the test of experience.	false	363.44	375.76	21.580784
1776_139035_000005_000011	Ridicule and blame are the just meed, not of those who devised these crude theories, but of those who obstinately adhered to them after better had been propounded.	Ridicule and blame are the just meed, not of those who devised these crude theories, but of those who obstinately adhered to them after better had been propounded.	true	376.4	385.96	20.390177
1776_139035_000005_000012	Certainly no men ever had stronger incentives in the pursuit of truth than these savage sorcerers.	Certainly no men ever had stronger incentives in the pursuit of truth than these savage sorcerers.	false	386.24	391.45	17
1776_139035_000005_000013	To maintain at least a show of knowledge was absolutely necessary; a single mistake detected might cost them their life. This no doubt led them to practise imposture for the purpose of concealing their ignorance; but it also supplied them with the most powerful motive for substituting a real for a sham knowledge, since, if you would appear to know anything, by far the best way is actually to know it.	To maintain at least a show of knowledge was absolutely necessary; a single mistake detected might cost them their life. This no doubt led them to practise imposture for the purpose of concealing their ignorance; but it also supplied them with the most powerful motive for substituting a real for a sham knowledge, since, if you would appear to know anything, by far the best way is actually to know it.	true	391.88	416.23	21.572153
1776_139035_000005_000014	Thus, however justly we may reject the extravagant pretensions of magicians and condemn the deceptions which they have practised on mankind, the original institution of this class of men has, take it all in all, been productive of incalculable good to humanity.	Thus, however justly we may reject the extravagant pretensions of magicians and condemn the deceptions which they have practised on mankind, the original institution of this class of men has, take it all in all, been productive of incalculable good to humanity.	true	416.66	432.97	21.714167
1776_139035_000005_000015	They were the direct predecessors, not merely of our physicians and surgeons, but of our investigators and discoverers in every branch of natural science.	They were the direct predecessors, not merely of our physicians and surgeons, but of our investigators and discoverers in every branch of natural science.	true	433.43	442.57	21.052746
1776_139035_000005_000016	They began the work which has since been carried to such glorious and beneficent issues by their successors in after ages; and if the beginning was poor and feeble, this is to be imputed to the inevitable difficulties which beset the path of knowledge rather than to the natural incapacity or wilful fraud of the men themselves.	They began the work which has since been carried to such glorious and beneficent issues by their successors in after ages; and if the beginning was poor and feeble, this is to be imputed to the inevitable difficulties which beset the path of knowledge rather than to the natural incapacity or wilful fraud of the men themselves.	false	442.88	463.77	21.464817
1776_139035_000006_000000	2.	two.	false	463.77	465.66	20.87116
1776_139035_000006_000001	The Magical Control of Rain	The Magical Control of Rain	true	465.66	467.56	23.021177
1776_139035_000007_000000	OF THE THINGS which the public magician sets himself to do for the good of the tribe, one of the chief is to control the weather and especially to ensure an adequate fall of rain.	OF THE THINGS which the public magician sets himself to do for the good of the tribe, one of the chief is to control the weather and especially to ensure an adequate fall of rain.	true	468.26	477.79	21.259827
1776_139035_000007_000001	Water is an essential of life, and in most countries the supply of it depends upon showers.	Water is an essential of life, and in most countries the supply of it depends upon showers.	true	478.07	483.22	22.777948
1776_139035_000007_000002	Without rain vegetation withers, animals and men languish and die.	Without rain vegetation withers, animals and men languish and die.	true	483.35	487.63	19.875751
1776_139035_000007_000003	Hence in savage communities the rain-maker is a very important personage; and often a special class of magicians exists for the purpose of regulating the heavenly water-supply.	Hence in savage communities the rain maker is a very important personage; and often a special class of magicians exists for the purpose of regulating the heavenly water supply.	true	487.91	498.94	21.360418
1776_139035_000007_000004	The methods by which they attempt to discharge the duties of their office are commonly, though not always, based on the principle of homoeopathic or imitative magic.	The methods by which they attempt to discharge the duties of their office are commonly, though not always, based on the principle of homoeopathic or imitative magic.	true	499.88	508.81	21.607878
1776_139035_000007_000005	If they wish to make rain they simulate it by sprinkling water or mimicking clouds: if their object is to stop rain and cause drought, they avoid water and resort to warmth and fire for the sake of drying up the too abundant moisture.	If they wish to make rain they simulate it by sprinkling water or mimicking clouds: if their object is to stop rain and cause drought, they avoid water and resort to warmth and fire for the sake of drying up the too abundant moisture.	true	509.48	522.67	21.610218
1776_139035_000007_000006	Such attempts are by no means confined, as the cultivated reader might imagine, to the naked inhabitants of those sultry lands like Central Australia and some parts of Eastern and Southern Africa, where often for months together the pitiless sun beats down out of a blue and cloudless sky on the parched and gaping earth.	Such attempts are by no means confined, as the cultivated reader might imagine, to the naked inhabitants of those sultry lands like Central Australia and some parts of Eastern and Southern Africa, where often for months together the pitiless sun beats down out of a blue and cloudless sky on the parched and gaping earth.	false	523.73	541.66	21.813177
1776_139035_000007_000007	They are, or used to be, common enough among outwardly civilised folk in the moister climate of Europe.	They are, or used to be, common enough among outwardly civilised folk in the moister climate of Europe.	true	541.97	548.35	22.53098
1776_139035_000007_000008	I will now illustrate them by instances drawn from the practice both of public and private magic.	I will now illustrate them by instances drawn from the practice both of public and private magic.	true	548.48	553.96	25.607027
1776_139035_000008_000000	Thus, for example, in a village near Dorpat, in Russia, when rain was much wanted, three men used to climb up the fir-trees of an old sacred grove.	Thus, for example, in a village near Dorpat, in Russia, when rain was much wanted, three men used to climb up the fir trees of an old sacred grove.	true	554.87	564.37	22.305864
1776_139035_000008_000001	One of them drummed with a hammer on a kettle or small cask to imitate thunder; the second knocked two fire-brands together and made the sparks fly, to imitate lightning; and the third, who was called "the rain-maker," had a bunch of twigs with which he sprinkled water from a vessel on all sides.	One of them drummed with a hammer on a kettle or small cask to imitate thunder; the second knocked two fire brands together and made the sparks fly, to imitate lightning; and the third, who was called "the rain maker," had a bunch of twigs with which he sprinkled water from a vessel on all sides.	true	564.62	581.17	21.851784
1776_139035_000008_000002	To put an end to drought and bring down rain, women and girls of the village of Ploska are wont to go naked by night to the boundaries of the village and there pour water on the ground.	To put an end to drought and bring down rain, women and girls of the village of Ploska are wont to go naked by night to the boundaries of the village and there pour water on the ground.	false	582.29	592.72	20.111128
1776_139035_000008_000003	In Halmahera, or Gilolo, a large island to the west of New Guinea, a wizard makes rain by dipping a branch of a particular kind of tree in water and then scattering the moisture from the dripping bough over the ground.	In Halmahera, or Gilolo, a large island to the west of New Guinea, a wizard makes rain by dipping a branch of a particular kind of tree in water and then scattering the moisture from the dripping bough over the ground.	false	594.14	606.49	21.30241
1776_139035_000008_000004	In New Britain the rain-maker wraps some leaves of a red and green striped creeper in a banana-leaf, moistens the bundle with water, and buries it in the ground; then he imitates with his mouth the plashing of rain. Amongst the Omaha Indians of North America, when the corn is withering for want of rain, the members of the sacred Buffalo Society fill a large vessel with water and dance four times round it.	In New Britain the rain maker wraps some leaves of a red and green striped creeper in a banana leaf, moistens the bundle with water, and buries it in the ground; then he imitates with his mouth the plashing of rain. Amongst the Omaha Indians of North America, when the corn is withering for want of rain, the members of the sacred Buffalo Society fill a large vessel with water and dance four times round it.	true	606.83	631.69	20.526651
1776_139035_000008_000005	One of them drinks some of the water and spirts it into the air, making a fine spray in imitation of a mist or drizzling rain.	One of them drinks some of the water and spirts it into the air, making a fine spray in imitation of a mist or drizzling rain.	false	631.88	638.86	21.349997
1776_139035_000008_000006	Then he upsets the vessel, spilling the water on the ground; whereupon the dancers fall down and drink up the water, getting mud all over their faces.	Then he upsets the vessel, spilling the water on the ground; whereupon the dancers fall down and drink up the water, getting mud all over their faces.	true	638.87	646.3	19
1776_139035_000008_000007	Lastly, they squirt the water into the air, making a fine mist.	Lastly, they squirt the water into the air, making a fine mist.	true	647.54	651.57	20.893652
1776_139035_000008_000008	This saves the corn.	This saves the corn.	true	651.57	652.99	20.321873
1776_139035_000008_000009	In spring-time the Natchez of North America used to club together to purchase favourable weather for their crops from the wizards.	In spring time the Natchez of North America used to club together to purchase favourable weather for their crops from the wizards.	true	653.24	659.98	19
1776_139035_000008_000010	If rain was needed, the wizards fasted and danced with pipes full of water in their mouths.	If rain was needed, the wizards fasted and danced with pipes full of water in their mouths.	false	660.5	665.64	21.76963
1776_139035_000008_000011	The pipes were perforated like the nozzle of a watering-can, and through the holes the rain-maker blew the water towards that part of the sky where the clouds hung heaviest.	The pipes were perforated like the nozzle of a watering can, and through the holes the rain maker blew the water towards that part of the sky where the clouds hung heaviest.	true	665.64	674.56	22.702328
1776_139035_000008_000012	But if fine weather was wanted, he mounted the roof of his hut, and with extended arms, blowing with all his might, he beckoned to the clouds to pass by.	But if fine weather was wanted, he mounted the roof of his hut, and with extended arms, blowing with all his might, he beckoned to the clouds to pass by.	false	675.23	683.89	20.682146
1776_139035_000008_000013	When the rains do not come in due season the people of Central Angoniland repair to what is called the rain-temple.	When the rains do not come in due season the people of Central Angoniland repair to what is called the rain temple.	true	684.41	691.12	20.046562
1776_139035_000008_000014	Here they clear away the grass, and the leader pours beer into a pot which is buried in the ground, while he says, "Master _Chauta,_ you have hardened your heart towards us, what would you have us do?	Here they clear away the grass, and the leader pours beer into a pot which is buried in the ground, while he says, "Master underscore Chauta,underscore you have hardened your heart towards us, what would you have us do?	false	691.13	701.47	21.382963
1776_139035_000008_000015	We must perish indeed.	We must perish indeed.	true	701.48	703.035	21.396431
1776_139035_000008_000016	Give your children the rains, there is the beer we have given you." Then they all partake of the beer that is left over, even the children being made to sip it.	Give your children the rains, there is the beer we have given you." Then they all partake of the beer that is left over, even the children being made to sip it.	false	703.035	711.13	20.452421
1776_139035_000008_000017	Next they take branches of trees and dance and sing for rain. When they return to the village they find a vessel of water set at the doorway by an old woman; so they dip their branches in it and wave them aloft, so as to scatter the drops.	Next they take branches of trees and dance and sing for rain. When they return to the village they find a vessel of water set at the doorway by an old woman; so they dip their branches in it and wave them aloft, so as to scatter the drops.	true	711.53	724.6	20.754131
1776_139035_000008_000018	After that the rain is sure to come driving up in heavy clouds.	After that the rain is sure to come driving up in heavy clouds.	true	725.57	729.1	21
1776_139035_000008_000019	In these practices we see a combination of religion with magic; for while the scattering of the water-drops by means of branches is a purely magical ceremony, the prayer for rain and the offering of beer are purely religious rites. In the Mara tribe of Northern Australia the rain-maker goes to a pool and sings over it his magic song.	In these practices we see a combination of religion with magic; for while the scattering of the water drops by means of branches is a purely magical ceremony, the prayer for rain and the offering of beer are purely religious rites. In the Mara tribe of Northern Australia the rain maker goes to a pool and sings over it his magic song.	true	730.16	748.45	20.306446
1776_139035_000008_000020	Then he takes some of the water in his hands, drinks it, and spits it out in various directions.	Then he takes some of the water in his hands, drinks it, and spits it out in various directions.	true	748.52	753.43	18.459759
1776_139035_000008_000021	After that he throws water all over himself, scatters it about, and returns quietly to the camp.	After that he throws water all over himself, scatters it about, and returns quietly to the camp.	true	753.83	759.25	20.084156
1776_139035_000008_000022	Rain is supposed to follow. The Arab historian Makrizi describes a method of stopping rain which is said to have been resorted to by a tribe of nomads called Alqamar in Hadramaut.	Rain is supposed to follow. The Arab historian Makrizi describes a method of stopping rain which is said to have been resorted to by a tribe of nomads called Alqamar in Hadramaut.	false	759.5	772.2	22.543135
1776_139035_000008_000023	They cut a branch from a certain tree in the desert, set it on fire, and then sprinkled the burning brand with water. After that the vehemence of the rain abated, just as the water vanished when it fell on the glowing brand.	They cut a branch from a certain tree in the desert, set it on fire, and then sprinkled the burning brand with water. After that the vehemence of the rain abated, just as the water vanished when it fell on the glowing brand.	true	772.2	784.42	20.646893
1776_139035_000008_000024	Some of the Eastern Angamis of Manipur are said to perform a some-what similar ceremony for the opposite purpose, in order, namely, to produce rain.	Some of the Eastern Angamis of Manipur are said to perform a some what similar ceremony for the opposite purpose, in order, namely, to produce rain.	false	784.61	792.97	21
1776_139035_000008_000025	The head of the village puts a burning brand on the grave of a man who has died of burns, and quenches the brand with water, while he prays that rain may fall.	The head of the village puts a burning brand on the grave of a man who has died of burns, and quenches the brand with water, while he prays that rain may fall.	true	793.16	801.49	19.714197
1776_139035_000008_000026	Here the putting out the fire with water, which is an imitation of rain, is reinforced by the influence of the dead man, who, having been burnt to death, will naturally be anxious for the descent of rain to cool his scorched body and assuage his pangs.	Here the putting out the fire with water, which is an imitation of rain, is reinforced by the influence of the dead man, who, having been burnt to death, will naturally be anxious for the descent of rain to cool his scorched body and assuage his pangs.	true	801.74	815.26	21.853666
1776_139035_000009_000000	Other people besides the Arabs have used fire as a means of stopping rain.	Other people besides the Arabs have used fire as a means of stopping rain.	true	815.84	819.73	19.678
1776_139035_000009_000001	Thus the Sulka of New Britain heat stones red hot in the fire and then put them out in the rain, or they throw hot ashes in the air.	Thus the Sulka of New Britain heat stones red hot in the fire and then put them out in the rain, or they throw hot ashes in the air.	true	819.77	827.14	21.15237
1776_139035_000009_000002	They think that the rain will soon cease to fall, for it does not like to be burned by the hot stones or ashes.	They think that the rain will soon cease to fall, for it does not like to be burned by the hot stones or ashes.	true	827.57	832.99	18
1776_139035_000009_000003	The Telugus send a little girl out naked into the rain with a burning piece of wood in her hand, which she has to show to the rain.	The Telugus send a little girl out naked into the rain with a burning piece of wood in her hand, which she has to show to the rain.	false	833.63	840.1	18.901905
1776_139035_000009_000004	That is supposed to stop the downpour.	That is supposed to stop the downpour.	true	840.29	842.26	24.271334
1776_139035_000009_000005	At Port Stevens in New South Wales the medicine-men used to drive away rain by throwing fire-sticks into the air, while at the same time they puffed and shouted.	At Port Stevens in New South Wales the medicine men used to drive away rain by throwing fire sticks into the air, while at the same time they puffed and shouted.	false	842.78	851.02	21
1776_139035_000009_000006	Any man of the Anula tribe in Northern Australia can stop rain by simply warming a green stick in the fire, and then striking it against the wind.	Any man of the Anula tribe in Northern Australia can stop rain by simply warming a green stick in the fire, and then striking it against the wind.	false	851.45	859.21	22
1776_139035_000010_000000	In time of severe drought the Dieri of Central Australia, loudly lamenting the impoverished state of the country and their own half-starved condition, call upon the spirits of their remote predecessors, whom they call Mura-muras, to grant them power to make a heavy rain-fall.	In time of severe drought the Dieri of Central Australia, loudly lamenting the impoverished state of the country and their own half starved condition, call upon the spirits of their remote predecessors, whom they call Mura muras, to grant them power to make a heavy rain fall.	true	860.42	875.91	21.583328
1776_139035_000010_000001	For they believe that the clouds are bodies in which rain is generated by their own ceremonies or those of neighbouring tribes, through the influence of the Mura-muras.	For they believe that the clouds are bodies in which rain is generated by their own ceremonies or those of neighbouring tribes, through the influence of the Mura muras.	false	875.91	884.41	17.864656
1776_139035_000010_000002	The way in which they set about drawing rain from the clouds is this.	The way in which they set about drawing rain from the clouds is this.	true	886.1	889.29	17
1776_139035_000010_000003	A hole is dug about twelve feet long and eight or ten broad, and over this hole a conical hut of logs and branches is made.	A hole is dug about twelve feet long and eight or ten broad, and over this hole a conical hut of logs and branches is made.	false	889.29	898.14	19.749949
1776_139035_000010_000004	Two wizards, supposed to have received a special inspiration from the Mura-muras, are bled by an old and influential man with a sharp flint; and the blood, drawn from their arms below the elbow, is made to flow on the other men of the tribe, who sit huddled together in the hut.	Two wizards, supposed to have received a special inspiration from the Mura muras, are bled by an old and influential man with a sharp flint; and the blood, drawn from their arms below the elbow, is made to flow on the other men of the tribe, who sit huddled together in the hut.	false	898.14	913.33	19.756943
1776_139035_000010_000005	At the same time the two bleeding men throw handfuls of down about, some of which adheres to the blood-stained bodies of their comrades, while the rest floats in the air.	At the same time the two bleeding men throw handfuls of down about, some of which adheres to the blood stained bodies of their comrades, while the rest floats in the air.	true	914.84	923.65	22.28928
1776_139035_000010_000006	The blood is thought to represent the rain, and the down the clouds.	The blood is thought to represent the rain, and the down the clouds.	true	924.23	927.61	22.941572
1776_139035_000010_000007	During the ceremony two large stones are placed in the middle of the hut; they stand for gathering clouds and presage rain.	During the ceremony two large stones are placed in the middle of the hut; they stand for gathering clouds and presage rain.	false	927.71	934.33	21.26084
1776_139035_000010_000008	Then the wizards who were bled carry away the two stones for about ten or fifteen miles, and place them as high as they can in the tallest tree.	Then the wizards who were bled carry away the two stones for about ten or fifteen miles, and place them as high as they can in the tallest tree.	true	936.71	944.05	21
1776_139035_000010_000009	Meanwhile the other men gather gypsum, pound it fine, and throw it into a water-hole.	Meanwhile the other men gather gypsum, pound it fine, and throw it into a water hole.	true	944.78	950.5	22.97572
1776_139035_000010_000010	This the Mura-muras see, and at once they cause clouds to appear in the sky.	This the Mura muras see, and at once they cause clouds to appear in the sky.	true	950.87	955.33	21.67485
1776_139035_000010_000011	Lastly, the men, young and old, surround the hut, and, stooping down, butt at it with their heads, like so many rams.	Lastly, the men, young and old, surround the hut, and, stooping down, butt at it with their heads, like so many rams.	true	956.66	963.64	21.045721
1776_139035_000010_000012	Thus they force their way through it and reappear on the other side, repeating the process till the hut is wrecked.	Thus they force their way through it and reappear on the other side, repeating the process till the hut is wrecked.	true	964.07	969.28	21
1776_139035_000010_000013	In doing this they are forbidden to use their hands or arms; but when the heavy logs alone remain, they are allowed to pull them out with their hands.	In doing this they are forbidden to use their hands or arms; but when the heavy logs alone remain, they are allowed to pull them out with their hands.	true	969.83	977.38	18.132753
1776_139035_000010_000014	"The piercing of the hut with their heads symbolises the piercing of the clouds; the fall of the hut, the fall of the rain." Obviously, too, the act of placing high up in trees the two stones, which stand for clouds, is a way of making the real clouds to mount up in the sky.	"The piercing of the hut with their heads symbolises the piercing of the clouds; the fall of the hut, the fall of the rain." Obviously, too, the act of placing high up in trees the two stones, which stand for clouds, is a way of making the real clouds to mount up in the sky.	false	977.69	993.43	21.234362
1776_139035_000010_000015	The Dieri also imagine that the foreskins taken from lads at circumcision have a great power of producing rain.	The Dieri also imagine that the foreskins taken from lads at circumcision have a great power of producing rain.	true	994.82	1001.41	22.18013
1776_139035_000010_000016	Hence the Great Council of the tribe always keeps a small stock of foreskins ready for use.	Hence the Great Council of the tribe always keeps a small stock of foreskins ready for use.	true	1001.51	1006.47	19
1776_139035_000010_000017	They are carefully concealed, being wrapt up in feathers with the fat of the wild dog and of the carpet snake.	They are carefully concealed, being wrapt up in feathers with the fat of the wild dog and of the carpet snake.	false	1006.47	1012.21	20.441181
1776_139035_000010_000018	A woman may not see such a parcel opened on any account.	A woman may not see such a parcel opened on any account.	true	1012.49	1015.99	19.754417
1776_139035_000010_000019	When the ceremony is over, the foreskin is buried, its virtue being exhausted.	When the ceremony is over, the foreskin is buried, its virtue being exhausted.	true	1016.18	1020.67	19.597174
1776_139035_000010_000020	After the rains have fallen, some of the tribe always undergo a surgical operation, which consists in cutting the skin of their chest and arms with a sharp flint.	After the rains have fallen, some of the tribe always undergo a surgical operation, which consists in cutting the skin of their chest and arms with a sharp flint.	true	1020.95	1029.37	20.625145
1776_139035_000010_000021	The wound is then tapped with a flat stick to increase the flow of blood, and red ochre is rubbed into it.	The wound is then tapped with a flat stick to increase the flow of blood, and red ochre is rubbed into it.	true	1029.86	1036.11	21.733036
1776_139035_000010_000022	Raised scars are thus produced.	Raised scars are thus produced.	true	1036.11	1038.19	21.725597
1776_139035_000010_000023	The reason alleged by the natives for this practice is that they are pleased with the rain, and that there is a connexion between the rain and the scars.	The reason alleged by the natives for this practice is that they are pleased with the rain, and that there is a connexion between the rain and the scars.	true	1038.71	1045.9	19.962673
1776_139035_000010_000024	Apparently the operation is not very painful, for the patient laughs and jokes while it is going on.	Apparently the operation is not very painful, for the patient laughs and jokes while it is going on.	true	1047.14	1052.32	21
1776_139035_000010_000025	Indeed, little children have been seen to crowd round the operator and patiently take their turn; then after being operated on, they ran away, expanding their little chests and singing for the rain to beat upon them.	Indeed, little children have been seen to crowd round the operator and patiently take their turn; then after being operated on, they ran away, expanding their little chests and singing for the rain to beat upon them.	false	1052.39	1063.81	21.494293
1776_139035_000010_000026	However, they were not so well pleased next day, when they felt their wounds stiff and sore.	However, they were not so well pleased next day, when they felt their wounds stiff and sore.	true	1064.03	1068.73	21
