5039_1189_000000_000000	Chapter Eleven	Chapter Eleven	false	0.6	27.06	21.355265
5039_1189_000030_000000	"Well, you can't see the Scarecrow's brains work, but they do a lot of clever thinking," asserted the Shaggy Man.	"Well, you can't see the Scarecrow's brains work, but they do a lot of clever thinking," asserted the Shaggy Man.	false	267.44	275.29	25.819439
5039_1189_000030_000001	"If anyone knows where a dark well is, it's my friend the Scarecrow."	"If anyone knows where a dark well is, it's my friend the Scarecrow."	true	275.51	280.03	23.30894
5039_1189_000031_000000	"Where does he live?" inquired Ojo.	"Where does he live?" inquired Ojo.	true	280.34	283.03	24.388
5039_1189_000032_000000	"He has a splendid castle in the Winkie Country, near to the palace of his friend the Tin Woodman, and he is often to be found in the Emerald City, where he visits Dorothy at the royal palace."	"He has a splendid castle in the Winkie Country, near to the palace of his friend the Tin Woodman, and he is often to be found in the Emerald City, where he visits Dorothy at the royal palace."	true	283.4	293.86	24.842945
5039_1189_000033_000000	"Then we will ask him about the dark well," said Ojo.	"Then we will ask him about the dark well," said Ojo.	true	295.16	298.75	25.706858
5039_1189_000034_000000	"But what else does this Crooked Magician want?" asked the Shaggy Man.	"But what else does this Crooked Magician want?" asked the Shaggy Man.	true	298.88	303.88	23.643726
5039_1189_000035_000000	"A drop of oil from a live man's body."	"A drop of oil from a live man's body."	true	304.34	308.86	21
5039_1189_000036_000000	"Oh; but there isn't such a thing."	"Oh; but there isn't such a thing."	true	309.38	312.64	21.699165
5039_1189_000037_000000	"That is what I thought," replied Ojo; "but the Crooked Magician said it wouldn't be called for by the recipe if it couldn't be found, and therefore I must search until I find it."	"That is what I thought," replied Ojo; "but the Crooked Magician said it wouldn't be called for by the recipe if it couldn't be found, and therefore I must search until I find it."	true	313.13	325	23.656786
5039_1189_000038_000000	"I wish you good luck," said the Shaggy Man, shaking his head doubtfully; "but I imagine you'll have a hard job getting a drop of oil from a live man's body.	"I wish you good luck," said the Shaggy Man, shaking his head doubtfully; "but I imagine you'll have a hard job getting a drop of oil from a live man's body.	true	325.07	335.32	26.435364
5039_1189_000038_000001	There's blood in a body, but no oil."	There's blood in a body, but no oil."	true	335.51	338.29	24.32212
5039_1189_000039_000000	"There's cotton in mine," said Scraps, dancing a little jig.	"There's cotton in mine," said Scraps, dancing a little jig.	true	338.42	342.21	20.207275
5039_1189_000040_000000	"I don't doubt it," returned the Shaggy Man admiringly.	"I don't doubt it," returned the Shaggy Man admiringly.	false	342.21	345.99	24.953976
5039_1189_000040_000001	"You're a regular comforter and as sweet as patchwork can be.	"You're a regular comforter and as sweet as patchwork can be.	true	345.99	349.54	27.120728
5039_1189_000040_000002	All you lack is dignity."	All you lack is dignity."	true	349.58	351.6	24.201782
5039_1189_000041_000000	"I hate dignity," cried Scraps, kicking a pebble high in the air and then trying to catch it as it fell.	"I hate dignity," cried Scraps, kicking a pebble high in the air and then trying to catch it as it fell.	false	351.6	359.28	22.49266
5039_1189_000041_000001	"Half the fools and all the wise folks are dignified, and I'm neither the one nor the other."	"Half the fools and all the wise folks are dignified, and I'm neither the one nor the other."	true	359.28	364.63	28.623108
5039_1189_000042_000000	"She's just crazy," explained the Glass Cat.	"She's just crazy," explained the Glass Cat.	true	364.82	369.4	20.911257
5039_1189_000043_000000	The Shaggy Man laughed.	The Shaggy Man laughed.	true	369.65	371.2	35.774475
5039_1189_000044_000000	"She's delightful, in her way," he said.	"She's delightful, in her way," he said.	true	371.48	374.86	23.016441
5039_1189_000044_000001	"I'm sure Dorothy will be pleased with her, and the Scarecrow will dote on her.	"I'm sure Dorothy will be pleased with her, and the Scarecrow will dote on her.	true	375.02	379.545	25.98014
5039_1189_000044_000002	Did you say you were traveling toward the Emerald City?"	Did you say you were traveling toward the Emerald City?"	true	379.545	382.66	21.322052
5039_1189_000045_000000	"Yes," replied Ojo.	"Yes," replied Ojo.	true	382.85	385.03	23.338575
5039_1189_000045_000001	"I thought that the best place to go, at first, because the six-leaved clover may be found there."	"I thought that the best place to go, at first, because the six leaved clover may be found there."	false	385.28	391.39	27.812754
5039_1189_000046_000000	"I'll go with you," said the Shaggy Man, "and show you the way."	"I'll go with you," said the Shaggy Man, "and show you the way."	true	391.49	396.19	24.061218
5039_1189_000047_000000	"Thank you," exclaimed Ojo.	"Thank you," exclaimed Ojo.	true	396.62	398.83	23.14917
5039_1189_000047_000001	"I hope it won't put you out any."	"I hope it won't put you out any."	true	399.02	401.23	26.037212
5039_1189_000048_000000	"No," said the other, "I wasn't going anywhere in particular.	"No," said the other, "I wasn't going anywhere in particular.	true	401.6	406.3	21.494772
5039_1189_000048_000001	I've been a rover all my life, and although Ozma has given me a suite of beautiful rooms in her palace I still get the wandering fever once in a while and start out to roam the country over.	I've been a rover all my life, and although Ozma has given me a suite of beautiful rooms in her palace I still get the wandering fever once in a while and start out to roam the country over.	true	406.31	417.51	24.124794
5039_1189_000048_000002	I've been away from the Emerald City several weeks, this time, and now that I've met you and your friends I'm sure it will interest me to accompany you to the great city of Oz and introduce you to my friends."	I've been away from the Emerald City several weeks, this time, and now that I've met you and your friends I'm sure it will interest me to accompany you to the great city of Oz and introduce you to my friends."	false	417.51	428.17	23.631258
5039_1189_000049_000000	"That will be very nice," said the boy, gratefully.	"That will be very nice," said the boy, gratefully.	true	429.08	432.37	23.539791
5039_1189_000050_000000	"I hope your friends are not dignified," observed Scraps.	"I hope your friends are not dignified," observed Scraps.	false	432.8	437.82	24.19933
5039_1189_000051_000000	"Some are, and some are not," he answered; "but I never criticise my friends.	"Some are, and some are not," he answered; "but I never criticise my friends.	true	437.82	442.605	22.361876
5039_1189_000051_000001	If they are really true friends, they may be anything they like, for all of me."	If they are really true friends, they may be anything they like, for all of me."	true	442.605	446.8	22.85981
5039_1189_000052_000000	"There's some sense in that," said Scraps, nodding her queer head in approval.	"There's some sense in that," said Scraps, nodding her queer head in approval.	true	447.41	452.19	23.652367
5039_1189_000052_000001	"Come on, and let's get to the Emerald City as soon as possible." With this she ran up the path, skipping and dancing, and then turned to await them.	"Come on, and let's get to the Emerald City as soon as possible." With this she ran up the path, skipping and dancing, and then turned to await them.	false	452.19	461.08	26.346716
5039_1189_000053_000000	"It is quite a distance from here to the Emerald City," remarked the Shaggy Man, "so we shall not get there to-day, nor to-morrow.	"It is quite a distance from here to the Emerald City," remarked the Shaggy Man, "so we shall not get there to day, nor to morrow.	true	461.72	469.125	23.652037
5039_1189_000053_000001	Therefore let us take the jaunt in an easy manner.	Therefore let us take the jaunt in an easy manner.	false	469.125	472.6	29.06133
5039_1189_000053_000002	I'm an old traveler and have found that I never gain anything by being in a hurry.	I'm an old traveler and have found that I never gain anything by being in a hurry.	true	472.67	477.52	22.999914
5039_1189_000053_000003	'Take it easy' is my motto.	'Take it easy' is my motto.	true	477.71	479.49	20.769646
5039_1189_000053_000004	If you can't take it easy, take it as easy as you can."	If you can't take it easy, take it as easy as you can."	true	479.49	482.71	29.586197
5039_1189_000054_000000	After walking some distance over the road of yellow bricks Ojo said he was hungry and would stop to eat some bread and cheese.	After walking some distance over the road of yellow bricks Ojo said he was hungry and would stop to eat some bread and cheese.	true	483.77	491.53	21
5039_1189_000054_000001	He offered a portion of the food to the Shaggy Man, who thanked him but refused it.	He offered a portion of the food to the Shaggy Man, who thanked him but refused it.	true	491.66	496.81	23.141422
5039_1189_000055_000000	"When I start out on my travels," said he, "I carry along enough square meals to last me several weeks.	"When I start out on my travels," said he, "I carry along enough square meals to last me several weeks.	false	497.39	504.76	24.244165
5039_1189_000055_000001	Think I'll indulge in one now, as long as we're stopping anyway."	Think I'll indulge in one now, as long as we're stopping anyway."	true	504.77	508.42	22.411366
5039_1189_000056_000000	Saying this, he took a bottle from his pocket and shook from it a tablet about the size of one of Ojo's finger-nails.	Saying this, he took a bottle from his pocket and shook from it a tablet about the size of one of Ojo's finger nails.	true	508.76	516.04	21.787773
5039_1189_000057_000000	"That," announced the Shaggy Man, "is a square meal, in condensed form. Invention of the great Professor Woggle-Bug, of the Royal College of Athletics.	"That," announced the Shaggy Man, "is a square meal, in condensed form. Invention of the great Professor Woggle Bug, of the Royal College of Athletics.	true	516.35	528.67	27.316639
5039_1189_000057_000001	It contains soup, fish, roast meat, salad, apple-dumplings, ice cream and chocolate-drops, all boiled down to this small size, so it can be conveniently carried and swallowed when you are hungry and need a square meal."	It contains soup, fish, roast meat, salad, apple dumplings, ice cream and chocolate drops, all boiled down to this small size, so it can be conveniently carried and swallowed when you are hungry and need a square meal."	true	528.89	544.335	25.839272
5039_1189_000058_000000	"I'm square," said the Woozy.	"I'm square," said the Woozy.	true	544.335	547.99	16.569696
5039_1189_000058_000001	"Give me one, please."	"Give me one, please."	true	548	550.06	20
5039_1189_000059_000000	So the Shaggy Man gave the Woozy a tablet from his bottle and the beast ate it in a twinkling.	So the Shaggy Man gave the Woozy a tablet from his bottle and the beast ate it in a twinkling.	true	550.73	556.33	22.401003
5039_1189_000060_000000	"You have now had a six course dinner," declared the Shaggy Man.	"You have now had a six course dinner," declared the Shaggy Man.	true	556.82	561.42	24.755056
5039_1189_000061_000000	"Pshaw!" said the Woozy, ungratefully, "I want to taste something. There's no fun in that sort of eating."	"p shaw!" said the Woozy, ungratefully, "I want to taste something. There's no fun in that sort of eating."	false	561.42	570.25	19.84901
5039_1189_000062_000000	"One should only eat to sustain life," replied the Shaggy Man, "and that tablet is equal to a peck of other food."	"One should only eat to sustain life," replied the Shaggy Man, "and that tablet is equal to a peck of other food."	true	570.65	578.32	21.949493
5039_1189_000063_000000	"I don't care for it.	"I don't care for it.	true	579.05	581.17	25.851742
5039_1189_000063_000001	I want something I can chew and taste," grumbled the Woozy.	I want something I can chew and taste," grumbled the Woozy.	true	581.39	586.57	20.873318
5039_1189_000064_000000	"You are quite wrong, my poor beast," said the Shaggy Man in a tone of pity.	"You are quite wrong, my poor beast," said the Shaggy Man in a tone of pity.	false	586.88	591.42	29.331167
5039_1189_000064_000001	"Think how tired your jaws would get chewing a square meal like this, if it were not condensed to the size of a small tablet--which you can swallow in a jiffy."	"Think how tired your jaws would get chewing a square meal like this, if it were not condensed to the size of a small tablet-which you can swallow in a jiffy."	false	591.42	601.12	25.681103
5039_1189_000065_000000	"Chewing isn't tiresome; it's fun," maintained the Woozy.	"Chewing isn't tiresome; it's fun," maintained the Woozy.	true	601.67	608.02	21.010324
5039_1189_000065_000001	"I always chew the honey-bees when I catch them.	"I always chew the honey bees when I catch them.	true	608.21	612.37	18.600433
5039_1189_000065_000002	Give me some bread and cheese, Ojo."	Give me some bread and cheese, Ojo."	true	612.71	615.58	21
5039_1189_000066_000000	"No, no! You've already eaten a big dinner!" protested the Shaggy Man.	"No, no! You've already eaten a big dinner!" protested the Shaggy Man.	true	615.59	621.18	19.546556
5039_1189_000067_000000	"May be," answered the Woozy; "but I guess I'll fool myself by munching some bread and cheese.	"May be," answered the Woozy; "but I guess I'll fool myself by munching some bread and cheese.	false	621.18	629.35	23.000671
5039_1189_000067_000001	I may not be hungry, having eaten all those things you gave me, but I consider this eating business a matter of taste, and I like to realize what's going into me."	I may not be hungry, having eaten all those things you gave me, but I consider this eating business a matter of taste, and I like to realize what's going into me."	true	629.42	644.44	22.947308
5039_1189_000068_000000	Ojo gave the beast what he wanted, but the Shaggy Man shook his shaggy head reproachfully and said there was no animal so obstinate or hard to convince as a Woozy.	Ojo gave the beast what he wanted, but the Shaggy Man shook his shaggy head reproachfully and said there was no animal so obstinate or hard to convince as a Woozy.	true	645.41	655.63	18.621305
5039_1189_000069_000000	At this moment a patter of footsteps was heard, and looking up they saw the live phonograph standing before them.	At this moment a patter of footsteps was heard, and looking up they saw the live phonograph standing before them.	true	657.74	663.88	19
5039_1189_000069_000001	It seemed to have passed through many adventures since Ojo and his comrades last saw the machine, for the varnish of its wooden case was all marred and dented and scratched in a way that gave it an aged and disreputable appearance.	It seemed to have passed through many adventures since Ojo and his comrades last saw the machine, for the varnish of its wooden case was all marred and dented and scratched in a way that gave it an aged and disreputable appearance.	true	664.07	676.81	19
5039_1189_000070_000000	"Dear me!" exclaimed Ojo, staring hard.	"Dear me!" exclaimed Ojo, staring hard.	true	678.56	681.85	16.572008
5039_1189_000070_000001	"What has happened to you?"	"What has happened to you?"	true	681.92	683.49	15
5039_1189_000071_000000	"Nothing much," replied the phonograph in a sad and depressed voice. "I've had enough things thrown at me, since I left you, to stock a department store and furnish half a dozen bargain-counters."	"Nothing much," replied the phonograph in a sad and depressed voice. "I've had enough things thrown at me, since I left you, to stock a department store and furnish half a dozen bargain counters."	false	683.49	695.95	27.788939
5039_1189_000072_000000	"Are you so broken up that you can't play?" asked Scraps.	"Are you so broken up that you can't play?" asked Scraps.	true	696.14	699.76	26.261242
5039_1189_000073_000000	"No; I still am able to grind out delicious music.	"No; I still am able to grind out delicious music.	false	699.98	703.44	24.49509
5039_1189_000073_000001	Just now I've a record on tap that is really superb," said the phonograph, growing more cheerful.	Just now I've a record on tap that is really superb," said the phonograph, growing more cheerful.	false	703.44	709.06	24.365654
5039_1189_000074_000000	"That is too bad," remarked Ojo.	"That is too bad," remarked Ojo.	true	709.52	712.27	29.785671
5039_1189_000074_000001	"We've no objection to you as a machine, you know; but as a music-maker we hate you."	"We've no objection to you as a machine, you know; but as a music maker we hate you."	true	712.43	718.66	23.458744
5039_1189_000075_000000	"Then why was I ever invented?" demanded the machine, in a tone of indignant protest.	"Then why was I ever invented?" demanded the machine, in a tone of indignant protest.	true	718.85	724.69	20.509567
5039_1189_000076_000000	They looked at one another inquiringly, but no one could answer such a puzzling question.	They looked at one another inquiringly, but no one could answer such a puzzling question.	true	725.24	730.48	20.12205
5039_1189_000076_000001	Finally the Shaggy Man said:	Finally the Shaggy Man said:	true	730.79	732.82	23.911623
5039_1189_000077_000000	"I'd like to hear the phonograph play."	"I'd like to hear the phonograph play."	true	733.43	736.33	29.983366
5039_1189_000078_000000	Ojo sighed.	Ojo sighed.	true	736.79	738.31	19.928022
5039_1189_000078_000001	"We've been very happy since we met you, sir," he said.	"We've been very happy since we met you, sir," he said.	true	738.83	743.11	19.878063
5039_1189_000079_000000	"I know.	"I know.	true	744.32	745.08	23.455631
5039_1189_000079_000001	But a little misery, at times, makes one appreciate happiness more.	But a little misery, at times, makes one appreciate happiness more.	true	745.08	749.05	22.179348
5039_1189_000079_000002	Tell me, Phony, what is this record like, which you say you have on tap?"	Tell me, Phony, what is this record like, which you say you have on tap?"	false	749.06	754	23.786003
5039_1189_000080_000000	"It's a popular song, sir.	"It's a popular song, sir.	true	754.34	756.57	22
5039_1189_000080_000001	In all civilized lands the common people have gone wild over it."	In all civilized lands the common people have gone wild over it."	true	756.57	760.84	22.353872
5039_1189_000081_000000	"Makes civilized folks wild folks, eh?	"Makes civilized folks wild folks, eh?	false	761.48	764.34	25.267677
5039_1189_000081_000001	Then it's dangerous."	Then it's dangerous."	true	764.34	765.9	20
5039_1189_000082_000000	"Wild with joy, I mean," explained the phonograph.	"Wild with joy, I mean," explained the phonograph.	false	765.9	770.19	24.511473
5039_1189_000082_000001	"Listen.	"Listen.	false	770.19	772.23	16.542053
5039_1189_000082_000002	This song will prove a rare treat to you, I know.	This song will prove a rare treat to you, I know.	true	772.23	775.99	17.330956
5039_1189_000082_000003	It made the author rich--for an author.	It made the author rich-for an author.	true	776.3	779.04	26.553673
5039_1189_000082_000004	It is called 'My Lulu.'"	It is called 'My Lulu.'"	false	779.04	781.66	20.93136
5039_1189_000083_000000	Then the phonograph began to play.	Then the phonograph began to play.	true	782.15	784.26	22.582916
5039_1189_000083_000001	A strain of odd, jerky sounds was followed by these words, sung by a man through his nose with great vigor of expression:	A strain of odd, jerky sounds was followed by these words, sung by a man through his nose with great vigor of expression:	true	784.26	792	23.020214
5039_1189_000084_000000	"Ah wants mah Lulu, mah coal-black Lulu; Ah wants mah loo-loo, loo-loo, loo-loo, Lu! Ah loves mah Lulu, mah coal-black Lulu, There ain't nobody else loves loo-loo, Lu!"	"Ah wants mah Lulu, mah coal black Lulu; Ah wants mah loo loo, loo loo, loo loo, Lu! Ah loves mah Lulu, mah coal black Lulu, There ain't nobody else loves loo loo, Lu!"	false	792	805.95	23.136353
5039_1189_000085_000000	"Here--shut that off!" cried the Shaggy Man, springing to his feet. "What do you mean by such impertinence?"	"Here-shut that off!" cried the Shaggy Man, springing to his feet. "What do you mean by such impertinence?"	true	805.95	812.26	21.766087
5039_1189_000086_000000	"It's the latest popular song," declared the phonograph, speaking in a sulky tone of voice.	"It's the latest popular song," declared the phonograph, speaking in a sulky tone of voice.	false	812.99	819.36	26.471004
5039_1189_000087_000000	"A popular song?"	"A popular song?"	true	819.36	820.9	20.805021
5039_1189_000088_000000	"Yes.	"Yes.	true	821.78	822.58	32.51732
5039_1189_000088_000001	One that the feeble-minded can remember the words of and those ignorant of music can whistle or sing.	One that the feeble minded can remember the words of and those ignorant of music can whistle or sing.	true	822.71	828.615	21.719343
5039_1189_000088_000002	That makes a popular song popular, and the time is coming when it will take the place of all other songs."	That makes a popular song popular, and the time is coming when it will take the place of all other songs."	true	828.615	836.8	24.306648
5039_1189_000089_000000	"That time won't come to us, just yet," said the Shaggy Man, sternly: "I'm something of a singer myself, and I don't intend to be throttled by any Lulus like your coal-black one.	"That time won't come to us, just yet," said the Shaggy Man, sternly: "I'm something of a singer myself, and I don't intend to be throttled by any Lulus like your coal black one.	true	837.83	848.17	25.20048
5039_1189_000089_000001	I shall take you all apart, Mr. Phony, and scatter your pieces far and wide over the country, as a matter of kindness to the people you might meet if allowed to run around loose.	I shall take you all apart, mr Phony, and scatter your pieces far and wide over the country, as a matter of kindness to the people you might meet if allowed to run around loose.	false	848.27	857.145	25.46809
5039_1189_000089_000002	Having performed this painful duty I shall--"	Having performed this painful duty I shall-"	false	857.145	860.16	24.66704
5039_1189_000090_000000	But before he could say more the phonograph turned and dashed up the road as fast as its four table-legs could carry it, and soon it had entirely disappeared from their view.	But before he could say more the phonograph turned and dashed up the road as fast as its four table legs could carry it, and soon it had entirely disappeared from their view.	true	860.16	870.55	24.98138
5039_1189_000091_000000	The Shaggy Man sat down again and seemed well pleased.	The Shaggy Man sat down again and seemed well pleased.	true	871.1	874.33	20.06021
5039_1189_000091_000001	"Some one else will save me the trouble of scattering that phonograph," said he; "for it is not possible that such a music-maker can last long in the Land of Oz.	"Some one else will save me the trouble of scattering that phonograph," said he; "for it is not possible that such a music maker can last long in the Land of Oz.	false	874.49	882.67	25.309626
5039_1189_000091_000002	When you are rested, friends, let us go on our way."	When you are rested, friends, let us go on our way."	true	882.68	886.09	25.307518
5039_1189_000092_000000	During the afternoon the travelers found themselves in a lonely and uninhabited part of the country.	During the afternoon the travelers found themselves in a lonely and uninhabited part of the country.	true	886.34	891.88	21.978064
5039_1189_000092_000001	Even the fields were no longer cultivated and the country began to resemble a wilderness.	Even the fields were no longer cultivated and the country began to resemble a wilderness.	true	892.04	897.31	21
5039_1189_000092_000002	The road of yellow bricks seemed to have been neglected and became uneven and more difficult to walk upon.	The road of yellow bricks seemed to have been neglected and became uneven and more difficult to walk upon.	false	897.77	903.7	21.768438
5039_1189_000092_000003	Scrubby under-brush grew on either side of the way, while huge rocks were scattered around in abundance.	Scrubby under brush grew on either side of the way, while huge rocks were scattered around in abundance.	true	903.8	909.49	20.61064
5039_1189_000093_000000	But this did not deter Ojo and his friends from trudging on, and they beguiled the journey with jokes and cheerful conversation.	But this did not deter Ojo and his friends from trudging on, and they beguiled the journey with jokes and cheerful conversation.	true	909.8	916.57	25
5039_1189_000093_000001	Toward evening they reached a crystal spring which gushed from a tall rock by the roadside and near this spring stood a deserted cabin.	Toward evening they reached a crystal spring which gushed from a tall rock by the roadside and near this spring stood a deserted cabin.	true	916.82	924.1	23
