5802_66347_000000_000000	THE GENIAL IDIOT DISCUSSES THE MUSIC CURE	THE GENIAL IDIOT DISCUSSES THE MUSIC CURE	true	18.21	21.34	23.831436
5802_66347_000010_000000	"For example?" said the Doctor.	"For example?" said the Doctor.	true	219.2	221.65	22.237228
5802_66347_000010_000001	"Of course we don't doubt your word, but when a man makes a statement based upon personal observation it is profitable to ask him what his precise experience has been merely for the purpose of adding to our own knowledge."	"Of course we don't doubt your word, but when a man makes a statement based upon personal observation it is profitable to ask him what his precise experience has been merely for the purpose of adding to our own knowledge."	true	221.72	233.46	18
5802_66347_000011_000000	"Well," said the Idiot, "the first instance that I can recall is that of a Wagner Opera and its effects upon me.	"Well," said the Idiot, "the first instance that I can recall is that of a Wagner Opera and its effects upon me.	false	233.46	241.09	21.70559
5802_66347_000011_000001	For a number of years I suffered a great deal from insomnia.	For a number of years I suffered a great deal from insomnia.	false	241.31	244.665	19.229984
5802_66347_000011_000002	I could not get two hours of consecutive sleep and the effect of my sufferings was to make me nervous and irritable.	I could not get two hours of consecutive sleep and the effect of my sufferings was to make me nervous and irritable.	false	244.665	250.81	23
5802_66347_000011_000003	Suddenly somebody presented me with a couple of tickets for a performance of Parsifal and I went.	Suddenly somebody presented me with a couple of tickets for a performance of Parsifal and I went.	true	251	255.45	21
5802_66347_000011_000004	It began at five o'clock in the afternoon.	It began at five o'clock in the afternoon.	false	255.45	257.955	24.301228
5802_66347_000011_000005	For twenty minutes all went serenely and then the music began to work.	For twenty minutes all went serenely and then the music began to work.	true	257.955	261.795	17
5802_66347_000011_000006	I fell into a deep and refreshing slumber.	I fell into a deep and refreshing slumber.	true	261.795	264.52	19
5802_66347_000011_000007	The intermission came, and still I slept on.	The intermission came, and still I slept on.	false	264.56	267.81	20.587305
5802_66347_000011_000008	Everybody else went home, dressed for the evening part of the performance, had their dinner, and returned.	Everybody else went home, dressed for the evening part of the performance, had their dinner, and returned.	true	267.81	273.3	19
5802_66347_000011_000009	Still I slept and continued so to do until midnight when one of the gentlemanly ushers came and waked me up and told me that the performance was over.	Still I slept and continued so to do until midnight when one of the gentlemanly ushers came and waked me up and told me that the performance was over.	false	273.3	280.84	18
5802_66347_000011_000010	I rubbed my eyes and looked about me.	I rubbed my eyes and looked about me.	true	281.03	283.095	24.665327
5802_66347_000011_000011	It was true, the great auditorium was empty, and was gradually darkening.	It was true, the great auditorium was empty, and was gradually darkening.	true	283.095	286.93	21.580341
5802_66347_000011_000012	I put on my hat and walked out refreshed, having slept from five twenty until twelve, or six hours and forty minutes, straight.	I put on my hat and walked out refreshed, having slept from five twenty until twelve, or six hours and forty minutes, straight.	true	286.97	294.13	22
5802_66347_000011_000013	That was one instance.	That was one instance.	true	294.41	296.055	28.047142
5802_66347_000011_000014	Two weeks later I went again, this time to hear _Die Goetherdammerung_.	Two weeks later I went again, this time to hear underscore Die Goetherdammerung underscore.	false	296.055	300.69	22.368162
5802_66347_000011_000015	The results were the same, only the effect was instantaneous.	The results were the same, only the effect was instantaneous.	true	300.69	304.395	16
5802_66347_000011_000016	The curtain had hardly risen before I retired to the little ante-room of the box our party occupied and dozed off into a fathomless sleep.	The curtain had hardly risen before I retired to the little ante room of the box our party occupied and dozed off into a fathomless sleep.	true	304.395	312.075	18
5802_66347_000011_000017	I didn't wake up this time until nine o'clock the next day, the rest of the party having gone off without awakening me, as a sort of joke.	I didn't wake up this time until nine o'clock the next day, the rest of the party having gone off without awakening me, as a sort of joke.	true	312.075	318.795	21
5802_66347_000011_000018	Clearly Wagner, according to my way of thinking, then deserves to rank among the most effective narcotics known to modern science.	Clearly Wagner, according to my way of thinking, then deserves to rank among the most effective narcotics known to modern science.	true	318.795	325.63	18
5802_66347_000011_000019	I have tried all sorts of other things--sulfonal, trionel, bromide powders, and all the rest and not one of them produced anything like the soporific results that two doses of Wagner brought about in one instant, and best of all there was no reaction.	I have tried all sorts of other things-sulfonal, trionel, bromide powders, and all the rest and not one of them produced anything like the soporific results that two doses of Wagner brought about in one instant, and best of all there was no reaction.	false	325.64	340.15	19
5802_66347_000011_000020	No splitting headache or shaky hand the next day, but just the calm, quiet, contented feeling that goes with the sense of having got completely rested up."	No splitting headache or shaky hand the next day, but just the calm, quiet, contented feeling that goes with the sense of having got completely rested up."	false	340.22	349.17	24.303957
5802_66347_000012_000000	"You run a dreadful risk, however," said the Doctor, with a sarcastic smile.	"You run a dreadful risk, however," said the Doctor, with a sarcastic smile.	false	349.17	355	21.088593
5802_66347_000012_000001	"The Wagner habit is a terrible thing to acquire, Mr. Idiot."	"The Wagner habit is a terrible thing to acquire, mr Idiot."	true	355.19	359.08	23.299194
5802_66347_000013_000000	"That may be," said the Idiot.	"That may be," said the Idiot.	true	359.57	361.68	22.526058
5802_66347_000013_000001	"Worse than the sulfonal habit by a great deal I am told, but I am in no danger of becoming a victim to it while it costs from five to seven dollars a dose.	"Worse than the sulfonal habit by a great deal I am told, but I am in no danger of becoming a victim to it while it costs from five to seven dollars a dose.	true	361.68	369.94	19.730665
5802_66347_000013_000002	In addition to this experience I have also the testimony of a friend of mine who was cured of a frightful attack of the colic by Sullivan's Lost Chord played on a Cornet.	In addition to this experience I have also the testimony of a friend of mine who was cured of a frightful attack of the colic by Sullivan's Lost Chord played on a Cornet.	false	370.1	379.09	22
5802_66347_000013_000003	He had spent the day down at Asbury Park and had eaten not wisely but too copiously.	He had spent the day down at Asbury Park and had eaten not wisely but too copiously.	true	379.13	383.94	24
5802_66347_000013_000004	Among other things that he turned loose in his inner man were two plates of Lobster Salade, a glass of fresh cider and a saucerful of pistache ice-cream.	Among other things that he turned loose in his inner man were two plates of Lobster Salade, a glass of fresh cider and a saucerful of pistache ice cream.	false	383.94	393.49	22.406378
5802_66347_000013_000005	He was a painter by profession and the color scheme he thus introduced into his digestive apparatus was too much for his artistic soul.	He was a painter by profession and the color scheme he thus introduced into his digestive apparatus was too much for his artistic soul.	true	393.71	400.9	18
5802_66347_000013_000006	He was not fitted by temperament to assimilate anything quite so strenuously chromatic as that, and as a consequence shortly after he had retired to his studio for the night the conflicting tints began to get in their deadly work and within two hours he was completely doubled up.	He was not fitted by temperament to assimilate anything quite so strenuously chromatic as that, and as a consequence shortly after he had retired to his studio for the night the conflicting tints began to get in their deadly work and within two hours he was completely doubled up.	false	400.91	415.6	21
5802_66347_000013_000007	The pain he suffered was awful. Agony was bliss alongside of the pangs that now afflicted him and all the palliatives and pain killers known to man were tried without avail, and then, just as he was about to give himself up for lost, an amateur cornetist who occupied a studio on the floor above began to play the Lost Chord.	The pain he suffered was awful. Agony was bliss alongside of the pangs that now afflicted him and all the palliatives and pain killers known to man were tried without avail, and then, just as he was about to give himself up for lost, an amateur cornetist who occupied a studio on the floor above began to play the Lost Chord.	false	415.76	433.66	22
5802_66347_000013_000008	A counter-pain set in immediately.	A counter pain set in immediately.	true	433.67	435.85	21.414461
5802_66347_000013_000009	At the second bar of the Lost Chord the awful pain that was gradually gnawing away at his vitals seemed to lose its poignancy in the face of the greater suffering, and physical relief was instant.	At the second bar of the Lost Chord the awful pain that was gradually gnawing away at his vitals seemed to lose its poignancy in the face of the greater suffering, and physical relief was instant.	false	435.95	445.365	20.485003
5802_66347_000013_000010	As the musician proceeded the internal disorder yielded gradually to the external and finally passed away entirely, leaving him so far from prostrated that by one A.M. he was out of bed and actually girding himself with a shotgun and an Indian Club to go upstairs for a physical encounter with the cornetist."	As the musician proceeded the internal disorder yielded gradually to the external and finally passed away entirely, leaving him so far from prostrated that by one a m he was out of bed and actually girding himself with a shotgun and an Indian Club to go upstairs for a physical encounter with the cornetist."	false	445.365	461.26	19
5802_66347_000014_000000	"And you reason from this that Sullivan's Lost Chord is a cure for Cholera morbus, eh?" sneered the Doctor.	"And you reason from this that Sullivan's Lost Chord is a cure for Cholera morbus, eh?" sneered the Doctor.	false	462.32	468.93	21.712763
5802_66347_000015_000000	"It would seem so," said the Idiot.	"It would seem so," said the Idiot.	false	468.93	471.7	20.563913
5802_66347_000015_000001	"While the music continued my friend was a well man ready to go out and fight like a warrior, but when the cornetist stopped--the colic returned and he had to fight it out in the old way.	"While the music continued my friend was a well man ready to go out and fight like a warrior, but when the cornetist stopped-the colic returned and he had to fight it out in the old way.	true	472.04	480.88	19
5802_66347_000015_000002	In these episodes in my own experience I find ample justification for my belief and that of others that some day the music cure for human ailments will be recognized and developed to the full. Families going off to the country for the summer instead of taking a medicine-chest along with them will go provided with a music-box with cylinders for mumps, measles, summer complaint, whooping-cough, chicken-pox, chills and fever and all the other ills the flesh is heir to.	In these episodes in my own experience I find ample justification for my belief and that of others that some day the music cure for human ailments will be recognized and developed to the full. Families going off to the country for the summer instead of taking a medicine chest along with them will go provided with a music box with cylinders for mumps, measles, summer complaint, whooping cough, chicken pox, chills and fever and all the other ills the flesh is heir to.	false	481.1	505.51	19
5802_66347_000015_000003	Scientific experiment will demonstrate before long what composition will cure specific ills.	Scientific experiment will demonstrate before long what composition will cure specific ills.	true	506	511.18	21.35188
5802_66347_000015_000004	If a baby has whooping-cough, an anxious mother, instead of ringing up the Doctor, will go to the piano and give the child a dose of Hiawatha.	If a baby has whooping cough, an anxious mother, instead of ringing up the Doctor, will go to the piano and give the child a dose of Hiawatha.	true	511.31	518.86	20.864702
5802_66347_000015_000005	If a small boy goes swimming and catches a cold in his head and is down with a fever, his nurse, an expert on the accordeon, can bring him back to health again with three bars of Under the Bamboo Tree after each meal.	If a small boy goes swimming and catches a cold in his head and is down with a fever, his nurse, an expert on the accordeon, can bring him back to health again with three bars of Under the Bamboo Tree after each meal.	true	519.08	530.65	18.509832
5802_66347_000015_000006	Instead of dosing kids with cod liver oil when they need a tonic, they will be set to work at a mechanical piano and braced up on Narcissus.	Instead of dosing kids with cod liver oil when they need a tonic, they will be set to work at a mechanical piano and braced up on Narcissus.	true	530.66	538.6	19
5802_66347_000015_000007	There'll Be a Hot Time In The Old Town To-Night will become an effective remedy for a sudden chill.	There'll Be a Hot Time In The Old Town To Night will become an effective remedy for a sudden chill.	false	538.94	544.21	22.741745
5802_66347_000015_000008	People suffering from sleeplessness can dose themselves back to normal conditions again with Wagner the way I did.	People suffering from sleeplessness can dose themselves back to normal conditions again with Wagner the way I did.	true	544.34	550.33	20
5802_66347_000015_000009	Tchaikowski, to be well Tshaken before taken, will be an effective remedy for a torpid liver, and the man or woman who suffers from lassitude will doubtless find in the lively airs of our two-step composers an efficient tonic to bring their vitality up to a high standard of activity.	Tchaikowski, to be well t shaken before taken, will be an effective remedy for a torpid liver, and the man or woman who suffers from lassitude will doubtless find in the lively airs of our two step composers an efficient tonic to bring their vitality up to a high standard of activity.	false	550.55	566.44	18
5802_66347_000015_000010	Nothing in it?	Nothing in it?	true	567.05	567.945	27.015694
5802_66347_000015_000011	Why, Doctor, there's more in it that's in sight to-day that is promising and suggestive of great things in the future than there was of the principle of gravitation in the rude act of that historic pippin that left the parent tree and swatted Sir Isaac Newton on the nose."	Why, Doctor, there's more in it that's in sight to day that is promising and suggestive of great things in the future than there was of the principle of gravitation in the rude act of that historic pippin that left the parent tree and swatted Sir Isaac Newton on the nose."	true	567.945	582.37	19
5802_66347_000016_000000	"And the Drug Stores will be driven out of business, I presume," said the Doctor.	"And the Drug Stores will be driven out of business, I presume," said the Doctor.	true	583.16	587.53	19.438362
5802_66347_000017_000000	"No," said the Idiot.	"No," said the Idiot.	true	587.6	589.485	21.98415
5802_66347_000017_000001	"They will substitute music for drugs, that is all.	"They will substitute music for drugs, that is all.	true	589.485	592.36	15
5802_66347_000017_000002	Every man who can afford it will have his own medical phonograph or music-box, and the drug stores will sell cylinders and records for them instead of quinine, carbonate of soda, squills, paregoric and other nasty tasting things they have now.	Every man who can afford it will have his own medical phonograph or music box, and the drug stores will sell cylinders and records for them instead of quinine, carbonate of soda, squills, paregoric and other nasty tasting things they have now.	true	592.37	605.38	16
5802_66347_000017_000003	This alone will serve to popularize sickness and instead of being driven out of business their trade will pick up."	This alone will serve to popularize sickness and instead of being driven out of business their trade will pick up."	true	605.63	611.02	20.371374
5802_66347_000018_000000	"And the Doctor?	"And the Doctor?	true	611.72	612.97	20.735577
5802_66347_000018_000001	And the Doctor's gig and all the appurtenances of his profession--what becomes of them?" demanded the Doctor.	And the Doctor's gig and all the appurtenances of his profession-what becomes of them?" demanded the Doctor.	true	613.04	619.83	22.460472
5802_66347_000019_000000	"We'll have to have the Doctor just the same to prescribe for us, only he will have to be a musician, but the gig--I'm afraid that will have to go," said the Idiot.	"We'll have to have the Doctor just the same to prescribe for us, only he will have to be a musician, but the gig-I'm afraid that will have to go," said the Idiot.	false	619.83	629.86	21.624792
5802_66347_000020_000000	"And why, pray?" asked the Doctor.	"And why, pray?" asked the Doctor.	true	630.23	632.95	27.551138
5802_66347_000020_000001	"Because there are no more drugs must the physician walk?"	"Because there are no more drugs must the physician walk?"	true	633.23	636.7	21.149216
5802_66347_000021_000000	"Not at all," said the Idiot.	"Not at all," said the Idiot.	true	636.89	638.89	22.102444
5802_66347_000021_000001	"But he'd be better equipped if he drove about in a piano-organ, or if he preferred an auto on a steam calliope."	"But he'd be better equipped if he drove about in a piano organ, or if he preferred an auto on a steam calliope."	false	638.9	656.31	23.839197
