8075_279229_000000_000000	OF ALL THINGS!	OF ALL THINGS!	false	0.84	7.32	26.380129
8075_279229_000011_000001	She affects a coyness and lack of interest, by hitching herself sideways along the bottom of the aquarium, with her head turned over her right shoulder away from the swain.	She affects a coyness and lack of interest, by hitching herself sideways along the bottom of the aquarium, with her head turned over her right shoulder away from the swain.	true	270.8	282.4	23.913334
8075_279229_000011_000002	A trained ear might even detect her whistling in an indifferent manner.	A trained ear might even detect her whistling in an indifferent manner.	true	282.8	287.89	24.097126
8075_279229_000012_000000	The male, in the meantime, is flashing his gleamer frantically two blocks away and is performing all sorts of attractive feats, calculated to bring the lady newt to terms.	The male, in the meantime, is flashing his gleamer frantically two blocks away and is performing all sorts of attractive feats, calculated to bring the lady newt to terms.	true	288.95	300.28	24.36568
8075_279229_000012_000001	I have seen a male, in the stress of his handicap courtship, stand on his fore-feet, gesticulating in amorous fashion with his hind feet in the air.	I have seen a male, in the stress of his handicap courtship, stand on his fore feet, gesticulating in amorous fashion with his hind feet in the air.	true	300.8	311.26	21.766714
8075_279229_000012_000002	Franz Ingehalt, in his "Über Weltschmerz des Newt," recounts having observed a distinct and deliberate undulation of the body, beginning with the shoulders and ending at the filament of the tail, which might well have been the origin of what is known to-day in scientific circles as "the shimmy." The object seems to be the same, except that in the case of the newt, it is the male who is the active agent.	Franz Ingehalt, in his "Über Weltschmerz des Newt," recounts having observed a distinct and deliberate undulation of the body, beginning with the shoulders and ending at the filament of the tail, which might well have been the origin of what is known to day in scientific circles as "the shimmy." The object seems to be the same, except that in the case of the newt, it is the male who is the active agent.	false	311.84	339.31	22.491707
8075_279229_000013_000000	In order to test the power of observation in the male during these manœuvers, I carefully removed the female, for whose benefit he was undulating, and put in her place, in slow succession, another (but less charming) female, a paper-weight of bronze shaped like a newt, and, finally, a common rubber eraser.	In order to test the power of observation in the male during these manœuvers, I carefully removed the female, for whose benefit he was undulating, and put in her place, in slow succession, another (but less charming) female, a paper weight of bronze shaped like a newt, and, finally, a common rubber eraser.	true	340.34	362.98	25.372036
8075_279229_000013_000001	From the distance at which the courtship was being carried on, the male (who was, it must be admitted, a bit near-sighted congenitally) was unable to detect the change in personnel, and continued, even in the presence of the rubber eraser, to gyrate and undulate in a most conscientious manner, still under the impression that he was making a conquest.	From the distance at which the courtship was being carried on, the male (who was, it must be admitted, a bit near sighted congenitally) was unable to detect the change in personnel, and continued, even in the presence of the rubber eraser, to gyrate and undulate in a most conscientious manner, still under the impression that he was making a conquest.	true	363.62	387.3	23.686485
8075_279229_000014_000000	At last, worn out by his exertions, and disgusted at the meagerness of the reaction on the eraser, he gave a low cry of rage and despair and staggered to a nearby pan containing barley-water, from which he proceeded to drink himself into a gross stupor.	At last, worn out by his exertions, and disgusted at the meagerness of the reaction on the eraser, he gave a low cry of rage and despair and staggered to a nearby pan containing barley water, from which he proceeded to drink himself into a gross stupor.	false	387.3	406.15	23.3558
8075_279229_000015_000000	Thus, little creature, did your romance end, and who shall say that its ending was one whit less tragic than that of Camille?	Thus, little creature, did your romance end, and who shall say that its ending was one whit less tragic than that of Camille?	false	407.12	415.99	23.571465
8075_279229_000015_000001	Not I, for one....	Not I, for one....	true	416.36	418.12	21.3866
8075_279229_000015_000002	In fact, the two cases are not at all analogous.	In fact, the two cases are not at all analogous.	true	418.58	422.32	22.540693
8075_279229_000016_000000	And now that we have seen how wonderfully Nature works in the fulfilment of her laws, even among her tiniest creatures, let us study for a minute a cross-section of the community-life of the newt.	And now that we have seen how wonderfully Nature works in the fulfilment of her laws, even among her tiniest creatures, let us study for a minute a cross section of the community life of the newt.	true	423.23	436.87	22.767992
8075_279229_000016_000001	It is a life full of all kinds of exciting adventure, from weaving nests to crawling about in the sun and catching insect larvæ and crustaceans. The newt's day is practically never done, largely because the insect larvæ multiply three million times as fast as the newt can possibly catch and eat them.	It is a life full of all kinds of exciting adventure, from weaving nests to crawling about in the sun and catching insect larvæ and crustaceans. The newt's day is practically never done, largely because the insect larvæ multiply three million times as fast as the newt can possibly catch and eat them.	true	437.12	457.72	22.96634
8075_279229_000016_000002	And it takes the closest kind of community team-work in the newt colony to get things anywhere near cleaned up by nightfall.	And it takes the closest kind of community team work in the newt colony to get things anywhere near cleaned up by nightfall.	true	458.03	465.55	27.574385
8075_279229_000017_000000	It is early morning, and the workers are just appearing, hurrying to the old log which is to be the scene of their labors.	It is early morning, and the workers are just appearing, hurrying to the old log which is to be the scene of their labors.	true	466.61	474.07	23.667902
8075_279229_000017_000001	What a scampering!	What a scampering!	true	474.59	475.965	21.071775
8075_279229_000017_000002	What a bustle!	What a bustle!	true	475.965	477.01	28.380632
8075_279229_000017_000003	Ah, little scamperers!	Ah, little scamperers!	true	477.08	479.2	25.128101
8075_279229_000017_000004	Ah, little bustlers! How lucky you are, and how wise!	Ah, little bustlers! How lucky you are, and how wise!	true	479.33	483.88	24.11626
8075_279229_000017_000005	You work long hours, without pay, for the sheer love of working.	You work long hours, without pay, for the sheer love of working.	true	484.16	489.34	22.717102
8075_279229_000017_000006	An ideal existence, I'll tell the scientific world.	An ideal existence, I'll tell the scientific world.	true	489.68	493.24	23.71899
8075_279229_000018_000000	Over here on the right of the log are the Master Draggers.	Over here on the right of the log are the Master Draggers.	true	493.88	497.86	24.253214
8075_279229_000018_000001	Of all the newt workers, they are the most futile, which is high praise indeed. Come, let us look closer and see what it is that they are doing.	Of all the newt workers, they are the most futile, which is high praise indeed. Come, let us look closer and see what it is that they are doing.	true	498.26	507.61	22.673916
8075_279229_000019_000000	The one in the lead is dragging a bit of gurry out from the water and up over the edge into the sunlight.	The one in the lead is dragging a bit of gurry out from the water and up over the edge into the sunlight.	true	508.25	515.23	25.090221
8075_279229_000019_000001	Following him, in single file, come the rest of the Master Draggers.	Following him, in single file, come the rest of the Master Draggers.	true	515.78	520.45	23.150063
8075_279229_000019_000002	They are not dragging anything, but are sort of helping the leader by crowding against him and eating little pieces out of the filament of his tail.	They are not dragging anything, but are sort of helping the leader by crowding against him and eating little pieces out of the filament of his tail.	true	520.85	529.48	24.354311
8075_279229_000020_000000	And now they have reached the top.	And now they have reached the top.	true	529.97	532.725	26.996319
8075_279229_000020_000001	The leader, by dint of much leg-work, has succeeded in dragging his prize to the ridge of the log.	The leader, by dint of much leg work, has succeeded in dragging his prize to the ridge of the log.	false	532.725	539.89	24.985672
8075_279229_000021_000000	The little workers, reaching the goal with their precious freight, are now giving it over to the Master Pushers, who have been waiting for them in the sun all this while.	The little workers, reaching the goal with their precious freight, are now giving it over to the Master Pushers, who have been waiting for them in the sun all this while.	true	540.44	550.96	21.016296
8075_279229_000021_000001	The Master Pushers' work is soon accomplished, for it consists simply in pushing the piece of gurry over the other side of the log until it falls with a splash into the water, where it is lost.	The Master Pushers' work is soon accomplished, for it consists simply in pushing the piece of gurry over the other side of the log until it falls with a splash into the water, where it is lost.	true	551.75	565.81	23.438002
8075_279229_000022_000000	This part of their day's task finished, the tiny toilers rest, clustered together in a group, waving their heads about from side to side, as who should say: "There--that's done!" And so it _is_ done, my little Master Draggers and my little Master Pushers, and _well_ done, too.	This part of their day's task finished, the tiny toilers rest, clustered together in a group, waving their heads about from side to side, as who should say: "There-that's done!" And so it underscore is underscore done, my little Master Draggers and my little Master Pushers, and underscore well underscore done, too.	false	566.81	588.67	24.655418
8075_279229_000022_000001	Would that my own work were as clean-cut and as satisfying.	Would that my own work were as clean cut and as satisfying.	true	589.19	593.68	28.528255
8075_279229_000023_000000	And so it goes.	And so it goes.	true	594.47	595.93	24.945274
8075_279229_000023_000001	Day in and day out, the busy army of newts go on making the world a better place in which to live.	Day in and day out, the busy army of newts go on making the world a better place in which to live.	true	596	603.19	28.93971
8075_279229_000023_000002	They have their little trials and tragedies, it is true, but they also have their fun, as any one can tell by looking at a logful of sleeping newts on a hot summer day.	They have their little trials and tragedies, it is true, but they also have their fun, as any one can tell by looking at a logful of sleeping newts on a hot summer day.	false	603.77	615.19	24.065819
8075_279229_000024_000000	And, after all, what more has life to offer?	And, after all, what more has life to offer?	true	615.83	619.47	26.995386
8075_279229_000025_000000	II	two	false	619.47	619.59	-20
8075_279229_000026_000000	"COFFEE, MEGG AND ILK, PLEASE"	"COFFEE, MEGG AND ILK, PLEASE"	false	619.59	620.31	-20
8075_279229_000027_000000	Give me any topic in current sociology, such as "The Working Classes _vs._ the Working Classes," or "Various Aspects of the Minimum Wage," and I can talk on it with considerable confidence.	Give me any topic in current sociology, such as "The Working Classes underscore vs underscore the Working Classes," or "Various Aspects of the Minimum Wage," and I can talk on it with considerable confidence.	false	620.31	625.17	20.035223
8075_279229_000027_000001	I have no hesitation in putting the Workingman, as such, in his place among the hewers of wood and drawers of water--a necessary adjunct to our modern life, if you will, but of little real consequence in the big events of the world.	I have no hesitation in putting the Workingman, as such, in his place among the hewers of wood and drawers of water-a necessary adjunct to our modern life, if you will, but of little real consequence in the big events of the world.	false	625.17	631.47	14.708406
