8066_290901_000000_000000	A CHILD'S FAITH	A CHILD'S FAITH	false	14.31	19.12	21.263767
8066_290901_000049_000000	--Mary M. Naylor.	--Mary m Naylor.	true	613.34	615.91	19.721989
8066_290901_000050_000000	HOW GOD ANSWERED DONALD'S PRAYER	HOW GOD ANSWERED DONALD'S PRAYER	true	619.85	622.12	21.33677
8066_290901_000051_000000	God often uses children to win grown folks for Christ.	God often uses children to win grown folks for Christ.	false	624.02	627.91	22.58069
8066_290901_000051_000001	Little children not only have a deep faith but a childlike trust in believing that God answers their prayers.	Little children not only have a deep faith but a childlike trust in believing that God answers their prayers.	true	628.22	634.3	21.972614
8066_290901_000051_000002	"All that ye ask in my name, _believing, that ye shall receive_."	"All that ye ask in my name, underscore believing, that ye shall receive underscore."	false	635.12	641.37	19.85629
8066_290901_000052_000000	As a young girl, I went to Sunday School and learned about Jesus.	As a young girl, I went to Sunday School and learned about Jesus.	true	641.37	644.86	19
8066_290901_000052_000001	Although I knew about my Savior and what He had done to save me, yet I never accepted Him as _my own Redeemer_ and Friend.	Although I knew about my Savior and what He had done to save me, yet I never accepted Him as underscore my own Redeemer underscore and Friend.	false	645.11	652.18	18.86224
8066_290901_000053_000000	As years went by, I went into sin and shared in the common sins of worldly people.	As years went by, I went into sin and shared in the common sins of worldly people.	true	652.55	658.12	21.767252
8066_290901_000053_000001	I knew better than to do the things I did, but sin is a miry clay pulling its victims down deeper and deeper.	I knew better than to do the things I did, but sin is a miry clay pulling its victims down deeper and deeper.	true	658.19	665.62	23.298122
8066_290901_000053_000002	For ten years I never entered a church house except to attend my father's funeral.	For ten years I never entered a church house except to attend my father's funeral.	true	665.78	670.48	23.90687
8066_290901_000053_000003	I saw him go into eternity without being able to point him to the "Lamb of God which taketh away the sin of the world."	I saw him go into eternity without being able to point him to the "Lamb of God which taketh away the sin of the world."	true	670.61	677.17	19.245937
8066_290901_000054_000000	During these years I had married and God had given us a dear little boy. Donald began to attend Sunday School early in years.	During these years I had married and God had given us a dear little boy. Donald began to attend Sunday School early in years.	true	678.02	686.14	19.363718
8066_290901_000054_000001	Often on Sunday mornings he would get ready for Sunday School after a sleepless night. Wild parties were a part of the ungodly life we lived in our home. Sometimes I took him to the church house door and there he would beg me to come in and meet the Christian people who, he said, would be so glad to see me.	Often on Sunday mornings he would get ready for Sunday School after a sleepless night. Wild parties were a part of the ungodly life we lived in our home. Sometimes I took him to the church house door and there he would beg me to come in and meet the Christian people who, he said, would be so glad to see me.	false	686.36	703.36	21.451523
8066_290901_000055_000000	Donald learned much of the Scriptures.	Donald learned much of the Scriptures.	true	704.48	706.45	27.180235
8066_290901_000055_000001	He would pray and ask God's blessings at the table.	He would pray and ask God's blessings at the table.	true	706.61	709.66	22.60643
8066_290901_000055_000002	In Aug. 1932 we were living in Minneapolis.	In august nineteen thirty two we were living in Minneapolis.	true	710.12	713.59	24.79993
8066_290901_000055_000003	One evening in particular I shall not forget.	One evening in particular I shall not forget.	true	713.75	716.53	23.923277
8066_290901_000055_000004	I was in an apartment below the one in which we lived, partaking in a drunken party.	I was in an apartment below the one in which we lived, partaking in a drunken party.	false	716.78	721.84	24.803108
8066_290901_000055_000005	Donald was then 12 years old.	Donald was then twelve years old.	true	722.06	724.21	20.513058
8066_290901_000055_000006	He suffered over my sins and came to the door to call me. I promised him to come up soon, but I continued on for some hours with the drunken crowd.	He suffered over my sins and came to the door to call me. I promised him to come up soon, but I continued on for some hours with the drunken crowd.	true	724.52	733.48	22.459713
8066_290901_000055_000007	When I did come up to our apartment I found Donald on his knees by his bed with his Testament and an old hymn book of my mother-in-law's.	When I did come up to our apartment I found Donald on his knees by his bed with his Testament and an old hymn book of my mother in law's.	true	733.94	742.27	23.181639
8066_290901_000055_000008	The books were open on the bed.	The books were open on the bed.	true	742.34	744.28	21.534336
8066_290901_000055_000009	He looked up through his tears and said, "Mother, I am praying for you." I looked at the Testament and hymnal which were wet with tears that he had shed for his ungodly mother.	He looked up through his tears and said, "Mother, I am praying for you." I looked at the Testament and hymnal which were wet with tears that he had shed for his ungodly mother.	true	744.47	756.43	21.301823
8066_290901_000055_000010	On September 15th, following this experience I went to a mission.	On september fifteenth, following this experience I went to a mission.	true	756.95	761.17	22.989988
8066_290901_000055_000011	That night a group of Christians united in asking God for my soul.	That night a group of Christians united in asking God for my soul.	true	761.33	765.79	18.99688
8066_290901_000055_000012	When the song, "Lord, I'm coming home," was sung after the service I made my way to the altar.	When the song, "Lord, I'm coming home," was sung after the service I made my way to the altar.	true	766.01	772.6	21.787888
8066_290901_000055_000013	While kneeling there I felt someone very close to my side.	While kneeling there I felt someone very close to my side.	true	772.64	775.87	22.794397
8066_290901_000055_000014	It was Donald who was praying for his mother.	It was Donald who was praying for his mother.	true	776.51	779.65	20.937769
8066_290901_000055_000015	God heard my prayer to be saved.	God heard my prayer to be saved.	true	780.11	782.23	22.996662
8066_290901_000055_000016	He was merciful and washed away my sins.	He was merciful and washed away my sins.	true	782.24	784.87	24.989044
8066_290901_000055_000017	Psalm 51 has become precious to me.	psalm chapter fifty one has become precious to me.	false	785.45	788.62	25.57176
8066_290901_000056_000000	God saved me for service.	God saved me for service.	true	789.71	791.68	22.056833
8066_290901_000056_000001	I marvel at his grace and mercy toward me.	I marvel at his grace and mercy toward me.	true	791.9	794.86	22.911142
8066_290901_000056_000002	I cannot cease to thank Him for picking me up out of the miry clay.	I cannot cease to thank Him for picking me up out of the miry clay.	true	794.93	798.82	26.129272
8066_290901_000056_000003	I am thankful also for my little boy who never ceased to pray for his mother. Now, my life is in God's hands.	I am thankful also for my little boy who never ceased to pray for his mother. Now, my life is in God's hands.	true	799.31	806.32	22.22009
8066_290901_000056_000004	I want to help others find the Savior. I am especially burdened for others in the bondage of sin as I was.	I want to help others find the Savior. I am especially burdened for others in the bondage of sin as I was.	true	806.78	813.4	21.169258
8066_290901_000056_000005	But even more than that, I am burdened for children who have no opportunity of knowing Jesus as their personal Savior.	But even more than that, I am burdened for children who have no opportunity of knowing Jesus as their personal Savior.	true	813.68	820.63	22.963737
8066_290901_000057_000000	End of the Project Gutenberg EBook of Children's Edition of Touching Incidents and Remarkable Answers to Prayer, by S. B. Shaw	End of the Project Gutenberg EBook of Children's Edition of Touching Incidents and Remarkable Answers to Prayer, by s b Shaw	false	822.08	844.02	20.068186
