6937_112761_000004_000000	There was once a king, who had lost his wife.	There was once a king, who had lost his wife.
6937_112761_000048_000000	The princess was just going to break off some to give him, when a sudden violent gust of wind from the bottom of the abyss snatched the loaf from her hand, and sent it whistling downwards.	The princess was just going to break off some to give him, when a sudden violent gust of wind from the bottom of the abyss snatched the loaf from her hand, and sent it whistling downwards.
6937_112761_000049_000000	Not having received his usual meal the bird became sensibly weaker, and looked round once more.	Not having received his usual meal the bird became sensibly weaker, and looked round once more.
6937_112761_000050_000000	The princess trembled with fear; she had nothing more to give him, and she felt that he was becoming exhausted.	The princess trembled with fear; she had nothing more to give him, and she felt that he was becoming exhausted.
6937_112761_000050_000001	In utter desperation she cut off a piece of her flesh, and gave it to him.	In utter desperation she cut off a piece of her flesh, and gave it to him.
6937_112761_000051_000000	Having eaten this the bird recovered strength, and flew upwards faster than before; but after an hour or two he looked round once more.	Having eaten this the bird recovered strength, and flew upwards faster than before; but after an hour or two he looked round once more.
6937_112761_000052_000000	So she cut off another piece of her flesh; the bird seized it greedily, and flew on so fast that in a few minutes he reached the ground at the top of the precipice.	So she cut off another piece of her flesh; the bird seized it greedily, and flew on so fast that in a few minutes he reached the ground at the top of the precipice.
6937_112761_000053_000000	"Princess, what were those two delicious morsels you gave me last?	"Princess, what were those two delicious morsels you gave me last?
6937_112761_000053_000001	I never ate anything so good before."	I never ate anything so good before."
6937_112761_000055_000000	The bird breathed upon her wounds; and the flesh at once healed over, and grew again as before.	The bird breathed upon her wounds; and the flesh at once healed over, and grew again as before.
6937_112761_000056_000000	The princess and her brothers resumed their journey, this time towards the sunrise, and at last arrived in their own country, where they met their father, returning from the wars.	The princess and her brothers resumed their journey, this time towards the sunrise, and at last arrived in their own country, where they met their father, returning from the wars.
6937_112761_000057_000000	The king was coming back victorious over his enemies, and on his way home had first heard of the sudden disappearance of his children and of the queen, and how his palace was tenanted only by a basilisk with a death-dealing glance.	The king was coming back victorious over his enemies, and on his way home had first heard of the sudden disappearance of his children and of the queen, and how his palace was tenanted only by a basilisk with a death dealing glance.
6937_112761_000059_000001	The basilisk saw herself reflected in this mirror, and her own glance slew her immediately.	The basilisk saw herself reflected in this mirror, and her own glance slew her immediately.
6937_112761_000060_000000	They gathered up the remains of the basilisk, and burnt them in a great fire in the courtyard, afterwards scattering the ashes to the four winds.	They gathered up the remains of the basilisk, and burnt them in a great fire in the courtyard, afterwards scattering the ashes to the four winds.
