6157_40556_000000_000000	And Shahrazad perceived the dawn of day and ceased to say her permitted say.	And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	0	5.49	19.999657
6157_40556_000002_000009	After a short stay, I set out for Baghdad, the House of Peace, with store of goods and commodities of great price.	After a short stay, I set out for Baghdad, the House of Peace, with store of goods and commodities of great price.	false	242.64	248.01	19.666008
6157_40556_000002_000010	Reaching the city in due time, I went straight to my own quarter and entered my house, where all my friends and kinsfolk came to greet me.	Reaching the city in due time, I went straight to my own quarter and entered my house, where all my friends and kinsfolk came to greet me.	false	248.01	259.035	19.929432
6157_40556_000002_000011	Then I bought me eunuchs and concubines, servants and negro slaves, till I had a large establishment, and I bought me houses, and lands and gardens, till I was richer and in better case than before, and returned to enjoy the society of my friends and familiars more assiduously than ever, forgetting all I had suffered of fatigue and hardship and strangerhood and every peril of travel; and I applied myself to all manner joys and solaces and delights, eating the daintiest viands and drinking the deliciousest wines; and my wealth allowed this state of things to endure.	Then I bought me eunuchs and concubines, servants and negro slaves, till I had a large establishment, and I bought me houses, and lands and gardens, till I was richer and in better case than before, and returned to enjoy the society of my friends and familiars more assiduously than ever, forgetting all I had suffered of fatigue and hardship and strangerhood and every peril of travel; and I applied myself to all manner joys and solaces and delights, eating the daintiest viands and drinking the deliciousest wines; and my wealth allowed this state of things to endure.	false	259.035	302.19	20.466892
6157_40556_000002_000012	This, then, is the story of my first voyage, and to-morrow, Inshallah!	This, then, is the story of my first voyage, and to morrow, Inshallah!	false	302.19	307.62	19.805174
6157_40556_000002_000013	I will tell you the tale of the second of my seven voyages.	I will tell you the tale of the second of my seven voyages.	false	307.62	314.73	19.851849
6157_40556_000002_000014	Saith he who telleth the tale: Then Sindbad the Seaman made Sindbad the Landsman sup with him and bade give him an hundred gold pieces, saying, "Thou hast cheered us with thy company this day." The Porter thanked him, and taking the gift, went his way, pondering that which he had heard and marveling mightily at what things betide mankind.	Saith he who telleth the tale: Then Sindbad the Seaman made Sindbad the Landsman sup with him and bade give him an hundred gold pieces, saying, "Thou hast cheered us with thy company this day." The Porter thanked him, and taking the gift, went his way, pondering that which he had heard and marveling mightily at what things betide mankind.	false	314.73	345.03	20.53308
6157_40556_000003_000000	CONCLUSION OF THE 'THOUSAND NIGHTS AND A NIGHT'	CONCLUSION OF THE 'THOUSAND NIGHTS AND A NIGHT'	false	345.03	347.94	12
6157_40556_000004_000000	Translation of Captain Sir Richard F. Burton	Translation of Captain Sir Richard f Burton	false	347.94	349.62	21
6157_40556_000005_000000	Now during this time Shahrazad had borne the King three boy children; so, when she had made an end of the story of Ma'aruf, she rose to her feet and kissing ground before him, said, "O King of the time and unique one of the age and the tide, I am thine handmaid, and these thousand nights and a night have I entertained thee with stories of folk gone before and admonitory instances of the men of yore.	Now during this time Shahrazad had borne the King three boy children; so, when she had made an end of the story of Ma'aruf, she rose to her feet and kissing ground before him, said, "O King of the time and unique one of the age and the tide, I am thine handmaid, and these thousand nights and a night have I entertained thee with stories of folk gone before and admonitory instances of the men of yore.	false	349.62	382.5	20.956255
6157_40556_000005_000001	May I then make bold to crave a boon of thy highness?" He replied, "Ask, O Shahrazad, and it shall be granted to thee." Whereupon she cried out to the nurses and the eunuchs, saying, "Bring me my children." So they brought them to her in haste, and they were three boy children, one walking, one crawling, and one sucking.	May I then make bold to crave a boon of thy highness?" He replied, "Ask, O Shahrazad, and it shall be granted to thee." Whereupon she cried out to the nurses and the eunuchs, saying, "Bring me my children." So they brought them to her in haste, and they were three boy children, one walking, one crawling, and one sucking.	false	382.5	412.86	20.309475
6157_40556_000005_000002	She took them, and setting them before the King, again kissed ground and said, "O King of the Age, these are thy children and I crave that thou release me from the doom of death, as a dole to these infants; for, an thou kill me, they will become motherless and will find none among women to rear them as they should be reared." When the King heard this, he wept and straining the boys to his bosom, said, "By Allah, O Shahrazad, I pardoned thee before the coming of these children, for that I found thee chaste, pure, ingenuous, and pious!	She took them, and setting them before the King, again kissed ground and said, "O King of the Age, these are thy children and I crave that thou release me from the doom of death, as a dole to these infants; for, an thou kill me, they will become motherless and will find none among women to rear them as they should be reared." When the King heard this, he wept and straining the boys to his bosom, said, "By Allah, O Shahrazad, I pardoned thee before the coming of these children, for that I found thee chaste, pure, ingenuous, and pious!	false	412.86	456	20.526844
6157_40556_000005_000003	Allah bless thee and thy father and thy mother and thy root and thy branch!	Allah bless thee and thy father and thy mother and thy root and thy branch!	false	456	460.89	19.785843
6157_40556_000005_000004	I take the Almighty to witness against me that I exempt thee from aught that can harm thee."	I take the Almighty to witness against me that I exempt thee from aught that can harm thee."	false	460.89	464.88	19.69665
6157_40556_000006_000000	So she kissed his hands and feet and rejoiced with exceeding joy, saying, "The Lord make thy life long and increase thee in dignity and majesty!" presently adding, "Thou marveledst at which befell thee on the part of women; yet there betided the Kings of the Chosroes before thee greater mishaps and more grievous than that which hath befallen thee, and indeed I have set forth unto thee that which happened to Caliphs and Kings and others with their women, but the relation is longsome, and hearkening groweth tedious, and in this is all-sufficient warning for the man of wits and admonishment for the wise." Then she ceased to speak, and when King Shahryar heard her speech and profited by that which she had said, he summoned up his reasoning powers and cleansed his heart and caused his understanding to revert, and turned to Allah Almighty and said to himself, "Since there befell the Kings of the Chosroes more than that which hath befallen me, never whilst I live shall I cease to blame myself for the past.	So she kissed his hands and feet and rejoiced with exceeding joy, saying, "The Lord make thy life long and increase thee in dignity and majesty!" presently adding, "Thou marveledst at which befell thee on the part of women; yet there betided the Kings of the Chosroes before thee greater mishaps and more grievous than that which hath befallen thee, and indeed I have set forth unto thee that which happened to Caliphs and Kings and others with their women, but the relation is longsome, and hearkening groweth tedious, and in this is all sufficient warning for the man of wits and admonishment for the wise." Then she ceased to speak, and when King Shahryar heard her speech and profited by that which she had said, he summoned up his reasoning powers and cleansed his heart and caused his understanding to revert, and turned to Allah Almighty and said to himself, "Since there befell the Kings of the Chosroes more than that which hath befallen me, never whilst I live shall I cease to blame myself for the past.	false	464.88	530.25	21.260231
6157_40556_000006_000001	As for this Shahrazad, her like is not found in the lands; so praise be to Him Who appointed her a means for delivering His creatures from oppression and slaughter!" Then he arose from his seance and kissed her head, whereat she rejoiced, she and her sister Dunyazad, with exceeding joy.	As for this Shahrazad, her like is not found in the lands; so praise be to Him Who appointed her a means for delivering His creatures from oppression and slaughter!" Then he arose from his seance and kissed her head, whereat she rejoiced, she and her sister Dunyazad, with exceeding joy.	false	530.25	556.86	20.823256
6157_40556_000007_000000	When the morning morrowed the King went forth, and sitting down on the throne of the Kingship, summoned the Lords of his land; whereupon the Chamberlains and Nabobs and Captains of the host went in to him and kissed ground before him.	When the morning morrowed the King went forth, and sitting down on the throne of the Kingship, summoned the Lords of his land; whereupon the Chamberlains and Nabobs and Captains of the host went in to him and kissed ground before him.	false	556.86	576.39	21.56487
6157_40556_000007_000001	He distinguished the Wazir, Shahrazad's sire, with special favor and bestowed on him a costly and splendid robe of honor, and entreated him with the utmost kindness, and said to him, "Allah protect thee for that thou gavest me to wife thy noble daughter, who hath been the means of my repentance from slaying the daughters of folk.	He distinguished the Wazir, Shahrazad's sire, with special favor and bestowed on him a costly and splendid robe of honor, and entreated him with the utmost kindness, and said to him, "Allah protect thee for that thou gavest me to wife thy noble daughter, who hath been the means of my repentance from slaying the daughters of folk.	false	576.39	604.83	20.526257
6157_40556_000007_000002	Indeed, I have found her pure and pious, chaste and ingenuous, and Allah hath vouchsafed me by her three boy children; wherefore praised be He for His passing favor." Then he bestowed robes of honor upon his Wazirs and Emirs and Chief Officers and he set forth to them briefly that which had betided him with Shahrazad, and how he had turned from his former ways and repented him of what he had done, and proposed to take the Wazir's daughter Shahrazad to wife, and let draw up the marriage-contract with her.	Indeed, I have found her pure and pious, chaste and ingenuous, and Allah hath vouchsafed me by her three boy children; wherefore praised be He for His passing favor." Then he bestowed robes of honor upon his Wazirs and Emirs and Chief Officers and he set forth to them briefly that which had betided him with Shahrazad, and how he had turned from his former ways and repented him of what he had done, and proposed to take the Wazir's daughter Shahrazad to wife, and let draw up the marriage contract with her.	false	604.83	648.54	20.892962
6157_40556_000007_000003	When those who were present heard this, they kissed ground before him and blessed him and his betrothed Shahrazad, and the Wazir thanked her.	When those who were present heard this, they kissed ground before him and blessed him and his betrothed Shahrazad, and the Wazir thanked her.	false	648.54	658.65	20.39406
6157_40556_000008_000000	Then Shahryar made an end of his sitting in all weal, whereupon the folk dispersed to their dwelling-places, and the news was bruited abroad that the King proposed to marry the Wazir's daughter, Shahrazad.	Then Shahryar made an end of his sitting in all weal, whereupon the folk dispersed to their dwelling places, and the news was bruited abroad that the King proposed to marry the Wazir's daughter, Shahrazad.	false	658.65	658.77	-20
6157_40556_000008_000001	Then he proceeded to make ready the wedding gear, and presently he sent after his brother, King Shah Zaman, who came, and King Shahryar went forth to meet him with the troops.	Then he proceeded to make ready the wedding gear, and presently he sent after his brother, King Shah Zaman, who came, and King Shahryar went forth to meet him with the troops.	false	658.77	658.89	3
6157_40556_000008_000002	Furthermore, they decorated the city after the goodliest fashion and diffused scents from censers and burnt aloes-wood and other perfumes in all the markets and thoroughfares and rubbed themselves with saffron, what while the drums beat and the flutes and pipes sounded and mimes and mountebanks played and plied their arts, and the King lavished on them gifts and largesse, and in very deed it was a notable day.	Furthermore, they decorated the city after the goodliest fashion and diffused scents from censers and burnt aloes wood and other perfumes in all the markets and thoroughfares and rubbed themselves with saffron, what while the drums beat and the flutes and pipes sounded and mimes and mountebanks played and plied their arts, and the King lavished on them gifts and largesse, and in very deed it was a notable day.	false	658.89	659.13	26.480352
6157_40556_000008_000003	When they came to the palace, King Shahryar commanded to spread the table with beasts roasted whole, and sweetmeats, and all manner of viands, and bade the crier cry to the folk that they should come up to the Diwan and eat and drink, and that this should be a means of reconciliation between him and them.	When they came to the palace, King Shahryar commanded to spread the table with beasts roasted whole, and sweetmeats, and all manner of viands, and bade the crier cry to the folk that they should come up to the Diwan and eat and drink, and that this should be a means of reconciliation between him and them.	false	659.13	659.34	3
6157_40556_000008_000004	So high and low, great and small, came up unto him, and they abode on that wise, eating and drinking, seven days with their nights.	So high and low, great and small, came up unto him, and they abode on that wise, eating and drinking, seven days with their nights.	false	659.34	659.43	-9
6157_40556_000009_000000	Then the King shut himself up with his brother, and related to him that which had betided him with the Wazir's daughter Shahrazad during the past three years, and told him what he had heard from her of proverbs and parables, chronicles and pleasantries, quips and jests, stories and anecdotes, dialogues and histories, and elegies and other verses; whereat King Shah Zaman marveled with the utmost marvel and said, "Fain would I take her younger sister to wife, so we may be two brothers-german to two sisters-german, and they on like wise be sisters to us; for that the calamity which befell me was the cause of our discovering that which befell thee, and all this time of three years past I have taken no delight in woman; but now I desire to marry thy wife's sister Dunyazad."	Then the King shut himself up with his brother, and related to him that which had betided him with the Wazir's daughter Shahrazad during the past three years, and told him what he had heard from her of proverbs and parables, chronicles and pleasantries, quips and jests, stories and anecdotes, dialogues and histories, and elegies and other verses; whereat King Shah Zaman marveled with the utmost marvel and said, "Fain would I take her younger sister to wife, so we may be two brothers german to two sisters german, and they on like wise be sisters to us; for that the calamity which befell me was the cause of our discovering that which befell thee, and all this time of three years past I have taken no delight in woman; but now I desire to marry thy wife's sister Dunyazad."	false	659.43	659.94	6
6157_40556_000010_000000	When King Shahryar heard his brother's words, he rejoiced with joy exceeding, and arising forthright, went in to his wife Shahrazad and acquainted her with that which his brother purposed, namely, that he sought her sister Dunyazad in wedlock; whereupon she answered, "O King of the Age, we seek of him one condition, to wit, that he take up his abode with us, for that I cannot brook to be parted from my sister an hour, because we were brought up together, and may not endure separation each from another.	When King Shahryar heard his brother's words, he rejoiced with joy exceeding, and arising forthright, went in to his wife Shahrazad and acquainted her with that which his brother purposed, namely, that he sought her sister Dunyazad in wedlock; whereupon she answered, "O King of the Age, we seek of him one condition, to wit, that he take up his abode with us, for that I cannot brook to be parted from my sister an hour, because we were brought up together, and may not endure separation each from another.	false	659.94	660.24	10
6157_40556_000010_000001	If he accept this pact, she is his handmaid." King Shahryar returned to his brother and acquainted him with that which Shahrazad had said; and he replied, "Indeed, this is what was in my mind, for that I desire nevermore to be parted from thee one hour.	If he accept this pact, she is his handmaid." King Shahryar returned to his brother and acquainted him with that which Shahrazad had said; and he replied, "Indeed, this is what was in my mind, for that I desire nevermore to be parted from thee one hour.	false	660.24	660.42	-2
6157_40556_000010_000002	As for the kingdom, Allah the Most High shall send to it whomso He chooseth, for that I have no longer a desire for the kingship."	As for the kingdom, Allah the Most High shall send to it whomso He chooseth, for that I have no longer a desire for the kingship."	false	660.42	660.51	-9
6157_40556_000011_000000	When King Shahryar heard his brother's words, he rejoiced exceedingly and said, "Verily, this is what I wished, O my brother.	When King Shahryar heard his brother's words, he rejoiced exceedingly and said, "Verily, this is what I wished, O my brother.	false	660.51	660.6	11
6157_40556_000011_000001	So Alhamdolillah--Praised be Allah!--who hath brought about union between us." Then he sent after the Kazis and Olema, Captains and Notables, and they married the two brothers to the two sisters.	So Alhamdolillah-Praised be Allah!--who hath brought about union between us." Then he sent after the Kazis and Olema, Captains and Notables, and they married the two brothers to the two sisters.	false	660.6	660.69	27
6157_40556_000011_000002	The contracts were written out, and the two Kings bestowed robes of honor of silk and satin on those who were present, whilst the city was decorated and the rejoicings were renewed.	The contracts were written out, and the two Kings bestowed robes of honor of silk and satin on those who were present, whilst the city was decorated and the rejoicings were renewed.	false	660.69	660.81	1
6157_40556_000011_000003	The King commanded each Emir and Wazir and Chamberlain and Nabob to decorate his palace, and the folk of the city were gladdened by the presage of happiness and contentment.	The King commanded each Emir and Wazir and Chamberlain and Nabob to decorate his palace, and the folk of the city were gladdened by the presage of happiness and contentment.	false	660.81	664.66	20.226187
6157_40556_000011_000004	King Shahryar also bade slaughter sheep, and set up kitchens and made bride-feasts and fed all comers, high and low; and he gave alms to the poor and needy and extended his bounty to great and small.	King Shahryar also bade slaughter sheep, and set up kitchens and made bride feasts and fed all comers, high and low; and he gave alms to the poor and needy and extended his bounty to great and small.	false	664.73	680.26	22
6157_40556_000012_000000	Then the eunuchs went forth that they might perfume the Hammam for the brides; so they scented it with rosewater and willow-flower water and pods of musk, and fumigated it with Kakili eaglewood and ambergris.	Then the eunuchs went forth that they might perfume the Hammam for the brides; so they scented it with rosewater and willow flower water and pods of musk, and fumigated it with Kakili eaglewood and ambergris.	true	683	702.99	20.507626
6157_40556_000012_000001	Then Shahrazad entered, she and her sister Dunyazad, and they cleansed their heads and clipped their hair.	Then Shahrazad entered, she and her sister Dunyazad, and they cleansed their heads and clipped their hair.	false	702.99	712.6	21.544243
6157_40556_000012_000002	When they came forth of the Hammam-bath, they donned raiment and ornaments, such as men were wont prepare for the Kings of the Chosroes; and among Shahrazad's apparel was a dress purfled with red gold and wrought with counterfeit presentments of birds and beasts.	When they came forth of the Hammam bath, they donned raiment and ornaments, such as men were wont prepare for the Kings of the Chosroes; and among Shahrazad's apparel was a dress purfled with red gold and wrought with counterfeit presentments of birds and beasts.	false	712.73	734.13	20.442848
6157_40556_000012_000003	And the two sisters encircled their necks with necklaces of jewels of price, in the like whereof Iskander rejoiced not, for therein were great jewels such as amazed the wit and dazzled the eye; and the imagination was bewildered at their charms, for indeed each of them was brighter than the sun and the moon.	And the two sisters encircled their necks with necklaces of jewels of price, in the like whereof Iskander rejoiced not, for therein were great jewels such as amazed the wit and dazzled the eye; and the imagination was bewildered at their charms, for indeed each of them was brighter than the sun and the moon.	false	734.13	758.98	20.170555
6157_40556_000012_000004	Before them they lighted brilliant flambeaux of wax in candelabra of gold, but their faces outshone the flambeaux, for that they had eyes sharper than unsheathed swords and the lashes of their eyelids bewitched all hearts.	Before them they lighted brilliant flambeaux of wax in candelabra of gold, but their faces outshone the flambeaux, for that they had eyes sharper than unsheathed swords and the lashes of their eyelids bewitched all hearts.	false	759.29	778.42	21.137121
6157_40556_000012_000005	Their cheeks were rosy red, and their necks and shapes gracefully swayed, and their eyes wantoned like the gazelle's; and the slave-girls came to meet them with instruments of music.	Their cheeks were rosy red, and their necks and shapes gracefully swayed, and their eyes wantoned like the gazelle's; and the slave girls came to meet them with instruments of music.	true	778.64	792.67	21
6157_40556_000013_000000	Then the two Kings entered the Hammam-bath, and when they came forth they sat down on a couch set with pearls and gems, whereupon the two sisters came up to them and stood between their hands, as they were moons, bending and leaning from side to side in their beauty and loveliness.	Then the two Kings entered the Hammam bath, and when they came forth they sat down on a couch set with pearls and gems, whereupon the two sisters came up to them and stood between their hands, as they were moons, bending and leaning from side to side in their beauty and loveliness.	false	794.12	821.08	20.107363
6157_40556_000013_000001	Presently they brought forward Shahrazad and displayed her, for the first dress, in a red suit; whereupon King Shahryar rose to look upon her, and the wits of all present, men and women, were bewitched for that she was even as saith of her one of her describers:--	Presently they brought forward Shahrazad and displayed her, for the first dress, in a red suit; whereupon King Shahryar rose to look upon her, and the wits of all present, men and women, were bewitched for that she was even as saith of her one of her describers:--	false	821.48	845.26	21.064537
6157_40556_000014_000000	A sun on wand in knoll of sand she showed, Clad in her cramoisy-hued chemisette: Of her lips' honey-dew she gave me drink And with her rosy cheeks quencht fire she set.	A sun on wand in knoll of sand she showed, Clad in her cramoisy hued chemisette: Of her lips' honey dew she gave me drink And with her rosy cheeks quencht fire she set.	false	846.44	866.79	19.521955
6157_40556_000015_000000	Then they attired Dunyazad in a dress of blue brocade, and she became as she were the full moon when it shineth forth.	Then they attired Dunyazad in a dress of blue brocade, and she became as she were the full moon when it shineth forth.	true	866.79	877	21.029324
6157_40556_000015_000001	So they displayed her in this, for the first dress, before King Shah Zaman, who rejoiced in her and well-nigh swooned away for love-longing and amorous desire; yea, he was distraught with passion for her, whenas he saw her, because she was as saith of her one of her describers in these couplets:--	So they displayed her in this, for the first dress, before King Shah Zaman, who rejoiced in her and well nigh swooned away for love longing and amorous desire; yea, he was distraught with passion for her, whenas he saw her, because she was as saith of her one of her describers in these couplets:--	false	877.67	905.17	20.495699
6157_40556_000016_000000	She comes appareled in an azure vest Ultramarine as skies are deckt and dight: I view'd th' unparall'd sight, which showed my eyes A Summer-moon upon a Winter-night.	She comes appareled in an azure vest Ultramarine as skies are deckt and dight: I view'd t h' unparall'd sight, which showed my eyes A Summer moon upon a Winter night.	false	905.6	926.59	20.613432
6157_40556_000017_000000	Then they returned to Shahrazad and displayed her in the second dress, a suit of surpassing goodliness, and veiled her face with her hair like a chin-veil.	Then they returned to Shahrazad and displayed her in the second dress, a suit of surpassing goodliness, and veiled her face with her hair like a chin veil.	true	927.56	941.32	20.902514
6157_40556_000017_000001	Moreover, they let down her side-locks, and she was even as saith of her one of her describers in these couplets:--	Moreover, they let down her side locks, and she was even as saith of her one of her describers in these couplets:--	true	941.87	952.3	21.842594
6157_40556_000018_000000	O hail to him whose locks his cheeks o'ershade, Who slew my life by cruel hard despight: Said I, "Hast veiled the Morn in Night?" He said, "Nay, I but veil the Moon in hue of Night."	O hail to him whose locks his cheeks o'ershade, Who slew my life by cruel hard despight: Said I, "Hast veiled the Morn in Night?" He said, "Nay, I but veil the Moon in hue of Night."	true	954.47	973.66	20.103685
6157_40556_000019_000000	Then they displayed Dunyazad in a second and a third and a fourth dress, and she paced forward like the rising sun, and swayed to and fro in the insolence of her beauty; and she was even as saith the poet of her in these couplets:--	Then they displayed Dunyazad in a second and a third and a fourth dress, and she paced forward like the rising sun, and swayed to and fro in the insolence of her beauty; and she was even as saith the poet of her in these couplets:--	true	974.48	994.99	20.664625
6157_40556_000020_000000	The sun of beauty she to all appears And, lovely coy, she mocks all loveliness: And when he fronts her favor and her smile A-morn, the sun of day in clouds must dress.	The sun of beauty she to all appears And, lovely coy, she mocks all loveliness: And when he fronts her favor and her smile A morn, the sun of day in clouds must dress.	false	996.2	1013.35	20.412245
6157_40556_000021_000000	Then they displayed Shahrazad in the third dress and the fourth and the fifth, and she became as she were a Ban-branch snell of a thirsting gazelle, lovely of face and perfect in attributes of grace, even as saith of her one in these couplets:--	Then they displayed Shahrazad in the third dress and the fourth and the fifth, and she became as she were a Ban branch snell of a thirsting gazelle, lovely of face and perfect in attributes of grace, even as saith of her one in these couplets:--	true	1014.62	1040.02	21.008526
6157_40556_000022_000000	She comes like fullest moon on happy night, Taper of waist with shape of magic might; She hath an eye whose glances quell mankind, And ruby on her cheeks reflects his light; Enveils her hips the blackness of her hair; Beware of curls that bite with viper-bite! Her sides are silken-soft, what while the heart Mere rock behind that surface 'scapes our sight; From the fringed curtains of her cyne she shoots Shafts that at furthest range on mark alight.	She comes like fullest moon on happy night, Taper of waist with shape of magic might; She hath an eye whose glances quell mankind, And ruby on her cheeks reflects his light; Enveils her hips the blackness of her hair; Beware of curls that bite with viper bite! Her sides are silken soft, what while the heart Mere rock behind that surface 'scapes our sight; From the fringed curtains of her cyne she shoots Shafts that at furthest range on mark alight.	true	1041.56	1086.91	20.298922
6157_40556_000023_000000	Then they returned to Dunyazad and displayed her in the fifth dress and in the sixth, which was green, when she surpassed with her loveliness the fair of the four quarters of the world, and outvied, with the brightness of her countenance, the full moon at rising tide; for she was even as saith of her the poet in these couplets:--	Then they returned to Dunyazad and displayed her in the fifth dress and in the sixth, which was green, when she surpassed with her loveliness the fair of the four quarters of the world, and outvied, with the brightness of her countenance, the full moon at rising tide; for she was even as saith of her the poet in these couplets:--	false	1087.91	1115.97	20.341658
6157_40556_000024_000000	A damsel 'twas the tirer's art had decked with snare and sleight, And robed with rays as though the sun from her had borrowed light; She came before us wondrous clad in chemisette of green, As veiled by his leafy screen Pomegranate hides from sight; And when he said, "How callest thou the fashion of thy dress?" She answered us in pleasant way, with double meaning dight, "We call this garment _creve-coeur;_ and rightly is it hight, For many a heart wi' this we brake and harried many a sprite."	A damsel 'twas the tirer's art had decked with snare and sleight, And robed with rays as though the sun from her had borrowed light; She came before us wondrous clad in chemisette of green, As veiled by his leafy screen Pomegranate hides from sight; And when he said, "How callest thou the fashion of thy dress?" She answered us in pleasant way, with double meaning dight, "We call this garment underscore creve coeur;underscore and rightly is it hight, For many a heart wi' this we brake and harried many a sprite."	false	1115.97	1166.53	20.55545
6157_40556_000025_000000	Then they displayed Shahrazad in the sixth and seventh dresses and clad her in youth's clothing, whereupon she came forward swaying from side to side, and coquettishly moving, and indeed she ravished wits and hearts and ensorcelled all eyes with her glances.	Then they displayed Shahrazad in the sixth and seventh dresses and clad her in youth's clothing, whereupon she came forward swaying from side to side, and coquettishly moving, and indeed she ravished wits and hearts and ensorcelled all eyes with her glances.	false	1167.47	1190.56	20
6157_40556_000025_000001	She shook her sides and swayed her haunches, then put her hair on sword-hilt and went up to King Shahryar, who embraced her as hospitable host embraceth guest, and threatened her in her ear with the taking of the sword; and she was even as saith of her the poet in these words:--	She shook her sides and swayed her haunches, then put her hair on sword hilt and went up to King Shahryar, who embraced her as hospitable host embraceth guest, and threatened her in her ear with the taking of the sword; and she was even as saith of her the poet in these words:--	false	1191.17	1216.96	20.300356
6157_40556_000026_000000	Were not the Murk of gender male, Than feminines surpassing fair, Tire-women they had grudged the bride, Who made her beard and whiskers wear!	Were not the Murk of gender male, Than feminines surpassing fair, Tire women they had grudged the bride, Who made her beard and whiskers wear!	false	1218.32	1232.59	19.214682
