2074_149033_000000_000000	[Illustration: THE AUTHOR]	[Illustration: THE AUTHOR]	false	2.43	4.26	19.859919
2074_149033_000014_000000	"Sometimes visitors came to the house." Nothing much in that to us, but how consummately this child must have studied them; if you consider what she knew of them before the "viacle" arrived to take them back to the station you will never dare to spend another week-end in a house where there may be a novelist of nine years.	"Sometimes visitors came to the house." Nothing much in that to us, but how consummately this child must have studied them; if you consider what she knew of them before the "viacle" arrived to take them back to the station you will never dare to spend another week end in a house where there may be a novelist of nine years.	false	304.01	321.73	21.63114
2074_149033_000014_000001	I am sure that when you left your bedroom this child stole in, examined everything [Pg x] and summed you up.	I am sure that when you left your bedroom this child stole in, examined everything [p g x] and summed you up.	false	321.98	328.33	20.58636
2074_149033_000014_000002	She was particularly curious about the articles on your dressing-table, including the little box containing a reddish powder, and she never desisted from watching you till she caught you dabbing it on your cheeks.	She was particularly curious about the articles on your dressing table, including the little box containing a reddish powder, and she never desisted from watching you till she caught you dabbing it on your cheeks.	true	328.4	340.3	22.436943
2074_149033_000014_000003	This powder, which she spells "ruge," went a little to her head, and it accompanies Ethel on her travels with superb effect.	This powder, which she spells "ruge," went a little to her head, and it accompanies Ethel on her travels with superb effect.	false	340.55	350.97	22.132246
2074_149033_000014_000004	For instance, she is careful to put it on to be proposed to; and again its first appearance is excused in words that should henceforth be serviceable in every boudoir.	For instance, she is careful to put it on to be proposed to; and again its first appearance is excused in words that should henceforth be serviceable in every boudoir.	true	350.97	360.82	23.603296
2074_149033_000014_000005	"I shall put some red ruge on my face said Ethel becouse I am very pale owing to the drains in this house."	"I shall put some red ruge on my face said Ethel becouse I am very pale owing to the drains in this house."	false	361.31	368.38	18
2074_149033_000015_000000	Those who read will see how the rooms in Hampton Court became the "compartments" in the "Crystale" Palace, and how the "Gaierty" Hotel grew out of the Gaiety Theatre, with many other agreeable changes.	Those who read will see how the rooms in Hampton Court became the "compartments" in the "Crystale" Palace, and how the "Gaierty" Hotel grew out of the Gaiety Theatre, with many other agreeable changes.	false	369.05	381.25	22.002226
2074_149033_000015_000001	The novelist will find the tale a model for his future work.	The novelist will find the tale a model for his future work.	true	381.5	385.33	21.52167
2074_149033_000015_000002	How incomparably, for instance, the authoress dives [Pg xi] into her story at once.	How incomparably, for instance, the authoress dives [p g xi] into her story at once.	false	385.37	389.61	23
2074_149033_000015_000003	How cunningly throughout she keeps us on the hooks of suspense, jumping to Mr Salteena when we are in a quiver about Ethel, and turning to Ethel when we are quite uneasy about Mr Salteena.	How cunningly throughout she keeps us on the hooks of suspense, jumping to Mr Salteena when we are in a quiver about Ethel, and turning to Ethel when we are quite uneasy about Mr Salteena.	true	389.61	400.6	26.315071
2074_149033_000015_000004	This authoress of nine is flirting with her readers all the time.	This authoress of nine is flirting with her readers all the time.	true	400.85	404.865	19.168352
2074_149033_000015_000005	Her mind is such a rich pocket that as she digs in it (her head to the side and her tongue well out) she sends up showers of nuggets.	Her mind is such a rich pocket that as she digs in it (her head to the side and her tongue well out) she sends up showers of nuggets.	true	404.865	412.9	22.38061
2074_149033_000015_000006	There seldom probably was a novelist with such an uncanny knowledge of his characters as she has of Mr Salteena.	There seldom probably was a novelist with such an uncanny knowledge of his characters as she has of Mr Salteena.	false	413.27	419.74	20
2074_149033_000015_000007	The first line of the tale etches him for all time: "Mr Salteena was an elderly man of 42 and fond of asking people to stay with him." On the next page Salteena draws a touching picture of himself in a letter accepting an invitation: "I do hope I shall enjoy myself with you.	The first line of the tale etches him for all time: "Mr Salteena was an elderly man of forty two and fond of asking people to stay with him." On the next page Salteena draws a touching picture of himself in a letter accepting an invitation: "I do hope I shall enjoy myself with you.	true	419.96	438.78	22.515514
2074_149033_000015_000008	I am fond of digging in the garden and I am parshal to ladies if they are nice I suppose it is my nature.	I am fond of digging in the garden and I am parshal to ladies if they are nice I suppose it is my nature.	true	438.78	445.42	19.6906
2074_149033_000015_000009	I am not quite a gentleman but you would hardly notice it but can't be helped anyhow." [Pg xii]	I am not quite a gentleman but you would hardly notice it but can't be helped anyhow." [p g x i i]	false	445.43	450.285	24.46767
2074_149033_000015_000010	"When the great morning arrived Mr Salteena did not have an egg for his breakfast in case he should be sick on the journey." For my part I love Mr Salteena, who has a touch of Hamlet, and I wished up to the end that Ethel would make him happy, though I never had much hope after I read the description of Bernard Clark's legs.	"When the great morning arrived Mr Salteena did not have an egg for his breakfast in case he should be sick on the journey." For my part one love Mr Salteena, who has a touch of Hamlet, and I wished up to the end that Ethel would make him happy, though I never had much hope after I read the description of Bernard Clark's legs.	false	450.285	468.82	22.679337
2074_149033_000016_000000	It is not to be wondered at that Mr Salteena soon grew "rarther jellous" of Bernard, who showed off from the first.	It is not to be wondered at that Mr Salteena soon grew "rarther jellous" of Bernard, who showed off from the first.	false	469.1	475.6	22.654829
2074_149033_000016_000001	"My own room is next the bathroom said Bernard it is decerated dark red as I have somber tastes.	"My own room is next the bathroom said Bernard it is decerated dark red as I have somber tastes.	false	476.06	482.97	17.597715
2074_149033_000016_000002	The bathroom has got a tip up basin." Thus was Mr Salteena put in his place, and there the cruel authoress (with her tongue farther out than ever) doggedly keeps him.	The bathroom has got a tip up basin." Thus was Mr Salteena put in his place, and there the cruel authoress (with her tongue farther out than ever) doggedly keeps him.	false	482.97	493.42	22.98934
2074_149033_000016_000003	"After dinner Ethel played some merry tunes on the piano and Bernard responded with a rarther loud song in a base voice and Ethel clapped him a good deal. Then Mr Salteena asked a few riddles as he was not musicle." No wonder Mr Salteena went gloomily to bed, not to [Pg xiii] sleep, but to think out the greater riddle of how to become a gentleman, with which triumphant adventure the book is largely concerned.	"After dinner Ethel played some merry tunes on the piano and Bernard responded with a rarther loud song in a base voice and Ethel clapped him a good deal. Then Mr Salteena asked a few riddles as he was not musicle." No wonder Mr Salteena went gloomily to bed, not to [p g x i i i] sleep, but to think out the greater riddle of how to become a gentleman, with which triumphant adventure the book is largely concerned.	false	493.79	519.55	21.974932
2074_149033_000017_000000	To many the most instructive part of the story will be the chapter entitled "Bernard's Idear." Bernard's "idear" (warmly acclaimed by Ethel) is that she and he should go up to London "for a few weeks gaierty." Something of the kind has often been done in fiction and in guide-books, but never probably in such a hearty way as here.	To many the most instructive part of the story will be the chapter entitled "Bernard's Idear." Bernard's "idear" (warmly acclaimed by Ethel) is that she and he should go up to London "for a few weeks gaierty." Something of the kind has often been done in fiction and in guide books, but never probably in such a hearty way as here.	false	520.07	539.74	21.9775
2074_149033_000017_000001	Arrived at the "Gaierty" Hotel Bernard pokes his head into the "window of the pay desk.	Arrived at the "Gaierty" Hotel Bernard pokes his head into the "window of the pay desk.	false	539.93	545.505	20.646814
2074_149033_000017_000002	Have you a couple of bedrooms for self and young lady he enquired in a lordly way." He is told that they have two beauties. "Thank you said Bernard we will go up if you have no objection.	Have you a couple of bedrooms for self and young lady he enquired in a lordly way." He is told that they have two beauties. "Thank you said Bernard we will go up if you have no objection.	true	545.505	556.66	22.553806
2074_149033_000017_000003	None whatever sir said the genial lady the beds are well aired and the view quite pleasant.	None whatever sir said the genial lady the beds are well aired and the view quite pleasant.	true	556.82	562.12	19.86527
2074_149033_000017_000004	Come along Ethel cried Bernard this sounds alright eh. Oh quite said Ethel with a beaming smile." He decides gallantly [Pg xiv] that the larger room shall be hers.	Come along Ethel cried Bernard this sounds alright eh. Oh quite said Ethel with a beaming smile." He decides gallantly [p g x i v] that the larger room shall be hers.	false	562.4	571.72	24.092655
2074_149033_000017_000005	"I shall be quite lost in that large bed," Ethel says.	"I shall be quite lost in that large bed," Ethel says.	false	572.03	575.49	24.022442
2074_149033_000017_000006	"Yes I expect you will said Bernard and now what about a little table d'ote followed by a theatre?"	"Yes I expect you will said Bernard and now what about a little table d'ote followed by a theatre?"	false	575.49	581.53	24.082804
2074_149033_000018_000000	Bernard's proposal should be carried in the pocket of all future swains.	Bernard's proposal should be carried in the pocket of all future swains.	true	581.93	586.62	23.245274
2074_149033_000018_000001	He decides "whilst imbibing his morning tea beneath the pink silken quilt," that to propose in London would not be the "correct idear." He springs out of bed and knocks at Ethel's door.	He decides "whilst imbibing his morning tea beneath the pink silken quilt," that to propose in London would not be the "correct idear." He springs out of bed and knocks at Ethel's door.	true	586.62	598.03	21.012669
2074_149033_000018_000002	"Are you up my dear?	"Are you up my dear?	true	598.25	599.7	29.716246
2074_149033_000018_000003	he called.	he called.	true	599.7	600.555	33.79934
2074_149033_000018_000004	Well not quite said Ethel hastily jumping from her downy nest." He explains his "idear." "Oh hurrah shouted Ethel I shall soon be ready as I had my bath last night so won't wash very much now."	Well not quite said Ethel hastily jumping from her downy nest." He explains his "idear." "Oh hurrah shouted Ethel I shall soon be ready as I had my bath last night so won't wash very much now."	false	600.555	613.63	21.548063
2074_149033_000019_000000	They go up the river in a boat, and after they had eaten and "drunk deeply of the charming viands ending up with merangs and chocklates," Bernard says "in a passionate voice Let us now bask under the spreading trees.	They go up the river in a boat, and after they had eaten and "drunk deeply of the charming viands ending up with merangs and chocklates," Bernard says "in a passionate voice Let us now bask under the spreading trees.	false	614.51	629.74	19.700708
2074_149033_000019_000001	Oh yes lets said Ethel." "Ethel he murmered in a trembly voice.	Oh yes lets said Ethel." "Ethel he murmered in a trembly voice.	true	629.78	635.19	21.305124
2074_149033_000019_000002	[Pg xv] Oh what is it said Ethel." What it was (as well she knew) was love eternal.	[p g x v] Oh what is it said Ethel." What it was (as well she knew) was love eternal.	false	635.19	642.55	19.035013
2074_149033_000019_000003	Ethel accepts him, faints and is brought back to life by a clever "idear" of Bernard's, who pours water on her.	Ethel accepts him, faints and is brought back to life by a clever "idear" of Bernard's, who pours water on her.	true	642.98	650.445	23.00598
2074_149033_000019_000004	"She soon came to and looked up with a sickly smile.	"She soon came to and looked up with a sickly smile.	true	650.445	654.19	25.38282
2074_149033_000019_000005	Take me back to the 'Gaierty' Hotel she whispered faintly.	Take me back to the 'Gaierty' Hotel she whispered faintly.	false	654.38	658.21	23.380957
2074_149033_000019_000006	With pleasure my darling said Bernard I will just pack up our viands ere I unloose the boat.	With pleasure my darling said Bernard I will just pack up our viands ere I unloose the boat.	false	658.46	664.54	21.588657
2074_149033_000019_000007	Ethel felt better after a few drops of champaigne and began to tidy her hair while Bernard packed the remains of the food.	Ethel felt better after a few drops of champaigne and began to tidy her hair while Bernard packed the remains of the food.	true	665.33	672.3	24.778864
2074_149033_000019_000008	Then arm in arm they tottered to the boat, I trust you have not got an illness my darling murmured Bernard as he helped her in, Oh no I am very strong said Ethel I fainted from joy she added to explain matters.	Then arm in arm they tottered to the boat, I trust you have not got an illness my darling murmured Bernard as he helped her in, Oh no I am very strong said Ethel I fainted from joy she added to explain matters.	true	672.3	686.17	23.596113
2074_149033_000019_000009	Oh I see said Bernard handing her a cushion well some people do he added kindly."	Oh I see said Bernard handing her a cushion well some people do he added kindly."	true	686.81	693.16	20.419569
2074_149033_000020_000000	"So I will end my chapter," the authoress says; and we can picture her doing it complacently, and slowly pulling in her tongue.	"So I will end my chapter," the authoress says; and we can picture her doing it complacently, and slowly pulling in her tongue.	true	693.86	701.26	28.012117
2074_149033_000021_000000	Ethel was married in the Abbey.	Ethel was married in the Abbey.	false	701.66	702.84	15
2074_149033_000021_000001	Her [Pg xvi] wedding dress was "a rich satin with a humped pattern of gold on the pure white and it had a long train edged with Airum lillies." "You will indeed be a charming spectacle my darling gasped Bernard as they left the shop," and I have no doubt she was.	Her [p g x v i] wedding dress was "a rich satin with a humped pattern of gold on the pure white and it had a long train edged with Airum lillies." "You will indeed be a charming spectacle my darling gasped Bernard as they left the shop," and I have no doubt she was.	false	702.84	720.82	21.318573
2074_149033_000021_000002	She got many delightful presents, the nicest of all being from her father, who "provided a cheque for L2 and promised to send her a darling little baby calf when ready."	She got many delightful presents, the nicest of all being from her father, who "provided a cheque for l two and promised to send her a darling little baby calf when ready."	false	721.13	731.98	23.51134
2074_149033_000021_000003	This is perhaps the prettiest touch in the story and should make us all take off our hats to the innocent wondering mind that thought of it.	This is perhaps the prettiest touch in the story and should make us all take off our hats to the innocent wondering mind that thought of it.	true	732.62	739.99	23.120426
2074_149033_000022_000000	Poor Mr Salteena.	Poor Mr Salteena.	true	740.81	742.62	23.442701
2074_149033_000022_000001	He was at the wedding, dressed in black and crying into his handkerchief.	He was at the wedding, dressed in black and crying into his handkerchief.	true	742.62	747.16	27.44649
2074_149033_000022_000002	However he recovered to an extent and married Another and had ten children, "five of each," none of them of course equal to Ethel's children, of whom in a remarkably short time there were seven, which the authoress evidently considers to be the right "idear."	However he recovered to an extent and married Another and had ten children, "five of each," none of them of course equal to Ethel's children, of whom in a remarkably short time there were seven, which the authoress evidently considers to be the right "idear."	true	747.53	762.76	24.149733
2074_149033_000023_000000	It seems to me to be a remarkable work [Pg xviii] for a child, remarkable even in its length and completeness, for when children turn author they usually stop in the middle, like the kitten when it jumps.	It seems to me to be a remarkable work [p g x v i i i] for a child, remarkable even in its length and completeness, for when children turn author they usually stop in the middle, like the kitten when it jumps.	false	763.58	775.21	25.848358
2074_149033_000023_000001	The pencilled MS. has been accurately reproduced, not a word added or cut out.	The pencilled ms has been accurately reproduced, not a word added or cut out.	false	775.55	781.09	21.169405
2074_149033_000023_000002	Each chapter being in one long paragraph, however, this has been subdivided for the reader's comfort. J. M. BARRIE.	Each chapter being in one long paragraph, however, this has been subdivided for the reader's comfort. j m BARRIE.	false	781.4	796.89	18.71836
