7717_105405_000002_000000	CHAPTER XXVI THE JEW	CHAPTER twenty six THE JEW
7717_105405_000030_000000	"The conversation was all about a horse and cart, which the tall Englishman wished to hire, and which was to have been ready for him by eleven o'clock."	"The conversation was all about a horse and cart, which the tall Englishman wished to hire, and which was to have been ready for him by eleven o'clock."
7717_105405_000031_000000	"It is past that now.	"It is past that now.
7717_105405_000031_000001	Where does that Reuben live?"	Where does that Reuben live?"
7717_105405_000032_000000	"A few minutes' walk from this door."	"A few minutes' walk from this door."
7717_105405_000033_000000	"Send one of the men to find out if the stranger has driven off in Reuben's cart."	"Send one of the men to find out if the stranger has driven off in Reuben's cart."
7717_105405_000034_000000	"Yes, citoyen."	"Yes, citoyen."
7717_105405_000035_000000	Desgas went to give the necessary orders to one of the men.	Desgas went to give the necessary orders to one of the men.
7717_105405_000036_000000	She had come all this way, and with such high hopes and firm determination to help her husband, and so far she had been able to do nothing, but to watch, with a heart breaking with anguish, the meshes of the deadly net closing round the daring Scarlet Pimpernel.	She had come all this way, and with such high hopes and firm determination to help her husband, and so far she had been able to do nothing, but to watch, with a heart breaking with anguish, the meshes of the deadly net closing round the daring Scarlet Pimpernel.
7717_105405_000037_000000	He could not now advance many steps, without spying eyes to track and denounce him.	He could not now advance many steps, without spying eyes to track and denounce him.
7717_105405_000037_000001	Her own helplessness struck her with the terrible sense of utter disappointment.	Her own helplessness struck her with the terrible sense of utter disappointment.
7717_105405_000037_000002	The possibility of being the slightest use to her husband had become almost NIL, and her only hope rested in being allowed to share his fate, whatever it might ultimately be.	The possibility of being the slightest use to her husband had become almost NIL, and her only hope rested in being allowed to share his fate, whatever it might ultimately be.
7717_105405_000038_000000	For the moment, even her chance of ever seeing the man she loved again, had become a remote one.	For the moment, even her chance of ever seeing the man she loved again, had become a remote one.
7717_105405_000038_000001	Still, she was determined to keep a close watch over his enemy, and a vague hope filled her heart, that whilst she kept Chauvelin in sight, Percy's fate might still be hanging in the balance.	Still, she was determined to keep a close watch over his enemy, and a vague hope filled her heart, that whilst she kept Chauvelin in sight, Percy's fate might still be hanging in the balance.
7717_105405_000039_000001	Thus several minutes went by.	Thus several minutes went by.
7717_105405_000039_000002	Chauvelin was evidently devoured with impatience.	Chauvelin was evidently devoured with impatience.
7717_105405_000039_000003	Apparently he trusted no one: this last trick played upon him by the daring Scarlet Pimpernel had made him suddenly doubtful of success, unless he himself was there to watch, direct and superintend the capture of this impudent Englishman.	Apparently he trusted no one: this last trick played upon him by the daring Scarlet Pimpernel had made him suddenly doubtful of success, unless he himself was there to watch, direct and superintend the capture of this impudent Englishman.
7717_105405_000040_000000	About five minutes later, Desgas returned, followed by an elderly Jew, in a dirty, threadbare gaberdine, worn greasy across the shoulders.	About five minutes later, Desgas returned, followed by an elderly Jew, in a dirty, threadbare gaberdine, worn greasy across the shoulders.
7717_105405_000040_000001	His red hair, which he wore after the fashion of the Polish Jews, with the corkscrew curls each side of his face, was plentifully sprinkled with grey--a general coating of grime, about his cheeks and his chin, gave him a peculiarly dirty and loathsome appearance.	His red hair, which he wore after the fashion of the Polish Jews, with the corkscrew curls each side of his face, was plentifully sprinkled with grey-a general coating of grime, about his cheeks and his chin, gave him a peculiarly dirty and loathsome appearance.
7717_105405_000041_000000	Chauvelin, who had all the Frenchman's prejudice against the despised race, motioned to the fellow to keep at a respectful distance.	Chauvelin, who had all the Frenchman's prejudice against the despised race, motioned to the fellow to keep at a respectful distance.
7717_105405_000041_000001	The group of the three men were standing just underneath the hanging oil-lamp, and Marguerite had a clear view of them all.	The group of the three men were standing just underneath the hanging oil lamp, and Marguerite had a clear view of them all.
7717_105405_000042_000000	"Is this the man?" asked Chauvelin.	"Is this the man?" asked Chauvelin.
7717_105405_000043_000000	"No, citoyen," replied Desgas, "Reuben could not be found, so presumably his cart has gone with the stranger; but this man here seems to know something, which he is willing to sell for a consideration."	"No, citoyen," replied Desgas, "Reuben could not be found, so presumably his cart has gone with the stranger; but this man here seems to know something, which he is willing to sell for a consideration."
7717_105405_000045_000000	The Jew, with characteristic patience, stood humbly on one side, leaning on the knotted staff, his greasy, broad-brimmed hat casting a deep shadow over his grimy face, waiting for the noble Excellency to deign to put some questions to him.	The Jew, with characteristic patience, stood humbly on one side, leaning on the knotted staff, his greasy, broad brimmed hat casting a deep shadow over his grimy face, waiting for the noble Excellency to deign to put some questions to him.
7717_105405_000046_000000	"The citoyen tells me," said Chauvelin peremptorily to him, "that you know something of my friend, the tall Englishman, whom I desire to meet . . .	"The citoyen tells me," said Chauvelin peremptorily to him, "that you know something of my friend, the tall Englishman, whom I desire to meet . . .
7717_105405_000047_000000	"Yes, your Excellency," replied the Jew, who spoke the language with that peculiar lisp which denotes Eastern origin, "I and Reuben Goldstein met a tall Englishman, on the road, close by here this evening."	"Yes, your Excellency," replied the Jew, who spoke the language with that peculiar lisp which denotes Eastern origin, "I and Reuben Goldstein met a tall Englishman, on the road, close by here this evening."
7717_105405_000048_000000	"Did you speak to him?"	"Did you speak to him?"
7717_105405_000049_000000	"He spoke to us, your Excellency.	"He spoke to us, your Excellency.
7717_105405_000050_000000	"What did you say?"	"What did you say?"
7717_105405_000051_000000	"I did not say anything," said the Jew in an injured tone, "Reuben Goldstein, that accursed traitor, that son of Belial . . ."	"I did not say anything," said the Jew in an injured tone, "Reuben Goldstein, that accursed traitor, that son of Belial . . ."
7717_105405_000052_000000	"Cut that short, man," interrupted Chauvelin, roughly, "and go on with your story."	"Cut that short, man," interrupted Chauvelin, roughly, "and go on with your story."
7717_105405_000053_000000	"He took the words out of my mouth, your Excellency: when I was about to offer the wealthy Englishman my horse and cart, to take him wheresoever he chose, Reuben had already spoken, and offered his half-starved nag, and his broken-down cart."	"He took the words out of my mouth, your Excellency: when I was about to offer the wealthy Englishman my horse and cart, to take him wheresoever he chose, Reuben had already spoken, and offered his half starved nag, and his broken down cart."
7717_105405_000056_000000	"And, of course, the horse and cart were ready?"	"And, of course, the horse and cart were ready?"
7717_105405_000057_000001	Reuben's nag was lame as usual; she refused to budge at first.	Reuben's nag was lame as usual; she refused to budge at first.
7717_105405_000058_000000	"Then they started?"	"Then they started?"
7717_105405_000059_000002	An Englishman too!--He ought to have known Reuben's nag was not fit to drive."	An Englishman too!--He ought to have known Reuben's nag was not fit to drive."
7717_105405_000060_000000	"But if he had no choice?"	"But if he had no choice?"
7717_105405_000061_000001	He would not listen.	He would not listen.
7717_105405_000061_000002	Reuben is such a liar, and has such insinuating ways. The stranger was deceived.	Reuben is such a liar, and has such insinuating ways. The stranger was deceived.
7717_105405_000061_000003	If he was in a hurry, he would have had better value for his money by taking my cart."	If he was in a hurry, he would have had better value for his money by taking my cart."
7717_105405_000063_000000	"Aye! that I have, your Excellency, and if your Excellency wants to drive . . ."	"Aye! that I have, your Excellency, and if your Excellency wants to drive . . ."
7717_105405_000065_000000	Thoughtfully the Jew rubbed his dirty chin.	Thoughtfully the Jew rubbed his dirty chin.
7717_105405_000065_000001	Marguerite's heart was beating well-nigh to bursting.	Marguerite's heart was beating well nigh to bursting.
7717_105405_000065_000002	She had heard the peremptory question; she looked anxiously at the Jew, but could not read his face beneath the shadow of his broad-brimmed hat.	She had heard the peremptory question; she looked anxiously at the Jew, but could not read his face beneath the shadow of his broad brimmed hat.
7717_105405_000066_000001	He gazed at them thoughtfully, then remarked, in a quiet tone of voice,--	He gazed at them thoughtfully, then remarked, in a quiet tone of voice,--
7717_105405_000070_000000	"Twenty francs, your Excellency," replied the Jew, "and I have been an honest man all my life."	"Twenty francs, your Excellency," replied the Jew, "and I have been an honest man all my life."
7717_105405_000072_000000	"How many gold pieces are there in the palm of my hand?" he asked quietly.	"How many gold pieces are there in the palm of my hand?" he asked quietly.
7717_105405_000073_000000	Evidently he had no desire to terrorize the man, but to conciliate him, for his own purposes, for his manner was pleasant and suave.	Evidently he had no desire to terrorize the man, but to conciliate him, for his own purposes, for his manner was pleasant and suave.
7717_105405_000073_000001	No doubt he feared that threats of the guillotine, and various other persuasive methods of that type, might addle the old man's brains, and that he would be more likely to be useful through greed of gain, than through terror of death.	No doubt he feared that threats of the guillotine, and various other persuasive methods of that type, might addle the old man's brains, and that he would be more likely to be useful through greed of gain, than through terror of death.
7717_105405_000075_000000	"At least five, I should say, your Excellency," he replied obsequiously.	"At least five, I should say, your Excellency," he replied obsequiously.
7717_105405_000076_000000	"Enough, do you think, to loosen that honest tongue of yours?"	"Enough, do you think, to loosen that honest tongue of yours?"
7717_105405_000078_000000	"Whether your horse and cart can take me to where I can find my friend the tall stranger, who has driven off in Reuben Goldstein's cart?"	"Whether your horse and cart can take me to where I can find my friend the tall stranger, who has driven off in Reuben Goldstein's cart?"
7717_105405_000080_000000	"To a place called the Pere Blanchard's hut?"	"To a place called the Pere Blanchard's hut?"
7717_105405_000081_000000	"Your Honour has guessed?" said the Jew in astonishment.	"Your Honour has guessed?" said the Jew in astonishment.
7717_105405_000082_000000	"You know the place?	"You know the place?
7717_105405_000082_000001	Which road leads to it?"	Which road leads to it?"
7717_105405_000084_000000	"You know the road?" repeated Chauvelin, roughly.	"You know the road?" repeated Chauvelin, roughly.
7717_105405_000085_000000	"Every stone, every blade of grass, your Honour," replied the Jew quietly.	"Every stone, every blade of grass, your Honour," replied the Jew quietly.
7717_105405_000086_000000	Chauvelin without another word threw the five pieces of gold one by one before the Jew, who knelt down, and on his hands and knees struggled to collect them.	Chauvelin without another word threw the five pieces of gold one by one before the Jew, who knelt down, and on his hands and knees struggled to collect them.
7717_105405_000086_000001	One rolled away, and he had some trouble to get it, for it had lodged underneath the dresser.	One rolled away, and he had some trouble to get it, for it had lodged underneath the dresser.
7717_105405_000086_000002	Chauvelin quietly waited while the old man scrambled on the floor, to find the piece of gold.	Chauvelin quietly waited while the old man scrambled on the floor, to find the piece of gold.
7717_105405_000088_000000	"How soon can your horse and cart be ready?"	"How soon can your horse and cart be ready?"
7717_105405_000090_000000	"Where?"	"Where?"
7717_105405_000091_000000	"Not ten meters from this door.	"Not ten meters from this door.
7717_105405_000091_000001	Will your Excellency deign to look."	Will your Excellency deign to look."
7717_105405_000092_000000	"I don't want to see it.	"I don't want to see it.
7717_105405_000092_000001	How far can you drive me in it?"	How far can you drive me in it?"
7717_105405_000093_000001	I am sure that, not two leagues from here, we shall come across that wily Reuben, his nag, his cart and the tall stranger all in a heap in the middle of the road."	I am sure that, not two leagues from here, we shall come across that wily Reuben, his nag, his cart and the tall stranger all in a heap in the middle of the road."
7717_105405_000094_000000	"How far is the nearest village from here?"	"How far is the nearest village from here?"
7717_105405_000095_000000	"On the road which the Englishman took, Miquelon is the nearest village, not two leagues from here."	"On the road which the Englishman took, Miquelon is the nearest village, not two leagues from here."
7717_105405_000097_000000	"He could--if he ever got so far."	"He could-if he ever got so far."
7717_105405_000098_000000	"Can you?"	"Can you?"
7717_105405_000100_000000	"That is my intention," said Chauvelin very quietly, "but remember, if you have deceived me, I shall tell off two of my most stalwart soldiers to give you such a beating, that your breath will perhaps leave your ugly body for ever.	"That is my intention," said Chauvelin very quietly, "but remember, if you have deceived me, I shall tell off two of my most stalwart soldiers to give you such a beating, that your breath will perhaps leave your ugly body for ever.
7717_105405_000100_000001	But if we find my friend the tall Englishman, either on the road or at the Pere Blanchard's hut, there will be ten more gold pieces for you.	But if we find my friend the tall Englishman, either on the road or at the Pere Blanchard's hut, there will be ten more gold pieces for you.
7717_105405_000100_000002	Do you accept the bargain?"	Do you accept the bargain?"
7717_105405_000101_000000	The Jew again thoughtfully rubbed his chin.	The Jew again thoughtfully rubbed his chin.
7717_105405_000101_000002	After a moment's pause, he said deliberately,--	After a moment's pause, he said deliberately,--
7717_105405_000102_000000	"I accept."	"I accept."
7717_105405_000104_000000	With a final, most abject and cringing bow, the old Jew shuffled out of the room.	With a final, most abject and cringing bow, the old Jew shuffled out of the room.
7717_105405_000104_000001	Chauvelin seemed pleased with his interview, for he rubbed his hands together, with that usual gesture of his, of malignant satisfaction.	Chauvelin seemed pleased with his interview, for he rubbed his hands together, with that usual gesture of his, of malignant satisfaction.
7717_105405_000108_000001	There will be hot work presently, if I mistake not, in the Pere Blanchard's hut.	There will be hot work presently, if I mistake not, in the Pere Blanchard's hut.
7717_105405_000108_000002	We shall corner our game there, I'll warrant, for this impudent Scarlet Pimpernel has had the audacity--or the stupidity, I hardly know which--to adhere to his original plans.	We shall corner our game there, I'll warrant, for this impudent Scarlet Pimpernel has had the audacity-or the stupidity, I hardly know which-to adhere to his original plans.
7717_105405_000108_000005	Some of our men will, I presume, be put HORS DE COMBAT.	Some of our men will, I presume, be put HORS DE COMBAT.
7717_105405_000108_000006	These royalists are good swordsmen, and the Englishman is devilish cunning, and looks very powerful.	These royalists are good swordsmen, and the Englishman is devilish cunning, and looks very powerful.
7717_105405_000108_000007	Still, we shall be five against one at least.	Still, we shall be five against one at least.
7717_105405_000108_000009	The Englishman is ahead of us, and not likely to look behind him."	The Englishman is ahead of us, and not likely to look behind him."
7717_105405_000109_000000	Whilst he gave these curt and concise orders, he had completed his change of attire.	Whilst he gave these curt and concise orders, he had completed his change of attire.
7717_105405_000110_000002	The Pere Blanchard's hut is--an I mistake not--a lonely spot upon the beach, and our men will enjoy a bit of rough sport there with the wounded fox.	The Pere Blanchard's hut is-an I mistake not-a lonely spot upon the beach, and our men will enjoy a bit of rough sport there with the wounded fox.
